Cal State East Bay,Error,Stanford,24
3:33,-1,Juwan Anderson missed Three Point Jumper.,22,38
3:33,24,Dorian Pickens Defensive Rebound.,22,38
3:09,24,Reid Travis missed Jumper.,22,38
3:09,-1,Drew Bender Defensive Rebound.,22,38
2:54,-1,Jelani Mitchell missed Jumper.,22,38
2:54,-1,CS East Bay Offensive Rebound.,22,38
2:44,-1,Drew Bender missed Layup.,22,38
2:44,24,Marcus Sheffield Defensive Rebound.,22,38
2:34,-1,Foul on Jelani Mitchell.,22,38
2:34,24,Michael Humphrey made Free Throw.,22,39
2:34,24,Michael Humphrey missed Free Throw.,22,39
2:34,-1,Drew Bender Defensive Rebound.,22,39
2:15,-1,Jelani Mitchell missed Jumper.,22,39
2:15,24,Christian Sanders Defensive Rebound.,22,39
2:07,24,Reid Travis made Layup. Assisted by Christian Sanders.,22,41
1:55,-1,Drew Bender Turnover.,22,41
1:48,-1,Foul on Jelani Mitchell.,22,41
1:48,24,Dorian Pickens made Free Throw.,22,42
1:48,24,Dorian Pickens made Free Throw.,22,43
1:41,-1,Paramvir Singh missed Three Point Jumper.,22,43
1:41,24,Reid Travis Defensive Rebound.,22,43
1:27,24,Michael Humphrey missed Jumper.,22,43
1:27,-1,Ja-Mont Wilson Block.,22,43
1:25,24,Dorian Pickens Offensive Rebound.,22,43
1:21,24,Reid Travis made Jumper. Assisted by Marcus Sheffield.,22,45
1:03,-1,Drew Bender made Layup.,24,45
1:03,24,Foul on Michael Humphrey.,24,45
1:03,-1,Drew Bender missed Free Throw.,24,45
1:03,24,Reid Travis Defensive Rebound.,24,45
0:51,-1,Foul on Ja-Mont Wilson.,24,45
0:51,24,Reid Travis missed Free Throw.,24,45
0:51,24,Stanford Deadball Team Rebound.,24,45
0:51,24,Reid Travis made Free Throw.,24,46
0:37,-1,Lamine Mbodj made Jumper. Assisted by Paramvir Singh.,26,46
0:05,24,Robert Cartwright Turnover.,26,46
0:00,-1,Jelani Mitchell missed Three Point Jumper.,26,46
0:00,24,Stanford Deadball Team Rebound.,26,46
0:00,24,End of 1st half,26,46
19:52,-1,Juwan Anderson made Jumper.,28,46
19:38,24,Dorian Pickens missed Jumper.,28,46
19:38,-1,Micah Dunhour Defensive Rebound.,28,46
19:27,-1,Micah Dunhour Turnover.,28,46
19:26,24,Marcus Allen Steal.,28,46
19:20,-1,Foul on Juwan Anderson.,28,46
19:20,24,Marcus Allen missed Free Throw.,28,46
19:20,24,Stanford Deadball Team Rebound.,28,46
19:20,24,Marcus Allen missed Free Throw.,28,46
19:20,-1,Micah Dunhour Defensive Rebound.,28,46
18:51,-1,Druce Asah missed Jumper.,28,46
18:51,24,Marcus Allen Defensive Rebound.,28,46
18:41,24,Grant Verhoeven made Layup. Assisted by Christian Sanders.,28,48
18:28,-1,Druce Asah missed Jumper.,28,48
18:28,24,Dorian Pickens Defensive Rebound.,28,48
18:14,24,Reid Travis made Layup. Assisted by Christian Sanders.,28,50
17:53,-1,Lamine Mbodj missed Jumper.,28,50
17:53,24,Dorian Pickens Defensive Rebound.,28,50
17:40,-1,Foul on Druce Asah.,28,50
17:38,-1,Foul on Jalen Richard.,28,50
17:38,24,Dorian Pickens made Free Throw.,28,51
17:38,24,Dorian Pickens made Free Throw.,28,52
17:22,-1,Lamine Mbodj Turnover.,28,52
17:20,24,Marcus Allen Steal.,28,52
17:19,24,Marcus Allen made Layup.,28,54
17:03,-1,Jalen Richard made Three Point Jumper. Assisted by Lamine Mbodj.,31,54
16:47,-1,Foul on Lamine Mbodj.,31,54
16:41,24,Robert Cartwright missed Three Point Jumper.,31,54
16:41,-1,Drew Bender Defensive Rebound.,31,54
16:32,24,Foul on Robert Cartwright.,31,54
16:32,-1,Juwan Anderson missed Free Throw.,31,54
16:32,-1,CS East Bay Deadball Team Rebound.,31,54
16:32,-1,Juwan Anderson made Free Throw.,32,54
16:32,-1,Juwan Anderson missed Free Throw.,32,54
16:32,24,Marcus Allen Defensive Rebound.,32,54
16:09,24,Marcus Sheffield missed Jumper.,32,54
16:09,-1,Pierre Carter Defensive Rebound.,32,54
15:54,-1,Pierre Carter missed Three Point Jumper.,32,54
15:54,24,Josh Sharma Defensive Rebound.,32,54
15:45,-1,Foul on Drew Bender.,32,54
15:45,24,Official TV Timeout,32,54
15:45,24,Robert Cartwright missed Free Throw.,32,54
15:45,24,Stanford Deadball Team Rebound.,32,54
15:45,24,Robert Cartwright made Free Throw.,32,55
15:20,-1,Foul on Ja-Mont Wilson.,32,55
15:20,-1,Ja-Mont Wilson Turnover.,32,55
15:12,24,Marcus Allen Turnover.,32,55
15:11,-1,Pierre Carter Steal.,32,55
15:06,-1,Pierre Carter Turnover.,32,55
15:05,24,Marcus Allen Steal.,32,55
14:48,24,Marcus Sheffield missed Jumper.,32,55
14:48,-1,Ja-Mont Wilson Defensive Rebound.,32,55
14:24,-1,Jelani Mitchell missed Jumper.,32,55
14:24,24,Josh Sharma Defensive Rebound.,32,55
14:05,24,Michael Humphrey made Dunk. Assisted by Marcus Allen.,32,57
13:51,24,Foul on Robert Cartwright.,32,57
13:49,-1,Pierre Carter missed Layup.,32,57
13:49,24,Cameron Walker Block.,32,57
13:47,24,Michael Humphrey Defensive Rebound.,32,57
13:43,-1,Foul on Ja-Mont Wilson.,32,57
13:43,24,Marcus Sheffield made Free Throw.,32,58
13:43,24,Marcus Sheffield made Free Throw.,32,59
13:32,24,Foul on Michael Humphrey.,32,59
13:32,-1,Jelani Mitchell made Free Throw.,33,59
13:32,-1,Jelani Mitchell missed Free Throw.,33,59
13:32,24,Michael Humphrey Defensive Rebound.,33,59
13:07,-1,Foul on Jelani Mitchell.,33,59
13:07,24,Josh Sharma missed Free Throw.,33,59
13:07,24,Stanford Deadball Team Rebound.,33,59
13:07,24,Josh Sharma made Free Throw.,33,60
12:45,-1,Paramvir Singh missed Three Point Jumper.,33,60
12:45,-1,Lamine Mbodj Offensive Rebound.,33,60
12:36,24,Foul on Josh Sharma.,33,60
12:36,-1,Lamine Mbodj missed Free Throw.,33,60
12:36,-1,CS East Bay Deadball Team Rebound.,33,60
12:36,-1,Lamine Mbodj made Free Throw.,34,60
12:19,-1,Foul on Lamine Mbodj.,34,60
12:19,24,Michael Humphrey made Free Throw.,34,61
12:19,24,Michael Humphrey made Free Throw.,34,62
11:56,-1,Drew Bender Turnover.,34,62
11:55,24,Marcus Sheffield Steal.,34,62
11:52,24,Michael Humphrey made Layup. Assisted by Marcus Sheffield.,34,64
11:41,-1,Kyle Frakes missed Layup.,34,64
11:41,24,Michael Humphrey Defensive Rebound.,34,64
11:15,24,Foul on Josh Sharma.,34,64
11:15,24,Josh Sharma Turnover.,34,64
11:15,24,Official TV Timeout,34,64
11:05,-1,Foul on Druce Asah.,34,64
11:05,-1,Druce Asah Turnover.,34,64
10:53,24,Josh Sharma missed Three Point Jumper.,34,64
10:53,-1,Kyle Frakes Block.,34,64
10:50,-1,Drew Bender Defensive Rebound.,34,64
10:36,-1,Kyle Frakes made Jumper. Assisted by Drew Bender.,36,64
10:23,24,Cameron Walker missed Three Point Jumper.,36,64
10:23,-1,CS East Bay Deadball Team Rebound.,36,64
10:12,-1,Druce Asah missed Jumper.,36,64
10:12,24,Christian Sanders Defensive Rebound.,36,64
9:54,24,Josh Sharma missed Jumper.,36,64
9:54,-1,Paramvir Singh Defensive Rebound.,36,64
9:48,-1,Druce Asah made Layup. Assisted by Paramvir Singh.,38,64
9:48,24,Foul on Malcolm Allen.,38,64
9:48,-1,Druce Asah missed Free Throw.,38,64
9:48,24,Josh Sharma Defensive Rebound.,38,64
9:26,24,Josh Sharma made Dunk. Assisted by Christian Sanders.,38,66
8:59,24,Foul on Josh Sharma.,38,66
8:59,-1,Kyle Frakes missed Free Throw.,38,66
8:59,-1,CS East Bay Deadball Team Rebound.,38,66
8:59,-1,Kyle Frakes made Free Throw.,39,66
8:37,24,Marcus Allen made Jumper.,39,68
8:22,-1,Paramvir Singh made Three Point Jumper. Assisted by Drew Bender.,42,68
8:04,24,Marcus Allen missed Jumper.,42,68
8:04,-1,CS East Bay Defensive Rebound.,42,68
7:59,-1,CS East Bay  Timeout,42,68
7:59,24,Official TV Timeout,42,68
7:43,-1,Paramvir Singh missed Three Point Jumper.,42,68
7:43,24,Reid Travis Defensive Rebound.,42,68
7:22,-1,Foul on Paramvir Singh.,42,68
7:22,24,Official TV Timeout,42,68
7:22,24,Reid Travis made Free Throw.,42,69
7:22,24,Reid Travis missed Free Throw.,42,69
7:22,-1,Druce Asah Defensive Rebound.,42,69
7:07,-1,Drew Bender Turnover.,42,69
7:06,24,Marcus Sheffield Steal.,42,69
7:03,24,Marcus Sheffield missed Layup.,42,69
7:03,24,Reid Travis Offensive Rebound.,42,69
6:49,24,Grant Verhoeven missed Layup.,42,69
6:49,-1,Jelani Mitchell Block.,42,69
6:47,24,Grant Verhoeven Offensive Rebound.,42,69
6:45,24,Grant Verhoeven Turnover.,42,69
6:44,-1,Druce Asah Steal.,42,69
6:34,-1,Foul on Druce Asah.,42,69
6:34,-1,Druce Asah Turnover.,42,69
6:20,-1,Foul on Jelani Mitchell.,42,69
6:20,24,Cameron Walker missed Free Throw.,42,69
6:20,24,Stanford Deadball Team Rebound.,42,69
6:20,24,Cameron Walker made Free Throw.,42,70
6:04,-1,Lamine Mbodj made Layup. Assisted by Drew Bender.,44,70
5:47,24,Marcus Sheffield Turnover.,44,70
5:46,-1,Lamine Mbodj Steal.,44,70
5:29,-1,Kyle Frakes made Layup. Assisted by Jelani Mitchell.,46,70
5:14,-1,Foul on Drew Bender.,46,70
5:14,24,Marcus Sheffield made Free Throw.,46,71
4:54,-1,Lamine Mbodj missed Jumper.,46,71
4:54,-1,CS East Bay Deadball Team Rebound.,46,71
4:52,24,Foul on Marcus Sheffield.,46,71
4:52,-1,Jelani Mitchell made Free Throw.,47,71
4:52,-1,Jelani Mitchell missed Free Throw.,47,71
4:52,24,Josh Sharma Defensive Rebound.,47,71
4:32,24,Cameron Walker Turnover.,47,71
4:29,-1,Paramvir Singh Steal.,47,71
4:09,-1,Lamine Mbodj missed Jumper.,47,71
4:09,-1,Paramvir Singh Offensive Rebound.,47,71
4:04,-1,Paramvir Singh made Layup.,49,71
3:41,-1,Foul on Lamine Mbodj.,49,71
3:41,24,Official TV Timeout,49,71
3:41,24,Trevor Stanback missed Free Throw.,49,71
3:41,24,Stanford Deadball Team Rebound.,49,71
3:41,24,Trevor Stanback missed Free Throw.,49,71
3:41,-1,Pierre Carter Defensive Rebound.,49,71
3:23,-1,Drew Bender missed Three Point Jumper.,49,71
3:23,24,Marcus Sheffield Defensive Rebound.,49,71
3:17,24,Malcolm Allen made Layup. Assisted by Marcus Sheffield.,49,73
3:04,-1,Paramvir Singh missed Three Point Jumper.,49,73
3:04,-1,Jelani Mitchell Offensive Rebound.,49,73
2:57,-1,Jelani Mitchell Turnover.,49,73
2:56,24,Josh Sharma Steal.,49,73
2:42,24,Cameron Walker made Dunk. Assisted by Trevor Stanback.,49,75
2:26,-1,Drew Bender Turnover.,49,75
2:25,24,Malcolm Allen Steal.,49,75
2:22,24,Marcus Sheffield made Dunk. Assisted by Malcolm Allen.,49,77
2:04,24,Foul on Josh Sharma.,49,77
2:04,-1,Kyle Frakes made Free Throw.,50,77
2:04,-1,Kyle Frakes made Free Throw.,51,77
1:45,24,Trevor Stanback missed Jumper.,51,77
1:45,24,Blake Pagon Offensive Rebound.,51,77
1:41,-1,Foul on Jelani Mitchell.,51,77
1:41,24,Blake Pagon made Free Throw.,51,78
1:41,24,Blake Pagon made Free Throw.,51,79
1:34,24,Foul on Cameron Walker.,51,79
1:34,-1,Pierre Carter made Free Throw.,52,79
1:34,-1,Pierre Carter made Free Throw.,53,79
1:14,24,Blake Pagon missed Three Point Jumper.,53,79
1:14,24,Trevor Stanback Offensive Rebound.,53,79
1:09,24,Trevor Stanback missed Jumper.,53,79
1:09,-1,Juwan Anderson Defensive Rebound.,53,79
0:58,-1,Pierre Carter missed Three Point Jumper.,53,79
0:58,24,Stanford Defensive Rebound.,53,79
0:50,24,Rodney Herenton missed Three Point Jumper.,53,79
0:50,-1,Drew Bender Defensive Rebound.,53,79
0:42,-1,Kyle Frakes missed Layup.,53,79
0:42,-1,CS East Bay Offensive Rebound.,53,79
0:35,-1,Pierre Carter made Layup. Assisted by Juwan Anderson.,55,79
0:31,24,Rodney Herenton Turnover.,55,79
0:24,-1,Kyle Frakes missed Three Point Jumper.,55,79
0:24,24,Malcolm Allen Defensive Rebound.,55,79
0:00,24,End of Game,55,79
