North Dakota State,155,North Dakota,2449
12:56,155,Cortez Seales Steal.,11,12
12:55,2449,Foul on Deng Geu.,11,12
12:37,155,Conner Avants made Layup. Assisted by Geno Crandall.,11,14
12:21,155,Foul on Conner Avants.,11,14
12:13,2449,Carlin Dupree missed Layup.,11,14
12:13,2449,Carlin Dupree Offensive Rebound.,11,14
12:03,2449,Khy Kabellis missed Layup.,11,14
12:03,155,Conner Avants Defensive Rebound.,11,14
11:38,2449,Foul on Carlin Dupree.,11,14
11:38,155,Official TV Timeout,11,14
11:38,155,Geno Crandall made Free Throw.,11,15
11:38,155,Geno Crandall made Free Throw.,11,16
11:10,2449,Dexter Werner made Jumper.,13,16
10:52,155,Corey Baldwin missed Three Point Jumper.,13,16
10:52,2449,North Dakota St Defensive Rebound.,13,16
10:39,2449,Dexter Werner made Layup. Assisted by Khy Kabellis.,15,16
10:20,155,Cortez Seales Turnover.,15,16
10:08,2449,Khy Kabellis Turnover.,15,16
10:06,155,Corey Baldwin Steal.,15,16
10:04,2449,Foul on Carlin Dupree.,15,16
10:04,155,Corey Baldwin missed Free Throw.,15,16
10:04,155,North Dakota Deadball Team Rebound.,15,16
10:04,155,Corey Baldwin made Free Throw.,15,17
9:56,2449,Khy Kabellis missed Three Point Jumper.,15,17
9:56,155,Josh Collins Defensive Rebound.,15,17
9:45,155,Corey Baldwin missed Three Point Jumper.,15,17
9:45,155,Quinton Hooker Offensive Rebound.,15,17
9:41,155,Quinton Hooker made Layup.,15,19
9:25,155,Foul on Geno Crandall.,15,19
9:08,2449,Dexter Werner made Layup.,17,19
9:01,155,Geno Crandall missed Three Point Jumper.,17,19
9:01,2449,A.J. Jacobson Defensive Rebound.,17,19
8:49,2449,Khy Kabellis made Three Point Jumper. Assisted by A.J. Jacobson.,20,19
8:19,2449,Foul on Dexter Werner.,20,19
8:14,155,Geno Crandall missed Jumper.,20,19
8:14,2449,Jared Samuelson Defensive Rebound.,20,19
8:07,2449,A.J. Jacobson missed Three Point Jumper.,20,19
8:07,155,Quinton Hooker Defensive Rebound.,20,19
7:57,155,Quinton Hooker missed Jumper.,20,19
7:57,2449,Paul Miller Defensive Rebound.,20,19
7:48,2449,A.J. Jacobson made Layup. Assisted by Paul Miller.,22,19
7:46,155,Official TV Timeout,22,19
7:35,155,Cortez Seales Turnover.,22,19
7:08,2449,Khy Kabellis missed Jumper.,22,19
7:08,155,Cortez Seales Defensive Rebound.,22,19
6:45,155,Conner Avants made Dunk. Assisted by Geno Crandall.,22,21
6:32,155,Foul on Quinton Hooker.,22,21
6:06,2449,Khy Kabellis made Jumper.,24,21
5:53,155,Cortez Seales missed Layup.,24,21
5:53,155,Drick Bernstine Offensive Rebound.,24,21
5:49,155,Drick Bernstine missed Jumper.,24,21
5:49,2449,Dexter Werner Block.,24,21
5:47,155,Drick Bernstine Offensive Rebound.,24,21
5:47,2449,Foul on Paul Miller.,24,21
5:47,155,Drick Bernstine missed Free Throw.,24,21
5:47,155,North Dakota Deadball Team Rebound.,24,21
5:47,155,Drick Bernstine missed Free Throw.,24,21
5:47,2449,Dylan Miller Defensive Rebound.,24,21
5:27,2449,Foul on Khy Kabellis.,24,21
5:27,155,Foul on Geno Crandall.,24,21
5:27,155,Technical Foul on Geno Crandall.,24,21
5:27,155,Foul on Geno Crandall.,24,21
5:27,2449,Technical Foul on Khy Kabellis.,24,21
5:27,2449,Deng Geu missed Free Throw.,24,21
5:26,2449,Khy Kabellis Offensive Rebound.,24,21
5:19,2449,Paul Miller made Three Point Jumper. Assisted by Khy Kabellis.,27,21
5:02,155,Quinton Hooker missed Three Point Jumper.,27,21
5:02,155,Billy Brown Offensive Rebound.,27,21
4:42,155,Quinton Hooker made Three Point Jumper. Assisted by Cortez Seales.,27,24
4:32,2449,Paul Miller made Three Point Jumper.,30,24
4:16,155,Conner Avants made Layup.,30,26
3:59,2449,Paul Miller missed Layup.,30,26
3:59,155,Conner Avants Defensive Rebound.,30,26
3:50,155,Quinton Hooker missed Three Point Jumper.,30,26
3:50,2449,Paul Miller Defensive Rebound.,30,26
3:41,2449,Jared Samuelson made Three Point Jumper. Assisted by Khy Kabellis.,33,26
3:20,2449,Foul on Deng Geu.,33,26
3:20,155,Official TV Timeout,33,26
3:20,155,Drick Bernstine missed Free Throw.,33,26
3:20,2449,Paul Miller Defensive Rebound.,33,26
3:01,2449,A.J. Jacobson made Jumper.,35,26
2:38,2449,Foul on Tyson Ward.,35,26
2:38,155,Quinton Hooker made Free Throw.,35,27
2:38,155,Quinton Hooker made Free Throw.,35,28
2:18,2449,Paul Miller made Three Point Jumper.,38,28
1:54,155,Drick Bernstine missed Jumper.,38,28
1:54,2449,Paul Miller Defensive Rebound.,38,28
1:43,2449,A.J. Jacobson missed Three Point Jumper.,38,28
1:43,155,Quinton Hooker Defensive Rebound.,38,28
1:33,2449,Foul on Tyson Ward.,38,28
1:33,155,Drick Bernstine made Free Throw.,38,29
1:33,155,Drick Bernstine missed Free Throw.,38,29
1:33,2449,Dexter Werner Defensive Rebound.,38,29
1:20,2449,Khy Kabellis Turnover.,38,29
1:18,155,Conner Avants Steal.,38,29
1:16,155,Cortez Seales made Layup. Assisted by Quinton Hooker.,38,31
0:55,2449,Paul Miller missed Three Point Jumper.,38,31
0:55,155,Quinton Hooker Defensive Rebound.,38,31
0:34,155,Conner Avants made Layup. Assisted by Cortez Seales.,38,33
0:03,2449,Khy Kabellis Turnover.,38,33
0:02,155,Cortez Seales Steal.,38,33
0:00,155,End of 1st half,38,33
19:40,155,Conner Avants made Layup. Assisted by Geno Crandall.,38,35
19:23,2449,Dylan Miller made Layup.,40,35
19:02,155,Conner Avants missed Layup.,40,35
19:02,2449,Dylan Miller Block.,40,35
19:00,2449,Carlin Dupree Defensive Rebound.,40,35
18:52,2449,Khy Kabellis Turnover.,40,35
18:30,155,Drick Bernstine missed Layup.,40,35
18:30,2449,Carlin Dupree Defensive Rebound.,40,35
18:14,2449,Carlin Dupree missed Jumper.,40,35
18:14,2449,Carlin Dupree Offensive Rebound.,40,35
18:09,2449,A.J. Jacobson missed Jumper.,40,35
18:09,155,Conner Avants Defensive Rebound.,40,35
18:08,2449,Foul on Dylan Miller.,40,35
17:50,2449,Foul on Paul Miller.,40,35
17:26,155,Quinton Hooker missed Three Point Jumper.,40,35
17:26,155,Corey Baldwin Offensive Rebound.,40,35
17:21,155,Conner Avants made Layup. Assisted by Quinton Hooker.,40,37
16:58,2449,Dexter Werner missed Jumper.,40,37
16:58,155,Conner Avants Defensive Rebound.,40,37
16:49,2449,Foul on Khy Kabellis.,40,37
16:39,155,Geno Crandall missed Jumper.,40,37
16:39,2449,A.J. Jacobson Defensive Rebound.,40,37
16:24,2449,Dexter Werner made Layup. Assisted by Carlin Dupree.,42,37
16:17,155,Geno Crandall made Layup.,42,39
16:05,2449,Dexter Werner missed Jumper.,42,39
16:05,155,Conner Avants Defensive Rebound.,42,39
15:51,155,Quinton Hooker missed Jumper.,42,39
15:51,2449,Carlin Dupree Defensive Rebound.,42,39
15:46,155,Foul on Carson Shanks.,42,39
15:46,155,Official TV Timeout,42,39
15:21,2449,Paul Miller made Jumper.,44,39
14:53,155,Carson Shanks missed Jumper.,44,39
14:53,2449,A.J. Jacobson Defensive Rebound.,44,39
14:23,2449,Carlin Dupree made Three Point Jumper. Assisted by Khy Kabellis.,47,39
13:58,155,Geno Crandall Turnover.,47,39
13:57,2449,Carlin Dupree Steal.,47,39
13:54,2449,Carlin Dupree made Layup.,49,39
13:36,2449,Foul on Dexter Werner.,49,39
13:23,2449,Foul on Khy Kabellis.,49,39
13:10,155,Josh Collins missed Jumper.,49,39
13:10,2449,Paul Miller Defensive Rebound.,49,39
13:04,155,Foul on Corey Baldwin.,49,39
13:04,2449,Paul Miller missed Free Throw.,49,39
13:04,2449,North Dakota St Deadball Team Rebound.,49,39
13:04,2449,Paul Miller missed Free Throw.,49,39
13:04,155,Carson Shanks Defensive Rebound.,49,39
12:42,2449,Foul on Dexter Werner.,49,39
12:40,2449,Foul on Carlin Dupree.,49,39
12:40,155,Carson Shanks missed Free Throw.,49,39
12:40,155,North Dakota Deadball Team Rebound.,49,39
12:40,155,Carson Shanks made Free Throw.,49,40
12:32,2449,A.J. Jacobson made Three Point Jumper. Assisted by Carlin Dupree.,52,40
12:23,155,Quinton Hooker missed Layup.,52,40
12:23,2449,A.J. Jacobson Defensive Rebound.,52,40
12:22,155,Official TV Timeout,52,40
12:10,2449,Carlin Dupree Turnover.,52,40
12:00,155,Conner Avants made Dunk. Assisted by Josh Collins.,52,42
11:46,2449,Paul Miller missed Layup.,52,42
11:46,2449,Evan Wesenberg Offensive Rebound.,52,42
11:39,2449,Deng Geu missed Layup.,52,42
11:39,155,Conner Avants Block.,52,42
11:37,155,Cortez Seales Defensive Rebound.,52,42
11:34,155,Quinton Hooker missed Three Point Jumper.,52,42
11:34,2449,Paul Miller Defensive Rebound.,52,42
11:28,2449,A.J. Jacobson missed Three Point Jumper.,52,42
11:28,155,Conner Avants Defensive Rebound.,52,42
11:18,2449,Foul on Tyson Ward.,52,42
11:18,155,Official TV Timeout,52,42
11:18,155,Quinton Hooker missed Free Throw.,52,42
11:18,155,Conner Avants Offensive Rebound.,52,42
11:13,155,Corey Baldwin missed Three Point Jumper.,52,42
11:13,2449,Khy Kabellis Defensive Rebound.,52,42
10:58,2449,Dexter Werner made Layup.,54,42
10:43,155,Conner Avants made Layup. Assisted by Quinton Hooker.,54,44
10:24,2449,Paul Miller missed Three Point Jumper.,54,44
10:24,2449,Dexter Werner Offensive Rebound.,54,44
10:21,155,Foul on Geno Crandall.,54,44
10:17,2449,Paul Miller made Layup.,56,44
10:17,155,Foul on Corey Baldwin.,56,44
10:17,2449,Paul Miller made Free Throw.,57,44
9:52,155,Cortez Seales made Jumper.,57,46
9:25,2449,Carlin Dupree missed Jumper.,57,46
9:25,2449,A.J. Jacobson Offensive Rebound.,57,46
8:59,2449,Carlin Dupree made Layup.,59,46
8:52,2449,Foul on Dexter Werner.,59,46
8:52,155,Quinton Hooker made Free Throw.,59,47
8:52,155,Quinton Hooker made Free Throw.,59,48
8:41,2449,Paul Miller Turnover.,59,48
8:26,2449,Foul on Dylan Miller.,59,48
8:26,155,Conner Avants missed Free Throw.,59,48
8:26,155,North Dakota Deadball Team Rebound.,59,48
8:26,155,Conner Avants missed Free Throw.,59,48
8:26,2449,A.J. Jacobson Defensive Rebound.,59,48
8:14,155,Foul on Drick Bernstine.,59,48
8:14,2449,A.J. Jacobson made Free Throw.,60,48
8:14,2449,A.J. Jacobson made Free Throw.,61,48
8:02,155,Conner Avants made Layup. Assisted by Drick Bernstine.,61,50
7:36,2449,Carlin Dupree made Layup.,63,50
7:24,2449,Foul on Carlin Dupree.,63,50
7:24,155,Official TV Timeout,63,50
7:24,155,Cortez Seales made Free Throw.,63,51
7:24,155,Cortez Seales missed Free Throw.,63,51
7:24,155,Drick Bernstine Offensive Rebound.,63,51
7:23,155,Drick Bernstine Turnover.,63,51
7:23,155,Foul on Drick Bernstine.,63,51
7:20,2449,Paul Miller Turnover.,63,51
7:17,2449,Foul on Paul Miller.,63,51
6:52,2449,Foul on Deng Geu.,63,51
6:52,155,Cortez Seales missed Free Throw.,63,51
6:52,155,North Dakota Deadball Team Rebound.,63,51
6:52,155,Cortez Seales missed Free Throw.,63,51
6:52,2449,Deng Geu Defensive Rebound.,63,51
6:23,2449,Paul Miller missed Three Point Jumper.,63,51
6:23,155,Geno Crandall Defensive Rebound.,63,51
6:16,155,Geno Crandall Turnover.,63,51
6:16,155,Foul on Geno Crandall.,63,51
6:08,155,Foul on Conner Avants.,63,51
6:08,2449,Deng Geu made Free Throw.,64,51
6:08,2449,Deng Geu missed Free Throw.,64,51
6:08,155,North Dakota Defensive Rebound.,64,51
6:07,2449,Deng Geu Turnover.,64,51
5:59,155,Quinton Hooker made Jumper.,64,53
5:29,2449,Khy Kabellis missed Three Point Jumper.,64,53
5:29,155,Quinton Hooker Defensive Rebound.,64,53
5:26,2449,Foul on A.J. Jacobson.,64,53
5:26,155,Quinton Hooker made Free Throw.,64,54
5:26,155,Quinton Hooker made Free Throw.,64,55
5:16,155,Foul on Cortez Seales.,64,55
5:16,2449,Paul Miller made Free Throw.,65,55
5:16,2449,Paul Miller missed Free Throw.,65,55
5:16,155,Cortez Seales Defensive Rebound.,65,55
5:02,155,Quinton Hooker Turnover.,65,55
5:02,155,Foul on Quinton Hooker.,65,55
4:50,155,Foul on Conner Avants.,65,55
4:50,2449,A.J. Jacobson made Free Throw.,66,55
4:50,2449,A.J. Jacobson made Free Throw.,67,55
4:43,155,Cortez Seales made Three Point Jumper. Assisted by Quinton Hooker.,67,58
4:28,2449,Tyson Ward Turnover.,67,58
4:28,2449,Foul on Tyson Ward.,67,58
4:20,155,Drick Bernstine missed Three Point Jumper.,67,58
4:20,2449,Deng Geu Defensive Rebound.,67,58
3:57,2449,Khy Kabellis missed Jumper.,67,58
3:57,2449,Tyson Ward Offensive Rebound.,67,58
3:30,2449,Khy Kabellis made Layup.,69,58
3:22,155,Cortez Seales made Jumper.,69,60
3:07,2449,Tyson Ward made Three Point Jumper. Assisted by Khy Kabellis.,72,60
2:43,155,Quinton Hooker Turnover.,72,60
2:42,2449,Paul Miller Steal.,72,60
2:39,2449,Paul Miller made Layup.,74,60
2:36,155,Official TV Timeout,74,60
2:31,2449,Foul on Khy Kabellis.,74,60
2:31,155,Quinton Hooker made Free Throw.,74,61
2:31,155,Quinton Hooker made Free Throw.,74,62
2:12,2449,A.J. Jacobson Turnover.,74,62
2:07,155,Quinton Hooker missed Jumper.,74,62
2:07,2449,Deng Geu Defensive Rebound.,74,62
2:06,155,Foul on Drick Bernstine.,74,62
2:06,2449,Deng Geu made Free Throw.,75,62
2:06,2449,Deng Geu made Free Throw.,76,62
1:55,155,Corey Baldwin missed Layup.,76,62
1:55,2449,Carlin Dupree Defensive Rebound.,76,62
1:49,2449,Carlin Dupree Turnover.,76,62
1:49,155,Quinton Hooker Steal.,76,62
1:49,2449,Foul on Dexter Werner.,76,62
1:45,2449,Foul on Deng Geu.,76,62
1:45,155,Drick Bernstine made Free Throw.,76,63
1:45,155,Drick Bernstine missed Free Throw.,76,63
1:45,2449,Deng Geu Defensive Rebound.,76,63
1:36,2449,Khy Kabellis Turnover.,76,63
1:34,155,Drick Bernstine Steal.,76,63
1:33,155,Drick Bernstine made Dunk.,76,65
1:18,155,Foul on Corey Baldwin.,76,65
1:18,2449,Khy Kabellis missed Free Throw.,76,65
1:18,2449,North Dakota St Deadball Team Rebound.,76,65
1:18,2449,Khy Kabellis made Free Throw.,77,65
1:13,155,Quinton Hooker missed Layup.,77,65
1:13,2449,Khy Kabellis Defensive Rebound.,77,65
1:04,2449,Carlin Dupree made Layup. Assisted by Deng Geu.,79,65
0:57,155,Cortez Seales made Three Point Jumper. Assisted by Billy Brown.,79,68
0:49,155,Foul on Corey Baldwin.,79,68
0:49,2449,A.J. Jacobson made Free Throw.,80,68
0:49,2449,A.J. Jacobson made Free Throw.,81,68
0:45,155,Quinton Hooker missed Three Point Jumper.,81,68
0:45,2449,Khy Kabellis Defensive Rebound.,81,68
0:35,155,Foul on Billy Brown.,81,68
0:35,2449,A.J. Jacobson made Free Throw.,82,68
0:35,2449,A.J. Jacobson missed Free Throw.,82,68
0:35,155,Corey Baldwin Defensive Rebound.,82,68
0:29,155,Corey Baldwin missed Three Point Jumper.,82,68
0:29,155,Drick Bernstine Offensive Rebound.,82,68
0:25,155,Drick Bernstine made Two Point Tip Shot.,82,70
0:24,155,Foul on Cortez Seales.,82,70
0:24,2449,Paul Miller made Free Throw.,83,70
0:24,2449,Paul Miller made Free Throw.,84,70
0:24,2449,North Dakota St  Timeout,84,70
0:19,155,Quinton Hooker missed Layup.,84,70
0:19,2449,A.J. Jacobson Defensive Rebound.,84,70
0:18,155,Foul on Drick Bernstine.,84,70
0:18,2449,Technical Foul on Carlin Dupree.,84,70
0:18,155,Foul on Drick Bernstine.,84,70
0:18,155,Foul on Drick Bernstine.,84,70
0:18,2449,Technical Foul on Khy Kabellis.,84,70
0:18,2449,A.J. Jacobson made Free Throw.,85,70
0:18,2449,Foul on Carlin Dupree.,84,70
0:18,155,Technical Foul on Drick Bernstine.,84,70
0:18,2449,Foul on Khy Kabellis.,84,70
0:18,155,Technical Foul on North Dakota.,84,70
0:18,2449,Technical Foul on North Dakota St.,84,70
0:18,155,Technical Foul on Drick Bernstine.,84,70
0:18,2449,Foul on Khy Kabellis.,84,70
0:18,2449,A.J. Jacobson made Free Throw.,86,70
0:09,155,Foul on Corey Baldwin.,86,70
0:09,2449,Paul Miller missed Free Throw.,86,70
0:09,2449,North Dakota St Deadball Team Rebound.,86,70
0:09,2449,Paul Miller made Free Throw.,87,70
0:00,155,End of Game,87,70
