Samford,6,South Alabama,2535
7:21,6,Nick Stover made Dunk.,20,20
7:03,6,Foul on Georgi Boyanov.,20,20
7:03,2535,Alex Peters made Free Throw.,21,20
7:03,2535,Alex Peters made Free Throw.,22,20
6:44,6,Don MuepoKelly Turnover.,22,20
6:37,6,Foul on Nick Stover.,22,20
6:37,2535,Josh Sharkey made Free Throw.,23,20
6:37,2535,Josh Sharkey made Free Throw.,24,20
6:30,2535,Foul on Gerald Smith.,24,20
6:30,6,Josh Ajayi missed Free Throw.,24,20
6:30,6,South Alabama Deadball Team Rebound.,24,20
6:30,6,Josh Ajayi made Free Throw.,24,21
6:18,2535,Josh Sharkey missed Three Point Jumper.,24,21
6:18,6,South Alabama Defensive Rebound.,24,21
5:54,2535,Foul on Terry Brutus.,24,21
5:54,6,Josh Ajayi made Free Throw.,24,22
5:54,6,Josh Ajayi made Free Throw.,24,23
5:42,6,Foul on Kevin Morris.,24,23
5:42,2535,Wyatt Walker made Free Throw.,25,23
5:42,2535,Wyatt Walker made Free Throw.,26,23
5:41,6,Dederick Lee Turnover.,26,23
5:41,2535,Josh Sharkey Steal.,26,23
5:35,2535,Gerald Smith made Layup.,28,23
5:28,6,Shaq Calhoun missed Three Point Jumper.,28,23
5:28,6,Nick Stover Offensive Rebound.,28,23
5:25,6,Nick Stover made Layup.,28,25
5:14,2535,Triston Chambers missed Jumper.,28,25
5:14,6,South Alabama Deadball Team Rebound.,28,25
4:41,6,Josh Ajayi made Layup.,28,27
4:22,2535,Wyatt Walker made Layup.,30,27
3:58,6,Shaq Calhoun missed Layup.,30,27
3:58,6,Josh Ajayi Offensive Rebound.,30,27
3:55,6,Josh Ajayi made Two Point Tip Shot.,30,29
3:40,2535,Triston Chambers missed Three Point Jumper.,30,29
3:40,6,Josh Ajayi Defensive Rebound.,30,29
3:19,6,Trhae Mitchell missed Three Point Jumper.,30,29
3:19,2535,Wyatt Walker Defensive Rebound.,30,29
3:08,2535,Wyatt Walker Turnover.,30,29
3:07,6,Herb McGee Steal.,30,29
3:03,6,Shaq Calhoun missed Layup.,30,29
3:03,2535,Gerald Smith Defensive Rebound.,30,29
3:01,6,Technical Foul on Shaq Calhoun.,30,29
3:01,6,Foul on Shaq Calhoun.,30,29
3:01,6,Official TV Timeout,30,29
3:01,2535,Christen Cunningham made Free Throw.,31,29
3:01,2535,Christen Cunningham made Free Throw.,32,29
2:44,2535,Demetrius Denzel-Dyson Turnover.,32,29
2:43,6,Herb McGee Steal.,32,29
2:40,6,Herb McGee missed Jumper.,32,29
2:40,6,Trhae Mitchell Offensive Rebound.,32,29
2:36,2535,Foul on Demetrius Denzel-Dyson.,32,29
2:36,6,Don MuepoKelly made Free Throw.,32,30
2:36,6,Don MuepoKelly made Free Throw.,32,31
2:27,2535,Wyatt Walker missed Jumper.,32,31
2:27,6,Herb McGee Defensive Rebound.,32,31
2:13,6,Shaq Calhoun made Jumper.,32,33
1:58,2535,Justin Hopkins missed Layup.,32,33
1:58,6,Don MuepoKelly Block.,32,33
1:56,2535,Christen Cunningham Offensive Rebound.,32,33
1:50,2535,Josh Sharkey Turnover.,32,33
1:45,6,Trhae Mitchell Turnover.,32,33
1:44,2535,Wyatt Walker Steal.,32,33
1:42,2535,Christen Cunningham missed Layup.,32,33
1:42,6,Trhae Mitchell Block.,32,33
1:40,6,Trhae Mitchell Defensive Rebound.,32,33
1:32,2535,Foul on Alex Thompson.,32,33
1:32,6,Don MuepoKelly missed Free Throw.,32,33
1:32,6,South Alabama Deadball Team Rebound.,32,33
1:32,6,Don MuepoKelly missed Free Throw.,32,33
1:32,2535,Christen Cunningham Defensive Rebound.,32,33
1:16,2535,Josh Sharkey made Jumper.,34,33
1:06,6,Ken Williams missed Layup.,34,33
1:06,2535,Wyatt Walker Defensive Rebound.,34,33
0:58,2535,Josh Sharkey Turnover.,34,33
0:39,6,Don MuepoKelly Turnover.,34,33
0:38,2535,Christen Cunningham Steal.,34,33
0:35,2535,Wyatt Walker missed Dunk.,34,33
0:35,6,Ken Williams Block.,34,33
0:34,2535,Justin Hopkins Offensive Rebound.,34,33
0:31,2535,Justin Hopkins missed Layup.,34,33
0:31,2535,Wyatt Walker Offensive Rebound.,34,33
0:27,2535,Wyatt Walker made Layup. Assisted by Justin Hopkins.,36,33
0:05,6,Ken Williams missed Three Point Jumper.,36,33
0:05,6,Don MuepoKelly Offensive Rebound.,36,33
0:00,6,Shaq Calhoun missed Three Point Jumper.,36,33
0:00,2535,Samford Deadball Team Rebound.,36,33
0:00,6,End of 1st half,36,33
19:37,2535,Wyatt Walker Turnover.,36,33
19:36,6,Ken Williams Steal.,36,33
19:33,6,Ken Williams missed Layup.,36,33
19:33,2535,Wyatt Walker Defensive Rebound.,36,33
19:26,2535,Triston Chambers missed Three Point Jumper.,36,33
19:26,6,Georgi Boyanov Defensive Rebound.,36,33
19:01,6,Nick Stover made Three Point Jumper. Assisted by Georgi Boyanov.,36,36
18:49,2535,Alex Thompson made Layup. Assisted by Demetrius Denzel-Dyson.,38,36
18:34,6,Nick Stover missed Jumper.,38,36
18:34,2535,Wyatt Walker Defensive Rebound.,38,36
18:27,6,Foul on Nick Stover.,38,36
18:04,2535,Christen Cunningham made Jumper.,40,36
17:43,6,Ken Williams missed Jumper.,40,36
17:43,2535,Alex Thompson Defensive Rebound.,40,36
17:30,2535,Alex Thompson made Three Point Jumper. Assisted by Triston Chambers.,43,36
17:26,6,South Alabama  Timeout,43,36
17:02,6,Josh Ajayi made Jumper.,43,38
16:35,2535,Alex Thompson missed Three Point Jumper.,43,38
16:35,2535,Wyatt Walker Offensive Rebound.,43,38
16:31,2535,Triston Chambers made Three Point Jumper. Assisted by Christen Cunningham.,46,38
16:06,6,Dederick Lee missed Three Point Jumper.,46,38
16:06,6,Don MuepoKelly Offensive Rebound.,46,38
16:00,2535,Foul on Alex Thompson.,46,38
15:59,6,Nick Stover Turnover.,46,38
15:57,2535,Wyatt Walker Steal.,46,38
15:35,2535,Terry Brutus missed Layup.,46,38
15:35,6,Don MuepoKelly Defensive Rebound.,46,38
15:20,6,Nick Stover made Three Point Jumper. Assisted by Dederick Lee.,46,41
14:52,2535,Terry Brutus made Jumper.,48,41
14:37,2535,Foul on Wyatt Walker.,48,41
14:37,6,Official TV Timeout,48,41
14:37,6,Josh Ajayi missed Free Throw.,48,41
14:37,6,South Alabama Deadball Team Rebound.,48,41
14:37,6,Josh Ajayi made Free Throw.,48,42
14:08,2535,Christen Cunningham made Jumper.,50,42
13:36,6,Herb McGee missed Three Point Jumper.,50,42
13:36,6,Trhae Mitchell Offensive Rebound.,50,42
13:28,6,Shaq Calhoun Turnover.,50,42
13:27,2535,Terry Brutus Steal.,50,42
13:09,2535,Christen Cunningham made Jumper.,52,42
12:48,6,Josh Ajayi Turnover.,52,42
12:45,2535,Demetrius Denzel-Dyson Steal.,52,42
12:43,2535,Demetrius Denzel-Dyson made Dunk.,54,42
12:43,6,South Alabama  Timeout,54,42
12:34,6,Herb McGee missed Three Point Jumper.,54,42
12:34,6,Josh Ajayi Offensive Rebound.,54,42
12:28,6,Shaq Calhoun Turnover.,54,42
12:07,2535,Triston Chambers made Three Point Jumper. Assisted by Terry Brutus.,57,42
11:54,6,Nick Stover missed Three Point Jumper.,57,42
11:54,2535,Terry Brutus Defensive Rebound.,57,42
11:45,2535,Josh Sharkey Turnover.,57,42
11:41,6,Shaq Calhoun made Layup. Assisted by Nick Stover.,57,44
11:29,6,Foul on Trhae Mitchell.,57,44
11:29,6,Official TV Timeout,57,44
11:16,6,Foul on Herb McGee.,57,44
11:16,2535,Josh Sharkey missed Free Throw.,57,44
11:16,2535,Samford Deadball Team Rebound.,57,44
11:16,2535,Josh Sharkey made Free Throw.,58,44
11:11,6,Georgi Boyanov made Layup. Assisted by Don MuepoKelly.,58,46
10:51,6,Foul on Shaq Calhoun.,58,46
10:48,2535,Demetrius Denzel-Dyson missed Layup.,58,46
10:48,2535,Justin Hopkins Offensive Rebound.,58,46
10:46,2535,Justin Hopkins missed Layup.,58,46
10:46,6,Georgi Boyanov Defensive Rebound.,58,46
10:34,2535,Foul on Alex Peters.,58,46
10:33,6,Nick Stover Turnover.,58,46
10:17,2535,Demetrius Denzel-Dyson missed Jumper.,58,46
10:17,6,Georgi Boyanov Defensive Rebound.,58,46
10:06,6,Shaq Calhoun made Jumper.,58,48
9:39,6,Foul on Herb McGee.,58,48
9:39,2535,Christen Cunningham made Free Throw.,59,48
9:39,2535,Christen Cunningham made Free Throw.,60,48
9:17,6,Shaq Calhoun missed Three Point Jumper.,60,48
9:17,2535,Christen Cunningham Defensive Rebound.,60,48
8:57,2535,Wyatt Walker Turnover.,60,48
8:51,2535,Foul on Demetrius Denzel-Dyson.,60,48
8:39,6,Shaq Calhoun made Jumper.,60,50
8:20,6,Foul on Herb McGee.,60,50
8:01,2535,Alex Thompson Turnover.,60,50
7:50,6,Ken Williams made Jumper.,60,52
7:27,2535,Alex Thompson missed Jumper.,60,52
7:27,6,Dederick Lee Defensive Rebound.,60,52
7:20,2535,Foul on Triston Chambers.,60,52
7:20,6,Official TV Timeout,60,52
7:20,6,Dederick Lee made Free Throw.,60,53
7:20,6,Dederick Lee made Free Throw.,60,54
6:59,2535,Wyatt Walker Turnover.,60,54
6:59,2535,Foul on Christen Cunningham.,60,54
6:45,6,Ken Williams missed Three Point Jumper.,60,54
6:45,2535,Christen Cunningham Defensive Rebound.,60,54
6:12,2535,Demetrius Denzel-Dyson missed Jumper.,60,54
6:12,6,Georgi Boyanov Defensive Rebound.,60,54
6:00,6,Ken Williams Turnover.,60,54
6:00,6,Foul on Ken Williams.,60,54
5:43,2535,Josh Sharkey made Three Point Jumper. Assisted by Christen Cunningham.,63,54
5:25,6,Shaq Calhoun made Jumper.,63,56
4:57,2535,Josh Sharkey missed Three Point Jumper.,63,56
4:57,6,Shaq Calhoun Defensive Rebound.,63,56
4:47,6,Shaq Calhoun missed Three Point Jumper.,63,56
4:47,6,South Alabama Offensive Rebound.,63,56
4:45,2535,Foul on Demetrius Denzel-Dyson.,63,56
4:45,6,Georgi Boyanov made Free Throw.,63,57
4:45,6,Georgi Boyanov made Free Throw.,63,58
4:32,2535,Christen Cunningham made Layup. Assisted by Wyatt Walker.,65,58
4:19,6,Georgi Boyanov made Layup. Assisted by Nick Stover.,65,60
4:01,2535,Terry Brutus missed Jumper.,65,60
4:01,2535,Josh Sharkey Offensive Rebound.,65,60
3:31,2535,Wyatt Walker made Layup.,67,60
3:22,6,Dederick Lee Turnover.,67,60
3:19,2535,Christen Cunningham Turnover.,67,60
3:19,6,Official TV Timeout,67,60
3:01,6,Shaq Calhoun made Jumper.,67,62
2:33,2535,Justin Hopkins made Layup. Assisted by Terry Brutus.,69,62
2:32,6,Foul on Nick Stover.,69,62
2:32,2535,Justin Hopkins made Free Throw.,70,62
2:16,6,Shaq Calhoun missed Three Point Jumper.,70,62
2:16,6,South Alabama Offensive Rebound.,70,62
2:03,6,Georgi Boyanov made Layup. Assisted by Nick Stover.,70,64
1:43,2535,Wyatt Walker made Layup. Assisted by Christen Cunningham.,72,64
1:42,6,Foul on Dederick Lee.,72,64
1:42,2535,Wyatt Walker made Free Throw.,73,64
1:33,6,Georgi Boyanov made Three Point Jumper. Assisted by Dederick Lee.,73,67
1:30,6,South Alabama  Timeout,73,67
1:01,2535,Wyatt Walker made Dunk. Assisted by Christen Cunningham.,75,67
0:51,6,Nick Stover missed Jumper.,75,67
0:51,6,Georgi Boyanov Offensive Rebound.,75,67
0:47,6,Georgi Boyanov made Layup.,75,69
0:37,6,Foul on Shaq Calhoun.,75,69
0:37,2535,Christen Cunningham missed Free Throw.,75,69
0:37,2535,Samford Deadball Team Rebound.,75,69
0:37,2535,Christen Cunningham made Free Throw.,76,69
0:29,6,Nick Stover made Layup. Assisted by Don MuepoKelly.,76,71
0:26,6,Foul on Dederick Lee.,76,71
0:26,2535,Josh Sharkey missed Free Throw.,76,71
0:26,2535,Samford Deadball Team Rebound.,76,71
0:26,2535,Josh Sharkey made Free Throw.,77,71
0:26,2535,Samford  Timeout,77,71
0:19,6,Nick Stover made Three Point Jumper.,77,74
0:15,6,Foul on Dederick Lee.,77,74
0:15,2535,Josh Sharkey made Free Throw.,78,74
0:15,2535,Josh Sharkey made Free Throw.,79,74
0:10,6,Shaq Calhoun made Three Point Jumper. Assisted by Dederick Lee.,79,77
0:07,6,Foul on Dederick Lee.,79,77
0:07,2535,Josh Sharkey made Free Throw.,80,77
0:07,2535,Josh Sharkey made Free Throw.,81,77
0:03,2535,Foul on Demetrius Denzel-Dyson.,81,77
0:03,6,Nick Stover made Free Throw.,81,78
0:03,6,Nick Stover made Free Throw.,81,79
0:02,6,Foul on Nick Stover.,81,79
0:02,2535,Christen Cunningham made Free Throw.,82,79
0:02,2535,Terry Brutus Turnover.,82,79
0:00,6,End of Game,82,79
