Tulsa,2287,Illinois State,202
14:03,202,Jump Ball won by Tulsa,0,13
14:02,202,Martins Igbanu Turnover.,0,13
14:02,2287,Keyshawn Evans Steal.,0,13
13:43,2287,MiKyle McIntosh made Three Point Jumper. Assisted by Keyshawn Evans.,0,16
13:23,2287,Foul on Keyshawn Evans.,0,16
13:19,202,Joseph Battle made Three Point Jumper. Assisted by Corey Henderson Jr..,3,16
12:55,2287,Foul on MiKyle McIntosh.,3,16
12:55,2287,MiKyle McIntosh Turnover.,3,16
12:42,2287,Foul on Daouda Ndiaye.,3,16
12:42,202,Junior Etou made Free Throw.,4,16
12:42,202,Junior Etou missed Free Throw.,4,16
12:42,2287,Phil Fayne Defensive Rebound.,4,16
12:27,202,Foul on Junior Etou.,4,16
12:27,2287,Deontae Hawkins made Free Throw.,4,17
12:27,2287,Deontae Hawkins missed Free Throw.,4,17
12:27,202,Martins Igbanu Defensive Rebound.,4,17
12:01,202,Martins Igbanu missed Jumper.,4,17
12:01,2287,Tony Wills Defensive Rebound.,4,17
11:49,2287,Paris Lee missed Layup.,4,17
11:49,202,Martins Igbanu Defensive Rebound.,4,17
11:42,202,Corey Henderson Jr. missed Three Point Jumper.,4,17
11:42,202,Martins Igbanu Offensive Rebound.,4,17
11:37,202,Martins Igbanu missed Jumper.,4,17
11:37,2287,Deontae Hawkins Defensive Rebound.,4,17
11:17,2287,Tony Wills missed Three Point Jumper.,4,17
11:17,202,Tulsa Defensive Rebound.,4,17
11:14,2287,Official TV Timeout,4,17
11:05,202,Junior Etou Turnover.,4,17
10:49,202,Foul on Will Magnay.,4,17
10:49,2287,Deontae Hawkins made Free Throw.,4,18
10:49,2287,Deontae Hawkins made Free Throw.,4,19
10:42,202,Corey Henderson Jr. Turnover.,4,19
10:42,2287,Deontae Hawkins Steal.,4,19
10:37,2287,Phil Fayne Turnover.,4,19
10:26,202,Will Magnay missed Layup.,4,19
10:26,2287,Tony Wills Block.,4,19
10:26,2287,DJ Clayton Defensive Rebound.,4,19
10:14,2287,DJ Clayton made Layup. Assisted by Deontae Hawkins.,4,21
10:08,202,Corey Haith Turnover.,4,21
10:08,2287,Paris Lee Steal.,4,21
10:06,2287,Paris Lee missed Layup.,4,21
10:06,202,Sterling Taplin Block.,4,21
10:06,202,Tulsa Defensive Rebound.,4,21
9:58,202,Sterling Taplin Turnover.,4,21
9:58,2287,Tony Wills Steal.,4,21
9:54,2287,Tony Wills made Layup.,4,23
9:50,202,Tulsa  Timeout,4,23
9:39,202,Pat Birt made Three Point Jumper. Assisted by Sterling Taplin.,7,23
9:20,2287,Foul on MiKyle McIntosh.,7,23
9:20,2287,MiKyle McIntosh Turnover.,7,23
9:06,202,Pat Birt missed Jumper.,7,23
9:06,2287,Paris Lee Defensive Rebound.,7,23
8:58,2287,Paris Lee made Jumper.,7,25
8:52,202,Sterling Taplin Turnover.,7,25
8:52,2287,DJ Clayton Steal.,7,25
8:47,2287,Keyshawn Evans missed Three Point Jumper.,7,25
8:47,2287,DJ Clayton Offensive Rebound.,7,25
8:43,202,Foul on Pat Birt.,7,25
8:41,2287,DJ Clayton missed Layup.,7,25
8:41,2287,Phil Fayne Offensive Rebound.,7,25
8:37,2287,Phil Fayne missed Jumper.,7,25
8:37,202,Will Magnay Defensive Rebound.,7,25
8:28,2287,Foul on Keyshawn Evans.,7,25
8:20,202,Junior Etou made Three Point Jumper. Assisted by Jaleel Wheeler.,10,25
8:03,2287,Paris Lee made Three Point Jumper. Assisted by Keyshawn Evans.,10,28
7:52,202,Pat Birt missed Three Point Jumper.,10,28
7:52,2287,DJ Clayton Defensive Rebound.,10,28
7:36,2287,Paris Lee missed Layup.,10,28
7:36,202,Junior Etou Defensive Rebound.,10,28
7:28,202,Junior Etou Turnover.,10,28
7:28,2287,Phil Fayne Steal.,10,28
7:11,2287,Paris Lee missed Three Point Jumper.,10,28
7:11,2287,Keyshawn Evans Offensive Rebound.,10,28
6:56,2287,DJ Clayton missed Three Point Jumper.,10,28
6:56,202,Jaleel Wheeler Defensive Rebound.,10,28
6:45,202,Jaleel Wheeler Turnover.,10,28
6:45,2287,Official TV Timeout,10,28
6:33,2287,Keyshawn Evans Turnover.,10,28
6:16,202,Corey Henderson Jr. missed Three Point Jumper.,10,28
6:16,2287,Madison Williams Defensive Rebound.,10,28
5:46,2287,Deontae Hawkins made Jumper.,10,30
5:20,202,Martins Igbanu made Layup. Assisted by Sterling Taplin.,12,30
5:03,2287,Deontae Hawkins missed Three Point Jumper.,12,30
5:03,202,Corey Henderson Jr. Defensive Rebound.,12,30
4:41,202,Junior Etou missed Three Point Jumper.,12,30
4:41,2287,Madison Williams Defensive Rebound.,12,30
4:19,2287,Deontae Hawkins missed Layup.,12,30
4:19,202,Martins Igbanu Defensive Rebound.,12,30
4:08,202,Pat Birt missed Three Point Jumper.,12,30
4:08,202,Tulsa Deadball Team Rebound.,12,30
4:04,2287,Foul on Deontae Hawkins.,12,30
4:03,202,Pat Birt made Jumper.,14,30
3:42,2287,Phil Fayne missed Layup.,14,30
3:42,202,Pat Birt Defensive Rebound.,14,30
3:36,2287,Official TV Timeout,14,30
3:31,202,Pat Birt missed Three Point Jumper.,14,30
3:31,2287,Paris Lee Defensive Rebound.,14,30
3:16,202,Foul on Sterling Taplin.,14,30
2:54,2287,Paris Lee made Jumper.,14,32
2:31,202,Junior Etou made Layup. Assisted by Sterling Taplin.,16,32
2:11,2287,MiKyle McIntosh made Three Point Jumper. Assisted by Paris Lee.,16,35
2:06,2287,Illinois St  Timeout,16,35
1:56,202,Sterling Taplin Turnover.,16,35
1:45,2287,Deontae Hawkins missed Jumper.,16,35
1:45,202,TK Edogi Defensive Rebound.,16,35
1:36,202,Travis Atson made Layup. Assisted by Lawson Korita.,18,35
1:24,2287,Deontae Hawkins missed Three Point Jumper.,18,35
1:24,202,Sterling Taplin Defensive Rebound.,18,35
1:13,202,Lawson Korita made Three Point Jumper. Assisted by Pat Birt.,21,35
0:52,202,Foul on TK Edogi.,21,35
0:52,2287,Phil Fayne made Free Throw.,21,36
0:52,2287,Phil Fayne made Free Throw.,21,37
0:42,202,Travis Atson missed Three Point Jumper.,21,37
0:42,2287,Tony Wills Defensive Rebound.,21,37
0:09,2287,Deontae Hawkins missed Three Point Jumper.,21,37
0:09,202,Travis Atson Defensive Rebound.,21,37
0:03,202,Travis Atson Turnover.,21,37
0:03,2287,Tony Wills Steal.,21,37
0:00,2287,End of 1st half,21,37
20:00,2287,Jump Ball won by Illinois St,21,37
19:52,2287,MiKyle McIntosh missed Jumper.,21,37
19:52,202,Will Magnay Defensive Rebound.,21,37
19:46,202,Lawson Korita missed Three Point Jumper.,21,37
19:46,2287,Illinois St Defensive Rebound.,21,37
19:41,202,Foul on Will Magnay.,21,37
19:25,2287,Deontae Hawkins missed Jumper.,21,37
19:25,202,Tulsa Defensive Rebound.,21,37
19:22,2287,Foul on MiKyle McIntosh.,21,37
18:55,202,Lawson Korita missed Jumper.,21,37
18:55,2287,Illinois St Defensive Rebound.,21,37
18:33,2287,Tony Wills made Three Point Jumper. Assisted by Paris Lee.,21,40
17:57,2287,Foul on Paris Lee.,21,40
17:57,202,Pat Birt missed Free Throw.,21,40
17:57,202,Tulsa Deadball Team Rebound.,21,40
17:57,202,Pat Birt missed Free Throw.,21,40
17:57,202,Tulsa Deadball Team Rebound.,21,40
17:57,202,Pat Birt made Free Throw.,22,40
17:30,2287,Paris Lee missed Jumper.,22,40
17:30,2287,Illinois St Deadball Team Rebound.,22,40
17:27,2287,Illinois St  Turnover.,22,40
17:19,202,Junior Etou missed Jumper.,22,40
17:18,2287,Deontae Hawkins Block.,22,40
17:17,202,Junior Etou Offensive Rebound.,22,40
17:12,202,Lawson Korita missed Three Point Jumper.,22,40
17:12,2287,Paris Lee Defensive Rebound.,22,40
16:57,2287,Tony Wills made Jumper.,22,42
16:39,202,Pat Birt missed Jumper.,22,42
16:39,202,Tulsa Deadball Team Rebound.,22,42
16:37,2287,Foul on Deontae Hawkins.,22,42
16:37,202,Pat Birt made Free Throw.,23,42
16:37,202,Pat Birt made Free Throw.,24,42
16:22,2287,Deontae Hawkins missed Jumper.,24,42
16:22,2287,Deontae Hawkins Offensive Rebound.,24,42
16:17,2287,Deontae Hawkins made Layup.,24,44
16:04,202,Junior Etou missed Three Point Jumper.,24,44
16:04,2287,Tony Wills Defensive Rebound.,24,44
15:42,2287,Foul on Keyshawn Evans.,24,44
15:42,2287,Keyshawn Evans Turnover.,24,44
15:42,2287,Official TV Timeout,24,44
15:29,2287,Foul on Phil Fayne.,24,44
15:29,202,Junior Etou made Free Throw.,25,44
15:29,202,Junior Etou made Free Throw.,26,44
15:03,2287,Phil Fayne missed Layup.,26,44
15:03,202,Junior Etou Defensive Rebound.,26,44
14:53,202,Pat Birt missed Jumper.,26,44
14:53,2287,Illinois St Defensive Rebound.,26,44
14:30,2287,Foul on Deontae Hawkins.,26,44
14:30,2287,Deontae Hawkins Turnover.,26,44
14:12,202,Lawson Korita missed Three Point Jumper.,26,44
14:12,202,Junior Etou Offensive Rebound.,26,44
13:55,202,Lawson Korita made Jumper.,28,44
13:26,2287,Madison Williams missed Jumper.,28,44
13:26,202,Jaleel Wheeler Defensive Rebound.,28,44
13:18,202,Martins Igbanu made Layup. Assisted by Jaleel Wheeler.,30,44
13:12,2287,Illinois St  Timeout,30,44
12:59,2287,Deontae Hawkins made Layup. Assisted by MiKyle McIntosh.,30,46
12:36,2287,Foul on Paris Lee.,30,46
12:36,202,Junior Etou made Free Throw.,31,46
12:36,202,Junior Etou made Free Throw.,32,46
12:25,2287,Paris Lee missed Three Point Jumper.,32,46
12:25,202,Lawson Korita Defensive Rebound.,32,46
12:05,202,Pat Birt missed Three Point Jumper.,32,46
12:05,2287,Illinois St Deadball Team Rebound.,32,46
12:02,202,Foul on Will Magnay.,32,46
11:47,2287,Daouda Ndiaye Turnover.,32,46
11:46,2287,Official TV Timeout,32,46
11:33,202,Lawson Korita Turnover.,32,46
11:33,2287,Tony Wills Steal.,32,46
11:20,2287,Deontae Hawkins made Three Point Jumper. Assisted by Paris Lee.,32,49
11:01,202,Corey Henderson Jr. missed Layup.,32,49
11:01,202,Tulsa Offensive Rebound.,32,49
10:51,202,Sterling Taplin Turnover.,32,49
10:51,2287,DJ Clayton Steal.,32,49
10:48,2287,DJ Clayton made Dunk.,32,51
10:20,202,Sterling Taplin missed Three Point Jumper.,32,51
10:20,2287,Tony Wills Defensive Rebound.,32,51
10:11,202,Foul on Sterling Taplin.,32,51
9:59,2287,Tony Wills made Jumper.,32,53
9:33,2287,Foul on Tony Wills.,32,53
9:33,202,Jaleel Wheeler made Free Throw.,33,53
9:33,202,Jaleel Wheeler made Free Throw.,34,53
9:22,202,Foul on Sterling Taplin.,34,53
9:22,202,Foul on Will Magnay.,34,53
9:18,2287,MiKyle McIntosh made Layup.,34,55
9:00,202,Sterling Taplin missed Layup.,34,55
9:00,202,Martins Igbanu Offensive Rebound.,34,55
8:57,202,Jump Ball won by Tulsa,34,55
8:56,2287,Foul on Phil Fayne.,34,55
8:56,202,Junior Etou made Free Throw.,35,55
8:56,202,Junior Etou made Free Throw.,36,55
8:43,2287,Madison Williams missed Jumper.,36,55
8:43,202,Junior Etou Defensive Rebound.,36,55
8:29,2287,Foul on Madison Williams.,36,55
8:29,202,Jaleel Wheeler missed Free Throw.,36,55
8:29,202,Tulsa Deadball Team Rebound.,36,55
8:29,202,Jaleel Wheeler made Free Throw.,37,55
8:29,202,Jaleel Wheeler made Free Throw.,38,55
8:23,2287,Deontae Hawkins missed Jumper.,38,55
8:23,202,Tulsa Deadball Team Rebound.,38,55
8:21,2287,Foul on DJ Clayton.,38,55
8:21,202,Junior Etou made Free Throw.,39,55
8:21,202,Junior Etou made Free Throw.,40,55
7:56,2287,DJ Clayton missed Jumper.,40,55
7:56,2287,Illinois St Deadball Team Rebound.,40,55
7:54,2287,Official TV Timeout,40,55
7:54,202,Foul on Sterling Taplin.,40,55
7:48,2287,Paris Lee made Jumper.,40,57
7:21,2287,Foul on Daouda Ndiaye.,40,57
7:21,202,Junior Etou made Free Throw.,41,57
7:21,202,Junior Etou made Free Throw.,42,57
6:55,2287,DJ Clayton missed Three Point Jumper.,42,57
6:55,202,Jaleel Wheeler Defensive Rebound.,42,57
6:36,202,Corey Henderson Jr. made Three Point Jumper. Assisted by Lawson Korita.,45,57
6:18,2287,MiKyle McIntosh missed Three Point Jumper.,45,57
6:18,202,Corey Henderson Jr. Defensive Rebound.,45,57
5:55,202,Foul on Jaleel Wheeler.,45,57
5:55,202,Jaleel Wheeler Turnover.,45,57
5:50,2287,Deontae Hawkins made Dunk. Assisted by DJ Clayton.,45,59
5:33,202,Lawson Korita missed Jumper.,45,59
5:33,202,Pat Birt Offensive Rebound.,45,59
5:27,202,Lawson Korita missed Layup.,45,59
5:27,2287,MiKyle McIntosh Defensive Rebound.,45,59
5:03,2287,MiKyle McIntosh missed Jumper.,45,59
5:03,202,Junior Etou Defensive Rebound.,45,59
4:55,2287,Foul on Deontae Hawkins.,45,59
4:55,202,Junior Etou made Free Throw.,46,59
4:55,202,Junior Etou made Free Throw.,47,59
4:45,202,Foul on Pat Birt.,47,59
4:45,2287,Paris Lee missed Free Throw.,47,59
4:45,202,Will Magnay Defensive Rebound.,47,59
4:38,2287,Foul on Phil Fayne.,47,59
4:38,202,Jaleel Wheeler made Free Throw.,48,59
4:38,202,Jaleel Wheeler made Free Throw.,49,59
4:31,2287,MiKyle McIntosh missed Jumper.,49,59
4:31,202,Tulsa Defensive Rebound.,49,59
4:20,202,Corey Henderson Jr. missed Three Point Jumper.,49,59
4:20,2287,Paris Lee Defensive Rebound.,49,59
4:05,202,Foul on Will Magnay.,49,59
4:05,2287,Phil Fayne made Free Throw.,49,60
4:05,2287,Phil Fayne missed Free Throw.,49,60
4:05,202,Pat Birt Defensive Rebound.,49,60
3:50,202,Sterling Taplin missed Layup.,49,60
3:50,202,Junior Etou Offensive Rebound.,49,60
3:50,202,Junior Etou made Two Point Tip Shot.,51,60
3:39,2287,Official TV Timeout,51,60
3:33,202,Foul on Sterling Taplin.,51,60
3:33,2287,Paris Lee missed Free Throw.,51,60
3:33,2287,Illinois St Deadball Team Rebound.,51,60
3:33,2287,Paris Lee made Free Throw.,51,61
3:24,2287,Foul on MiKyle McIntosh.,51,61
3:24,202,Jaleel Wheeler missed Free Throw.,51,61
3:24,202,Tulsa Deadball Team Rebound.,51,61
3:24,202,Jaleel Wheeler made Free Throw.,52,61
2:57,202,Foul on Pat Birt.,52,61
2:57,2287,Paris Lee made Free Throw.,52,62
2:57,2287,Paris Lee made Free Throw.,52,63
2:32,202,Jaleel Wheeler missed Three Point Jumper.,52,63
2:32,202,Tulsa Offensive Rebound.,52,63
2:27,202,Pat Birt missed Three Point Jumper.,52,63
2:27,202,Tulsa Deadball Team Rebound.,52,63
2:25,202,Tulsa  Turnover.,52,63
2:17,2287,MiKyle McIntosh Turnover.,52,63
2:17,202,Jaleel Wheeler Steal.,52,63
2:13,202,Jaleel Wheeler made Layup.,54,63
2:11,202,Tulsa  Timeout,54,63
1:44,2287,DJ Clayton made Layup.,54,65
1:44,202,Foul on Jaleel Wheeler.,54,65
1:44,2287,DJ Clayton missed Free Throw.,54,65
1:44,202,Junior Etou Defensive Rebound.,54,65
1:24,202,Junior Etou made Layup. Assisted by Jaleel Wheeler.,56,65
1:11,202,Foul on Junior Etou.,56,65
1:11,2287,MiKyle McIntosh made Free Throw.,56,66
1:11,2287,Illinois St  Timeout,56,66
1:11,2287,MiKyle McIntosh made Free Throw.,56,67
1:01,202,Jaleel Wheeler missed Three Point Jumper.,56,67
1:01,2287,Illinois St Defensive Rebound.,56,67
0:54,202,Foul on Pat Birt.,56,67
0:54,2287,Paris Lee missed Free Throw.,56,67
0:54,2287,Illinois St Deadball Team Rebound.,56,67
0:54,2287,Paris Lee made Free Throw.,56,68
0:39,202,Pat Birt Turnover.,56,68
0:39,2287,MiKyle McIntosh Steal.,56,68
0:10,2287,Tony Wills missed Three Point Jumper.,56,68
0:10,202,Tulsa Defensive Rebound.,56,68
0:06,202,Corey Henderson Jr. missed Three Point Jumper.,56,68
0:06,202,Pat Birt Offensive Rebound.,56,68
0:00,2287,End of 2nd half,56,68
0:00,2287,End of Game,56,68
