Toledo,2603,Saint Joseph's,2649
12:08,2603,Javon Baumann made Free Throw.,14,11
11:55,2649,Jaelan Sanford Turnover.,14,11
11:55,2603,Official TV Timeout,14,11
11:41,2603,Chris Clover missed Jumper.,14,11
11:41,2649,Nate Navigato Defensive Rebound.,14,11
11:26,2649,Daniel Dzierzawski missed Jumper.,14,11
11:26,2603,Charlie Brown Block.,14,11
11:26,2603,Charlie Brown Defensive Rebound.,14,11
11:14,2603,Shavar Newkirk missed Jumper.,14,11
11:14,2649,Jordan Lauf Defensive Rebound.,14,11
10:55,2649,Daniel Dzierzawski missed Layup.,14,11
10:55,2649,Jordan Lauf Offensive Rebound.,14,11
10:32,2649,Jaelan Sanford missed Jumper.,14,11
10:32,2603,Shavar Newkirk Defensive Rebound.,14,11
10:20,2603,Javon Baumann missed Jumper.,14,11
10:20,2649,Zach Garber Defensive Rebound.,14,11
10:05,2649,Nate Navigato made Jumper. Assisted by Daniel Dzierzawski.,16,11
9:44,2603,Nick Robinson made Three Point Jumper. Assisted by Shavar Newkirk.,16,14
9:20,2603,Foul on Chris Clover.,16,14
9:20,2649,Jordan Lauf made Free Throw.,17,14
9:20,2649,Jordan Lauf made Free Throw.,18,14
9:06,2603,Shavar Newkirk made Three Point Jumper.,18,17
8:41,2649,Jordan Lauf missed Three Point Jumper.,18,17
8:41,2603,Shavar Newkirk Defensive Rebound.,18,17
8:30,2603,Shavar Newkirk missed Jumper.,18,17
8:30,2649,Steve Taylor Jr. Defensive Rebound.,18,17
8:24,2649,Jaelan Sanford made Three Point Jumper. Assisted by Steve Taylor Jr..,21,17
8:10,2603,Foul on Jai Williams.,21,17
8:10,2603,Jai Williams Turnover.,21,17
7:51,2603,Foul on Nick Robinson.,21,17
7:51,2603,Official TV Timeout,21,17
7:51,2649,Jaelan Sanford missed Free Throw.,21,17
7:51,2649,Toledo Deadball Team Rebound.,21,17
7:51,2649,Jaelan Sanford made Free Throw.,22,17
7:51,2649,Jaelan Sanford made Free Throw.,23,17
7:39,2649,Foul on Daniel Dzierzawski.,23,17
7:39,2603,Shavar Newkirk made Free Throw.,23,18
7:39,2603,Shavar Newkirk made Free Throw.,23,19
7:22,2649,Foul on Steve Taylor Jr..,23,19
7:22,2649,Steve Taylor Jr. Turnover.,23,19
7:15,2603,Shavar Newkirk made Layup.,23,21
6:52,2649,Jonathan Williams made Jumper. Assisted by Justin Roberts.,25,21
6:35,2603,James Demery missed Three Point Jumper.,25,21
6:35,2649,Steve Taylor Jr. Defensive Rebound.,25,21
6:28,2649,Steve Taylor Jr. made Dunk.,27,21
6:20,2649,Foul on Luke Knapke.,27,21
6:20,2603,Jai Williams made Free Throw.,27,22
6:20,2603,Jai Williams missed Free Throw.,27,22
6:20,2649,Steve Taylor Jr. Defensive Rebound.,27,22
5:54,2649,Steve Taylor Jr. missed Three Point Jumper.,27,22
5:54,2603,Charlie Brown Defensive Rebound.,27,22
5:47,2649,Foul on Justin Roberts.,27,22
5:47,2603,Shavar Newkirk made Free Throw.,27,23
5:47,2603,Shavar Newkirk made Free Throw.,27,24
5:28,2649,Steve Taylor Jr. made Layup. Assisted by Zach Garber.,29,24
5:13,2603,Lamarr Kimble missed Jumper.,29,24
5:13,2649,Steve Taylor Jr. Defensive Rebound.,29,24
5:01,2649,Jonathan Williams made Three Point Jumper.,32,24
4:45,2603,Lamarr Kimble made Three Point Jumper. Assisted by Markell Lodge.,32,27
4:29,2603,Foul on Charlie Brown.,32,27
4:29,2649,Jordan Lauf made Free Throw.,33,27
4:29,2649,Jordan Lauf made Free Throw.,34,27
4:12,2603,Shavar Newkirk made Three Point Jumper.,34,30
3:49,2603,Foul on Markell Lodge.,34,30
3:49,2603,Official TV Timeout,34,30
3:49,2649,Zach Garber made Free Throw.,35,30
3:49,2649,Zach Garber made Free Throw.,36,30
3:40,2603,James Demery made Layup. Assisted by Lamarr Kimble.,36,32
3:20,2649,Jaelan Sanford missed Three Point Jumper.,36,32
3:20,2649,Nate Navigato Offensive Rebound.,36,32
3:08,2649,Zach Garber Turnover.,36,32
3:08,2649,Foul on Zach Garber.,36,32
2:57,2603,James Demery Turnover.,36,32
2:45,2603,Foul on Javon Baumann.,36,32
2:45,2649,Zach Garber missed Free Throw.,36,32
2:45,2649,Toledo Deadball Team Rebound.,36,32
2:45,2649,Zach Garber made Free Throw.,37,32
2:31,2603,Charlie Brown made Three Point Jumper. Assisted by Shavar Newkirk.,37,35
2:07,2649,Zach Garber Turnover.,37,35
2:06,2603,James Demery Steal.,37,35
2:03,2603,James Demery made Dunk.,37,37
1:38,2649,Zach Garber missed Layup.,37,37
1:38,2603,Javon Baumann Defensive Rebound.,37,37
1:28,2649,Foul on Jordan Lauf.,37,37
1:28,2603,Lamarr Kimble missed Free Throw.,37,37
1:28,2603,Saint Joseph's Deadball Team Rebound.,37,37
1:28,2603,Lamarr Kimble made Free Throw.,37,38
1:16,2649,Jordan Lauf made Three Point Jumper. Assisted by Jaelan Sanford.,40,38
1:02,2603,Jai Williams made Dunk. Assisted by Shavar Newkirk.,40,40
0:44,2649,Jaelan Sanford missed Three Point Jumper.,40,40
0:44,2603,James Demery Defensive Rebound.,40,40
0:38,2603,Saint Joseph's  Timeout,40,40
0:28,2603,Charlie Brown missed Three Point Jumper.,40,40
0:28,2603,Saint Joseph's Offensive Rebound.,40,40
0:03,2603,Shavar Newkirk missed Jumper.,40,40
0:03,2649,Jaelan Sanford Defensive Rebound.,40,40
0:03,2603,Foul on Shavar Newkirk.,40,40
0:03,2649,Jaelan Sanford missed Free Throw.,40,40
0:03,2649,Toledo Deadball Team Rebound.,40,40
0:03,2649,Jaelan Sanford made Free Throw.,41,40
0:01,2603,Shavar Newkirk missed Three Point Jumper.,41,40
0:01,2603,Saint Joseph's Deadball Team Rebound.,41,40
0:00,2603,End of 1st half,41,40
19:50,2649,Jonathan Williams made Layup. Assisted by Steve Taylor Jr..,43,40
19:30,2603,James Demery made Dunk. Assisted by Lamarr Kimble.,43,42
19:13,2649,Steve Taylor Jr. missed Layup.,43,42
19:13,2603,Shavar Newkirk Defensive Rebound.,43,42
18:56,2603,James Demery made Layup. Assisted by Charlie Brown.,43,44
18:32,2649,Daniel Dzierzawski made Jumper.,45,44
18:13,2603,Shavar Newkirk missed Jumper.,45,44
18:13,2649,Daniel Dzierzawski Defensive Rebound.,45,44
17:52,2649,Jonathan Williams missed Layup.,45,44
17:52,2649,Toledo Offensive Rebound.,45,44
17:51,2603,Foul on Charlie Brown.,45,44
17:48,2649,Jonathan Williams missed Three Point Jumper.,45,44
17:48,2603,James Demery Defensive Rebound.,45,44
17:40,2603,James Demery made Layup.,45,46
17:20,2649,Jonathan Williams Turnover.,45,46
17:14,2603,Lamarr Kimble Turnover.,45,46
17:02,2603,Foul on Lamarr Kimble.,45,46
16:53,2649,Daniel Dzierzawski made Layup.,47,46
16:34,2603,Lamarr Kimble Turnover.,47,46
16:22,2649,Daniel Dzierzawski Turnover.,47,46
16:08,2603,Shavar Newkirk missed Jumper.,47,46
16:08,2649,Daniel Dzierzawski Defensive Rebound.,47,46
16:04,2649,Daniel Dzierzawski missed Layup.,47,46
16:04,2603,James Demery Block.,47,46
16:04,2649,Toledo Offensive Rebound.,47,46
15:57,2649,Jonathan Williams Turnover.,47,46
15:57,2603,Official TV Timeout,47,46
15:38,2603,James Demery missed Jumper.,47,46
15:38,2603,Saint Joseph's Deadball Team Rebound.,47,46
15:37,2649,Foul on Nate Navigato.,47,46
15:26,2603,James Demery missed Layup.,47,46
15:26,2603,James Demery Offensive Rebound.,47,46
15:20,2603,Lamarr Kimble missed Three Point Jumper.,47,46
15:20,2649,Steve Taylor Jr. Defensive Rebound.,47,46
15:13,2649,Jonathan Williams missed Three Point Jumper.,47,46
15:13,2603,Nick Robinson Defensive Rebound.,47,46
15:06,2649,Foul on Nate Navigato.,47,46
15:06,2603,Nick Robinson made Free Throw.,47,47
15:06,2603,Nick Robinson made Free Throw.,47,48
14:46,2649,Steve Taylor Jr. missed Layup.,47,48
14:46,2603,Markell Lodge Block.,47,48
14:44,2603,Shavar Newkirk Defensive Rebound.,47,48
14:36,2603,Nick Robinson Turnover.,47,48
14:35,2649,Steve Taylor Jr. Steal.,47,48
14:32,2649,Daniel Dzierzawski made Layup.,49,48
14:21,2603,Shavar Newkirk made Jumper.,49,50
14:03,2649,Steve Taylor Jr. made Jumper. Assisted by Daniel Dzierzawski.,51,50
13:47,2603,Shavar Newkirk made Three Point Jumper.,51,53
13:20,2649,Daniel Dzierzawski made Three Point Jumper. Assisted by Steve Taylor Jr..,54,53
12:53,2603,Shavar Newkirk made Jumper.,54,55
12:20,2649,Jaelan Sanford Turnover.,54,55
12:20,2603,Chris Clover Steal.,54,55
12:20,2649,Foul on Zach Garber.,54,55
12:10,2603,James Demery Turnover.,54,55
12:07,2649,Nate Navigato missed Three Point Jumper.,54,55
12:07,2603,James Demery Defensive Rebound.,54,55
11:55,2603,James Demery missed Layup.,54,55
11:55,2603,Saint Joseph's Deadball Team Rebound.,54,55
11:55,2649,Foul on Zach Garber.,54,55
11:55,2603,Official TV Timeout,54,55
11:52,2603,Charlie Brown missed Jumper.,54,55
11:52,2649,Zach Garber Defensive Rebound.,54,55
11:35,2649,Nate Navigato missed Three Point Jumper.,54,55
11:35,2649,Jaelan Sanford Offensive Rebound.,54,55
11:31,2649,Jaelan Sanford missed Jumper.,54,55
11:31,2603,Charlie Brown Block.,54,55
11:30,2649,Toledo Offensive Rebound.,54,55
11:26,2649,Nate Navigato missed Three Point Jumper.,54,55
11:26,2603,Nick Robinson Defensive Rebound.,54,55
11:16,2603,Lamarr Kimble made Layup.,54,57
11:16,2649,Foul on Zach Garber.,54,57
11:16,2603,Lamarr Kimble made Free Throw.,54,58
11:06,2603,Foul on Chris Clover.,54,58
10:48,2649,Steve Taylor Jr. made Layup. Assisted by Taylor Adway.,56,58
10:30,2603,Lamarr Kimble missed Jumper.,56,58
10:30,2649,Jaelan Sanford Block.,56,58
10:28,2649,Nate Navigato Defensive Rebound.,56,58
10:21,2649,Jordan Lauf missed Three Point Jumper.,56,58
10:21,2603,Javon Baumann Defensive Rebound.,56,58
10:16,2603,Lamarr Kimble missed Layup.,56,58
10:16,2649,Nate Navigato Block.,56,58
10:13,2649,Nate Navigato Defensive Rebound.,56,58
10:08,2603,Foul on Nick Robinson.,56,58
10:06,2649,Nate Navigato missed Jumper.,56,58
10:06,2649,Taylor Adway Offensive Rebound.,56,58
9:58,2649,Nate Navigato missed Three Point Jumper.,56,58
9:58,2649,Taylor Adway Offensive Rebound.,56,58
9:54,2649,Nate Navigato made Three Point Jumper. Assisted by Jordan Lauf.,59,58
9:36,2603,Chris Clover missed Layup.,59,58
9:36,2603,Javon Baumann Offensive Rebound.,59,58
9:34,2603,Javon Baumann missed Two Point Tip Shot.,59,58
9:34,2603,Javon Baumann Offensive Rebound.,59,58
9:26,2603,Nick Robinson made Jumper.,59,60
9:03,2649,Toledo  Timeout,59,60
8:53,2649,Nate Navigato missed Jumper.,59,60
8:53,2603,Lamarr Kimble Defensive Rebound.,59,60
8:37,2603,Shavar Newkirk missed Jumper.,59,60
8:37,2603,Shavar Newkirk Offensive Rebound.,59,60
8:24,2603,Charlie Brown missed Jumper.,59,60
8:24,2649,Toledo Defensive Rebound.,59,60
8:04,2603,Foul on James Demery.,59,60
8:04,2603,Foul on Charlie Brown.,59,60
8:03,2649,Daniel Dzierzawski Turnover.,59,60
7:41,2603,James Demery missed Three Point Jumper.,59,60
7:41,2649,Daniel Dzierzawski Defensive Rebound.,59,60
7:31,2603,Official TV Timeout,59,60
7:24,2649,Jonathan Williams made Layup.,61,60
6:53,2603,Markell Lodge made Jumper. Assisted by Lamarr Kimble.,61,62
6:34,2649,Steve Taylor Jr. made Layup.,63,62
6:02,2603,Shavar Newkirk made Jumper.,63,64
5:38,2649,Steve Taylor Jr. made Layup. Assisted by Jordan Lauf.,65,64
5:16,2603,Lamarr Kimble made Layup.,65,66
4:55,2649,Jonathan Williams missed Jumper.,65,66
4:55,2603,Shavar Newkirk Defensive Rebound.,65,66
4:46,2603,Charlie Brown missed Three Point Jumper.,65,66
4:46,2649,Jaelan Sanford Defensive Rebound.,65,66
4:41,2649,Jonathan Williams missed Layup.,65,66
4:41,2603,Markell Lodge Block.,65,66
4:40,2649,Jordan Lauf Offensive Rebound.,65,66
4:37,2649,Jordan Lauf made Layup.,67,66
4:19,2603,Lamarr Kimble Turnover.,67,66
4:05,2603,Foul on Markell Lodge.,67,66
4:05,2649,Steve Taylor Jr. missed Free Throw.,67,66
4:05,2603,James Demery Defensive Rebound.,67,66
3:50,2603,Lamarr Kimble made Jumper.,67,68
3:50,2649,Foul on Jonathan Williams.,67,68
3:50,2603,Official TV Timeout,67,68
3:50,2603,Lamarr Kimble missed Free Throw.,67,68
3:50,2603,Javon Baumann Offensive Rebound.,67,68
3:29,2649,Foul on Zach Garber.,67,68
3:29,2603,Javon Baumann missed Free Throw.,67,68
3:29,2603,Saint Joseph's Deadball Team Rebound.,67,68
3:29,2603,Javon Baumann missed Free Throw.,67,68
3:29,2649,Steve Taylor Jr. Defensive Rebound.,67,68
3:18,2603,Foul on Javon Baumann.,67,68
3:18,2649,Jonathan Williams made Free Throw.,68,68
3:18,2649,Jonathan Williams made Free Throw.,69,68
2:59,2603,Lamarr Kimble missed Jumper.,69,68
2:59,2649,Toledo Defensive Rebound.,69,68
2:35,2649,Foul on Jonathan Williams.,69,68
2:35,2649,Jonathan Williams Turnover.,69,68
2:27,2603,Shavar Newkirk made Layup.,69,70
2:27,2649,Foul on Daniel Dzierzawski.,69,70
2:27,2603,Shavar Newkirk missed Free Throw.,69,70
2:27,2649,Nate Navigato Defensive Rebound.,69,70
2:04,2649,Steve Taylor Jr. made Jumper.,71,70
2:00,2603,Saint Joseph's  Timeout,71,70
1:51,2603,Charlie Brown missed Three Point Jumper.,71,70
1:51,2603,James Demery Offensive Rebound.,71,70
1:45,2603,James Demery missed Jumper.,71,70
1:45,2603,Markell Lodge Offensive Rebound.,71,70
1:42,2603,Markell Lodge made Jumper.,71,72
1:18,2649,Toledo  Timeout,71,72
1:09,2649,Daniel Dzierzawski missed Jumper.,71,72
1:09,2603,James Demery Defensive Rebound.,71,72
0:46,2603,Shavar Newkirk made Jumper.,71,74
0:42,2649,Toledo  Timeout,71,74
0:29,2649,Daniel Dzierzawski missed Layup.,71,74
0:29,2603,Shavar Newkirk Defensive Rebound.,71,74
0:25,2649,Foul on Daniel Dzierzawski.,71,74
0:25,2603,Shavar Newkirk made Free Throw.,71,75
0:25,2603,Shavar Newkirk made Free Throw.,71,76
0:19,2649,Daniel Dzierzawski made Layup.,73,76
0:11,2649,Foul on Jonathan Williams.,73,76
0:11,2603,James Demery made Free Throw.,73,77
0:11,2603,James Demery missed Free Throw.,73,77
0:11,2649,Nate Navigato Defensive Rebound.,73,77
0:05,2649,Daniel Dzierzawski Turnover.,73,77
0:05,2603,Nick Robinson Steal.,73,77
0:04,2649,Daniel Dzierzawski Turnover.,73,77
0:03,2649,Foul on Jordan Lauf.,73,77
0:03,2603,Nick Robinson missed Free Throw.,73,77
0:03,2603,Saint Joseph's Deadball Team Rebound.,73,77
0:03,2603,Nick Robinson missed Free Throw.,73,77
0:03,2649,Nate Navigato Defensive Rebound.,73,77
0:00,2649,Jaelan Sanford made Three Point Jumper.,76,77
0:00,2603,End of Game,73,77
