Ferrum,Error,Winthrop,2737
13:36,2737,Joshua Davenport missed Three Point Jumper.,7,6
13:36,-1,Josh Dudley Defensive Rebound.,7,6
13:10,-1,Josh Grimard made Three Point Jumper. Assisted by Jordan Mann.,10,6
12:56,2737,Xavier Cooks missed Three Point Jumper.,10,6
12:56,-1,Ferrum Defensive Rebound.,10,6
12:40,-1,Josh Grimard Turnover.,10,6
12:19,2737,Joshua Davenport missed Jumper.,10,6
12:19,2737,Duby Okeke Offensive Rebound.,10,6
12:11,2737,Bjorn Broman missed Three Point Jumper.,10,6
12:11,-1,Dj Christian Defensive Rebound.,10,6
11:39,-1,Rashad Reed missed Jumper.,10,6
11:39,2737,Joshua Davenport Defensive Rebound.,10,6
11:16,2737,Duby Okeke made Dunk. Assisted by Joshua Davenport.,10,8
10:43,-1,Dj Christian made Jumper. Assisted by Rashad Reed.,12,8
10:29,2737,Joshua Davenport missed Three Point Jumper.,12,8
10:29,2737,Roderick Perkins Offensive Rebound.,12,8
10:23,2737,Roderick Perkins made Layup.,12,10
10:08,-1,Rashad Reed missed Three Point Jumper.,12,10
10:08,2737,Joshua Davenport Defensive Rebound.,12,10
9:57,2737,Roderick Perkins missed Three Point Jumper.,12,10
9:57,-1,Josh Grimard Defensive Rebound.,12,10
9:30,2737,Foul on Bjorn Broman.,12,10
9:30,2737,Official TV Timeout,12,10
9:04,-1,R.J. Turner made Jumper.,14,10
8:49,2737,Keon Johnson missed Jumper.,14,10
8:49,2737,Winthrop Offensive Rebound.,14,10
8:36,2737,Xavier Cooks made Layup.,14,12
8:07,-1,Rashad Reed made Layup.,16,12
7:51,-1,Foul on Dj Christian.,16,12
7:51,2737,Official TV Timeout,16,12
7:42,2737,Xavier Cooks made Dunk. Assisted by Tevin Prescott.,16,14
7:27,-1,Foul on Jordyn Propst.,16,14
7:27,-1,R.J. Turner Turnover.,16,14
7:14,2737,Adam Pickett made Layup.,16,16
6:54,-1,Jordyn Propst missed Three Point Jumper.,16,16
6:54,2737,Xavier Cooks Defensive Rebound.,16,16
6:42,2737,Adam Pickett made Layup.,16,18
6:14,-1,Josh Dudley missed Layup.,16,18
6:14,2737,Tevin Prescott Block.,16,18
6:14,-1,Ferrum Offensive Rebound.,16,18
6:10,-1,Josh Grimard made Jumper.,18,18
5:58,2737,Adam Pickett Turnover.,18,18
5:38,-1,Josh Dudley Turnover.,18,18
5:28,-1,Foul on Jovon Miller.,18,18
5:18,2737,Xavier Cooks Turnover.,18,18
5:17,-1,D'Andre Mullen Steal.,18,18
5:10,-1,Josh Grimard missed Three Point Jumper.,18,18
5:10,2737,Duby Okeke Defensive Rebound.,18,18
5:08,-1,Foul on Jovon Miller.,18,18
4:55,2737,Anders Broman Turnover.,18,18
4:31,2737,Foul on Adam Pickett.,18,18
4:31,-1,Josh Dudley made Free Throw.,19,18
4:31,-1,Josh Dudley made Free Throw.,20,18
4:20,2737,Joshua Davenport made Dunk. Assisted by Adam Pickett.,20,20
4:13,-1,Josh Dudley Turnover.,20,20
3:55,2737,Adam Pickett missed Layup.,20,20
3:55,-1,Jordan Mann Defensive Rebound.,20,20
3:23,-1,Josh Dudley Turnover.,20,20
3:22,2737,Keon Johnson Steal.,20,20
3:19,2737,Joshua Davenport made Jumper. Assisted by Keon Johnson.,20,22
2:47,-1,Jordan Mann missed Three Point Jumper.,20,22
2:47,2737,Joshua Davenport Defensive Rebound.,20,22
2:40,2737,Joshua Davenport made Jumper.,20,24
2:15,2737,Foul on Adam Pickett.,20,24
2:15,2737,Official TV Timeout,20,24
2:07,-1,Josh Grimard missed Jumper.,20,24
2:07,2737,Xavier Cooks Defensive Rebound.,20,24
2:01,2737,Xavier Cooks Turnover.,20,24
2:00,-1,D'Andre Mullen Steal.,20,24
1:58,-1,Josh Dudley made Layup.,22,24
1:48,2737,Xavier Cooks missed Jumper.,22,24
1:48,2737,Xavier Cooks Offensive Rebound.,22,24
1:40,-1,Foul on Josh Dudley.,22,24
1:40,2737,Xavier Cooks made Free Throw.,22,25
1:40,2737,Xavier Cooks made Free Throw.,22,26
1:19,-1,Foul on Josh Grimard.,22,26
1:19,-1,Josh Grimard Turnover.,22,26
1:08,2737,Keon Johnson missed Three Point Jumper.,22,26
1:08,2737,Xavier Cooks Offensive Rebound.,22,26
0:59,2737,Keon Johnson missed Jumper.,22,26
0:59,2737,Xavier Cooks Offensive Rebound.,22,26
0:54,-1,Foul on Jordan Mann.,22,26
0:54,2737,Xavier Cooks made Free Throw.,22,27
0:54,2737,Xavier Cooks made Free Throw.,22,28
0:48,-1,D'Andre Mullen Turnover.,22,28
0:47,2737,Roderick Perkins Steal.,22,28
0:46,2737,Roderick Perkins made Layup.,22,30
0:20,-1,Josh Dudley missed Jumper.,22,30
0:20,2737,Xavier Cooks Defensive Rebound.,22,30
0:00,2737,End of 1st half,22,30
19:41,-1,Josh Grimard made Three Point Jumper. Assisted by D'Andre Mullen.,25,30
19:30,2737,Keon Johnson missed Jumper.,25,30
19:30,-1,Jordan Mann Defensive Rebound.,25,30
19:10,-1,Josh Dudley Turnover.,25,30
19:10,2737,Bjorn Broman Steal.,25,30
19:06,-1,Foul on Josh Dudley.,25,30
19:06,2737,Anders Broman made Free Throw.,25,31
19:06,2737,Anders Broman made Free Throw.,25,32
18:43,-1,Jordan Mann made Three Point Jumper. Assisted by Josh Dudley.,28,32
18:29,2737,Xavier Cooks made Layup.,28,34
18:01,-1,Jordan Mann missed Jumper.,28,34
18:01,2737,Bjorn Broman Defensive Rebound.,28,34
17:47,2737,Xavier Cooks made Layup.,28,36
17:24,-1,Jovon Miller Turnover.,28,36
17:24,2737,Xavier Cooks Steal.,28,36
17:11,2737,Tevin Prescott missed Three Point Jumper.,28,36
17:11,-1,Josh Grimard Defensive Rebound.,28,36
16:52,-1,Josh Dudley Turnover.,28,36
16:30,2737,Bjorn Broman made Three Point Jumper. Assisted by Keon Johnson.,28,39
16:04,-1,Josh Dudley made Jumper.,30,39
15:50,2737,Xavier Cooks missed Three Point Jumper.,30,39
15:50,-1,Josh Dudley Defensive Rebound.,30,39
15:44,2737,Foul on Bjorn Broman.,30,39
15:44,2737,Official TV Timeout,30,39
15:25,-1,Carrington Young missed Layup.,30,39
15:25,2737,Xavier Cooks Block.,30,39
15:24,2737,Duby Okeke Defensive Rebound.,30,39
15:20,-1,Foul on D'Andre Mullen.,30,39
15:14,-1,Foul on Josh Dudley.,30,39
15:14,2737,Duby Okeke missed Free Throw.,30,39
15:14,2737,Winthrop Deadball Team Rebound.,30,39
15:14,2737,Duby Okeke made Free Throw.,30,40
15:00,-1,R.J. Turner made Jumper.,32,40
14:42,2737,Roderick Perkins missed Three Point Jumper.,32,40
14:42,2737,Joshua Davenport Offensive Rebound.,32,40
14:39,2737,Joshua Davenport missed Dunk.,32,40
14:39,-1,R.J. Turner Defensive Rebound.,32,40
14:06,-1,Jordan Mann missed Jumper.,32,40
14:06,2737,Duby Okeke Defensive Rebound.,32,40
14:03,2737,Foul on Adam Pickett.,32,40
14:03,2737,Adam Pickett Turnover.,32,40
13:34,-1,R.J. Turner missed Three Point Jumper.,32,40
13:34,2737,Roderick Perkins Defensive Rebound.,32,40
13:27,-1,Foul on R.J. Turner.,32,40
13:27,2737,Duby Okeke missed Free Throw.,32,40
13:27,2737,Winthrop Deadball Team Rebound.,32,40
13:27,2737,Duby Okeke made Free Throw.,32,41
13:05,-1,R.J. Turner Turnover.,32,41
13:04,2737,Duby Okeke Steal.,32,41
13:01,2737,Duby Okeke made Dunk.,32,43
12:27,-1,Josh Dudley missed Layup.,32,43
12:27,2737,Joshua Davenport Defensive Rebound.,32,43
12:22,2737,Keon Johnson missed Three Point Jumper.,32,43
12:22,-1,Jovon Miller Defensive Rebound.,32,43
12:19,2737,Foul on Xavier Cooks.,32,43
11:55,-1,Rashad Reed missed Jumper.,32,43
11:55,2737,Winthrop Defensive Rebound.,32,43
11:54,2737,Official TV Timeout,32,43
11:41,2737,Joshua Davenport missed Three Point Jumper.,32,43
11:41,2737,Duby Okeke Offensive Rebound.,32,43
11:36,2737,Duby Okeke made Dunk.,32,45
11:04,-1,Dj Christian made Jumper. Assisted by Jovon Miller.,34,45
10:48,2737,Duby Okeke Turnover.,34,45
10:25,-1,Josh Dudley made Jumper.,36,45
10:25,2737,Foul on Duby Okeke.,36,45
10:25,-1,Josh Dudley made Free Throw.,37,45
10:06,2737,Roderick Perkins missed Jumper.,37,45
10:06,-1,Rashad Reed Defensive Rebound.,37,45
9:59,-1,Rashad Reed missed Layup.,37,45
9:59,2737,Xavier Cooks Defensive Rebound.,37,45
9:50,-1,Foul on Jovon Miller.,37,45
9:45,2737,Anders Broman Turnover.,37,45
9:32,-1,Josh Dudley missed Layup.,37,45
9:32,2737,Tevin Prescott Defensive Rebound.,37,45
9:30,-1,Foul on Josh Dudley.,37,45
9:16,2737,Bjorn Broman missed Jumper.,37,45
9:16,-1,D'Andre Mullen Defensive Rebound.,37,45
9:00,-1,Josh Grimard missed Jumper.,37,45
9:00,2737,Keon Johnson Defensive Rebound.,37,45
8:53,2737,Keon Johnson made Layup.,37,47
8:27,-1,Josh Grimard Turnover.,37,47
8:09,2737,Anders Broman missed Three Point Jumper.,37,47
8:09,-1,Carrington Young Defensive Rebound.,37,47
7:46,-1,Jordyn Propst missed Jumper.,37,47
7:42,2737,Tevin Prescott Block.,37,47
7:42,-1,Jordyn Propst Offensive Rebound.,37,47
7:40,-1,Josh Grimard missed Three Point Jumper.,37,47
7:40,2737,Tevin Prescott Defensive Rebound.,37,47
7:29,2737,Xavier Cooks made Jumper.,37,49
7:29,-1,Foul on Carrington Young.,37,49
7:29,2737,Official TV Timeout,37,49
7:29,2737,Xavier Cooks made Free Throw.,37,50
7:18,-1,Jordyn Propst missed Three Point Jumper.,37,50
7:18,-1,Ferrum Deadball Team Rebound.,37,50
7:01,-1,Jordyn Propst missed Jumper.,37,50
7:01,2737,Duby Okeke Block.,37,50
7:01,-1,Ferrum Offensive Rebound.,37,50
6:57,-1,Jordyn Propst made Layup.,39,50
6:57,2737,Foul on Duby Okeke.,39,50
6:57,-1,Jordyn Propst missed Free Throw.,39,50
6:57,2737,Duby Okeke Defensive Rebound.,39,50
6:36,2737,Joshua Davenport missed Jumper.,39,50
6:36,2737,Adam Pickett Offensive Rebound.,39,50
6:31,-1,Foul on Josh Grimard.,39,50
6:31,2737,Adam Pickett missed Free Throw.,39,50
6:31,2737,Winthrop Deadball Team Rebound.,39,50
6:31,2737,Adam Pickett made Free Throw.,39,51
6:01,-1,Carrington Young missed Layup.,39,51
6:01,2737,Duby Okeke Block.,39,51
5:59,2737,Adam Pickett Defensive Rebound.,39,51
5:56,2737,Roderick Perkins made Dunk. Assisted by Adam Pickett.,39,53
5:39,-1,Carrington Young missed Three Point Jumper.,39,53
5:39,2737,Roderick Perkins Defensive Rebound.,39,53
5:37,-1,Foul on Jordan Mann.,39,53
5:37,-1,Ferrum  Timeout,39,53
5:37,2737,Official TV Timeout,39,53
5:37,2737,Roderick Perkins made Free Throw.,39,54
5:37,2737,Roderick Perkins made Free Throw.,39,55
5:27,-1,Carrington Young missed Three Point Jumper.,39,55
5:27,2737,Xavier Cooks Defensive Rebound.,39,55
5:13,2737,Keon Johnson made Three Point Jumper.,39,58
4:58,2737,Foul on Adam Pickett.,39,58
4:43,2737,Foul on Keon Johnson.,39,58
4:43,-1,Jordan Mann made Free Throw.,40,58
4:43,-1,Jordan Mann made Free Throw.,41,58
4:30,2737,Roderick Perkins missed Jumper.,41,58
4:30,-1,Dj Christian Defensive Rebound.,41,58
4:00,-1,Josh Dudley missed Layup.,41,58
4:00,-1,Dj Christian Offensive Rebound.,41,58
3:58,2737,Foul on Bjorn Broman.,41,58
3:58,2737,Official TV Timeout,41,58
3:58,-1,Dj Christian made Free Throw.,42,58
3:58,-1,Dj Christian made Free Throw.,43,58
3:41,2737,Bjorn Broman missed Three Point Jumper.,43,58
3:41,-1,Jovon Miller Defensive Rebound.,43,58
3:21,-1,Josh Grimard missed Jumper.,43,58
3:21,2737,Winthrop Defensive Rebound.,43,58
3:07,2737,Xavier Cooks made Layup.,43,60
2:45,-1,Josh Grimard missed Three Point Jumper.,43,60
2:45,-1,Jordan Mann Offensive Rebound.,43,60
2:28,2737,Foul on Keon Johnson.,43,60
2:28,-1,Josh Dudley made Free Throw.,44,60
2:28,-1,Josh Dudley made Free Throw.,45,60
2:11,2737,Patrick Fisher made Layup.,45,62
1:47,2737,Foul on Patrick Fisher.,45,62
1:47,-1,Josh Dudley made Free Throw.,46,62
1:47,-1,Josh Dudley made Free Throw.,47,62
1:31,2737,Anders Broman missed Three Point Jumper.,47,62
1:31,2737,Josh Ferguson Offensive Rebound.,47,62
1:27,2737,Josh Ferguson Turnover.,47,62
1:27,-1,Brandon Hooks Steal.,47,62
1:19,-1,Marcus Huff missed Three Point Jumper.,47,62
1:19,2737,Winthrop Defensive Rebound.,47,62
1:01,2737,Josh Ferguson missed Three Point Jumper.,47,62
1:01,2737,Joshua Davenport Offensive Rebound.,47,62
0:56,2737,Joshua Davenport made Dunk.,47,64
0:41,-1,Caleb Pendergraph missed Three Point Jumper.,47,64
0:41,2737,Hunter Sadlon Defensive Rebound.,47,64
0:19,2737,Freddy Poole missed Layup.,47,64
0:19,2737,Kellen Blake Offensive Rebound.,47,64
0:17,2737,Kellen Blake made Jumper.,47,66
0:00,2737,End of Game,47,66
