Coe College,Error,Northern Iowa,2460
8:58,2460,Klint Carlson missed Three Point Jumper.,8,22
8:58,-1,Marshall Shedeck Defensive Rebound.,8,22
8:48,-1,Marshall Shedeck missed Three Point Jumper.,8,22
8:48,-1,Austin Roth Offensive Rebound.,8,22
8:41,-1,Marshall Shedeck missed Layup.,8,22
8:41,2460,Bennett Koch Defensive Rebound.,8,22
8:27,-1,Foul on Matt Meyer.,8,22
8:27,2460,Isaiah Brown made Free Throw.,8,23
8:27,2460,Isaiah Brown made Free Throw.,8,24
8:10,-1,Matt Meyer missed Layup.,8,24
8:10,2460,Hunter Rhodes Defensive Rebound.,8,24
8:04,2460,Jordan Ashton Turnover.,8,24
7:42,2460,Official TV Timeout,8,24
7:35,-1,Matt Vonderhaar missed Three Point Jumper.,8,24
7:35,2460,Northern Iowa Defensive Rebound.,8,24
7:17,2460,Ted Friedman made Dunk. Assisted by Jordan Ashton.,8,26
6:57,-1,Spencer Williams missed Jumper.,8,26
6:57,2460,Hunter Rhodes Defensive Rebound.,8,26
6:41,2460,Hunter Rhodes made Three Point Jumper. Assisted by Jordan Ashton.,8,29
6:24,-1,Hunter Pflughaupt missed Three Point Jumper.,8,29
6:24,2460,Jordan Ashton Defensive Rebound.,8,29
6:15,2460,Jordan Ashton made Jumper.,8,31
5:55,-1,Spencer Williams missed Jumper.,8,31
5:55,2460,Spencer Haldeman Defensive Rebound.,8,31
5:41,2460,Hunter Rhodes missed Three Point Jumper.,8,31
5:41,2460,Jordan Ashton Offensive Rebound.,8,31
5:27,2460,Hunter Rhodes made Jumper.,8,33
4:58,-1,Marshall Shedeck Turnover.,8,33
4:58,-1,Foul on Marshall Shedeck.,8,33
4:47,2460,Isaiah Brown missed Jumper.,8,33
4:47,-1,Austin Rix Defensive Rebound.,8,33
4:45,2460,Foul on Justin Dahl.,8,33
4:29,2460,Foul on Isaiah Brown.,8,33
4:28,-1,Evan Wadsager Turnover.,8,33
4:26,2460,Isaiah Brown Steal.,8,33
4:23,2460,Juwan McCloud missed Layup.,8,33
4:23,2460,Justin Dahl Offensive Rebound.,8,33
4:20,2460,Justin Dahl made Dunk.,8,35
4:08,2460,Foul on Isaiah Brown.,8,35
3:58,-1,Austin Rix made Layup. Assisted by Evan Wadsager.,10,35
3:46,2460,Wyatt Lohaus missed Jumper.,10,35
3:46,2460,Wyatt Lohaus Offensive Rebound.,10,35
3:41,2460,Wyatt Lohaus made Jumper.,10,37
3:40,2460,Official TV Timeout,10,37
3:28,-1,Matt Vonderhaar missed Jumper.,10,37
3:28,2460,Klint Carlson Defensive Rebound.,10,37
3:19,2460,Wyatt Lohaus missed Three Point Jumper.,10,37
3:19,-1,Austin Rix Defensive Rebound.,10,37
3:09,-1,Matt Meyer Turnover.,10,37
3:08,2460,Justin Dahl Steal.,10,37
3:04,2460,Jordan Ashton made Layup.,10,39
2:41,-1,Marshall Shedeck made Jumper.,12,39
2:24,2460,Juwan McCloud made Three Point Jumper. Assisted by Klint Carlson.,12,42
2:01,-1,Marshall Shedeck missed Jumper.,12,42
2:01,2460,Justin Dahl Defensive Rebound.,12,42
1:51,2460,Juwan McCloud missed Jumper.,12,42
1:51,2460,Justin Dahl Offensive Rebound.,12,42
1:48,-1,Foul on Austin Rix.,12,42
1:48,2460,Justin Dahl made Free Throw.,12,43
1:48,2460,Justin Dahl missed Free Throw.,12,43
1:48,-1,Matt Meyer Defensive Rebound.,12,43
1:38,-1,Matt Vonderhaar made Three Point Jumper. Assisted by Trevor Haaland.,15,43
1:18,2460,Justin Dahl made Layup. Assisted by Juwan McCloud.,15,45
1:04,-1,Trevor Haaland made Three Point Jumper. Assisted by Matt Vonderhaar.,18,45
0:48,2460,Spencer Haldeman missed Three Point Jumper.,18,45
0:48,-1,Spencer Williams Defensive Rebound.,18,45
0:39,-1,Matt Vonderhaar missed Three Point Jumper.,18,45
0:39,2460,Juwan McCloud Defensive Rebound.,18,45
0:22,2460,Juwan McCloud missed Three Point Jumper.,18,45
0:22,-1,Trevor Haaland Defensive Rebound.,18,45
0:03,-1,Matt Meyer missed Three Point Jumper.,18,45
0:03,2460,Jordan Ashton Block.,18,45
0:02,-1,Coe Offensive Rebound.,18,45
0:00,2460,End of 1st half,18,45
19:49,-1,Marshall Shedeck Turnover.,18,45
19:48,2460,Klint Carlson Steal.,18,45
19:44,2460,Bennett Koch made Dunk. Assisted by Klint Carlson.,18,47
19:16,-1,Matt Vonderhaar missed Jumper.,18,47
19:16,2460,Juwan McCloud Defensive Rebound.,18,47
18:50,2460,Bennett Koch missed Jumper.,18,47
18:50,-1,Marshall Shedeck Defensive Rebound.,18,47
18:37,-1,Marshall Shedeck Turnover.,18,47
18:19,2460,Bennett Koch made Layup. Assisted by Klint Carlson.,18,49
18:06,-1,Spencer Williams missed Jumper.,18,49
18:06,2460,Bennett Koch Defensive Rebound.,18,49
17:51,2460,Klint Carlson missed Layup.,18,49
17:51,-1,Marshall Shedeck Defensive Rebound.,18,49
17:27,-1,Marshall Shedeck missed Three Point Jumper.,18,49
17:27,2460,Northern Iowa Defensive Rebound.,18,49
17:07,2460,Jeremy Morgan Turnover.,18,49
16:39,-1,Trevor Haaland Turnover.,18,49
16:36,2460,Jeremy Morgan Steal.,18,49
16:28,2460,Bennett Koch missed Jumper.,18,49
16:28,-1,Matt Meyer Defensive Rebound.,18,49
16:21,-1,Matt Vonderhaar missed Three Point Jumper.,18,49
16:21,2460,Klint Carlson Defensive Rebound.,18,49
15:59,2460,Official TV Timeout,18,49
15:54,2460,Wyatt Lohaus made Jumper.,18,51
15:19,-1,Austin Rix missed Jumper.,18,51
15:19,2460,Jeremy Morgan Defensive Rebound.,18,51
15:11,2460,Wyatt Lohaus missed Jumper.,18,51
15:11,2460,Bennett Koch Offensive Rebound.,18,51
15:08,-1,Foul on Austin Rix.,18,51
14:59,2460,Bennett Koch made Dunk.,18,53
14:59,-1,Foul on Marshall Shedeck.,18,53
14:59,2460,Bennett Koch missed Free Throw.,18,53
14:59,-1,Austin Roth Defensive Rebound.,18,53
14:44,-1,Marshall Shedeck missed Jumper.,18,53
14:44,2460,Jordan Ashton Defensive Rebound.,18,53
14:25,2460,Juwan McCloud missed Three Point Jumper.,18,53
14:25,-1,Trevor Haaland Defensive Rebound.,18,53
14:08,-1,Austin Roth made Layup. Assisted by Trevor Haaland.,20,53
13:51,2460,Jordan Ashton missed Three Point Jumper.,20,53
13:51,-1,Coe Defensive Rebound.,20,53
13:34,-1,Austin Roth Turnover.,20,53
13:34,-1,Foul on Austin Roth.,20,53
13:23,2460,Isaiah Brown missed Three Point Jumper.,20,53
13:23,-1,Matt Vonderhaar Defensive Rebound.,20,53
12:51,-1,Matt Vonderhaar made Three Point Jumper. Assisted by Trevor Haaland.,23,53
12:34,2460,Spencer Haldeman Turnover.,23,53
12:13,-1,Marshall Shedeck made Three Point Jumper. Assisted by Tommy Hook.,26,53
11:54,-1,Foul on Marshall Shedeck.,26,53
11:54,2460,Official TV Timeout,26,53
11:54,2460,Spencer Haldeman made Three Point Jumper. Assisted by Jordan Ashton.,26,56
11:37,-1,Matt Vonderhaar Turnover.,26,56
11:14,2460,Isaiah Brown made Three Point Jumper. Assisted by Spencer Haldeman.,26,59
10:51,2460,Foul on Hunter Rhodes.,26,59
10:23,-1,Matt Vonderhaar missed Jumper.,26,59
10:23,2460,Northern Iowa Defensive Rebound.,26,59
10:06,2460,Isaiah Brown Turnover.,26,59
9:51,-1,Spencer Williams missed Layup.,26,59
9:51,2460,Spencer Haldeman Defensive Rebound.,26,59
9:42,2460,Ted Friedman missed Layup.,26,59
9:42,-1,Tommy Hook Defensive Rebound.,26,59
9:26,-1,Matt Vonderhaar missed Three Point Jumper.,26,59
9:26,2460,Spencer Haldeman Defensive Rebound.,26,59
9:12,2460,Jordan Ashton made Three Point Jumper. Assisted by Ted Friedman.,26,62
8:45,-1,Spencer Williams missed Layup.,26,62
8:45,-1,Coe Offensive Rebound.,26,62
8:25,-1,Calvin Winker missed Three Point Jumper.,26,62
8:25,2460,Justin Dahl Defensive Rebound.,26,62
8:16,2460,Spencer Haldeman missed Three Point Jumper.,26,62
8:16,2460,Juwan McCloud Offensive Rebound.,26,62
8:10,2460,Juwan McCloud missed Jumper.,26,62
8:10,-1,Trevor Haaland Defensive Rebound.,26,62
8:08,2460,Foul on Justin Dahl.,26,62
7:51,-1,Trevor Haaland made Three Point Jumper.,29,62
7:27,2460,Isaiah Brown made Three Point Jumper. Assisted by Justin Dahl.,29,65
7:05,-1,Trevor Haaland missed Three Point Jumper.,29,65
7:05,2460,Spencer Haldeman Defensive Rebound.,29,65
6:50,2460,Isaiah Brown missed Three Point Jumper.,29,65
6:50,-1,Trevor Haaland Defensive Rebound.,29,65
6:40,-1,Nolan Timp missed Three Point Jumper.,29,65
6:40,2460,Hunter Rhodes Defensive Rebound.,29,65
6:31,2460,Hunter Rhodes Turnover.,29,65
6:30,-1,Josh Jirak Steal.,29,65
6:21,2460,Foul on Justin Dahl.,29,65
6:21,2460,Official TV Timeout,29,65
6:21,-1,Austin Rix missed Dunk.,29,65
6:21,-1,Coe Deadball Team Rebound.,29,65
6:21,-1,Austin Rix made Free Throw.,30,65
6:00,2460,Justin Dahl made Jumper.,30,67
5:45,-1,Austin Rix Turnover.,30,67
5:45,-1,Foul on Austin Rix.,30,67
5:31,2460,Justin Dahl Turnover.,30,67
5:21,-1,Evan Wadsager Turnover.,30,67
5:20,2460,Juwan McCloud Steal.,30,67
4:59,-1,Foul on Evan Wadsager.,30,67
4:40,2460,Justin Dahl Turnover.,30,67
4:39,-1,Evan Wadsager Steal.,30,67
4:36,2460,Foul on Juwan McCloud.,30,67
4:19,-1,Hunter Pflughaupt made Three Point Jumper. Assisted by Evan Wadsager.,33,67
3:58,2460,Justin Dahl missed Jumper.,33,67
3:58,-1,Nic Roth Defensive Rebound.,33,67
3:50,2460,Official TV Timeout,33,67
3:37,-1,Hunter Pflughaupt missed Three Point Jumper.,33,67
3:37,2460,Hunter Rhodes Defensive Rebound.,33,67
3:24,-1,Foul on Michael Packard.,33,67
3:24,2460,Justin Dahl missed Free Throw.,33,67
3:24,-1,Nic Roth Defensive Rebound.,33,67
3:16,-1,Hunter Greiner made Jumper.,35,67
3:05,2460,Isaiah Brown made Layup.,35,69
2:51,-1,Josh Schmitt missed Layup.,35,69
2:51,2460,Luke McDonnell Defensive Rebound.,35,69
2:37,2460,Luke McDonnell made Three Point Jumper. Assisted by Lincoln Conrey.,35,72
2:19,2460,Foul on Rafael de Souza.,35,72
2:08,-1,Hunter Greiner Turnover.,35,72
2:06,2460,Rafael de Souza Steal.,35,72
2:01,2460,Justin Dahl made Layup. Assisted by Rafael de Souza.,35,74
1:54,2460,Foul on Isaiah Brown.,35,74
1:43,-1,Zach Schlabaugh missed Jumper.,35,74
1:43,-1,Zach Schlabaugh Offensive Rebound.,35,74
1:28,-1,Ivan Morrow made Jumper.,37,74
1:11,2460,Luke McDonnell Turnover.,37,74
1:11,-1,Josh Schmitt Steal.,37,74
0:57,-1,Ivan Morrow missed Three Point Jumper.,37,74
0:57,2460,Luke McDonnell Defensive Rebound.,37,74
0:44,2460,Lincoln Conrey Turnover.,37,74
0:16,-1,Nic Roth missed Three Point Jumper.,37,74
0:16,2460,Isaiah Brown Defensive Rebound.,37,74
0:00,2460,End of Game,37,74
