Maine,159,Dartmouth,311
12:28,311,Wesley Myers Turnover.,13,7
12:19,159,Foul on Brendan Barry.,13,7
12:09,311,Marko Pirovic missed Three Point Jumper.,13,7
12:09,311,Andrew Fleming Offensive Rebound.,13,7
12:05,159,Foul on Ike Ngwudo.,13,7
12:04,311,Andrew Fleming Turnover.,13,7
12:04,159,Brendan Barry Steal.,13,7
11:59,159,Brendan Barry missed Layup.,13,7
11:59,159,Wesley Dickinson Offensive Rebound.,13,7
11:56,159,Wesley Dickinson made Jumper.,13,9
11:33,311,Marko Pirovic missed Jumper.,13,9
11:33,159,Will Emery Offensive Rebound.,13,9
11:26,159,Guilien Smith made Layup.,13,11
11:26,311,Foul on Wesley Myers.,13,11
11:26,159,Official TV Timeout,13,11
11:26,159,Guilien Smith made Free Throw.,13,12
11:19,159,Foul on Wesley Dickinson.,13,12
11:08,159,Foul on Wesley Dickinson.,13,12
11:08,311,Andrew Fleming missed Free Throw.,13,12
11:08,311,Maine Deadball Team Rebound.,13,12
11:08,311,Andrew Fleming missed Free Throw.,13,12
11:08,311,Ilija Stojiljkovic Offensive Rebound.,13,12
11:03,311,Ilija Stojiljkovic Turnover.,13,12
11:03,159,Brendan Barry Steal.,13,12
10:49,159,Will Emery made Jumper. Assisted by Evan Boudreaux.,13,14
10:37,311,Ryan Bernstein missed Three Point Jumper.,13,14
10:37,159,Evan Boudreaux Defensive Rebound.,13,14
10:17,311,Foul on Danny Evans.,13,14
10:17,159,Guilien Smith missed Free Throw.,13,14
10:17,159,Will Emery Offensive Rebound.,13,14
10:12,159,Guilien Smith made Three Point Jumper. Assisted by Mike Fleming.,13,17
9:58,311,Austin Howard made Three Point Jumper. Assisted by Danny Evans.,16,17
9:35,159,Evan Boudreaux Turnover.,16,17
9:22,311,Foul on Ilija Stojiljkovic.,16,17
9:22,311,Ilija Stojiljkovic Turnover.,16,17
9:06,159,Evan Boudreaux made Jumper.,16,19
8:49,311,Danny Evans missed Three Point Jumper.,16,19
8:49,159,Guilien Smith Defensive Rebound.,16,19
8:40,159,Guilien Smith Turnover.,16,19
8:39,311,Austin Howard Steal.,16,19
8:34,311,Jaquan McKennon missed Three Point Jumper.,16,19
8:34,159,Taylor Johnson Defensive Rebound.,16,19
8:18,159,Will Emery missed Jumper.,16,19
8:18,311,Ilija Stojiljkovic Defensive Rebound.,16,19
7:56,311,Vincent Eze Turnover.,16,19
7:56,159,Official TV Timeout,16,19
7:39,311,Foul on Vincent Eze.,16,19
7:39,159,Ike Ngwudo made Free Throw.,16,20
7:39,159,Ike Ngwudo missed Free Throw.,16,20
7:39,311,Andrew Fleming Defensive Rebound.,16,20
7:13,311,Jaquan McKennon missed Jumper.,16,20
7:13,159,Ian Sistare Defensive Rebound.,16,20
7:01,159,Mike Fleming made Jumper.,16,22
6:48,311,Austin Howard missed Three Point Jumper.,16,22
6:48,159,Evan Boudreaux Defensive Rebound.,16,22
6:38,159,Evan Boudreaux made Three Point Jumper. Assisted by Guilien Smith.,16,25
6:34,311,Maine  Timeout,16,25
6:21,159,Foul on Ike Ngwudo.,16,25
6:21,311,Andrew Fleming made Free Throw.,17,25
6:21,311,Andrew Fleming made Free Throw.,18,25
6:08,159,Evan Boudreaux made Layup. Assisted by Ian Sistare.,18,27
5:46,311,Ilker Er missed Jumper.,18,27
5:46,159,Evan Boudreaux Defensive Rebound.,18,27
5:25,159,Mike Fleming made Three Point Jumper. Assisted by Guilien Smith.,18,30
4:55,311,Wesley Myers Turnover.,18,30
4:48,159,Foul on Brendan Barry.,18,30
4:48,159,Brendan Barry Turnover.,18,30
4:36,311,Marko Pirovic made Jumper.,20,30
4:02,159,Mike Fleming missed Three Point Jumper.,20,30
4:02,159,Will Emery Offensive Rebound.,20,30
3:57,311,Foul on Andrew Fleming.,20,30
3:57,159,Official TV Timeout,20,30
3:57,159,Will Emery made Free Throw.,20,31
3:57,159,Will Emery missed Free Throw.,20,31
3:57,311,Austin Howard Offensive Rebound.,20,31
3:33,311,Marko Pirovic made Jumper. Assisted by Austin Howard.,22,31
3:18,311,Foul on Andrew Fleming.,22,31
3:18,159,Will Emery made Free Throw.,22,32
3:18,159,Will Emery missed Free Throw.,22,32
3:18,159,Evan Boudreaux Offensive Rebound.,22,32
3:07,159,Will Emery made Jumper. Assisted by Guilien Smith.,22,34
2:34,311,Wesley Myers made Three Point Jumper.,25,34
2:15,311,Marko Pirovic missed Three Point Jumper.,25,34
2:15,311,Vincent Eze Offensive Rebound.,25,34
2:13,159,Foul on Will Emery.,25,34
2:13,311,Vincent Eze made Free Throw.,26,34
2:13,311,Vincent Eze made Free Throw.,27,34
1:49,159,Evan Boudreaux missed Jumper.,27,34
1:49,311,Vincent Eze Defensive Rebound.,27,34
1:39,311,Dennis Ashley missed Three Point Jumper.,27,34
1:39,159,Mike Fleming Defensive Rebound.,27,34
1:31,159,Foul on Taylor Johnson.,27,34
1:31,159,Taylor Johnson Turnover.,27,34
1:20,311,Foul on Vincent Eze.,27,34
1:20,311,Vincent Eze Turnover.,27,34
1:15,311,Foul on Ryan Bernstein.,27,34
1:15,159,Guilien Smith made Free Throw.,27,35
1:15,159,Guilien Smith made Free Throw.,27,36
0:59,311,Wesley Myers missed Layup.,27,36
0:59,159,Evan Boudreaux Defensive Rebound.,27,36
0:38,159,Evan Boudreaux missed Jumper.,27,36
0:38,311,Ilker Er Defensive Rebound.,27,36
0:30,311,Ilker Er made Three Point Jumper. Assisted by Ryan Bernstein.,30,36
0:02,159,Taylor Johnson missed Three Point Jumper.,30,36
0:02,311,Ilker Er Defensive Rebound.,30,36
0:00,159,Foul on Wesley Dickinson.,30,36
0:00,311,Ilker Er made Free Throw.,31,36
0:00,311,Ilker Er missed Free Throw.,31,36
0:00,159,Evan Boudreaux Defensive Rebound.,31,36
0:00,159,End of 1st half,30,36
19:52,311,Andrew Fleming missed Jumper.,31,36
19:52,159,Guilien Smith Defensive Rebound.,31,36
19:26,159,Evan Boudreaux made Jumper.,31,38
19:13,159,Foul on Ike Ngwudo.,31,38
19:13,311,Austin Howard made Free Throw.,32,38
19:13,311,Austin Howard made Free Throw.,33,38
18:55,159,Evan Boudreaux missed Jumper.,33,38
18:55,159,Ike Ngwudo Offensive Rebound.,33,38
18:42,311,Foul on Ilija Stojiljkovic.,33,38
18:40,311,Foul on Ilija Stojiljkovic.,33,38
18:38,159,Miles Wright made Layup. Assisted by Mike Fleming.,33,40
18:25,311,Ryan Bernstein missed Three Point Jumper.,33,40
18:25,159,Ike Ngwudo Defensive Rebound.,33,40
18:10,159,Guilien Smith Turnover.,33,40
17:57,159,Foul on Guilien Smith.,33,40
17:57,311,Andrew Fleming made Free Throw.,34,40
17:57,311,Andrew Fleming missed Free Throw.,34,40
17:57,311,Marko Pirovic Offensive Rebound.,34,40
17:48,311,Austin Howard missed Three Point Jumper.,34,40
17:48,159,Evan Boudreaux Defensive Rebound.,34,40
17:17,159,Mike Fleming missed Jumper.,34,40
17:17,311,Andrew Fleming Defensive Rebound.,34,40
16:59,311,Marko Pirovic missed Three Point Jumper.,34,40
16:59,311,Danny Evans Offensive Rebound.,34,40
16:55,311,Austin Howard missed Jumper.,34,40
16:55,159,Guilien Smith Defensive Rebound.,34,40
16:37,159,Miles Wright missed Three Point Jumper.,34,40
16:37,159,Ike Ngwudo Offensive Rebound.,34,40
16:34,159,Ike Ngwudo made Layup.,34,42
16:22,159,Foul on Mike Fleming.,34,42
16:02,311,Marko Pirovic missed Three Point Jumper.,34,42
16:02,159,Ian Sistare Defensive Rebound.,34,42
15:52,159,Foul on Evan Boudreaux.,34,42
15:52,159,Evan Boudreaux Turnover.,34,42
15:52,159,Official TV Timeout,34,42
15:33,311,Ilker Er missed Jumper.,34,42
15:33,311,Maine Offensive Rebound.,34,42
15:20,311,Andrew Fleming made Jumper.,36,42
14:58,159,Ian Sistare Turnover.,36,42
14:40,311,Dennis Ashley Turnover.,36,42
14:39,159,Evan Boudreaux Steal.,36,42
14:29,159,Evan Boudreaux missed Jumper.,36,42
14:29,159,Miles Wright Offensive Rebound.,36,42
14:26,311,Foul on Ilker Er.,36,42
14:26,159,Miles Wright made Free Throw.,36,43
14:26,159,Miles Wright made Free Throw.,36,44
14:17,311,Wesley Myers made Three Point Jumper.,39,44
13:57,159,Ian Sistare made Three Point Jumper. Assisted by Miles Wright.,39,47
13:31,311,Ryan Bernstein missed Jumper.,39,47
13:31,159,Ian Sistare Defensive Rebound.,39,47
13:08,159,Evan Boudreaux missed Jumper.,39,47
13:08,159,Wesley Dickinson Offensive Rebound.,39,47
12:40,159,Miles Wright missed Three Point Jumper.,39,47
12:40,311,Ryan Bernstein Defensive Rebound.,39,47
12:24,159,Foul on Wesley Dickinson.,39,47
12:24,311,Wesley Myers made Free Throw.,40,47
12:24,311,Wesley Myers made Free Throw.,41,47
12:11,159,Taylor Johnson made Layup. Assisted by Brendan Barry.,41,49
11:56,311,Wesley Myers made Three Point Jumper.,44,49
11:36,159,Foul on Taylor Johnson.,44,49
11:36,159,Taylor Johnson Turnover.,44,49
11:36,159,Official TV Timeout,44,49
11:25,311,Ilker Er missed Three Point Jumper.,44,49
11:25,159,Brendan Barry Defensive Rebound.,44,49
11:03,159,Evan Boudreaux made Three Point Jumper. Assisted by Brendan Barry.,44,52
10:46,311,Wesley Myers made Jumper.,46,52
10:29,159,Taylor Johnson Turnover.,46,52
10:18,311,Wesley Myers made Layup.,48,52
9:50,311,Foul on Jaquan McKennon.,48,52
9:48,311,Foul on Ryan Bernstein.,48,52
9:44,159,Brendan Barry missed Three Point Jumper.,48,52
9:44,311,Austin Howard Defensive Rebound.,48,52
9:34,159,Foul on Guilien Smith.,48,52
9:34,311,Wesley Myers made Free Throw.,49,52
9:34,311,Wesley Myers made Free Throw.,50,52
9:10,159,Guilien Smith missed Jumper.,50,52
9:10,159,Evan Boudreaux Offensive Rebound.,50,52
9:07,159,Evan Boudreaux missed Layup.,50,52
9:07,311,Ilija Stojiljkovic Defensive Rebound.,50,52
9:00,311,Wesley Myers missed Three Point Jumper.,50,52
9:00,311,Wesley Myers Offensive Rebound.,50,52
8:52,311,Austin Howard made Jumper.,52,52
8:43,159,Dartmouth  Timeout,52,52
8:34,311,Foul on Ilija Stojiljkovic.,52,52
8:34,159,Evan Boudreaux made Free Throw.,52,53
8:34,159,Evan Boudreaux missed Free Throw.,52,53
8:34,311,Ryan Bernstein Defensive Rebound.,52,53
8:21,311,Ryan Bernstein missed Three Point Jumper.,52,53
8:21,311,Marko Pirovic Offensive Rebound.,52,53
8:10,311,Andrew Fleming made Dunk.,54,53
7:44,159,Miles Wright made Three Point Jumper. Assisted by Ike Ngwudo.,54,56
7:22,311,Danny Evans missed Three Point Jumper.,54,56
7:22,311,Maine Offensive Rebound.,54,56
7:20,159,Official TV Timeout,54,56
7:11,311,Wesley Myers made Jumper. Assisted by Marko Pirovic.,56,56
6:49,159,Evan Boudreaux made Jumper.,56,58
6:39,311,Wesley Myers missed Jumper.,56,58
6:39,159,Mike Fleming Defensive Rebound.,56,58
6:12,159,Miles Wright missed Three Point Jumper.,56,58
6:12,159,Wesley Dickinson Offensive Rebound.,56,58
6:00,159,Miles Wright made Layup. Assisted by Ian Sistare.,56,60
5:32,311,Wesley Myers made Jumper.,58,60
5:09,311,Foul on Andrew Fleming.,58,60
5:09,159,Wesley Dickinson missed Free Throw.,58,60
5:09,311,Austin Howard Defensive Rebound.,58,60
4:51,159,Foul on Mike Fleming.,58,60
4:51,311,Wesley Myers made Free Throw.,59,60
4:51,311,Wesley Myers made Free Throw.,60,60
4:29,159,Guilien Smith made Layup.,60,62
4:06,311,Wesley Myers missed Layup.,60,62
4:06,159,Evan Boudreaux Block.,60,62
4:03,159,Guilien Smith Defensive Rebound.,60,62
4:03,311,Foul on Andrew Fleming.,60,62
4:03,159,Guilien Smith made Free Throw.,60,63
4:03,159,Guilien Smith made Free Throw.,60,64
3:48,311,Austin Howard made Jumper.,62,64
3:27,311,Foul on Wesley Myers.,62,64
3:27,159,Official TV Timeout,62,64
3:27,159,Miles Wright made Free Throw.,62,65
3:27,159,Miles Wright missed Free Throw.,62,65
3:27,311,Andrew Fleming Defensive Rebound.,62,65
3:12,311,Austin Howard made Three Point Jumper.,65,65
2:49,159,Miles Wright missed Jumper.,65,65
2:49,159,Miles Wright Offensive Rebound.,65,65
2:41,159,Evan Boudreaux missed Jumper.,65,65
2:41,311,Ryan Bernstein Defensive Rebound.,65,65
2:32,311,Maine  Timeout,65,65
2:08,311,Ilker Er missed Layup.,65,65
2:08,159,Evan Boudreaux Defensive Rebound.,65,65
1:52,159,Guilien Smith Turnover.,65,65
1:51,311,Andrew Fleming Steal.,65,65
1:46,311,Ilker Er missed Layup.,65,65
1:46,159,Evan Boudreaux Defensive Rebound.,65,65
1:38,159,Dartmouth  Timeout,65,65
1:30,311,Foul on Ilija Stojiljkovic.,65,65
1:30,159,Brendan Barry missed Free Throw.,65,65
1:30,159,Dartmouth Deadball Team Rebound.,65,65
1:30,159,Brendan Barry made Free Throw.,65,66
1:17,311,Wesley Myers made Jumper.,67,66
1:00,311,Foul on Ilker Er.,67,66
1:00,159,Brendan Barry made Free Throw.,67,67
1:00,159,Brendan Barry made Free Throw.,67,68
0:48,311,Wesley Myers made Jumper.,69,68
0:47,311,Maine  Timeout,69,68
0:33,159,Miles Wright missed Three Point Jumper.,69,68
0:33,311,Wesley Myers Defensive Rebound.,69,68
0:23,159,Foul on Mike Fleming.,69,68
0:23,311,Wesley Myers made Free Throw.,70,68
0:23,311,Wesley Myers made Free Throw.,71,68
0:16,159,Guilien Smith missed Layup.,71,68
0:16,159,Guilien Smith Offensive Rebound.,71,68
0:13,159,Guilien Smith missed Layup.,71,68
0:13,311,Austin Howard Defensive Rebound.,71,68
0:09,159,Foul on Mike Fleming.,71,68
0:09,311,Austin Howard missed Free Throw.,71,68
0:09,311,Maine Deadball Team Rebound.,71,68
0:09,311,Austin Howard made Free Throw.,72,68
0:04,159,Evan Boudreaux missed Three Point Jumper.,72,68
0:04,311,Andrew Fleming Block.,72,68
0:03,311,Wesley Myers Defensive Rebound.,72,68
0:01,159,Foul on Evan Boudreaux.,72,68
0:01,311,Wesley Myers missed Free Throw.,72,68
0:01,311,Maine Deadball Team Rebound.,72,68
0:01,311,Wesley Myers made Free Throw.,73,68
0:00,159,Brendan Barry missed Three Point Jumper.,73,68
0:00,159,Dartmouth Deadball Team Rebound.,73,68
0:00,159,End of Game,73,68
