UT Martin,2287,Illinois State,2630
13:01,2630,Kedar Edwards missed Two Point Tip Shot.,7,16
13:01,2287,Madison Williams Defensive Rebound.,7,16
12:54,2630,Foul on Kedar Edwards.,7,16
12:54,2287,DJ Clayton made Free Throw.,7,17
12:54,2287,DJ Clayton made Free Throw.,7,18
12:38,2630,Javier Martinez missed Layup.,7,18
12:38,2287,MiKyle McIntosh Block.,7,18
12:37,2287,MiKyle McIntosh Defensive Rebound.,7,18
12:30,2287,Phil Fayne missed Layup.,7,18
12:30,2287,Phil Fayne Offensive Rebound.,7,18
12:29,2287,Phil Fayne made Layup.,7,20
12:04,2630,Kedar Edwards missed Jumper.,7,20
12:04,2287,Madison Williams Defensive Rebound.,7,20
11:52,2287,Tony Wills made Three Point Jumper. Assisted by Paris Lee.,7,23
11:27,2630,Kedar Edwards Turnover.,7,23
11:26,2287,Deontae Hawkins Steal.,7,23
10:59,2287,Official TV Timeout,7,23
10:50,2287,Deontae Hawkins missed Jumper.,7,23
10:50,2630,Fatodd Lewis Defensive Rebound.,7,23
10:43,2630,Matthew Butler Turnover.,7,23
10:43,2287,Paris Lee Steal.,7,23
10:25,2287,Madison Williams missed Three Point Jumper.,7,23
10:25,2630,Malik London Defensive Rebound.,7,23
10:00,2630,Kedar Edwards made Three Point Jumper. Assisted by Matthew Butler.,10,23
9:46,2287,Paris Lee missed Three Point Jumper.,10,23
9:46,2287,Illinois St Offensive Rebound.,10,23
9:26,2630,Foul on Malik London.,10,23
9:26,2287,Phil Fayne made Free Throw.,10,24
9:26,2287,Phil Fayne made Free Throw.,10,25
9:15,2630,Malik London made Jumper.,12,25
9:01,2287,Keyshawn Evans made Three Point Jumper. Assisted by Tony Wills.,12,28
8:53,2630,Kedar Edwards made Jumper. Assisted by Matthew Butler.,14,28
8:36,2287,MiKyle McIntosh missed Three Point Jumper.,14,28
8:36,2630,Chandler Rowe Defensive Rebound.,14,28
8:33,2630,Chandler Rowe Turnover.,14,28
8:33,2287,Keyshawn Evans Steal.,14,28
8:14,2630,Foul on Matthew Butler.,14,28
7:54,2287,DJ Clayton Turnover.,14,28
7:53,2630,Kedar Edwards Steal.,14,28
7:48,2630,Malik London missed Layup.,14,28
7:48,2287,DJ Clayton Defensive Rebound.,14,28
7:39,2287,MiKyle McIntosh made Jumper.,14,30
7:33,2630,Jacolby Mobley missed Three Point Jumper.,14,30
7:33,2287,Tony Wills Defensive Rebound.,14,30
7:11,2630,Foul on Matthew Butler.,14,30
7:11,2287,Official TV Timeout,14,30
7:09,2287,MiKyle McIntosh missed Jumper.,14,30
7:09,2630,Chandler Rowe Defensive Rebound.,14,30
7:01,2630,Kedar Edwards made Three Point Jumper. Assisted by Malik London.,17,30
6:45,2287,Paris Lee missed Three Point Jumper.,17,30
6:45,2287,Phil Fayne Offensive Rebound.,17,30
6:37,2630,Foul on Chandler Rowe.,17,30
6:22,2287,Deontae Hawkins missed Three Point Jumper.,17,30
6:22,2630,Malik London Defensive Rebound.,17,30
5:54,2630,UT Martin  Turnover.,17,30
5:32,2287,Madison Williams Turnover.,17,30
5:31,2630,Kedar Edwards Steal.,17,30
5:30,2630,Kedar Edwards made Layup.,19,30
5:16,2287,MiKyle McIntosh made Three Point Jumper. Assisted by Paris Lee.,19,33
4:47,2287,Foul on MiKyle McIntosh.,19,33
4:45,2287,Foul on MiKyle McIntosh.,19,33
4:45,2630,Jacolby Mobley made Free Throw.,20,33
4:45,2630,Jacolby Mobley made Free Throw.,21,33
4:45,2630,Jacolby Mobley made Free Throw.,22,33
4:20,2287,Phil Fayne missed Layup.,22,33
4:20,2287,Phil Fayne Offensive Rebound.,22,33
4:13,2287,Deontae Hawkins made Three Point Jumper. Assisted by Paris Lee.,22,36
3:56,2630,Matthew Butler made Three Point Jumper. Assisted by Jacolby Mobley.,25,36
3:30,2287,Tony Wills missed Three Point Jumper.,25,36
3:30,2287,Phil Fayne Offensive Rebound.,25,36
3:25,2287,Phil Fayne made Layup.,25,38
3:03,2630,Kedar Edwards missed Three Point Jumper.,25,38
3:03,2630,UT Martin Offensive Rebound.,25,38
2:48,2287,Official TV Timeout,25,38
2:45,2630,Kedar Edwards missed Layup.,25,38
2:45,2287,Phil Fayne Defensive Rebound.,25,38
2:26,2287,Deontae Hawkins missed Jumper.,25,38
2:26,2287,Phil Fayne Offensive Rebound.,25,38
2:19,2287,Deontae Hawkins Turnover.,25,38
2:18,2630,Malik London Steal.,25,38
2:11,2630,Matthew Butler missed Jumper.,25,38
2:11,2287,Deontae Hawkins Defensive Rebound.,25,38
1:55,2287,DJ Clayton Turnover.,25,38
1:54,2630,Chandler Rowe Steal.,25,38
1:51,2630,Kedar Edwards Turnover.,25,38
1:44,2287,Illinois St  Timeout,25,38
1:30,2287,Deontae Hawkins made Three Point Jumper. Assisted by Keyshawn Evans.,25,41
1:11,2630,Kedar Edwards Turnover.,25,41
0:57,2287,Deontae Hawkins made Jumper. Assisted by Keyshawn Evans.,25,43
0:35,2630,Kedar Edwards made Jumper.,27,43
0:32,2287,Foul on DJ Clayton.,27,43
0:29,2630,Kedar Edwards made Free Throw.,28,43
0:04,2287,Keyshawn Evans missed Three Point Jumper.,28,43
0:01,2630,Jalen Jackson Defensive Rebound.,28,43
0:00,2287,End of 1st half,28,43
19:37,2287,MiKyle McIntosh missed Three Point Jumper.,28,43
19:37,2630,Kedar Edwards Defensive Rebound.,28,43
19:20,2630,Kedar Edwards missed Layup.,28,43
19:19,2630,Malik London Offensive Rebound.,28,43
19:14,2630,Kedar Edwards made Two Point Tip Shot.,30,43
19:03,2287,Deontae Hawkins missed Layup.,30,43
19:03,2287,Phil Fayne Offensive Rebound.,30,43
19:00,2287,Phil Fayne made Layup.,30,45
18:39,2630,Chandler Rowe made Jumper.,32,45
18:11,2287,Paris Lee Turnover.,32,45
17:45,2630,Matthew Butler made Three Point Jumper. Assisted by Kedar Edwards.,35,45
17:24,2287,Deontae Hawkins made Three Point Jumper. Assisted by Tony Wills.,35,48
17:01,2630,Jacolby Mobley missed Three Point Jumper.,35,48
17:01,2287,Paris Lee Block.,35,48
16:59,2287,Tony Wills Defensive Rebound.,35,48
16:50,2287,Paris Lee made Three Point Jumper. Assisted by Deontae Hawkins.,35,51
16:38,2287,Foul on Deontae Hawkins.,35,51
16:30,2630,Jacolby Mobley made Jumper.,37,51
16:14,2287,MiKyle McIntosh made Jumper.,37,53
16:08,2630,Matthew Butler missed Layup.,37,53
16:08,2287,Madison Williams Defensive Rebound.,37,53
16:03,2287,Phil Fayne made Layup. Assisted by DJ Clayton.,37,55
15:39,2287,Foul on Madison Williams.,37,55
15:35,2287,Official TV Timeout,37,55
15:35,2630,Kedar Edwards missed Free Throw.,37,55
15:35,2630,UT Martin Deadball Team Rebound.,37,55
15:35,2630,Kedar Edwards missed Free Throw.,37,55
15:35,2287,Madison Williams Defensive Rebound.,37,55
15:22,2287,Madison Williams Turnover.,37,55
15:21,2630,Chandler Rowe Steal.,37,55
15:07,2630,Kedar Edwards missed Three Point Jumper.,37,55
15:07,2287,Keyshawn Evans Defensive Rebound.,37,55
14:59,2287,Keyshawn Evans Turnover.,37,55
14:59,2630,Matthew Butler Steal.,37,55
14:57,2630,Kedar Edwards Turnover.,37,55
14:32,2287,MiKyle McIntosh missed Three Point Jumper.,37,55
14:32,2630,Matthew Butler Defensive Rebound.,37,55
14:13,2630,Matthew Butler made Three Point Jumper.,40,55
14:07,2630,UT Martin  Timeout,40,55
14:07,2287,Official TV Timeout,40,55
13:41,2287,DJ Clayton missed Three Point Jumper.,40,55
13:41,2287,DJ Clayton Offensive Rebound.,40,55
13:38,2287,Paris Lee missed Three Point Jumper.,40,55
13:38,2630,Jacolby Mobley Defensive Rebound.,40,55
13:13,2287,Foul on Andre Washington.,40,55
13:11,2630,Mike Fofana Turnover.,40,55
13:10,2287,MiKyle McIntosh Steal.,40,55
13:05,2287,MiKyle McIntosh missed Jumper.,40,55
13:05,2630,Chandler Rowe Defensive Rebound.,40,55
13:04,2287,Foul on Deontae Hawkins.,40,55
12:48,2630,UT Martin  Turnover.,40,55
12:33,2630,Foul on Javier Martinez.,40,55
12:33,2287,MiKyle McIntosh made Free Throw.,40,56
12:33,2287,MiKyle McIntosh made Free Throw.,40,57
12:23,2630,Matthew Butler missed Three Point Jumper.,40,57
12:23,2287,Deontae Hawkins Defensive Rebound.,40,57
12:20,2630,Foul on Javier Martinez.,40,57
12:13,2287,Phil Fayne made Dunk. Assisted by MiKyle McIntosh.,40,59
12:04,2630,Jacolby Mobley missed Jumper.,40,59
12:04,2287,Phil Fayne Defensive Rebound.,40,59
11:48,2630,Foul on Chandler Rowe.,40,59
11:45,2287,Official TV Timeout,40,59
11:45,2287,DJ Clayton missed Free Throw.,40,59
11:45,2287,Illinois St Deadball Team Rebound.,40,59
11:45,2287,DJ Clayton missed Free Throw.,40,59
11:45,2630,Fatodd Lewis Defensive Rebound.,40,59
11:18,2630,Matthew Butler Turnover.,40,59
11:17,2287,Deontae Hawkins Steal.,40,59
10:49,2630,Foul on Fatodd Lewis.,40,59
10:49,2287,Deontae Hawkins missed Free Throw.,40,59
10:49,2287,Illinois St Deadball Team Rebound.,40,59
10:49,2287,Deontae Hawkins missed Free Throw.,40,59
10:49,2287,Illinois St Deadball Team Rebound.,40,59
10:49,2287,Deontae Hawkins made Free Throw.,40,60
10:35,2630,Kedar Edwards Turnover.,40,60
10:33,2287,Tony Wills Steal.,40,60
10:28,2287,DJ Clayton missed Layup.,40,60
10:28,2630,Fatodd Lewis Defensive Rebound.,40,60
10:02,2630,Kedar Edwards Turnover.,40,60
10:00,2287,DJ Clayton Steal.,40,60
9:56,2287,Phil Fayne Turnover.,40,60
9:54,2630,Jacolby Mobley Steal.,40,60
9:53,2630,Jacolby Mobley Turnover.,40,60
9:44,2630,Foul on Chandler Rowe.,40,60
9:44,2287,MiKyle McIntosh missed Free Throw.,40,60
9:44,2287,Illinois St Deadball Team Rebound.,40,60
9:44,2287,MiKyle McIntosh missed Free Throw.,40,60
9:44,2630,Chandler Rowe Defensive Rebound.,40,60
9:35,2630,Jacolby Mobley missed Three Point Jumper.,40,60
9:35,2287,MiKyle McIntosh Defensive Rebound.,40,60
9:19,2287,MiKyle McIntosh Turnover.,40,60
9:11,2630,Jacolby Mobley missed Jumper.,40,60
9:11,2630,Jacolby Mobley Offensive Rebound.,40,60
9:06,2630,Jacolby Mobley missed Layup.,40,60
9:06,2287,MiKyle McIntosh Defensive Rebound.,40,60
8:59,2630,Foul on Chandler Rowe.,40,60
8:53,2287,MiKyle McIntosh made Free Throw.,40,61
8:53,2287,MiKyle McIntosh made Free Throw.,40,62
8:53,2287,MiKyle McIntosh made Free Throw.,40,63
8:53,2630,Technical Foul on Chandler Rowe.,40,60
8:53,2630,Foul on Chandler Rowe.,40,60
8:53,2287,MiKyle McIntosh missed Free Throw.,40,63
8:53,2630,Fatodd Lewis Defensive Rebound.,40,63
8:36,2287,Foul on MiKyle McIntosh.,40,63
8:25,2630,Fatodd Lewis missed Jumper.,40,63
8:25,2287,Tony Wills Defensive Rebound.,40,63
8:01,2287,Tony Wills Turnover.,40,63
7:55,2287,Official TV Timeout,40,63
7:43,2287,Foul on Paris Lee.,40,63
7:43,2630,Malik Pugh made Free Throw.,41,63
7:43,2630,Malik Pugh made Free Throw.,42,63
7:40,2287,Andre Washington made Layup. Assisted by Deontae Hawkins.,42,65
7:20,2287,Foul on Deontae Hawkins.,42,65
7:20,2630,Malik Pugh missed Free Throw.,42,65
7:20,2630,UT Martin Deadball Team Rebound.,42,65
7:20,2630,Malik Pugh missed Free Throw.,42,65
7:20,2287,Andre Washington Defensive Rebound.,42,65
7:09,2287,Deontae Hawkins missed Jumper.,42,65
7:09,2630,Matthew Butler Defensive Rebound.,42,65
6:58,2630,Malik London made Jumper.,44,65
6:35,2287,DJ Clayton missed Layup.,44,65
6:35,2630,Malik London Block.,44,65
6:35,2630,Matthew Butler Defensive Rebound.,44,65
6:24,2630,Matthew Butler Turnover.,44,65
6:23,2287,Madison Williams Steal.,44,65
6:20,2630,Foul on Fatodd Lewis.,44,65
6:20,2287,Madison Williams missed Free Throw.,44,65
6:20,2287,Illinois St Deadball Team Rebound.,44,65
6:20,2287,Madison Williams made Free Throw.,44,66
6:11,2630,Malik Pugh missed Jumper.,44,66
6:11,2287,Phil Fayne Block.,44,66
6:09,2630,Malik Pugh Offensive Rebound.,44,66
6:07,2630,Dante Bailey missed Three Point Jumper.,44,66
6:07,2630,Fatodd Lewis Offensive Rebound.,44,66
6:05,2287,Foul on Andre Washington.,44,66
6:05,2630,Fatodd Lewis made Free Throw.,45,66
6:05,2630,Fatodd Lewis made Free Throw.,46,66
5:48,2287,Paris Lee Turnover.,46,66
5:47,2630,Kahari Beaufort Steal.,46,66
5:42,2630,Dante Bailey missed Three Point Jumper.,46,66
5:42,2287,Illinois St Defensive Rebound.,46,66
5:15,2630,Foul on Dante Bailey.,46,66
5:15,2287,Madison Williams missed Free Throw.,46,66
5:15,2630,Fatodd Lewis Defensive Rebound.,46,66
5:06,2630,Dante Bailey missed Jumper.,46,66
5:06,2287,Andre Washington Block.,46,66
5:05,2287,Andre Washington Defensive Rebound.,46,66
4:53,2287,Phil Fayne missed Jumper.,46,66
4:53,2630,Fatodd Lewis Defensive Rebound.,46,66
4:37,2630,Kahari Beaufort missed Layup.,46,66
4:37,2630,Fatodd Lewis Offensive Rebound.,46,66
4:34,2630,Fatodd Lewis missed Jumper.,46,66
4:34,2630,Dante Bailey Offensive Rebound.,46,66
4:32,2630,Dante Bailey missed Jumper.,46,66
4:32,2287,MiKyle McIntosh Defensive Rebound.,46,66
4:26,2287,MiKyle McIntosh Turnover.,46,66
4:05,2630,Kahari Beaufort Turnover.,46,66
3:57,2287,Official TV Timeout,46,66
3:52,2287,Javaka Thompson missed Three Point Jumper.,46,66
3:52,2630,Malik London Defensive Rebound.,46,66
3:36,2287,Foul on Matt Hein.,46,66
3:30,2630,Kahari Beaufort made Free Throw.,47,66
3:30,2630,Kahari Beaufort made Free Throw.,48,66
3:23,2287,Madison Williams missed Jumper.,48,66
3:23,2630,Dante Bailey Defensive Rebound.,48,66
3:16,2630,Kahari Beaufort made Jumper.,50,66
2:54,2287,DJ Clayton missed Jumper.,50,66
2:54,2630,Kahari Beaufort Defensive Rebound.,50,66
2:42,2630,Kahari Beaufort missed Three Point Jumper.,50,66
2:42,2287,Javaka Thompson Defensive Rebound.,50,66
2:30,2287,Javaka Thompson missed Three Point Jumper.,50,66
2:30,2287,Andre Washington Offensive Rebound.,50,66
2:29,2630,Foul on Dante Bailey.,50,66
2:21,2287,Andre Washington made Free Throw.,50,67
2:21,2287,Andre Washington missed Free Throw.,50,67
2:21,2630,Fatodd Lewis Defensive Rebound.,50,67
2:11,2287,Foul on Madison Williams.,50,67
2:08,2630,Jalen Jackson made Free Throw.,51,67
2:08,2630,Jalen Jackson made Free Throw.,52,67
1:56,2287,Matt Hein missed Three Point Jumper.,52,67
1:56,2630,Fatodd Lewis Defensive Rebound.,52,67
1:50,2287,Foul on Matt Hein.,52,67
1:44,2630,Fatodd Lewis made Free Throw.,53,67
1:44,2630,Fatodd Lewis made Free Throw.,54,67
1:34,2287,Javaka Thompson made Layup. Assisted by DJ Clayton.,54,69
1:32,2287,Illinois St  Timeout,54,69
1:22,2630,Kahari Beaufort missed Jumper.,54,69
1:22,2287,Javaka Thompson Block.,54,69
1:22,2630,UT Martin Offensive Rebound.,54,69
1:19,2630,Fatodd Lewis missed Layup.,54,69
1:19,2287,Andre Washington Defensive Rebound.,54,69
0:52,2287,Matt Hein made Three Point Jumper. Assisted by Madison Williams.,54,72
0:46,2630,Jalen Jackson made Three Point Jumper.,57,72
0:31,2287,Javaka Thompson made Layup. Assisted by DJ Clayton.,57,74
0:21,2630,Jalen Jackson missed Three Point Jumper.,57,74
0:21,2287,Javaka Thompson Defensive Rebound.,57,74
0:00,2287,End of Game,57,74
