Connecticut,194,Ohio State,41
14:09,194,Trevor Thompson Defensive Rebound.,6,13
14:09,41,Foul on Kentan Facey.,6,13
13:47,194,JaQuan Lyle missed Jumper.,6,13
13:47,41,Kentan Facey Defensive Rebound.,6,13
13:26,41,Vance Jackson Turnover.,6,13
13:15,194,Marc Loving missed Three Point Jumper.,6,13
13:15,41,Rodney Purvis Defensive Rebound.,6,13
12:56,41,Steven Enoch missed Jumper.,6,13
12:56,41,Connecticut Offensive Rebound.,6,13
12:38,41,Rodney Purvis made Three Point Jumper.,9,13
12:17,194,Trevor Thompson missed Layup.,9,13
12:17,41,Rodney Purvis Defensive Rebound.,9,13
12:11,194,Foul on Keita Bates-Diop.,9,13
12:11,41,Vance Jackson missed Free Throw.,9,13
12:11,41,Connecticut Deadball Team Rebound.,9,13
12:11,41,Vance Jackson made Free Throw.,10,13
11:46,194,Kam Williams missed Three Point Jumper.,10,13
11:46,194,Keita Bates-Diop Offensive Rebound.,10,13
11:42,41,Foul on Steven Enoch.,10,13
11:42,194,Official TV Timeout,10,13
11:39,194,Keita Bates-Diop made Jumper.,10,15
11:17,194,Foul on Keita Bates-Diop.,10,15
11:17,41,Steven Enoch made Free Throw.,11,15
11:17,41,Steven Enoch missed Free Throw.,11,15
11:17,194,Trevor Thompson Defensive Rebound.,11,15
10:48,194,Kam Williams missed Three Point Jumper.,11,15
10:48,41,Steven Enoch Defensive Rebound.,11,15
10:37,41,Jalen Adams made Layup.,13,15
10:11,194,Jae'Sean Tate missed Jumper.,13,15
10:11,194,Trevor Thompson Offensive Rebound.,13,15
10:03,194,Trevor Thompson made Layup.,13,17
9:52,41,Jalen Adams Turnover.,13,17
9:42,41,Foul on Jalen Adams.,13,17
9:40,194,Micah Potter missed Jumper.,13,17
9:40,41,Vance Jackson Defensive Rebound.,13,17
9:20,41,Rodney Purvis Turnover.,13,17
9:07,194,Foul on Micah Potter.,13,17
9:07,194,Micah Potter Turnover.,13,17
8:57,41,Jalen Adams made Layup.,15,17
8:41,41,Foul on Amida Brimah.,15,17
8:41,194,Trevor Thompson missed Free Throw.,15,17
8:41,194,Ohio State Deadball Team Rebound.,15,17
8:41,194,Trevor Thompson made Free Throw.,15,18
8:24,41,Vance Jackson missed Three Point Jumper.,15,18
8:24,194,Marc Loving Defensive Rebound.,15,18
8:09,194,Marc Loving missed Three Point Jumper.,15,18
8:09,41,Amida Brimah Defensive Rebound.,15,18
8:05,194,Foul on Jae'Sean Tate.,15,18
7:53,41,Amida Brimah Turnover.,15,18
7:53,194,Jae'Sean Tate Steal.,15,18
7:46,194,Trevor Thompson missed Jumper.,15,18
7:46,41,Jalen Adams Defensive Rebound.,15,18
7:31,41,Rodney Purvis made Jumper. Assisted by Christian Vital.,17,18
7:12,194,JaQuan Lyle missed Jumper.,17,18
7:12,41,Christian Vital Defensive Rebound.,17,18
7:05,194,Foul on Marc Loving.,17,18
7:05,194,Official TV Timeout,17,18
7:05,41,Jalen Adams made Free Throw.,18,18
7:05,41,Jalen Adams made Free Throw.,19,18
6:37,41,Foul on Amida Brimah.,19,18
6:37,194,Marc Loving missed Free Throw.,19,18
6:37,194,Ohio State Deadball Team Rebound.,19,18
6:37,194,Marc Loving made Free Throw.,19,19
6:22,41,Rodney Purvis missed Jumper.,19,19
6:22,194,JaQuan Lyle Defensive Rebound.,19,19
6:14,194,JaQuan Lyle Turnover.,19,19
5:55,41,Jalen Adams missed Jumper.,19,19
5:55,41,Kentan Facey Offensive Rebound.,19,19
5:49,41,Kentan Facey made Jumper.,21,19
5:31,194,Jae'Sean Tate missed Layup.,21,19
5:31,194,Trevor Thompson Offensive Rebound.,21,19
5:28,41,Foul on Rodney Purvis.,21,19
5:28,194,Trevor Thompson made Free Throw.,21,20
5:28,194,Trevor Thompson made Free Throw.,21,21
5:02,41,Rodney Purvis missed Three Point Jumper.,21,21
5:02,194,Jae'Sean Tate Defensive Rebound.,21,21
4:39,194,Trevor Thompson made Jumper.,21,23
4:16,41,Kentan Facey Turnover.,21,23
4:03,194,Trevor Thompson made Dunk. Assisted by Marc Loving.,21,25
3:45,41,Rodney Purvis missed Three Point Jumper.,21,25
3:45,194,Trevor Thompson Defensive Rebound.,21,25
3:38,41,Foul on Vance Jackson.,21,25
3:38,194,Official TV Timeout,21,25
3:38,194,Marc Loving made Free Throw.,21,26
3:38,194,Marc Loving made Free Throw.,21,27
3:24,41,Vance Jackson made Three Point Jumper. Assisted by Jalen Adams.,24,27
3:10,194,Jae'Sean Tate missed Three Point Jumper.,24,27
3:10,41,Christian Vital Defensive Rebound.,24,27
2:59,41,Christian Vital made Layup.,26,27
2:37,194,C.J. Jackson missed Three Point Jumper.,26,27
2:37,194,Andre Wesson Offensive Rebound.,26,27
2:34,41,Foul on Vance Jackson.,26,27
2:34,194,Andre Wesson missed Free Throw.,26,27
2:34,194,Ohio State Deadball Team Rebound.,26,27
2:34,194,Andre Wesson made Free Throw.,26,28
2:20,41,Vance Jackson made Jumper.,28,28
1:50,194,Jae'Sean Tate made Jumper.,28,30
1:34,41,Christian Vital missed Three Point Jumper.,28,30
1:34,194,Trevor Thompson Defensive Rebound.,28,30
1:23,194,Marc Loving missed Layup.,28,30
1:23,41,Rodney Purvis Defensive Rebound.,28,30
1:08,41,Rodney Purvis Turnover.,28,30
1:08,194,JaQuan Lyle Steal.,28,30
1:02,194,JaQuan Lyle made Layup.,28,32
0:55,41,Connecticut  Timeout,28,32
0:47,41,Vance Jackson made Three Point Jumper. Assisted by Jalen Adams.,31,32
0:33,194,Ohio State  Timeout,31,32
0:13,194,Marc Loving missed Three Point Jumper.,31,32
0:13,41,Vance Jackson Defensive Rebound.,31,32
0:02,41,Jalen Adams made Three Point Jumper. Assisted by Vance Jackson.,34,32
0:00,194,End of 1st half,34,32
20:00,41,Jump Ball won by Connecticut,34,32
19:45,41,Amida Brimah made Jumper. Assisted by Rodney Purvis.,36,32
19:22,194,JaQuan Lyle missed Three Point Jumper.,36,32
19:22,41,Steven Enoch Defensive Rebound.,36,32
18:57,41,Christian Vital made Jumper.,38,32
18:33,41,Foul on Amida Brimah.,38,32
18:33,194,Jae'Sean Tate made Free Throw.,38,33
18:33,194,Jae'Sean Tate made Free Throw.,38,34
18:22,41,Rodney Purvis missed Jumper.,38,34
18:22,41,Steven Enoch Offensive Rebound.,38,34
18:19,194,Foul on Jae'Sean Tate.,38,34
18:10,41,Jalen Adams missed Jumper.,38,34
18:10,41,Kentan Facey Offensive Rebound.,38,34
18:03,41,Kentan Facey made Dunk.,40,34
17:45,41,Foul on Christian Vital.,40,34
17:34,194,Kam Williams missed Three Point Jumper.,40,34
17:34,194,Micah Potter Offensive Rebound.,40,34
17:27,194,Micah Potter Turnover.,40,34
17:27,41,Christian Vital Steal.,40,34
17:22,41,Rodney Purvis made Dunk. Assisted by Christian Vital.,42,34
16:54,194,JaQuan Lyle made Layup.,42,36
16:32,41,Christian Vital missed Three Point Jumper.,42,36
16:32,194,Ohio State Defensive Rebound.,42,36
16:16,194,Jae'Sean Tate made Layup.,42,38
15:59,41,Vance Jackson Turnover.,42,38
15:59,194,Official TV Timeout,42,38
15:35,194,JaQuan Lyle missed Jumper.,42,38
15:35,194,JaQuan Lyle Offensive Rebound.,42,38
15:33,41,Foul on Kentan Facey.,42,38
15:26,194,Marc Loving missed Three Point Jumper.,42,38
15:26,194,Trevor Thompson Offensive Rebound.,42,38
15:24,41,Foul on Kentan Facey.,42,38
15:22,194,Kam Williams missed Three Point Jumper.,42,38
15:22,41,Rodney Purvis Defensive Rebound.,42,38
14:55,41,Jalen Adams missed Three Point Jumper.,42,38
14:55,194,Trevor Thompson Defensive Rebound.,42,38
14:28,194,JaQuan Lyle made Jumper.,42,40
13:56,41,Vance Jackson made Three Point Jumper.,45,40
13:35,194,Kam Williams Turnover.,45,40
13:13,41,Vance Jackson missed Three Point Jumper.,45,40
13:13,194,Trevor Thompson Defensive Rebound.,45,40
12:50,194,Trevor Thompson made Jumper.,45,42
12:20,41,Rodney Purvis missed Jumper.,45,42
12:20,41,Amida Brimah Offensive Rebound.,45,42
12:20,41,Amida Brimah made Two Point Tip Shot.,47,42
12:03,41,Foul on Jalen Adams.,47,42
11:45,41,Foul on Rodney Purvis.,47,42
11:45,194,Official TV Timeout,47,42
11:41,194,Trevor Thompson missed Layup.,47,42
11:41,41,Connecticut Defensive Rebound.,47,42
11:26,41,Rodney Purvis Turnover.,47,42
11:19,194,Jae'Sean Tate missed Layup.,47,42
11:19,194,Marc Loving Offensive Rebound.,47,42
11:08,41,Foul on Christian Vital.,47,42
11:08,194,Keita Bates-Diop missed Free Throw.,47,42
11:08,194,Ohio State Deadball Team Rebound.,47,42
11:08,194,Keita Bates-Diop made Free Throw.,47,43
10:48,41,Christian Vital missed Three Point Jumper.,47,43
10:48,194,JaQuan Lyle Defensive Rebound.,47,43
10:40,194,JaQuan Lyle missed Jumper.,47,43
10:40,194,Trevor Thompson Offensive Rebound.,47,43
10:38,41,Foul on Amida Brimah.,47,43
10:38,194,Trevor Thompson made Free Throw.,47,44
10:38,194,Trevor Thompson made Free Throw.,47,45
10:12,41,Rodney Purvis missed Jumper.,47,45
10:12,194,Trevor Thompson Defensive Rebound.,47,45
10:00,194,Keita Bates-Diop made Dunk. Assisted by Trevor Thompson.,47,47
9:58,41,Connecticut  Timeout,47,47
9:29,194,Foul on Trevor Thompson.,47,47
9:29,41,Steven Enoch missed Free Throw.,47,47
9:29,41,Connecticut Deadball Team Rebound.,47,47
9:29,41,Steven Enoch missed Free Throw.,47,47
9:29,194,Trevor Thompson Defensive Rebound.,47,47
9:16,194,Kam Williams missed Jumper.,47,47
9:16,194,Ohio State Offensive Rebound.,47,47
9:05,194,Jae'Sean Tate missed Jumper.,47,47
9:05,41,Steven Enoch Defensive Rebound.,47,47
8:57,41,Steven Enoch Turnover.,47,47
8:37,194,Kam Williams Turnover.,47,47
8:20,41,Jalen Adams missed Three Point Jumper.,47,47
8:20,194,Trevor Thompson Defensive Rebound.,47,47
8:01,41,Foul on Steven Enoch.,47,47
8:01,194,Trevor Thompson made Free Throw.,47,48
8:01,194,Trevor Thompson made Free Throw.,47,49
7:48,41,Rodney Purvis missed Jumper.,47,49
7:48,194,Trevor Thompson Defensive Rebound.,47,49
7:37,194,JaQuan Lyle missed Three Point Jumper.,47,49
7:37,41,Christian Vital Defensive Rebound.,47,49
7:11,194,Foul on JaQuan Lyle.,47,49
7:11,194,Official TV Timeout,47,49
6:57,41,Rodney Purvis made Three Point Jumper. Assisted by Jalen Adams.,50,49
6:36,194,Keita Bates-Diop missed Layup.,50,49
6:36,41,Steven Enoch Defensive Rebound.,50,49
6:20,41,Rodney Purvis Turnover.,50,49
6:01,194,JaQuan Lyle made Layup.,50,51
5:37,41,Rodney Purvis missed Three Point Jumper.,50,51
5:37,41,Kentan Facey Offensive Rebound.,50,51
5:12,41,Christian Vital missed Three Point Jumper.,50,51
5:12,194,Trevor Thompson Defensive Rebound.,50,51
4:40,194,Keita Bates-Diop missed Three Point Jumper.,50,51
4:40,41,Kentan Facey Defensive Rebound.,50,51
4:29,41,Jalen Adams missed Jumper.,50,51
4:29,194,Keita Bates-Diop Block.,50,51
4:29,194,Trevor Thompson Defensive Rebound.,50,51
4:27,41,Foul on Rodney Purvis.,50,51
4:27,194,Jae'Sean Tate missed Free Throw.,50,51
4:27,194,Ohio State Deadball Team Rebound.,50,51
4:27,194,Jae'Sean Tate made Free Throw.,50,52
4:04,41,Vance Jackson missed Jumper.,50,52
4:04,194,Keita Bates-Diop Block.,50,52
4:04,41,Amida Brimah Offensive Rebound.,50,52
3:52,41,Amida Brimah made Jumper. Assisted by Vance Jackson.,52,52
3:24,194,Trevor Thompson missed Layup.,52,52
3:24,194,Marc Loving Offensive Rebound.,52,52
3:15,194,Marc Loving made Jumper.,52,54
2:59,41,Kentan Facey made Jumper.,54,54
2:40,194,Marc Loving Turnover.,54,54
2:40,194,Official TV Timeout,54,54
2:29,41,Jalen Adams Turnover.,54,54
2:29,194,JaQuan Lyle Steal.,54,54
2:23,194,JaQuan Lyle missed Layup.,54,54
2:23,194,Trevor Thompson Offensive Rebound.,54,54
2:23,41,Foul on Jalen Adams.,54,54
2:23,194,Trevor Thompson made Free Throw.,54,55
2:23,194,Trevor Thompson made Free Throw.,54,56
2:04,41,Rodney Purvis Turnover.,54,56
1:45,41,Foul on Amida Brimah.,54,56
1:45,194,JaQuan Lyle made Free Throw.,54,57
1:45,194,JaQuan Lyle made Free Throw.,54,58
1:41,41,Connecticut  Timeout,54,58
1:31,41,Jalen Adams missed Layup.,54,58
1:31,194,Jae'Sean Tate Defensive Rebound.,54,58
1:03,194,Jae'Sean Tate missed Jumper.,54,58
1:03,41,Rodney Purvis Defensive Rebound.,54,58
0:55,41,Rodney Purvis missed Three Point Jumper.,54,58
0:55,194,Keita Bates-Diop Defensive Rebound.,54,58
0:46,194,Ohio State  Timeout,54,58
0:43,41,Foul on Kentan Facey.,54,58
0:43,194,JaQuan Lyle made Free Throw.,54,59
0:43,194,JaQuan Lyle made Free Throw.,54,60
0:41,41,Connecticut  Timeout,54,60
0:38,194,Foul on JaQuan Lyle.,54,60
0:34,41,Jalen Adams missed Three Point Jumper.,54,60
0:34,194,JaQuan Lyle Defensive Rebound.,54,60
0:31,41,Foul on Christian Vital.,54,60
0:31,194,JaQuan Lyle made Free Throw.,54,61
0:31,194,JaQuan Lyle made Free Throw.,54,62
0:28,194,Foul on Jae'Sean Tate.,54,62
0:26,41,Jalen Adams made Three Point Jumper. Assisted by Vance Jackson.,57,62
0:23,41,Foul on Jalen Adams.,57,62
0:23,194,Jae'Sean Tate missed Free Throw.,57,62
0:23,194,Ohio State Deadball Team Rebound.,57,62
0:23,194,Jae'Sean Tate made Free Throw.,57,63
0:17,41,Jalen Adams made Layup.,59,63
0:17,194,Foul on Jae'Sean Tate.,59,63
0:17,41,Jalen Adams made Free Throw.,60,63
0:16,41,Foul on Vance Jackson.,60,63
0:16,194,Marc Loving missed Free Throw.,60,63
0:16,194,Ohio State Deadball Team Rebound.,60,63
0:16,194,Marc Loving made Free Throw.,60,64
0:04,41,Jalen Adams missed Layup.,60,64
0:04,41,Connecticut Offensive Rebound.,60,64
0:04,41,Jalen Adams missed Layup.,60,64
0:04,41,Jalen Adams Offensive Rebound.,60,64
0:01,41,Christian Vital missed Three Point Jumper.,60,64
0:01,194,Ohio State Defensive Rebound.,60,64
0:00,194,End of Game,60,64
