Wisconsin,269,Marquette,275
6:39,269,Markus Howard Defensive Rebound.,27,27
6:28,269,Markus Howard made Layup.,27,29
6:28,275,Foul on D'Mitrik Trice.,27,29
6:28,269,Markus Howard made Free Throw.,27,30
6:14,269,Foul on Andrew Rowsey.,27,30
6:14,275,Charles Thomas IV made Free Throw.,28,30
6:14,275,Charles Thomas IV made Free Throw.,29,30
6:00,269,Markus Howard missed Jumper.,29,30
6:00,275,D'Mitrik Trice Defensive Rebound.,29,30
5:53,275,Zak Showalter made Layup. Assisted by Nigel Hayes.,31,30
5:27,269,Katin Reinhardt Turnover.,31,30
5:27,275,Nigel Hayes Steal.,31,30
5:19,275,D'Mitrik Trice missed Three Point Jumper.,31,30
5:19,275,Nigel Hayes Offensive Rebound.,31,30
4:53,275,D'Mitrik Trice missed Jumper.,31,30
4:53,269,Haanif Cheatham Defensive Rebound.,31,30
4:48,269,Andrew Rowsey missed Layup.,31,30
4:48,275,Bronson Koenig Block.,31,30
4:48,269,Marquette Offensive Rebound.,31,30
4:41,269,Luke Fischer missed Jumper.,31,30
4:41,275,Bronson Koenig Defensive Rebound.,31,30
4:23,275,Bronson Koenig missed Jumper.,31,30
4:23,269,Luke Fischer Defensive Rebound.,31,30
4:06,275,Foul on Bronson Koenig.,31,30
4:06,269,Katin Reinhardt missed Free Throw.,31,30
4:06,269,Marquette Deadball Team Rebound.,31,30
4:06,269,Katin Reinhardt made Free Throw.,31,31
3:59,275,D'Mitrik Trice Turnover.,31,31
3:59,269,Luke Fischer Steal.,31,31
3:53,269,Katin Reinhardt made Three Point Jumper. Assisted by Luke Fischer.,31,34
3:36,275,Zak Showalter made Jumper.,33,34
3:13,269,Haanif Cheatham missed Three Point Jumper.,33,34
3:13,275,Khalil Iverson Defensive Rebound.,33,34
2:59,275,Vitto Brown missed Jumper.,33,34
2:59,269,Marquette Deadball Team Rebound.,33,34
2:56,275,Foul on Charles Thomas IV.,33,34
2:56,269,Official TV Timeout,33,34
2:56,269,Luke Fischer made Free Throw.,33,35
2:56,269,Luke Fischer missed Free Throw.,33,35
2:55,275,Vitto Brown Defensive Rebound.,33,35
2:28,275,Vitto Brown missed Three Point Jumper.,33,35
2:28,269,Duane Wilson Defensive Rebound.,33,35
2:10,269,Katin Reinhardt missed Three Point Jumper.,33,35
2:10,275,Bronson Koenig Defensive Rebound.,33,35
1:56,275,Khalil Iverson made Dunk. Assisted by Vitto Brown.,35,35
1:29,269,Duane Wilson missed Layup.,35,35
1:29,269,Luke Fischer Offensive Rebound.,35,35
1:29,269,Luke Fischer made Two Point Tip Shot.,35,37
1:06,275,Nigel Hayes Turnover.,35,37
0:42,269,Duane Wilson missed Three Point Jumper.,35,37
0:42,275,Nigel Hayes Defensive Rebound.,35,37
0:13,275,Vitto Brown missed Jumper.,35,37
0:13,269,Duane Wilson Defensive Rebound.,35,37
0:02,275,Foul on Vitto Brown.,35,37
0:02,269,Andrew Rowsey made Free Throw.,35,38
0:02,269,Andrew Rowsey made Free Throw.,35,39
0:02,269,Andrew Rowsey made Free Throw.,35,40
0:00,269,End of 1st half,35,40
20:00,275,Jump Ball won by Wisconsin,35,40
19:44,275,Zak Showalter missed Three Point Jumper.,35,40
19:44,269,Haanif Cheatham Defensive Rebound.,35,40
19:14,269,Luke Fischer missed Jumper.,35,40
19:14,275,Vitto Brown Defensive Rebound.,35,40
19:02,275,Nigel Hayes Turnover.,35,40
18:34,269,Markus Howard missed Three Point Jumper.,35,40
18:34,275,Ethan Happ Defensive Rebound.,35,40
18:22,275,Bronson Koenig missed Three Point Jumper.,35,40
18:22,275,Wisconsin Offensive Rebound.,35,40
18:15,275,Vitto Brown made Layup. Assisted by Bronson Koenig.,37,40
18:02,269,Jajuan Johnson made Jumper.,37,42
17:47,275,Nigel Hayes missed Jumper.,37,42
17:47,269,Haanif Cheatham Defensive Rebound.,37,42
17:35,269,Haanif Cheatham missed Layup.,37,42
17:35,275,Ethan Happ Defensive Rebound.,37,42
17:28,269,Foul on Jajuan Johnson.,37,42
17:15,275,Ethan Happ made Jumper.,39,42
17:04,269,Markus Howard Turnover.,39,42
17:04,275,Zak Showalter Steal.,39,42
16:48,275,Vitto Brown made Jumper. Assisted by Bronson Koenig.,41,42
16:33,269,Haanif Cheatham made Layup.,41,44
16:11,275,Ethan Happ made Layup. Assisted by Zak Showalter.,43,44
15:54,269,Luke Fischer missed Jumper.,43,44
15:54,275,D'Mitrik Trice Defensive Rebound.,43,44
15:52,269,Foul on Sam Hauser.,43,44
15:52,269,Official TV Timeout,43,44
15:33,275,Vitto Brown Turnover.,43,44
15:33,269,Jajuan Johnson Steal.,43,44
15:32,275,Foul on Vitto Brown.,43,44
15:22,269,Jajuan Johnson missed Layup.,43,44
15:22,275,Ethan Happ Defensive Rebound.,43,44
15:05,275,Ethan Happ missed Layup.,43,44
15:05,275,Ethan Happ Offensive Rebound.,43,44
14:52,275,Khalil Iverson made Jumper.,45,44
14:52,269,Foul on Jajuan Johnson.,45,44
14:52,275,Khalil Iverson made Free Throw.,46,44
14:41,269,Markus Howard made Three Point Jumper. Assisted by Haanif Cheatham.,46,47
14:14,275,Bronson Koenig made Three Point Jumper.,49,47
13:59,269,Haanif Cheatham missed Layup.,49,47
13:59,275,Khalil Iverson Block.,49,47
13:59,275,Nigel Hayes Defensive Rebound.,49,47
13:45,275,Nigel Hayes made Layup. Assisted by Khalil Iverson.,51,47
13:34,269,Katin Reinhardt missed Jumper.,51,47
13:33,275,Ethan Happ Defensive Rebound.,51,47
13:15,275,Ethan Happ made Layup. Assisted by Bronson Koenig.,53,47
13:15,269,Marquette  Timeout,53,47
12:59,269,Andrew Rowsey missed Three Point Jumper.,53,47
12:59,275,Nigel Hayes Defensive Rebound.,53,47
12:44,275,Bronson Koenig missed Jumper.,53,47
12:44,269,Luke Fischer Defensive Rebound.,53,47
12:32,269,Katin Reinhardt Turnover.,53,47
12:32,275,Nigel Hayes Steal.,53,47
12:18,275,Khalil Iverson made Three Point Jumper. Assisted by Bronson Koenig.,56,47
12:00,269,Duane Wilson missed Jumper.,56,47
12:00,275,Nigel Hayes Defensive Rebound.,56,47
11:49,275,Nigel Hayes missed Layup.,56,47
11:49,269,Luke Fischer Defensive Rebound.,56,47
11:26,269,Katin Reinhardt missed Three Point Jumper.,56,47
11:26,275,Wisconsin Defensive Rebound.,56,47
11:24,269,Official TV Timeout,56,47
11:01,275,Nigel Hayes missed Layup.,56,47
11:01,269,Luke Fischer Block.,56,47
11:01,275,Vitto Brown Offensive Rebound.,56,47
10:52,275,Vitto Brown made Layup.,58,47
10:39,269,Duane Wilson Turnover.,58,47
10:27,275,Khalil Iverson missed Three Point Jumper.,58,47
10:27,269,Andrew Rowsey Defensive Rebound.,58,47
10:09,269,Foul on Sam Hauser.,58,47
10:09,269,Sam Hauser Turnover.,58,47
9:58,269,Foul on Andrew Rowsey.,58,47
9:55,269,Foul on Jajuan Johnson.,58,47
9:55,275,Nigel Hayes made Free Throw.,59,47
9:55,275,Nigel Hayes missed Free Throw.,59,47
9:55,269,Markus Howard Defensive Rebound.,59,47
9:40,275,Foul on Zak Showalter.,59,47
9:34,269,Jajuan Johnson missed Layup.,59,47
9:34,275,Nigel Hayes Defensive Rebound.,59,47
9:24,275,Ethan Happ made Layup. Assisted by Nigel Hayes.,61,47
9:24,269,Foul on Luke Fischer.,61,47
9:24,275,Ethan Happ made Free Throw.,62,47
8:59,269,Andrew Rowsey made Three Point Jumper.,62,50
8:36,275,Zak Showalter made Three Point Jumper. Assisted by D'Mitrik Trice.,65,50
8:19,269,Katin Reinhardt Turnover.,65,50
8:19,275,D'Mitrik Trice Steal.,65,50
8:14,275,D'Mitrik Trice made Layup.,67,50
8:03,269,Marquette  Timeout,67,50
7:46,269,Haanif Cheatham made Layup.,67,52
7:14,275,Bronson Koenig missed Jumper.,67,52
7:14,275,Nigel Hayes Offensive Rebound.,67,52
6:48,275,Nigel Hayes made Three Point Jumper. Assisted by Ethan Happ.,70,52
6:33,269,Andrew Rowsey made Three Point Jumper.,70,55
6:12,269,Foul on Haanif Cheatham.,70,55
6:12,275,Ethan Happ missed Free Throw.,70,55
6:12,269,Marquette Deadball Team Rebound.,70,55
6:12,275,Foul on Zak Showalter.,70,55
5:56,269,Haanif Cheatham missed Layup.,70,55
5:56,275,Ethan Happ Block.,70,55
5:56,269,Luke Fischer Offensive Rebound.,70,55
5:50,269,Luke Fischer made Layup.,70,57
5:33,275,Ethan Happ made Dunk. Assisted by Bronson Koenig.,72,57
5:19,269,Andrew Rowsey made Three Point Jumper.,72,60
5:04,275,Bronson Koenig made Three Point Jumper. Assisted by D'Mitrik Trice.,75,60
4:44,269,Haanif Cheatham made Layup.,75,62
4:13,269,Foul on Luke Fischer.,75,62
4:13,275,D'Mitrik Trice missed Free Throw.,75,62
4:13,275,Wisconsin Deadball Team Rebound.,75,62
4:13,275,D'Mitrik Trice made Free Throw.,76,62
4:13,275,Wisconsin  Timeout,76,62
3:59,275,Foul on Nigel Hayes.,76,62
3:59,269,Markus Howard made Free Throw.,76,63
3:59,269,Markus Howard made Free Throw.,76,64
3:56,269,Foul on Markus Howard.,76,64
3:56,275,Khalil Iverson made Free Throw.,77,64
3:56,275,Khalil Iverson missed Free Throw.,77,64
3:56,269,Haanif Cheatham Defensive Rebound.,77,64
3:45,275,Foul on Bronson Koenig.,77,64
3:45,269,Katin Reinhardt made Free Throw.,77,65
3:45,269,Katin Reinhardt made Free Throw.,77,66
3:45,269,Katin Reinhardt made Free Throw.,77,67
3:18,275,Bronson Koenig missed Jumper.,77,67
3:18,269,Katin Reinhardt Defensive Rebound.,77,67
3:06,275,Foul on Ethan Happ.,77,67
3:06,269,Markus Howard made Free Throw.,77,68
3:06,269,Markus Howard made Free Throw.,77,69
2:39,275,Nigel Hayes made Dunk.,79,69
2:25,269,Haanif Cheatham missed Jumper.,79,69
2:25,269,Haanif Cheatham Offensive Rebound.,79,69
2:22,275,Foul on Zak Showalter.,79,69
2:22,269,Haanif Cheatham made Free Throw.,79,70
2:22,269,Haanif Cheatham made Free Throw.,79,71
2:06,269,Foul on Katin Reinhardt.,79,71
2:06,275,Nigel Hayes made Free Throw.,80,71
2:06,275,Nigel Hayes missed Free Throw.,80,71
2:06,275,Khalil Iverson Offensive Rebound.,80,71
2:05,269,Foul on Andrew Rowsey.,80,71
2:05,275,Khalil Iverson missed Free Throw.,80,71
2:05,275,Wisconsin Deadball Team Rebound.,80,71
2:05,275,Khalil Iverson made Free Throw.,81,71
1:55,275,Foul on Bronson Koenig.,81,71
1:55,269,Markus Howard missed Free Throw.,81,71
1:55,275,Vitto Brown Defensive Rebound.,81,71
1:26,269,Foul on Katin Reinhardt.,81,71
1:26,275,Nigel Hayes made Free Throw.,82,71
1:26,275,Nigel Hayes missed Free Throw.,82,71
1:26,269,Katin Reinhardt Defensive Rebound.,82,71
1:18,269,Markus Howard missed Three Point Jumper.,82,71
1:18,275,Khalil Iverson Defensive Rebound.,82,71
1:12,269,Foul on Katin Reinhardt.,82,71
1:12,275,Nigel Hayes made Free Throw.,83,71
1:12,275,Nigel Hayes missed Free Throw.,83,71
1:12,269,Haanif Cheatham Defensive Rebound.,83,71
1:07,269,Haanif Cheatham made Layup.,83,73
0:57,269,Foul on Haanif Cheatham.,83,73
0:57,275,Bronson Koenig made Free Throw.,84,73
0:57,275,Bronson Koenig made Free Throw.,85,73
0:51,269,Markus Howard missed Layup.,85,73
0:51,275,Khalil Iverson Block.,85,73
0:51,269,Haanif Cheatham Offensive Rebound.,85,73
0:47,269,Haanif Cheatham made Layup.,85,75
0:47,269,Foul on Markus Howard.,85,75
0:47,275,Khalil Iverson made Free Throw.,86,75
0:47,275,Khalil Iverson made Free Throw.,87,75
0:45,275,Foul on Khalil Iverson.,87,75
0:45,269,Haanif Cheatham made Free Throw.,87,76
0:45,269,Haanif Cheatham made Free Throw.,87,77
0:43,275,Khalil Iverson made Dunk. Assisted by Nigel Hayes.,89,77
0:43,275,Technical Foul on Khalil Iverson.,89,77
0:43,269,Andrew Rowsey made Free Throw.,89,78
0:38,269,Markus Howard made Layup.,89,80
0:38,275,Foul on Vitto Brown.,89,80
0:38,269,Markus Howard made Free Throw.,89,81
0:36,269,Foul on Markus Howard.,89,81
0:36,275,Zak Showalter made Free Throw.,90,81
0:36,275,Zak Showalter made Free Throw.,91,81
0:29,269,Haanif Cheatham missed Layup.,91,81
0:29,275,Vitto Brown Defensive Rebound.,91,81
0:27,269,Foul on Sam Hauser.,91,81
0:27,275,Vitto Brown made Free Throw.,92,81
0:27,275,Vitto Brown made Free Throw.,93,81
0:21,269,Markus Howard made Three Point Jumper.,93,84
0:00,269,End of Game,93,84
