Tulane,2572,Southern Miss,2655
13:49,2572,Foul on Cortez Edwards.,8,8
13:49,2655,Ray Ona Embo made Free Throw.,9,8
13:49,2655,Ray Ona Embo made Free Throw.,10,8
13:44,2655,Foul on Melvin Frazier.,10,8
13:26,2572,Tim Rowe Turnover.,10,8
13:24,2655,Blake Paul Steal.,10,8
13:22,2655,Ray Ona Embo made Layup. Assisted by Blake Paul.,12,8
13:08,2572,Michael Ramey Turnover.,12,8
12:56,2655,Ray Ona Embo made Jumper.,14,8
12:36,2572,Eddie Davis III Turnover.,14,8
12:36,2655,Malik Morgan Steal.,14,8
12:17,2655,Blake Paul missed Jumper.,14,8
12:17,2572,Cortez Edwards Defensive Rebound.,14,8
12:08,2572,Quinton Campbell Turnover.,14,8
11:47,2655,Ray Ona Embo missed Three Point Jumper.,14,8
11:47,2572,Cortez Edwards Defensive Rebound.,14,8
11:32,2572,Cortez Edwards Turnover.,14,8
11:30,2572,Official TV Timeout,14,8
11:17,2655,Blake Paul made Dunk. Assisted by Malik Morgan.,16,8
10:54,2572,Cortez Edwards missed Jumper.,16,8
10:54,2655,Tulane Defensive Rebound.,16,8
10:40,2655,Cameron Reynolds missed Three Point Jumper.,16,8
10:40,2572,Kevin Holland Defensive Rebound.,16,8
10:19,2572,Quinton Campbell missed Three Point Jumper.,16,8
10:19,2655,Blake Paul Defensive Rebound.,16,8
10:13,2572,Foul on Cortez Edwards.,16,8
10:08,2655,Cameron Reynolds made Jumper. Assisted by Colin Slater.,18,8
9:54,2655,Foul on Blake Paul.,18,8
9:54,2572,Eddie Davis III made Free Throw.,18,9
9:54,2572,Eddie Davis III missed Free Throw.,18,9
9:54,2655,Cameron Reynolds Defensive Rebound.,18,9
9:31,2655,Blake Paul Turnover.,18,9
9:18,2655,Foul on Colin Slater.,18,9
9:18,2572,Michael Ramey made Free Throw.,18,10
9:18,2572,Michael Ramey missed Free Throw.,18,10
9:18,2655,Cameron Reynolds Defensive Rebound.,18,10
8:58,2655,Ray Ona Embo made Layup.,20,10
8:38,2572,Raheem Watts Turnover.,20,10
8:36,2655,Ray Ona Embo Steal.,20,10
8:33,2655,Melvin Frazier missed Layup.,20,10
8:33,2655,Melvin Frazier Offensive Rebound.,20,10
8:29,2655,Melvin Frazier missed Jumper.,20,10
8:29,2572,Michael Ramey Defensive Rebound.,20,10
8:07,2572,Kevin Holland missed Jumper.,20,10
8:07,2655,Melvin Frazier Defensive Rebound.,20,10
8:01,2572,Foul on Raheem Watts.,20,10
7:55,2655,Blake Paul missed Jumper.,20,10
7:55,2572,Eddie Davis III Defensive Rebound.,20,10
7:39,2572,Tim Rowe missed Jumper.,20,10
7:39,2655,Ray Ona Embo Defensive Rebound.,20,10
7:29,2655,Blake Paul missed Jumper.,20,10
7:29,2572,Quinton Campbell Defensive Rebound.,20,10
7:12,2572,Official TV Timeout,20,10
7:04,2572,Eddie Davis III missed Three Point Jumper.,20,10
7:04,2655,Malik Morgan Defensive Rebound.,20,10
6:56,2655,Malik Morgan missed Layup.,20,10
6:56,2572,Kevin Holland Defensive Rebound.,20,10
6:44,2572,Southern Miss  Timeout,20,10
6:40,2572,Quinton Campbell missed Three Point Jumper.,20,10
6:40,2655,Colin Slater Defensive Rebound.,20,10
6:35,2572,Foul on Kevin Holland.,20,10
6:35,2655,Colin Slater made Free Throw.,21,10
6:35,2655,Colin Slater made Free Throw.,22,10
6:11,2572,Michael Ramey missed Jumper.,22,10
6:11,2655,Malik Morgan Defensive Rebound.,22,10
6:04,2655,Malik Morgan missed Three Point Jumper.,22,10
6:04,2655,Tulane Offensive Rebound.,22,10
5:37,2655,Colin Slater Turnover.,22,10
5:35,2572,Cortez Edwards Steal.,22,10
5:30,2572,Kevin Holland missed Jumper.,22,10
5:30,2655,Sammis Reyes Defensive Rebound.,22,10
5:07,2655,Sammis Reyes missed Jumper.,22,10
5:07,2572,Tim Rowe Defensive Rebound.,22,10
4:51,2655,Foul on Sammis Reyes.,22,10
4:49,2572,Tim Rowe missed Free Throw.,22,10
4:49,2572,Southern Miss Deadball Team Rebound.,22,10
4:49,2572,Tim Rowe missed Free Throw.,22,10
4:49,2655,Cameron Reynolds Defensive Rebound.,22,10
4:32,2655,Colin Slater missed Three Point Jumper.,22,10
4:32,2572,Tim Rowe Defensive Rebound.,22,10
4:30,2655,Foul on Malik Morgan.,22,10
4:30,2572,Tim Rowe missed Free Throw.,22,10
4:30,2655,Cameron Reynolds Defensive Rebound.,22,10
4:12,2655,Von Julien Turnover.,22,10
3:51,2572,Raheem Watts missed Layup.,22,10
3:51,2655,Cameron Reynolds Defensive Rebound.,22,10
3:39,2655,Cameron Reynolds missed Three Point Jumper.,22,10
3:39,2572,Raheem Watts Defensive Rebound.,22,10
3:29,2572,Kevin Holland missed Jumper.,22,10
3:29,2655,Sammis Reyes Defensive Rebound.,22,10
3:09,2572,Foul on Raheem Watts.,22,10
3:09,2572,Official TV Timeout,22,10
3:09,2655,Sammis Reyes missed Free Throw.,22,10
3:09,2655,Tulane Deadball Team Rebound.,22,10
3:09,2655,Sammis Reyes made Free Throw.,23,10
2:51,2655,Foul on Sammis Reyes.,23,10
2:51,2572,Tim Rowe missed Free Throw.,23,10
2:51,2572,Southern Miss Deadball Team Rebound.,23,10
2:51,2572,Tim Rowe made Free Throw.,23,11
2:28,2655,Blake Paul made Jumper.,25,11
2:13,2572,Michael Ramey missed Three Point Jumper.,25,11
2:13,2655,Blake Paul Defensive Rebound.,25,11
1:53,2655,Cameron Reynolds made Three Point Jumper. Assisted by Von Julien.,28,11
1:30,2572,Eddie Davis III missed Three Point Jumper.,28,11
1:30,2655,Melvin Frazier Defensive Rebound.,28,11
1:19,2655,Von Julien missed Jumper.,28,11
1:19,2572,Cortez Edwards Defensive Rebound.,28,11
1:00,2572,Michael Ramey made Three Point Jumper. Assisted by Cortez Edwards.,28,14
0:42,2655,Cameron Reynolds missed Three Point Jumper.,28,14
0:42,2655,Blake Paul Offensive Rebound.,28,14
0:35,2655,Blake Paul made Jumper.,30,14
0:15,2572,Michael Ramey made Three Point Jumper. Assisted by Kevin Holland.,30,17
0:01,2655,Melvin Frazier missed Three Point Jumper.,30,17
0:01,2572,Kevin Holland Defensive Rebound.,30,17
0:00,2572,End of 1st half,30,17
19:47,2572,Eddie Davis III missed Three Point Jumper.,30,17
19:47,2655,Melvin Frazier Defensive Rebound.,30,17
19:31,2572,Foul on Eddie Davis III.,30,17
19:31,2655,Ray Ona Embo made Free Throw.,31,17
19:31,2655,Ray Ona Embo made Free Throw.,32,17
19:15,2572,Raheem Watts Turnover.,32,17
19:13,2655,Cameron Reynolds Steal.,32,17
18:52,2655,Cameron Reynolds missed Jumper.,32,17
18:52,2572,Eddie Davis III Defensive Rebound.,32,17
18:36,2572,Quinton Campbell made Three Point Jumper. Assisted by Kevin Holland.,32,20
18:14,2655,Melvin Frazier missed Jumper.,32,20
18:14,2572,Raheem Watts Defensive Rebound.,32,20
17:58,2572,Michael Ramey missed Jumper.,32,20
17:58,2655,Cameron Reynolds Defensive Rebound.,32,20
17:49,2655,Malik Morgan made Three Point Jumper. Assisted by Ray Ona Embo.,35,20
17:31,2572,Eddie Davis III made Jumper. Assisted by Michael Ramey.,35,22
17:16,2655,Cameron Reynolds made Jumper. Assisted by Malik Morgan.,37,22
17:01,2655,Foul on Cameron Reynolds.,37,22
16:53,2572,Quinton Campbell made Jumper.,37,24
16:42,2655,Ryan Smith missed Jumper.,37,24
16:42,2655,Ray Ona Embo Offensive Rebound.,37,24
16:28,2655,Malik Morgan missed Three Point Jumper.,37,24
16:28,2572,Quinton Campbell Defensive Rebound.,37,24
16:11,2655,Foul on Cameron Reynolds.,37,24
16:11,2572,Eddie Davis III made Free Throw.,37,25
16:11,2572,Eddie Davis III missed Free Throw.,37,25
16:11,2655,Ray Ona Embo Defensive Rebound.,37,25
16:06,2655,Melvin Frazier missed Layup.,37,25
16:06,2572,Tim Rowe Block.,37,25
16:04,2655,Ray Ona Embo Offensive Rebound.,37,25
16:01,2655,Ray Ona Embo made Jumper.,39,25
15:35,2572,Eddie Davis III missed Three Point Jumper.,39,25
15:35,2572,Quinton Campbell Offensive Rebound.,39,25
15:30,2572,Quinton Campbell made Jumper.,39,27
15:06,2655,Ray Ona Embo made Three Point Jumper. Assisted by Melvin Frazier.,42,27
14:43,2572,Kevin Holland made Three Point Jumper. Assisted by Tim Rowe.,42,30
14:31,2655,Ryan Smith made Jumper.,44,30
14:19,2572,Eddie Davis III Turnover.,44,30
14:18,2655,Cameron Reynolds Steal.,44,30
14:16,2572,Foul on Eddie Davis III.,44,30
14:16,2572,Official TV Timeout,44,30
14:14,2655,Malik Morgan made Jumper. Assisted by Ryan Smith.,46,30
14:02,2572,Michael Ramey missed Three Point Jumper.,46,30
14:02,2655,Melvin Frazier Defensive Rebound.,46,30
13:45,2655,Ryan Smith made Jumper.,48,30
13:18,2572,Raheem Watts made Dunk. Assisted by Tim Rowe.,48,32
12:40,2655,Melvin Frazier Turnover.,48,32
12:39,2572,Tim Rowe Steal.,48,32
12:31,2572,Kevin Holland made Three Point Jumper. Assisted by Tim Rowe.,48,35
12:13,2655,Cameron Reynolds made Layup.,50,35
11:48,2572,Raheem Watts missed Jumper.,50,35
11:48,2655,Ryan Smith Defensive Rebound.,50,35
11:42,2655,Melvin Frazier made Dunk. Assisted by Cameron Reynolds.,52,35
11:30,2572,Southern Miss  Timeout,52,35
11:12,2572,Tim Rowe missed Jumper.,52,35
11:12,2655,Cameron Reynolds Defensive Rebound.,52,35
10:55,2655,Malik Morgan missed Three Point Jumper.,52,35
10:55,2655,Ray Ona Embo Offensive Rebound.,52,35
10:48,2655,Cameron Reynolds missed Three Point Jumper.,52,35
10:48,2572,Quinton Campbell Defensive Rebound.,52,35
10:34,2572,Quinton Campbell Turnover.,52,35
10:32,2655,Ray Ona Embo Steal.,52,35
10:30,2655,Melvin Frazier made Dunk. Assisted by Ray Ona Embo.,54,35
10:29,2572,Official TV Timeout,54,35
10:17,2572,Quinton Campbell missed Three Point Jumper.,54,35
10:17,2655,Malik Morgan Defensive Rebound.,54,35
10:00,2655,Ryan Smith Turnover.,54,35
9:59,2572,Tim Rowe Steal.,54,35
9:29,2572,Cortez Edwards missed Three Point Jumper.,54,35
9:29,2655,Malik Morgan Defensive Rebound.,54,35
9:15,2655,Malik Morgan missed Jumper.,54,35
9:15,2572,Tim Rowe Defensive Rebound.,54,35
8:54,2655,Foul on Ryan Smith.,54,35
8:54,2572,Eddie Davis III missed Free Throw.,54,35
8:54,2572,Southern Miss Deadball Team Rebound.,54,35
8:54,2572,Eddie Davis III missed Free Throw.,54,35
8:54,2655,Blake Paul Defensive Rebound.,54,35
8:47,2655,Cameron Reynolds made Jumper.,56,35
8:36,2572,Cortez Edwards missed Layup.,56,35
8:36,2655,Blake Paul Defensive Rebound.,56,35
8:27,2655,Ray Ona Embo Turnover.,56,35
8:06,2655,Foul on Cameron Reynolds.,56,35
8:06,2572,Tim Rowe made Free Throw.,56,36
8:06,2572,Tim Rowe missed Free Throw.,56,36
8:06,2655,Blake Paul Defensive Rebound.,56,36
8:05,2655,Blake Paul Turnover.,56,36
8:03,2572,Quinton Campbell missed Jumper.,56,36
8:03,2572,Eddie Davis III Offensive Rebound.,56,36
8:00,2572,Eddie Davis III made Jumper.,56,38
7:48,2655,Cameron Reynolds made Three Point Jumper. Assisted by Von Julien.,59,38
7:33,2572,Cortez Edwards made Jumper. Assisted by Tim Rowe.,59,40
7:33,2655,Foul on Von Julien.,59,40
7:33,2572,Official TV Timeout,59,40
7:33,2572,Cortez Edwards made Free Throw.,59,41
7:18,2655,Kain Harris Turnover.,59,41
7:16,2572,Quinton Campbell Steal.,59,41
7:15,2572,Quinton Campbell Turnover.,59,41
7:07,2655,Kain Harris made Three Point Jumper. Assisted by Melvin Frazier.,62,41
6:56,2655,Foul on Sammis Reyes.,62,41
6:56,2572,Cortez Edwards made Free Throw.,62,42
6:56,2572,Cortez Edwards made Free Throw.,62,43
6:23,2655,Melvin Frazier missed Three Point Jumper.,62,43
6:23,2572,Southern Miss Defensive Rebound.,62,43
6:09,2572,Quinton Campbell Turnover.,62,43
6:07,2655,Melvin Frazier Steal.,62,43
6:04,2572,Foul on Cortez Edwards.,62,43
6:04,2655,Kain Harris made Free Throw.,63,43
6:04,2655,Kain Harris made Free Throw.,64,43
5:45,2572,Quinton Campbell missed Jumper.,64,43
5:45,2572,Quinton Campbell Offensive Rebound.,64,43
5:43,2572,Quinton Campbell made Jumper.,64,45
5:29,2655,Blake Paul Turnover.,64,45
5:15,2572,Quinton Campbell missed Three Point Jumper.,64,45
5:15,2655,Tulane Defensive Rebound.,64,45
5:06,2655,Kain Harris missed Three Point Jumper.,64,45
5:06,2572,Southern Miss Defensive Rebound.,64,45
4:43,2572,Quinton Campbell made Three Point Jumper. Assisted by Kevin Holland.,64,48
4:21,2655,Blake Paul made Jumper. Assisted by Malik Morgan.,66,48
3:52,2572,Cortez Edwards missed Layup.,66,48
3:52,2572,Tim Rowe Offensive Rebound.,66,48
3:48,2572,Tim Rowe made Jumper.,66,50
3:36,2655,Blake Paul missed Jumper.,66,50
3:36,2572,Quinton Campbell Defensive Rebound.,66,50
3:16,2572,Kevin Holland made Three Point Jumper. Assisted by Tim Rowe.,66,53
3:06,2655,Tulane  Timeout,66,53
2:41,2655,Ray Ona Embo missed Jumper.,66,53
2:41,2655,Blake Paul Offensive Rebound.,66,53
2:40,2655,Tulane  Turnover.,66,53
2:25,2655,Foul on Ray Ona Embo.,66,53
2:25,2572,Cortez Edwards missed Free Throw.,66,53
2:25,2655,Melvin Frazier Defensive Rebound.,66,53
2:01,2655,Malik Morgan missed Three Point Jumper.,66,53
2:01,2572,Eddie Davis III Defensive Rebound.,66,53
1:39,2572,Kevin Holland made Three Point Jumper. Assisted by Eddie Davis III.,66,56
1:35,2572,Southern Miss  Timeout,66,56
1:29,2655,Malik Morgan Turnover.,66,56
1:28,2572,Eddie Davis III Steal.,66,56
1:23,2572,Kevin Holland missed Jumper.,66,56
1:23,2655,Malik Morgan Defensive Rebound.,66,56
1:19,2572,Foul on Quinton Campbell.,66,56
1:17,2572,Foul on Kevin Holland.,66,56
1:16,2572,Foul on Raheem Watts.,66,56
1:10,2572,Foul on Eddie Davis III.,66,56
1:10,2655,Blake Paul made Free Throw.,67,56
1:10,2655,Blake Paul made Free Throw.,68,56
0:52,2572,Kevin Holland made Three Point Jumper. Assisted by Cortez Edwards.,68,59
0:43,2572,Foul on Eddie Davis III.,68,59
0:43,2655,Cameron Reynolds made Free Throw.,69,59
0:43,2655,Cameron Reynolds made Free Throw.,70,59
0:31,2572,Quinton Campbell made Three Point Jumper. Assisted by Kevin Holland.,70,62
0:28,2655,Melvin Frazier Turnover.,70,62
0:20,2572,Cortez Edwards made Jumper. Assisted by Kevin Holland.,70,64
0:17,2572,Foul on Cortez Edwards.,70,64
0:17,2655,Cameron Reynolds made Free Throw.,71,64
0:17,2655,Cameron Reynolds missed Free Throw.,71,64
0:17,2572,Tim Rowe Defensive Rebound.,71,64
0:08,2572,Cortez Edwards missed Three Point Jumper.,71,64
0:08,2655,Cameron Reynolds Defensive Rebound.,71,64
0:00,2572,End of Game,71,64
