Miles,Error,Samford,2535
3:15,-1,Carl Garcia Offensive Rebound.,21,44
3:13,-1,Sheldon Wright missed Three Point Jumper.,21,44
3:13,-1,Aaron Jones Offensive Rebound.,21,44
2:56,2535,Foul on Wyatt Walker.,21,44
2:56,-1,Shaquille Cook made Free Throw.,22,44
2:56,-1,Shaquille Cook made Free Throw.,23,44
2:50,2535,Triston Chambers made Three Point Jumper. Assisted by Christen Cunningham.,23,47
2:39,2535,Foul on Triston Chambers.,23,47
2:39,-1,Chauncey Day made Free Throw.,24,47
2:39,-1,Chauncey Day missed Free Throw.,24,47
2:39,2535,Triston Chambers Defensive Rebound.,24,47
2:30,2535,Josh Sharkey Turnover.,24,47
2:29,-1,Carl Garcia Steal.,24,47
2:27,-1,Sheldon Wright Turnover.,24,47
2:26,2535,Triston Chambers Steal.,24,47
2:20,-1,Foul on Carl Garcia.,24,47
2:20,2535,Wyatt Walker made Free Throw.,24,48
2:20,2535,Wyatt Walker made Free Throw.,24,49
2:09,-1,Sheldon Wright missed Three Point Jumper.,24,49
2:09,2535,Samford Defensive Rebound.,24,49
1:46,2535,Terry Brutus missed Jumper.,24,49
1:46,-1,Sheldon Wright Defensive Rebound.,24,49
1:42,-1,Sheldon Wright missed Layup.,24,49
1:42,2535,Samford Defensive Rebound.,24,49
1:08,2535,Samford  Turnover.,24,49
0:50,-1,Javier Mckinney missed Three Point Jumper.,24,49
0:50,2535,Triston Chambers Defensive Rebound.,24,49
0:41,2535,Christen Cunningham missed Layup.,24,49
0:41,2535,Wyatt Walker Offensive Rebound.,24,49
0:41,-1,Foul on Javier Mckinney.,24,49
0:41,2535,Wyatt Walker made Free Throw.,24,50
0:41,2535,Wyatt Walker made Free Throw.,24,51
0:30,-1,Sheldon Wright made Three Point Jumper. Assisted by Joshua Johnson.,27,51
0:05,2535,Christen Cunningham missed Three Point Jumper.,27,51
0:05,2535,Wyatt Walker Offensive Rebound.,27,51
0:00,2535,End of 1st half,27,51
19:45,2535,Alex Thompson missed Three Point Jumper.,27,51
19:45,-1,Chauncey Day Defensive Rebound.,27,51
19:35,-1,Shaquille Cook missed Jumper.,27,51
19:35,2535,Samford Defensive Rebound.,27,51
19:18,2535,Triston Chambers made Three Point Jumper.,27,54
19:07,-1,Aaron Jones Turnover.,27,54
19:05,2535,Wyatt Walker Steal.,27,54
18:58,2535,Christen Cunningham made Three Point Jumper. Assisted by Demetrius Denzel-Dyson.,27,57
18:49,-1,Chauncey Day made Layup.,29,57
18:25,2535,Alex Thompson Turnover.,29,57
18:22,-1,Chauncey Day Steal.,29,57
18:21,-1,Chauncey Day made Dunk.,31,57
17:59,2535,Wyatt Walker missed Three Point Jumper.,31,57
17:59,-1,Carl Garcia Defensive Rebound.,31,57
17:37,2535,Foul on Triston Chambers.,31,57
17:30,-1,Shaquille Cook made Jumper.,33,57
17:02,2535,Alex Thompson missed Three Point Jumper.,33,57
17:02,-1,Shaquille Cook Defensive Rebound.,33,57
16:52,-1,Shaquille Cook missed Jumper.,33,57
16:52,2535,Wyatt Walker Defensive Rebound.,33,57
16:43,2535,Wyatt Walker made Layup. Assisted by Christen Cunningham.,33,59
16:19,2535,Foul on Wyatt Walker.,33,59
16:19,-1,Shaquille Cook made Free Throw.,34,59
16:19,-1,Shaquille Cook made Free Throw.,35,59
16:15,2535,Josh Sharkey Turnover.,35,59
16:14,-1,Aron Stewart Steal.,35,59
16:08,-1,Chauncey Day made Jumper. Assisted by Carl Garcia.,37,59
16:01,-1,Foul on Shaquille Cook.,37,59
15:59,2535,Wyatt Walker missed Jumper.,37,59
15:59,-1,Carl Garcia Defensive Rebound.,37,59
15:51,-1,Aron Stewart missed Jumper.,37,59
15:51,-1,Shaquille Cook Offensive Rebound.,37,59
15:48,-1,Shaquille Cook made Layup.,39,59
15:43,-1,Foul on Joshua Johnson.,39,59
15:43,2535,Official TV Timeout,39,59
15:27,2535,Eric Adams Turnover.,39,59
15:25,-1,Chauncey Day Steal.,39,59
15:23,-1,Chauncey Day missed Layup.,39,59
15:23,2535,Triston Chambers Defensive Rebound.,39,59
15:16,2535,Triston Chambers made Layup.,39,61
14:56,-1,E. Reginald Smalls missed Three Point Jumper.,39,61
14:56,2535,Samford Defensive Rebound.,39,61
14:38,2535,Demetrius Denzel-Dyson missed Jumper.,39,61
14:38,-1,Aron Stewart Block.,39,61
14:35,-1,Aron Stewart Defensive Rebound.,39,61
14:29,-1,Carl Garcia missed Jumper.,39,61
14:29,-1,Aron Stewart Offensive Rebound.,39,61
14:02,-1,E. Reginald Smalls missed Layup.,39,61
14:02,2535,Justin Hopkins Defensive Rebound.,39,61
13:53,2535,Alex Thompson missed Jumper.,39,61
13:53,-1,E. Reginald Smalls Defensive Rebound.,39,61
13:47,-1,Javier Mckinney made Layup. Assisted by E. Reginald Smalls.,41,61
13:25,2535,Eric Adams Turnover.,41,61
13:23,-1,E. Reginald Smalls Steal.,41,61
13:20,-1,Aron Stewart made Layup. Assisted by Javier Mckinney.,43,61
13:10,-1,Foul on Shaquille Cook.,43,61
13:10,2535,Eric Adams made Free Throw.,43,62
13:10,2535,Eric Adams made Free Throw.,43,63
13:05,-1,E. Reginald Smalls Turnover.,43,63
13:04,2535,Eric Adams Steal.,43,63
12:56,2535,Justin Hopkins missed Three Point Jumper.,43,63
12:56,2535,Terry Brutus Offensive Rebound.,43,63
12:53,2535,Eric Adams Turnover.,43,63
12:37,2535,Foul on Josh Sharkey.,43,63
12:26,2535,Foul on Josh Sharkey.,43,63
12:26,2535,Foul on Justin Hopkins.,43,63
11:56,-1,Javier Mckinney missed Jumper.,43,63
11:56,2535,Samford Defensive Rebound.,43,63
11:55,2535,Official TV Timeout,43,63
11:29,2535,Gerald Smith missed Jumper.,43,63
11:29,-1,Aron Stewart Defensive Rebound.,43,63
11:18,-1,Joshua Johnson Turnover.,43,63
11:16,2535,Terry Brutus Steal.,43,63
11:15,-1,Foul on Chauncey Day.,43,63
11:06,2535,Terry Brutus Turnover.,43,63
11:06,-1,Aron Stewart Steal.,43,63
10:53,-1,Shaquille Cook missed Layup.,43,63
10:53,2535,Terry Brutus Defensive Rebound.,43,63
10:42,2535,Wyatt Walker made Layup. Assisted by Christen Cunningham.,43,65
10:42,-1,Foul on Shaquille Cook.,43,65
10:42,2535,Wyatt Walker missed Free Throw.,43,65
10:42,-1,Aron Stewart Defensive Rebound.,43,65
10:17,-1,Eric Halliwell missed Jumper.,43,65
10:17,2535,Triston Chambers Defensive Rebound.,43,65
9:50,-1,Foul on Eric Halliwell.,43,65
9:50,2535,Terry Brutus made Free Throw.,43,66
9:50,2535,Terry Brutus missed Free Throw.,43,66
9:50,-1,Joshua Johnson Defensive Rebound.,43,66
9:48,2535,Foul on Terry Brutus.,43,66
9:25,-1,Eric Dansby missed Three Point Jumper.,43,66
9:25,2535,Terry Brutus Defensive Rebound.,43,66
9:19,2535,Wyatt Walker made Dunk. Assisted by Christen Cunningham.,43,68
9:16,2535,Foul on Triston Chambers.,43,68
9:16,-1,Joshua Johnson made Free Throw.,44,68
9:16,-1,Joshua Johnson made Free Throw.,45,68
9:14,2535,Alex Thompson Turnover.,45,68
9:12,-1,Javier Mckinney Steal.,45,68
9:11,2535,Foul on Alex Thompson.,45,68
9:11,-1,Javier Mckinney made Free Throw.,46,68
9:11,-1,Javier Mckinney missed Free Throw.,46,68
9:11,-1,Carl Garcia Offensive Rebound.,46,68
8:58,-1,Javier Mckinney missed Jumper.,46,68
8:58,2535,Wyatt Walker Defensive Rebound.,46,68
8:38,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,46,68
8:38,-1,Aron Stewart Defensive Rebound.,46,68
8:30,-1,Joshua Johnson missed Layup.,46,68
8:30,2535,Triston Chambers Block.,46,68
8:28,-1,Aron Stewart Offensive Rebound.,46,68
8:24,-1,Joshua Johnson made Layup. Assisted by Aron Stewart.,48,68
8:19,-1,Miles  Timeout,48,68
8:14,-1,Foul on Shaquille Cook.,48,68
8:14,2535,Demetrius Denzel-Dyson made Free Throw.,48,69
8:14,2535,Demetrius Denzel-Dyson made Free Throw.,48,70
8:09,-1,Carl Garcia Turnover.,48,70
8:09,2535,Josh Sharkey Steal.,48,70
7:58,2535,Wyatt Walker Turnover.,48,70
7:58,2535,Official TV Timeout,48,70
7:58,-1,Aron Stewart missed Three Point Jumper.,48,70
7:58,-1,Miles Offensive Rebound.,48,70
7:58,-1,Aron Stewart made Dunk. Assisted by Joshua Johnson.,50,70
7:58,-1,Aron Stewart made Free Throw.,51,70
7:57,2535,Wyatt Walker made Layup. Assisted by Triston Chambers.,51,72
7:28,2535,Foul on Triston Chambers.,51,72
7:28,-1,Joshua Johnson made Free Throw.,52,72
7:28,-1,Joshua Johnson missed Free Throw.,52,72
7:28,2535,Wyatt Walker Defensive Rebound.,52,72
7:22,2535,Demetrius Denzel-Dyson made Three Point Jumper.,52,75
7:05,-1,Sheldon Wright missed Three Point Jumper.,52,75
7:05,-1,Carl Garcia Offensive Rebound.,52,75
6:53,-1,Javier Mckinney missed Jumper.,52,75
6:53,2535,Josh Sharkey Defensive Rebound.,52,75
6:41,-1,Foul on Javier Mckinney.,52,75
6:41,2535,Demetrius Denzel-Dyson made Free Throw.,52,76
6:41,2535,Demetrius Denzel-Dyson missed Free Throw.,52,76
6:41,-1,Aron Stewart Defensive Rebound.,52,76
6:24,-1,Carl Garcia made Jumper. Assisted by Joshua Johnson.,54,76
6:05,-1,Foul on Aron Stewart.,54,76
6:05,2535,Wyatt Walker made Free Throw.,54,77
6:05,2535,Wyatt Walker made Free Throw.,54,78
5:48,2535,Foul on Eric Adams.,54,78
5:48,-1,Eric Dansby missed Free Throw.,54,78
5:48,-1,Miles Deadball Team Rebound.,54,78
5:48,-1,Eric Dansby made Free Throw.,55,78
5:40,2535,Justin Hopkins missed Layup.,55,78
5:40,2535,Eric Adams Offensive Rebound.,55,78
5:37,2535,Eric Adams made Jumper.,55,80
5:14,-1,Sheldon Wright made Jumper. Assisted by Javier Mckinney.,57,80
5:01,2535,Wyatt Walker made Jumper. Assisted by Justin Hopkins.,57,82
4:56,-1,Sheldon Wright Turnover.,57,82
4:55,2535,Christen Cunningham Steal.,57,82
4:51,2535,Demetrius Denzel-Dyson Turnover.,57,82
4:36,-1,Sheldon Wright missed Three Point Jumper.,57,82
4:36,2535,Justin Hopkins Defensive Rebound.,57,82
4:22,2535,Justin Hopkins made Dunk. Assisted by Terry Brutus.,57,84
3:57,-1,Shaquille Cook missed Jumper.,57,84
3:57,2535,Justin Hopkins Defensive Rebound.,57,84
3:49,-1,Foul on Javier Mckinney.,57,84
3:49,2535,Official TV Timeout,57,84
3:49,2535,Demetrius Denzel-Dyson made Free Throw.,57,85
3:49,2535,Demetrius Denzel-Dyson missed Free Throw.,57,85
3:49,2535,Samford Deadball Team Rebound.,57,85
3:49,2535,Demetrius Denzel-Dyson made Free Throw.,57,86
3:35,-1,Chauncey Day made Jumper. Assisted by Sheldon Wright.,59,86
3:16,2535,Josh Sharkey made Layup.,59,88
2:49,-1,Aron Stewart made Layup. Assisted by Chauncey Day.,61,88
2:34,2535,Josh Sharkey missed Jumper.,61,88
2:34,-1,Sheldon Wright Defensive Rebound.,61,88
2:20,-1,Sheldon Wright made Three Point Jumper. Assisted by Chauncey Day.,64,88
1:52,2535,Alex Peters made Layup. Assisted by Justin Hopkins.,64,90
1:28,2535,Foul on Alex Peters.,64,90
1:28,-1,Sheldon Wright made Free Throw.,65,90
1:28,-1,Sheldon Wright made Free Throw.,66,90
1:20,2535,Tanner Tapp missed Three Point Jumper.,66,90
1:20,-1,Aron Stewart Defensive Rebound.,66,90
0:57,-1,Chauncey Day missed Jumper.,66,90
0:57,-1,Miles Offensive Rebound.,66,90
0:56,2535,Foul on Gerald Smith.,66,90
0:56,-1,KeAndre Swopes missed Free Throw.,66,90
0:56,-1,Miles Deadball Team Rebound.,66,90
0:56,-1,KeAndre Swopes missed Free Throw.,66,90
0:56,2535,Eric Adams Defensive Rebound.,66,90
0:54,2535,Eric Adams Turnover.,66,90
0:53,-1,Sheldon Wright Steal.,66,90
0:52,-1,Sheldon Wright made Three Point Jumper.,69,90
0:45,2535,Josh Sharkey Turnover.,69,90
0:42,-1,E. Reginald Smalls missed Three Point Jumper.,69,90
0:42,-1,Aron Stewart Offensive Rebound.,69,90
0:36,-1,E. Reginald Smalls made Jumper. Assisted by Aron Stewart.,71,90
0:32,-1,Foul on Sheldon Wright.,71,90
0:32,2535,Josh Sharkey made Free Throw.,71,91
0:32,2535,Josh Sharkey made Free Throw.,71,92
0:26,-1,KeAndre Swopes missed Jumper.,71,92
0:26,2535,Alex Peters Defensive Rebound.,71,92
0:14,2535,Tanner Tapp Turnover.,71,92
0:13,-1,KeAndre Swopes Steal.,71,92
0:03,-1,Chauncey Day made Layup.,73,92
0:00,2535,End of Game,73,92
