Houston Baptist,84,Indiana,2277
15:28,84,Robert Johnson Defensive Rebound.,4,5
15:02,2277,Foul on Cody Stetler.,4,5
14:57,84,Juwan Morgan made Layup. Assisted by De'Ron Davis.,4,7
14:25,2277,Colter Lasher made Three Point Jumper. Assisted by Reveal Chukwujekwu.,7,7
13:56,84,James Blackmon Jr. made Three Point Jumper. Assisted by Robert Johnson.,7,10
13:38,2277,Jalen Weber missed Three Point Jumper.,7,10
13:38,2277,Braxton Bonds Offensive Rebound.,7,10
13:38,2277,Braxton Bonds made Two Point Tip Shot.,9,10
13:19,84,De'Ron Davis missed Layup.,9,10
13:19,2277,Cody Stetler Defensive Rebound.,9,10
13:01,2277,Colter Lasher made Jumper.,11,10
12:38,84,James Blackmon Jr. Turnover.,11,10
12:31,2277,Jalen Weber missed Three Point Jumper.,11,10
12:31,2277,Josh Ibarra Offensive Rebound.,11,10
12:30,84,Foul on De'Ron Davis.,11,10
12:22,84,Foul on De'Ron Davis.,11,10
12:22,2277,Josh Ibarra missed Free Throw.,11,10
12:22,2277,Houston Baptist Deadball Team Rebound.,11,10
12:22,2277,Josh Ibarra made Free Throw.,12,10
12:15,84,Curtis Jones made Three Point Jumper.,12,13
11:59,2277,Josh Ibarra missed Jumper.,12,13
11:59,84,Thomas Bryant Defensive Rebound.,12,13
11:45,84,Robert Johnson made Three Point Jumper. Assisted by Zach McRoberts.,12,16
11:28,2277,Josh Ibarra Turnover.,12,16
11:28,84,Robert Johnson Steal.,12,16
11:23,84,Josh Newkirk made Dunk. Assisted by Zach McRoberts.,12,18
10:50,2277,Jalen Weber missed Layup.,12,18
10:50,2277,Josh Ibarra Offensive Rebound.,12,18
10:50,2277,Josh Ibarra missed Two Point Tip Shot.,12,18
10:50,84,Thomas Bryant Defensive Rebound.,12,18
10:42,2277,Foul on Reveal Chukwujekwu.,12,18
10:42,84,Official TV Timeout,12,18
10:42,84,Curtis Jones made Free Throw.,12,19
10:42,84,Curtis Jones made Free Throw.,12,20
10:16,2277,Braxton Bonds Turnover.,12,20
10:05,2277,Foul on Jalen Weber.,12,20
10:05,84,Josh Newkirk missed Free Throw.,12,20
10:05,84,Indiana Deadball Team Rebound.,12,20
10:05,84,Josh Newkirk made Free Throw.,12,21
9:43,2277,Asa Cantwell missed Jumper.,12,21
9:43,84,Juwan Morgan Block.,12,21
9:43,84,Juwan Morgan Defensive Rebound.,12,21
9:32,84,Juwan Morgan Turnover.,12,21
9:32,2277,Braxton Bonds Steal.,12,21
9:32,2277,Braxton Bonds missed Jumper.,12,21
9:32,84,Thomas Bryant Block.,12,21
9:32,84,Thomas Bryant Defensive Rebound.,12,21
9:32,2277,Foul on Jalen Weber.,12,21
9:32,84,Freddie McSwain Jr. made Free Throw.,12,22
9:32,84,Freddie McSwain Jr. missed Free Throw.,12,22
9:32,2277,Reveal Chukwujekwu Defensive Rebound.,12,22
9:03,2277,Reveal Chukwujekwu missed Jumper.,12,22
9:03,84,Thomas Bryant Block.,12,22
9:03,84,Josh Newkirk Defensive Rebound.,12,22
9:03,2277,Foul on Asa Cantwell.,12,22
9:03,84,Josh Newkirk made Free Throw.,12,23
9:03,84,Josh Newkirk made Free Throw.,12,24
8:41,2277,Colter Lasher made Jumper.,14,24
8:31,84,Devonte Green missed Three Point Jumper.,14,24
8:31,2277,Colter Lasher Defensive Rebound.,14,24
8:13,2277,Foul on Josh Ibarra.,14,24
8:13,2277,Josh Ibarra Turnover.,14,24
7:57,84,Robert Johnson made Jumper.,14,26
7:36,2277,Asa Cantwell missed Three Point Jumper.,14,26
7:36,84,Devonte Green Defensive Rebound.,14,26
7:29,84,Robert Johnson missed Three Point Jumper.,14,26
7:29,84,Thomas Bryant Offensive Rebound.,14,26
7:26,2277,Foul on Cody Stetler.,14,26
7:26,84,Official TV Timeout,14,26
7:26,84,Thomas Bryant made Free Throw.,14,27
7:26,84,Thomas Bryant made Free Throw.,14,28
7:10,2277,Colter Lasher missed Three Point Jumper.,14,28
7:10,2277,Braxton Bonds Offensive Rebound.,14,28
7:10,2277,Braxton Bonds missed Layup.,14,28
7:10,84,Thomas Bryant Block.,14,28
7:01,84,Robert Johnson Defensive Rebound.,14,28
6:54,84,Robert Johnson missed Three Point Jumper.,14,28
6:54,2277,Reveal Chukwujekwu Defensive Rebound.,14,28
6:27,2277,Braxton Bonds missed Jumper.,14,28
6:27,2277,Houston Baptist Offensive Rebound.,14,28
6:25,2277,Braxton Bonds missed Layup.,14,28
6:25,84,Thomas Bryant Defensive Rebound.,14,28
6:17,84,James Blackmon Jr. made Three Point Jumper. Assisted by Zach McRoberts.,14,31
5:48,2277,Alex Fountain made Jumper. Assisted by Colter Lasher.,16,31
5:19,84,Devonte Green made Three Point Jumper. Assisted by Zach McRoberts.,16,34
4:52,2277,Braxton Bonds made Layup.,18,34
4:43,84,James Blackmon Jr. missed Layup.,18,34
4:43,2277,Colter Lasher Defensive Rebound.,18,34
4:32,2277,Reveal Chukwujekwu made Layup. Assisted by Braxton Bonds.,20,34
4:20,2277,Foul on Colter Lasher.,20,34
4:20,84,Thomas Bryant made Free Throw.,20,35
4:20,84,Thomas Bryant made Free Throw.,20,36
4:20,2277,Asa Cantwell missed Three Point Jumper.,20,36
4:20,2277,Alex Fountain Offensive Rebound.,20,36
4:00,2277,Alex Fountain made Dunk.,22,36
3:59,84,Curtis Jones missed Three Point Jumper.,22,36
3:59,84,De'Ron Davis Offensive Rebound.,22,36
3:49,84,De'Ron Davis made Layup.,22,38
3:41,2277,Colter Lasher Turnover.,22,38
3:41,84,Zach McRoberts Steal.,22,38
3:34,84,James Blackmon Jr. missed Layup.,22,38
3:34,84,James Blackmon Jr. Offensive Rebound.,22,38
3:28,84,James Blackmon Jr. made Three Point Jumper.,22,41
2:58,2277,Colter Lasher missed Layup.,22,41
2:58,2277,Houston Baptist Offensive Rebound.,22,41
2:58,84,Official TV Timeout,22,41
2:55,2277,Reveal Chukwujekwu missed Jumper.,22,41
2:55,84,Josh Newkirk Defensive Rebound.,22,41
2:45,84,James Blackmon Jr. missed Three Point Jumper.,22,41
2:45,2277,Colter Lasher Defensive Rebound.,22,41
2:40,84,Foul on De'Ron Davis.,22,41
2:28,2277,Braxton Bonds made Layup. Assisted by Asa Cantwell.,24,41
2:28,84,Foul on Josh Newkirk.,24,41
2:28,2277,Braxton Bonds made Free Throw.,25,41
2:07,2277,Foul on Reveal Chukwujekwu.,25,41
2:07,84,Curtis Jones missed Free Throw.,25,41
2:07,84,Indiana Deadball Team Rebound.,25,41
2:07,84,Curtis Jones made Free Throw.,25,42
2:07,84,Curtis Jones missed Free Throw.,25,42
2:07,84,Foul on Thomas Bryant.,25,42
2:07,2277,Reveal Chukwujekwu Defensive Rebound.,25,42
1:53,2277,Asa Cantwell Turnover.,25,42
1:35,84,Foul on Thomas Bryant.,25,42
1:35,84,Thomas Bryant Turnover.,25,42
1:20,2277,Colter Lasher made Jumper.,27,42
0:57,84,James Blackmon Jr. missed Three Point Jumper.,27,42
0:57,2277,Houston Baptist Defensive Rebound.,27,42
0:49,2277,Houston Baptist  Timeout,27,42
0:40,2277,Asa Cantwell Turnover.,27,42
0:40,84,Juwan Morgan Steal.,27,42
0:35,84,Robert Johnson Turnover.,27,42
0:08,2277,Colter Lasher Turnover.,27,42
0:08,84,Zach McRoberts Steal.,27,42
0:04,84,Robert Johnson missed Layup.,27,42
0:04,84,Indiana Offensive Rebound.,27,42
0:00,84,End of 1st half,27,42
20:00,84,Jump Ball won by Indiana,27,42
19:46,84,Josh Newkirk made Layup.,27,44
19:31,2277,Reveal Chukwujekwu missed Layup.,27,44
19:31,84,Robert Johnson Defensive Rebound.,27,44
19:24,84,Juwan Morgan missed Three Point Jumper.,27,44
19:24,84,James Blackmon Jr. Offensive Rebound.,27,44
19:17,84,Josh Newkirk missed Three Point Jumper.,27,44
19:17,84,Juwan Morgan Offensive Rebound.,27,44
19:07,2277,Foul on Reveal Chukwujekwu.,27,44
19:07,84,Juwan Morgan made Free Throw.,27,45
19:07,84,Juwan Morgan missed Free Throw.,27,45
19:07,2277,Braxton Bonds Defensive Rebound.,27,45
19:01,2277,Asa Cantwell made Three Point Jumper. Assisted by Braxton Bonds.,30,45
18:52,2277,Foul on Braxton Bonds.,30,45
18:46,84,Josh Newkirk Turnover.,30,45
18:36,2277,Josh Ibarra missed Layup.,30,45
18:36,84,Thomas Bryant Defensive Rebound.,30,45
18:32,84,Robert Johnson made Three Point Jumper. Assisted by Josh Newkirk.,30,48
18:12,2277,Josh Ibarra made Layup. Assisted by Colter Lasher.,32,48
18:12,84,Foul on James Blackmon Jr..,32,48
18:12,2277,Josh Ibarra made Free Throw.,33,48
17:59,84,James Blackmon Jr. missed Three Point Jumper.,33,48
17:59,2277,Josh Ibarra Defensive Rebound.,33,48
17:51,2277,Asa Cantwell missed Three Point Jumper.,33,48
17:51,2277,Reveal Chukwujekwu Offensive Rebound.,33,48
17:32,2277,Josh Ibarra missed Layup.,33,48
17:32,84,Juwan Morgan Defensive Rebound.,33,48
17:17,84,James Blackmon Jr. made Layup. Assisted by Juwan Morgan.,33,50
17:02,2277,Asa Cantwell missed Three Point Jumper.,33,50
17:02,84,Juwan Morgan Defensive Rebound.,33,50
16:47,84,Robert Johnson made Jumper.,33,52
16:20,2277,Josh Ibarra made Jumper.,35,52
16:08,84,Josh Newkirk made Three Point Jumper. Assisted by Thomas Bryant.,35,55
15:49,2277,Reveal Chukwujekwu missed Layup.,35,55
15:49,84,Thomas Bryant Defensive Rebound.,35,55
15:47,84,Josh Newkirk Turnover.,35,55
15:47,84,Official TV Timeout,35,55
15:39,2277,Colter Lasher made Layup.,37,55
15:31,2277,Foul on Josh Ibarra.,37,55
15:31,84,De'Ron Davis missed Free Throw.,37,55
15:31,84,Indiana Deadball Team Rebound.,37,55
15:31,84,De'Ron Davis made Free Throw.,37,56
15:18,2277,Colter Lasher missed Three Point Jumper.,37,56
15:18,84,De'Ron Davis Defensive Rebound.,37,56
15:03,84,James Blackmon Jr. made Dunk. Assisted by De'Ron Davis.,37,58
14:40,2277,Reveal Chukwujekwu missed Jumper.,37,58
14:40,84,De'Ron Davis Defensive Rebound.,37,58
14:33,84,James Blackmon Jr. missed Layup.,37,58
14:33,84,James Blackmon Jr. Offensive Rebound.,37,58
14:27,84,James Blackmon Jr. made Layup.,37,60
14:27,84,Foul on Zach McRoberts.,37,60
14:25,2277,Braxton Bonds missed Jumper.,37,60
14:25,84,Curtis Jones Defensive Rebound.,37,60
14:09,84,Robert Johnson Turnover.,37,60
13:46,2277,Braxton Bonds made Layup.,39,60
13:36,84,Devonte Green Turnover.,39,60
13:36,2277,Colter Lasher Steal.,39,60
13:32,2277,Colter Lasher made Layup.,41,60
13:31,84,Indiana  Timeout,41,60
13:13,84,De'Ron Davis Turnover.,41,60
13:01,84,Foul on De'Ron Davis.,41,60
12:51,84,Foul on Freddie McSwain Jr..,41,60
12:46,2277,Foul on Reveal Chukwujekwu.,41,60
12:46,2277,Reveal Chukwujekwu Turnover.,41,60
12:29,84,Juwan Morgan made Jumper.,41,62
12:29,2277,Foul on Josh Ibarra.,41,62
12:29,84,Juwan Morgan made Free Throw.,41,63
12:13,2277,Colter Lasher Turnover.,41,63
12:13,84,Freddie McSwain Jr. Steal.,41,63
12:03,84,Freddie McSwain Jr. made Layup. Assisted by James Blackmon Jr..,41,65
11:42,2277,Braxton Bonds missed Jumper.,41,65
11:42,84,Freddie McSwain Jr. Defensive Rebound.,41,65
11:36,84,James Blackmon Jr. made Three Point Jumper.,41,68
11:32,84,Foul on Josh Newkirk.,41,68
11:31,2277,Houston Baptist  Timeout,41,68
11:07,2277,Alex Fountain missed Three Point Jumper.,41,68
11:07,2277,Cody Stetler Offensive Rebound.,41,68
11:04,84,Foul on James Blackmon Jr..,41,68
10:52,84,Foul on Thomas Bryant.,41,68
10:52,2277,Josh Ibarra made Free Throw.,42,68
10:52,2277,Josh Ibarra missed Free Throw.,42,68
10:52,84,Juwan Morgan Defensive Rebound.,42,68
10:36,84,Juwan Morgan made Dunk.,42,70
10:18,2277,Braxton Bonds missed Three Point Jumper.,42,70
10:18,84,Juwan Morgan Defensive Rebound.,42,70
10:17,2277,Foul on Josh Ibarra.,42,70
9:58,2277,Foul on Cody Stetler.,42,70
9:58,84,Juwan Morgan made Free Throw.,42,71
9:58,84,Juwan Morgan made Free Throw.,42,72
9:34,2277,Colter Lasher made Jumper.,44,72
9:16,84,Robert Johnson missed Three Point Jumper.,44,72
9:16,84,Freddie McSwain Jr. Offensive Rebound.,44,72
9:12,84,Freddie McSwain Jr. made Layup.,44,74
9:12,84,Robert Johnson made Free Throw.,44,76
9:12,2277,Colin Just Turnover.,44,74
9:12,2277,Foul on Cody Stetler.,44,74
9:12,84,Robert Johnson made Free Throw.,44,77
9:12,84,Freddie McSwain Jr. made Free Throw.,44,75
9:12,2277,Foul on Alex Fountain.,44,75
9:04,2277,Asa Cantwell missed Three Point Jumper.,44,77
9:04,84,Curtis Jones Defensive Rebound.,44,77
8:55,84,Thomas Bryant made Dunk. Assisted by Curtis Jones.,44,79
8:40,2277,Colin Just missed Layup.,44,79
8:40,84,Thomas Bryant Block.,44,79
8:40,2277,Houston Baptist Offensive Rebound.,44,79
8:35,84,Foul on Zach McRoberts.,44,79
8:35,2277,Colter Lasher made Free Throw.,45,79
8:35,2277,Colter Lasher missed Free Throw.,45,79
8:35,84,Robert Johnson Defensive Rebound.,45,79
8:13,2277,Foul on Colin Just.,45,79
8:13,84,Robert Johnson made Free Throw.,45,80
8:13,84,Robert Johnson made Free Throw.,45,81
7:59,2277,Jalen Weber missed Jumper.,45,81
7:59,84,Zach McRoberts Defensive Rebound.,45,81
7:49,84,Devonte Green made Jumper.,45,83
7:21,2277,Jalen Weber Turnover.,45,83
7:21,84,Curtis Jones Steal.,45,83
7:17,84,Curtis Jones made Layup.,45,85
6:52,2277,Reveal Chukwujekwu made Jumper.,47,85
6:44,84,James Blackmon Jr. missed Layup.,47,85
6:44,2277,Colin Just Defensive Rebound.,47,85
6:29,2277,Reveal Chukwujekwu made Layup.,49,85
6:21,84,Devonte Green missed Jumper.,49,85
6:21,2277,Alex Fountain Defensive Rebound.,49,85
6:07,84,Foul on Zach McRoberts.,49,85
6:07,84,Official TV Timeout,49,85
6:07,2277,Reveal Chukwujekwu made Free Throw.,50,85
6:07,2277,Reveal Chukwujekwu made Free Throw.,51,85
5:54,84,Devonte Green made Three Point Jumper. Assisted by Juwan Morgan.,51,88
5:31,84,Foul on Juwan Morgan.,51,88
5:31,2277,Reveal Chukwujekwu made Free Throw.,52,88
5:31,2277,Reveal Chukwujekwu missed Free Throw.,52,88
5:31,84,Thomas Bryant Defensive Rebound.,52,88
5:07,84,Curtis Jones missed Three Point Jumper.,52,88
5:07,84,Thomas Bryant Offensive Rebound.,52,88
5:04,2277,Foul on Colter Lasher.,52,88
5:04,84,Thomas Bryant made Free Throw.,52,89
5:04,84,Thomas Bryant made Free Throw.,52,90
4:46,2277,Reveal Chukwujekwu made Layup.,54,90
4:16,2277,Foul on Colin Just.,54,90
4:16,84,Thomas Bryant made Free Throw.,54,91
4:16,84,Thomas Bryant missed Free Throw.,54,91
4:16,2277,Alex Fountain Defensive Rebound.,54,91
4:14,84,Foul on De'Ron Davis.,54,91
4:14,2277,Alex Fountain made Free Throw.,55,91
4:14,2277,Alex Fountain missed Free Throw.,55,91
4:14,84,Thomas Bryant Defensive Rebound.,55,91
3:50,84,Grant Gelon Turnover.,55,91
3:50,2277,Alex Fountain Steal.,55,91
3:45,2277,Colter Lasher made Layup. Assisted by Reveal Chukwujekwu.,57,91
3:26,84,Devonte Green missed Three Point Jumper.,57,91
3:26,84,Freddie McSwain Jr. Offensive Rebound.,57,91
3:21,84,Freddie McSwain Jr. made Layup.,57,93
3:14,2277,Jalen Weber Turnover.,57,93
3:14,84,Devonte Green Steal.,57,93
3:07,84,Devonte Green Turnover.,57,93
3:07,2277,Colter Lasher Steal.,57,93
3:02,2277,Jalen Weber made Layup. Assisted by Colter Lasher.,59,93
2:44,84,Grant Gelon made Layup. Assisted by Thomas Bryant.,59,95
2:44,2277,Foul on Colter Lasher.,59,95
2:44,84,Official TV Timeout,59,95
2:44,84,Grant Gelon made Free Throw.,59,96
2:34,2277,Kyren Block Turnover.,59,96
2:34,84,Grant Gelon Steal.,59,96
2:06,84,Freddie McSwain Jr. missed Jumper.,59,96
2:06,84,Tim Priller Offensive Rebound.,59,96
1:59,84,Tim Priller made Layup. Assisted by Curtis Jones.,59,98
1:43,2277,Alex Fountain missed Dunk.,59,98
1:43,2277,Colin Just Offensive Rebound.,59,98
1:36,2277,William Gates Jr. missed Layup.,59,98
1:36,84,Freddie McSwain Jr. Defensive Rebound.,59,98
1:24,84,Tim Priller made Layup. Assisted by Devonte Green.,59,100
0:58,2277,Colin Just made Jumper.,61,100
0:44,84,Curtis Jones made Three Point Jumper. Assisted by Tim Priller.,61,103
0:32,2277,Jalen Weber missed Three Point Jumper.,61,103
0:32,2277,Kyren Block Offensive Rebound.,61,103
0:26,2277,William Gates Jr. missed Jumper.,61,103
0:26,84,Curtis Jones Defensive Rebound.,61,103
0:00,84,End of Game,61,103
