Louisiana Tech,309,Louisiana,2348
13:23,309,Bryce Washington missed Layup.,6,17
13:23,2348,Omar Sherman Defensive Rebound.,6,17
13:18,2348,Jalen Harris Turnover.,6,17
13:17,309,Frank Bartley IV Steal.,6,17
13:14,309,Frank Bartley IV made Layup.,6,19
12:47,2348,Omar Sherman Turnover.,6,19
12:46,309,Frank Bartley IV Steal.,6,19
12:44,309,Jay Wright made Layup.,6,21
12:17,2348,Erik McCree Turnover.,6,21
11:58,309,Justin Miller made Layup. Assisted by Bryce Washington.,6,23
11:45,2348,Derric Jean Turnover.,6,23
11:44,309,Frank Bartley IV Steal.,6,23
11:44,2348,Foul on Derric Jean.,6,23
11:44,309,Official TV Timeout,6,23
11:32,2348,Foul on Omar Sherman.,6,23
11:32,309,Bryce Washington made Free Throw.,6,24
11:32,309,Bryce Washington missed Free Throw.,6,24
11:32,2348,Louisiana Tech Deadball Team Rebound.,6,24
11:31,309,Foul on Johnathan Stove.,6,24
11:18,309,Foul on Jay Wright.,6,24
11:18,2348,Jacobi Boykins missed Free Throw.,6,24
11:18,2348,Louisiana Tech Deadball Team Rebound.,6,24
11:18,2348,Jacobi Boykins missed Free Throw.,6,24
11:18,309,Frank Bartley IV Defensive Rebound.,6,24
11:08,309,Johnathan Stove missed Layup.,6,24
11:08,309,UL Lafayette Offensive Rebound.,6,24
11:03,309,Jerekius Davis missed Jumper.,6,24
11:03,2348,Erik McCree Defensive Rebound.,6,24
10:35,2348,Jacobi Boykins missed Three Point Jumper.,6,24
10:35,309,UL Lafayette Defensive Rebound.,6,24
10:13,309,Johnathan Stove made Jumper. Assisted by P.J. Hardy.,6,26
9:57,309,Foul on Bryce Washington.,6,26
9:51,2348,DaQuan Bracey made Layup.,8,26
9:29,309,Frank Bartley IV missed Three Point Jumper.,8,26
9:29,2348,Jacobi Boykins Defensive Rebound.,8,26
9:21,2348,DaQuan Bracey made Layup.,10,26
9:21,309,Foul on Johnathan Stove.,10,26
9:21,2348,DaQuan Bracey made Free Throw.,11,26
8:54,309,Larenz Stalcup Turnover.,11,26
8:52,2348,Jacobi Boykins Steal.,11,26
8:50,2348,DaQuan Bracey made Layup. Assisted by Jacobi Boykins.,13,26
8:32,309,P.J. Hardy missed Three Point Jumper.,13,26
8:32,2348,Erik McCree Defensive Rebound.,13,26
8:21,2348,Erik McCree made Layup.,15,26
8:21,309,Foul on Larenz Stalcup.,15,26
8:21,2348,Erik McCree made Free Throw.,16,26
8:03,309,Frank Bartley IV missed Layup.,16,26
8:03,309,Larenz Stalcup Offensive Rebound.,16,26
8:00,309,Larenz Stalcup made Layup.,16,28
7:41,2348,DaQuan Bracey Turnover.,16,28
7:41,309,Official TV Timeout,16,28
7:25,309,Jay Wright missed Layup.,16,28
7:25,309,Larenz Stalcup Offensive Rebound.,16,28
7:17,309,Frank Bartley IV Turnover.,16,28
7:17,309,Foul on Frank Bartley IV.,16,28
7:04,2348,Jacobi Boykins missed Three Point Jumper.,16,28
7:04,309,Bryce Washington Defensive Rebound.,16,28
7:03,2348,Foul on Joniah White.,16,28
6:47,309,P.J. Hardy missed Three Point Jumper.,16,28
6:47,2348,Jacobi Boykins Defensive Rebound.,16,28
6:31,2348,DaQuan Bracey missed Three Point Jumper.,16,28
6:31,309,Jay Wright Defensive Rebound.,16,28
6:24,309,Jay Wright missed Layup.,16,28
6:24,2348,DaQuan Bracey Defensive Rebound.,16,28
6:18,2348,DaQuan Bracey Turnover.,16,28
6:17,309,Bryce Washington Steal.,16,28
6:14,309,Bryce Washington made Dunk.,16,30
6:05,309,Foul on Larenz Stalcup.,16,30
6:05,2348,Joniah White missed Free Throw.,16,30
6:05,309,Bryce Washington Defensive Rebound.,16,30
5:45,309,Bryce Washington missed Layup.,16,30
5:45,2348,Derric Jean Defensive Rebound.,16,30
5:37,2348,Erik McCree made Layup.,18,30
5:21,309,Frank Bartley IV Turnover.,18,30
5:12,309,Foul on Bryce Washington.,18,30
5:12,2348,Erik McCree made Free Throw.,19,30
5:12,2348,Erik McCree made Free Throw.,20,30
4:55,309,Justin Miller made Layup.,20,32
4:35,2348,DaQuan Bracey Turnover.,20,32
4:14,309,Johnathan Stove made Layup.,20,34
3:56,2348,Erik McCree made Layup.,22,34
3:37,309,Johnathan Stove made Layup.,22,36
3:15,2348,DaQuan Bracey made Layup.,24,36
3:05,309,Frank Bartley IV missed Three Point Jumper.,24,36
3:05,2348,Derric Jean Defensive Rebound.,24,36
2:57,2348,Jalen Harris made Layup. Assisted by Derric Jean.,26,36
2:37,309,P.J. Hardy Turnover.,26,36
2:37,309,Official TV Timeout,26,36
2:17,2348,Erik McCree missed Jumper.,26,36
2:17,309,Jay Wright Defensive Rebound.,26,36
2:11,309,Jay Wright missed Layup.,26,36
2:11,309,Frank Bartley IV Offensive Rebound.,26,36
2:06,309,Roydell Brown made Layup. Assisted by Frank Bartley IV.,26,38
1:51,2348,Joniah White made Layup. Assisted by DaQuan Bracey.,28,38
1:33,309,Roydell Brown missed Jumper.,28,38
1:33,309,Roydell Brown Offensive Rebound.,28,38
1:30,309,Roydell Brown missed Jumper.,28,38
1:30,2348,DaQuan Bracey Defensive Rebound.,28,38
1:23,2348,Erik McCree Turnover.,28,38
1:21,309,Roydell Brown Steal.,28,38
1:21,2348,Foul on DaQuan Bracey.,28,38
1:08,309,Frank Bartley IV made Jumper.,28,40
0:43,2348,Jalen Harris made Three Point Jumper. Assisted by Jacobi Boykins.,31,40
0:16,309,Justin Miller made Three Point Jumper.,31,43
0:02,2348,Omar Sherman Turnover.,31,43
0:02,309,P.J. Hardy Steal.,31,43
0:00,309,End of 1st half,31,43
19:49,309,Justin Miller missed Three Point Jumper.,31,43
19:49,2348,Jacobi Boykins Defensive Rebound.,31,43
19:34,2348,Omar Sherman Turnover.,31,43
19:34,2348,Foul on Omar Sherman.,31,43
19:24,2348,Foul on DaQuan Bracey.,31,43
19:24,309,Jay Wright made Free Throw.,31,44
19:24,309,Jay Wright made Free Throw.,31,45
19:12,2348,DaQuan Bracey Turnover.,31,45
19:10,309,Bryce Washington Steal.,31,45
19:09,309,Bryce Washington made Dunk.,31,47
18:48,2348,Omar Sherman made Layup. Assisted by DaQuan Bracey.,33,47
18:24,309,Justin Miller made Jumper.,33,49
18:07,2348,Omar Sherman made Jumper.,35,49
17:47,309,Jay Wright missed Jumper.,35,49
17:47,2348,DaQuan Bracey Defensive Rebound.,35,49
17:41,2348,DaQuan Bracey Turnover.,35,49
17:15,309,Bryce Washington made Layup.,35,51
16:54,2348,Omar Sherman made Dunk. Assisted by DaQuan Bracey.,37,51
16:42,309,Roydell Brown Turnover.,37,51
16:33,309,Foul on Justin Miller.,37,51
16:25,2348,Erik McCree made Layup.,39,51
15:55,309,Frank Bartley IV Turnover.,39,51
15:55,309,Official TV Timeout,39,51
15:39,2348,Erik McCree made Layup.,41,51
15:18,2348,Foul on Erik McCree.,41,51
15:18,309,Justin Miller missed Free Throw.,41,51
15:18,309,UL Lafayette Deadball Team Rebound.,41,51
15:18,309,Justin Miller made Free Throw.,41,52
15:00,2348,DaQuan Bracey missed Jumper.,41,52
15:00,309,Bryce Washington Defensive Rebound.,41,52
14:53,309,Johnathan Stove made Layup. Assisted by Jay Wright.,41,54
14:30,2348,Derric Jean missed Layup.,41,54
14:30,2348,Derric Jean Offensive Rebound.,41,54
14:24,2348,DaQuan Bracey missed Three Point Jumper.,41,54
14:24,2348,Jacobi Boykins Offensive Rebound.,41,54
14:11,2348,Erik McCree missed Jumper.,41,54
14:11,2348,Erik McCree Offensive Rebound.,41,54
14:10,2348,Erik McCree made Layup.,43,54
14:10,309,Foul on Justin Miller.,43,54
14:10,2348,Erik McCree missed Free Throw.,43,54
14:10,309,Bryce Washington Defensive Rebound.,43,54
13:55,309,Justin Miller Turnover.,43,54
13:45,2348,Joniah White made Dunk. Assisted by DaQuan Bracey.,45,54
13:19,309,Justin Miller missed Jumper.,45,54
13:19,309,Bryce Washington Offensive Rebound.,45,54
13:13,309,Justin Miller missed Jumper.,45,54
13:13,2348,Joniah White Block.,45,54
13:11,2348,Louisiana Tech Defensive Rebound.,45,54
12:54,2348,Erik McCree missed Three Point Jumper.,45,54
12:54,309,Jay Wright Defensive Rebound.,45,54
12:42,309,Jay Wright made Three Point Jumper.,45,57
12:37,309,Foul on Frank Bartley IV.,45,57
12:19,2348,Erik McCree made Layup. Assisted by Derric Jean.,47,57
12:03,309,Frank Bartley IV missed Three Point Jumper.,47,57
12:03,2348,Erik McCree Defensive Rebound.,47,57
11:50,2348,Jacobi Boykins missed Three Point Jumper.,47,57
11:50,309,Johnathan Stove Defensive Rebound.,47,57
11:33,309,Johnathan Stove missed Jumper.,47,57
11:33,2348,Erik McCree Defensive Rebound.,47,57
11:25,2348,Derric Jean missed Three Point Jumper.,47,57
11:25,309,Justin Miller Defensive Rebound.,47,57
11:16,309,Johnathan Stove Turnover.,47,57
11:14,2348,Jacobi Boykins Steal.,47,57
11:08,2348,Erik McCree missed Three Point Jumper.,47,57
11:08,309,Bryce Washington Defensive Rebound.,47,57
10:50,309,Johnathan Stove missed Jumper.,47,57
10:50,2348,Derric Jean Defensive Rebound.,47,57
10:41,2348,Foul on Derric Jean.,47,57
10:41,2348,Derric Jean Turnover.,47,57
10:41,309,Official TV Timeout,47,57
10:30,2348,Foul on Erik McCree.,47,57
10:30,309,Justin Miller made Free Throw.,47,58
10:30,309,Justin Miller made Free Throw.,47,59
10:19,2348,DaQuan Bracey missed Layup.,47,59
10:19,309,Frank Bartley IV Defensive Rebound.,47,59
10:06,309,Bryce Washington made Layup. Assisted by Justin Miller.,47,61
9:45,2348,Erik McCree made Layup.,49,61
9:26,309,Johnathan Stove missed Jumper.,49,61
9:26,2348,Derric Jean Defensive Rebound.,49,61
9:19,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,52,61
9:01,309,Jay Wright missed Three Point Jumper.,52,61
9:01,2348,Erik McCree Defensive Rebound.,52,61
8:43,2348,Jacobi Boykins made Three Point Jumper. Assisted by Joniah White.,55,61
8:35,309,UL Lafayette  Timeout,55,61
8:13,309,P.J. Hardy made Three Point Jumper.,55,64
8:02,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,58,64
7:44,309,Bryce Washington made Layup. Assisted by Jay Wright.,58,66
7:31,309,Official TV Timeout,58,66
7:20,309,Foul on P.J. Hardy.,58,66
7:07,2348,Jalen Harris missed Layup.,58,66
7:07,309,Jay Wright Defensive Rebound.,58,66
7:01,309,Jay Wright made Jumper.,58,68
6:46,309,Foul on Bryce Washington.,58,68
6:36,2348,DaQuan Bracey missed Layup.,58,68
6:36,309,Bryce Washington Defensive Rebound.,58,68
6:29,309,P.J. Hardy made Three Point Jumper.,58,71
6:29,309,UL Lafayette  Timeout,58,71
6:26,2348,Omar Sherman missed Jumper.,58,71
6:26,309,Justin Miller Defensive Rebound.,58,71
5:57,2348,Foul on Omar Sherman.,58,71
5:52,309,P.J. Hardy made Three Point Jumper. Assisted by Jay Wright.,58,74
5:41,309,Foul on Jay Wright.,58,74
5:30,2348,Erik McCree made Jumper.,60,74
4:59,2348,Foul on Erik McCree.,60,74
4:59,309,Frank Bartley IV made Free Throw.,60,75
4:59,309,Frank Bartley IV made Free Throw.,60,76
4:50,2348,Derric Jean Turnover.,60,76
4:49,309,Frank Bartley IV Steal.,60,76
4:46,309,Frank Bartley IV made Layup.,60,78
4:46,2348,Foul on Derric Jean.,60,78
4:46,309,Frank Bartley IV made Free Throw.,60,79
4:37,2348,Jalen Harris made Layup.,62,79
4:21,309,Bryce Washington missed Layup.,62,79
4:21,2348,DaQuan Bracey Defensive Rebound.,62,79
4:09,309,Foul on Justin Miller.,62,79
4:09,2348,Joniah White made Free Throw.,63,79
4:09,2348,Joniah White made Free Throw.,64,79
4:04,309,Johnathan Stove Turnover.,64,79
4:04,2348,DaQuan Bracey Steal.,64,79
4:03,2348,Jy'lan Washington made Three Point Jumper. Assisted by DaQuan Bracey.,67,79
3:50,309,Jay Wright made Layup. Assisted by Johnathan Stove.,67,81
3:27,2348,Jalen Harris made Layup.,69,81
3:21,309,Frank Bartley IV missed Layup.,69,81
3:21,2348,Louisiana Tech Defensive Rebound.,69,81
3:15,309,Official TV Timeout,69,81
3:08,2348,Jalen Harris missed Three Point Jumper.,69,81
3:08,309,P.J. Hardy Defensive Rebound.,69,81
2:41,309,Bryce Washington made Layup. Assisted by Jay Wright.,69,83
2:24,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,72,83
2:24,2348,Louisiana Tech  Timeout,72,83
2:14,309,Jay Wright missed Layup.,72,83
2:14,2348,Joniah White Block.,72,83
2:12,2348,Joniah White Defensive Rebound.,72,83
2:04,2348,Jacobi Boykins made Three Point Jumper.,75,83
1:57,2348,Foul on Jalen Harris.,75,83
1:57,309,Jay Wright missed Free Throw.,75,83
1:57,2348,Erik McCree Defensive Rebound.,75,83
1:43,2348,Louisiana Tech  Timeout,75,83
1:42,2348,DaQuan Bracey Turnover.,75,83
1:41,309,Bryce Washington Steal.,75,83
1:28,2348,Foul on DaQuan Bracey.,75,83
1:28,309,Jay Wright made Free Throw.,75,84
1:28,309,Jay Wright missed Free Throw.,75,84
1:28,2348,Joniah White Defensive Rebound.,75,84
1:19,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,78,84
1:09,309,Frank Bartley IV missed Layup.,78,84
1:09,2348,Erik McCree Defensive Rebound.,78,84
1:03,2348,Jalen Harris missed Three Point Jumper.,78,84
1:03,309,P.J. Hardy Defensive Rebound.,78,84
0:58,309,Frank Bartley IV Turnover.,78,84
0:50,2348,DaQuan Bracey missed Three Point Jumper.,78,84
0:50,2348,Erik McCree Offensive Rebound.,78,84
0:46,2348,Erik McCree made Layup.,80,84
0:40,2348,Foul on Jacobi Boykins.,80,84
0:40,309,P.J. Hardy made Free Throw.,80,85
0:40,309,P.J. Hardy made Free Throw.,80,86
0:31,2348,Jacobi Boykins made Three Point Jumper. Assisted by Jalen Harris.,83,86
0:31,2348,Foul on Jalen Harris.,83,86
0:31,309,Johnathan Stove made Free Throw.,83,87
0:31,309,Johnathan Stove missed Free Throw.,83,87
0:31,309,P.J. Hardy Offensive Rebound.,83,87
0:26,309,P.J. Hardy Turnover.,83,87
0:26,2348,Jalen Harris Steal.,83,87
0:20,2348,Erik McCree Turnover.,83,87
0:17,309,Jay Wright Steal.,83,87
0:17,309,Frank Bartley IV made Layup.,83,89
0:11,2348,Jalen Harris missed Three Point Jumper.,83,89
0:11,309,Jay Wright Defensive Rebound.,83,89
0:06,2348,Foul on Joniah White.,83,89
0:06,309,Jay Wright made Free Throw.,83,90
0:06,309,Jay Wright made Free Throw.,83,91
0:00,309,End of Game,83,91
