Milwaukee,2350,Loyola-Chicago,270
11:45,2350,Official TV Timeout,7,13
11:35,270,Cameron Harvey made Three Point Jumper. Assisted by August Haas.,10,13
11:15,270,Foul on Dan Studer.,10,13
10:58,2350,Aundre Jackson made Layup. Assisted by Clayton Custer.,10,15
10:40,2350,Foul on Clayton Custer.,10,15
10:40,270,August Haas made Free Throw.,11,15
10:40,270,August Haas made Free Throw.,12,15
10:25,2350,Aundre Jackson Turnover.,12,15
10:23,270,Brett Prahl Steal.,12,15
10:01,270,Cameron Harvey missed Three Point Jumper.,12,15
10:01,270,Milwaukee Offensive Rebound.,12,15
9:57,2350,Foul on Aundre Jackson.,12,15
9:40,270,August Haas made Layup.,14,15
9:33,2350,Clayton Custer made Three Point Jumper. Assisted by Ben Richardson.,14,18
9:10,270,Cody Wichmann made Three Point Jumper. Assisted by Bryce Barnes.,17,18
8:49,2350,Aundre Jackson made Layup.,17,20
8:31,270,August Haas Turnover.,17,20
8:19,2350,Clayton Custer made Jumper.,17,22
7:46,2350,Foul on Ben Richardson.,17,22
7:46,2350,Official TV Timeout,17,22
7:46,270,Brock Stull missed Free Throw.,17,22
7:46,270,Milwaukee Deadball Team Rebound.,17,22
7:46,270,Brock Stull made Free Throw.,18,22
7:33,2350,Aundre Jackson Turnover.,18,22
7:27,270,Brock Stull made Layup. Assisted by Cody Wichmann.,20,22
7:11,2350,Aundre Jackson made Layup. Assisted by Milton Doyle.,20,24
6:56,270,Cody Wichmann made Three Point Jumper. Assisted by August Haas.,23,24
6:28,2350,Aundre Jackson made Layup. Assisted by Milton Doyle.,23,26
6:02,270,Bryce Nze missed Layup.,23,26
6:02,2350,Aundre Jackson Block.,23,26
6:01,2350,Clayton Custer Defensive Rebound.,23,26
5:56,2350,Cameron Satterwhite missed Three Point Jumper.,23,26
5:56,270,Cody Wichmann Defensive Rebound.,23,26
5:44,270,August Haas Turnover.,23,26
5:35,2350,Aundre Jackson made Layup. Assisted by Milton Doyle.,23,28
5:15,270,Bryce Nze Turnover.,23,28
5:02,2350,Clayton Custer Turnover.,23,28
4:46,270,Brock Stull missed Three Point Jumper.,23,28
4:46,2350,Tyson Smith Defensive Rebound.,23,28
4:32,2350,Aundre Jackson made Layup. Assisted by Milton Doyle.,23,30
4:14,270,Bryce Barnes made Three Point Jumper. Assisted by Jeremiah Bell.,26,30
3:48,2350,Official TV Timeout,26,30
3:47,2350,Milton Doyle made Dunk.,26,32
3:25,270,Brock Stull Turnover.,26,32
3:23,2350,Clayton Custer Steal.,26,32
3:08,270,Foul on Jeremy Johnson.,26,32
3:05,2350,Bruno Skokna made Three Point Jumper. Assisted by Clayton Custer.,26,35
2:40,270,Jeremy Johnson missed Jumper.,26,35
2:40,2350,Milton Doyle Defensive Rebound.,26,35
2:33,2350,Milton Doyle made Jumper.,26,37
2:21,270,Milwaukee  Timeout,26,37
2:14,270,Bryce Barnes made Jumper.,28,37
1:53,270,Foul on Cody Wichmann.,28,37
1:34,270,Foul on Jeremy Johnson.,28,37
1:34,270,Foul on Bryce Barnes.,28,37
1:34,2350,Clayton Custer made Free Throw.,28,38
1:34,2350,Clayton Custer made Free Throw.,28,39
1:20,270,Bryce Barnes Turnover.,28,39
1:05,2350,Milton Doyle made Three Point Jumper. Assisted by Tyson Smith.,28,42
0:52,270,Cody Wichmann made Three Point Jumper. Assisted by Cameron Harvey.,31,42
0:43,2350,Loyola (CHI)  Timeout,31,42
0:30,2350,Aundre Jackson made Jumper. Assisted by Clayton Custer.,31,44
0:10,270,Bryce Barnes made Layup.,33,44
0:00,2350,End of 1st half,33,44
19:46,270,Foul on Brett Prahl.,33,44
19:31,2350,Milton Doyle made Layup.,33,46
19:09,270,Cameron Harvey missed Jumper.,33,46
19:09,270,Brett Prahl Offensive Rebound.,33,46
19:04,270,Cameron Harvey made Layup. Assisted by Brock Stull.,35,46
18:49,270,Foul on August Haas.,35,46
18:49,2350,Clayton Custer made Free Throw.,35,47
18:49,2350,Clayton Custer made Free Throw.,35,48
18:29,270,August Haas Turnover.,35,48
18:28,2350,Bruno Skokna Steal.,35,48
18:25,2350,Milton Doyle made Dunk. Assisted by Bruno Skokna.,35,50
18:03,270,Jeremy Johnson made Layup. Assisted by August Haas.,37,50
17:41,2350,Aundre Jackson made Layup.,37,52
17:24,2350,Foul on Bruno Skokna.,37,52
17:08,2350,Foul on Milton Doyle.,37,52
16:37,270,Bryce Barnes missed Layup.,37,52
16:37,270,Bryce Barnes Offensive Rebound.,37,52
16:34,270,Bryce Barnes missed Layup.,37,52
16:34,2350,Aundre Jackson Defensive Rebound.,37,52
16:27,270,Foul on Cody Wichmann.,37,52
16:27,2350,Clayton Custer missed Free Throw.,37,52
16:27,2350,Loyola (CHI) Deadball Team Rebound.,37,52
16:27,2350,Clayton Custer made Free Throw.,37,53
16:07,270,Cody Wichmann missed Three Point Jumper.,37,53
16:07,270,Bryce Nze Offensive Rebound.,37,53
15:50,270,Jeremy Johnson missed Layup.,37,53
15:50,2350,Vlatko Granic Defensive Rebound.,37,53
15:35,2350,Clayton Custer Turnover.,37,53
15:34,270,Cody Wichmann Steal.,37,53
15:27,270,Bryce Barnes missed Jumper.,37,53
15:27,2350,Loyola (CHI) Defensive Rebound.,37,53
15:22,2350,Official TV Timeout,37,53
15:13,2350,Ben Richardson Turnover.,37,53
15:12,270,Cody Wichmann Steal.,37,53
15:06,270,Brock Stull missed Jumper.,37,53
15:06,2350,Bruno Skokna Block.,37,53
15:04,2350,Bruno Skokna Defensive Rebound.,37,53
14:59,2350,Bruno Skokna Turnover.,37,53
14:57,270,Brock Stull Steal.,37,53
14:38,270,Jeremiah Bell missed Jumper.,37,53
14:38,2350,Milton Doyle Defensive Rebound.,37,53
14:13,270,Foul on Brock Stull.,37,53
14:09,2350,Milton Doyle made Jumper.,37,55
13:46,270,Bryce Barnes Turnover.,37,55
13:46,270,Foul on Bryce Barnes.,37,55
13:35,2350,Vlatko Granic missed Three Point Jumper.,37,55
13:35,270,Jeremiah Bell Defensive Rebound.,37,55
13:21,270,Jeremiah Bell missed Jumper.,37,55
13:21,2350,Ben Richardson Defensive Rebound.,37,55
13:07,2350,Milton Doyle Turnover.,37,55
13:05,270,Bryce Barnes Steal.,37,55
13:02,270,Bryce Barnes made Jumper.,39,55
12:37,2350,Bruno Skokna missed Jumper.,39,55
12:37,270,Jeremiah Bell Defensive Rebound.,39,55
12:17,270,Brock Stull missed Layup.,39,55
12:17,2350,Ben Richardson Block.,39,55
12:17,270,Milwaukee Offensive Rebound.,39,55
12:08,270,Jeremiah Bell missed Three Point Jumper.,39,55
12:08,2350,Ben Richardson Defensive Rebound.,39,55
11:50,270,Foul on Cody Wichmann.,39,55
11:50,2350,Official TV Timeout,39,55
11:38,2350,Aundre Jackson made Layup. Assisted by Clayton Custer.,39,57
11:18,270,Jeremiah Bell missed Jumper.,39,57
11:18,2350,Aundre Jackson Defensive Rebound.,39,57
11:10,2350,Milton Doyle Turnover.,39,57
11:08,270,Jeremiah Bell Steal.,39,57
10:45,270,Brett Prahl missed Layup.,39,57
10:45,2350,Aundre Jackson Defensive Rebound.,39,57
10:18,2350,Milton Doyle missed Three Point Jumper.,39,57
10:18,270,Jeremiah Bell Defensive Rebound.,39,57
9:53,2350,Foul on Tyson Smith.,39,57
9:53,270,Jeremiah Bell missed Free Throw.,39,57
9:53,270,Milwaukee Deadball Team Rebound.,39,57
9:53,270,Jeremiah Bell made Free Throw.,40,57
9:27,2350,Clayton Custer made Jumper.,40,59
9:12,270,Jeremy Johnson made Layup.,42,59
8:55,2350,Ben Richardson missed Three Point Jumper.,42,59
8:55,270,Brett Prahl Defensive Rebound.,42,59
8:44,2350,Foul on Aundre Jackson.,42,59
8:37,270,Bryce Nze missed Layup.,42,59
8:37,2350,Tyson Smith Defensive Rebound.,42,59
8:34,2350,Tyson Smith Turnover.,42,59
8:31,270,Cody Wichmann missed Three Point Jumper.,42,59
8:31,270,Bryce Nze Offensive Rebound.,42,59
8:16,270,August Haas made Layup.,44,59
8:09,2350,Loyola (CHI)  Timeout,44,59
7:46,2350,Cameron Satterwhite Turnover.,44,59
7:46,2350,Foul on Cameron Satterwhite.,44,59
7:18,270,Jeremy Johnson missed Three Point Jumper.,44,59
7:18,2350,Milton Doyle Defensive Rebound.,44,59
6:56,2350,Ben Richardson made Layup.,44,61
6:34,2350,Foul on Aundre Jackson.,44,61
6:34,270,August Haas missed Free Throw.,44,61
6:34,270,Milwaukee Deadball Team Rebound.,44,61
6:34,270,August Haas made Free Throw.,45,61
6:20,2350,Clayton Custer missed Three Point Jumper.,45,61
6:20,2350,Loyola (CHI) Offensive Rebound.,45,61
6:18,270,Foul on Brock Stull.,45,61
6:18,2350,Aundre Jackson made Free Throw.,45,62
6:18,2350,Aundre Jackson made Free Throw.,45,63
6:01,270,August Haas missed Layup.,45,63
6:01,2350,Milton Doyle Block.,45,63
5:59,270,August Haas Offensive Rebound.,45,63
5:53,270,Brock Stull missed Three Point Jumper.,45,63
5:53,2350,Milton Doyle Defensive Rebound.,45,63
5:45,2350,Cameron Satterwhite made Layup. Assisted by Milton Doyle.,45,65
5:15,270,Brock Stull made Three Point Jumper. Assisted by August Haas.,48,65
4:56,2350,Ben Richardson Turnover.,48,65
4:48,270,Bryce Nze made Layup. Assisted by Brock Stull.,50,65
4:21,2350,Milton Doyle made Jumper.,50,67
4:08,270,Cameron Harvey missed Jumper.,50,67
4:08,270,Bryce Nze Offensive Rebound.,50,67
4:02,2350,Foul on Milton Doyle.,50,67
4:02,270,Bryce Nze missed Free Throw.,50,67
4:02,2350,Ben Richardson Defensive Rebound.,50,67
3:38,270,Foul on Bryce Nze.,50,67
3:38,2350,Official TV Timeout,50,67
3:38,2350,Aundre Jackson missed Free Throw.,50,67
3:38,2350,Loyola (CHI) Deadball Team Rebound.,50,67
3:38,2350,Aundre Jackson made Free Throw.,50,68
3:18,270,Brock Stull missed Jumper.,50,68
3:18,2350,Milton Doyle Defensive Rebound.,50,68
2:47,2350,Bruno Skokna missed Three Point Jumper.,50,68
2:47,270,Brock Stull Defensive Rebound.,50,68
2:31,2350,Foul on Milton Doyle.,50,68
2:31,270,Cody Wichmann missed Free Throw.,50,68
2:31,270,Milwaukee Deadball Team Rebound.,50,68
2:31,270,Cody Wichmann made Free Throw.,51,68
2:16,270,Foul on Cody Wichmann.,51,68
2:16,2350,Milton Doyle made Free Throw.,51,69
2:16,2350,Milton Doyle made Free Throw.,51,70
2:00,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,53,70
1:38,270,Foul on Bryce Barnes.,53,70
1:38,2350,Cameron Satterwhite made Free Throw.,53,71
1:38,270,Milwaukee  Timeout,53,71
1:38,2350,Cameron Satterwhite made Free Throw.,53,72
1:34,270,Cody Wichmann made Three Point Jumper. Assisted by Bryce Barnes.,56,72
0:56,2350,Tyson Smith missed Three Point Jumper.,56,72
0:56,270,Cody Wichmann Defensive Rebound.,56,72
0:45,270,Cody Wichmann missed Three Point Jumper.,56,72
0:45,2350,Tyson Smith Defensive Rebound.,56,72
0:17,2350,Bruno Skokna missed Three Point Jumper.,56,72
0:17,270,Alex Prahl Defensive Rebound.,56,72
0:05,270,Cody Wichmann missed Three Point Jumper.,56,72
0:05,2350,Loyola (CHI) Defensive Rebound.,56,72
0:00,2350,End of Game,56,72
