John Brown,Error,Oral Roberts,198
18:12,198,Aaron Anderson missed Three Point Jumper.,33,51
18:12,198,Oral Roberts Offensive Rebound.,33,51
17:55,198,Albert Owens made Layup.,33,53
17:32,2301,Josh Bowling made Three Point Jumper. Assisted by Zach English.,36,53
17:18,198,Jalen Bradley made Three Point Jumper. Assisted by Kris Martin.,36,56
17:00,2301,Benjamin Smith missed Three Point Jumper.,36,56
17:00,198,Oral Roberts Defensive Rebound.,36,56
16:58,2301,John Brown  Timeout,36,56
16:39,198,Kris Martin made Three Point Jumper. Assisted by Darian Harris.,36,59
16:22,2301,Benjamin Smith missed Three Point Jumper.,36,59
16:22,2301,Marquis Waller Offensive Rebound.,36,59
16:16,2301,Marquis Waller Turnover.,36,59
16:16,198,Kris Martin Steal.,36,59
16:11,198,Albert Owens made Dunk. Assisted by Kris Martin.,36,61
15:43,2301,Jake Caudle missed Three Point Jumper.,36,61
15:43,198,Darian Harris Defensive Rebound.,36,61
15:36,2301,Foul on Marquis Waller.,36,61
15:36,198,Official TV Timeout,36,61
15:36,198,Jalen Bradley missed Free Throw.,36,61
15:36,198,Oral Roberts Deadball Team Rebound.,36,61
15:36,198,Jalen Bradley missed Free Throw.,36,61
15:36,2301,Ricky Roberts Defensive Rebound.,36,61
15:22,2301,Ricky Roberts Turnover.,36,61
15:21,198,Kris Martin Steal.,36,61
15:09,198,Kris Martin made Three Point Jumper. Assisted by Darian Harris.,36,64
14:51,2301,Miguel Martinez missed Three Point Jumper.,36,64
14:51,2301,John Brown Offensive Rebound.,36,64
14:33,2301,Jake Caudle missed Three Point Jumper.,36,64
14:33,198,Dezmond McDaniel Defensive Rebound.,36,64
14:16,198,Chris Miller missed Jumper.,36,64
14:16,2301,Miguel Martinez Defensive Rebound.,36,64
13:56,2301,Miguel Martinez made Layup. Assisted by Zach English.,38,64
13:36,198,Jontray Harris made Three Point Jumper. Assisted by Dezmond McDaniel.,38,67
13:16,2301,Ricky Roberts missed Layup.,38,67
13:16,198,Darian Harris Block.,38,67
13:14,2301,Ricky Roberts Offensive Rebound.,38,67
13:12,2301,Ricky Roberts made Layup.,40,67
12:46,198,Aaron Young missed Jumper.,40,67
12:46,2301,Marquis Waller Defensive Rebound.,40,67
12:38,198,Foul on Darian Harris.,40,67
12:38,2301,Marquis Waller made Free Throw.,41,67
12:38,2301,Marquis Waller missed Free Throw.,41,67
12:38,198,Jontray Harris Defensive Rebound.,41,67
12:31,198,Jontray Harris missed Three Point Jumper.,41,67
12:31,2301,Zach English Defensive Rebound.,41,67
12:13,2301,Ricky Roberts Turnover.,41,67
12:13,198,Dezmond McDaniel Steal.,41,67
12:10,198,Jontray Harris made Dunk. Assisted by Dezmond McDaniel.,41,69
11:59,198,Foul on Dezmond McDaniel.,41,69
11:59,198,Official TV Timeout,41,69
11:34,2301,Brenton Toussaint missed Layup.,41,69
11:34,2301,Zach English Offensive Rebound.,41,69
11:27,2301,Zach English made Three Point Jumper.,44,69
11:07,198,Isaac Gilliam missed Three Point Jumper.,44,69
11:07,2301,Zach English Defensive Rebound.,44,69
10:56,2301,Brandon Joseph made Jumper.,46,69
10:43,198,Chris Miller made Layup.,46,71
10:33,2301,Zach English missed Three Point Jumper.,46,71
10:33,198,Jontray Harris Defensive Rebound.,46,71
10:18,198,Chris Miller made Layup. Assisted by Jontray Harris.,46,73
10:01,2301,Zach English made Three Point Jumper. Assisted by Dwayne Hart.,49,73
9:48,198,Isaac Gilliam missed Three Point Jumper.,49,73
9:44,198,Oral Roberts Offensive Rebound.,49,73
9:36,198,Albert Owens missed Jumper.,49,73
9:36,2301,Samuel Egedi Defensive Rebound.,49,73
9:26,2301,Brandon Joseph missed Three Point Jumper.,49,73
9:26,198,Jalen Bradley Defensive Rebound.,49,73
8:59,198,Jalen Bradley made Jumper.,49,75
8:42,198,Foul on Emmanuel Nzekwesi.,49,75
8:42,2301,Samuel Egedi missed Free Throw.,49,75
8:42,2301,John Brown Deadball Team Rebound.,49,75
8:42,2301,Samuel Egedi made Free Throw.,50,75
8:29,198,Emmanuel Nzekwesi missed Jumper.,50,75
8:29,2301,Samuel Egedi Defensive Rebound.,50,75
8:26,2301,Samuel Egedi Turnover.,50,75
8:25,198,Emmanuel Nzekwesi Steal.,50,75
8:24,198,Darian Harris made Three Point Jumper. Assisted by Emmanuel Nzekwesi.,50,78
8:03,2301,Josh Bowling missed Three Point Jumper.,50,78
8:03,198,Emmanuel Nzekwesi Defensive Rebound.,50,78
7:49,198,Kris Martin made Three Point Jumper. Assisted by Emmanuel Nzekwesi.,50,81
7:26,2301,Samuel Egedi missed Layup.,50,81
7:26,198,Emmanuel Nzekwesi Defensive Rebound.,50,81
7:16,198,Albert Owens made Layup. Assisted by Kris Martin.,50,83
7:06,2301,Brandon Joseph missed Jumper.,50,83
7:06,198,Albert Owens Defensive Rebound.,50,83
6:55,198,Emmanuel Nzekwesi Turnover.,50,83
6:55,198,Official TV Timeout,50,83
6:42,2301,Jake Caudle Turnover.,50,83
6:28,198,Jalen Bradley made Three Point Jumper. Assisted by Emmanuel Nzekwesi.,50,86
6:03,198,Foul on Kris Martin.,50,86
5:56,2301,Josh Bowling missed Jumper.,50,86
5:56,198,Kris Martin Defensive Rebound.,50,86
5:44,198,Albert Owens made Dunk. Assisted by Jalen Bradley.,50,88
5:32,2301,Matthew Ledford made Three Point Jumper. Assisted by Jake Caudle.,53,88
5:12,198,Jalen Bradley Turnover.,53,88
5:11,2301,Matthew Ledford Steal.,53,88
5:08,2301,Ricky Roberts missed Jumper.,53,88
5:08,198,Darian Harris Defensive Rebound.,53,88
4:51,198,Kris Martin made Three Point Jumper. Assisted by Darian Harris.,53,91
4:32,2301,Jake Caudle Turnover.,53,91
4:19,198,Dezmond McDaniel missed Layup.,53,91
4:19,2301,Matthew Ledford Defensive Rebound.,53,91
3:57,2301,Zach English made Three Point Jumper. Assisted by Brandon Joseph.,56,91
3:35,198,Chris Miller made Jumper.,56,93
3:13,2301,Samuel Egedi missed Three Point Jumper.,56,93
3:13,198,Dezmond McDaniel Defensive Rebound.,56,93
3:03,198,Oral Roberts  Timeout,56,93
3:03,198,Official TV Timeout,56,93
2:55,198,Chris Miller missed Jumper.,56,93
2:55,2301,Brandon Joseph Defensive Rebound.,56,93
2:27,2301,Matthew Ledford missed Jumper.,56,93
2:27,2301,Dwayne Hart Offensive Rebound.,56,93
2:20,2301,Brandon Joseph made Three Point Jumper.,59,93
1:58,198,Isaac Gilliam Turnover.,59,93
1:57,2301,Samuel Egedi Steal.,59,93
1:54,2301,Samuel Egedi made Dunk.,61,93
1:53,2301,John Brown  Timeout,61,93
1:38,198,Dezmond McDaniel missed Jumper.,61,93
1:38,2301,Joshua Rhodius Defensive Rebound.,61,93
1:19,2301,Matthew Ledford missed Three Point Jumper.,61,93
1:19,198,Chris Miller Defensive Rebound.,61,93
1:05,198,Isaac Gilliam made Jumper.,61,95
0:47,2301,Brandon Joseph missed Jumper.,61,95
0:47,198,Chris Miller Defensive Rebound.,61,95
0:28,198,Isaac Gilliam Turnover.,61,95
0:12,2301,Dwayne Hart missed Jumper.,61,95
0:12,198,Aaron Young Defensive Rebound.,61,95
0:04,198,Aaron Young Turnover.,61,95
0:02,2301,Brandon Joseph Steal.,61,95
0:01,2301,Brandon Joseph made Layup.,63,95
0:00,198,End of Game,63,95
