Colorado,252,BYU,38
7:27,252,Nick Emery Turnover.,22,26
7:02,38,Derrick White missed Three Point Jumper.,22,26
7:02,252,Yoeli Childs Defensive Rebound.,22,26
6:52,252,Foul on Jamal Aytes.,22,26
6:52,252,Jamal Aytes Turnover.,22,26
6:38,38,Xavier Johnson missed Three Point Jumper.,22,26
6:38,252,Jamal Aytes Defensive Rebound.,22,26
6:06,252,L.J. Rose missed Jumper.,22,26
6:06,38,Wesley Gordon Block.,22,26
6:06,252,BYU Offensive Rebound.,22,26
6:03,252,Nick Emery made Jumper. Assisted by L.J. Rose.,22,28
5:56,252,Foul on L.J. Rose.,22,28
5:44,252,Foul on Braiden Shaw.,22,28
5:31,38,George King made Layup.,24,28
5:22,252,Nick Emery made Three Point Jumper. Assisted by L.J. Rose.,24,31
5:04,38,Xavier Johnson missed Jumper.,24,31
5:04,38,Wesley Gordon Offensive Rebound.,24,31
5:04,38,Wesley Gordon Turnover.,24,31
4:55,252,Colby Leifson Turnover.,24,31
4:40,38,Derrick White made Three Point Jumper.,27,31
4:21,252,Nick Emery made Three Point Jumper. Assisted by L.J. Rose.,27,34
4:00,38,Lucas Siewert missed Three Point Jumper.,27,34
4:00,38,George King Offensive Rebound.,27,34
3:57,252,Foul on Nick Emery.,27,34
3:57,38,George King made Free Throw.,28,34
3:57,38,George King made Free Throw.,29,34
3:55,252,Official TV Timeout,29,34
3:44,252,Nick Emery missed Jumper.,29,34
3:44,38,George King Defensive Rebound.,29,34
3:30,38,George King missed Jumper.,29,34
3:30,252,Yoeli Childs Defensive Rebound.,29,34
3:18,252,L.J. Rose missed Three Point Jumper.,29,34
3:18,38,Derrick White Defensive Rebound.,29,34
3:10,38,Derrick White made Dunk.,31,34
2:54,252,Eric Mika missed Jumper.,31,34
2:54,38,Xavier Johnson Defensive Rebound.,31,34
2:46,252,Foul on Nick Emery.,31,34
2:46,38,Derrick White made Free Throw.,32,34
2:46,38,Derrick White made Free Throw.,33,34
2:36,38,Foul on Bryce Peters.,33,34
2:36,252,Yoeli Childs missed Free Throw.,33,34
2:36,38,Bryce Peters Defensive Rebound.,33,34
2:20,38,Josh Fortune missed Three Point Jumper.,33,34
2:20,252,Yoeli Childs Defensive Rebound.,33,34
2:11,252,Steven Beo missed Jumper.,33,34
2:11,252,Eric Mika Offensive Rebound.,33,34
2:09,38,Foul on Wesley Gordon.,33,34
2:09,252,Eric Mika made Free Throw.,33,35
2:09,252,Eric Mika made Free Throw.,33,36
1:47,38,Xavier Johnson missed Three Point Jumper.,33,36
1:47,252,Eric Mika Defensive Rebound.,33,36
1:32,252,Kyle Davis missed Jumper.,33,36
1:32,38,Xavier Johnson Defensive Rebound.,33,36
1:21,38,Xavier Johnson missed Layup.,33,36
1:21,38,Wesley Gordon Offensive Rebound.,33,36
1:11,38,Derrick White made Jumper. Assisted by Wesley Gordon.,35,36
1:03,252,L.J. Rose made Jumper.,35,38
0:59,38,Colorado  Timeout,35,38
0:48,38,Derrick White made Three Point Jumper. Assisted by Josh Fortune.,38,38
0:36,252,BYU  Timeout,38,38
0:20,252,L.J. Rose missed Three Point Jumper.,38,38
0:20,252,Eric Mika Offensive Rebound.,38,38
0:11,252,Eric Mika made Jumper.,38,40
0:02,38,Derrick White missed Three Point Jumper.,38,40
0:02,252,TJ Haws Defensive Rebound.,38,40
0:00,252,End of 1st half,38,40
20:00,252,Jump Ball won by BYU,38,40
19:50,252,Eric Mika made Jumper.,38,42
19:25,38,Josh Fortune missed Three Point Jumper.,38,42
19:25,38,Xavier Johnson Offensive Rebound.,38,42
19:11,38,George King made Jumper.,40,42
18:56,252,TJ Haws made Three Point Jumper. Assisted by Eric Mika.,40,45
18:38,38,Wesley Gordon missed Jumper.,40,45
18:38,38,George King Offensive Rebound.,40,45
18:35,252,Foul on L.J. Rose.,40,45
18:25,38,Derrick White missed Three Point Jumper.,40,45
18:25,252,Eric Mika Defensive Rebound.,40,45
18:07,38,Foul on Derrick White.,40,45
18:07,252,Yoeli Childs missed Free Throw.,40,45
18:07,252,BYU Deadball Team Rebound.,40,45
18:07,252,Yoeli Childs missed Free Throw.,40,45
18:07,38,Xavier Johnson Defensive Rebound.,40,45
17:49,38,George King made Layup. Assisted by Wesley Gordon.,42,45
17:36,252,L.J. Rose missed Jumper.,42,45
17:36,38,Derrick White Block.,42,45
17:36,252,L.J. Rose Offensive Rebound.,42,45
17:32,252,Nick Emery missed Three Point Jumper.,42,45
17:32,252,BYU Offensive Rebound.,42,45
17:32,252,Foul on Eric Mika.,42,45
17:28,38,Bryce Peters missed Three Point Jumper.,42,45
17:28,252,Yoeli Childs Defensive Rebound.,42,45
16:54,38,Foul on Derrick White.,42,45
16:52,252,TJ Haws made Three Point Jumper. Assisted by Eric Mika.,42,48
16:34,38,George King missed Jumper.,42,48
16:34,252,BYU Defensive Rebound.,42,48
16:21,38,Foul on Wesley Gordon.,42,48
16:21,252,Eric Mika made Free Throw.,42,49
16:21,252,Eric Mika made Free Throw.,42,50
15:59,38,George King Turnover.,42,50
15:59,252,Nick Emery Steal.,42,50
15:48,252,Yoeli Childs made Jumper. Assisted by TJ Haws.,42,52
15:31,38,George King missed Three Point Jumper.,42,52
15:31,252,TJ Haws Defensive Rebound.,42,52
15:23,252,Eric Mika Turnover.,42,52
15:23,252,Official TV Timeout,42,52
15:11,252,Foul on Eric Mika.,42,52
14:55,38,Xavier Johnson made Jumper.,44,52
14:37,252,Eric Mika Turnover.,44,52
14:24,252,Foul on Yoeli Childs.,44,52
14:11,252,Foul on Nick Emery.,44,52
14:11,38,Tory Miller missed Free Throw.,44,52
14:11,38,Colorado Deadball Team Rebound.,44,52
14:11,38,Tory Miller missed Free Throw.,44,52
14:11,252,BYU Defensive Rebound.,44,52
14:11,38,Foul on Derrick White.,44,52
14:00,252,Eric Mika missed Jumper.,44,52
14:00,252,Davin Guinn Offensive Rebound.,44,52
13:57,38,Foul on Tory Miller.,44,52
13:57,252,Davin Guinn missed Free Throw.,44,52
13:57,252,BYU Deadball Team Rebound.,44,52
13:57,252,Davin Guinn made Free Throw.,44,53
13:46,38,Xavier Johnson made Layup. Assisted by Thomas Akyazili.,46,53
13:46,252,Foul on Kyle Davis.,46,53
13:46,38,Xavier Johnson made Free Throw.,47,53
13:35,252,L.J. Rose missed Jumper.,47,53
13:35,252,BYU Offensive Rebound.,47,53
13:34,252,TJ Haws Turnover.,47,53
13:13,38,Xavier Johnson missed Jumper.,47,53
13:13,38,Thomas Akyazili Offensive Rebound.,47,53
13:05,38,Xavier Johnson made Three Point Jumper. Assisted by Thomas Akyazili.,50,53
12:53,38,Foul on Tory Miller.,50,53
12:45,252,TJ Haws missed Layup.,50,53
12:45,38,George King Defensive Rebound.,50,53
12:31,38,Thomas Akyazili missed Jumper.,50,53
12:31,252,Eric Mika Block.,50,53
12:31,252,TJ Haws Defensive Rebound.,50,53
12:21,252,Davin Guinn missed Three Point Jumper.,50,53
12:21,38,Josh Fortune Defensive Rebound.,50,53
12:06,252,Foul on TJ Haws.,50,53
12:06,38,Xavier Johnson made Free Throw.,51,53
12:06,38,Xavier Johnson made Free Throw.,52,53
11:46,252,Eric Mika missed Jumper.,52,53
11:46,38,George King Defensive Rebound.,52,53
11:43,252,Foul on Steven Beo.,52,53
11:43,252,Official TV Timeout,52,53
11:43,38,George King made Free Throw.,53,53
11:43,38,George King made Free Throw.,54,53
11:32,252,Nick Emery missed Three Point Jumper.,54,53
11:32,38,George King Defensive Rebound.,54,53
10:59,38,George King missed Jumper.,54,53
10:59,252,TJ Haws Defensive Rebound.,54,53
10:51,252,Nick Emery made Layup. Assisted by TJ Haws.,54,55
10:34,38,Josh Fortune Turnover.,54,55
10:34,252,TJ Haws Steal.,54,55
10:34,38,Foul on Josh Fortune.,54,55
10:19,252,Nick Emery missed Three Point Jumper.,54,55
10:19,38,Bryce Peters Defensive Rebound.,54,55
10:12,38,George King made Dunk. Assisted by Thomas Akyazili.,56,55
10:01,252,Foul on L.J. Rose.,56,55
10:01,252,L.J. Rose Turnover.,56,55
9:41,38,Wesley Gordon made Jumper.,58,55
9:29,252,Steven Beo made Three Point Jumper. Assisted by Eric Mika.,58,58
8:54,38,Thomas Akyazili made Three Point Jumper. Assisted by Bryce Peters.,61,58
8:43,252,Nick Emery missed Three Point Jumper.,61,58
8:43,38,George King Defensive Rebound.,61,58
8:28,38,Thomas Akyazili missed Three Point Jumper.,61,58
8:28,252,Steven Beo Defensive Rebound.,61,58
8:20,252,TJ Haws made Three Point Jumper. Assisted by Steven Beo.,61,61
7:51,252,Foul on TJ Haws.,61,61
7:51,252,Official TV Timeout,61,61
7:51,38,Wesley Gordon missed Free Throw.,61,61
7:51,38,Colorado Deadball Team Rebound.,61,61
7:51,38,Wesley Gordon made Free Throw.,62,61
7:42,252,TJ Haws made Layup. Assisted by Nick Emery.,62,63
7:42,38,Foul on Thomas Akyazili.,62,63
7:42,252,TJ Haws made Free Throw.,62,64
7:32,38,Wesley Gordon Turnover.,62,64
7:32,252,Steven Beo Steal.,62,64
7:26,252,Steven Beo missed Layup.,62,64
7:26,252,Yoeli Childs Offensive Rebound.,62,64
7:18,252,Yoeli Childs Turnover.,62,64
7:18,38,Bryce Peters Steal.,62,64
7:16,38,Thomas Akyazili missed Jumper.,62,64
7:16,252,Eric Mika Block.,62,64
7:16,252,Nick Emery Defensive Rebound.,62,64
7:16,252,BYU  Timeout,62,64
7:10,252,Eric Mika missed Jumper.,62,64
7:10,252,BYU Offensive Rebound.,62,64
7:09,38,Foul on Xavier Johnson.,62,64
7:09,252,Eric Mika made Free Throw.,62,65
7:09,252,Eric Mika made Free Throw.,62,66
6:47,38,Wesley Gordon Turnover.,62,66
6:47,252,Nick Emery Steal.,62,66
6:42,38,Foul on Thomas Akyazili.,62,66
6:42,252,Nick Emery made Free Throw.,62,67
6:42,252,Nick Emery missed Free Throw.,62,67
6:42,38,Wesley Gordon Defensive Rebound.,62,67
6:23,38,Bryce Peters Turnover.,62,67
6:23,252,TJ Haws Steal.,62,67
6:14,252,TJ Haws missed Jumper.,62,67
6:14,252,Eric Mika Offensive Rebound.,62,67
5:55,252,Nick Emery made Jumper.,62,69
5:45,38,Colorado  Timeout,62,69
5:33,38,George King missed Jumper.,62,69
5:33,252,Yoeli Childs Defensive Rebound.,62,69
5:19,252,Eric Mika Turnover.,62,69
5:07,252,Foul on Eric Mika.,62,69
5:07,38,Tory Miller made Free Throw.,63,69
5:07,38,Tory Miller made Free Throw.,64,69
4:56,38,Foul on Tory Miller.,64,69
4:56,252,Eric Mika made Free Throw.,64,70
4:56,252,Eric Mika made Free Throw.,64,71
4:32,38,Derrick White missed Jumper.,64,71
4:32,252,BYU Defensive Rebound.,64,71
4:16,252,Nick Emery made Layup.,64,73
3:50,252,Official TV Timeout,64,73
3:43,38,Xavier Johnson missed Jumper.,64,73
3:43,252,Eric Mika Defensive Rebound.,64,73
3:28,252,Nick Emery Turnover.,64,73
3:16,38,Josh Fortune missed Three Point Jumper.,64,73
3:16,252,Steven Beo Defensive Rebound.,64,73
2:49,252,Eric Mika missed Layup.,64,73
2:49,38,Wesley Gordon Block.,64,73
2:49,38,George King Defensive Rebound.,64,73
2:41,252,Foul on TJ Haws.,64,73
2:41,38,Derrick White made Free Throw.,65,73
2:41,38,Derrick White made Free Throw.,66,73
2:17,252,Eric Mika missed Jumper.,66,73
2:17,38,George King Defensive Rebound.,66,73
2:09,38,George King missed Three Point Jumper.,66,73
2:09,252,Yoeli Childs Defensive Rebound.,66,73
1:57,38,Foul on Xavier Johnson.,66,73
1:57,252,TJ Haws missed Free Throw.,66,73
1:57,252,BYU Deadball Team Rebound.,66,73
1:57,252,TJ Haws made Free Throw.,66,74
1:49,252,Foul on Yoeli Childs.,66,74
1:49,38,Xavier Johnson made Free Throw.,67,74
1:49,38,Xavier Johnson made Free Throw.,68,74
1:48,252,TJ Haws Turnover.,68,74
1:48,38,Thomas Akyazili Steal.,68,74
1:38,38,Xavier Johnson missed Three Point Jumper.,68,74
1:38,252,Nick Emery Defensive Rebound.,68,74
1:21,38,Foul on George King.,68,74
1:21,252,Yoeli Childs missed Free Throw.,68,74
1:21,252,BYU Deadball Team Rebound.,68,74
1:21,252,Yoeli Childs made Free Throw.,68,75
1:12,38,Josh Fortune missed Three Point Jumper.,68,75
1:12,252,Yoeli Childs Defensive Rebound.,68,75
1:05,38,Foul on Josh Fortune.,68,75
1:05,252,Eric Mika made Free Throw.,68,76
1:05,252,Eric Mika missed Free Throw.,68,76
1:05,252,BYU Deadball Team Rebound.,68,76
0:48,38,Foul on Xavier Johnson.,68,76
0:48,252,Eric Mika made Free Throw.,68,77
0:48,252,Eric Mika missed Free Throw.,68,77
0:48,38,Josh Fortune Defensive Rebound.,68,77
0:41,38,Derrick White made Three Point Jumper.,71,77
0:41,38,Colorado  Timeout,71,77
0:40,38,Foul on Bryce Peters.,71,77
0:40,252,Nick Emery made Free Throw.,71,78
0:40,252,Nick Emery made Free Throw.,71,79
0:32,38,Bryce Peters missed Three Point Jumper.,71,79
0:32,252,Steven Beo Defensive Rebound.,71,79
0:28,38,Foul on Josh Fortune.,71,79
0:28,252,Steven Beo missed Free Throw.,71,79
0:28,252,BYU Deadball Team Rebound.,71,79
0:28,252,Steven Beo missed Free Throw.,71,79
0:28,38,Xavier Johnson Defensive Rebound.,71,79
0:21,38,Derrick White missed Jumper.,71,79
0:21,252,Eric Mika Defensive Rebound.,71,79
0:00,252,End of Game,71,79
