Northern New Mexico,Error,Abilene Christian,2000
4:21,3141,Jeffrey Long Defensive Rebound.,23,41
4:21,2000,Foul on Jaren Lewis.,23,41
4:21,3141,Jeffrey Long made Free Throw.,24,41
4:21,3141,Jeffrey Long made Free Throw.,25,41
4:08,2000,Jaylen Franklin Turnover.,25,41
4:07,3141,Jeffrey Long Steal.,25,41
4:05,3141,Jeffrey Long made Layup.,27,41
3:41,2000,Jovan Crnic made Jumper.,27,43
3:14,3141,Jeffrey Long made Layup.,29,43
3:14,2000,Foul on Jalone Friday.,29,43
3:14,2000,Official TV Timeout,29,43
3:14,3141,Jeffrey Long made Free Throw.,30,43
3:06,2000,B.J. Maxwell Turnover.,30,43
3:05,3141,Christian Owona Steal.,30,43
2:52,3141,Jeffrey Long Turnover.,30,43
2:39,2000,Hayden Farquhar made Layup. Assisted by Jaylen Franklin.,30,45
2:17,2000,Foul on Jaylen Franklin.,30,45
2:17,3141,Jeffrey Long made Free Throw.,31,45
2:17,3141,Jeffrey Long missed Free Throw.,31,45
2:17,2000,Jaylen Franklin Defensive Rebound.,31,45
1:52,2000,Isaiah Tripp made Three Point Jumper. Assisted by Hayden Howell.,31,48
1:32,2000,Foul on Isaiah Tripp.,31,48
1:32,3141,Ezini Ugbisien missed Free Throw.,31,48
1:32,3141,Northern New Mexico Deadball Team Rebound.,31,48
1:32,3141,Ezini Ugbisien made Free Throw.,32,48
1:13,2000,Isaiah Tripp missed Three Point Jumper.,32,48
1:13,2000,Hayden Farquhar Offensive Rebound.,32,48
1:08,2000,Hayden Farquhar missed Layup.,32,48
1:08,3141,Christian Owona Defensive Rebound.,32,48
0:56,3141,Eric Coca made Jumper.,34,48
0:42,2000,Jovan Crnic missed Three Point Jumper.,34,48
0:42,3141,Ezini Ugbisien Defensive Rebound.,34,48
0:32,3141,Austin Gibson missed Three Point Jumper.,34,48
0:32,2000,Hayden Howell Defensive Rebound.,34,48
0:01,2000,Hayden Farquhar made Three Point Jumper. Assisted by Jovan Crnic.,34,51
0:00,2000,End of 1st half,34,51
19:46,2000,Foul on Hayden Howell.,34,51
19:42,3141,Michael Nolan Turnover.,34,51
19:39,2000,Jaylen Franklin Steal.,34,51
19:37,2000,Jaylen Franklin made Layup.,34,53
19:15,3141,Mikaere Watene missed Layup.,34,53
19:15,3141,Eric Coca Offensive Rebound.,34,53
19:13,3141,Eric Coca made Jumper.,36,53
19:02,3141,Foul on Mikaere Watene.,36,53
19:02,2000,Hayden Howell missed Free Throw.,36,53
19:02,2000,Abilene Christian Deadball Team Rebound.,36,53
19:02,2000,Hayden Howell made Free Throw.,36,54
18:42,3141,Mikaere Watene missed Layup.,36,54
18:42,2000,Jaren Lewis Defensive Rebound.,36,54
18:27,2000,Jaren Lewis missed Jumper.,36,54
18:27,2000,B.J. Maxwell Offensive Rebound.,36,54
18:23,2000,B.J. Maxwell missed Jumper.,36,54
18:23,3141,Mikaere Watene Defensive Rebound.,36,54
18:14,3141,Michael Nolan missed Three Point Jumper.,36,54
18:14,2000,B.J. Maxwell Defensive Rebound.,36,54
18:00,2000,Jaren Lewis made Layup.,36,56
17:28,3141,Mikaere Watene missed Jumper.,36,56
17:28,2000,Hayden Howell Defensive Rebound.,36,56
17:13,2000,Jaylen Franklin missed Layup.,36,56
17:13,3141,Eric Coca Defensive Rebound.,36,56
16:56,3141,Mikaere Watene made Layup.,38,56
16:56,2000,Foul on Hayden Howell.,38,56
16:56,3141,Mikaere Watene made Free Throw.,39,56
16:37,2000,Jaren Lewis made Jumper. Assisted by Jovan Crnic.,39,58
16:07,3141,Bryce Simmons made Three Point Jumper.,42,58
15:45,2000,Jovan Crnic missed Three Point Jumper.,42,58
15:45,3141,Austin Gibson Defensive Rebound.,42,58
15:25,3141,Adrian Infante Turnover.,42,58
15:24,2000,Jaylen Franklin Steal.,42,58
15:22,2000,Jovan Crnic made Layup. Assisted by B.J. Maxwell.,42,60
15:02,3141,Austin Gibson Turnover.,42,60
14:56,2000,Jaylen Franklin Steal.,42,60
14:55,2000,Jaylen Franklin Turnover.,42,60
14:41,3141,Adrian Infante Turnover.,42,60
14:39,2000,Drake Green Steal.,42,60
14:31,2000,Jalone Friday made Jumper. Assisted by Jaren Lewis.,42,62
14:16,3141,Delino Lewis Turnover.,42,62
14:14,2000,Jaren Lewis Steal.,42,62
14:13,2000,Jaren Lewis made Dunk.,42,64
13:48,2000,Foul on Jaylen Franklin.,42,64
13:42,3141,Ezini Ugbisien missed Jumper.,42,64
13:42,2000,Hayden Farquhar Block.,42,64
13:42,3141,Northern New Mexico Offensive Rebound.,42,64
13:33,3141,Mikaere Watene Turnover.,42,64
13:14,3141,Foul on Malik Woods-Williams.,42,64
13:14,2000,Jalone Friday made Free Throw.,42,65
13:14,2000,Jalone Friday made Free Throw.,42,66
12:49,3141,Malik Woods-Williams made Three Point Jumper. Assisted by Ezini Ugbisien.,45,66
12:36,2000,Drake Green missed Jumper.,45,66
12:36,3141,Delino Lewis Defensive Rebound.,45,66
12:27,3141,Malik Woods-Williams missed Three Point Jumper.,45,66
12:27,2000,Diamante Langston Defensive Rebound.,45,66
12:10,2000,Jalone Friday missed Layup.,45,66
12:10,2000,Jalone Friday Offensive Rebound.,45,66
12:00,2000,Drake Green made Three Point Jumper. Assisted by Hayden Farquhar.,45,69
11:46,3141,Delino Lewis missed Jumper.,45,69
11:46,2000,Abilene Christian Defensive Rebound.,45,69
11:46,2000,Official TV Timeout,45,69
11:31,2000,Diamante Langston Turnover.,45,69
11:30,3141,Jeffrey Long Steal.,45,69
11:27,3141,Jeffrey Long made Layup.,47,69
10:57,2000,Foul on Jalone Friday.,47,69
10:57,2000,Jalone Friday Turnover.,47,69
10:45,3141,Malik Woods-Williams made Three Point Jumper. Assisted by Jeffrey Long.,50,69
10:27,2000,Jalone Friday made Jumper. Assisted by Isaiah Tripp.,50,71
10:03,2000,Foul on Hayden Farquhar.,50,71
10:01,3141,Bryce Simmons made Free Throw.,51,71
10:01,3141,Bryce Simmons made Free Throw.,52,71
9:49,3141,Foul on Delino Lewis.,52,71
9:33,2000,Jalone Friday made Layup. Assisted by Payten Ricks.,52,73
9:33,3141,Foul on Ezini Ugbisien.,52,73
9:33,2000,Jalone Friday made Free Throw.,52,74
9:21,3141,Ezini Ugbisien made Layup. Assisted by Bryce Simmons.,54,74
9:21,2000,Foul on Trey Lenox.,54,74
9:21,3141,Ezini Ugbisien made Free Throw.,55,74
9:06,2000,Payten Ricks missed Three Point Jumper.,55,74
9:06,3141,Jeffrey Long Defensive Rebound.,55,74
8:58,3141,Bryce Simmons missed Three Point Jumper.,55,74
8:58,2000,Hayden Farquhar Defensive Rebound.,55,74
8:50,2000,Jaren Lewis made Layup. Assisted by Isaiah Tripp.,55,76
8:37,2000,Foul on Payten Ricks.,55,76
8:37,3141,Delino Lewis missed Free Throw.,55,76
8:37,2000,Jaren Lewis Defensive Rebound.,55,76
8:25,2000,Hayden Farquhar missed Three Point Jumper.,55,76
8:25,3141,Delino Lewis Defensive Rebound.,55,76
8:06,3141,Jeffrey Long missed Three Point Jumper.,55,76
8:06,3141,Malik Woods-Williams Offensive Rebound.,55,76
8:03,3141,Malik Woods-Williams missed Jumper.,55,76
8:03,2000,Isaiah Tripp Block.,55,76
8:01,2000,Hayden Farquhar Defensive Rebound.,55,76
7:56,3141,Foul on Delino Lewis.,55,76
7:56,2000,Official TV Timeout,55,76
7:44,2000,Jaren Lewis missed Jumper.,55,76
7:44,3141,Eric Coca Defensive Rebound.,55,76
7:20,3141,Austin Gibson made Layup.,57,76
7:06,2000,Hayden Farquhar Turnover.,57,76
6:57,2000,Foul on Trey Lenox.,57,76
6:57,3141,Bryce Simmons made Free Throw.,58,76
6:57,3141,Bryce Simmons missed Free Throw.,58,76
6:57,2000,Hayden Farquhar Defensive Rebound.,58,76
6:46,2000,Jaren Lewis Turnover.,58,76
6:36,3141,Bryce Simmons missed Jumper.,58,76
6:36,2000,Jovan Crnic Defensive Rebound.,58,76
6:32,2000,Jovan Crnic Turnover.,58,76
6:12,2000,Foul on Diamante Langston.,58,76
6:12,3141,Austin Gibson missed Free Throw.,58,76
6:12,2000,Hayden Farquhar Defensive Rebound.,58,76
5:54,2000,Hayden Farquhar missed Three Point Jumper.,58,76
5:54,3141,Jeffrey Long Defensive Rebound.,58,76
5:46,3141,Jeffrey Long made Layup.,60,76
5:18,2000,Jaylen Franklin missed Layup.,60,76
5:18,2000,Hayden Farquhar Offensive Rebound.,60,76
5:18,2000,Hayden Farquhar missed Layup.,60,76
5:18,2000,Hayden Farquhar Offensive Rebound.,60,76
5:18,2000,Hayden Farquhar made Layup.,60,78
5:18,3141,Foul on Austin Gibson.,60,78
5:18,2000,Hayden Farquhar missed Free Throw.,60,78
5:18,3141,Jeffrey Long Defensive Rebound.,60,78
5:08,2000,Foul on Hayden Farquhar.,60,78
5:08,3141,Jeffrey Long made Free Throw.,61,78
5:08,3141,Jeffrey Long made Free Throw.,62,78
4:58,2000,Diamante Langston Turnover.,62,78
4:57,3141,Jeffrey Long Steal.,62,78
4:54,3141,Jeffrey Long made Layup.,64,78
4:36,3141,Foul on Ezini Ugbisien.,64,78
4:36,2000,Jaren Lewis made Free Throw.,64,79
4:36,2000,Jaren Lewis made Free Throw.,64,80
4:27,3141,Jeffrey Long Turnover.,64,80
4:26,2000,Jaylen Franklin Steal.,64,80
4:23,2000,Jaylen Franklin made Dunk. Assisted by B.J. Maxwell.,64,82
4:04,2000,Foul on Hayden Howell.,64,82
4:01,3141,Ezini Ugbisien made Free Throw.,65,82
4:01,3141,Ezini Ugbisien made Free Throw.,66,82
3:49,2000,Jaylen Franklin missed Layup.,66,82
3:49,3141,Mikaere Watene Defensive Rebound.,66,82
3:29,3141,Bryce Simmons missed Three Point Jumper.,66,82
3:29,2000,Hayden Howell Defensive Rebound.,66,82
3:21,2000,Jaylen Franklin Turnover.,66,82
3:20,2000,Official TV Timeout,66,82
3:10,3141,Eric Coca missed Three Point Jumper.,66,82
3:10,2000,Hayden Howell Defensive Rebound.,66,82
2:55,2000,Jaylen Franklin made Layup. Assisted by Payten Ricks.,66,84
2:37,3141,Ezini Ugbisien missed Jumper.,66,84
2:37,2000,Hayden Howell Defensive Rebound.,66,84
2:22,3141,Foul on Ezini Ugbisien.,66,84
2:22,2000,Payten Ricks made Free Throw.,66,85
2:22,2000,Payten Ricks made Free Throw.,66,86
2:09,3141,Jeffrey Long Turnover.,66,86
2:08,2000,Payten Ricks Steal.,66,86
1:58,3141,Foul on Adrian Infante.,66,86
1:58,2000,Trey Lenox made Free Throw.,66,87
1:58,2000,Trey Lenox made Free Throw.,66,88
1:43,3141,Brandon Saiz missed Three Point Jumper.,66,88
1:43,2000,B.J. Maxwell Defensive Rebound.,66,88
1:30,2000,Hayden Farquhar made Jumper.,66,90
1:12,3141,Adrian Infante Turnover.,66,90
1:11,2000,Payten Ricks Steal.,66,90
0:53,2000,Jadon Reynolds Turnover.,66,90
0:52,3141,Eric Coca Steal.,66,90
0:49,3141,Eric Coca made Layup.,68,90
0:47,3141,Northern New Mexico  Timeout,68,90
0:38,2000,Jadon Reynolds missed Three Point Jumper.,68,90
0:38,3141,Mikaere Watene Defensive Rebound.,68,90
0:23,3141,Augustus Cuch missed Three Point Jumper.,68,90
0:23,3141,Ezini Ugbisien Offensive Rebound.,68,90
0:19,2000,Foul on Hayden Farquhar.,68,90
0:17,3141,Ezini Ugbisien missed Free Throw.,68,90
0:17,3141,Northern New Mexico Deadball Team Rebound.,68,90
0:17,3141,Ezini Ugbisien made Free Throw.,69,90
0:00,2000,End of Game,69,90
