East Tennessee State,2168,Dayton,2193
13:14,2168,Scoochie Smith Defensive Rebound.,10,13
13:07,2168,Scoochie Smith missed Jumper.,10,13
13:07,2193,David Burrell Defensive Rebound.,10,13
13:00,2193,Jermaine Long missed Three Point Jumper.,10,13
13:00,2168,Sam Miller Defensive Rebound.,10,13
12:53,2168,Charles Cooke Turnover.,10,13
12:39,2193,David Burrell made Three Point Jumper. Assisted by Jason Williams.,13,13
12:24,2168,Charles Cooke made Three Point Jumper. Assisted by John Crosby.,13,16
11:50,2193,East Tennessee St  Turnover.,13,16
11:50,2168,Official TV Timeout,13,16
11:38,2168,Charles Cooke missed Three Point Jumper.,13,16
11:38,2193,A.J. Merriweather Defensive Rebound.,13,16
11:12,2193,David Burrell made Jumper.,15,16
11:04,2193,Foul on Jason Williams.,15,16
11:04,2168,John Crosby missed Free Throw.,15,16
11:04,2168,Dayton Deadball Team Rebound.,15,16
11:04,2168,John Crosby made Free Throw.,15,17
10:52,2193,East Tennessee St  Turnover.,15,17
10:41,2168,Foul on John Crosby.,15,17
10:41,2168,John Crosby Turnover.,15,17
10:34,2168,Foul on Ryan Mikesell.,15,17
10:21,2193,Hanner Mosquera-Perea Turnover.,15,17
10:21,2168,John Crosby Steal.,15,17
10:11,2168,John Crosby missed Jumper.,15,17
10:11,2168,Kendall Pollard Offensive Rebound.,15,17
10:08,2168,Kendall Pollard made Jumper.,15,19
9:48,2193,David Burrell missed Jumper.,15,19
9:48,2168,Kendall Pollard Defensive Rebound.,15,19
9:40,2168,Kendall Pollard missed Jumper.,15,19
9:40,2168,Xeyrius Williams Offensive Rebound.,15,19
9:24,2168,Kendall Pollard Turnover.,15,19
9:17,2193,Foul on Desonta Bradford.,15,19
9:17,2193,Desonta Bradford Turnover.,15,19
9:03,2168,Scoochie Smith missed Three Point Jumper.,15,19
9:03,2193,A.J. Merriweather Defensive Rebound.,15,19
8:52,2193,Desonta Bradford Turnover.,15,19
8:49,2193,Foul on Desonta Bradford.,15,19
8:37,2168,Xeyrius Williams made Jumper. Assisted by Kyle Davis.,15,21
8:20,2193,T.J. Cromer missed Three Point Jumper.,15,21
8:20,2168,Darrell Davis Defensive Rebound.,15,21
7:50,2168,Darrell Davis Turnover.,15,21
7:49,2193,A.J. Merriweather Steal.,15,21
7:33,2193,Tevin Glass Turnover.,15,21
7:31,2168,Kyle Davis Steal.,15,21
7:28,2168,Kyle Davis made Layup. Assisted by Xeyrius Williams.,15,23
7:28,2168,Official TV Timeout,15,23
7:15,2193,Julian Walters made Three Point Jumper. Assisted by T.J. Cromer.,18,23
6:55,2193,Foul on David Burrell.,18,23
6:55,2168,Kendall Pollard missed Free Throw.,18,23
6:55,2168,Dayton Deadball Team Rebound.,18,23
6:55,2168,Kendall Pollard made Free Throw.,18,24
6:37,2193,A.J. Merriweather missed Jumper.,18,24
6:37,2168,Charles Cooke Defensive Rebound.,18,24
6:20,2168,Charles Cooke Turnover.,18,24
6:17,2193,Hanner Mosquera-Perea Steal.,18,24
6:04,2193,T.J. Cromer missed Jumper.,18,24
6:04,2193,Hanner Mosquera-Perea Offensive Rebound.,18,24
5:49,2193,A.J. Merriweather missed Three Point Jumper.,18,24
5:49,2168,Scoochie Smith Defensive Rebound.,18,24
5:37,2168,Kyle Davis missed Three Point Jumper.,18,24
5:37,2168,Xeyrius Williams Offensive Rebound.,18,24
5:32,2168,Xeyrius Williams made Two Point Tip Shot.,18,26
5:13,2193,Julian Walters missed Jumper.,18,26
5:13,2168,Sam Miller Block.,18,26
5:13,2193,East Tennessee St Offensive Rebound.,18,26
5:07,2193,T.J. Cromer missed Jumper.,18,26
5:07,2168,Sam Miller Defensive Rebound.,18,26
5:05,2193,Foul on T.J. Cromer.,18,26
5:05,2168,Sam Miller made Free Throw.,18,27
5:05,2168,Sam Miller made Free Throw.,18,28
4:52,2193,T.J. Cromer Turnover.,18,28
4:50,2168,Charles Cooke Steal.,18,28
4:48,2168,Kyle Davis made Jumper. Assisted by Charles Cooke.,18,30
4:44,2193,East Tennessee St  Timeout,18,30
4:30,2193,David Burrell made Dunk. Assisted by Jermaine Long.,20,30
3:56,2168,Scoochie Smith missed Jumper.,20,30
3:56,2193,David Burrell Block.,20,30
3:54,2193,T.J. Cromer Defensive Rebound.,20,30
3:48,2193,T.J. Cromer missed Jumper.,20,30
3:48,2168,Charles Cooke Block.,20,30
3:48,2193,East Tennessee St Offensive Rebound.,20,30
3:47,2168,Official TV Timeout,20,30
3:47,2193,Jermaine Long missed Jumper.,20,30
3:47,2168,Charles Cooke Block.,20,30
3:45,2168,Kendall Pollard Defensive Rebound.,20,30
3:39,2168,Scoochie Smith made Layup.,20,32
3:27,2193,David Burrell Turnover.,20,32
3:24,2168,Charles Cooke Steal.,20,32
3:19,2168,Foul on Kendall Pollard.,20,32
3:19,2168,Kendall Pollard Turnover.,20,32
3:06,2193,Tevin Glass made Jumper. Assisted by Isaac Banks.,22,32
2:55,2168,Kyle Davis missed Jumper.,22,32
2:55,2193,Isaac Banks Defensive Rebound.,22,32
2:46,2193,Julian Walters missed Three Point Jumper.,22,32
2:46,2168,Charles Cooke Defensive Rebound.,22,32
2:31,2168,Sam Miller made Jumper. Assisted by Kendall Pollard.,22,34
2:13,2193,Isaac Banks missed Jumper.,22,34
2:13,2168,Charles Cooke Block.,22,34
2:13,2168,Charles Cooke Defensive Rebound.,22,34
1:44,2168,Scoochie Smith missed Three Point Jumper.,22,34
1:44,2193,Isaac Banks Defensive Rebound.,22,34
1:31,2193,T.J. Cromer missed Jumper.,22,34
1:31,2168,Kendall Pollard Defensive Rebound.,22,34
1:13,2168,Charles Cooke missed Three Point Jumper.,22,34
1:13,2193,Isaac Banks Defensive Rebound.,22,34
0:51,2193,A.J. Merriweather missed Jumper.,22,34
0:51,2168,Kendall Pollard Defensive Rebound.,22,34
0:43,2168,Charles Cooke made Layup. Assisted by Kyle Davis.,22,36
0:42,2193,Foul on T.J. Cromer.,22,36
0:42,2168,Charles Cooke made Free Throw.,22,37
0:22,2193,Devontavius Payne made Three Point Jumper. Assisted by Tevin Glass.,25,37
0:01,2168,Xeyrius Williams missed Three Point Jumper.,25,37
0:01,2193,T.J. Cromer Block.,25,37
0:00,2193,Tevin Glass Defensive Rebound.,25,37
0:00,2168,End of 1st half,25,37
19:54,2193,Desonta Bradford made Dunk.,27,37
19:26,2168,Charles Cooke missed Jumper.,27,37
19:26,2168,Ryan Mikesell Offensive Rebound.,27,37
19:19,2168,Ryan Mikesell made Two Point Tip Shot.,27,39
19:06,2193,Desonta Bradford missed Jumper.,27,39
19:06,2168,Scoochie Smith Defensive Rebound.,27,39
19:00,2168,Kyle Davis made Dunk. Assisted by Ryan Mikesell.,27,41
18:44,2193,A.J. Merriweather Turnover.,27,41
18:24,2168,Kyle Davis Turnover.,27,41
18:01,2193,Desonta Bradford Turnover.,27,41
17:40,2168,Kendall Pollard made Jumper.,27,43
17:10,2193,T.J. Cromer missed Jumper.,27,43
17:10,2168,Kyle Davis Block.,27,43
17:08,2168,Scoochie Smith Defensive Rebound.,27,43
16:38,2168,Charles Cooke missed Three Point Jumper.,27,43
16:38,2193,David Burrell Defensive Rebound.,27,43
16:30,2193,Desonta Bradford missed Layup.,27,43
16:30,2168,Kendall Pollard Defensive Rebound.,27,43
16:24,2193,Foul on A.J. Merriweather.,27,43
16:17,2168,Kendall Pollard made Jumper. Assisted by Charles Cooke.,27,45
16:17,2193,Foul on A.J. Merriweather.,27,45
16:17,2168,Kendall Pollard made Free Throw.,27,46
15:59,2168,Foul on Kendall Pollard.,27,46
15:59,2168,Official TV Timeout,27,46
15:59,2193,Hanner Mosquera-Perea missed Free Throw.,27,46
15:59,2193,East Tennessee St Deadball Team Rebound.,27,46
15:59,2193,Hanner Mosquera-Perea missed Free Throw.,27,46
15:59,2168,Kendall Pollard Defensive Rebound.,27,46
15:38,2168,Kendall Pollard missed Jumper.,27,46
15:38,2193,David Burrell Defensive Rebound.,27,46
15:26,2193,T.J. Cromer missed Three Point Jumper.,27,46
15:26,2168,Kyle Davis Defensive Rebound.,27,46
15:10,2168,Charles Cooke missed Three Point Jumper.,27,46
15:10,2193,Desonta Bradford Defensive Rebound.,27,46
15:01,2193,David Burrell made Dunk. Assisted by Desonta Bradford.,29,46
14:39,2168,Scoochie Smith missed Three Point Jumper.,29,46
14:39,2168,Sam Miller Offensive Rebound.,29,46
14:31,2193,Foul on Desonta Bradford.,29,46
14:31,2168,Scoochie Smith made Free Throw.,29,47
14:31,2168,Scoochie Smith missed Free Throw.,29,47
14:31,2193,Desonta Bradford Defensive Rebound.,29,47
14:13,2193,Devontavius Payne missed Jumper.,29,47
14:13,2168,Scoochie Smith Defensive Rebound.,29,47
13:55,2168,Charles Cooke made Jumper.,29,49
13:36,2193,Isaac Banks Turnover.,29,49
13:25,2168,Charles Cooke made Layup.,29,51
12:59,2193,Isaac Banks made Jumper.,31,51
12:59,2168,Foul on Sam Miller.,31,51
12:59,2193,Isaac Banks made Free Throw.,32,51
12:46,2168,John Crosby Turnover.,32,51
12:45,2193,Isaac Banks Steal.,32,51
12:41,2193,Desonta Bradford Turnover.,32,51
12:40,2168,John Crosby Steal.,32,51
12:38,2168,John Crosby made Layup.,32,53
12:35,2168,Dayton  Timeout,32,53
12:21,2168,Foul on Xeyrius Williams.,32,53
12:21,2193,T.J. Cromer made Free Throw.,33,53
12:21,2193,T.J. Cromer missed Free Throw.,33,53
12:21,2193,Tevin Glass Offensive Rebound.,33,53
12:20,2168,Foul on Xeyrius Williams.,33,53
12:20,2193,Tevin Glass made Free Throw.,34,53
12:20,2193,Tevin Glass made Free Throw.,35,53
11:54,2193,Foul on Isaac Banks.,35,53
11:54,2168,Official TV Timeout,35,53
11:54,2168,Sam Miller made Free Throw.,35,54
11:54,2168,Sam Miller made Free Throw.,35,55
11:39,2193,Devontavius Payne missed Three Point Jumper.,35,55
11:39,2168,John Crosby Defensive Rebound.,35,55
11:13,2168,Charles Cooke missed Jumper.,35,55
11:13,2193,Tevin Glass Defensive Rebound.,35,55
11:03,2193,Desonta Bradford missed Jumper.,35,55
11:03,2168,Sam Miller Defensive Rebound.,35,55
10:56,2168,John Crosby made Layup. Assisted by Sam Miller.,35,57
10:34,2193,Devontavius Payne missed Three Point Jumper.,35,57
10:34,2168,Charles Cooke Defensive Rebound.,35,57
10:27,2168,Charles Cooke Turnover.,35,57
10:25,2193,Tevin Glass Steal.,35,57
10:23,2193,Tevin Glass made Layup.,37,57
10:21,2193,East Tennessee St  Timeout,37,57
9:49,2168,Kyle Davis missed Three Point Jumper.,37,57
9:49,2193,T.J. Cromer Defensive Rebound.,37,57
9:43,2193,T.J. Cromer Turnover.,37,57
9:25,2168,Ryan Mikesell missed Three Point Jumper.,37,57
9:25,2193,Devontavius Payne Defensive Rebound.,37,57
9:10,2193,T.J. Cromer missed Jumper.,37,57
9:10,2168,Kyle Davis Defensive Rebound.,37,57
9:04,2168,Scoochie Smith made Layup. Assisted by Kyle Davis.,37,59
8:45,2193,Julian Walters missed Three Point Jumper.,37,59
8:45,2168,Kendall Pollard Defensive Rebound.,37,59
8:29,2168,John Crosby made Jumper.,37,61
8:11,2168,Foul on Kyle Davis.,37,61
8:11,2193,Hanner Mosquera-Perea made Free Throw.,38,61
8:11,2193,Hanner Mosquera-Perea made Free Throw.,39,61
7:51,2168,Ryan Mikesell Turnover.,39,61
7:51,2168,Official TV Timeout,39,61
7:44,2168,Foul on Kyle Davis.,39,61
7:44,2193,Hanner Mosquera-Perea missed Free Throw.,39,61
7:44,2193,East Tennessee St Deadball Team Rebound.,39,61
7:44,2193,Hanner Mosquera-Perea made Free Throw.,40,61
7:24,2168,Kendall Pollard made Jumper.,40,63
7:08,2193,Desonta Bradford made Jumper.,42,63
6:46,2168,Scoochie Smith missed Jumper.,42,63
6:46,2193,Desonta Bradford Defensive Rebound.,42,63
6:39,2193,Desonta Bradford made Three Point Jumper.,45,63
6:29,2193,Foul on Desonta Bradford.,45,63
6:14,2168,Kendall Pollard missed Jumper.,45,63
6:14,2193,Jason Williams Defensive Rebound.,45,63
6:07,2168,Foul on Scoochie Smith.,45,63
6:07,2193,Jason Williams made Free Throw.,46,63
6:07,2193,Jason Williams made Free Throw.,47,63
6:04,2193,Foul on Jason Williams.,47,63
5:54,2168,Charles Cooke missed Jumper.,47,63
5:54,2193,Hanner Mosquera-Perea Defensive Rebound.,47,63
5:47,2193,Jason Williams missed Three Point Jumper.,47,63
5:47,2168,Kyle Davis Defensive Rebound.,47,63
5:17,2168,Charles Cooke made Three Point Jumper. Assisted by Scoochie Smith.,47,66
5:03,2168,Foul on Kyle Davis.,47,66
5:03,2193,Jason Williams made Free Throw.,48,66
5:03,2193,Jason Williams made Free Throw.,49,66
4:44,2168,Scoochie Smith missed Three Point Jumper.,49,66
4:44,2193,Jason Williams Defensive Rebound.,49,66
4:21,2193,Jason Williams missed Layup.,49,66
4:21,2168,Kendall Pollard Defensive Rebound.,49,66
4:14,2168,Scoochie Smith made Layup. Assisted by Kendall Pollard.,49,68
3:59,2168,Foul on Scoochie Smith.,49,68
3:59,2168,Official TV Timeout,49,68
3:59,2193,Desonta Bradford made Free Throw.,50,68
3:59,2193,Desonta Bradford made Free Throw.,51,68
3:38,2193,Foul on Jason Williams.,51,68
3:38,2168,Darrell Davis missed Free Throw.,51,68
3:38,2193,Desonta Bradford Defensive Rebound.,51,68
3:25,2193,Hanner Mosquera-Perea made Dunk. Assisted by Desonta Bradford.,53,68
2:50,2168,Kendall Pollard missed Three Point Jumper.,53,68
2:50,2193,Desonta Bradford Defensive Rebound.,53,68
2:45,2193,David Burrell missed Layup.,53,68
2:44,2168,Kendall Pollard Block.,53,68
2:43,2168,Charles Cooke Defensive Rebound.,53,68
2:40,2168,Charles Cooke made Free Throw.,53,69
2:40,2168,Charles Cooke made Free Throw.,53,70
2:30,2193,Jason Williams Turnover.,53,70
2:11,2193,Foul on Devontavius Payne.,53,70
2:11,2168,Charles Cooke made Free Throw.,53,71
2:11,2168,Charles Cooke missed Free Throw.,53,71
2:11,2193,Hanner Mosquera-Perea Defensive Rebound.,53,71
1:59,2193,Devontavius Payne made Layup. Assisted by Desonta Bradford.,55,71
1:27,2168,Scoochie Smith made Layup. Assisted by Kendall Pollard.,55,73
1:11,2193,David Burrell made Three Point Jumper. Assisted by Devontavius Payne.,58,73
0:43,2168,Ryan Mikesell missed Layup.,58,73
0:43,2168,Charles Cooke Offensive Rebound.,58,73
0:41,2168,Charles Cooke made Jumper.,58,75
0:41,2193,Foul on Hanner Mosquera-Perea.,58,75
0:41,2168,Charles Cooke missed Free Throw.,58,75
0:41,2193,David Burrell Defensive Rebound.,58,75
0:36,2193,David Burrell missed Jumper.,58,75
0:36,2168,Sam Miller Block.,58,75
0:36,2193,East Tennessee St Offensive Rebound.,58,75
0:30,2193,Desonta Bradford made Three Point Jumper. Assisted by Jason Williams.,61,75
0:00,2168,End of Game,61,75
