University of Great Falls,Error,Seattle,2547
9:58,-1,Matthew Brooks-McGregor Turnover.,37,63
9:58,2547,Scott Ulaneo Steal.,37,63
9:38,2547,Mattia Da Campo made Layup.,37,65
9:21,2547,Foul on Scott Ulaneo.,37,65
9:21,-1,Sergio Berkley made Free Throw.,38,65
9:21,-1,Sergio Berkley missed Free Throw.,38,65
9:21,-1,Treyvon Bashir Offensive Rebound.,38,65
9:16,-1,Sergio Berkley missed Jumper.,38,65
9:16,2547,Manroop Clair Defensive Rebound.,38,65
9:07,2547,Emmanuel Chibuogwu made Layup. Assisted by Manroop Clair.,38,67
8:52,-1,Sergio Berkley made Jumper.,40,67
8:45,2547,Mattia Da Campo Turnover.,40,67
8:45,2547,Seattle  Timeout,40,67
8:43,-1,Treyvon Bashir missed Jumper.,40,67
8:43,-1,Great Falls Offensive Rebound.,40,67
8:40,2547,Foul on Scott Ulaneo.,40,67
8:40,-1,Tymarieh Dixon made Free Throw.,41,67
8:40,-1,Tymarieh Dixon made Free Throw.,42,67
8:18,2547,Matej Kavas made Jumper.,42,69
8:05,-1,Davone Oliver Jr. missed Three Point Jumper.,42,69
8:05,2547,Mattia Da Campo Defensive Rebound.,42,69
7:47,2547,Manroop Clair missed Three Point Jumper.,42,69
7:47,-1,Tymarieh Dixon Defensive Rebound.,42,69
7:23,-1,Tymarieh Dixon missed Three Point Jumper.,42,69
7:23,2547,Matej Kavas Defensive Rebound.,42,69
7:11,2547,Emmanuel Chibuogwu missed Jumper.,42,69
7:11,-1,Tymarieh Dixon Block.,42,69
7:10,-1,Jared Schultz Defensive Rebound.,42,69
7:04,-1,Matthew Brooks-McGregor missed Layup.,42,69
7:04,-1,Tymarieh Dixon Offensive Rebound.,42,69
7:00,-1,Tymarieh Dixon missed Two Point Tip Shot.,42,69
7:00,2547,Mattia Da Campo Defensive Rebound.,42,69
6:53,2547,Jack Shaughnessy made Three Point Jumper. Assisted by Mattia Da Campo.,42,72
6:30,2547,Foul on Mattia Da Campo.,42,72
6:30,2547,Official TV Timeout,42,72
6:17,-1,Matthew Brooks-McGregor missed Three Point Jumper.,42,72
6:17,2547,Zack Moore Defensive Rebound.,42,72
6:05,2547,Manroop Clair missed Three Point Jumper.,42,72
6:05,-1,Treyvon Bashir Defensive Rebound.,42,72
5:52,-1,Davone Oliver Jr. missed Three Point Jumper.,42,72
5:52,2547,Manroop Clair Defensive Rebound.,42,72
5:39,2547,Matej Kavas made Three Point Jumper. Assisted by Manroop Clair.,42,75
5:22,2547,Foul on Mattia Da Campo.,42,75
5:00,-1,Frank Gump III missed Jumper.,42,75
5:00,2547,Manroop Clair Defensive Rebound.,42,75
4:44,2547,Jack Shaughnessy missed Three Point Jumper.,42,75
4:44,2547,Matej Kavas Offensive Rebound.,42,75
4:36,2547,Zack Moore missed Three Point Jumper.,42,75
4:36,-1,Sergio Berkley Defensive Rebound.,42,75
4:28,2547,Foul on Jack Shaughnessy.,42,75
4:28,-1,Sergio Berkley made Free Throw.,43,75
4:28,-1,Sergio Berkley made Free Throw.,44,75
4:20,2547,Zack Moore missed Three Point Jumper.,44,75
4:20,2547,Mattia Da Campo Offensive Rebound.,44,75
4:06,2547,Manroop Clair missed Three Point Jumper.,44,75
4:06,2547,Mattia Da Campo Offensive Rebound.,44,75
4:02,2547,Mattia Da Campo made Two Point Tip Shot.,44,77
3:56,2547,Foul on Matej Kavas.,44,77
3:56,2547,Official TV Timeout,44,77
3:56,-1,Sergio Berkley made Free Throw.,45,77
3:55,-1,Sergio Berkley missed Free Throw.,45,77
3:55,2547,Manroop Clair Defensive Rebound.,45,77
3:42,-1,Foul on Jarred Burr.,45,77
3:38,2547,Jack Shaughnessy missed Three Point Jumper.,45,77
3:38,2547,Manroop Clair Offensive Rebound.,45,77
3:32,2547,Manroop Clair missed Three Point Jumper.,45,77
3:32,2547,Mattia Da Campo Offensive Rebound.,45,77
3:25,2547,Manroop Clair made Jumper.,45,79
3:13,2547,Foul on Jack Shaughnessy.,45,79
3:13,-1,Jared Schultz made Free Throw.,46,79
3:13,-1,Jared Schultz made Free Throw.,47,79
3:08,-1,Foul on Jared Schultz.,47,79
3:08,2547,Jack Shaughnessy made Free Throw.,47,80
3:08,2547,Jack Shaughnessy missed Free Throw.,47,80
3:08,-1,Jared Schultz Defensive Rebound.,47,80
2:51,-1,Jarred Burr missed Jumper.,47,80
2:51,2547,Matej Kavas Defensive Rebound.,47,80
2:40,2547,Matej Kavas missed Three Point Jumper.,47,80
2:40,2547,Mattia Da Campo Offensive Rebound.,47,80
2:29,2547,Manroop Clair missed Layup.,47,80
2:29,-1,Tymarieh Dixon Defensive Rebound.,47,80
2:03,-1,Jared Schultz missed Three Point Jumper.,47,80
2:03,2547,Manroop Clair Defensive Rebound.,47,80
1:48,-1,Foul on Jared Schultz.,47,80
1:48,2547,Jack Shaughnessy made Free Throw.,47,81
1:48,2547,Jack Shaughnessy made Free Throw.,47,82
1:31,-1,Tymarieh Dixon missed Jumper.,47,82
1:31,2547,Mattia Da Campo Defensive Rebound.,47,82
1:22,2547,Manroop Clair made Three Point Jumper. Assisted by Zack Moore.,47,85
0:59,-1,Sergio Berkley missed Three Point Jumper.,47,85
0:59,2547,Zack Moore Defensive Rebound.,47,85
0:52,2547,Matej Kavas made Layup. Assisted by Jack Shaughnessy.,47,87
0:40,-1,Tymarieh Dixon missed Jumper.,47,87
0:40,2547,Manroop Clair Defensive Rebound.,47,87
0:21,2547,Matej Kavas made Three Point Jumper. Assisted by Jack Shaughnessy.,47,90
0:08,-1,Iain Carr made Jumper. Assisted by Tymarieh Dixon.,49,90
0:00,2547,End of Game,49,90
