Sam Houston State,79,Southern Illinois,2534
11:30,2534,Foul on Jamal Williams.,20,13
11:30,79,Official TV Timeout,20,13
11:24,79,Leo Vincent missed Three Point Jumper.,20,13
11:24,2534,Phillip Jones Jr. Defensive Rebound.,20,13
11:09,79,Foul on Sean Lloyd.,20,13
11:09,2534,Christopher Galbreath Jr. made Free Throw.,21,13
11:09,2534,Christopher Galbreath Jr. made Free Throw.,22,13
11:03,79,Austin Weiher Turnover.,22,13
10:50,2534,John Dewey III missed Jumper.,22,13
10:50,79,Southern Illinois Defensive Rebound.,22,13
10:47,2534,Foul on Albert Almanza.,22,13
10:47,79,Sean Lloyd made Free Throw.,22,14
10:47,79,Sean Lloyd made Free Throw.,22,15
10:22,2534,Phillip Jones Jr. made Dunk. Assisted by John Dewey III.,24,15
10:05,79,Sean Lloyd made Layup.,24,17
9:51,2534,Albert Almanza missed Three Point Jumper.,24,17
9:51,79,Sean O'Brien Defensive Rebound.,24,17
9:45,2534,Foul on Jamal Williams.,24,17
9:45,79,Armon Fletcher made Free Throw.,24,18
9:45,79,Armon Fletcher made Free Throw.,24,19
9:19,2534,Torry Butler missed Jumper.,24,19
9:19,79,Sean O'Brien Defensive Rebound.,24,19
9:08,79,Sean Lloyd Turnover.,24,19
8:51,2534,Albert Almanza missed Jumper.,24,19
8:51,79,Sean O'Brien Defensive Rebound.,24,19
8:25,79,Mike Rodriguez missed Jumper.,24,19
8:25,2534,Torry Butler Defensive Rebound.,24,19
8:19,2534,Christopher Galbreath Jr. made Layup. Assisted by John Dewey III.,26,19
7:58,79,Thik Bol missed Jumper.,26,19
7:58,2534,John Dewey III Defensive Rebound.,26,19
7:46,79,Foul on Sean Lloyd.,26,19
7:46,79,Official TV Timeout,26,19
7:44,2534,Torry Butler made Layup. Assisted by Paul Baxter.,28,19
7:21,79,Armon Fletcher missed Three Point Jumper.,28,19
7:21,2534,Torry Butler Defensive Rebound.,28,19
6:53,2534,Christopher Galbreath Jr. made Jumper. Assisted by Torry Butler.,30,19
6:36,79,Mike Rodriguez Turnover.,30,19
6:14,2534,Paul Baxter missed Layup.,30,19
6:14,79,Sean O'Brien Defensive Rebound.,30,19
5:58,79,Armon Fletcher made Three Point Jumper. Assisted by Mike Rodriguez.,30,22
5:31,2534,Dakarai Henderson made Layup.,32,22
5:16,79,Leo Vincent Turnover.,32,22
5:14,2534,Torry Butler Steal.,32,22
5:11,79,Foul on Rudy Stradnieks.,32,22
5:11,2534,Christopher Galbreath Jr. missed Free Throw.,32,22
5:11,2534,Sam Houston St Deadball Team Rebound.,32,22
5:11,2534,Christopher Galbreath Jr. made Free Throw.,33,22
4:58,79,Mike Rodriguez Turnover.,33,22
4:56,2534,Albert Almanza Steal.,33,22
4:53,2534,John Dewey III missed Layup.,33,22
4:53,2534,Christopher Galbreath Jr. Offensive Rebound.,33,22
4:51,2534,Christopher Galbreath Jr. missed Layup.,33,22
4:51,2534,Albert Almanza Offensive Rebound.,33,22
4:49,2534,John Dewey III Turnover.,33,22
4:49,79,Thik Bol Steal.,33,22
4:45,79,Sean O'Brien Turnover.,33,22
4:43,79,Foul on Sean O'Brien.,33,22
4:23,2534,Christopher Galbreath Jr. made Free Throw.,34,22
4:08,79,Sean Lloyd missed Three Point Jumper.,34,22
4:08,79,Jonathan Wiley Offensive Rebound.,34,22
4:05,2534,Dakarai Henderson missed Three Point Jumper.,34,22
4:05,2534,Christopher Galbreath Jr. Offensive Rebound.,34,22
4:05,2534,Christopher Galbreath Jr. made Layup.,36,22
4:05,79,Foul on Jonathan Wiley.,36,22
4:00,79,Jonathan Wiley missed Jumper.,36,22
4:00,79,Aaron Cook Offensive Rebound.,36,22
3:58,79,Thik Bol Turnover.,36,22
3:58,79,Foul on Thik Bol.,36,22
3:58,79,Official TV Timeout,36,22
3:57,2534,Christopher Galbreath Jr. made Free Throw.,37,22
3:57,2534,Christopher Galbreath Jr. made Free Throw.,38,22
3:45,79,Armon Fletcher missed Three Point Jumper.,38,22
3:45,2534,Albert Almanza Defensive Rebound.,38,22
3:20,2534,Torry Butler Turnover.,38,22
3:19,79,Aaron Cook Steal.,38,22
3:15,79,Sean Lloyd made Layup. Assisted by Aaron Cook.,38,24
2:53,2534,Torry Butler made Layup.,40,24
2:21,79,Sean Lloyd missed Jumper.,40,24
2:21,79,Thik Bol Offensive Rebound.,40,24
2:16,79,Thik Bol made Layup.,40,26
1:59,2534,Christopher Galbreath Jr. missed Jumper.,40,26
1:59,79,Armon Fletcher Defensive Rebound.,40,26
1:53,79,Armon Fletcher made Layup.,40,28
1:48,2534,Sam Houston St  Timeout,40,28
1:34,2534,Torry Butler missed Layup.,40,28
1:34,79,Sean Lloyd Defensive Rebound.,40,28
1:12,79,Aaron Cook made Layup.,40,30
0:50,2534,Torry Butler missed Jumper.,40,30
0:50,79,Jonathan Wiley Defensive Rebound.,40,30
0:41,79,Southern Illinois  Timeout,40,30
0:30,2534,Foul on Albert Almanza.,40,30
0:30,79,Jonathan Wiley made Free Throw.,40,31
0:30,79,Jonathan Wiley made Free Throw.,40,32
0:00,2534,Christopher Galbreath Jr. made Layup.,42,32
0:00,79,End of 1st half,40,32
19:47,79,Thik Bol Turnover.,42,32
19:28,2534,Aurimas Majauskas missed Layup.,42,32
19:28,79,Armon Fletcher Defensive Rebound.,42,32
19:12,79,Leo Vincent Turnover.,42,32
19:11,2534,John Dewey III Steal.,42,32
19:09,2534,John Dewey III missed Layup.,42,32
19:09,79,Armon Fletcher Defensive Rebound.,42,32
19:09,2534,John Dewey III missed Layup.,42,32
19:03,2534,Foul on Torry Butler.,42,32
18:48,79,Leo Vincent missed Jumper.,42,32
18:48,79,Sean O'Brien Offensive Rebound.,42,32
18:42,79,Leo Vincent missed Three Point Jumper.,42,32
18:42,2534,Aurimas Majauskas Defensive Rebound.,42,32
18:40,79,Foul on Sean O'Brien.,42,32
18:31,2534,Dakarai Henderson Turnover.,42,32
18:25,2534,Foul on Aurimas Majauskas.,42,32
18:25,79,Mike Rodriguez made Free Throw.,42,33
18:25,79,Mike Rodriguez made Free Throw.,42,34
18:09,79,Foul on Sean Lloyd.,42,34
18:09,2534,Paul Baxter made Free Throw.,43,34
18:09,2534,Paul Baxter made Free Throw.,44,34
17:56,79,Aaron Cook made Three Point Jumper. Assisted by Mike Rodriguez.,44,37
17:44,2534,Aurimas Majauskas missed Layup.,44,37
17:44,79,Aaron Cook Defensive Rebound.,44,37
17:14,79,Jonathan Wiley made Layup. Assisted by Thik Bol.,44,39
17:06,2534,Sam Houston St  Timeout,44,39
17:06,79,Official TV Timeout,44,39
16:47,2534,Christopher Galbreath Jr. made Jumper. Assisted by John Dewey III.,46,39
16:13,79,Mike Rodriguez missed Jumper.,46,39
16:13,79,Thik Bol Offensive Rebound.,46,39
16:08,79,Thik Bol made Layup. Assisted by Mike Rodriguez.,46,41
15:53,79,Foul on Mike Rodriguez.,46,41
15:52,79,Official TV Timeout,46,41
15:42,2534,Paul Baxter missed Three Point Jumper.,46,41
15:42,79,Aaron Cook Defensive Rebound.,46,41
15:33,2534,Foul on Christopher Galbreath Jr..,46,41
15:33,79,Jonathan Wiley made Free Throw.,46,42
15:33,79,Jonathan Wiley made Free Throw.,46,43
15:09,2534,Aurimas Majauskas made Layup.,48,43
14:49,79,Thik Bol missed Jumper.,48,43
14:49,79,Jonathan Wiley Offensive Rebound.,48,43
14:38,79,Mike Rodriguez missed Layup.,48,43
14:38,2534,Paul Baxter Defensive Rebound.,48,43
14:32,79,Foul on Jonathan Wiley.,48,43
14:32,2534,Dakarai Henderson made Free Throw.,49,43
14:32,2534,Dakarai Henderson missed Free Throw.,49,43
14:32,79,Armon Fletcher Defensive Rebound.,49,43
14:04,79,Aaron Cook missed Three Point Jumper.,49,43
14:04,79,Armon Fletcher Offensive Rebound.,49,43
13:56,79,Armon Fletcher made Two Point Tip Shot.,49,45
13:50,79,Foul on Mike Rodriguez.,49,45
13:39,2534,Jamal Williams made Jumper.,51,45
13:17,79,Armon Fletcher Turnover.,51,45
13:15,2534,Paul Baxter Steal.,51,45
13:07,2534,Jamal Williams made Three Point Jumper. Assisted by Paul Baxter.,54,45
12:37,2534,Foul on Torry Butler.,54,45
12:25,79,Rudy Stradnieks made Three Point Jumper. Assisted by Armon Fletcher.,54,48
12:04,2534,John Dewey III missed Jumper.,54,48
12:04,79,Sean O'Brien Defensive Rebound.,54,48
11:48,79,Armon Fletcher Turnover.,54,48
11:48,79,Foul on Armon Fletcher.,54,48
11:48,79,Official TV Timeout,54,48
11:23,2534,Christopher Galbreath Jr. made Jumper.,56,48
10:54,79,Sean O'Brien missed Layup.,56,48
10:54,2534,Christopher Galbreath Jr. Block.,56,48
10:54,2534,Torry Butler Defensive Rebound.,56,48
10:39,2534,Torry Butler made Three Point Jumper. Assisted by Christopher Galbreath Jr..,59,48
10:27,79,Southern Illinois  Timeout,59,48
10:19,2534,Foul on Albert Almanza.,59,48
10:18,79,Sean O'Brien Turnover.,59,48
10:11,2534,Christopher Galbreath Jr. missed Three Point Jumper.,59,48
10:11,79,Southern Illinois Defensive Rebound.,59,48
9:42,79,Sean O'Brien missed Three Point Jumper.,59,48
9:42,2534,John Dewey III Defensive Rebound.,59,48
9:26,2534,Torry Butler missed Jumper.,59,48
9:26,2534,Torry Butler Offensive Rebound.,59,48
9:24,2534,Torry Butler made Layup.,61,48
9:02,79,Aaron Cook missed Layup.,61,48
9:02,2534,Christopher Galbreath Jr. Block.,61,48
9:02,2534,Jamal Williams Defensive Rebound.,61,48
8:56,2534,John Dewey III missed Jumper.,61,48
8:56,79,Armon Fletcher Defensive Rebound.,61,48
8:56,2534,John Dewey III missed Jumper.,61,48
8:38,79,Aaron Cook missed Three Point Jumper.,61,48
8:38,2534,Torry Butler Defensive Rebound.,61,48
8:33,2534,Christopher Galbreath Jr. missed Jumper.,61,48
8:33,79,Thik Bol Block.,61,48
8:33,79,Armon Fletcher Defensive Rebound.,61,48
8:24,79,Mike Rodriguez made Layup.,61,50
8:03,79,Sean Lloyd made Layup.,61,52
7:46,79,Rudy Stradnieks missed Three Point Jumper.,61,52
7:46,2534,Aurimas Majauskas Defensive Rebound.,61,52
7:34,79,Armon Fletcher missed Three Point Jumper.,61,52
7:34,2534,Torry Butler Defensive Rebound.,61,52
7:19,2534,Sam Houston St  Timeout,61,52
6:59,2534,Torry Butler made Jumper.,63,52
6:33,79,Leo Vincent made Layup.,63,54
6:33,2534,Foul on Torry Butler.,63,54
6:33,79,Leo Vincent made Free Throw.,63,55
5:56,79,Mike Rodriguez Turnover.,63,55
5:34,2534,Aurimas Majauskas Block.,63,55
5:34,2534,Torry Butler missed Layup.,63,55
5:23,79,Southern Illinois Deadball Team Rebound.,63,55
5:23,79,Leo Vincent made Three Point Jumper.,63,58
4:54,2534,Paul Baxter missed Free Throw.,63,58
4:54,2534,Sam Houston St Deadball Team Rebound.,63,58
4:54,2534,Paul Baxter made Free Throw.,64,58
4:51,79,Foul on Jonathan Wiley.,64,58
4:36,79,Leo Vincent missed Three Point Jumper.,64,58
4:36,79,Jonathan Wiley Offensive Rebound.,64,58
4:25,2534,Foul on Albert Almanza.,64,58
4:25,79,Sean Lloyd made Free Throw.,64,59
4:25,79,Sean Lloyd made Free Throw.,64,60
4:15,2534,John Dewey III made Layup.,66,60
4:14,79,Jonathan Wiley Turnover.,66,60
4:13,2534,Christopher Galbreath Jr. Steal.,66,60
4:11,2534,Christopher Galbreath Jr. missed Layup.,66,60
4:11,2534,John Dewey III Offensive Rebound.,66,60
4:08,2534,Christopher Galbreath Jr. made Layup. Assisted by John Dewey III.,68,60
3:51,2534,Foul on John Dewey III.,68,60
3:51,79,Official TV Timeout,68,60
3:50,79,Mike Rodriguez made Free Throw.,68,61
3:50,79,Mike Rodriguez missed Free Throw.,68,61
3:50,79,Thik Bol Offensive Rebound.,68,61
3:50,79,Armon Fletcher made Three Point Jumper. Assisted by Thik Bol.,68,64
3:45,2534,Aurimas Majauskas made Three Point Jumper. Assisted by John Dewey III.,71,64
3:17,2534,Foul on Christopher Galbreath Jr..,71,64
3:17,79,Mike Rodriguez missed Free Throw.,71,64
3:17,79,Southern Illinois Deadball Team Rebound.,71,64
3:17,79,Mike Rodriguez made Free Throw.,71,65
2:53,2534,John Dewey III Turnover.,71,65
2:52,79,Leo Vincent Steal.,71,65
2:41,2534,Foul on Christopher Galbreath Jr..,71,65
2:41,79,Mike Rodriguez missed Free Throw.,71,65
2:41,79,Southern Illinois Deadball Team Rebound.,71,65
2:41,79,Mike Rodriguez made Free Throw.,71,66
2:16,2534,Christopher Galbreath Jr. made Jumper. Assisted by John Dewey III.,73,66
1:50,79,Leo Vincent missed Three Point Jumper.,73,66
1:50,2534,Aurimas Majauskas Defensive Rebound.,73,66
1:23,2534,Christopher Galbreath Jr. made Layup. Assisted by Aurimas Majauskas.,75,66
1:11,79,Thik Bol made Dunk. Assisted by Sean O'Brien.,75,68
1:11,2534,Foul on Aurimas Majauskas.,75,68
1:10,79,Thik Bol made Free Throw.,75,69
1:10,79,Southern Illinois  Timeout,75,69
0:42,79,Foul on Thik Bol.,75,69
0:42,2534,Aurimas Majauskas made Free Throw.,76,69
0:42,2534,Aurimas Majauskas made Free Throw.,77,69
0:28,79,Sean O'Brien missed Three Point Jumper.,77,69
0:28,2534,Torry Butler Defensive Rebound.,77,69
0:26,79,Foul on Armon Fletcher.,77,69
0:26,2534,Torry Butler missed Free Throw.,77,69
0:26,79,Thik Bol Defensive Rebound.,77,69
0:15,2534,Foul on Jamal Williams.,77,69
0:15,79,Mike Rodriguez made Free Throw.,77,70
0:15,79,Mike Rodriguez made Free Throw.,77,71
0:10,79,Foul on Mike Rodriguez.,77,71
0:10,2534,Aurimas Majauskas made Free Throw.,78,71
0:10,2534,Aurimas Majauskas made Free Throw.,79,71
0:06,79,Mike Rodriguez made Layup.,79,73
0:00,79,End of 2nd half,79,73
0:00,79,End of Game,79,73
