Penn State,221,Pittsburgh,213
12:26,213,Terrence Samuel Turnover.,6,15
12:26,221,Chris Jones Steal.,6,15
12:19,221,Chris Jones made Layup.,6,17
11:54,213,Tony Carr missed Three Point Jumper.,6,17
11:54,221,Cameron Johnson Defensive Rebound.,6,17
11:43,221,Justice Kithcart missed Three Point Jumper.,6,17
11:43,221,Sheldon Jeter Offensive Rebound.,6,17
11:37,221,Sheldon Jeter missed Jumper.,6,17
11:37,213,Terrence Samuel Defensive Rebound.,6,17
11:34,221,Foul on Ryan Luther.,6,17
11:34,221,Official TV Timeout,6,17
11:05,213,Payton Banks made Jumper. Assisted by Lamar Stevens.,8,17
10:39,221,Jamel Artis missed Layup.,8,17
10:39,213,Mike Watkins Defensive Rebound.,8,17
10:32,213,Tony Carr Turnover.,8,17
10:32,221,Justice Kithcart Steal.,8,17
10:24,221,Michael Young missed Layup.,8,17
10:24,221,Jamel Artis Offensive Rebound.,8,17
10:24,221,Jamel Artis made Two Point Tip Shot.,8,19
10:10,213,Payton Banks made Three Point Jumper. Assisted by Lamar Stevens.,11,19
9:39,221,Michael Young missed Jumper.,11,19
9:39,221,Sheldon Jeter Offensive Rebound.,11,19
9:39,221,Sheldon Jeter missed Two Point Tip Shot.,11,19
9:39,213,Tony Carr Defensive Rebound.,11,19
9:25,213,Terrence Samuel missed Jumper.,11,19
9:25,221,Jamel Artis Defensive Rebound.,11,19
9:13,221,Sheldon Jeter made Three Point Jumper. Assisted by Michael Young.,11,22
8:44,213,Tony Carr missed Layup.,11,22
8:44,221,Chris Jones Defensive Rebound.,11,22
8:36,221,Justice Kithcart missed Three Point Jumper.,11,22
8:36,221,Sheldon Jeter Offensive Rebound.,11,22
8:24,221,Justice Kithcart missed Layup.,11,22
8:24,213,Lamar Stevens Block.,11,22
8:24,213,Payton Banks Defensive Rebound.,11,22
8:24,213,Payton Banks Turnover.,11,22
8:03,221,Jamel Artis made Three Point Jumper. Assisted by Justice Kithcart.,11,25
7:51,213,Lamar Stevens Turnover.,11,25
7:51,221,Official TV Timeout,11,25
7:40,221,Sheldon Jeter missed Three Point Jumper.,11,25
7:40,221,Justice Kithcart Offensive Rebound.,11,25
7:37,213,Foul on Tony Carr.,11,25
7:28,221,Cameron Johnson missed Three Point Jumper.,11,25
7:28,221,Justice Kithcart Offensive Rebound.,11,25
7:06,221,Corey Manigault made Layup. Assisted by Sheldon Jeter.,11,27
6:51,213,Shep Garner missed Three Point Jumper.,11,27
6:51,221,Sheldon Jeter Defensive Rebound.,11,27
6:48,213,Foul on Mike Watkins.,11,27
6:36,221,Sheldon Jeter missed Jumper.,11,27
6:36,213,Josh Reaves Defensive Rebound.,11,27
6:24,213,Tony Carr missed Jumper.,11,27
6:24,221,Sheldon Jeter Block.,11,27
6:24,221,Sheldon Jeter Defensive Rebound.,11,27
6:13,221,Jamel Artis Turnover.,11,27
6:13,213,Josh Reaves Steal.,11,27
6:03,221,Foul on Corey Manigault.,11,27
6:03,213,Mike Watkins made Free Throw.,12,27
6:03,213,Mike Watkins made Free Throw.,13,27
5:55,221,Jamel Artis Turnover.,13,27
5:55,213,Shep Garner Steal.,13,27
5:49,213,Julian Moore Turnover.,13,27
5:49,221,Sheldon Jeter Steal.,13,27
5:31,221,Michael Young made Three Point Jumper. Assisted by Sheldon Jeter.,13,30
5:11,213,Payton Banks made Three Point Jumper. Assisted by Shep Garner.,16,30
5:01,221,Sheldon Jeter Turnover.,16,30
5:01,213,Shep Garner Steal.,16,30
4:55,221,Foul on Cameron Johnson.,16,30
4:55,213,Shep Garner made Free Throw.,17,30
4:55,213,Shep Garner made Free Throw.,18,30
4:37,221,Michael Young made Layup.,18,32
4:22,213,Josh Reaves missed Layup.,18,32
4:22,221,Sheldon Jeter Defensive Rebound.,18,32
4:21,213,Foul on Julian Moore.,18,32
4:21,221,Sheldon Jeter made Free Throw.,18,33
4:21,221,Sheldon Jeter made Free Throw.,18,34
4:09,213,Nazeer Bostick missed Three Point Jumper.,18,34
4:09,221,Michael Young Defensive Rebound.,18,34
3:55,221,Cameron Johnson missed Layup.,18,34
3:55,213,Nazeer Bostick Block.,18,34
3:55,213,Payton Banks Defensive Rebound.,18,34
3:42,213,Nazeer Bostick made Layup. Assisted by Josh Reaves.,20,34
3:24,221,Jamel Artis missed Jumper.,20,34
3:24,213,Penn State Defensive Rebound.,20,34
3:24,221,Official TV Timeout,20,34
2:57,213,Mike Watkins Turnover.,20,34
2:38,221,Jamel Artis made Layup.,20,36
2:25,213,Shep Garner missed Three Point Jumper.,20,36
2:25,221,Sheldon Jeter Defensive Rebound.,20,36
2:16,221,Jamel Artis Turnover.,20,36
2:16,221,Foul on Jamel Artis.,20,36
1:59,213,Shep Garner Turnover.,20,36
1:49,213,Foul on Tony Carr.,20,36
1:49,221,Michael Young missed Free Throw.,20,36
1:49,221,Pittsburgh Deadball Team Rebound.,20,36
1:49,221,Michael Young made Free Throw.,20,37
1:26,213,Julian Moore missed Jumper.,20,37
1:26,221,Sheldon Jeter Defensive Rebound.,20,37
1:13,221,Michael Young made Jumper. Assisted by Jamel Artis.,20,39
0:47,213,Lamar Stevens missed Jumper.,20,39
0:47,221,Jamel Artis Defensive Rebound.,20,39
0:35,221,Pittsburgh  Timeout,20,39
0:21,221,Jamel Artis made Three Point Jumper.,20,42
0:01,213,Shep Garner missed Layup.,20,42
0:01,221,Sheldon Jeter Block.,20,42
0:01,213,Mike Watkins Offensive Rebound.,20,42
0:01,213,Mike Watkins made Layup.,22,42
0:00,221,End of 1st half,22,42
20:00,221,Jump Ball won by Pittsburgh,22,42
19:38,221,Sheldon Jeter missed Layup.,22,42
19:38,213,Mike Watkins Block.,22,42
19:38,213,Mike Watkins Defensive Rebound.,22,42
19:33,221,Foul on Cameron Johnson.,22,42
19:24,213,Mike Watkins made Jumper. Assisted by Shep Garner.,24,42
19:24,221,Foul on Jamel Artis.,24,42
19:24,213,Mike Watkins missed Free Throw.,24,42
19:24,221,Michael Young Defensive Rebound.,24,42
19:20,221,Chris Jones made Layup.,24,44
19:12,213,Shep Garner Turnover.,24,44
19:12,221,Chris Jones Steal.,24,44
19:05,221,Cameron Johnson made Three Point Jumper. Assisted by Michael Young.,24,47
18:48,213,Mike Watkins missed Layup.,24,47
18:48,213,Mike Watkins Offensive Rebound.,24,47
18:43,213,Mike Watkins missed Layup.,24,47
18:43,221,Sheldon Jeter Block.,24,47
18:43,221,Michael Young Defensive Rebound.,24,47
18:32,221,Jamel Artis missed Layup.,24,47
18:32,213,Mike Watkins Defensive Rebound.,24,47
18:24,221,Foul on Cameron Johnson.,24,47
18:21,213,Tony Carr missed Three Point Jumper.,24,47
18:21,221,Cameron Johnson Defensive Rebound.,24,47
17:57,221,Sheldon Jeter missed Jumper.,24,47
17:57,213,Mike Watkins Defensive Rebound.,24,47
17:42,213,Lamar Stevens missed Layup.,24,47
17:42,221,Sheldon Jeter Defensive Rebound.,24,47
17:33,221,Jamel Artis Turnover.,24,47
17:16,213,Josh Reaves missed Three Point Jumper.,24,47
17:16,213,Lamar Stevens Offensive Rebound.,24,47
17:07,213,Mike Watkins made Dunk. Assisted by Lamar Stevens.,26,47
16:49,221,Ryan Luther made Three Point Jumper. Assisted by Jamel Artis.,26,50
16:26,213,Tony Carr missed Jumper.,26,50
16:26,221,Jamel Artis Block.,26,50
16:26,213,Lamar Stevens Offensive Rebound.,26,50
16:15,213,Lamar Stevens made Layup.,28,50
16:03,221,Foul on Chris Jones.,28,50
16:03,221,Chris Jones Turnover.,28,50
15:51,213,Lamar Stevens missed Jumper.,28,50
15:51,213,Tony Carr Offensive Rebound.,28,50
15:42,213,Tony Carr made Jumper.,30,50
15:16,221,Michael Young missed Three Point Jumper.,30,50
15:16,213,Lamar Stevens Defensive Rebound.,30,50
15:07,213,Foul on Josh Reaves.,30,50
15:07,213,Josh Reaves Turnover.,30,50
15:07,221,Official TV Timeout,30,50
14:38,221,Michael Young missed Jumper.,30,50
14:38,213,Shep Garner Defensive Rebound.,30,50
14:29,213,Tony Carr missed Three Point Jumper.,30,50
14:29,221,Jamel Artis Defensive Rebound.,30,50
14:26,213,Foul on Payton Banks.,30,50
14:01,221,Michael Young Turnover.,30,50
14:01,213,Josh Reaves Steal.,30,50
13:51,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,33,50
13:32,221,Michael Young made Jumper.,33,52
13:26,221,Foul on Chris Jones.,33,52
13:18,213,Josh Reaves made Layup. Assisted by Payton Banks.,35,52
13:03,221,Cameron Johnson missed Three Point Jumper.,35,52
13:03,213,Shep Garner Defensive Rebound.,35,52
12:54,213,Terrence Samuel missed Layup.,35,52
12:54,213,Penn State Offensive Rebound.,35,52
12:52,221,Foul on Sheldon Jeter.,35,52
12:49,221,Foul on Justice Kithcart.,35,52
12:49,213,Lamar Stevens made Free Throw.,36,52
12:49,213,Lamar Stevens made Free Throw.,37,52
12:42,213,Foul on Josh Reaves.,37,52
12:14,221,Chris Jones missed Jumper.,37,52
12:14,221,Ryan Luther Offensive Rebound.,37,52
12:14,221,Ryan Luther made Two Point Tip Shot.,37,54
12:05,213,Nazeer Bostick missed Layup.,37,54
12:05,221,Sheldon Jeter Block.,37,54
12:05,221,Pittsburgh Defensive Rebound.,37,54
11:41,213,Foul on Nazeer Bostick.,37,54
11:41,221,Official TV Timeout,37,54
11:38,221,Sheldon Jeter missed Jumper.,37,54
11:38,213,Mike Watkins Block.,37,54
11:38,221,Ryan Luther Offensive Rebound.,37,54
11:38,221,Ryan Luther Turnover.,37,54
11:24,213,Payton Banks missed Three Point Jumper.,37,54
11:24,213,Payton Banks Offensive Rebound.,37,54
11:18,213,Mike Watkins made Layup. Assisted by Payton Banks.,39,54
11:00,221,Justice Kithcart made Layup.,39,56
11:00,213,Foul on Mike Watkins.,39,56
11:00,221,Justice Kithcart missed Free Throw.,39,56
11:00,213,Mike Watkins Defensive Rebound.,39,56
10:50,213,Mike Watkins made Jumper. Assisted by Payton Banks.,41,56
10:50,221,Foul on Sheldon Jeter.,41,56
10:50,213,Mike Watkins made Free Throw.,42,56
10:38,221,Michael Young made Layup. Assisted by Sheldon Jeter.,42,58
10:27,213,Jump Ball won by Penn State,42,58
10:12,213,Payton Banks missed Three Point Jumper.,42,58
10:12,221,Jamel Artis Defensive Rebound.,42,58
10:05,221,Michael Young missed Layup.,42,58
10:05,213,Mike Watkins Defensive Rebound.,42,58
10:00,213,Foul on Josh Reaves.,42,58
10:00,213,Josh Reaves Turnover.,42,58
9:47,221,Cameron Johnson missed Three Point Jumper.,42,58
9:47,213,Mike Watkins Defensive Rebound.,42,58
9:37,221,Foul on Sheldon Jeter.,42,58
9:37,213,Lamar Stevens made Free Throw.,43,58
9:37,213,Lamar Stevens made Free Throw.,44,58
9:16,221,Michael Young made Jumper.,44,60
9:00,213,Josh Reaves made Layup.,46,60
8:40,221,Jamel Artis made Three Point Jumper. Assisted by Cameron Johnson.,46,63
8:38,221,Official TV Timeout,46,63
8:16,213,Mike Watkins made Layup. Assisted by Josh Reaves.,48,63
7:58,221,Jamel Artis Turnover.,48,63
7:58,213,Tony Carr Steal.,48,63
7:51,213,Lamar Stevens missed Jumper.,48,63
7:51,213,Penn State Offensive Rebound.,48,63
7:51,221,Official TV Timeout,48,63
7:44,213,Tony Carr made Jumper.,50,63
7:16,213,Foul on Lamar Stevens.,50,63
7:16,221,Michael Young made Free Throw.,50,64
7:16,221,Michael Young made Free Throw.,50,65
7:04,213,Tony Carr missed Jumper.,50,65
7:04,213,Mike Watkins Offensive Rebound.,50,65
7:04,213,Mike Watkins made Two Point Tip Shot.,52,65
6:49,221,Chris Jones missed Jumper.,52,65
6:49,221,Pittsburgh Offensive Rebound.,52,65
6:31,221,Chris Jones missed Layup.,52,65
6:31,213,Mike Watkins Defensive Rebound.,52,65
6:24,213,Tony Carr made Layup.,54,65
6:14,221,Cameron Johnson made Dunk.,54,67
5:47,213,Lamar Stevens missed Jumper.,54,67
5:47,221,Michael Young Defensive Rebound.,54,67
5:35,221,Jamel Artis missed Layup.,54,67
5:35,213,Mike Watkins Defensive Rebound.,54,67
5:26,213,Josh Reaves made Layup.,56,67
5:11,213,Foul on Shep Garner.,56,67
5:11,221,Cameron Johnson missed Free Throw.,56,67
5:11,213,Mike Watkins Defensive Rebound.,56,67
4:59,221,Foul on Michael Young.,56,67
4:59,213,Tony Carr made Free Throw.,57,67
4:59,213,Tony Carr made Free Throw.,58,67
4:51,221,Jamel Artis Turnover.,58,67
4:51,213,Josh Reaves Steal.,58,67
4:48,221,Foul on Chris Jones.,58,67
4:48,213,Payton Banks made Free Throw.,59,67
4:48,213,Payton Banks made Free Throw.,60,67
4:21,221,Jamel Artis missed Three Point Jumper.,60,67
4:21,221,Michael Young Offensive Rebound.,60,67
4:16,221,Michael Young made Layup.,60,69
4:04,213,Tony Carr missed Layup.,60,69
4:04,221,Michael Young Defensive Rebound.,60,69
3:45,213,Foul on Tony Carr.,60,69
3:43,221,Official TV Timeout,60,69
3:43,221,Michael Young made Free Throw.,60,70
3:43,221,Michael Young made Free Throw.,60,71
3:27,213,Mike Watkins missed Layup.,60,71
3:27,213,Josh Reaves Offensive Rebound.,60,71
3:21,213,Shep Garner missed Three Point Jumper.,60,71
3:21,221,Cameron Johnson Defensive Rebound.,60,71
2:57,221,Michael Young missed Jumper.,60,71
2:57,213,Mike Watkins Defensive Rebound.,60,71
2:49,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,63,71
2:46,213,Penn State  Timeout,63,71
2:40,221,Jamel Artis missed Jumper.,63,71
2:40,213,Tony Carr Defensive Rebound.,63,71
2:31,213,Tony Carr made Layup.,65,71
1:56,221,Michael Young missed Jumper.,65,71
1:56,213,Lamar Stevens Defensive Rebound.,65,71
1:51,221,Foul on Michael Young.,65,71
1:51,213,Shep Garner missed Free Throw.,65,71
1:51,213,Penn State Deadball Team Rebound.,65,71
1:51,213,Shep Garner made Free Throw.,66,71
1:28,221,Sheldon Jeter made Three Point Jumper. Assisted by Jamel Artis.,66,74
1:16,213,Mike Watkins missed Layup.,66,74
1:16,221,Jamel Artis Defensive Rebound.,66,74
1:15,213,Foul on Shep Garner.,66,74
1:15,221,Jamel Artis made Free Throw.,66,75
1:15,221,Jamel Artis missed Free Throw.,66,75
1:15,213,Mike Watkins Defensive Rebound.,66,75
1:04,213,Penn State  Timeout,66,75
0:51,213,Payton Banks missed Three Point Jumper.,66,75
0:51,221,Michael Young Defensive Rebound.,66,75
0:43,213,Foul on Lamar Stevens.,66,75
0:43,221,Michael Young made Free Throw.,66,76
0:43,221,Michael Young made Free Throw.,66,77
0:31,213,Payton Banks missed Jumper.,66,77
0:31,213,Payton Banks Offensive Rebound.,66,77
0:26,213,Shep Garner missed Three Point Jumper.,66,77
0:26,213,Lamar Stevens Offensive Rebound.,66,77
0:26,221,Foul on Cameron Johnson.,66,77
0:26,213,Lamar Stevens made Free Throw.,67,77
0:26,213,Lamar Stevens made Free Throw.,68,77
0:23,213,Foul on Josh Reaves.,68,77
0:23,221,Michael Young missed Free Throw.,68,77
0:23,221,Pittsburgh Deadball Team Rebound.,68,77
0:23,221,Michael Young made Free Throw.,68,78
0:20,221,Foul on Cameron Johnson.,68,78
0:20,213,Tony Carr made Free Throw.,69,78
0:20,213,Tony Carr made Free Throw.,70,78
0:19,213,Foul on Shep Garner.,70,78
0:19,221,Michael Young made Free Throw.,70,79
0:19,221,Michael Young made Free Throw.,70,80
0:12,213,Payton Banks made Three Point Jumper. Assisted by Josh Reaves.,73,80
0:10,213,Penn State  Timeout,73,80
0:06,213,Foul on Payton Banks.,73,80
0:06,221,Chris Jones made Free Throw.,73,81
0:06,221,Chris Jones missed Free Throw.,73,81
0:06,213,Josh Reaves Defensive Rebound.,73,81
0:03,213,Shep Garner missed Three Point Jumper.,73,81
0:03,213,Penn State Deadball Team Rebound.,73,81
0:00,221,End of Game,73,81
