SE Oklahoma State,Error,UT San Antonio,2636
10:52,-1,Jett Jobe missed Three Point Jumper.,13,20
10:52,2636,Nick Billingsley Defensive Rebound.,13,20
10:30,2636,Mitar Stanojevic Turnover.,13,20
10:22,-1,Foul on Tyler Lonzie.,13,20
10:22,-1,Tyler Lonzie Turnover.,13,20
10:02,2636,George Willborn III missed Jumper.,13,20
10:02,-1,Bobby Johnson Defensive Rebound.,13,20
9:53,-1,Dino Muminovic made Three Point Jumper. Assisted by Gianpalo Riccio.,16,20
9:27,2636,George Willborn III made Jumper. Assisted by Byron Frohnen.,16,22
9:09,-1,Dino Muminovic missed Three Point Jumper.,16,22
9:09,2636,Giovanni De Nicolao Defensive Rebound.,16,22
9:02,2636,George Willborn III missed Three Point Jumper.,16,22
9:02,-1,Tyler Lonzie Defensive Rebound.,16,22
8:51,2636,Foul on George Willborn III.,16,22
8:51,-1,Jett Jobe made Free Throw.,17,22
8:51,-1,Jett Jobe made Free Throw.,18,22
8:51,-1,Foul on Marti Fonolla.,18,22
8:39,2636,Foul on Nick Allen.,18,22
8:39,2636,Nick Allen Turnover.,18,22
8:28,2636,Foul on Giovanni De Nicolao.,18,22
8:28,-1,Tyler Lonzie made Free Throw.,19,22
8:28,-1,Tyler Lonzie made Free Throw.,20,22
8:13,2636,Nick Allen made Layup.,20,24
7:56,-1,Marti Fonolla made Three Point Jumper. Assisted by Jose Libiano.,23,24
7:37,2636,Nick Allen missed Layup.,23,24
7:37,2636,Byron Frohnen Offensive Rebound.,23,24
7:25,2636,Gino Littles made Three Point Jumper.,23,27
7:06,-1,Bobby Johnson Turnover.,23,27
7:04,2636,Jeff Beverly Steal.,23,27
7:03,2636,Jeff Beverly made Dunk. Assisted by Nick Allen.,23,29
6:44,-1,Jose Libiano made Jumper.,25,29
6:21,2636,Jeff Beverly missed Jumper.,25,29
6:21,2636,George Willborn III Offensive Rebound.,25,29
6:18,2636,George Willborn III made Two Point Tip Shot.,25,31
5:48,-1,Bobby Johnson missed Three Point Jumper.,25,31
5:48,2636,Gino Littles Defensive Rebound.,25,31
5:40,2636,Jeff Beverly made Jumper. Assisted by Gino Littles.,25,33
5:38,-1,Southeastern OK State  Timeout,25,33
5:38,2636,Official TV Timeout,25,33
5:19,2636,Foul on Jeff Beverly.,25,33
5:19,-1,Jose Libiano missed Free Throw.,25,33
5:19,2636,Mitar Stanojevic Defensive Rebound.,25,33
5:04,2636,Nick Billingsley missed Three Point Jumper.,25,33
5:04,2636,Jeff Beverly Offensive Rebound.,25,33
4:59,2636,Jeff Beverly Turnover.,25,33
4:59,-1,Marti Fonolla Steal.,25,33
4:52,-1,Gianpalo Riccio Turnover.,25,33
4:52,2636,Nick Billingsley Steal.,25,33
4:33,2636,Byron Frohnen made Jumper.,25,35
4:11,-1,Kevin Buckingham missed Layup.,25,35
4:11,-1,Kevin Buckingham Offensive Rebound.,25,35
4:08,2636,Foul on Nick Billingsley.,25,35
4:08,-1,Kevin Buckingham missed Free Throw.,25,35
4:08,2636,Jeff Beverly Defensive Rebound.,25,35
3:51,2636,Official TV Timeout,25,35
3:46,2636,Gino Littles missed Three Point Jumper.,25,35
3:46,-1,Jose Libiano Defensive Rebound.,25,35
3:14,-1,Jett Jobe Turnover.,25,35
3:14,2636,Gino Littles Steal.,25,35
3:00,2636,Gino Littles made Three Point Jumper. Assisted by Jeff Beverly.,25,38
2:38,2636,Foul on Byron Frohnen.,25,38
2:38,-1,Marti Fonolla made Free Throw.,26,38
2:38,-1,Marti Fonolla made Free Throw.,27,38
2:08,2636,Jeff Beverly made Layup.,27,40
1:46,-1,Jett Jobe missed Three Point Jumper.,27,40
1:46,2636,Gino Littles Defensive Rebound.,27,40
1:41,2636,Nick Billingsley missed Three Point Jumper.,27,40
1:41,-1,Jett Jobe Defensive Rebound.,27,40
1:32,-1,Kyle Roberts Turnover.,27,40
1:28,2636,Nick Billingsley Turnover.,27,40
1:27,-1,Kyle Roberts Steal.,27,40
1:23,-1,Marti Fonolla Turnover.,27,40
1:22,2636,Byron Frohnen Steal.,27,40
1:19,2636,Nick Allen missed Jumper.,27,40
1:19,-1,Kevin Buckingham Defensive Rebound.,27,40
1:09,2636,Foul on Gino Littles.,27,40
1:09,-1,Jett Jobe made Free Throw.,28,40
1:09,-1,Jett Jobe made Free Throw.,29,40
0:42,2636,Byron Frohnen made Jumper.,29,42
0:14,-1,Jett Jobe made Layup.,31,42
0:07,2636,George Willborn III Turnover.,31,42
0:06,-1,Kevin Buckingham Steal.,31,42
0:04,-1,Kevin Buckingham made Three Point Jumper.,34,42
0:00,2636,End of 1st half,34,42
19:48,-1,Marti Fonolla Turnover.,34,42
19:47,2636,Gino Littles Steal.,34,42
19:26,2636,Jeff Beverly made Jumper. Assisted by Byron Frohnen.,34,44
19:03,-1,Jose Libiano made Jumper.,36,44
18:40,2636,Gino Littles made Three Point Jumper. Assisted by Giovanni De Nicolao.,36,47
18:25,-1,Gianpalo Riccio made Three Point Jumper. Assisted by Jose Libiano.,39,47
17:52,-1,Foul on Gianpalo Riccio.,39,47
17:48,2636,Gino Littles missed Three Point Jumper.,39,47
17:48,-1,Kevin Buckingham Defensive Rebound.,39,47
17:39,-1,Gianpalo Riccio made Three Point Jumper. Assisted by Kevin Buckingham.,42,47
17:07,2636,Jeff Beverly missed Jumper.,42,47
17:07,-1,Kevin Buckingham Defensive Rebound.,42,47
16:54,2636,Foul on Jeff Beverly.,42,47
16:45,-1,Marti Fonolla missed Jumper.,42,47
16:45,-1,Jose Libiano Offensive Rebound.,42,47
16:37,-1,Gianpalo Riccio made Three Point Jumper. Assisted by Kevin Buckingham.,45,47
16:11,-1,Foul on Jett Jobe.,45,47
15:54,2636,Jeff Beverly made Layup. Assisted by Giovanni De Nicolao.,45,49
15:54,-1,Foul on Marti Fonolla.,45,49
15:54,2636,Official TV Timeout,45,49
15:54,2636,Jeff Beverly made Free Throw.,45,50
15:37,-1,Nathan Jackson Turnover.,45,50
15:33,2636,Giovanni De Nicolao Steal.,45,50
15:33,2636,Nick Allen Turnover.,45,50
15:19,2636,Foul on Giovanni De Nicolao.,45,50
15:15,-1,Gianpalo Riccio Turnover.,45,50
14:54,2636,Nick Billingsley made Three Point Jumper. Assisted by Jeff Beverly.,45,53
14:25,-1,Nathan Jackson missed Layup.,45,53
14:25,2636,Jeff Beverly Defensive Rebound.,45,53
14:14,2636,Nick Billingsley made Three Point Jumper. Assisted by Gino Littles.,45,56
13:54,-1,Kevin Buckingham Turnover.,45,56
13:54,2636,Gino Littles Steal.,45,56
13:50,2636,Nick Billingsley made Layup. Assisted by Gino Littles.,45,58
13:47,-1,Southeastern OK State  Timeout,45,58
13:39,2636,Foul on Jeff Beverly.,45,58
13:39,-1,Southeastern OK State  Turnover.,45,58
13:27,2636,Austin Karrer missed Jumper.,45,58
13:27,2636,Lucas O'Brien Offensive Rebound.,45,58
13:06,-1,Foul on Kevin Buckingham.,45,58
13:06,2636,Lucas O'Brien missed Free Throw.,45,58
13:06,2636,UT San Antonio Deadball Team Rebound.,45,58
13:06,2636,Lucas O'Brien missed Free Throw.,45,58
13:06,-1,Kevin Buckingham Defensive Rebound.,45,58
12:46,-1,Tyler Lonzie missed Layup.,45,58
12:46,2636,Nick Billingsley Defensive Rebound.,45,58
12:26,2636,Nick Billingsley missed Three Point Jumper.,45,58
12:26,-1,Tyler Lonzie Defensive Rebound.,45,58
12:17,-1,Gianpalo Riccio made Layup.,47,58
12:08,-1,Foul on Jett Jobe.,47,58
11:56,2636,Lucas O'Brien made Jumper. Assisted by George Willborn III.,47,60
11:39,-1,Bobby Johnson made Jumper.,49,60
11:15,2636,Gino Littles made Jumper.,49,62
11:02,2636,Foul on Mitar Stanojevic.,49,62
11:02,2636,Official TV Timeout,49,62
10:53,-1,Dino Muminovic missed Layup.,49,62
10:53,2636,Nick Billingsley Block.,49,62
10:52,2636,Nick Billingsley Defensive Rebound.,49,62
10:35,2636,George Willborn III missed Jumper.,49,62
10:35,2636,Gino Littles Offensive Rebound.,49,62
10:05,-1,Foul on James Donelan.,49,62
10:05,2636,Lucas O'Brien made Free Throw.,49,63
10:05,2636,Lucas O'Brien made Free Throw.,49,64
9:51,-1,Bobby Johnson missed Layup.,49,64
9:51,2636,Mitar Stanojevic Defensive Rebound.,49,64
9:39,2636,Lucas O'Brien made Three Point Jumper. Assisted by Byron Frohnen.,49,67
9:18,2636,Foul on Mitar Stanojevic.,49,67
9:18,-1,Dino Muminovic missed Free Throw.,49,67
9:18,-1,Southeastern OK State Deadball Team Rebound.,49,67
9:18,-1,Dino Muminovic made Free Throw.,50,67
9:18,-1,Dino Muminovic made Free Throw.,51,67
9:05,2636,George Willborn III Turnover.,51,67
9:04,-1,Jett Jobe Steal.,51,67
8:59,-1,Bobby Johnson made Three Point Jumper. Assisted by Kevin Buckingham.,54,67
8:35,2636,Lucas O'Brien made Three Point Jumper. Assisted by George Willborn III.,54,70
8:08,2636,Foul on Giovanni De Nicolao.,54,70
8:07,-1,Bobby Johnson missed Jumper.,54,70
8:07,-1,Dino Muminovic Offensive Rebound.,54,70
7:59,-1,Dino Muminovic Turnover.,54,70
7:57,2636,Nick Billingsley Steal.,54,70
7:45,2636,Nick Billingsley missed Three Point Jumper.,54,70
7:45,2636,Lucas O'Brien Offensive Rebound.,54,70
7:41,2636,Lucas O'Brien made Two Point Tip Shot.,54,72
7:30,-1,Bobby Johnson Turnover.,54,72
7:29,2636,Nick Billingsley Steal.,54,72
7:27,2636,Nick Billingsley made Dunk.,54,74
7:07,-1,Bobby Johnson missed Jumper.,54,74
7:07,2636,UT San Antonio Defensive Rebound.,54,74
7:06,2636,Official TV Timeout,54,74
6:46,-1,Foul on Jett Jobe.,54,74
6:46,2636,Nick Billingsley missed Free Throw.,54,74
6:46,2636,UT San Antonio Deadball Team Rebound.,54,74
6:46,2636,Nick Billingsley made Free Throw.,54,75
6:32,2636,Foul on Nick Billingsley.,54,75
6:32,-1,Tyler Lonzie missed Free Throw.,54,75
6:32,2636,Jeff Beverly Defensive Rebound.,54,75
6:15,2636,Nick Billingsley made Three Point Jumper. Assisted by Austin Karrer.,54,78
5:52,-1,Marti Fonolla missed Three Point Jumper.,54,78
5:52,2636,Austin Karrer Defensive Rebound.,54,78
5:29,2636,Austin Karrer missed Layup.,54,78
5:29,-1,Tyler Lonzie Block.,54,78
5:27,-1,Kevin Buckingham Defensive Rebound.,54,78
5:19,-1,Gianpalo Riccio Turnover.,54,78
5:18,2636,Gino Littles Steal.,54,78
5:14,2636,Nick Billingsley missed Three Point Jumper.,54,78
5:14,2636,Nick Allen Offensive Rebound.,54,78
5:10,-1,Foul on Gianpalo Riccio.,54,78
5:10,2636,Nick Allen made Free Throw.,54,79
5:10,2636,UT San Antonio  Timeout,54,79
5:10,2636,Nick Allen made Free Throw.,54,80
4:55,-1,Tyler Lonzie made Layup. Assisted by Gianpalo Riccio.,56,80
4:37,2636,Nick Billingsley missed Jumper.,56,80
4:37,2636,Nick Allen Offensive Rebound.,56,80
4:32,2636,Nick Allen missed Jumper.,56,80
4:32,-1,Tyler Lonzie Defensive Rebound.,56,80
4:13,-1,Jett Jobe made Three Point Jumper. Assisted by Kevin Buckingham.,59,80
3:47,2636,Nick Allen missed Jumper.,59,80
3:47,2636,Nick Allen Offensive Rebound.,59,80
3:41,2636,Nick Allen missed Layup.,59,80
3:41,-1,Gianpalo Riccio Block.,59,80
3:40,-1,Gianpalo Riccio Defensive Rebound.,59,80
3:31,-1,Jett Jobe missed Three Point Jumper.,59,80
3:31,2636,Jeff Beverly Defensive Rebound.,59,80
3:20,2636,Austin Karrer made Layup.,59,82
3:13,-1,Marti Fonolla made Jumper. Assisted by Jett Jobe.,61,82
3:07,-1,Southeastern OK State  Timeout,61,82
3:07,2636,Official TV Timeout,61,82
2:54,-1,Foul on Kevin Buckingham.,61,82
2:54,2636,Mitar Stanojevic missed Free Throw.,61,82
2:54,2636,UT San Antonio Deadball Team Rebound.,61,82
2:54,2636,Mitar Stanojevic made Free Throw.,61,83
2:38,-1,Kevin Buckingham missed Three Point Jumper.,61,83
2:38,2636,Mitar Stanojevic Defensive Rebound.,61,83
2:18,2636,Gino Littles missed Layup.,61,83
2:18,-1,Jett Jobe Block.,61,83
2:16,-1,Gianpalo Riccio Defensive Rebound.,61,83
2:12,-1,Kevin Buckingham made Jumper.,63,83
2:12,2636,Foul on Nick Billingsley.,63,83
2:12,-1,Kevin Buckingham made Free Throw.,64,83
1:52,-1,Foul on Tyler Lonzie.,64,83
1:52,2636,Nick Billingsley missed Free Throw.,64,83
1:52,2636,UT San Antonio Deadball Team Rebound.,64,83
1:52,2636,Nick Billingsley missed Free Throw.,64,83
1:52,-1,Gianpalo Riccio Defensive Rebound.,64,83
1:37,-1,Gianpalo Riccio missed Layup.,64,83
1:37,2636,James Ringholt Defensive Rebound.,64,83
1:22,2636,Nick Billingsley made Three Point Jumper.,64,86
1:08,2636,Foul on Bola Alade.,64,86
1:08,-1,Tyler Lonzie missed Free Throw.,64,86
1:08,-1,Southeastern OK State Deadball Team Rebound.,64,86
1:08,-1,Tyler Lonzie missed Free Throw.,64,86
1:08,-1,Southeastern OK State Offensive Rebound.,64,86
0:56,-1,Jose Libiano made Jumper.,66,86
0:44,2636,Mitar Stanojevic made Layup. Assisted by Kyle Massie.,66,88
0:25,-1,Gianpalo Riccio made Three Point Jumper. Assisted by Jett Jobe.,69,88
0:00,2636,End of Game,69,88
