Missouri Western State,2565,SIU-Edwardsville,137
6:08,-1,Cole Clearman missed Three Point Jumper.,15,16
6:08,2565,Christian Ellis Defensive Rebound.,15,16
5:54,2565,Carlos Anderson missed Jumper.,15,16
5:54,-1,Tj Evans Block.,15,16
5:52,-1,Beau Baker Defensive Rebound.,15,16
5:48,-1,Cole Clearman made Three Point Jumper.,18,16
5:34,2565,Christian Ellis missed Jumper.,18,16
5:34,-1,Boris Rajovic Block.,18,16
5:32,-1,Boris Rajovic Defensive Rebound.,18,16
5:27,-1,Tj Evans made Layup. Assisted by Aaron Emmanuel.,20,16
5:07,2565,Carlos Anderson missed Three Point Jumper.,20,16
5:07,-1,Missouri Western Defensive Rebound.,20,16
4:50,-1,Boris Rajovic Turnover.,20,16
4:34,-1,Foul on Boris Rajovic.,20,16
4:33,2565,Christian Ellis Turnover.,20,16
4:11,-1,Aaron Emmanuel made Jumper.,22,16
3:52,2565,Jalen Henry Turnover.,22,16
3:52,2565,Official TV Timeout,22,16
3:29,-1,Aaron Emmanuel missed Jumper.,22,16
3:29,2565,Justin Benton Block.,22,16
3:29,-1,Missouri Western Offensive Rebound.,22,16
3:29,-1,Missouri Western  Timeout,22,16
3:27,-1,Cole Clearman made Three Point Jumper. Assisted by Aaron Emmanuel.,25,16
3:08,2565,Tre Harris missed Jumper.,25,16
3:08,2565,Justin Benton Offensive Rebound.,25,16
3:02,2565,Tre Harris made Jumper.,25,18
2:35,-1,Cole Clearman Turnover.,25,18
2:34,2565,Jalen Henry Steal.,25,18
2:29,2565,Tre Harris missed Three Point Jumper.,25,18
2:29,-1,Tj Evans Defensive Rebound.,25,18
1:59,-1,Aaron Emmanuel missed Jumper.,25,18
1:59,2565,Jalen Henry Defensive Rebound.,25,18
1:39,-1,Foul on Beau Baker.,25,18
1:39,2565,Jalen Henry made Free Throw.,25,19
1:39,2565,Jalen Henry made Free Throw.,25,20
1:27,2565,Foul on Carlos Anderson.,25,20
1:07,-1,Boris Rajovic missed Jumper.,25,20
1:07,2565,Keenan Simmons Defensive Rebound.,25,20
0:49,-1,Foul on Beau Baker.,25,20
0:49,2565,Keenan Simmons made Free Throw.,25,21
0:49,2565,Keenan Simmons missed Free Throw.,25,21
0:49,-1,Joe Hamilton Defensive Rebound.,25,21
0:27,-1,Aaron Emmanuel missed Jumper.,25,21
0:27,2565,Jalen Henry Defensive Rebound.,25,21
0:06,2565,Carlos Anderson made Layup.,25,23
0:00,2565,End of 1st half,25,23
19:41,-1,Seth Bonifas made Jumper. Assisted by Aaron Emmanuel.,27,23
19:17,2565,Foul on Jalen Henry.,27,23
19:17,2565,Jalen Henry Turnover.,27,23
18:56,-1,Aaron Emmanuel missed Jumper.,27,23
18:56,-1,Tj Evans Offensive Rebound.,27,23
18:33,-1,Tj Evans made Layup.,29,23
18:21,2565,Burak Eslik missed Three Point Jumper.,29,23
18:21,-1,Cole Clearman Defensive Rebound.,29,23
18:06,-1,Foul on Aaron Emmanuel.,29,23
18:06,-1,Aaron Emmanuel Turnover.,29,23
18:00,-1,Foul on Tj Evans.,29,23
17:57,2565,Burak Eslik missed Three Point Jumper.,29,23
17:57,-1,Aaron Emmanuel Defensive Rebound.,29,23
17:25,-1,Cole Clearman missed Three Point Jumper.,29,23
17:25,2565,Burak Eslik Defensive Rebound.,29,23
17:13,2565,Jalen Henry Turnover.,29,23
17:13,-1,Aaron Emmanuel Steal.,29,23
17:08,-1,Aaron Emmanuel missed Jumper.,29,23
17:08,2565,Christian Ellis Defensive Rebound.,29,23
16:48,2565,Carlos Anderson made Jumper.,29,25
16:14,-1,Cole Clearman missed Three Point Jumper.,29,25
16:14,-1,Tj Evans Offensive Rebound.,29,25
16:04,2565,Foul on Jalen Henry.,29,25
15:53,-1,Aaron Emmanuel missed Jumper.,29,25
15:53,2565,Carlos Anderson Block.,29,25
15:52,-1,Aaron Emmanuel Offensive Rebound.,29,25
15:46,-1,Aaron Emmanuel missed Jumper.,29,25
15:46,2565,Keenan Simmons Block.,29,25
15:46,2565,Burak Eslik Defensive Rebound.,29,25
15:46,-1,Foul on Cole Clearman.,29,25
15:46,2565,Official TV Timeout,29,25
15:46,2565,Burak Eslik made Free Throw.,29,26
15:46,2565,Burak Eslik made Free Throw.,29,27
15:16,-1,Tj Evans missed Layup.,29,27
15:16,-1,Missouri Western Offensive Rebound.,29,27
15:15,-1,Missouri Western  Turnover.,29,27
15:05,-1,Foul on Jason Jones.,29,27
14:59,-1,Foul on Joe Hamilton.,29,27
14:56,2565,Keenan Simmons made Jumper. Assisted by Christian Ellis.,29,29
14:43,-1,Seth Bonifas made Jumper. Assisted by Cole Clearman.,31,29
14:30,2565,Keenan Simmons made Jumper. Assisted by Christian Ellis.,31,31
14:06,-1,Tj Evans missed Jumper.,31,31
14:06,2565,SIU-Edwardsville Defensive Rebound.,31,31
14:06,-1,Foul on Joe Hamilton.,31,31
13:50,2565,Justin Benton made Jumper. Assisted by Burak Eslik.,31,33
13:36,-1,Cole Clearman made Jumper. Assisted by Tj Evans.,33,33
13:19,2565,Justin Benton missed Three Point Jumper.,33,33
13:19,2565,Keenan Simmons Offensive Rebound.,33,33
13:06,2565,Brandon Jackson Turnover.,33,33
12:38,-1,Cole Clearman missed Jumper.,33,33
12:38,2565,Carlos Anderson Defensive Rebound.,33,33
12:28,2565,Carlos Anderson missed Jumper.,33,33
12:28,-1,Beau Baker Defensive Rebound.,33,33
12:12,-1,Seth Bonifas missed Jumper.,33,33
12:12,2565,Devin Thornton Defensive Rebound.,33,33
11:54,2565,Official TV Timeout,33,33
11:51,2565,Justin Benton Turnover.,33,33
11:50,-1,Beau Baker Steal.,33,33
11:47,-1,Aaron Emmanuel made Layup. Assisted by Beau Baker.,35,33
11:17,2565,Devin Thornton missed Three Point Jumper.,35,33
11:17,-1,Jason Jones Defensive Rebound.,35,33
11:17,-1,Jason Jones Turnover.,35,33
11:11,2565,Burak Eslik missed Three Point Jumper.,35,33
11:11,-1,Beau Baker Defensive Rebound.,35,33
11:04,-1,Cole Clearman missed Jumper.,35,33
11:04,-1,Boris Rajovic Offensive Rebound.,35,33
10:39,-1,Aaron Emmanuel missed Layup.,35,33
10:39,2565,Devin Thornton Defensive Rebound.,35,33
10:39,-1,Foul on Aaron Emmanuel.,35,33
10:39,2565,Devin Thornton made Free Throw.,35,34
10:39,2565,Devin Thornton made Free Throw.,35,35
10:15,-1,Aaron Emmanuel Turnover.,35,35
10:15,2565,Christian Ellis Steal.,35,35
10:13,2565,Christian Ellis made Layup.,35,37
9:46,2565,Foul on Tre Harris.,35,37
9:40,2565,Foul on Christian Ellis.,35,37
9:18,-1,Boris Rajovic Turnover.,35,37
9:17,2565,Devin Thornton Steal.,35,37
9:06,-1,Foul on Boris Rajovic.,35,37
9:06,2565,Jalen Henry made Free Throw.,35,38
9:06,2565,Jalen Henry made Free Throw.,35,39
8:45,-1,Seth Bonifas missed Layup.,35,39
8:45,2565,Devin Thornton Defensive Rebound.,35,39
8:31,2565,Christian Ellis Turnover.,35,39
8:09,-1,Beau Baker missed Three Point Jumper.,35,39
8:09,-1,Cole Clearman Offensive Rebound.,35,39
7:59,-1,Tj Evans missed Three Point Jumper.,35,39
7:59,2565,Christian Ellis Defensive Rebound.,35,39
7:40,2565,Devin Thornton missed Jumper.,35,39
7:40,-1,Aaron Emmanuel Defensive Rebound.,35,39
7:21,2565,Foul on Justin Benton.,35,39
7:21,2565,Official TV Timeout,35,39
7:20,-1,Cole Clearman made Three Point Jumper. Assisted by Aaron Emmanuel.,38,39
7:03,2565,Christian Ellis missed Three Point Jumper.,38,39
7:03,-1,Aaron Emmanuel Defensive Rebound.,38,39
6:36,-1,Aaron Emmanuel Turnover.,38,39
6:21,-1,Foul on Seth Bonifas.,38,39
6:21,2565,Jalen Henry missed Free Throw.,38,39
6:21,-1,Aaron Emmanuel Defensive Rebound.,38,39
5:51,-1,Aaron Emmanuel missed Jumper.,38,39
5:51,-1,Missouri Western Offensive Rebound.,38,39
5:51,-1,Missouri Western  Turnover.,38,39
5:29,2565,Christian Ellis missed Three Point Jumper.,38,39
5:29,2565,Tre Harris Offensive Rebound.,38,39
5:26,2565,Tre Harris made Layup.,38,41
4:55,-1,Tj Evans made Layup.,40,41
4:55,2565,Foul on Tre Harris.,40,41
4:55,-1,Tj Evans missed Free Throw.,40,41
4:55,2565,Keenan Simmons Defensive Rebound.,40,41
4:35,2565,Keenan Simmons missed Jumper.,40,41
4:35,-1,Seth Bonifas Block.,40,41
4:35,2565,SIU-Edwardsville Offensive Rebound.,40,41
4:32,2565,Keenan Simmons missed Jumper.,40,41
4:32,-1,Tj Evans Defensive Rebound.,40,41
4:13,-1,Seth Bonifas made Jumper.,42,41
3:49,-1,Foul on Cole Clearman.,42,41
3:49,2565,Official TV Timeout,42,41
3:49,2565,Jalen Henry missed Free Throw.,42,41
3:49,2565,SIU-Edwardsville Deadball Team Rebound.,42,41
3:49,2565,Jalen Henry missed Free Throw.,42,41
3:49,-1,Cole Clearman Defensive Rebound.,42,41
3:28,-1,Cole Clearman made Three Point Jumper. Assisted by Beau Baker.,45,41
3:15,-1,Foul on Tj Evans.,45,41
3:15,2565,Burak Eslik made Free Throw.,45,42
3:15,2565,Burak Eslik made Free Throw.,45,43
2:54,-1,Aaron Emmanuel made Layup.,47,43
2:38,-1,Foul on Seth Bonifas.,47,43
2:38,2565,Carlos Anderson missed Free Throw.,47,43
2:38,2565,SIU-Edwardsville Deadball Team Rebound.,47,43
2:38,2565,Carlos Anderson missed Free Throw.,47,43
2:38,2565,Keenan Simmons Offensive Rebound.,47,43
2:34,2565,Keenan Simmons Turnover.,47,43
2:32,-1,Cole Clearman Steal.,47,43
2:09,-1,Cole Clearman missed Jumper.,47,43
2:09,2565,Carlos Anderson Defensive Rebound.,47,43
1:57,2565,Burak Eslik missed Three Point Jumper.,47,43
1:57,-1,Aaron Emmanuel Defensive Rebound.,47,43
1:37,-1,Foul on Tj Evans.,47,43
1:37,-1,Tj Evans Turnover.,47,43
1:34,2565,SIU-Edwardsville  Timeout,47,43
1:12,-1,Foul on Seth Bonifas.,47,43
1:12,2565,Jalen Henry made Free Throw.,47,44
1:12,2565,Jalen Henry missed Free Throw.,47,44
1:12,-1,Aaron Emmanuel Defensive Rebound.,47,44
0:55,-1,Cole Clearman Turnover.,47,44
0:55,-1,Cole Clearman Turnover.,47,44
0:35,2565,Christian Ellis missed Jumper.,47,44
0:35,-1,Beau Baker Block.,47,44
0:33,-1,Beau Baker Defensive Rebound.,47,44
0:30,-1,Missouri Western  Timeout,47,44
0:13,-1,Tj Evans made Layup.,49,44
0:02,2565,Burak Eslik missed Jumper.,49,44
0:02,2565,Keenan Simmons Offensive Rebound.,49,44
0:00,2565,Keenan Simmons Turnover.,49,44
0:00,2565,End of Game,49,44
