Albany,2142,Colgate,399
11:50,2142,Jordan Robertson Offensive Rebound.,43,39
11:40,2142,Sean O'Brien made Layup.,43,41
11:26,2142,Foul on Tom Rivard.,43,41
11:26,2142,Official TV Timeout,43,41
11:26,399,Joe Cremo made Free Throw.,44,41
11:26,399,Joe Cremo made Free Throw.,45,41
11:26,399,Foul on Greig Stire.,45,41
10:59,2142,Sean O'Brien missed Three Point Jumper.,45,41
10:59,399,Dallas Ennema Defensive Rebound.,45,41
10:29,399,Joe Cremo missed Jumper.,45,41
10:29,399,Devonte Campbell Offensive Rebound.,45,41
10:27,2142,Foul on Tom Rivard.,45,41
10:07,399,David Nichols missed Three Point Jumper.,45,41
10:07,399,Mike Rowley Offensive Rebound.,45,41
10:04,2142,Foul on Jordan Swopshire.,45,41
9:46,399,Joe Cremo made Jumper. Assisted by David Nichols.,47,41
9:21,2142,Tom Rivard made Layup. Assisted by Sean O'Brien.,47,43
9:02,399,Joe Cremo missed Three Point Jumper.,47,43
9:02,399,Devonte Campbell Offensive Rebound.,47,43
8:59,2142,Foul on Dana Batt.,47,43
8:42,2142,Foul on Dave Krmpotich.,47,43
8:42,399,David Nichols made Free Throw.,48,43
8:42,399,David Nichols made Free Throw.,49,43
8:19,2142,Jordan Swopshire made Jumper.,49,45
7:55,399,Marqueese Grayson made Jumper.,51,45
7:37,2142,Jordan Swopshire made Three Point Jumper.,51,48
7:09,399,Devonte Campbell made Three Point Jumper. Assisted by David Nichols.,54,48
6:41,399,Foul on Dallas Ennema.,54,48
6:41,2142,Official TV Timeout,54,48
6:10,2142,Francisco Amiel Turnover.,54,48
5:50,399,Mike Rowley Turnover.,54,48
5:49,2142,Malcolm Regisford Steal.,54,48
5:43,2142,Jordan Swopshire missed Three Point Jumper.,54,48
5:43,399,Dallas Ennema Defensive Rebound.,54,48
5:20,399,Joe Cremo made Layup.,56,48
4:55,2142,Will Rayman missed Three Point Jumper.,56,48
4:55,399,Joe Cremo Defensive Rebound.,56,48
4:25,399,David Nichols missed Jumper.,56,48
4:25,399,Dallas Ennema Offensive Rebound.,56,48
4:04,399,Joe Cremo made Three Point Jumper. Assisted by David Nichols.,59,48
3:57,2142,Colgate  Timeout,59,48
3:46,2142,Sean O'Brien Turnover.,59,48
3:46,2142,Official TV Timeout,59,48
3:20,399,Joe Cremo missed Jumper.,59,48
3:20,2142,Will Rayman Block.,59,48
3:15,2142,Will Rayman Defensive Rebound.,59,48
3:05,2142,Jordan Swopshire missed Three Point Jumper.,59,48
3:05,399,Marqueese Grayson Defensive Rebound.,59,48
2:37,2142,Foul on Francisco Amiel.,59,48
2:37,399,Joe Cremo made Free Throw.,60,48
2:37,399,Joe Cremo made Free Throw.,61,48
2:20,2142,Will Rayman missed Three Point Jumper.,61,48
2:20,399,Dallas Ennema Defensive Rebound.,61,48
2:02,2142,Foul on Francisco Amiel.,61,48
2:02,399,Marqueese Grayson made Free Throw.,62,48
2:02,399,Marqueese Grayson missed Free Throw.,62,48
2:02,2142,Jordan Swopshire Defensive Rebound.,62,48
1:53,2142,Will Rayman made Layup.,62,50
1:42,2142,Colgate  Timeout,62,50
1:32,2142,Foul on Jordan Swopshire.,62,50
1:32,399,David Nichols missed Free Throw.,62,50
1:32,399,Albany Deadball Team Rebound.,62,50
1:32,399,David Nichols made Free Throw.,63,50
1:27,2142,Sean O'Brien Turnover.,63,50
1:27,399,David Nichols Steal.,63,50
1:22,2142,Foul on Will Rayman.,63,50
1:22,399,Joe Cremo made Free Throw.,64,50
1:22,399,Joe Cremo made Free Throw.,65,50
1:15,2142,Francisco Amiel Turnover.,65,50
1:14,399,Joe Cremo Steal.,65,50
1:14,2142,Foul on Sean O'Brien.,65,50
1:14,399,Joe Cremo made Free Throw.,66,50
1:14,399,Joe Cremo made Free Throw.,67,50
1:07,2142,Sean O'Brien made Three Point Jumper. Assisted by Tom Rivard.,67,53
0:57,399,Albany  Timeout,67,53
0:53,399,Dallas Ennema Turnover.,67,53
0:42,2142,Tom Rivard Steal.,67,53
0:40,2142,Sean O'Brien made Layup.,67,55
0:36,2142,Foul on Sean O'Brien.,67,55
0:36,399,Terrel Martin-Garcia missed Free Throw.,67,55
0:36,399,Albany Deadball Team Rebound.,67,55
0:36,399,Terrel Martin-Garcia made Free Throw.,68,55
0:34,2142,Jordan Swopshire made Three Point Jumper. Assisted by Sean O'Brien.,68,58
0:28,2142,Foul on Tom Rivard.,68,58
0:28,399,Costa Anderson made Free Throw.,69,58
0:28,399,Costa Anderson made Free Throw.,70,58
0:26,2142,Francisco Amiel made Three Point Jumper.,70,61
0:21,2142,Foul on Will Rayman.,70,61
0:21,399,Terrel Martin-Garcia made Free Throw.,71,61
0:21,399,Terrel Martin-Garcia made Free Throw.,72,61
0:14,399,Foul on Terrel Martin-Garcia.,72,61
0:14,2142,Francisco Amiel made Free Throw.,72,62
0:14,2142,Francisco Amiel made Free Throw.,72,63
0:05,399,Terrel Martin-Garcia made Dunk. Assisted by Costa Anderson.,74,63
0:03,2142,Jordan Swopshire made Three Point Jumper. Assisted by Francisco Amiel.,74,66
0:00,2142,End of Game,74,66
