Rutgers,2619,Stony Brook,164
2:53,164,Nigel Johnson made Free Throw.,30,34
2:51,2619,Akwasi Yeboah Turnover.,30,34
2:50,164,Nigel Johnson Steal.,30,34
2:48,164,Nigel Johnson made Layup.,32,34
2:45,2619,Stony Brook  Timeout,32,34
2:26,2619,Roland Nyama made Three Point Jumper. Assisted by Kameron Mitchell.,32,37
2:09,164,Nigel Johnson made Jumper.,34,37
1:44,2619,Roland Nyama Turnover.,34,37
1:42,164,Eugene Omoruyi Steal.,34,37
1:39,164,Mike Williams Turnover.,34,37
1:22,2619,Akwasi Yeboah missed Three Point Jumper.,34,37
1:22,164,Jonathan Laurent Defensive Rebound.,34,37
1:13,164,Eugene Omoruyi Turnover.,34,37
1:13,164,Foul on Eugene Omoruyi.,34,37
0:56,2619,Roland Nyama Turnover.,34,37
0:39,164,C.J. Gettys made Layup.,36,37
0:13,2619,Kameron Mitchell Turnover.,36,37
0:13,164,C.J. Gettys Steal.,36,37
0:13,2619,Foul on Michael Almonacy.,36,37
0:01,164,Nigel Johnson missed Three Point Jumper.,36,37
0:01,2619,Roland Nyama Defensive Rebound.,36,37
0:00,2619,End of 1st half,36,37
19:44,2619,UC Iroegbu made Three Point Jumper. Assisted by Tyrell Sturdivant.,36,40
19:21,164,C.J. Gettys missed Jumper.,36,40
19:21,2619,UC Iroegbu Defensive Rebound.,36,40
18:53,2619,Lucas Woodhouse made Three Point Jumper. Assisted by UC Iroegbu.,36,43
18:50,164,Rutgers  Timeout,36,43
18:50,2619,Official TV Timeout,36,43
18:30,164,Corey Sanders missed Jumper.,36,43
18:30,2619,Roland Nyama Defensive Rebound.,36,43
18:07,2619,UC Iroegbu made Jumper.,36,45
17:45,2619,Foul on Tyrell Sturdivant.,36,45
17:45,164,C.J. Gettys missed Free Throw.,36,45
17:45,164,Rutgers Deadball Team Rebound.,36,45
17:45,164,C.J. Gettys made Free Throw.,37,45
17:24,2619,Tyrell Sturdivant made Layup. Assisted by Lucas Woodhouse.,37,47
17:24,164,Foul on Issa Thiam.,37,47
17:24,2619,Tyrell Sturdivant missed Free Throw.,37,47
17:24,164,Rutgers Defensive Rebound.,37,47
17:16,2619,Foul on Roland Nyama.,37,47
17:08,164,Corey Sanders missed Layup.,37,47
17:08,164,Rutgers Offensive Rebound.,37,47
16:57,164,Nigel Johnson made Three Point Jumper.,40,47
16:35,2619,Lucas Woodhouse Turnover.,40,47
16:21,164,Mike Williams missed Three Point Jumper.,40,47
16:21,2619,Lucas Woodhouse Defensive Rebound.,40,47
16:12,2619,Tyrell Sturdivant missed Layup.,40,47
16:12,164,Deshawn Freeman Block.,40,47
16:11,164,Corey Sanders Defensive Rebound.,40,47
16:07,164,Corey Sanders made Layup.,42,47
15:46,2619,UC Iroegbu missed Three Point Jumper.,42,47
15:46,164,Deshawn Freeman Defensive Rebound.,42,47
15:22,164,Corey Sanders Turnover.,42,47
15:22,164,Foul on Corey Sanders.,42,47
15:22,2619,Official TV Timeout,42,47
15:01,2619,Akwasi Yeboah made Layup.,42,49
14:40,164,Candido Sa missed Jumper.,42,49
14:40,2619,Stony Brook Defensive Rebound.,42,49
14:15,2619,Jakub Petras missed Jumper.,42,49
14:15,2619,Akwasi Yeboah Offensive Rebound.,42,49
13:47,2619,Kameron Mitchell Turnover.,42,49
13:46,164,Mike Williams Steal.,42,49
13:41,164,Issa Thiam missed Three Point Jumper.,42,49
13:41,164,Rutgers Offensive Rebound.,42,49
13:40,2619,Foul on Bryan Sekunda.,42,49
13:34,164,Corey Sanders made Jumper. Assisted by Mike Williams.,44,49
13:04,2619,Jakub Petras missed Layup.,44,49
13:04,2619,Michael Almonacy Offensive Rebound.,44,49
13:03,2619,Bryan Sekunda Turnover.,44,49
13:03,2619,Foul on Bryan Sekunda.,44,49
12:45,164,Deshawn Freeman missed Layup.,44,49
12:45,2619,Bryan Sekunda Block.,44,49
12:45,164,Rutgers Offensive Rebound.,44,49
12:33,164,Nigel Johnson Turnover.,44,49
12:32,2619,Lucas Woodhouse Steal.,44,49
12:29,2619,Bryan Sekunda made Three Point Jumper. Assisted by Lucas Woodhouse.,44,52
12:11,164,C.J. Gettys made Layup.,46,52
11:53,2619,Bryan Sekunda made Three Point Jumper. Assisted by Lucas Woodhouse.,46,55
11:34,164,Issa Thiam made Layup.,48,55
11:32,164,Rutgers  Timeout,48,55
11:32,2619,Official TV Timeout,48,55
11:14,2619,Bryan Sekunda missed Three Point Jumper.,48,55
11:14,164,Nigel Johnson Defensive Rebound.,48,55
10:58,164,Nigel Johnson made Jumper.,50,55
10:35,2619,Bryan Sekunda Turnover.,50,55
10:34,164,Corey Sanders Steal.,50,55
10:33,164,Deshawn Freeman made Dunk. Assisted by Corey Sanders.,52,55
10:05,2619,Kameron Mitchell missed Layup.,52,55
10:05,164,Deshawn Freeman Defensive Rebound.,52,55
10:01,164,Nigel Johnson made Layup.,54,55
10:01,2619,Foul on Lucas Woodhouse.,54,55
10:01,164,Nigel Johnson missed Free Throw.,54,55
10:01,2619,Junior Saintel Defensive Rebound.,54,55
9:41,2619,UC Iroegbu missed Jumper.,54,55
9:41,164,Deshawn Freeman Defensive Rebound.,54,55
9:30,2619,Foul on Akwasi Yeboah.,54,55
9:29,164,Nigel Johnson missed Three Point Jumper.,54,55
9:29,2619,Tyrell Sturdivant Defensive Rebound.,54,55
9:15,2619,UC Iroegbu missed Three Point Jumper.,54,55
9:15,164,Deshawn Freeman Defensive Rebound.,54,55
8:58,164,C.J. Gettys made Layup.,56,55
8:58,2619,Foul on Tyrell Sturdivant.,56,55
8:58,164,C.J. Gettys made Free Throw.,57,55
8:42,2619,Tyrell Sturdivant missed Jumper.,57,55
8:42,164,Corey Sanders Defensive Rebound.,57,55
8:33,164,Corey Sanders made Layup.,59,55
8:32,2619,Stony Brook  Timeout,59,55
8:05,2619,Lucas Woodhouse missed Layup.,59,55
8:05,164,Mike Williams Defensive Rebound.,59,55
7:59,164,Mike Williams made Layup. Assisted by Nigel Johnson.,61,55
7:59,2619,Foul on Tyrell Sturdivant.,61,55
7:59,2619,Official TV Timeout,61,55
7:59,164,Mike Williams missed Free Throw.,61,55
7:59,2619,Tyrell Sturdivant Defensive Rebound.,61,55
7:42,2619,Akwasi Yeboah missed Jumper.,61,55
7:42,164,Deshawn Freeman Block.,61,55
7:41,2619,Tyrell Sturdivant Offensive Rebound.,61,55
7:41,164,Foul on Candido Sa.,61,55
7:36,2619,UC Iroegbu missed Three Point Jumper.,61,55
7:36,164,Corey Sanders Defensive Rebound.,61,55
7:22,164,Issa Thiam missed Three Point Jumper.,61,55
7:22,2619,Akwasi Yeboah Defensive Rebound.,61,55
6:56,2619,Akwasi Yeboah missed Three Point Jumper.,61,55
6:56,2619,Roland Nyama Offensive Rebound.,61,55
6:50,2619,Roland Nyama made Three Point Jumper.,61,58
6:25,2619,Foul on Tyrell Sturdivant.,61,58
6:25,164,Candido Sa missed Free Throw.,61,58
6:25,2619,Lucas Woodhouse Defensive Rebound.,61,58
6:07,2619,Roland Nyama missed Three Point Jumper.,61,58
6:07,164,Nigel Johnson Defensive Rebound.,61,58
5:56,2619,Foul on Roland Nyama.,61,58
5:56,164,Nigel Johnson made Free Throw.,62,58
5:56,164,Nigel Johnson made Free Throw.,63,58
5:35,2619,Roland Nyama made Jumper.,63,60
5:13,2619,Foul on Roland Nyama.,63,60
5:13,164,Nigel Johnson made Free Throw.,64,60
5:13,164,Nigel Johnson made Free Throw.,65,60
4:53,2619,Lucas Woodhouse made Three Point Jumper. Assisted by Jakub Petras.,65,63
4:34,164,Corey Sanders Turnover.,65,63
4:34,164,Foul on Corey Sanders.,65,63
4:17,2619,Bryan Sekunda missed Three Point Jumper.,65,63
4:17,164,Nigel Johnson Defensive Rebound.,65,63
3:59,164,Corey Sanders missed Layup.,65,63
3:59,2619,Jakub Petras Defensive Rebound.,65,63
3:59,164,Foul on Mike Williams.,65,63
3:59,2619,Official TV Timeout,65,63
3:40,2619,Roland Nyama missed Jumper.,65,63
3:40,164,Mike Williams Defensive Rebound.,65,63
3:21,2619,Foul on Roland Nyama.,65,63
3:21,164,Nigel Johnson made Free Throw.,66,63
3:21,164,Nigel Johnson made Free Throw.,67,63
3:04,2619,Lucas Woodhouse missed Three Point Jumper.,67,63
3:04,164,Deshawn Freeman Defensive Rebound.,67,63
2:34,164,C.J. Gettys Turnover.,67,63
2:34,164,Foul on C.J. Gettys.,67,63
2:07,2619,Akwasi Yeboah made Three Point Jumper. Assisted by Bryan Sekunda.,67,66
1:45,164,Nigel Johnson missed Three Point Jumper.,67,66
1:45,164,Deshawn Freeman Offensive Rebound.,67,66
1:43,2619,Foul on Jakub Petras.,67,66
1:43,164,Deshawn Freeman made Free Throw.,68,66
1:43,164,Deshawn Freeman made Free Throw.,69,66
1:17,2619,Lucas Woodhouse missed Layup.,69,66
1:17,2619,Stony Brook Offensive Rebound.,69,66
0:52,2619,Akwasi Yeboah missed Three Point Jumper.,69,66
0:52,164,Corey Sanders Defensive Rebound.,69,66
0:25,164,Corey Sanders missed Three Point Jumper.,69,66
0:25,2619,Lucas Woodhouse Defensive Rebound.,69,66
0:16,2619,Stony Brook  Timeout,69,66
0:06,2619,UC Iroegbu missed Three Point Jumper.,69,66
0:06,164,Mike Williams Defensive Rebound.,69,66
0:03,2619,Foul on Akwasi Yeboah.,69,66
0:03,2619,Stony Brook  Timeout,69,66
0:03,164,Mike Williams made Free Throw.,70,66
0:03,164,Mike Williams made Free Throw.,71,66
0:00,2619,End of Game,71,66
