Cal Poly,278,Fresno State,13
5:30,278,Terrell Carter II Turnover.,43,62
5:30,278,Technical Foul on Fresno St.,43,62
5:30,13,Donovan Fields made Free Throw.,44,62
5:30,13,Donovan Fields made Free Throw.,45,62
5:13,13,Donovan Fields missed Jumper.,45,62
5:13,278,Terrell Carter II Block.,45,62
5:11,278,Terrell Carter II Defensive Rebound.,45,62
4:52,278,Cullen Russo made Layup. Assisted by Jaron Hopkins.,45,64
4:35,13,Donovan Fields Turnover.,45,64
4:35,278,Cullen Russo Steal.,45,64
4:19,278,Paul Watson made Three Point Jumper. Assisted by Cullen Russo.,45,67
4:07,13,Jakub Niziol missed Three Point Jumper.,45,67
4:07,13,Zach Gordon Offensive Rebound.,45,67
3:59,278,Official TV Timeout,45,67
3:52,278,Foul on Jaron Hopkins.,45,67
3:52,13,Victor Joseph missed Free Throw.,45,67
3:52,13,Cal Poly Deadball Team Rebound.,45,67
3:52,13,Victor Joseph made Free Throw.,46,67
3:30,278,Jaron Hopkins made Layup.,46,69
3:20,13,Victor Joseph missed Three Point Jumper.,46,69
3:20,278,Cullen Russo Defensive Rebound.,46,69
3:09,278,Terrell Carter II missed Jumper.,46,69
3:09,13,Trevor John Defensive Rebound.,46,69
3:03,13,Jakub Niziol made Three Point Jumper. Assisted by Ridge Shipley.,49,69
2:31,278,Terrell Carter II Turnover.,49,69
2:30,13,Trevor John Steal.,49,69
2:17,13,Trevor John made Three Point Jumper. Assisted by Ridge Shipley.,52,69
2:08,13,Foul on Victor Joseph.,52,69
2:08,278,Paul Watson made Free Throw.,52,70
2:08,278,Paul Watson made Free Throw.,52,71
1:55,13,Taylor Sutlive Turnover.,52,71
1:51,278,Cullen Russo Steal.,52,71
1:51,278,Cullen Russo made Dunk.,52,73
1:51,278,Technical Foul on Cullen Russo.,52,73
1:51,278,Foul on Cullen Russo.,52,73
1:51,13,Trevor John made Free Throw.,53,73
1:51,13,Trevor John made Free Throw.,54,73
1:36,13,Taylor Sutlive missed Three Point Jumper.,54,73
1:36,278,Jahmel Taylor Defensive Rebound.,54,73
1:14,278,Jaron Hopkins Turnover.,54,73
1:14,13,Trevor John Steal.,54,73
1:10,278,Foul on Johnny McWilliams.,54,73
1:10,13,Ridge Shipley missed Free Throw.,54,73
1:10,13,Cal Poly Deadball Team Rebound.,54,73
1:10,13,Ridge Shipley made Free Throw.,55,73
0:53,278,Johnny McWilliams missed Three Point Jumper.,55,73
0:53,13,Cal Poly Defensive Rebound.,55,73
0:39,13,Taylor Sutlive made Jumper.,57,73
0:06,278,Fresno St  Turnover.,57,73
0:02,13,Ridge Shipley missed Layup.,57,73
0:02,13,Hank Hollingsworth Offensive Rebound.,57,73
0:01,13,Hank Hollingsworth made Dunk.,59,73
0:00,278,End of Game,57,73
