Toledo,276,Marshall,2649
12:46,2649,Steve Taylor Jr. Defensive Rebound.,62,65
12:31,2649,Foul on Luke Knapke.,62,65
12:31,2649,Luke Knapke Turnover.,62,65
12:13,276,Stevie Browning missed Three Point Jumper.,62,65
12:13,2649,Luke Knapke Defensive Rebound.,62,65
12:05,2649,Jaelan Sanford made Jumper.,64,65
11:55,276,Jon Elmore made Layup.,64,67
11:29,2649,Jaelan Sanford missed Three Point Jumper.,64,67
11:29,2649,Jordan Lauf Offensive Rebound.,64,67
11:23,2649,Steve Taylor Jr. missed Three Point Jumper.,64,67
11:23,276,Aleksa Nikolic Defensive Rebound.,64,67
11:09,2649,Foul on Jordan Lauf.,64,67
11:09,276,Official TV Timeout,64,67
11:09,2649,Foul on Jonathan Williams.,64,67
11:00,276,Ryan Taylor made Three Point Jumper. Assisted by Stevie Browning.,64,70
10:33,2649,Toledo  Timeout,64,70
10:33,276,Official TV Timeout,64,70
10:28,2649,Jonathan Williams missed Layup.,64,70
10:28,276,Ryan Taylor Block.,64,70
10:26,2649,Jonathan Williams Offensive Rebound.,64,70
10:21,2649,Zach Garber made Layup.,66,70
10:07,276,Stevie Browning made Jumper.,66,72
9:39,2649,Jonathan Williams Turnover.,66,72
9:38,276,Stevie Browning Steal.,66,72
9:37,2649,Foul on Lucas Antunez.,66,72
9:37,276,Aleksa Nikolic missed Free Throw.,66,72
9:37,2649,Jonathan Williams Defensive Rebound.,66,72
9:18,2649,Jonathan Williams missed Three Point Jumper.,66,72
9:18,2649,Zach Garber Offensive Rebound.,66,72
9:12,2649,Zach Garber made Layup.,68,72
9:05,276,Ryan Taylor missed Three Point Jumper.,68,72
9:05,2649,Lucas Antunez Defensive Rebound.,68,72
8:50,2649,Zach Garber missed Layup.,68,72
8:50,276,Ryan Taylor Defensive Rebound.,68,72
8:40,2649,Foul on Zach Garber.,68,72
8:40,276,Ryan Taylor missed Free Throw.,68,72
8:40,2649,Steve Taylor Jr. Defensive Rebound.,68,72
8:13,2649,Luke Knapke made Layup. Assisted by Steve Taylor Jr..,70,72
7:58,276,Jon Elmore made Layup.,70,74
7:36,276,Foul on Ryan Taylor.,70,74
7:36,276,Official TV Timeout,70,74
7:36,2649,Luke Knapke made Free Throw.,71,74
7:36,2649,Luke Knapke missed Free Throw.,71,74
7:36,2649,Jonathan Williams Offensive Rebound.,71,74
7:32,2649,Nate Navigato missed Three Point Jumper.,71,74
7:32,276,Jon Elmore Defensive Rebound.,71,74
7:17,276,Jon Elmore made Layup.,71,76
7:04,276,Foul on Milan Mijovic.,71,76
7:04,2649,Jonathan Williams made Free Throw.,72,76
7:04,2649,Jonathan Williams missed Free Throw.,72,76
7:04,276,Marshall Defensive Rebound.,72,76
7:04,2649,Foul on Jordan Lauf.,72,76
7:04,276,Phil Bledsoe made Free Throw.,72,77
7:04,276,Phil Bledsoe made Free Throw.,72,78
6:50,2649,Luke Knapke made Layup. Assisted by Jaelan Sanford.,74,78
6:42,276,Austin Loop made Three Point Jumper. Assisted by Jon Elmore.,74,81
6:19,2649,Nate Navigato made Layup.,76,81
6:06,276,Austin Loop missed Three Point Jumper.,76,81
6:06,2649,Jaelan Sanford Defensive Rebound.,76,81
5:55,2649,Nate Navigato made Three Point Jumper. Assisted by Jonathan Williams.,79,81
5:41,276,Jon Elmore missed Jumper.,79,81
5:41,2649,Luke Knapke Defensive Rebound.,79,81
5:34,276,Foul on Phil Bledsoe.,79,81
5:34,2649,Jonathan Williams made Free Throw.,80,81
5:34,2649,Jonathan Williams made Free Throw.,81,81
5:26,276,Stevie Browning missed Jumper.,81,81
5:26,276,Aleksa Nikolic Offensive Rebound.,81,81
5:13,276,Jon Elmore Turnover.,81,81
5:12,2649,Jaelan Sanford Steal.,81,81
5:05,2649,Steve Taylor Jr. made Layup.,83,81
4:51,276,Jon Elmore made Layup.,83,83
4:28,2649,Steve Taylor Jr. made Layup.,85,83
4:15,276,Foul on Ajdin Penava.,85,83
4:15,276,Ajdin Penava Turnover.,85,83
4:03,2649,Jaelan Sanford made Layup.,87,83
3:51,276,Ryan Taylor made Layup. Assisted by Jon Elmore.,87,85
3:49,276,Official TV Timeout,87,85
3:22,2649,Steve Taylor Jr. missed Jumper.,87,85
3:22,2649,Jonathan Williams Offensive Rebound.,87,85
2:56,2649,Jonathan Williams Turnover.,87,85
2:41,276,Jon Elmore made Layup.,87,87
2:22,2649,Nate Navigato made Three Point Jumper. Assisted by Jonathan Williams.,90,87
2:12,2649,Foul on Jordan Lauf.,90,87
2:12,276,Jon Elmore made Free Throw.,90,88
2:12,276,Jon Elmore made Free Throw.,90,89
2:12,276,Marshall  Timeout,90,89
1:52,2649,Nate Navigato made Three Point Jumper. Assisted by Steve Taylor Jr..,93,89
1:39,276,Jon Elmore missed Three Point Jumper.,93,89
1:39,2649,Steve Taylor Jr. Defensive Rebound.,93,89
