William Jewell,Error,UMKC,140
6:23,140,LaVell Boyd Defensive Rebound.,29,28
6:10,140,Darnell Tillman Turnover.,29,28
5:56,-1,Easton Koch Turnover.,29,28
5:33,140,Jordan Giles Turnover.,29,28
5:26,-1,Easton Koch Turnover.,29,28
5:25,140,Broderick Robinson Steal.,29,28
5:19,140,LaVell Boyd made Layup.,29,30
4:56,140,Foul on LaVell Boyd.,29,30
4:47,-1,Matt Lassen missed Three Point Jumper.,29,30
4:47,140,Broderick Robinson Defensive Rebound.,29,30
4:37,140,Isaiah Ross made Three Point Jumper. Assisted by LaVell Boyd.,29,33
4:35,-1,William Jewell  Timeout,29,33
4:09,-1,Emil Ostafiicuic Turnover.,29,33
3:58,-1,Foul on Patrick Whelan.,29,33
3:58,140,Official TV Timeout,29,33
3:57,140,Jordan Giles made Layup.,29,35
3:31,-1,Easton Koch missed Three Point Jumper.,29,35
3:31,140,LaVell Boyd Defensive Rebound.,29,35
3:26,-1,Foul on Matt Lassen.,29,35
3:26,140,LaVell Boyd made Free Throw.,29,36
3:26,140,LaVell Boyd made Free Throw.,29,37
3:07,-1,Austin Regier missed Layup.,29,37
3:07,140,Darnell Tillman Defensive Rebound.,29,37
2:59,140,LaVell Boyd made Layup.,29,39
2:45,140,Foul on Dashawn King.,29,39
2:45,-1,Easton Koch made Free Throw.,30,39
2:45,-1,Easton Koch made Free Throw.,31,39
2:37,140,Isaiah Ross missed Jumper.,31,39
2:37,140,Darnell Tillman Offensive Rebound.,31,39
2:37,140,Darnell Tillman missed Two Point Tip Shot.,31,39
2:37,140,Darnell Tillman Offensive Rebound.,31,39
2:36,140,Darnell Tillman made Layup.,31,41
2:36,-1,Foul on Matt Lassen.,31,41
2:36,140,Darnell Tillman missed Free Throw.,31,41
2:36,-1,Austin Regier Defensive Rebound.,31,41
2:20,-1,Matt Lassen missed Three Point Jumper.,31,41
2:20,-1,Clark Minnifield Offensive Rebound.,31,41
2:16,-1,Easton Koch missed Three Point Jumper.,31,41
2:16,140,Darnell Tillman Defensive Rebound.,31,41
2:10,140,Darnell Tillman Turnover.,31,41
2:08,-1,Austin Regier Steal.,31,41
2:07,-1,Austin Regier made Layup.,33,41
1:58,140,LaVell Boyd missed Jumper.,33,41
1:58,-1,Easton Koch Defensive Rebound.,33,41
1:51,-1,Patrick Whelan missed Three Point Jumper.,33,41
1:51,-1,Austin Regier Offensive Rebound.,33,41
1:28,-1,Patrick Whelan made Three Point Jumper. Assisted by Easton Koch.,36,41
1:06,140,LaVell Boyd made Layup.,36,43
0:42,-1,Easton Koch Turnover.,36,43
0:41,140,LaVell Boyd Steal.,36,43
0:34,140,LaVell Boyd missed Three Point Jumper.,36,43
0:34,-1,Austin Regier Defensive Rebound.,36,43
0:05,140,Foul on LaVell Boyd.,36,43
0:00,-1,Clark Minnifield missed Three Point Jumper.,36,43
0:00,140,Aleer Leek Defensive Rebound.,36,43
0:00,140,End of 1st half,36,43
19:43,140,Kyle Steward missed Three Point Jumper.,36,43
19:43,-1,Patrick Whelan Defensive Rebound.,36,43
19:19,-1,Larry Fitzgerald made Layup.,38,43
19:03,140,Foul on Kyle Steward.,38,43
19:03,140,Kyle Steward Turnover.,38,43
18:58,-1,Larry Fitzgerald made Layup.,40,43
18:30,140,Dashawn King missed Jumper.,40,43
18:30,140,Darnell Tillman Offensive Rebound.,40,43
18:26,140,Darnell Tillman made Layup.,40,45
18:06,-1,Patrick Whelan missed Three Point Jumper.,40,45
18:06,-1,Emil Ostafiicuic Offensive Rebound.,40,45
18:04,140,Foul on Darnell Tillman.,40,45
18:03,-1,Patrick Whelan missed Layup.,40,45
18:03,140,Darnell Tillman Block.,40,45
18:01,140,Darnell Tillman Defensive Rebound.,40,45
17:54,140,Isaiah Ross missed Three Point Jumper.,40,45
17:54,140,Kyle Steward Offensive Rebound.,40,45
17:47,-1,Foul on Easton Koch.,40,45
17:44,140,Foul on Kyle Steward.,40,45
17:44,140,Kyle Steward Turnover.,40,45
17:23,-1,Easton Koch missed Jumper.,40,45
17:23,140,Darnell Tillman Block.,40,45
17:21,140,Xavier Bishop Defensive Rebound.,40,45
17:14,140,Jordan Giles made Jumper.,40,47
17:13,-1,Foul on Emil Ostafiicuic.,40,47
17:13,140,Jordan Giles made Free Throw.,40,48
17:06,140,Foul on Xavier Bishop.,40,48
17:06,-1,Matt Lassen Turnover.,40,48
16:46,140,Jordan Giles Turnover.,40,48
16:45,-1,Austin Regier Steal.,40,48
16:44,-1,Austin Regier made Layup.,42,48
16:43,140,Foul on Jordan Giles.,42,48
16:43,-1,Austin Regier missed Free Throw.,42,48
16:43,140,Darnell Tillman Defensive Rebound.,42,48
16:33,140,Xavier Bishop Turnover.,42,48
16:31,-1,Larry Fitzgerald Steal.,42,48
16:29,-1,Larry Fitzgerald missed Layup.,42,48
16:29,140,Darnell Tillman Defensive Rebound.,42,48
16:19,140,Jordan Giles made Layup. Assisted by LaVell Boyd.,42,50
16:19,-1,Foul on Easton Koch.,42,50
16:19,140,Jordan Giles made Free Throw.,42,51
16:00,-1,Easton Koch made Three Point Jumper. Assisted by Emil Ostafiicuic.,45,51
15:51,140,LaVell Boyd made Layup.,45,53
15:45,-1,Patrick Whelan made Three Point Jumper.,48,53
15:28,140,Aleer Leek made Jumper.,48,55
15:27,-1,Foul on Emil Ostafiicuic.,48,55
15:27,140,Official TV Timeout,48,55
15:27,140,Aleer Leek made Free Throw.,48,56
15:11,-1,Patrick Whelan missed Three Point Jumper.,48,56
15:11,140,Jordan Giles Defensive Rebound.,48,56
14:59,140,Jordan Giles made Jumper.,48,58
14:41,-1,Matt Lassen missed Three Point Jumper.,48,58
14:41,140,LaVell Boyd Defensive Rebound.,48,58
14:35,140,LaVell Boyd missed Three Point Jumper.,48,58
14:35,140,Broderick Robinson Offensive Rebound.,48,58
14:10,140,Xavier Bishop made Three Point Jumper.,48,61
13:48,-1,Patrick Whelan made Three Point Jumper.,51,61
13:37,140,LaVell Boyd made Layup.,51,63
13:27,-1,Larry Fitzgerald missed Three Point Jumper.,51,63
13:27,-1,William Jewell Deadball Team Rebound.,51,63
13:25,140,Foul on Isaiah Ross.,51,63
13:16,-1,Matt Lassen missed Jumper.,51,63
13:16,140,LaVell Boyd Defensive Rebound.,51,63
12:49,140,Duane Clark made Jumper. Assisted by Grant Leach.,51,65
12:36,-1,Clark Minnifield missed Three Point Jumper.,51,65
12:36,140,UMKC Defensive Rebound.,51,65
12:25,140,Duane Clark made Layup.,51,67
12:03,-1,Matt Lassen made Three Point Jumper. Assisted by Emil Ostafiicuic.,54,67
11:42,140,Duane Clark made Layup. Assisted by Broderick Robinson.,54,69
11:33,-1,Easton Koch missed Three Point Jumper.,54,69
11:33,140,UMKC Defensive Rebound.,54,69
11:28,140,Official TV Timeout,54,69
11:14,140,Grant Leach missed Three Point Jumper.,54,69
11:14,140,UMKC Offensive Rebound.,54,69
11:03,140,Dashawn King missed Jumper.,54,69
11:03,140,Duane Clark Offensive Rebound.,54,69
10:56,140,Duane Clark missed Two Point Tip Shot.,54,69
10:56,-1,Emil Ostafiicuic Defensive Rebound.,54,69
10:44,140,Foul on Xavier Bishop.,54,69
10:44,-1,Patrick Whelan missed Free Throw.,54,69
10:44,140,Dashawn King Defensive Rebound.,54,69
10:19,140,Xavier Bishop made Jumper.,54,71
10:06,140,Foul on Duane Clark.,54,71
10:06,-1,Emil Ostafiicuic made Free Throw.,55,71
10:06,-1,Emil Ostafiicuic missed Free Throw.,55,71
10:06,140,Duane Clark Defensive Rebound.,55,71
9:56,140,Duane Clark missed Jumper.,55,71
9:56,-1,Emil Ostafiicuic Defensive Rebound.,55,71
9:38,-1,Emil Ostafiicuic missed Jumper.,55,71
9:38,140,LaVell Boyd Defensive Rebound.,55,71
9:23,140,Duane Clark missed Jumper.,55,71
9:23,-1,Easton Koch Defensive Rebound.,55,71
9:16,-1,Matt Lassen made Three Point Jumper. Assisted by Patrick Whelan.,58,71
8:45,-1,Foul on Emil Ostafiicuic.,58,71
8:45,140,LaVell Boyd made Free Throw.,58,72
8:45,140,LaVell Boyd made Free Throw.,58,73
8:28,-1,Patrick Whelan made Three Point Jumper. Assisted by Easton Koch.,61,73
8:22,140,UMKC  Timeout,61,73
8:22,140,Official TV Timeout,61,73
8:08,140,Isaiah Ross missed Three Point Jumper.,61,73
8:08,-1,Easton Koch Defensive Rebound.,61,73
7:59,-1,Larry Fitzgerald Turnover.,61,73
7:59,140,Official TV Timeout,61,73
7:43,140,LaVell Boyd made Layup.,61,75
7:21,140,Foul on LaVell Boyd.,61,75
7:21,-1,Matt Lassen made Free Throw.,62,75
7:21,-1,Matt Lassen made Free Throw.,63,75
6:55,140,Kyle Steward made Three Point Jumper. Assisted by Broderick Robinson.,63,78
6:40,-1,Austin Regier made Layup.,65,78
6:23,140,Darnell Tillman made Layup. Assisted by LaVell Boyd.,65,80
6:12,140,Foul on Isaiah Ross.,65,80
6:12,-1,Easton Koch missed Free Throw.,65,80
6:12,-1,William Jewell Deadball Team Rebound.,65,80
6:12,-1,Easton Koch made Free Throw.,66,80
5:53,140,Broderick Robinson Offensive Rebound.,66,80
5:53,140,Kyle Steward missed Jumper.,66,80
5:48,140,Aleer Leek made Layup. Assisted by Broderick Robinson.,66,82
5:33,-1,Larry Fitzgerald missed Three Point Jumper.,66,82
5:33,140,Aleer Leek Defensive Rebound.,66,82
5:06,140,Aleer Leek made Jumper.,66,84
4:55,-1,Austin Regier Turnover.,66,84
4:35,140,Kyle Steward missed Three Point Jumper.,66,84
4:35,140,Aleer Leek Offensive Rebound.,66,84
4:16,140,Kyle Steward missed Jumper.,66,84
4:16,-1,Larry Fitzgerald Defensive Rebound.,66,84
3:53,-1,Matt Lassen missed Jumper.,66,84
3:53,-1,Larry Fitzgerald Offensive Rebound.,66,84
3:51,140,Foul on Aleer Leek.,66,84
3:51,140,Official TV Timeout,66,84
3:51,-1,Larry Fitzgerald made Free Throw.,67,84
3:51,-1,Larry Fitzgerald made Free Throw.,68,84
3:30,140,Xavier Bishop made Layup.,68,86
2:58,140,Foul on Aleer Leek.,68,86
2:58,-1,Austin Regier missed Free Throw.,68,86
2:58,-1,William Jewell Deadball Team Rebound.,68,86
2:58,-1,Austin Regier missed Free Throw.,68,86
2:58,-1,Larry Fitzgerald Offensive Rebound.,68,86
2:44,-1,Patrick Whelan made Jumper.,70,86
2:27,140,Dashawn King missed Layup.,70,86
2:27,-1,Austin Regier Defensive Rebound.,70,86
2:09,140,Foul on Jordan Giles.,70,86
2:09,-1,Larry Fitzgerald made Free Throw.,71,86
2:09,-1,Larry Fitzgerald missed Free Throw.,71,86
2:09,-1,Larry Fitzgerald Offensive Rebound.,71,86
2:04,-1,Larry Fitzgerald missed Layup.,71,86
2:04,140,Duane Clark Defensive Rebound.,71,86
2:03,-1,Foul on Larry Fitzgerald.,71,86
1:50,-1,Foul on Larry Fitzgerald.,71,86
1:50,140,Dashawn King made Free Throw.,71,87
1:50,140,Dashawn King made Free Throw.,71,88
1:39,-1,Austin Regier missed Three Point Jumper.,71,88
1:39,140,Dashawn King Defensive Rebound.,71,88
1:30,140,Broderick Ross missed Three Point Jumper.,71,88
1:30,-1,Matt Lassen Defensive Rebound.,71,88
1:28,-1,Matt Lassen Turnover.,71,88
1:27,140,Dashawn King Steal.,71,88
1:26,140,Dashawn King made Dunk.,71,90
1:24,140,Technical Foul on Dashawn King.,71,90
1:24,-1,Matt Lassen missed Free Throw.,71,90
1:24,-1,William Jewell Deadball Team Rebound.,71,90
1:15,-1,Christopher Morrison Turnover.,71,90
1:13,140,Xavier Bishop Steal.,71,90
1:11,140,Xavier Bishop made Layup.,71,92
0:56,-1,Christopher Morrison missed Jumper.,71,92
0:56,140,Xavier Bishop Defensive Rebound.,71,92
0:40,-1,Foul on Brandon Scheer.,71,92
0:40,140,Xavier Bishop made Free Throw.,71,93
0:40,140,Xavier Bishop missed Free Throw.,71,93
0:40,-1,Christopher Morrison Defensive Rebound.,71,93
0:23,-1,Nick Bradley missed Three Point Jumper.,71,93
0:23,140,Xavier Bishop Defensive Rebound.,71,93
0:00,140,End of Game,71,93
