Florida College,Error,Bethune-Cookman,2065
12:09,-1,Anthony Allen made Layup. Assisted by Louis Martinez.,18,21
11:52,2065,Reggie Baker missed Jumper.,18,21
11:52,-1,Nikola Delic Defensive Rebound.,18,21
11:29,2065,Official TV Timeout,18,21
11:25,-1,Nikola Delic missed Jumper.,18,21
11:25,2065,Quinton Forrest Defensive Rebound.,18,21
11:18,2065,Brandon Tabb missed Three Point Jumper.,18,21
11:18,-1,Nikola Delic Defensive Rebound.,18,21
11:10,-1,Zach Brock Turnover.,18,21
10:46,2065,Houston Smith Turnover.,18,21
10:45,-1,Anthony Allen Steal.,18,21
10:41,-1,Zach Brock made Three Point Jumper. Assisted by Dustin Dunham.,21,21
10:33,2065,Quinton Forrest made Dunk. Assisted by Jeffrey Altidort.,21,23
10:18,-1,Louis Martinez missed Jumper.,21,23
10:18,-1,Anthony Allen Offensive Rebound.,21,23
10:15,-1,Anthony Allen missed Jumper.,21,23
10:15,2065,Jeffrey Altidort Defensive Rebound.,21,23
10:07,2065,Jeffrey Altidort made Layup.,21,25
9:52,-1,Zach Brock Turnover.,21,25
9:51,2065,Quinton Forrest Steal.,21,25
9:49,-1,Foul on Zach Brock.,21,25
9:40,2065,Ulmer Manzie Turnover.,21,25
9:21,-1,Kent Hegarty made Jumper. Assisted by Dustin Dunham.,23,25
9:09,2065,Brandon Tabb made Three Point Jumper. Assisted by Diamante Lewis.,23,28
8:46,-1,Dustin Dunham missed Three Point Jumper.,23,28
8:46,2065,Brandon Tabb Defensive Rebound.,23,28
8:40,2065,Brandon Tabb Turnover.,23,28
8:40,-1,Eddie Moralobo Steal.,23,28
8:35,-1,Eddie Moralobo made Layup.,25,28
8:12,2065,Diamante Lewis missed Three Point Jumper.,25,28
8:12,2065,Brandon Tabb Offensive Rebound.,25,28
7:59,2065,Brandon Tabb made Three Point Jumper. Assisted by Jeffrey Altidort.,25,31
7:33,-1,Anthony Allen Turnover.,25,31
7:33,2065,Brandon Tabb Steal.,25,31
7:33,2065,Official TV Timeout,25,31
7:12,2065,Quinton Forrest made Jumper. Assisted by Jeffrey Altidort.,25,33
6:55,2065,Foul on Jeffrey Altidort.,25,33
6:55,-1,Darwin Morales Turnover.,25,33
6:55,2065,Brandon Tabb Steal.,25,33
6:55,2065,Brandon Tabb Turnover.,25,33
6:55,-1,Anthony Allen Steal.,25,33
6:55,-1,Eddie Moralobo Turnover.,25,33
6:55,2065,Jeffrey Altidort Steal.,25,33
6:55,2065,Jeffrey Altidort Turnover.,25,33
6:55,-1,Darwin Morales Steal.,25,33
6:55,-1,Anthony Allen made Dunk. Assisted by Darwin Morales.,27,33
6:48,2065,Foul on Jeffrey Altidort.,27,33
6:48,-1,Anthony Allen missed Free Throw.,27,33
6:48,2065,Bethune-Cookman Defensive Rebound.,27,33
6:26,-1,Foul on Jordan Benjamin.,27,33
6:25,2065,Diamante Lewis Turnover.,27,33
6:24,-1,Eddie Moralobo Steal.,27,33
6:05,-1,Eddie Moralobo made Jumper.,29,33
5:42,2065,Quinton Forrest made Jumper. Assisted by Brandon Tabb.,29,35
5:21,-1,Anthony Allen Turnover.,29,35
5:16,2065,Brandon Tabb made Three Point Jumper. Assisted by Jeffrey Altidort.,29,38
4:43,2065,Foul on Brandon Suggs.,29,38
4:43,-1,Eddie Moralobo made Free Throw.,30,38
4:43,-1,Eddie Moralobo made Free Throw.,31,38
4:22,2065,Diamante Lewis missed Three Point Jumper.,31,38
4:22,-1,Kent Hegarty Defensive Rebound.,31,38
4:13,-1,Anthony Allen made Dunk. Assisted by Eddie Moralobo.,33,38
3:52,2065,Brandon Suggs Turnover.,33,38
3:52,2065,Official TV Timeout,33,38
3:44,-1,Darwin Morales missed Jumper.,33,38
3:44,2065,Jeffrey Altidort Defensive Rebound.,33,38
3:27,2065,Quinton Forrest made Jumper. Assisted by Jeffrey Altidort.,33,40
3:08,-1,Darwin Morales made Jumper. Assisted by Eddie Moralobo.,35,40
2:48,2065,Reggie Baker Turnover.,35,40
2:47,-1,Darwin Morales Steal.,35,40
2:44,2065,Foul on Jeffrey Altidort.,35,40
2:44,-1,Darwin Morales made Free Throw.,36,40
2:44,-1,Darwin Morales made Free Throw.,37,40
2:17,2065,Brandon Suggs missed Jumper.,37,40
2:17,2065,Brandon Suggs Offensive Rebound.,37,40
2:09,2065,Quinton Forrest missed Jumper.,37,40
2:09,-1,Anthony Allen Defensive Rebound.,37,40
1:53,-1,Eddie Moralobo missed Jumper.,37,40
1:53,2065,Brandon Suggs Defensive Rebound.,37,40
1:41,2065,Reggie Baker missed Three Point Jumper.,37,40
1:41,-1,Kerwiken Morpas Block.,37,40
1:38,2065,Reggie Baker Offensive Rebound.,37,40
1:37,-1,Foul on Kent Hegarty.,37,40
1:21,2065,Brandon Suggs missed Layup.,37,40
1:21,-1,Kent Hegarty Defensive Rebound.,37,40
1:07,-1,Zach Brock missed Three Point Jumper.,37,40
1:07,2065,Reggie Baker Defensive Rebound.,37,40
1:01,-1,Kent Hegarty made Free Throw.,38,40
1:01,-1,Kent Hegarty made Free Throw.,39,40
0:52,2065,Jeffrey Altidort missed Three Point Jumper.,39,40
0:52,-1,Zach Brock Defensive Rebound.,39,40
0:25,-1,Anthony Allen made Jumper.,41,40
0:16,-1,Foul on Kerwiken Morpas.,41,40
0:16,2065,Reggie Baker missed Free Throw.,41,40
0:16,2065,Bethune-Cookman Deadball Team Rebound.,41,40
0:16,2065,Reggie Baker made Free Throw.,41,41
0:00,-1,Eddie Moralobo made Jumper.,43,41
0:00,2065,End of 1st half,41,41
19:50,-1,Eddie Moralobo missed Three Point Jumper.,43,41
19:50,-1,Anthony Allen Offensive Rebound.,43,41
19:44,-1,Anthony Allen Turnover.,43,41
19:43,2065,Josue Salaam Steal.,43,41
19:37,2065,Jeffrey Altidort missed Jumper.,43,41
19:37,-1,Jordan Benjamin Defensive Rebound.,43,41
19:20,-1,Dustin Dunham missed Three Point Jumper.,43,41
19:20,2065,Bethune-Cookman Defensive Rebound.,43,41
19:16,-1,Foul on Jordan Benjamin.,43,41
19:08,2065,Brandon Tabb made Jumper.,43,43
18:51,2065,Foul on Josue Salaam.,43,43
18:41,-1,Jordan Benjamin missed Jumper.,43,43
18:41,2065,Quinton Forrest Defensive Rebound.,43,43
18:34,2065,Josue Salaam made Three Point Jumper. Assisted by Jeffrey Altidort.,43,46
18:12,-1,Jordan Benjamin made Jumper. Assisted by Kent Hegarty.,45,46
17:55,2065,Josue Salaam made Three Point Jumper. Assisted by Brandon Tabb.,45,49
17:39,-1,Jordan Benjamin missed Jumper.,45,49
17:39,2065,Houston Smith Block.,45,49
17:36,2065,Houston Smith Defensive Rebound.,45,49
17:29,2065,Brandon Tabb Turnover.,45,49
17:28,-1,Anthony Allen Steal.,45,49
17:25,-1,Dustin Dunham missed Layup.,45,49
17:25,2065,Jeffrey Altidort Block.,45,49
17:25,-1,Florida College Offensive Rebound.,45,49
17:20,-1,Kent Hegarty made Three Point Jumper. Assisted by Dustin Dunham.,48,49
16:55,2065,Ulmer Manzie Turnover.,48,49
16:54,-1,Kent Hegarty Steal.,48,49
16:42,-1,Jordan Benjamin missed Jumper.,48,49
16:42,-1,Jordan Benjamin Offensive Rebound.,48,49
16:39,-1,Jordan Benjamin missed Jumper.,48,49
16:39,-1,Jordan Benjamin Offensive Rebound.,48,49
16:37,-1,Jordan Benjamin missed Jumper.,48,49
16:37,2065,Ulmer Manzie Block.,48,49
16:34,2065,Quinton Forrest Defensive Rebound.,48,49
16:27,2065,Josue Salaam missed Three Point Jumper.,48,49
16:27,-1,Jordan Benjamin Defensive Rebound.,48,49
16:08,-1,Kent Hegarty missed Jumper.,48,49
16:08,-1,Jordan Benjamin Offensive Rebound.,48,49
16:03,-1,Dustin Dunham missed Three Point Jumper.,48,49
16:03,2065,Josue Salaam Defensive Rebound.,48,49
15:54,2065,Brandon Tabb missed Three Point Jumper.,48,49
15:54,2065,Ulmer Manzie Offensive Rebound.,48,49
15:50,-1,Foul on Kent Hegarty.,48,49
15:50,2065,Official TV Timeout,48,49
15:50,2065,Ulmer Manzie made Free Throw.,48,50
15:50,2065,Ulmer Manzie missed Free Throw.,48,50
15:50,-1,Kent Hegarty Defensive Rebound.,48,50
15:30,-1,Zach Brock made Three Point Jumper. Assisted by Anthony Allen.,51,50
15:13,2065,Brandon Tabb missed Three Point Jumper.,51,50
15:13,-1,Florida College Defensive Rebound.,51,50
14:58,2065,Foul on Ulmer Manzie.,51,50
14:58,-1,Anthony Allen made Free Throw.,52,50
14:58,-1,Anthony Allen made Free Throw.,53,50
14:36,2065,Quinton Forrest made Layup. Assisted by Jeffrey Altidort.,53,52
14:18,-1,Kerwiken Morpas missed Jumper.,53,52
14:18,2065,Ulmer Manzie Block.,53,52
14:14,2065,Josue Salaam Defensive Rebound.,53,52
14:11,2065,Jeffrey Altidort Turnover.,53,52
14:10,-1,Zach Brock Steal.,53,52
14:07,-1,Anthony Allen made Layup. Assisted by Eddie Moralobo.,55,52
13:59,2065,Quinton Forrest missed Layup.,55,52
13:59,-1,Anthony Allen Block.,55,52
13:59,2065,Bethune-Cookman Offensive Rebound.,55,52
13:42,2065,Josue Salaam missed Three Point Jumper.,55,52
13:42,-1,Anthony Allen Defensive Rebound.,55,52
13:32,2065,Foul on Jeffrey Altidort.,55,52
13:32,-1,Eddie Moralobo made Free Throw.,56,52
13:32,-1,Eddie Moralobo missed Free Throw.,56,52
13:32,2065,Quinton Forrest Defensive Rebound.,56,52
13:09,2065,Ulmer Manzie missed Jumper.,56,52
13:09,-1,Kent Hegarty Defensive Rebound.,56,52
13:00,-1,Anthony Allen missed Layup.,56,52
13:00,-1,Kent Hegarty Offensive Rebound.,56,52
12:56,-1,Kent Hegarty made Layup.,58,52
12:44,2065,Diamante Lewis missed Jumper.,58,52
12:44,2065,Bethune-Cookman Offensive Rebound.,58,52
12:41,2065,Brandon Tabb missed Three Point Jumper.,58,52
12:41,-1,Eddie Moralobo Defensive Rebound.,58,52
12:25,-1,Anthony Allen made Layup.,60,52
11:56,2065,Quinton Forrest missed Jumper.,60,52
11:56,-1,Anthony Allen Defensive Rebound.,60,52
11:43,-1,Anthony Allen Turnover.,60,52
11:42,2065,Ulmer Manzie Steal.,60,52
11:39,2065,Brandon Tabb made Dunk. Assisted by Josue Salaam.,60,54
11:27,-1,Florida College  Timeout,60,54
11:14,2065,Foul on Reggie Baker.,60,54
11:14,2065,Official TV Timeout,60,54
11:14,-1,Eddie Moralobo made Free Throw.,61,54
11:14,-1,Eddie Moralobo made Free Throw.,62,54
10:54,2065,Brandon Tabb Turnover.,62,54
10:53,-1,Kerwiken Morpas Steal.,62,54
10:50,2065,Foul on Brandon Tabb.,62,54
10:50,-1,Zach Brock missed Free Throw.,62,54
10:50,-1,Florida College Deadball Team Rebound.,62,54
10:50,-1,Zach Brock made Free Throw.,63,54
10:29,-1,Foul on Jordan Benjamin.,63,54
10:29,2065,Diamante Lewis missed Free Throw.,63,54
10:29,2065,Bethune-Cookman Deadball Team Rebound.,63,54
10:29,2065,Diamante Lewis made Free Throw.,63,55
10:11,2065,Foul on Reggie Baker.,63,55
10:05,-1,Kerwiken Morpas made Jumper. Assisted by Zach Brock.,65,55
9:43,2065,Reggie Baker made Layup.,65,57
9:16,-1,Anthony Allen missed Jumper.,65,57
9:16,2065,Bethune-Cookman Defensive Rebound.,65,57
9:02,2065,Reggie Baker made Layup.,65,59
8:47,-1,Eddie Moralobo missed Three Point Jumper.,65,59
8:47,-1,Anthony Allen Offensive Rebound.,65,59
8:42,-1,Anthony Allen missed Jumper.,65,59
8:42,-1,Kerwiken Morpas Offensive Rebound.,65,59
8:39,2065,Foul on Ulmer Manzie.,65,59
8:39,-1,Kerwiken Morpas made Free Throw.,66,59
8:39,-1,Kerwiken Morpas missed Free Throw.,66,59
8:39,2065,Brandon Tabb Defensive Rebound.,66,59
8:22,2065,Brandon Suggs missed Jumper.,66,59
8:22,-1,Anthony Allen Defensive Rebound.,66,59
8:14,-1,Eddie Moralobo missed Layup.,66,59
8:14,2065,Brandon Suggs Block.,66,59
8:12,2065,Brandon Suggs Defensive Rebound.,66,59
8:07,2065,Diamante Lewis made Jumper. Assisted by Reggie Baker.,66,61
7:54,-1,Dustin Dunham Turnover.,66,61
7:51,2065,Reggie Baker Steal.,66,61
7:49,2065,Brandon Tabb missed Three Point Jumper.,66,61
7:49,-1,Anthony Allen Defensive Rebound.,66,61
7:33,-1,Kent Hegarty missed Three Point Jumper.,66,61
7:33,2065,Josue Salaam Defensive Rebound.,66,61
7:19,2065,Brandon Tabb made Three Point Jumper. Assisted by Diamante Lewis.,66,64
7:15,2065,Bethune-Cookman  Timeout,66,64
7:15,2065,Official TV Timeout,66,64
7:02,2065,Foul on Diamante Lewis.,66,64
7:02,-1,Anthony Allen made Free Throw.,67,64
7:02,-1,Anthony Allen made Free Throw.,68,64
6:40,2065,Brandon Tabb missed Three Point Jumper.,68,64
6:40,2065,Bethune-Cookman Offensive Rebound.,68,64
6:36,2065,Brandon Tabb missed Three Point Jumper.,68,64
6:36,-1,Anthony Allen Defensive Rebound.,68,64
6:19,-1,Eddie Moralobo missed Jumper.,68,64
6:19,2065,Brandon Tabb Defensive Rebound.,68,64
6:12,2065,Diamante Lewis made Layup. Assisted by Brandon Tabb.,68,66
5:50,-1,Jordan Benjamin missed Jumper.,68,66
5:50,2065,Diamante Lewis Defensive Rebound.,68,66
5:30,2065,Josue Salaam Turnover.,68,66
5:29,-1,Dustin Dunham Steal.,68,66
5:26,-1,Dustin Dunham made Layup.,70,66
5:04,2065,Reggie Baker made Layup.,70,68
4:38,-1,Kent Hegarty missed Three Point Jumper.,70,68
4:38,2065,Bethune-Cookman Defensive Rebound.,70,68
4:36,-1,Foul on Jordan Benjamin.,70,68
4:20,2065,Diamante Lewis Turnover.,70,68
4:19,-1,Anthony Allen Steal.,70,68
3:58,-1,Florida College  Timeout,70,68
3:52,2065,Brandon Tabb Turnover.,70,68
3:52,2065,Foul on Brandon Tabb.,70,68
3:52,2065,Official TV Timeout,70,68
3:47,-1,Anthony Allen Turnover.,70,68
3:23,2065,Josue Salaam missed Three Point Jumper.,70,68
3:23,2065,Diamante Lewis Offensive Rebound.,70,68
3:14,-1,Foul on Dustin Dunham.,70,68
3:14,2065,Diamante Lewis made Free Throw.,70,69
3:14,2065,Diamante Lewis made Free Throw.,70,70
2:51,-1,Dustin Dunham missed Jumper.,70,70
2:51,2065,Brandon Suggs Block.,70,70
2:50,2065,Reggie Baker Defensive Rebound.,70,70
2:29,2065,Brandon Tabb missed Three Point Jumper.,70,70
2:29,-1,Anthony Allen Defensive Rebound.,70,70
2:19,-1,Kent Hegarty Turnover.,70,70
1:58,2065,Reggie Baker missed Jumper.,70,70
1:58,2065,Reggie Baker Offensive Rebound.,70,70
1:55,2065,Reggie Baker missed Jumper.,70,70
1:55,-1,Zach Brock Defensive Rebound.,70,70
1:31,-1,Anthony Allen Turnover.,70,70
1:31,2065,Bethune-Cookman  Timeout,70,70
1:07,2065,Josue Salaam missed Three Point Jumper.,70,70
1:07,-1,Kent Hegarty Defensive Rebound.,70,70
0:32,-1,Anthony Allen missed Layup.,70,70
0:32,2065,Reggie Baker Defensive Rebound.,70,70
0:23,2065,Bethune-Cookman  Timeout,70,70
0:03,2065,Josue Salaam missed Three Point Jumper.,70,70
0:03,-1,Dustin Dunham Defensive Rebound.,70,70
0:00,2065,End of 2nd half,70,70
4:43,2065,Reggie Baker missed Jumper.,70,70
4:43,2065,Brandon Suggs Offensive Rebound.,70,70
4:39,2065,Brandon Suggs made Layup.,70,72
4:25,-1,Eddie Moralobo made Jumper. Assisted by Zach Brock.,72,72
3:57,2065,Diamante Lewis made Jumper.,72,74
3:43,-1,Anthony Allen made Dunk. Assisted by Jordan Benjamin.,74,74
3:09,2065,Brandon Suggs made Dunk. Assisted by Josue Salaam.,74,76
2:49,-1,Anthony Allen made Jumper. Assisted by Kent Hegarty.,76,76
2:23,2065,Brandon Tabb missed Three Point Jumper.,76,76
2:23,-1,Kent Hegarty Defensive Rebound.,76,76
2:11,-1,Zach Brock made Three Point Jumper. Assisted by Eddie Moralobo.,79,76
1:49,-1,Foul on Eddie Moralobo.,79,76
1:49,2065,Bethune-Cookman  Timeout,79,76
1:37,2065,Diamante Lewis missed Three Point Jumper.,79,76
1:37,2065,Brandon Suggs Offensive Rebound.,79,76
1:28,-1,Foul on Zach Brock.,79,76
1:28,2065,Reggie Baker made Free Throw.,79,77
1:28,2065,Reggie Baker made Free Throw.,79,78
1:23,-1,Florida College  Timeout,79,78
1:11,-1,Zach Brock Turnover.,79,78
1:10,2065,Diamante Lewis Steal.,79,78
1:08,2065,Diamante Lewis made Layup.,79,80
1:00,-1,Eddie Moralobo missed Jumper.,79,80
1:00,2065,Brandon Suggs Defensive Rebound.,79,80
0:33,2065,Brandon Tabb missed Jumper.,79,80
0:33,-1,Jordan Benjamin Defensive Rebound.,79,80
0:11,-1,Florida College  Timeout,79,80
0:06,-1,Kent Hegarty missed Three Point Jumper.,79,80
0:06,2065,Brandon Tabb Defensive Rebound.,79,80
0:02,-1,Foul on Zach Brock.,79,80
0:02,2065,Brandon Tabb made Free Throw.,79,81
0:02,2065,Brandon Tabb missed Free Throw.,79,81
0:02,-1,Anthony Allen Defensive Rebound.,79,81
0:00,-1,Eddie Moralobo missed Three Point Jumper.,79,81
0:00,2065,Bethune-Cookman Defensive Rebound.,79,81
0:00,2065,End of Game,79,81
