Valparaiso,2623,Missouri State,2674
10:48,2623,Jarred Dixon Defensive Rebound.,60,59
10:37,2623,Obediah Church made Dunk. Assisted by Ronnie Rousseau III.,60,61
10:07,2674,Alec Peters missed Jumper.,60,61
10:07,2674,Jaume Sorolla Offensive Rebound.,60,61
9:53,2674,Alec Peters made Three Point Jumper. Assisted by Nick Davidson.,63,61
9:27,2623,Ryan Kreklow missed Jumper.,63,61
9:27,2674,Lexus Williams Defensive Rebound.,63,61
9:20,2674,Lexus Williams Turnover.,63,61
9:19,2623,Ronnie Rousseau III Steal.,63,61
9:19,2623,Missouri St  Timeout,63,61
8:55,2623,Ronnie Rousseau III made Jumper.,63,63
8:36,2674,Shane Hammink made Dunk. Assisted by Nick Davidson.,65,63
8:31,2623,Chris Kendrix Turnover.,65,63
8:24,2674,Alec Peters missed Three Point Jumper.,65,63
8:24,2623,Ronnie Rousseau III Defensive Rebound.,65,63
8:01,2623,Dequon Miller missed Three Point Jumper.,65,63
8:01,2674,Shane Hammink Defensive Rebound.,65,63
7:57,2623,Foul on Tyler McCullough.,65,63
7:57,2623,Official TV Timeout,65,63
7:31,2674,Lexus Williams missed Three Point Jumper.,65,63
7:31,2623,Jarred Dixon Defensive Rebound.,65,63
7:08,2623,Jarred Dixon missed Jumper.,65,63
7:08,2623,Tyler McCullough Offensive Rebound.,65,63
7:07,2623,Tyler McCullough missed Jumper.,65,63
7:07,2623,Alize Johnson Offensive Rebound.,65,63
7:05,2674,Foul on Shane Hammink.,65,63
7:05,2623,Alize Johnson made Jumper.,65,65
7:04,2623,Alize Johnson missed Free Throw.,65,65
7:03,2674,Alec Peters Defensive Rebound.,65,65
6:54,2674,Shane Hammink Turnover.,65,65
6:53,2674,Foul on Shane Hammink.,65,65
6:52,2623,Ronnie Rousseau III Steal.,65,65
6:38,2623,Jarred Dixon made Layup. Assisted by Obediah Church.,65,67
6:19,2674,Nick Davidson missed Jumper.,65,67
6:19,2623,Obediah Church Block.,65,67
6:16,2623,Jordan Martin Defensive Rebound.,65,67
6:13,2623,Dequon Miller Turnover.,65,67
5:59,2674,Tevonn Walker made Three Point Jumper. Assisted by Nick Davidson.,68,67
5:38,2623,Obediah Church made Layup. Assisted by Ronnie Rousseau III.,68,69
5:37,2674,Foul on Jaume Sorolla.,68,69
5:37,2623,Obediah Church made Free Throw.,68,70
5:20,2674,Alec Peters made Jumper.,70,70
5:05,2623,Ronnie Rousseau III Turnover.,70,70
4:53,2674,Alec Peters missed Three Point Jumper.,70,70
4:53,2674,Lexus Williams Offensive Rebound.,70,70
4:48,2674,Lexus Williams made Layup.,72,70
4:43,2623,Obediah Church Turnover.,72,70
4:35,2674,Alec Peters made Jumper. Assisted by Lexus Williams.,74,70
4:35,2623,Foul on Alize Johnson.,74,70
4:35,2674,Alec Peters made Free Throw.,75,70
4:21,2623,Dequon Miller made Jumper.,75,72
4:19,2623,Missouri St  Timeout,75,72
3:53,2674,Alec Peters missed Three Point Jumper.,75,72
3:53,2623,Alize Johnson Defensive Rebound.,75,72
3:37,2674,Foul on Lexus Williams.,75,72
3:37,2623,Ronnie Rousseau III made Free Throw.,75,73
3:37,2623,Ronnie Rousseau III made Free Throw.,75,74
3:37,2674,Tevonn Walker missed Three Point Jumper.,75,74
3:37,2674,Alec Peters Offensive Rebound.,75,74
3:37,2674,Alec Peters made Jumper.,77,74
2:58,2623,Jarred Dixon Turnover.,77,74
2:57,2674,Tevonn Walker Steal.,77,74
2:51,2674,Alec Peters missed Jumper.,77,74
2:51,2623,Obediah Church Block.,77,74
2:49,2674,Nick Davidson Offensive Rebound.,77,74
2:44,2623,Foul on Dequon Miller.,77,74
2:44,2674,Tevonn Walker made Free Throw.,78,74
2:44,2674,Tevonn Walker made Free Throw.,79,74
2:32,2674,Foul on Tevonn Walker.,79,74
2:32,2623,Dequon Miller made Free Throw.,79,75
2:32,2623,Dequon Miller made Free Throw.,79,76
2:05,2674,Valparaiso  Timeout,79,76
1:55,2674,Alec Peters missed Jumper.,79,76
1:55,2623,Dequon Miller Defensive Rebound.,79,76
1:36,2623,Ronnie Rousseau III made Jumper.,79,78
1:14,2674,Alec Peters made Layup.,81,78
0:55,2623,Dequon Miller made Jumper.,81,80
0:26,2674,Lexus Williams missed Three Point Jumper.,81,80
0:26,2674,Alec Peters Offensive Rebound.,81,80
0:20,2674,Alec Peters Turnover.,81,80
0:20,2623,Jarred Dixon Steal.,81,80
0:14,2674,Foul on Jaume Sorolla.,81,80
0:14,2623,Alize Johnson made Free Throw.,81,81
0:14,2623,Official TV Timeout,81,81
0:14,2623,Alize Johnson missed Free Throw.,81,81
0:14,2674,Alec Peters Defensive Rebound.,81,81
0:05,2623,Foul on Obediah Church.,81,81
0:05,2674,Alec Peters made Free Throw.,82,81
0:05,2674,Alec Peters made Free Throw.,83,81
0:05,2674,Alec Peters made Free Throw.,84,81
0:02,2623,Austin Ruder missed Three Point Jumper.,84,81
0:02,2623,Missouri St Deadball Team Rebound.,84,81
0:00,2623,End of Game,84,81
