Norfolk State,315,Niagara,2450
11:57,2450,Alex Long made Jumper. Assisted by Zaynah Robinson.,10,15
11:31,315,Dwayne Pow Turnover.,10,15
11:31,315,Official TV Timeout,10,15
11:18,2450,Kyle Williams missed Jumper.,10,15
11:18,315,Dominic Robb Defensive Rebound.,10,15
10:48,315,Dwayne Pow made Layup. Assisted by Maurice Taylor Jr..,10,17
10:21,2450,Alex Long made Layup.,12,17
10:20,315,Foul on Maurice Taylor Jr..,12,17
10:20,2450,Alex Long made Free Throw.,13,17
9:52,315,Matt Scott Turnover.,13,17
9:51,2450,Jordan Butler Steal.,13,17
9:48,2450,Jordan Butler missed Layup.,13,17
9:48,315,Niagara Defensive Rebound.,13,17
9:29,315,Maurice Taylor Jr. missed Layup.,13,17
9:29,2450,Jordan Butler Defensive Rebound.,13,17
8:56,2450,Alex Long missed Layup.,13,17
8:56,2450,Alex Long Offensive Rebound.,13,17
8:55,2450,Alex Long made Two Point Tip Shot.,15,17
8:27,315,Chris Barton Turnover.,15,17
8:08,2450,Dan Robinson missed Jumper.,15,17
8:08,315,Chris Barton Defensive Rebound.,15,17
7:54,315,Matt Scott missed Three Point Jumper.,15,17
7:54,2450,Zaynah Robinson Defensive Rebound.,15,17
7:44,2450,Zaynah Robinson missed Layup.,15,17
7:44,315,Matt Scott Defensive Rebound.,15,17
7:38,315,Dominic Robb made Dunk. Assisted by Kahlil Dukes.,15,19
7:23,2450,Jonathan Wade made Layup.,17,19
7:00,315,Dominic Robb missed Jumper.,17,19
7:00,2450,Dan Robinson Defensive Rebound.,17,19
6:54,2450,Micah Goss made Three Point Jumper. Assisted by Zaynah Robinson.,20,19
6:41,315,Kahlil Dukes missed Jumper.,20,19
6:41,315,Dominic Robb Offensive Rebound.,20,19
6:37,315,Chris Barton made Three Point Jumper. Assisted by Dominic Robb.,20,22
6:06,2450,Zaynah Robinson made Jumper.,22,22
5:59,315,Official TV Timeout,22,22
5:41,315,Matt Scott missed Layup.,22,22
5:41,2450,Stavian Allen Defensive Rebound.,22,22
5:16,2450,Zaynah Robinson missed Three Point Jumper.,22,22
5:16,315,Matt Scott Defensive Rebound.,22,22
4:57,2450,Foul on Dan Robinson.,22,22
4:57,315,Chris Barton made Free Throw.,22,23
4:57,315,Chris Barton made Free Throw.,22,24
4:36,2450,Jordan Butler made Layup.,24,24
4:02,315,Kahlil Dukes missed Jumper.,24,24
4:02,2450,Zaynah Robinson Defensive Rebound.,24,24
3:41,2450,Stavian Allen made Jumper. Assisted by Jordan Butler.,26,24
3:18,315,Matt Scott Turnover.,26,24
3:18,315,Official TV Timeout,26,24
3:06,2450,Micah Goss missed Three Point Jumper.,26,24
3:06,315,Kahlil Dukes Defensive Rebound.,26,24
2:48,315,Dominic Robb made Layup.,26,26
2:29,2450,Alex Brown missed Three Point Jumper.,26,26
2:29,315,Marvin Prochet Defensive Rebound.,26,26
2:20,315,Kahlil Dukes missed Layup.,26,26
2:20,315,Marvin Prochet Offensive Rebound.,26,26
2:14,315,Dominic Robb made Jumper. Assisted by Shane Gatling.,26,28
1:54,2450,Stavian Allen missed Layup.,26,28
1:54,315,Dominic Robb Defensive Rebound.,26,28
1:47,315,Shane Gatling missed Three Point Jumper.,26,28
1:47,315,Marvin Prochet Offensive Rebound.,26,28
1:44,315,Kahlil Dukes missed Three Point Jumper.,26,28
1:44,2450,Stavian Allen Defensive Rebound.,26,28
1:13,2450,Jordan Butler made Layup.,28,28
1:06,315,Matt Scott Turnover.,28,28
1:06,2450,Norfolk St  Timeout,28,28
0:49,2450,Jordan Butler missed Layup.,28,28
0:49,2450,Jordan Butler Offensive Rebound.,28,28
0:44,2450,Jordan Butler Turnover.,28,28
0:44,315,Marvin Prochet Steal.,28,28
0:40,315,Marvin Prochet made Layup.,28,30
0:24,315,Foul on Marvin Prochet.,28,30
0:24,2450,Jordan Butler made Free Throw.,29,30
0:24,2450,Jordan Butler made Free Throw.,30,30
0:04,315,Marvin Prochet missed Three Point Jumper.,30,30
0:04,2450,Alex Long Block.,30,30
0:00,2450,Alex Brown Defensive Rebound.,30,30
0:00,315,End of 1st half,30,30
19:44,2450,Zaynah Robinson missed Jumper.,30,30
19:44,2450,Micah Goss Offensive Rebound.,30,30
19:41,2450,Micah Goss made Layup.,32,30
19:23,2450,Foul on Dan Robinson.,32,30
19:22,315,Dominic Robb missed Jumper.,32,30
19:22,2450,Alex Long Defensive Rebound.,32,30
18:56,2450,Micah Goss missed Layup.,32,30
18:56,315,Marvin Prochet Block.,32,30
18:56,2450,Norfolk St Offensive Rebound.,32,30
18:49,2450,Zaynah Robinson missed Jumper.,32,30
18:49,315,Matt Scott Defensive Rebound.,32,30
18:44,315,Marvin Prochet made Dunk. Assisted by Shane Gatling.,32,32
18:29,315,Foul on Matt Scott.,32,32
18:18,2450,Zaynah Robinson missed Three Point Jumper.,32,32
18:18,315,Shane Gatling Defensive Rebound.,32,32
18:12,315,Matt Scott missed Three Point Jumper.,32,32
18:12,2450,Zaynah Robinson Defensive Rebound.,32,32
18:02,2450,Jonathan Wade missed Three Point Jumper.,32,32
18:02,315,Dominic Robb Defensive Rebound.,32,32
17:54,315,Kahlil Dukes missed Layup.,32,32
17:54,2450,Alex Long Defensive Rebound.,32,32
17:47,315,Foul on Kahlil Dukes.,32,32
17:47,2450,Jonathan Wade made Free Throw.,33,32
17:47,2450,Jonathan Wade made Free Throw.,34,32
17:30,2450,Foul on Jordan Butler.,34,32
17:30,315,Shane Gatling made Free Throw.,34,33
17:30,315,Shane Gatling made Free Throw.,34,34
17:14,2450,Alex Long Turnover.,34,34
16:59,2450,Foul on Alex Long.,34,34
16:56,315,Dominic Robb made Layup. Assisted by Kahlil Dukes.,34,36
16:22,2450,Alex Long missed Jumper.,34,36
16:22,315,Dominic Robb Defensive Rebound.,34,36
16:18,315,Marvin Prochet made Layup. Assisted by Shane Gatling.,34,38
15:55,2450,Alex Long Turnover.,34,38
15:55,315,Official TV Timeout,34,38
15:37,315,Marvin Prochet missed Three Point Jumper.,34,38
15:37,2450,Norfolk St Defensive Rebound.,34,38
15:12,2450,Carrington Ward missed Three Point Jumper.,34,38
15:12,315,Kahlil Dukes Defensive Rebound.,34,38
15:05,315,Dominic Robb made Dunk. Assisted by Kahlil Dukes.,34,40
14:39,2450,Jonathan Wade missed Layup.,34,40
14:39,2450,Alex Long Offensive Rebound.,34,40
14:36,315,Foul on Marvin Prochet.,34,40
14:36,2450,Alex Long made Free Throw.,35,40
14:36,2450,Alex Long made Free Throw.,36,40
14:36,315,Niagara  Timeout,36,40
14:19,315,Marvin Prochet missed Layup.,36,40
14:19,2450,Jonathan Wade Defensive Rebound.,36,40
14:11,2450,Jonathan Wade missed Layup.,36,40
14:11,315,Marvin Prochet Block.,36,40
14:11,2450,Norfolk St Offensive Rebound.,36,40
13:53,2450,Alex Long made Jumper. Assisted by Zaynah Robinson.,38,40
13:42,2450,Foul on Alex Long.,38,40
13:27,315,Matt Scott made Jumper.,38,42
13:05,2450,Jonathan Wade missed Jumper.,38,42
13:05,2450,Dan Robinson Offensive Rebound.,38,42
13:00,2450,Dan Robinson missed Layup.,38,42
13:00,315,Dominic Robb Block.,38,42
13:00,2450,Alex Long Offensive Rebound.,38,42
12:42,2450,Jonathan Wade Turnover.,38,42
12:42,315,Marvin Prochet Steal.,38,42
12:38,315,Shane Gatling missed Jumper.,38,42
12:38,2450,Zaynah Robinson Defensive Rebound.,38,42
12:15,2450,Jonathan Wade missed Jumper.,38,42
12:15,2450,Dan Robinson Offensive Rebound.,38,42
12:11,2450,Dan Robinson missed Layup.,38,42
12:11,2450,Dan Robinson Offensive Rebound.,38,42
12:09,2450,Dan Robinson missed Layup.,38,42
12:09,315,Marvin Prochet Defensive Rebound.,38,42
12:04,315,Matt Scott Turnover.,38,42
12:03,2450,Carrington Ward Steal.,38,42
12:02,2450,Jonathan Wade made Layup. Assisted by Carrington Ward.,40,42
11:51,2450,Foul on Dan Robinson.,40,42
11:51,315,Official TV Timeout,40,42
11:49,2450,Foul on Alex Long.,40,42
11:49,315,Chris Barton made Free Throw.,40,43
11:49,315,Chris Barton made Free Throw.,40,44
11:21,2450,Carrington Ward missed Three Point Jumper.,40,44
11:21,315,Matt Scott Defensive Rebound.,40,44
11:15,2450,Foul on Carrington Ward.,40,44
11:15,315,Kahlil Dukes made Free Throw.,40,45
11:15,315,Kahlil Dukes made Free Throw.,40,46
10:53,2450,Kyle Williams missed Three Point Jumper.,40,46
10:53,315,Marvin Prochet Defensive Rebound.,40,46
10:31,315,Chris Barton missed Jumper.,40,46
10:31,2450,Alex Long Defensive Rebound.,40,46
10:24,315,Foul on Chris Barton.,40,46
10:16,2450,Jordan Butler missed Layup.,40,46
10:16,315,Marvin Prochet Defensive Rebound.,40,46
10:11,315,Matt Scott missed Three Point Jumper.,40,46
10:11,2450,Alex Long Defensive Rebound.,40,46
10:02,2450,Jonathan Wade made Layup.,42,46
9:43,315,Marvin Prochet made Three Point Jumper. Assisted by James Towns.,42,49
9:24,2450,Jonathan Wade made Layup. Assisted by Jordan Butler.,44,49
9:22,315,Foul on Matt Scott.,44,49
9:22,2450,Jonathan Wade made Free Throw.,45,49
9:14,315,Maurice Taylor Jr. missed Layup.,45,49
9:14,2450,Alex Long Defensive Rebound.,45,49
9:04,2450,Zaynah Robinson missed Jumper.,45,49
9:04,2450,Jordan Butler Offensive Rebound.,45,49
9:03,315,Foul on Kahlil Dukes.,45,49
9:02,2450,Jordan Butler made Free Throw.,46,49
9:02,2450,Jordan Butler made Free Throw.,47,49
8:38,315,Marvin Prochet missed Layup.,47,49
8:38,315,Maurice Taylor Jr. Offensive Rebound.,47,49
8:36,315,Maurice Taylor Jr. missed Layup.,47,49
8:36,315,Chris Barton Offensive Rebound.,47,49
8:31,315,Chris Barton made Layup.,47,51
8:31,2450,Foul on Jordan Butler.,47,51
8:29,315,Chris Barton made Free Throw.,47,52
8:17,2450,Jordan Butler missed Layup.,47,52
8:17,315,Maurice Taylor Jr. Defensive Rebound.,47,52
8:05,315,Maurice Taylor Jr. missed Layup.,47,52
8:05,2450,Alex Long Block.,47,52
8:03,315,Niagara Offensive Rebound.,47,52
7:44,315,Chris Barton Turnover.,47,52
7:43,2450,Alex Long Steal.,47,52
7:40,2450,Kyle Williams missed Three Point Jumper.,47,52
7:40,2450,Alex Long Offensive Rebound.,47,52
7:34,2450,Alex Long missed Layup.,47,52
7:34,2450,Norfolk St Offensive Rebound.,47,52
7:34,315,Official TV Timeout,47,52
7:31,2450,Zaynah Robinson missed Three Point Jumper.,47,52
7:31,315,Chris Barton Defensive Rebound.,47,52
7:16,315,Chris Barton missed Jumper.,47,52
7:16,2450,Alex Long Block.,47,52
7:14,2450,Alex Long Defensive Rebound.,47,52
6:49,2450,Jonathan Wade missed Layup.,47,52
6:49,315,Maurice Taylor Jr. Block.,47,52
6:47,315,Maurice Taylor Jr. Defensive Rebound.,47,52
6:40,315,Dominic Robb made Layup. Assisted by Chris Barton.,47,54
6:23,2450,Jonathan Wade made Jumper. Assisted by Zaynah Robinson.,49,54
5:53,315,James Towns missed Jumper.,49,54
5:53,2450,Jonathan Wade Defensive Rebound.,49,54
5:47,2450,Jonathan Wade Turnover.,49,54
5:45,315,James Towns Steal.,49,54
5:44,315,James Towns missed Layup.,49,54
5:44,315,Maurice Taylor Jr. Offensive Rebound.,49,54
5:40,315,Maurice Taylor Jr. missed Dunk.,49,54
5:40,315,Chris Barton Offensive Rebound.,49,54
5:14,315,Kahlil Dukes made Jumper.,49,56
4:55,2450,Jordan Butler Turnover.,49,56
4:37,315,Kahlil Dukes made Layup.,49,58
4:21,2450,Alex Long made Layup. Assisted by Jonathan Wade.,51,58
4:19,315,Foul on Maurice Taylor Jr..,51,58
4:19,2450,Alex Long made Free Throw.,52,58
4:00,315,Dominic Robb made Jumper. Assisted by James Towns.,52,60
3:37,2450,Jonathan Wade made Layup.,54,60
3:27,2450,Foul on Dan Robinson.,54,60
3:27,315,Official TV Timeout,54,60
3:27,315,Dominic Robb missed Free Throw.,54,60
3:27,2450,Jonathan Wade Defensive Rebound.,54,60
3:10,2450,Jonathan Wade made Layup.,56,60
3:01,315,Chris Barton missed Three Point Jumper.,56,60
3:01,2450,Norfolk St Defensive Rebound.,56,60
2:30,2450,Jonathan Wade made Jumper.,58,60
2:20,315,Niagara  Timeout,58,60
1:59,315,Dominic Robb missed Layup.,58,60
1:59,315,Niagara Offensive Rebound.,58,60
1:54,315,Marvin Prochet missed Three Point Jumper.,58,60
1:54,315,James Towns Offensive Rebound.,58,60
1:34,315,Matt Scott missed Three Point Jumper.,58,60
1:34,315,Matt Scott Offensive Rebound.,58,60
1:03,315,Matt Scott made Layup. Assisted by Marvin Prochet.,58,62
0:37,2450,Jonathan Wade missed Three Point Jumper.,58,62
0:37,2450,Alex Long Offensive Rebound.,58,62
0:32,2450,Zaynah Robinson made Three Point Jumper. Assisted by Alex Long.,61,62
0:32,2450,Norfolk St  Timeout,61,62
0:30,2450,Foul on Alex Long.,61,62
0:30,315,James Towns missed Free Throw.,61,62
0:30,315,Niagara Deadball Team Rebound.,61,62
0:30,315,James Towns made Free Throw.,61,63
0:19,2450,Norfolk St  Timeout,61,63
0:06,2450,Zaynah Robinson Turnover.,61,63
0:04,315,Kahlil Dukes Steal.,61,63
0:02,2450,Foul on Jordan Butler.,61,63
0:02,315,Kahlil Dukes made Free Throw.,61,64
0:02,315,Kahlil Dukes made Free Throw.,61,65
0:02,315,Niagara  Timeout,61,65
0:00,315,End of Game,61,65
