Texas Southern,97,Louisville,2640
3:23,2640,Demontrae Jefferson missed Three Point Jumper.,64,91
3:23,2640,Texas Southern Offensive Rebound.,64,91
3:19,97,Official TV Timeout,64,91
3:00,2640,Dulani Robinson missed Three Point Jumper.,64,91
3:00,97,Deng Adel Defensive Rebound.,64,91
2:39,2640,Foul on Dulani Robinson.,64,91
2:39,97,Ryan McMahon made Free Throw.,64,92
2:39,97,Ryan McMahon made Free Throw.,64,93
2:30,2640,Jamie Rutherford missed Jumper.,64,93
2:30,97,Tony Hicks Defensive Rebound.,64,93
2:13,97,Mangok Mathiang made Layup.,64,95
2:13,2640,Foul on Derrick Griffin.,64,95
2:13,97,Mangok Mathiang made Free Throw.,64,96
2:11,2640,Demontrae Jefferson made Layup.,66,96
2:04,97,Ryan McMahon missed Three Point Jumper.,66,96
2:04,2640,Derrick Griffin Defensive Rebound.,66,96
1:58,2640,Demontrae Jefferson missed Three Point Jumper.,66,96
1:58,97,Ryan McMahon Defensive Rebound.,66,96
1:49,97,Tony Hicks missed Layup.,66,96
1:49,97,Deng Adel Offensive Rebound.,66,96
1:45,97,Deng Adel missed Layup.,66,96
1:45,97,Matz Stockman Offensive Rebound.,66,96
1:45,97,Matz Stockman made Two Point Tip Shot.,66,98
1:17,97,Foul on Ryan McMahon.,66,98
1:17,2640,Jalan McCloud made Free Throw.,67,98
1:17,2640,Jalan McCloud made Free Throw.,68,98
1:03,2640,Foul on Jalan McCloud.,68,98
1:03,97,Tony Hicks made Free Throw.,68,99
1:03,97,Tony Hicks made Free Throw.,68,100
0:59,2640,Demontrae Jefferson made Layup.,70,100
0:47,97,Tony Hicks missed Three Point Jumper.,70,100
0:47,97,Tyler Sharpe Offensive Rebound.,70,100
0:41,97,Tyler Sharpe missed Three Point Jumper.,70,100
0:41,2640,Dulani Robinson Defensive Rebound.,70,100
0:30,2640,Demontrae Jefferson Turnover.,70,100
0:30,97,Jay Henderson Steal.,70,100
0:26,97,Jay Henderson made Layup. Assisted by Tony Hicks.,70,102
0:22,97,Foul on Ryan McMahon.,70,102
0:22,2640,Derrick Griffin made Free Throw.,71,102
0:22,2640,Derrick Griffin missed Free Throw.,71,102
0:22,97,Tony Hicks Defensive Rebound.,71,102
0:00,97,End of Game,71,102
