Lehigh,116,Mt. St. Mary's,2329
2:32,116,Greg Alexander missed Three Point Jumper.,28,27
2:32,2329,Kahron Ross Defensive Rebound.,28,27
2:25,2329,Tim Kempton missed Layup.,28,27
2:25,116,Mawdo Sallah Defensive Rebound.,28,27
2:16,2329,Foul on Tim Kempton.,28,27
2:16,116,Mawdo Sallah missed Free Throw.,28,27
2:16,116,Mt. St. Mary's Deadball Team Rebound.,28,27
2:16,116,Mawdo Sallah missed Free Throw.,28,27
2:16,2329,Tim Kempton Defensive Rebound.,28,27
1:47,2329,Pat Andree missed Jumper.,28,27
1:47,2329,Tim Kempton Offensive Rebound.,28,27
1:44,2329,Tim Kempton made Layup.,30,27
1:26,2329,Foul on Brandon Alston.,30,27
1:26,116,Miles Wilson made Free Throw.,30,28
1:26,116,Miles Wilson made Free Throw.,30,29
1:26,116,Miles Wilson made Free Throw.,30,30
1:06,116,Foul on Mawdo Sallah.,30,30
1:06,2329,Tim Kempton made Free Throw.,31,30
1:06,2329,Tim Kempton made Free Throw.,32,30
0:59,116,Greg Alexander missed Three Point Jumper.,32,30
0:59,2329,Tim Kempton Defensive Rebound.,32,30
0:42,2329,Pat Andree made Three Point Jumper. Assisted by Kyle Leufroy.,35,30
0:20,116,Greg Alexander made Three Point Jumper. Assisted by Elijah Long.,35,33
0:05,2329,Kahron Ross missed Jumper.,35,33
0:05,2329,Lehigh Offensive Rebound.,35,33
0:01,2329,Lehigh  Timeout,35,33
0:01,2329,Kyle Leufroy made Three Point Jumper. Assisted by Kahron Ross.,38,33
0:00,116,End of 1st half,38,33
19:46,2329,Tim Kempton made Layup.,40,33
19:25,2329,Foul on Tim Kempton.,40,33
19:25,116,Miles Wilson made Free Throw.,40,34
19:25,116,Miles Wilson made Free Throw.,40,35
19:11,2329,Kyle Leufroy missed Three Point Jumper.,40,35
19:11,116,Miles Wilson Defensive Rebound.,40,35
19:04,116,Khalid Nwandu missed Layup.,40,35
19:04,2329,Lehigh Defensive Rebound.,40,35
18:48,2329,Tim Kempton missed Jumper.,40,35
18:48,2329,Matt Holba Offensive Rebound.,40,35
18:37,2329,Kyle Leufroy Turnover.,40,35
18:37,116,Khalid Nwandu Steal.,40,35
18:33,116,Miles Wilson made Dunk. Assisted by Khalid Nwandu.,40,37
18:17,2329,Matt Holba made Layup.,42,37
18:02,116,Elijah Long missed Layup.,42,37
18:02,2329,Tim Kempton Defensive Rebound.,42,37
17:46,116,Foul on Mawdo Sallah.,42,37
17:46,116,Technical Foul on Elijah Long.,42,37
17:46,116,Foul on Elijah Long.,42,37
17:46,2329,Tim Kempton made Free Throw.,43,37
17:46,2329,Tim Kempton made Free Throw.,44,37
17:37,116,Foul on Khalid Nwandu.,44,37
17:37,2329,Tim Kempton missed Free Throw.,44,37
17:37,2329,Lehigh Deadball Team Rebound.,44,37
17:37,2329,Tim Kempton made Free Throw.,45,37
17:30,116,Junior Robinson made Layup.,45,39
17:15,2329,Austin Price made Dunk.,47,39
17:05,116,Chris Wray made Dunk. Assisted by Elijah Long.,47,41
16:43,2329,Kahron Ross Turnover.,47,41
16:12,116,Elijah Long missed Three Point Jumper.,47,41
16:12,116,Mt. St. Mary's Deadball Team Rebound.,47,41
16:12,116,Mt. St. Mary's  Turnover.,47,41
16:03,2329,Kahron Ross Turnover.,47,41
16:01,116,Chris Wray Steal.,47,41
16:00,116,Chris Wray Turnover.,47,41
15:59,2329,Austin Price Steal.,47,41
15:47,2329,Kahron Ross made Layup.,49,41
15:17,116,Greg Alexander made Three Point Jumper. Assisted by Chris Wray.,49,44
14:52,116,Foul on Greg Alexander.,49,44
14:52,116,Official TV Timeout,49,44
14:52,2329,Austin Price missed Free Throw.,49,44
14:52,2329,Lehigh Deadball Team Rebound.,49,44
14:52,2329,Austin Price made Free Throw.,50,44
14:28,116,Junior Robinson Turnover.,50,44
14:28,2329,Matt Holba Steal.,50,44
14:18,2329,Austin Price made Three Point Jumper.,53,44
14:00,116,Greg Alexander missed Three Point Jumper.,53,44
14:00,2329,Matt Holba Defensive Rebound.,53,44
13:37,2329,Tim Kempton made Jumper. Assisted by Austin Price.,55,44
13:28,116,Mt. St. Mary's  Timeout,55,44
13:12,116,Chris Wray missed Layup.,55,44
13:12,2329,Tim Kempton Defensive Rebound.,55,44
13:10,116,Foul on Khalid Nwandu.,55,44
12:58,2329,Austin Price missed Three Point Jumper.,55,44
12:58,2329,Tim Kempton Offensive Rebound.,55,44
12:55,2329,Tim Kempton made Layup.,57,44
12:30,116,Elijah Long missed Three Point Jumper.,57,44
12:30,2329,Tim Kempton Defensive Rebound.,57,44
12:12,2329,Austin Price missed Three Point Jumper.,57,44
12:12,116,Junior Robinson Defensive Rebound.,57,44
11:54,116,Junior Robinson missed Three Point Jumper.,57,44
11:54,116,Chris Wray Offensive Rebound.,57,44
11:41,116,Greg Alexander missed Three Point Jumper.,57,44
11:41,2329,Tim Kempton Defensive Rebound.,57,44
11:14,2329,Austin Price made Layup.,59,44
10:56,2329,Foul on Austin Price.,59,44
10:56,116,Official TV Timeout,59,44
10:45,2329,Foul on Matt Holba.,59,44
10:38,116,Greg Alexander missed Three Point Jumper.,59,44
10:38,2329,Tim Kempton Defensive Rebound.,59,44
10:22,2329,Kyle Leufroy missed Jumper.,59,44
10:22,2329,Tim Kempton Offensive Rebound.,59,44
10:21,2329,Tim Kempton made Two Point Tip Shot.,61,44
10:05,116,Miles Wilson missed Three Point Jumper.,61,44
10:05,2329,Brandon Alston Defensive Rebound.,61,44
9:58,2329,Brandon Alston missed Three Point Jumper.,61,44
9:58,116,Mt. St. Mary's Defensive Rebound.,61,44
9:50,116,Junior Robinson missed Layup.,61,44
9:50,116,Mawdo Sallah Offensive Rebound.,61,44
9:47,116,Mawdo Sallah missed Layup.,61,44
9:47,2329,Pat Andree Defensive Rebound.,61,44
9:34,116,Foul on Miles Wilson.,61,44
9:23,2329,Matt Holba made Three Point Jumper. Assisted by Jordan Cohen.,64,44
9:02,116,Elijah Long Turnover.,64,44
9:02,116,Foul on Elijah Long.,64,44
8:57,2329,Matt Holba made Dunk. Assisted by Kyle Leufroy.,66,44
8:38,2329,Foul on Matt Holba.,66,44
8:38,116,Miles Wilson made Layup.,66,46
8:38,116,Miles Wilson missed Free Throw.,66,46
8:38,2329,Matt Holba Defensive Rebound.,66,46
8:29,2329,Kyle Leufroy missed Three Point Jumper.,66,46
8:29,2329,Pat Andree Offensive Rebound.,66,46
8:24,2329,Pat Andree made Jumper.,68,46
8:09,2329,Foul on Matt Holba.,68,46
7:59,116,Junior Robinson missed Jumper.,68,46
7:59,2329,Matt Holba Defensive Rebound.,68,46
7:49,2329,Austin Price missed Three Point Jumper.,68,46
7:49,116,Mt. St. Mary's Defensive Rebound.,68,46
7:45,116,Official TV Timeout,68,46
7:37,116,Mawdo Sallah missed Layup.,68,46
7:37,2329,Tim Kempton Block.,68,46
7:36,2329,Kahron Ross Defensive Rebound.,68,46
7:29,2329,Kahron Ross Turnover.,68,46
7:28,116,Khalid Nwandu Steal.,68,46
7:25,116,Junior Robinson made Dunk.,68,48
7:08,2329,Austin Price Turnover.,68,48
7:07,116,Junior Robinson Steal.,68,48
7:05,116,Junior Robinson made Layup.,68,50
7:04,2329,Lehigh  Timeout,68,50
6:35,2329,Tim Kempton made Three Point Jumper. Assisted by Kahron Ross.,71,50
6:20,116,Junior Robinson Turnover.,71,50
6:17,2329,Jordan Cohen Steal.,71,50
6:13,2329,Pat Andree missed Three Point Jumper.,71,50
6:13,116,Mt. St. Mary's Deadball Team Rebound.,71,50
6:12,2329,Foul on Tim Kempton.,71,50
5:54,116,Miles Wilson made Layup.,71,52
5:23,2329,Kahron Ross Turnover.,71,52
5:23,2329,Foul on Kahron Ross.,71,52
5:08,116,Will Miller made Three Point Jumper. Assisted by Junior Robinson.,71,55
4:31,2329,Tim Kempton made Jumper. Assisted by Kahron Ross.,73,55
4:31,116,Foul on Khalid Nwandu.,73,55
4:31,2329,Tim Kempton made Free Throw.,74,55
4:19,116,Mawdo Sallah missed Layup.,74,55
4:19,2329,Tim Kempton Defensive Rebound.,74,55
4:05,116,Foul on Mawdo Sallah.,74,55
4:05,2329,Tim Kempton made Free Throw.,75,55
4:05,2329,Tim Kempton made Free Throw.,76,55
3:56,116,Mawdo Sallah made Jumper.,76,57
3:30,2329,Kahron Ross missed Layup.,76,57
3:30,116,Will Miller Defensive Rebound.,76,57
3:24,116,Will Miller made Three Point Jumper. Assisted by Khalid Nwandu.,76,60
3:02,2329,Austin Price made Layup. Assisted by Jordan Cohen.,78,60
3:01,116,Foul on Will Miller.,78,60
3:01,116,Official TV Timeout,78,60
3:01,2329,Austin Price missed Free Throw.,78,60
3:01,116,Khalid Nwandu Defensive Rebound.,78,60
2:43,2329,Foul on Austin Price.,78,60
2:43,116,Miles Wilson made Free Throw.,78,61
2:43,116,Miles Wilson made Free Throw.,78,62
2:14,116,Foul on Will Miller.,78,62
2:14,2329,Kahron Ross made Free Throw.,79,62
2:14,2329,Kahron Ross made Free Throw.,80,62
2:06,116,Mawdo Sallah made Layup. Assisted by Khalid Nwandu.,80,64
2:06,2329,Foul on Austin Price.,80,64
2:06,116,Mawdo Sallah made Free Throw.,80,65
1:54,116,Foul on Junior Robinson.,80,65
1:54,2329,Kahron Ross made Free Throw.,81,65
1:54,2329,Kahron Ross made Free Throw.,82,65
1:47,116,Will Miller made Three Point Jumper. Assisted by Khalid Nwandu.,82,68
1:32,116,Foul on Junior Robinson.,82,68
1:32,2329,Kahron Ross made Free Throw.,83,68
1:32,2329,Kahron Ross made Free Throw.,84,68
1:26,116,Khalid Nwandu made Layup.,84,70
1:08,116,Foul on Khalid Nwandu.,84,70
1:08,2329,Kahron Ross made Free Throw.,85,70
1:08,2329,Kahron Ross made Free Throw.,86,70
1:01,116,Will Miller missed Three Point Jumper.,86,70
1:01,2329,Pat Andree Defensive Rebound.,86,70
0:55,2329,Tim Kempton made Layup. Assisted by Pat Andree.,88,70
0:46,116,Foul on Mawdo Sallah.,88,70
0:46,116,Mawdo Sallah Turnover.,88,70
0:42,116,Foul on Will Miller.,88,70
0:42,2329,Jordan Cohen made Free Throw.,89,70
0:42,2329,Jordan Cohen made Free Throw.,90,70
0:37,2329,Foul on Devon Carter.,90,70
0:37,116,Junior Robinson made Free Throw.,90,71
0:37,116,Junior Robinson missed Free Throw.,90,71
0:37,2329,Lehigh Defensive Rebound.,90,71
0:15,2329,Foul on Josh Wolf.,90,71
0:15,2329,Josh Wolf Turnover.,90,71
0:04,116,Junior Robinson missed Three Point Jumper.,90,71
0:04,2329,Jay Jay Davis Defensive Rebound.,90,71
0:00,116,End of Game,90,71
