VMI,277,West Virginia,2678
15:43,277,Brandon Watkins made Free Throw.,2,9
15:30,277,Foul on Teyvon Myers.,2,9
15:23,2678,Fred Iruafemi Turnover.,2,9
15:07,277,Brandon Watkins made Layup. Assisted by Tarik Phillip.,2,11
14:43,2678,Garrett Gilkeson missed Layup.,2,11
14:43,277,Brandon Watkins Block.,2,11
14:42,2678,VMI Offensive Rebound.,2,11
14:31,2678,QJ Peterson missed Three Point Jumper.,2,11
14:31,2678,Will Miller Offensive Rebound.,2,11
14:27,2678,Will Miller made Layup.,4,11
14:09,277,Tarik Phillip missed Layup.,4,11
14:09,277,Brandon Watkins Offensive Rebound.,4,11
14:06,277,Brandon Watkins made Dunk.,4,13
13:56,2678,Trey Chapman made Layup. Assisted by Keith Smith.,6,13
13:45,277,Tarik Phillip Turnover.,6,13
13:43,2678,Keith Smith Steal.,6,13
13:42,2678,Keith Smith Turnover.,6,13
13:17,277,James Bolden made Three Point Jumper. Assisted by Esa Ahmad.,6,16
13:06,2678,Trey Chapman missed Layup.,6,16
13:06,277,Esa Ahmad Defensive Rebound.,6,16
12:58,2678,Foul on Garrett Gilkeson.,6,16
12:58,277,Teyvon Myers missed Free Throw.,6,16
12:58,277,West Virginia Deadball Team Rebound.,6,16
12:58,277,Teyvon Myers made Free Throw.,6,17
12:54,2678,Garrett Gilkeson Turnover.,6,17
12:29,277,Teyvon Myers missed Jumper.,6,17
12:29,277,Elijah Macon Offensive Rebound.,6,17
12:21,277,James Bolden made Three Point Jumper. Assisted by Elijah Macon.,6,20
12:07,2678,Garrett Gilkeson Turnover.,6,20
11:59,277,Esa Ahmad missed Jumper.,6,20
11:59,2678,Julian Eleby Defensive Rebound.,6,20
11:47,2678,QJ Peterson Turnover.,6,20
11:45,277,Jevon Carter Steal.,6,20
11:44,2678,Foul on Julian Eleby.,6,20
11:44,277,Official TV Timeout,6,20
11:25,277,Elijah Macon Turnover.,6,20
11:09,2678,Trey Chapman missed Layup.,6,20
11:09,277,Brandon Watkins Block.,6,20
11:08,277,Esa Ahmad Defensive Rebound.,6,20
11:00,277,Lamont West made Jumper.,6,22
10:47,2678,Trey Chapman made Layup. Assisted by Adrian Rich.,8,22
10:31,277,Esa Ahmad missed Layup.,8,22
10:31,2678,Austin Vereen Defensive Rebound.,8,22
10:17,2678,QJ Peterson made Three Point Jumper. Assisted by Adrian Rich.,11,22
9:44,277,Esa Ahmad missed Layup.,11,22
9:44,2678,Austin Vereen Defensive Rebound.,11,22
9:32,2678,Julian Eleby missed Three Point Jumper.,11,22
9:32,2678,Julian Eleby Offensive Rebound.,11,22
9:23,2678,Adrian Rich missed Three Point Jumper.,11,22
9:23,277,West Virginia Defensive Rebound.,11,22
9:04,2678,Foul on QJ Peterson.,11,22
8:47,277,Nathan Adrian missed Layup.,11,22
8:47,2678,Garrett Gilkeson Defensive Rebound.,11,22
8:46,277,Foul on Teyvon Myers.,11,22
8:31,2678,QJ Peterson made Three Point Jumper. Assisted by Will Miller.,14,22
8:03,277,Nathan Adrian missed Layup.,14,22
8:03,2678,Fred Iruafemi Block.,14,22
8:01,2678,Garrett Gilkeson Defensive Rebound.,14,22
7:43,2678,Garrett Gilkeson missed Three Point Jumper.,14,22
7:43,2678,Will Miller Offensive Rebound.,14,22
7:41,277,Foul on Nathan Adrian.,14,22
7:41,277,Official TV Timeout,14,22
7:41,277,Technical Foul on West Virginia.,14,22
7:41,277,Foul on West Virginia.,14,22
7:41,2678,QJ Peterson missed Free Throw.,14,22
7:41,2678,VMI Deadball Team Rebound.,14,22
7:41,2678,QJ Peterson made Free Throw.,15,22
7:36,2678,Fred Iruafemi made Jumper. Assisted by Will Miller.,17,22
7:03,277,Brandon Watkins missed Layup.,17,22
7:03,277,Nathan Adrian Offensive Rebound.,17,22
7:01,277,Nathan Adrian missed Layup.,17,22
7:01,277,Brandon Watkins Offensive Rebound.,17,22
6:53,277,Nathan Adrian made Layup. Assisted by Jevon Carter.,17,24
6:31,2678,Adrian Rich missed Jumper.,17,24
6:31,277,Tarik Phillip Defensive Rebound.,17,24
6:24,277,Nathan Adrian missed Three Point Jumper.,17,24
6:24,277,Tarik Phillip Offensive Rebound.,17,24
6:24,2678,Foul on Will Miller.,17,24
6:10,2678,Foul on QJ Peterson.,17,24
6:10,277,Tarik Phillip missed Free Throw.,17,24
6:10,277,West Virginia Deadball Team Rebound.,17,24
6:10,277,Tarik Phillip made Free Throw.,17,25
5:51,2678,QJ Peterson missed Three Point Jumper.,17,25
5:51,277,Tarik Phillip Defensive Rebound.,17,25
5:41,277,Tarik Phillip Turnover.,17,25
5:41,277,Foul on Tarik Phillip.,17,25
5:30,2678,Julian Eleby made Three Point Jumper. Assisted by Fred Iruafemi.,20,25
4:57,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,20,28
4:34,2678,QJ Peterson made Jumper.,22,28
4:12,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Nathan Adrian.,22,31
4:06,2678,Keith Smith Turnover.,22,31
4:06,2678,Foul on Keith Smith.,22,31
4:03,2678,Foul on Fred Iruafemi.,22,31
4:03,277,Elijah Macon made Free Throw.,22,32
4:03,277,Elijah Macon missed Free Throw.,22,32
4:03,2678,QJ Peterson Defensive Rebound.,22,32
4:01,277,Daxter Miles Jr. missed Jumper.,22,32
4:01,277,Elijah Macon Offensive Rebound.,22,32
3:55,2678,QJ Peterson Turnover.,22,32
3:55,277,Nathan Adrian Steal.,22,32
3:49,277,Tarik Phillip made Layup. Assisted by Nathan Adrian.,22,34
3:41,277,Official TV Timeout,22,34
3:19,2678,Julian Eleby made Three Point Jumper. Assisted by Keith Smith.,25,34
2:49,277,Daxter Miles Jr. missed Three Point Jumper.,25,34
2:49,2678,Keith Smith Defensive Rebound.,25,34
2:17,2678,QJ Peterson missed Three Point Jumper.,25,34
2:17,277,Elijah Macon Defensive Rebound.,25,34
1:57,277,Elijah Macon made Jumper. Assisted by Daxter Miles Jr..,25,36
1:41,277,Foul on Elijah Macon.,25,36
1:41,2678,Julian Eleby missed Free Throw.,25,36
1:41,2678,VMI Deadball Team Rebound.,25,36
1:41,2678,Julian Eleby missed Free Throw.,25,36
1:41,277,Brandon Watkins Defensive Rebound.,25,36
1:17,277,Tarik Phillip made Jumper.,25,38
1:08,277,Foul on Esa Ahmad.,25,38
1:08,2678,Trey Chapman missed Free Throw.,25,38
1:08,2678,Fred Iruafemi Offensive Rebound.,25,38
1:08,2678,Trey Chapman missed Three Point Jumper.,25,38
1:08,2678,Julian Eleby Offensive Rebound.,25,38
1:06,2678,Fred Iruafemi Turnover.,25,38
1:05,277,James Bolden Steal.,25,38
0:47,277,Esa Ahmad missed Layup.,25,38
0:47,2678,Trey Chapman Block.,25,38
0:46,277,Esa Ahmad Offensive Rebound.,25,38
0:32,2678,Foul on Fred Iruafemi.,25,38
0:32,277,Esa Ahmad missed Free Throw.,25,38
0:32,277,West Virginia Deadball Team Rebound.,25,38
0:32,277,Esa Ahmad missed Free Throw.,25,38
0:32,2678,Julian Eleby Defensive Rebound.,25,38
0:23,2678,VMI  Timeout,25,38
0:19,2678,Trey Chapman Turnover.,25,38
0:17,277,Tarik Phillip Steal.,25,38
0:16,277,Sagaba Konate Turnover.,25,38
0:16,277,Foul on Sagaba Konate.,25,38
0:03,2678,Austin Vereen missed Three Point Jumper.,25,38
0:03,2678,Trey Chapman Offensive Rebound.,25,38
0:00,277,End of 1st half,25,38
19:46,2678,Adrian Rich made Layup.,27,38
19:17,277,James Bolden missed Three Point Jumper.,27,38
19:17,277,Daxter Miles Jr. Offensive Rebound.,27,38
19:17,2678,Foul on Trey Chapman.,27,38
19:17,277,Daxter Miles Jr. missed Free Throw.,27,38
19:17,277,West Virginia Deadball Team Rebound.,27,38
19:17,277,Daxter Miles Jr. missed Free Throw.,27,38
19:17,277,Jevon Carter Offensive Rebound.,27,38
19:01,2678,Foul on Keith Smith.,27,38
18:43,277,James Bolden made Three Point Jumper. Assisted by Daxter Miles Jr..,27,41
18:22,2678,Julian Eleby made Three Point Jumper. Assisted by Keith Smith.,30,41
17:52,2678,Foul on Trey Chapman.,30,41
17:51,2678,Foul on Adrian Rich.,30,41
17:41,277,Elijah Macon missed Jumper.,30,41
17:41,277,Nathan Adrian Offensive Rebound.,30,41
17:39,2678,Foul on Keith Smith.,30,41
17:38,277,Teyvon Myers made Jumper. Assisted by Jevon Carter.,30,43
17:24,2678,Julian Eleby missed Three Point Jumper.,30,43
17:24,277,West Virginia Defensive Rebound.,30,43
17:08,2678,Foul on Adrian Rich.,30,43
17:05,277,Elijah Macon made Dunk. Assisted by Teyvon Myers.,30,45
16:42,2678,Will Miller made Layup. Assisted by Keith Smith.,32,45
16:42,277,Foul on Elijah Macon.,32,45
16:42,2678,Will Miller made Free Throw.,33,45
16:30,277,James Bolden missed Three Point Jumper.,33,45
16:30,277,Brandon Watkins Offensive Rebound.,33,45
16:26,277,Brandon Watkins made Layup.,33,47
16:25,2678,Foul on Fred Iruafemi.,33,47
16:25,277,Brandon Watkins made Free Throw.,33,48
16:25,277,Foul on James Bolden.,33,48
16:13,2678,Adrian Rich missed Layup.,33,48
16:13,2678,Fred Iruafemi Offensive Rebound.,33,48
16:12,277,Foul on Tarik Phillip.,33,48
16:12,277,Foul on Lamont West.,33,48
16:07,277,Foul on Brandon Watkins.,33,48
16:07,2678,QJ Peterson made Free Throw.,34,48
16:07,2678,QJ Peterson made Free Throw.,35,48
15:47,277,Official TV Timeout,35,48
15:47,277,Teyvon Myers Turnover.,35,48
15:35,2678,Trey Chapman missed Jumper.,35,48
15:35,2678,QJ Peterson Offensive Rebound.,35,48
15:32,2678,QJ Peterson missed Layup.,35,48
15:32,277,Teyvon Myers Block.,35,48
15:30,2678,QJ Peterson Offensive Rebound.,35,48
15:25,2678,Trey Chapman Turnover.,35,48
15:23,277,Tarik Phillip Steal.,35,48
15:18,277,Teyvon Myers missed Three Point Jumper.,35,48
15:18,277,Brandon Watkins Offensive Rebound.,35,48
15:13,2678,Foul on Will Miller.,35,48
15:13,277,Brandon Watkins missed Free Throw.,35,48
15:13,277,West Virginia Deadball Team Rebound.,35,48
15:13,277,Brandon Watkins made Free Throw.,35,49
15:04,2678,Adrian Rich Turnover.,35,49
14:51,2678,Foul on Adrian Rich.,35,49
14:51,277,Teyvon Myers made Free Throw.,35,50
14:51,277,Teyvon Myers made Free Throw.,35,51
14:30,2678,QJ Peterson made Layup.,37,51
14:30,277,Foul on Teyvon Myers.,37,51
14:30,2678,QJ Peterson made Free Throw.,38,51
14:09,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,38,54
13:48,2678,Keith Smith made Three Point Jumper.,41,54
13:31,2678,Foul on QJ Peterson.,41,54
13:31,277,Jevon Carter made Free Throw.,41,55
13:31,277,Jevon Carter made Free Throw.,41,56
13:28,277,Foul on Jevon Carter.,41,56
13:28,2678,QJ Peterson missed Free Throw.,41,56
13:28,277,Jevon Carter Defensive Rebound.,41,56
13:14,277,Tarik Phillip Turnover.,41,56
13:13,2678,Will Miller Steal.,41,56
13:08,2678,QJ Peterson missed Layup.,41,56
13:08,277,Jevon Carter Block.,41,56
13:08,2678,VMI Offensive Rebound.,41,56
13:06,2678,Keith Smith Turnover.,41,56
13:05,277,Jevon Carter Steal.,41,56
13:04,277,Jevon Carter missed Layup.,41,56
13:04,2678,Garrett Gilkeson Block.,41,56
13:04,277,West Virginia Offensive Rebound.,41,56
12:49,277,Elijah Macon missed Layup.,41,56
12:49,277,West Virginia Offensive Rebound.,41,56
12:27,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,41,59
12:13,2678,Garrett Gilkeson Turnover.,41,59
12:07,2678,Foul on Austin Vereen.,41,59
12:07,277,Teyvon Myers made Free Throw.,41,60
12:07,277,Teyvon Myers made Free Throw.,41,61
12:00,2678,QJ Peterson made Three Point Jumper. Assisted by Fred Iruafemi.,44,61
11:36,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,44,64
11:30,277,Foul on Jevon Carter.,44,64
11:30,277,Official TV Timeout,44,64
11:30,2678,Keith Smith made Free Throw.,45,64
11:30,2678,Keith Smith made Free Throw.,46,64
11:10,277,Daxter Miles Jr. Turnover.,46,64
11:09,2678,QJ Peterson Steal.,46,64
10:53,2678,QJ Peterson Turnover.,46,64
10:35,277,Brandon Watkins missed Jumper.,46,64
10:35,277,Nathan Adrian Offensive Rebound.,46,64
10:28,277,Daxter Miles Jr. made Layup. Assisted by Nathan Adrian.,46,66
10:16,277,Foul on Esa Ahmad.,46,66
10:16,2678,Trey Chapman missed Free Throw.,46,66
10:16,2678,VMI Deadball Team Rebound.,46,66
10:16,2678,Trey Chapman made Free Throw.,47,66
10:01,2678,Foul on QJ Peterson.,47,66
10:01,277,Daxter Miles Jr. missed Free Throw.,47,66
10:01,277,West Virginia Deadball Team Rebound.,47,66
10:01,277,Daxter Miles Jr. made Free Throw.,47,67
9:56,2678,Adrian Rich Turnover.,47,67
9:56,277,Tarik Phillip Steal.,47,67
9:49,2678,Foul on Fred Iruafemi.,47,67
9:49,277,Brandon Watkins made Free Throw.,47,68
9:49,277,Brandon Watkins made Free Throw.,47,69
9:49,2678,VMI  Timeout,47,69
9:40,2678,Trey Chapman missed Layup.,47,69
9:40,277,Daxter Miles Jr. Defensive Rebound.,47,69
9:32,2678,Foul on Keith Smith.,47,69
9:32,277,Esa Ahmad missed Free Throw.,47,69
9:32,277,West Virginia Deadball Team Rebound.,47,69
9:32,277,Esa Ahmad made Free Throw.,47,70
9:31,2678,Julian Eleby Turnover.,47,70
9:16,277,Daxter Miles Jr. Turnover.,47,70
9:14,2678,Julian Eleby missed Three Point Jumper.,47,70
9:14,277,Esa Ahmad Defensive Rebound.,47,70
8:59,277,Esa Ahmad made Jumper. Assisted by Tarik Phillip.,47,72
8:45,2678,Trey Chapman missed Jumper.,47,72
8:45,277,Brandon Watkins Defensive Rebound.,47,72
8:38,277,Esa Ahmad missed Layup.,47,72
8:38,2678,Will Miller Block.,47,72
8:36,277,Esa Ahmad Offensive Rebound.,47,72
8:34,277,Esa Ahmad made Layup.,47,74
8:34,2678,VMI  Timeout,47,74
8:25,2678,Garrett Gilkeson missed Three Point Jumper.,47,74
8:25,277,Elijah Macon Defensive Rebound.,47,74
8:13,277,Elijah Macon made Layup. Assisted by Tarik Phillip.,47,76
7:58,2678,Adrian Rich Turnover.,47,76
7:58,277,Official TV Timeout,47,76
7:33,277,Teyvon Myers Turnover.,47,76
7:32,2678,Garrett Gilkeson Steal.,47,76
7:13,2678,Will Miller Turnover.,47,76
6:47,277,Tarik Phillip missed Three Point Jumper.,47,76
6:47,2678,Adrian Rich Defensive Rebound.,47,76
6:40,2678,Keith Smith missed Layup.,47,76
6:40,277,Nathan Adrian Defensive Rebound.,47,76
6:34,2678,Foul on Fred Iruafemi.,47,76
6:34,277,Elijah Macon missed Free Throw.,47,76
6:34,277,West Virginia Deadball Team Rebound.,47,76
6:34,277,Elijah Macon made Free Throw.,47,77
6:16,2678,Trey Chapman made Dunk. Assisted by QJ Peterson.,49,77
5:50,2678,Foul on Garrett Gilkeson.,49,77
5:50,277,Esa Ahmad made Free Throw.,49,78
5:50,277,Esa Ahmad made Free Throw.,49,79
5:38,2678,Garrett Gilkeson Turnover.,49,79
5:37,277,Esa Ahmad Steal.,49,79
5:33,277,Esa Ahmad missed Dunk.,49,79
5:33,2678,Trey Chapman Defensive Rebound.,49,79
5:25,2678,Armani Branch missed Three Point Jumper.,49,79
5:25,2678,Trey Chapman Offensive Rebound.,49,79
5:22,2678,Trey Chapman missed Layup.,49,79
5:22,277,Brandon Watkins Defensive Rebound.,49,79
5:04,277,Teyvon Myers made Jumper.,49,81
4:46,2678,Keith Smith missed Three Point Jumper.,49,81
4:46,277,Brandon Watkins Defensive Rebound.,49,81
4:21,277,Esa Ahmad missed Three Point Jumper.,49,81
4:21,277,Lamont West Offensive Rebound.,49,81
4:19,2678,Foul on Chuchu Enechionyia.,49,81
4:19,277,Lamont West made Free Throw.,49,82
4:19,277,Lamont West made Free Throw.,49,83
4:10,2678,Armani Branch Turnover.,49,83
4:08,277,Lamont West Steal.,49,83
4:06,277,Lamont West missed Layup.,49,83
4:06,277,Esa Ahmad Offensive Rebound.,49,83
4:04,277,Esa Ahmad missed Layup.,49,83
4:04,2678,Armani Branch Defensive Rebound.,49,83
4:02,2678,Armani Branch Turnover.,49,83
4:01,277,Teyvon Myers Steal.,49,83
3:49,277,Teyvon Myers missed Jumper.,49,83
3:49,277,Jevon Carter Offensive Rebound.,49,83
3:43,2678,Foul on Keith Smith.,49,83
3:43,277,Official TV Timeout,49,83
3:43,277,Esa Ahmad made Free Throw.,49,84
3:43,277,Esa Ahmad made Free Throw.,49,85
3:33,2678,Chuchu Enechionyia Turnover.,49,85
3:16,2678,Foul on Garrett Gilkeson.,49,85
3:16,277,Daxter Miles Jr. made Free Throw.,49,86
3:16,277,Daxter Miles Jr. made Free Throw.,49,87
3:03,2678,Austin Vereen made Three Point Jumper. Assisted by Garrett Gilkeson.,52,87
2:49,277,Lamont West missed Three Point Jumper.,52,87
2:49,2678,Austin Vereen Block.,52,87
2:48,277,James Bolden Offensive Rebound.,52,87
2:38,2678,Foul on Chuchu Enechionyia.,52,87
2:38,277,Maciej Bender missed Free Throw.,52,87
2:38,277,West Virginia Deadball Team Rebound.,52,87
2:38,277,Maciej Bender made Free Throw.,52,88
2:25,277,Foul on Maciej Bender.,52,88
2:25,2678,Chuchu Enechionyia made Free Throw.,53,88
2:25,2678,Chuchu Enechionyia missed Free Throw.,53,88
2:25,277,Maciej Bender Defensive Rebound.,53,88
2:06,277,Sagaba Konate Turnover.,53,88
1:55,2678,Adrian Rich missed Layup.,53,88
1:55,277,Sagaba Konate Block.,53,88
1:54,277,James Long Defensive Rebound.,53,88
1:49,2678,Foul on Chuchu Enechionyia.,53,88
1:49,277,James Bolden missed Free Throw.,53,88
1:49,277,West Virginia Deadball Team Rebound.,53,88
1:49,277,James Bolden missed Free Throw.,53,88
1:49,2678,Austin Vereen Defensive Rebound.,53,88
1:23,2678,Adrian Rich missed Layup.,53,88
1:23,277,Sagaba Konate Block.,53,88
1:21,277,Sagaba Konate Defensive Rebound.,53,88
1:09,277,Sagaba Konate missed Layup.,53,88
1:09,277,Sagaba Konate Offensive Rebound.,53,88
1:06,277,Sagaba Konate made Layup.,53,90
1:03,2678,Foul on Tyler Creammer.,53,90
1:03,277,Sagaba Konate missed Free Throw.,53,90
1:03,2678,Chuchu Enechionyia Defensive Rebound.,53,90
0:49,2678,Tyler Creammer missed Jumper.,53,90
0:49,2678,Chuchu Enechionyia Offensive Rebound.,53,90
0:45,2678,Tyler Creammer made Layup. Assisted by Chuchu Enechionyia.,55,90
0:18,277,Chase Harler missed Layup.,55,90
0:18,2678,VMI Defensive Rebound.,55,90
0:07,2678,Austin Vereen missed Three Point Jumper.,55,90
0:07,277,James Bolden Defensive Rebound.,55,90
0:00,277,End of Game,55,90
