Utah,2752,Xavier,254
11:22,2752,Malcolm Bernard made Dunk. Assisted by Sean O'Mara.,46,55
10:45,254,Jayce Johnson Turnover.,46,55
10:34,2752,Sean O'Mara missed Layup.,46,55
10:34,2752,Sean O'Mara Offensive Rebound.,46,55
10:28,2752,Sean O'Mara missed Layup.,46,55
10:28,2752,Sean O'Mara Offensive Rebound.,46,55
10:22,254,Foul on Kyle Kuzma.,46,55
10:22,2752,Sean O'Mara missed Free Throw.,46,55
10:22,2752,Xavier Deadball Team Rebound.,46,55
10:22,2752,Sean O'Mara made Free Throw.,46,56
10:08,2752,Foul on Edmond Sumner.,46,56
9:43,254,Lorenzo Bonam missed Jumper.,46,56
9:43,2752,Kaiser Gates Block.,46,56
9:43,254,Utah Offensive Rebound.,46,56
9:36,254,Kyle Kuzma missed Three Point Jumper.,46,56
9:36,254,Devon Daniels Offensive Rebound.,46,56
9:32,254,Devon Daniels made Layup.,48,56
9:17,2752,Trevon Bluiett missed Three Point Jumper.,48,56
9:17,2752,Malcolm Bernard Offensive Rebound.,48,56
9:07,2752,Edmond Sumner Turnover.,48,56
9:07,254,Devon Daniels Steal.,48,56
8:57,254,Foul on Devon Daniels.,48,56
8:57,254,Devon Daniels Turnover.,48,56
8:41,2752,Trevon Bluiett missed Jumper.,48,56
8:41,254,Kyle Kuzma Defensive Rebound.,48,56
8:15,254,Devon Daniels missed Jumper.,48,56
8:15,2752,Trevon Bluiett Defensive Rebound.,48,56
7:55,2752,Foul on RaShid Gaston.,48,56
7:55,2752,RaShid Gaston Turnover.,48,56
7:55,2752,Official TV Timeout,48,56
7:35,2752,Foul on Edmond Sumner.,48,56
7:28,254,Devon Daniels Turnover.,48,56
7:28,2752,Malcolm Bernard Steal.,48,56
7:19,2752,Malcolm Bernard made Three Point Jumper. Assisted by Quentin Goodin.,48,59
6:51,254,Devon Daniels made Layup.,50,59
6:22,2752,Trevon Bluiett missed Layup.,50,59
6:22,2752,RaShid Gaston Offensive Rebound.,50,59
6:15,2752,RaShid Gaston made Jumper.,50,61
6:00,2752,Foul on RaShid Gaston.,50,61
6:00,254,Lorenzo Bonam made Free Throw.,51,61
6:00,254,Lorenzo Bonam made Free Throw.,52,61
5:52,2752,Sean O'Mara missed Jumper.,52,61
5:52,254,Kyle Kuzma Defensive Rebound.,52,61
5:40,254,Jayce Johnson made Layup. Assisted by Kyle Kuzma.,54,61
5:40,2752,Foul on Trevon Bluiett.,54,61
5:40,254,Jayce Johnson missed Free Throw.,54,61
5:40,254,Kyle Kuzma Offensive Rebound.,54,61
5:38,254,Kyle Kuzma Turnover.,54,61
5:34,2752,Quentin Goodin Turnover.,54,61
5:34,254,Jayce Johnson Steal.,54,61
5:27,2752,Foul on Quentin Goodin.,54,61
5:27,254,JoJo Zamora made Free Throw.,55,61
5:27,254,JoJo Zamora made Free Throw.,56,61
5:04,2752,Trevon Bluiett made Layup.,56,63
4:49,254,Kyle Kuzma missed Jumper.,56,63
4:49,2752,RaShid Gaston Defensive Rebound.,56,63
4:29,2752,RaShid Gaston missed Jumper.,56,63
4:29,254,Utah Defensive Rebound.,56,63
4:00,254,Lorenzo Bonam Turnover.,56,63
3:45,2752,Malcolm Bernard missed Jumper.,56,63
3:45,254,JoJo Zamora Defensive Rebound.,56,63
3:38,254,Lorenzo Bonam missed Layup.,56,63
3:38,2752,Edmond Sumner Defensive Rebound.,56,63
3:29,2752,Trevon Bluiett made Layup. Assisted by Edmond Sumner.,56,65
3:17,254,Devon Daniels made Layup.,58,65
3:17,2752,Foul on Malcolm Bernard.,58,65
3:17,2752,Official TV Timeout,58,65
3:17,254,Devon Daniels made Free Throw.,59,65
2:59,2752,J.P. Macura missed Layup.,59,65
2:59,254,Kyle Kuzma Defensive Rebound.,59,65
2:31,254,Kyle Kuzma missed Three Point Jumper.,59,65
2:31,2752,Edmond Sumner Defensive Rebound.,59,65
2:07,2752,Trevon Bluiett made Layup.,59,67
1:39,254,Jayce Johnson made Layup. Assisted by Lorenzo Bonam.,61,67
1:39,2752,Foul on RaShid Gaston.,61,67
1:39,254,Jayce Johnson missed Free Throw.,61,67
1:39,2752,Trevon Bluiett Defensive Rebound.,61,67
1:16,2752,J.P. Macura missed Layup.,61,67
1:16,254,Jayce Johnson Block.,61,67
1:16,254,JoJo Zamora Defensive Rebound.,61,67
1:07,254,Foul on JoJo Zamora.,61,67
1:07,254,JoJo Zamora Turnover.,61,67
0:57,254,Foul on Devon Daniels.,61,67
0:57,2752,Trevon Bluiett made Free Throw.,61,68
0:57,2752,Trevon Bluiett made Free Throw.,61,69
0:49,254,Tyler Rawson missed Three Point Jumper.,61,69
0:49,254,Kyle Kuzma Offensive Rebound.,61,69
0:43,254,Kyle Kuzma made Layup.,63,69
0:42,254,Utah  Timeout,63,69
0:28,254,Foul on JoJo Zamora.,63,69
0:28,2752,Edmond Sumner made Free Throw.,63,70
0:28,2752,Edmond Sumner made Free Throw.,63,71
0:28,2752,Xavier  Timeout,63,71
0:24,254,Lorenzo Bonam made Layup.,65,71
0:23,254,Utah  Timeout,65,71
0:21,254,Foul on Parker Van Dyke.,65,71
0:21,2752,Trevon Bluiett made Free Throw.,65,72
0:21,2752,Trevon Bluiett made Free Throw.,65,73
0:15,254,Lorenzo Bonam made Jumper.,67,73
0:14,254,Utah  Timeout,67,73
0:13,254,Foul on Devon Daniels.,67,73
0:13,2752,Edmond Sumner made Free Throw.,67,74
0:13,2752,Edmond Sumner made Free Throw.,67,75
0:07,254,Lorenzo Bonam made Layup.,69,75
0:06,254,Foul on Parker Van Dyke.,69,75
0:06,2752,Trevon Bluiett made Free Throw.,69,76
0:06,2752,Trevon Bluiett made Free Throw.,69,77
0:00,2752,End of Game,69,77
