Elon,2459,Northern Illinois,2210
4:06,2210,Steven Santa Ana made Three Point Jumper. Assisted by Luke Eddy.,65,63
3:50,2459,Jaylen Key missed Layup.,65,63
3:50,2459,Marin Maric Offensive Rebound.,65,63
3:47,2210,Foul on Brian Dawkins.,65,63
3:47,2459,Marin Maric made Free Throw.,65,64
3:47,2459,Marin Maric made Free Throw.,65,65
3:38,2210,Christian Hairston made Layup.,67,65
3:21,2459,Jaylen Key Turnover.,67,65
2:58,2210,Tyler Seibring missed Three Point Jumper.,67,65
2:58,2210,Dainan Swoope Offensive Rebound.,67,65
2:31,2210,Dainan Swoope missed Three Point Jumper.,67,65
2:31,2459,Dontel Highsmith Defensive Rebound.,67,65
2:24,2459,Aaric Armstead missed Jumper.,67,65
2:24,2210,Dainan Swoope Defensive Rebound.,67,65
2:04,2210,Luke Eddy missed Jumper.,67,65
2:04,2459,Marin Maric Defensive Rebound.,67,65
1:36,2459,Laytwan Porter made Three Point Jumper. Assisted by Marin Maric.,67,68
1:10,2210,Luke Eddy made Three Point Jumper. Assisted by Tyler Seibring.,70,68
1:08,2210,Elon  Timeout,70,68
0:58,2210,Foul on Christian Hairston.,70,68
0:58,2459,Aaric Armstead made Free Throw.,70,69
0:58,2459,Aaric Armstead made Free Throw.,70,70
0:38,2210,Luke Eddy missed Layup.,70,70
0:38,2459,Marin Maric Defensive Rebound.,70,70
0:23,2459,Laytwan Porter Turnover.,70,70
0:23,2459,Foul on Laytwan Porter.,70,70
0:23,2210,Elon  Timeout,70,70
0:00,2210,Steven Santa Ana missed Three Point Jumper.,70,70
0:00,2210,Elon Deadball Team Rebound.,70,70
0:00,2459,End of 1st overtime,70,70
4:58,2210,Tyler Seibring made Jumper.,72,70
4:34,2459,Marin Maric missed Free Throw.,72,70
4:34,2459,Northern Illinois Deadball Team Rebound.,72,70
4:34,2459,Marin Maric missed Free Throw.,72,70
4:34,2210,Steven Santa Ana Defensive Rebound.,72,70
4:24,2210,Sheldon Eberhardt made Layup. Assisted by Steven Santa Ana.,74,70
4:24,2459,Foul on Laytwan Porter.,74,70
4:24,2210,Sheldon Eberhardt missed Free Throw.,74,70
4:24,2459,Aaric Armstead Defensive Rebound.,74,70
4:16,2459,Jaylen Key missed Jumper.,74,70
4:16,2210,Steven Santa Ana Defensive Rebound.,74,70
3:48,2210,Tyler Seibring missed Jumper.,74,70
3:48,2459,Aaric Armstead Defensive Rebound.,74,70
3:33,2459,Marin Maric made Layup. Assisted by Jaylen Key.,74,72
3:02,2459,Foul on Marin Maric.,74,72
3:02,2210,Steven Santa Ana made Free Throw.,75,72
3:02,2210,Steven Santa Ana made Free Throw.,76,72
2:54,2459,Jaylen Key missed Three Point Jumper.,76,72
2:54,2210,Steven Santa Ana Defensive Rebound.,76,72
2:28,2210,Tyler Seibring made Three Point Jumper. Assisted by Sheldon Eberhardt.,79,72
2:18,2459,Northern Illinois  Timeout,79,72
2:07,2459,Marin Maric made Layup.,79,74
1:35,2210,Brian Dawkins made Jumper.,81,74
1:23,2459,Laytwan Porter missed Three Point Jumper.,81,74
1:23,2210,Dainan Swoope Defensive Rebound.,81,74
1:08,2459,Foul on Aaric Armstead.,81,74
1:08,2210,Sheldon Eberhardt missed Free Throw.,81,74
1:08,2459,Aaric Armstead Defensive Rebound.,81,74
1:00,2459,Laytwan Porter missed Layup.,81,74
1:00,2210,Steven Santa Ana Defensive Rebound.,81,74
0:49,2210,Elon  Timeout,81,74
0:49,2459,Foul on Laytwan Porter.,81,74
0:49,2210,Dainan Swoope made Free Throw.,82,74
0:49,2210,Dainan Swoope missed Free Throw.,82,74
0:49,2459,Aaric Armstead Defensive Rebound.,82,74
0:41,2459,Aaric Armstead missed Three Point Jumper.,82,74
0:41,2459,Jaylen Key Offensive Rebound.,82,74
0:38,2459,Jaylen Key made Two Point Tip Shot.,82,76
0:38,2459,Northern Illinois  Timeout,82,76
0:37,2459,Foul on Jaylen Key.,82,76
0:37,2210,Steven Santa Ana made Free Throw.,83,76
0:37,2210,Steven Santa Ana missed Free Throw.,83,76
0:37,2459,Aaric Armstead Defensive Rebound.,83,76
0:31,2210,Foul on Steven Santa Ana.,83,76
0:31,2459,Aaric Armstead made Free Throw.,83,77
0:31,2459,Aaric Armstead made Free Throw.,83,78
0:30,2210,Steven Santa Ana Turnover.,83,78
0:30,2459,Marin Maric Turnover.,83,78
0:30,2210,Sheldon Eberhardt Steal.,83,78
0:21,2459,Foul on Jaylen Key.,83,78
0:21,2210,Luke Eddy missed Free Throw.,83,78
0:21,2210,Elon Deadball Team Rebound.,83,78
0:21,2210,Luke Eddy made Free Throw.,84,78
0:15,2459,Aaric Armstead missed Three Point Jumper.,84,78
0:15,2210,Luke Eddy Defensive Rebound.,84,78
0:12,2459,Foul on Laytwan Porter.,84,78
0:12,2210,Luke Eddy missed Free Throw.,84,78
0:12,2210,Elon Deadball Team Rebound.,84,78
0:12,2210,Luke Eddy made Free Throw.,85,78
0:06,2459,Aaric Armstead missed Three Point Jumper.,85,78
0:06,2459,Austin Pauga Offensive Rebound.,85,78
0:02,2459,Austin Pauga made Jumper.,85,80
0:00,2459,End of Game,85,80
