Iona,2692,Weber State,314
6:45,314,Deyshonee Much made Three Point Jumper. Assisted by Jon Severe.,35,17
6:31,314,Foul on Schadrac Casimir.,35,17
6:31,2692,Jeremy Senglin made Free Throw.,35,18
6:31,2692,Jeremy Senglin made Free Throw.,35,19
6:05,314,E.J. Crawford missed Jumper.,35,19
6:05,2692,Cody John Defensive Rebound.,35,19
5:57,2692,Cody John Turnover.,35,19
5:56,314,E.J. Crawford Steal.,35,19
5:49,314,Jon Severe missed Layup.,35,19
5:49,2692,Ryan Richardson Block.,35,19
5:47,2692,Ryan Richardson Defensive Rebound.,35,19
5:39,2692,Cody John made Layup. Assisted by Ryan Richardson.,35,21
5:23,314,Schadrac Casimir missed Jumper.,35,21
5:23,2692,Jeremy Senglin Defensive Rebound.,35,21
5:17,2692,Jeremy Senglin Turnover.,35,21
5:16,314,Schadrac Casimir Steal.,35,21
4:56,314,Sam Cassell Jr. missed Jumper.,35,21
4:56,2692,Weber State Defensive Rebound.,35,21
4:42,2692,Ryan Richardson Turnover.,35,21
4:14,314,E.J. Crawford missed Layup.,35,21
4:14,2692,Richaud Gittens Defensive Rebound.,35,21
3:59,2692,Richaud Gittens missed Three Point Jumper.,35,21
3:59,314,Sam Cassell Jr. Defensive Rebound.,35,21
3:27,314,Tyrell Williams Turnover.,35,21
3:26,2692,Kyndahl Hill Steal.,35,21
3:22,2692,Cody John missed Jumper.,35,21
3:22,314,Tyrell Williams Defensive Rebound.,35,21
3:17,314,Sam Cassell Jr. made Layup.,37,21
3:17,2692,Foul on Ryan Richardson.,37,21
3:17,2692,Official TV Timeout,37,21
3:17,314,Sam Cassell Jr. missed Free Throw.,37,21
3:17,2692,Richaud Gittens Defensive Rebound.,37,21
2:51,2692,Kyndahl Hill missed Jumper.,37,21
2:51,2692,Weber State Offensive Rebound.,37,21
2:33,314,Foul on DeAndre Turner.,37,21
2:33,2692,Dusty Baker made Free Throw.,37,22
2:33,2692,Dusty Baker made Free Throw.,37,23
2:15,314,DeAndre Turner made Layup. Assisted by Jon Severe.,39,23
1:58,314,Foul on Tyrell Williams.,39,23
1:58,2692,Cody John made Free Throw.,39,24
1:58,2692,Cody John made Free Throw.,39,25
1:28,314,DeAndre Turner Turnover.,39,25
1:09,2692,Kyndahl Hill made Jumper. Assisted by Richaud Gittens.,39,27
0:54,314,Tyrell Williams missed Jumper.,39,27
0:54,2692,Cody John Defensive Rebound.,39,27
0:39,2692,Cody John missed Jumper.,39,27
0:39,314,Jon Severe Defensive Rebound.,39,27
0:32,314,Jon Severe Turnover.,39,27
0:17,2692,Foul on Jeremy Senglin.,39,27
0:17,2692,Jeremy Senglin Turnover.,39,27
0:17,314,Iona  Timeout,39,27
0:05,314,Sam Cassell Jr. missed Three Point Jumper.,39,27
0:05,2692,Richaud Gittens Defensive Rebound.,39,27
0:00,2692,End of 1st half,39,27
19:35,314,Sam Cassell Jr. missed Three Point Jumper.,39,27
19:35,2692,Zach Braxton Defensive Rebound.,39,27
19:26,2692,Cody John missed Layup.,39,27
19:26,314,Jordan Washington Defensive Rebound.,39,27
19:13,314,E.J. Crawford missed Jumper.,39,27
19:13,314,Sam Cassell Jr. Offensive Rebound.,39,27
18:56,314,Rickey McGill made Jumper.,41,27
18:42,314,Foul on E.J. Crawford.,41,27
18:42,2692,Jeremy Senglin missed Free Throw.,41,27
18:42,2692,Weber State Deadball Team Rebound.,41,27
18:42,2692,Jeremy Senglin made Free Throw.,41,28
18:23,314,Jordan Washington missed Layup.,41,28
18:23,2692,Kyndahl Hill Defensive Rebound.,41,28
18:15,2692,Cody John missed Layup.,41,28
18:15,314,Sam Cassell Jr. Defensive Rebound.,41,28
18:09,314,Jordan Washington made Dunk. Assisted by Jon Severe.,43,28
18:01,2692,Foul on Jeremy Senglin.,43,28
18:01,2692,Jeremy Senglin Turnover.,43,28
17:40,314,E.J. Crawford made Three Point Jumper. Assisted by Rickey McGill.,46,28
17:26,314,Foul on Jordan Washington.,46,28
17:17,2692,Jeremy Senglin missed Three Point Jumper.,46,28
17:17,314,Rickey McGill Defensive Rebound.,46,28
17:07,314,Rickey McGill missed Jumper.,46,28
17:07,314,Taylor Bessick Offensive Rebound.,46,28
17:01,314,Sam Cassell Jr. missed Three Point Jumper.,46,28
17:01,2692,Cody John Defensive Rebound.,46,28
16:47,2692,Kyndahl Hill missed Layup.,46,28
16:47,314,Sam Cassell Jr. Defensive Rebound.,46,28
16:42,314,Sam Cassell Jr. made Layup.,48,28
16:13,314,Foul on Taylor Bessick.,48,28
16:13,2692,Zach Braxton missed Free Throw.,48,28
16:13,2692,Weber State Deadball Team Rebound.,48,28
16:13,2692,Zach Braxton missed Free Throw.,48,28
16:13,314,Taylor Bessick Defensive Rebound.,48,28
15:45,314,Rickey McGill made Jumper.,50,28
15:25,2692,Cody John made Jumper. Assisted by Kyndahl Hill.,50,30
15:09,314,Jon Severe missed Three Point Jumper.,50,30
15:09,2692,Kyndahl Hill Defensive Rebound.,50,30
14:59,2692,McKay Cannon made Three Point Jumper. Assisted by Cody John.,50,33
14:41,314,E.J. Crawford made Three Point Jumper. Assisted by Jon Severe.,53,33
14:20,2692,Kyndahl Hill made Jumper. Assisted by Zach Braxton.,53,35
14:13,2692,Official TV Timeout,53,35
14:08,314,Sam Cassell Jr. missed Three Point Jumper.,53,35
14:08,2692,Zach Braxton Defensive Rebound.,53,35
13:49,2692,Zach Braxton made Layup. Assisted by Cody John.,53,37
13:34,314,Taylor Bessick missed Jumper.,53,37
13:34,314,Schadrac Casimir Offensive Rebound.,53,37
13:01,314,Rickey McGill missed Three Point Jumper.,53,37
13:01,314,E.J. Crawford Offensive Rebound.,53,37
12:56,314,E.J. Crawford made Layup.,55,37
12:37,2692,McKay Cannon missed Three Point Jumper.,55,37
12:37,2692,Kyndahl Hill Offensive Rebound.,55,37
12:32,2692,Kyndahl Hill made Dunk.,55,39
12:06,314,Sam Cassell Jr. made Jumper.,57,39
11:47,2692,Kyndahl Hill missed Jumper.,57,39
11:47,2692,Zach Braxton Offensive Rebound.,57,39
11:43,2692,Zach Braxton made Layup.,57,41
11:19,314,Sam Cassell Jr. made Jumper.,59,41
11:15,2692,Official TV Timeout,59,41
10:55,2692,Cody John missed Three Point Jumper.,59,41
10:55,2692,McKay Cannon Offensive Rebound.,59,41
10:49,314,Foul on E.J. Crawford.,59,41
10:47,2692,Richaud Gittens missed Jumper.,59,41
10:47,314,Schadrac Casimir Defensive Rebound.,59,41
10:37,314,Rickey McGill missed Jumper.,59,41
10:37,2692,Weber State Defensive Rebound.,59,41
10:19,2692,McKay Cannon missed Three Point Jumper.,59,41
10:19,2692,Zach Braxton Offensive Rebound.,59,41
10:10,2692,Richaud Gittens missed Jumper.,59,41
10:10,314,Rickey McGill Defensive Rebound.,59,41
9:41,314,Jon Severe made Three Point Jumper. Assisted by Rickey McGill.,62,41
9:23,2692,Richaud Gittens Turnover.,62,41
9:22,314,Taylor Bessick Steal.,62,41
8:55,314,Schadrac Casimir missed Three Point Jumper.,62,41
8:55,2692,McKay Cannon Defensive Rebound.,62,41
8:40,2692,Zach Braxton Turnover.,62,41
8:20,314,Sam Cassell Jr. missed Three Point Jumper.,62,41
8:20,2692,Dusty Baker Defensive Rebound.,62,41
8:11,2692,Dusty Baker made Three Point Jumper. Assisted by McKay Cannon.,62,44
8:06,314,Schadrac Casimir missed Three Point Jumper.,62,44
8:06,2692,Dusty Baker Defensive Rebound.,62,44
7:20,2692,Jerrick Harding made Layup. Assisted by Dusty Baker.,62,46
6:49,314,Foul on Jordan Washington.,62,46
6:49,314,Jordan Washington Turnover.,62,46
6:49,2692,Official TV Timeout,62,46
6:28,314,Foul on Jon Severe.,62,46
6:28,2692,Jerrick Harding made Free Throw.,62,47
6:28,2692,Jerrick Harding made Free Throw.,62,48
6:11,314,DeAndre Turner missed Jumper.,62,48
6:11,2692,Richaud Gittens Defensive Rebound.,62,48
5:55,2692,Richaud Gittens missed Layup.,62,48
5:55,314,Taylor Bessick Block.,62,48
5:52,314,Rickey McGill Defensive Rebound.,62,48
5:49,314,Rickey McGill made Layup.,64,48
5:21,2692,Zach Braxton Turnover.,64,48
5:20,314,Jon Severe Steal.,64,48
5:05,314,Sam Cassell Jr. missed Jumper.,64,48
5:05,314,Taylor Bessick Offensive Rebound.,64,48
5:02,314,Taylor Bessick missed Two Point Tip Shot.,64,48
5:02,314,Taylor Bessick Offensive Rebound.,64,48
5:02,2692,Foul on Richaud Gittens.,64,48
4:48,2692,Foul on Jeremy Senglin.,64,48
4:38,314,Foul on Taylor Bessick.,64,48
4:38,314,Taylor Bessick Turnover.,64,48
4:19,2692,Jerrick Harding missed Three Point Jumper.,64,48
4:19,314,Taylor Bessick Defensive Rebound.,64,48
3:48,314,Jon Severe made Three Point Jumper.,67,48
3:31,2692,Dusty Baker missed Jumper.,67,48
3:31,314,Taylor Bessick Defensive Rebound.,67,48
3:01,314,Jon Severe made Three Point Jumper.,70,48
2:47,314,Foul on Taylor Bessick.,70,48
2:47,2692,Official TV Timeout,70,48
2:47,2692,Jerrick Harding made Free Throw.,70,49
2:47,2692,Jerrick Harding made Free Throw.,70,50
2:11,314,Taylor Bessick missed Jumper.,70,50
2:11,2692,McKay Cannon Defensive Rebound.,70,50
2:02,314,Foul on Jon Severe.,70,50
2:02,2692,Dusty Baker made Free Throw.,70,51
2:02,2692,Dusty Baker missed Free Throw.,70,51
2:02,314,Rickey McGill Defensive Rebound.,70,51
1:37,2692,Foul on Jerrick Harding.,70,51
1:37,314,Jon Severe made Free Throw.,71,51
1:37,314,Jon Severe made Free Throw.,72,51
1:37,314,Jon Severe made Free Throw.,73,51
1:30,314,Foul on E.J. Crawford.,73,51
1:30,2692,Dusty Baker made Free Throw.,73,52
1:30,2692,Dusty Baker missed Free Throw.,73,52
1:30,314,Taylor Bessick Defensive Rebound.,73,52
1:03,314,DeAndre Turner made Three Point Jumper.,76,52
0:45,314,Foul on Luka Milosavljevic.,76,52
0:45,2692,Jordan Dallas made Free Throw.,76,53
0:45,2692,Jordan Dallas missed Free Throw.,76,53
0:45,314,Tyrell Williams Defensive Rebound.,76,53
0:21,314,Tyrell Williams missed Jumper.,76,53
0:21,2692,Jordan Dallas Block.,76,53
0:20,2692,Ryan Richardson Defensive Rebound.,76,53
0:17,314,Foul on Jan Svandrlik.,76,53
0:17,2692,Jerrick Harding made Free Throw.,76,54
0:17,2692,Jerrick Harding missed Free Throw.,76,54
0:17,314,Taylor Bessick Defensive Rebound.,76,54
0:00,2692,End of Game,76,54
