Grambling,292,UT Rio Grande Valley,2755
10:48,2755,Remond Brown made Three Point Jumper. Assisted by Marcel Thompson.,53,66
10:41,292,Mike Hoffman made Layup. Assisted by Lew Stallworth.,53,68
10:24,2755,Remond Brown Turnover.,53,68
10:23,292,Antonio Green Steal.,53,68
10:19,292,Antonio Green made Three Point Jumper. Assisted by Lew Stallworth.,53,71
10:02,2755,Deonte Hearns missed Layup.,53,71
10:02,292,Mike Hoffman Defensive Rebound.,53,71
9:41,292,Nick Dixon missed Three Point Jumper.,53,71
9:41,2755,Nigel Ribeiro Defensive Rebound.,53,71
9:30,2755,Remond Brown missed Three Point Jumper.,53,71
9:30,2755,Remond Brown Offensive Rebound.,53,71
9:27,2755,Remond Brown made Layup.,55,71
9:09,292,Lew Stallworth missed Three Point Jumper.,55,71
9:09,2755,Deonte Hearns Defensive Rebound.,55,71
8:59,2755,Remond Brown missed Three Point Jumper.,55,71
8:59,2755,Averyl Ugba Offensive Rebound.,55,71
8:53,292,Foul on Mike Hoffman.,55,71
8:43,2755,Averyl Ugba made Free Throw.,56,71
8:43,2755,Averyl Ugba made Free Throw.,57,71
8:43,2755,Foul on Nigel Ribeiro.,57,71
8:43,292,Lew Stallworth missed Three Point Jumper.,57,71
8:43,2755,Averyl Ugba Defensive Rebound.,57,71
8:43,2755,Ervin Mitchell made Layup.,59,71
8:43,2755,Foul on Averyl Ugba.,59,71
7:40,292,Lew Stallworth made Three Point Jumper. Assisted by Gage Loy.,59,74
7:26,292,Foul on Moe McDonald.,59,74
7:24,2755,Ervin Mitchell made Free Throw.,60,74
7:24,2755,Ervin Mitchell made Free Throw.,61,74
7:18,292,Walter Jones Turnover.,61,74
6:58,2755,Remond Brown missed Layup.,61,74
6:58,2755,Averyl Ugba Offensive Rebound.,61,74
6:55,2755,Averyl Ugba made Layup.,63,74
6:32,292,Antonio Green missed Three Point Jumper.,63,74
6:32,2755,Ervin Mitchell Defensive Rebound.,63,74
6:24,2755,Ervin Mitchell Turnover.,63,74
6:09,292,Nick Dixon made Layup.,63,76
6:05,2755,Nigel Ribeiro missed Three Point Jumper.,63,76
6:05,292,UT Rio Grande Valley Defensive Rebound.,63,76
6:05,2755,Foul on Deonte Hearns.,63,76
5:36,292,Mike Hoffman made Three Point Jumper. Assisted by Antonio Green.,63,79
5:18,292,Foul on Xavier McDaniel Jr..,63,79
5:18,2755,Ervin Mitchell made Free Throw.,64,79
5:18,2755,Ervin Mitchell missed Free Throw.,64,79
5:18,292,Antonio Green Defensive Rebound.,64,79
5:18,292,Nick Dixon missed Layup.,64,79
5:18,292,Mike Hoffman Offensive Rebound.,64,79
5:18,292,Mike Hoffman made Layup. Assisted by Nick Dixon.,64,81
5:18,2755,Nigel Ribeiro made Layup.,66,81
5:18,292,Mike Hoffman made Jumper. Assisted by Nick Dixon.,66,83
5:00,2755,Remond Brown missed Jumper.,66,83
5:00,2755,Grambling Offensive Rebound.,66,83
4:54,292,Foul on Moe McDonald.,66,83
4:47,2755,Averyl Ugba made Free Throw.,67,83
4:29,2755,Averyl Ugba made Free Throw.,68,83
3:56,292,Moe McDonald Turnover.,68,83
3:54,2755,Remond Brown Steal.,68,83
3:52,2755,Remond Brown made Layup.,70,83
3:44,2755,Foul on Remond Brown.,70,83
3:28,2755,Foul on Xairius Larry.,70,83
3:28,292,Mike Hoffman made Free Throw.,70,84
3:28,292,Mike Hoffman made Free Throw.,70,85
3:10,2755,Remond Brown missed Layup.,70,85
3:10,2755,Averyl Ugba Offensive Rebound.,70,85
3:07,2755,Averyl Ugba made Layup.,72,85
3:03,292,Foul on Xavier McDaniel Jr..,72,85
3:02,2755,Averyl Ugba missed Free Throw.,72,85
3:02,292,Xavier McDaniel Jr. Defensive Rebound.,72,85
2:41,292,Mike Hoffman missed Three Point Jumper.,72,85
2:41,2755,Ervin Mitchell Defensive Rebound.,72,85
2:41,2755,Ervin Mitchell made Layup.,74,85
2:41,292,Foul on Lew Stallworth.,74,85
2:41,2755,Ervin Mitchell made Free Throw.,75,85
2:41,292,Antonio Green Turnover.,75,85
2:33,2755,Ervin Mitchell made Layup. Assisted by Remond Brown.,77,85
2:23,292,Lew Stallworth Turnover.,77,85
2:21,2755,Chase Cormier Steal.,77,85
2:17,2755,Chase Cormier made Layup.,79,85
2:07,292,Antonio Green Turnover.,79,85
2:07,2755,Remond Brown Steal.,79,85
2:07,2755,Ervin Mitchell missed Three Point Jumper.,79,85
2:07,2755,Averyl Ugba Offensive Rebound.,79,85
2:07,2755,Averyl Ugba made Layup.,81,85
2:07,2755,Foul on Ervin Mitchell.,81,85
2:03,292,Nick Dixon missed Free Throw.,81,85
2:03,2755,Averyl Ugba Defensive Rebound.,81,85
1:46,2755,Nigel Ribeiro Turnover.,81,85
1:42,292,Nick Dixon Steal.,81,85
1:34,2755,Foul on Ervin Mitchell.,81,85
1:34,292,Nick Dixon made Free Throw.,81,86
1:34,292,Nick Dixon made Free Throw.,81,87
1:15,2755,Chase Cormier missed Three Point Jumper.,81,87
1:15,292,Nick Dixon Defensive Rebound.,81,87
0:50,292,Xavier McDaniel Jr. missed Layup.,81,87
0:50,292,Mike Hoffman Offensive Rebound.,81,87
0:46,2755,Foul on Chase Cormier.,81,87
0:44,292,Mike Hoffman made Free Throw.,81,88
0:44,292,Mike Hoffman missed Free Throw.,81,88
0:44,2755,Averyl Ugba Defensive Rebound.,81,88
0:44,2755,Marcel Thompson made Three Point Jumper. Assisted by Ervin Mitchell.,84,88
0:37,292,Antonio Green Turnover.,84,88
0:14,2755,Marcel Thompson missed Three Point Jumper.,84,88
0:14,2755,Ervin Mitchell Offensive Rebound.,84,88
0:14,292,Foul on Mike Hoffman.,84,88
0:14,2755,Ervin Mitchell made Free Throw.,85,88
0:14,2755,Ervin Mitchell made Free Throw.,86,88
0:00,292,Lew Stallworth Turnover.,86,88
0:00,2755,Remond Brown Steal.,86,88
0:00,2755,Remond Brown made Layup.,88,88
0:00,292,End of 2nd half,86,88
4:52,292,Lew Stallworth missed Layup.,88,88
4:52,2755,Grambling Defensive Rebound.,88,88
4:24,2755,Carlton Lowe missed Jumper.,88,88
4:24,292,UT Rio Grande Valley Defensive Rebound.,88,88
4:19,2755,Averyl Ugba Steal.,88,88
4:19,292,Nick Dixon Turnover.,88,88
4:19,2755,Ervin Mitchell made Layup. Assisted by Averyl Ugba.,90,88
4:13,292,Nick Dixon missed Layup.,90,88
4:13,2755,Averyl Ugba Block.,90,88
4:13,2755,Averyl Ugba Defensive Rebound.,90,88
3:52,2755,Remond Brown Turnover.,90,88
3:34,292,Nick Dixon made Layup.,90,90
3:18,2755,Foul on Ervin Mitchell.,90,90
3:05,2755,Foul on Averyl Ugba.,90,90
3:05,292,Xavier McDaniel Jr. made Free Throw.,90,91
3:05,292,Xavier McDaniel Jr. made Free Throw.,90,92
3:05,2755,Remond Brown Turnover.,90,92
3:05,292,Lew Stallworth Steal.,90,92
3:05,292,Nick Dixon made Layup. Assisted by Lew Stallworth.,90,94
2:30,2755,Remond Brown missed Layup.,90,94
2:30,2755,Ervin Mitchell Offensive Rebound.,90,94
2:27,2755,Ervin Mitchell missed Layup.,90,94
2:27,292,Gage Loy Defensive Rebound.,90,94
2:08,2755,Foul on Chase Cormier.,90,94
2:08,292,Lew Stallworth made Free Throw.,90,95
2:08,292,Lew Stallworth made Free Throw.,90,96
1:56,2755,Marcel Thompson Turnover.,90,96
1:26,292,Walter Jones Turnover.,90,96
1:26,2755,Xairius Larry Steal.,90,96
1:26,2755,Xairius Larry missed Layup.,90,96
1:26,2755,Averyl Ugba Offensive Rebound.,90,96
1:26,2755,Averyl Ugba made Dunk.,92,96
1:26,292,Lew Stallworth made Layup.,92,98
0:41,292,Foul on Walter Jones.,92,98
0:41,2755,Remond Brown made Free Throw.,93,98
0:41,2755,Remond Brown missed Free Throw.,93,98
0:41,292,Xavier McDaniel Jr. Defensive Rebound.,93,98
0:41,2755,Foul on Chase Cormier.,93,98
0:41,292,Xavier McDaniel Jr. made Free Throw.,93,99
0:41,292,Xavier McDaniel Jr. missed Free Throw.,93,99
0:41,2755,Averyl Ugba Defensive Rebound.,93,99
0:39,2755,Remond Brown missed Three Point Jumper.,93,99
0:39,2755,Marcel Thompson Offensive Rebound.,93,99
0:33,2755,Marcel Thompson Turnover.,93,99
0:32,292,Gage Loy Steal.,93,99
0:25,292,Xavier McDaniel Jr. made Layup. Assisted by Gage Loy.,93,101
0:15,2755,Carlton Lowe missed Jumper.,93,101
0:15,292,UT Rio Grande Valley Defensive Rebound.,93,101
0:00,292,End of 1st overtime,93,101
