Boston College,2306,Kansas State,103
2:11,2306,Barry Brown made Free Throw.,19,27
2:11,2306,Barry Brown missed Free Throw.,19,27
2:11,103,A.J. Turner Defensive Rebound.,19,27
1:54,103,Jerome Robinson made Three Point Jumper. Assisted by A.J. Turner.,22,27
1:28,2306,Dean Wade made Jumper.,22,29
1:09,103,Ky Bowman Turnover.,22,29
0:55,2306,Xavier Sneed missed Three Point Jumper.,22,29
0:55,103,Garland Owens Defensive Rebound.,22,29
0:48,103,Ky Bowman missed Jumper.,22,29
0:48,103,Garland Owens Offensive Rebound.,22,29
0:45,103,Garland Owens missed Two Point Tip Shot.,22,29
0:45,2306,Xavier Sneed Defensive Rebound.,22,29
0:39,103,Foul on Garland Owens.,22,29
0:39,2306,Xavier Sneed made Free Throw.,22,30
0:39,2306,Xavier Sneed made Free Throw.,22,31
0:15,103,Jordan Chatman missed Jumper.,22,31
0:15,2306,Kansas St Defensive Rebound.,22,31
0:05,2306,Foul on Isaiah Maurice.,22,31
0:05,2306,Isaiah Maurice Turnover.,22,31
0:00,103,Ky Bowman missed Jumper.,22,31
0:00,2306,Dean Wade Block.,22,31
0:00,2306,Kansas St Defensive Rebound.,22,31
0:00,2306,End of 1st half,22,31
19:50,103,Connar Tava Turnover.,22,31
19:49,2306,Barry Brown Steal.,22,31
19:34,2306,Kamau Stokes missed Three Point Jumper.,22,31
19:34,103,Boston College Defensive Rebound.,22,31
19:10,2306,Foul on Barry Brown.,22,31
19:01,103,Jerome Robinson made Three Point Jumper.,25,31
18:43,2306,Wesley Iwundu made Layup. Assisted by D.J. Johnson.,25,33
18:22,103,Ky Bowman missed Three Point Jumper.,25,33
18:22,103,Mo Jeffers Offensive Rebound.,25,33
18:18,103,Mo Jeffers missed Layup.,25,33
18:18,2306,Barry Brown Block.,25,33
18:16,103,Mo Jeffers Offensive Rebound.,25,33
18:15,103,Mo Jeffers missed Layup.,25,33
18:15,2306,Kansas St Defensive Rebound.,25,33
18:13,103,Foul on Mo Jeffers.,25,33
17:55,2306,Wesley Iwundu Turnover.,25,33
17:54,103,Jerome Robinson Steal.,25,33
17:48,103,Connar Tava made Layup. Assisted by A.J. Turner.,27,33
17:34,2306,Wesley Iwundu missed Three Point Jumper.,27,33
17:34,2306,Kansas St Offensive Rebound.,27,33
17:31,103,Foul on Mo Jeffers.,27,33
17:27,2306,Kamau Stokes made Three Point Jumper. Assisted by Wesley Iwundu.,27,36
17:09,2306,Foul on D.J. Johnson.,27,36
17:08,103,Ky Bowman missed Three Point Jumper.,27,36
17:08,2306,Wesley Iwundu Defensive Rebound.,27,36
16:59,2306,Isaiah Maurice missed Three Point Jumper.,27,36
16:59,103,Jerome Robinson Defensive Rebound.,27,36
16:48,103,Jerome Robinson missed Jumper.,27,36
16:48,2306,Wesley Iwundu Defensive Rebound.,27,36
16:25,2306,Dean Wade Turnover.,27,36
16:13,2306,Foul on Kamau Stokes.,27,36
16:13,103,Foul on Johncarlos Reyes.,27,36
16:13,103,Johncarlos Reyes Turnover.,27,36
15:59,2306,Wesley Iwundu missed Jumper.,27,36
15:59,2306,Isaiah Maurice Offensive Rebound.,27,36
15:55,2306,Isaiah Maurice missed Two Point Tip Shot.,27,36
15:55,103,Johncarlos Reyes Defensive Rebound.,27,36
15:49,103,Ty Graves made Layup.,29,36
15:36,2306,Wesley Iwundu missed Layup.,29,36
15:36,103,Johncarlos Reyes Block.,29,36
15:34,103,Boston College Defensive Rebound.,29,36
15:34,2306,Foul on Isaiah Maurice.,29,36
15:34,2306,Official TV Timeout,29,36
15:16,103,Jerome Robinson missed Jumper.,29,36
15:16,103,Connar Tava Offensive Rebound.,29,36
15:14,103,Connar Tava made Two Point Tip Shot.,31,36
14:45,2306,Kamau Stokes made Three Point Jumper.,31,39
14:30,103,Foul on Johncarlos Reyes.,31,39
14:30,103,Johncarlos Reyes Turnover.,31,39
14:21,2306,Barry Brown made Three Point Jumper. Assisted by Wesley Iwundu.,31,42
14:04,103,Ty Graves missed Three Point Jumper.,31,42
14:04,2306,Xavier Sneed Defensive Rebound.,31,42
13:43,2306,Dean Wade Turnover.,31,42
13:42,103,Jerome Robinson Steal.,31,42
13:31,2306,Foul on Dean Wade.,31,42
13:25,103,Jerome Robinson Turnover.,31,42
13:25,2306,Kamau Stokes Steal.,31,42
13:20,103,Foul on Jordan Chatman.,31,42
13:20,2306,Xavier Sneed made Free Throw.,31,43
13:20,2306,Xavier Sneed made Free Throw.,31,44
12:56,103,A.J. Turner missed Layup.,31,44
12:56,2306,D.J. Johnson Block.,31,44
12:55,2306,Wesley Iwundu Defensive Rebound.,31,44
12:53,2306,Wesley Iwundu Turnover.,31,44
12:53,103,Jordan Chatman made Three Point Jumper. Assisted by Garland Owens.,34,44
12:53,2306,Wesley Iwundu missed Jumper.,34,44
12:53,2306,Wesley Iwundu Offensive Rebound.,34,44
12:29,103,Foul on Garland Owens.,34,44
12:29,2306,Wesley Iwundu missed Free Throw.,34,44
12:29,2306,Kansas St Deadball Team Rebound.,34,44
12:29,2306,Wesley Iwundu missed Free Throw.,34,44
12:29,103,A.J. Turner Defensive Rebound.,34,44
12:10,103,Ty Graves missed Layup.,34,44
12:10,2306,Xavier Sneed Defensive Rebound.,34,44
12:00,103,Foul on Jordan Chatman.,34,44
12:00,2306,Carlbe Ervin II missed Free Throw.,34,44
12:00,103,Mo Jeffers Defensive Rebound.,34,44
11:46,103,Mo Jeffers Turnover.,34,44
11:45,2306,Xavier Sneed Steal.,34,44
11:41,2306,Barry Brown missed Three Point Jumper.,34,44
11:41,103,Boston College Defensive Rebound.,34,44
11:39,2306,Official TV Timeout,34,44
11:39,2306,Technical Foul on Wesley Iwundu.,34,44
11:39,103,Jerome Robinson made Free Throw.,35,44
11:19,2306,Carlbe Ervin II made Three Point Jumper. Assisted by Barry Brown.,35,47
10:59,103,Connar Tava Turnover.,35,47
10:59,2306,Xavier Sneed Steal.,35,47
10:57,2306,Xavier Sneed made Dunk.,35,49
10:35,2306,Foul on Wesley Iwundu.,35,49
10:28,103,Jerome Robinson missed Jumper.,35,49
10:28,2306,Kansas St Defensive Rebound.,35,49
10:26,103,Foul on Mo Jeffers.,35,49
10:26,2306,Kamau Stokes missed Free Throw.,35,49
10:26,103,A.J. Turner Defensive Rebound.,35,49
10:13,2306,Foul on Xavier Sneed.,35,49
10:13,103,Johncarlos Reyes missed Free Throw.,35,49
10:13,2306,Xavier Sneed Defensive Rebound.,35,49
9:45,2306,Xavier Sneed made Three Point Jumper. Assisted by Kamau Stokes.,35,52
9:29,103,Connar Tava made Layup. Assisted by A.J. Turner.,37,52
9:13,2306,Xavier Sneed Turnover.,37,52
9:12,103,A.J. Turner Steal.,37,52
9:08,103,Ky Bowman missed Layup.,37,52
9:08,2306,Xavier Sneed Defensive Rebound.,37,52
8:46,2306,Xavier Sneed missed Three Point Jumper.,37,52
8:46,103,A.J. Turner Defensive Rebound.,37,52
8:35,2306,Foul on Xavier Sneed.,37,52
8:35,103,Connar Tava made Free Throw.,38,52
8:35,103,Connar Tava missed Free Throw.,38,52
8:35,2306,Dean Wade Defensive Rebound.,38,52
8:17,2306,Barry Brown Turnover.,38,52
8:15,103,Connar Tava Steal.,38,52
8:12,2306,Foul on Dean Wade.,38,52
8:12,103,Connar Tava made Free Throw.,39,52
8:12,103,Connar Tava made Free Throw.,40,52
7:55,2306,D.J. Johnson made Layup.,40,54
7:34,103,Johncarlos Reyes made Dunk. Assisted by Connar Tava.,42,54
7:13,2306,Kamau Stokes missed Three Point Jumper.,42,54
7:13,103,Ky Bowman Defensive Rebound.,42,54
7:05,103,Ky Bowman made Layup.,44,54
6:47,2306,D.J. Johnson made Layup. Assisted by Dean Wade.,44,56
6:47,103,Foul on Johncarlos Reyes.,44,56
6:47,2306,Official TV Timeout,44,56
6:47,2306,D.J. Johnson missed Free Throw.,44,56
6:47,103,Johncarlos Reyes Defensive Rebound.,44,56
6:34,103,Ky Bowman missed Layup.,44,56
6:34,2306,D.J. Johnson Block.,44,56
6:33,2306,Dean Wade Defensive Rebound.,44,56
6:15,2306,D.J. Johnson missed Layup.,44,56
6:15,103,Jerome Robinson Defensive Rebound.,44,56
6:04,103,A.J. Turner missed Three Point Jumper.,44,56
6:04,103,Ky Bowman Offensive Rebound.,44,56
5:57,103,Ky Bowman Turnover.,44,56
5:56,2306,Dean Wade Steal.,44,56
5:55,2306,Kansas St  Timeout,44,56
5:26,2306,Wesley Iwundu made Layup. Assisted by Kamau Stokes.,44,58
5:12,2306,Foul on Barry Brown.,44,58
5:12,103,Jerome Robinson made Free Throw.,45,58
5:12,103,Jerome Robinson missed Free Throw.,45,58
5:12,2306,Dean Wade Defensive Rebound.,45,58
4:44,2306,Dean Wade made Three Point Jumper. Assisted by Wesley Iwundu.,45,61
4:11,103,Jerome Robinson missed Three Point Jumper.,45,61
4:11,103,A.J. Turner Offensive Rebound.,45,61
4:06,103,Ky Bowman made Layup.,47,61
4:06,2306,Foul on D.J. Johnson.,47,61
4:06,103,Ky Bowman made Free Throw.,48,61
3:42,2306,Kamau Stokes made Layup.,48,63
3:38,2306,Official TV Timeout,48,63
3:26,2306,Foul on Kamau Stokes.,48,63
3:26,103,Ky Bowman made Free Throw.,49,63
3:26,103,Ky Bowman made Free Throw.,50,63
2:58,2306,Dean Wade made Dunk. Assisted by Barry Brown.,50,65
2:28,103,Jerome Robinson missed Three Point Jumper.,50,65
2:28,2306,Xavier Sneed Defensive Rebound.,50,65
2:04,2306,Xavier Sneed made Three Point Jumper. Assisted by Dean Wade.,50,68
1:48,2306,Foul on Dean Wade.,50,68
1:48,103,Mo Jeffers made Free Throw.,51,68
1:48,103,Mo Jeffers missed Free Throw.,51,68
1:48,2306,Wesley Iwundu Defensive Rebound.,51,68
1:47,103,Foul on Connar Tava.,51,68
1:47,2306,Wesley Iwundu made Free Throw.,51,69
1:47,2306,Wesley Iwundu made Free Throw.,51,70
1:41,103,A.J. Turner missed Jumper.,51,70
1:41,2306,Carlbe Ervin II Defensive Rebound.,51,70
1:14,2306,Wesley Iwundu made Dunk.,51,72
1:13,2306,Technical Foul on Wesley Iwundu.,51,72
1:13,103,Ty Graves made Free Throw.,52,72
1:03,103,Johncarlos Reyes made Dunk. Assisted by Jordan Chatman.,54,72
0:28,2306,Kansas St  Turnover.,54,72
0:19,103,Ty Graves missed Jumper.,54,72
0:19,2306,Brian Patrick Defensive Rebound.,54,72
