CSU Northridge,167,New Mexico,2463
14:57,2463,Rakim Lubin missed Jumper.,10,17
14:57,167,Sam Logwood Block.,10,17
14:57,167,Jordan Hunter Defensive Rebound.,10,17
14:51,167,Elijah Brown Turnover.,10,17
14:51,2463,Aaron Parks Steal.,10,17
14:46,167,Foul on Elijah Brown.,10,17
14:39,2463,Aaron Parks missed Jumper.,10,17
14:39,167,New Mexico Defensive Rebound.,10,17
14:39,2463,Foul on Tavrion Dawson.,10,17
14:36,167,Elijah Brown made Three Point Jumper.,10,20
14:16,2463,Darin Johnson made Three Point Jumper. Assisted by Tavrion Dawson.,13,20
14:10,167,Elijah Brown made Layup.,13,22
13:54,2463,Tavrion Dawson missed Three Point Jumper.,13,22
13:54,2463,Kendall Smith Offensive Rebound.,13,22
13:45,2463,Aaron Parks made Three Point Jumper. Assisted by Kendall Smith.,16,22
13:22,167,Tim Williams missed Jumper.,16,22
13:22,2463,Darin Johnson Defensive Rebound.,16,22
12:52,2463,Darin Johnson made Three Point Jumper. Assisted by Kendall Smith.,19,22
12:17,167,Sam Logwood missed Layup.,19,22
12:17,2463,CSU Northridge Defensive Rebound.,19,22
12:02,2463,Darin Johnson made Three Point Jumper. Assisted by Kendall Smith.,22,22
11:35,167,Jalen Harris made Jumper.,22,24
11:25,2463,Micheal Warren missed Jumper.,22,24
11:25,2463,Dylan Johns Offensive Rebound.,22,24
11:07,2463,Kendall Smith made Layup.,24,24
10:54,167,Foul on Elijah Brown.,24,24
10:54,167,Elijah Brown Turnover.,24,24
10:53,167,Official TV Timeout,24,24
10:47,167,Foul on Connor MacDougall.,24,24
10:34,2463,Tavrion Dawson made Jumper. Assisted by Kendall Smith.,26,24
10:17,167,Joe Furstinger made Dunk. Assisted by Tim Williams.,26,26
9:52,2463,Kendall Smith missed Jumper.,26,26
9:52,167,Damien Jefferson Defensive Rebound.,26,26
9:36,167,Jalen Harris made Jumper.,26,28
9:15,2463,Tavrion Dawson missed Jumper.,26,28
9:15,167,Jalen Harris Defensive Rebound.,26,28
9:07,167,Damien Jefferson missed Jumper.,26,28
9:07,2463,Tavrion Dawson Defensive Rebound.,26,28
8:56,2463,Kendall Smith missed Three Point Jumper.,26,28
8:56,167,Damien Jefferson Defensive Rebound.,26,28
8:43,167,Dane Kuiper missed Jumper.,26,28
8:43,167,Tim Williams Offensive Rebound.,26,28
8:39,2463,Foul on Micheal Warren.,26,28
8:39,167,Tim Williams made Free Throw.,26,29
8:39,167,Tim Williams made Free Throw.,26,30
8:28,2463,Foul on Rakim Lubin.,26,30
8:28,2463,Rakim Lubin Turnover.,26,30
8:10,167,Xavier Adams missed Layup.,26,30
8:10,167,Damien Jefferson Offensive Rebound.,26,30
8:02,167,Damien Jefferson made Jumper.,26,32
7:50,167,Foul on Damien Jefferson.,26,32
7:50,167,Official TV Timeout,26,32
7:50,2463,Aaron Parks made Free Throw.,27,32
7:50,2463,Aaron Parks made Free Throw.,28,32
7:41,167,Jalen Harris Turnover.,28,32
7:25,167,Foul on Xavier Adams.,28,32
7:25,2463,Tavrion Dawson made Free Throw.,29,32
7:25,2463,Tavrion Dawson made Free Throw.,30,32
7:13,2463,Foul on Reggie Theus Jr..,30,32
7:13,167,Xavier Adams made Free Throw.,30,33
7:13,167,Xavier Adams made Free Throw.,30,34
6:58,2463,Reggie Theus Jr. missed Layup.,30,34
6:58,167,Xavier Adams Defensive Rebound.,30,34
6:48,167,Joe Furstinger made Layup. Assisted by Damien Jefferson.,30,36
6:40,167,Foul on Joe Furstinger.,30,36
6:40,2463,Dylan Johns missed Free Throw.,30,36
6:40,167,Damien Jefferson Defensive Rebound.,30,36
6:40,167,Damien Jefferson Turnover.,30,36
6:40,2463,Micheal Warren Steal.,30,36
6:19,2463,Micheal Warren Turnover.,30,36
6:19,167,Aher Uguak Steal.,30,36
6:14,167,Aher Uguak made Layup.,30,38
6:08,2463,Dylan Johns Turnover.,30,38
6:08,167,Jalen Harris Steal.,30,38
5:44,167,Tim Williams made Layup. Assisted by Damien Jefferson.,30,40
5:30,2463,Dylan Johns Turnover.,30,40
5:30,167,Aher Uguak Steal.,30,40
5:20,167,Xavier Adams made Dunk. Assisted by Damien Jefferson.,30,42
5:12,2463,CSU Northridge  Timeout,30,42
5:04,2463,Micheal Warren missed Three Point Jumper.,30,42
5:04,2463,Aaron Parks Offensive Rebound.,30,42
4:58,2463,Aaron Parks made Layup.,32,42
4:36,2463,Foul on Kendall Smith.,32,42
4:36,167,Tim Williams made Free Throw.,32,43
4:36,167,Tim Williams made Free Throw.,32,44
4:16,2463,Foul on Kendall Smith.,32,44
4:16,2463,Kendall Smith Turnover.,32,44
4:00,2463,Foul on Tavrion Dawson.,32,44
4:00,167,Official TV Timeout,32,44
4:00,167,Aher Uguak missed Free Throw.,32,44
4:00,167,New Mexico Deadball Team Rebound.,32,44
4:00,167,Aher Uguak missed Free Throw.,32,44
4:00,2463,Rakim Lubin Defensive Rebound.,32,44
3:39,2463,Rakim Lubin made Layup. Assisted by Kendall Smith.,34,44
3:21,167,Tim Williams missed Jumper.,34,44
3:21,167,Joe Furstinger Offensive Rebound.,34,44
3:17,167,Joe Furstinger made Jumper.,34,46
3:17,2463,Foul on Kendall Smith.,34,46
3:17,2463,Kendall Smith Turnover.,34,46
3:10,167,Tim Williams made Dunk. Assisted by Jordan Hunter.,34,48
2:59,2463,Darin Johnson made Jumper.,36,48
2:36,167,Damien Jefferson missed Three Point Jumper.,36,48
2:36,2463,Darin Johnson Defensive Rebound.,36,48
2:25,2463,Foul on Rakim Lubin.,36,48
2:25,2463,Rakim Lubin Turnover.,36,48
2:17,167,Damien Jefferson Turnover.,36,48
2:17,2463,Tavrion Dawson Steal.,36,48
2:09,2463,Aaron Parks made Jumper.,38,48
1:52,167,Tim Williams made Jumper. Assisted by Jordan Hunter.,38,50
1:38,2463,Aaron Parks missed Jumper.,38,50
1:38,167,Damien Jefferson Defensive Rebound.,38,50
1:24,167,Sam Logwood made Jumper.,38,52
1:05,2463,Jerron Wilbut made Jumper.,40,52
0:53,167,Jordan Hunter missed Jumper.,40,52
0:53,2463,Darin Johnson Defensive Rebound.,40,52
0:27,2463,Jerron Wilbut missed Three Point Jumper.,40,52
0:27,2463,Tavrion Dawson Offensive Rebound.,40,52
0:16,2463,Tavrion Dawson made Jumper.,42,52
0:12,167,Damien Jefferson Turnover.,42,52
0:12,2463,Aaron Parks Steal.,42,52
0:12,2463,Darin Johnson made Layup. Assisted by Aaron Parks.,44,52
0:12,167,Foul on Joe Furstinger.,44,52
0:12,2463,Darin Johnson made Free Throw.,45,52
0:12,167,New Mexico  Timeout,45,52
0:03,2463,Foul on Reggie Theus Jr..,45,52
0:03,167,Jordan Hunter made Free Throw.,45,53
0:03,167,Jordan Hunter made Free Throw.,45,54
0:00,167,End of 1st half,45,54
20:00,2463,Jump Ball won by CSU Northridge,45,54
19:55,2463,Kendall Smith Turnover.,45,54
19:55,167,Obij Aget Steal.,45,54
19:48,167,Tim Williams missed Layup.,45,54
19:48,2463,Kendall Smith Defensive Rebound.,45,54
19:43,167,Foul on Sam Logwood.,45,54
19:43,2463,Kendall Smith made Free Throw.,46,54
19:43,2463,Kendall Smith made Free Throw.,47,54
19:22,167,Obij Aget made Jumper. Assisted by Tim Williams.,47,56
19:09,2463,Rakim Lubin made Layup. Assisted by Aaron Parks.,49,56
18:50,167,Tim Williams made Jumper.,49,58
18:50,2463,Foul on Kendall Smith.,49,58
18:50,167,Tim Williams made Free Throw.,49,59
18:39,2463,Aaron Parks made Jumper.,51,59
18:23,167,Elijah Brown missed Jumper.,51,59
18:23,2463,Darin Johnson Defensive Rebound.,51,59
17:59,2463,Kendall Smith Turnover.,51,59
17:53,167,Obij Aget made Dunk.,51,61
17:43,2463,Rakim Lubin missed Jumper.,51,61
17:43,167,Tim Williams Defensive Rebound.,51,61
17:33,2463,Foul on Dylan Johns.,51,61
17:33,167,Tim Williams made Free Throw.,51,62
17:33,167,Tim Williams made Free Throw.,51,63
17:19,167,Foul on Sam Logwood.,51,63
17:17,2463,Rakim Lubin Turnover.,51,63
17:09,167,Elijah Brown missed Three Point Jumper.,51,63
17:09,2463,Rakim Lubin Defensive Rebound.,51,63
16:58,2463,Tavrion Dawson made Jumper.,53,63
16:30,167,Elijah Brown Turnover.,53,63
16:26,2463,Darin Johnson missed Jumper.,53,63
16:26,2463,Rakim Lubin Offensive Rebound.,53,63
16:21,2463,Rakim Lubin made Jumper.,55,63
16:01,167,Tim Williams missed Jumper.,55,63
16:01,167,Obij Aget Offensive Rebound.,55,63
16:01,167,Obij Aget made Two Point Tip Shot.,55,65
15:23,167,Foul on Tim Williams.,55,65
15:23,167,Official TV Timeout,55,65
15:23,2463,Tavrion Dawson missed Free Throw.,55,65
15:23,2463,CSU Northridge Deadball Team Rebound.,55,65
15:23,2463,Tavrion Dawson made Free Throw.,56,65
15:07,167,Jordan Hunter missed Jumper.,56,65
15:07,2463,Rakim Lubin Defensive Rebound.,56,65
14:54,2463,Tavrion Dawson missed Jumper.,56,65
14:54,167,Tim Williams Block.,56,65
14:54,2463,Rakim Lubin Offensive Rebound.,56,65
14:50,2463,CSU Northridge  Timeout,56,65
14:37,2463,Darin Johnson made Jumper.,58,65
14:21,167,Elijah Brown made Jumper.,58,67
14:05,2463,Kendall Smith Turnover.,58,67
14:05,167,Tim Williams Steal.,58,67
14:00,167,Tim Williams made Layup.,58,69
13:50,2463,Darin Johnson made Three Point Jumper. Assisted by Kendall Smith.,61,69
13:36,167,Elijah Brown missed Three Point Jumper.,61,69
13:36,2463,Darin Johnson Defensive Rebound.,61,69
13:23,2463,Rakim Lubin Turnover.,61,69
13:19,2463,Foul on Aaron Parks.,61,69
13:19,167,Elijah Brown made Free Throw.,61,70
13:19,167,Elijah Brown missed Free Throw.,61,70
13:19,2463,Rakim Lubin Defensive Rebound.,61,70
13:12,2463,Rakim Lubin Turnover.,61,70
12:42,2463,Foul on Mahamadou Kaba-Camara.,61,70
12:42,167,Obij Aget missed Free Throw.,61,70
12:42,167,New Mexico Deadball Team Rebound.,61,70
12:42,167,Obij Aget made Free Throw.,61,71
12:27,2463,Foul on Micheal Warren.,61,71
12:27,2463,Micheal Warren Turnover.,61,71
12:10,167,Tim Williams Turnover.,61,71
12:10,2463,Darin Johnson Steal.,61,71
12:00,2463,Micheal Warren Turnover.,61,71
11:28,167,Foul on Obij Aget.,61,71
11:28,167,Official TV Timeout,61,71
11:23,2463,Tavrion Dawson missed Three Point Jumper.,61,71
11:23,167,Xavier Adams Defensive Rebound.,61,71
10:57,167,Damien Jefferson missed Jumper.,61,71
10:57,2463,Mahamadou Kaba-Camara Block.,61,71
10:57,2463,Aaron Parks Defensive Rebound.,61,71
10:50,2463,Darin Johnson made Three Point Jumper.,64,71
10:37,2463,Foul on Tavrion Dawson.,64,71
10:37,167,Jordan Hunter Turnover.,64,71
10:26,2463,Reggie Theus Jr. made Jumper.,66,71
10:05,167,Damien Jefferson missed Layup.,66,71
10:05,2463,Aaron Parks Defensive Rebound.,66,71
9:51,2463,Micheal Warren made Layup. Assisted by Aaron Parks.,68,71
9:45,167,New Mexico  Timeout,68,71
9:27,167,Connor MacDougall missed Jumper.,68,71
9:27,167,Tim Williams Offensive Rebound.,68,71
9:27,167,Tim Williams made Two Point Tip Shot.,68,73
9:15,167,Foul on Connor MacDougall.,68,73
9:15,2463,Aaron Parks made Free Throw.,69,73
9:15,2463,Aaron Parks missed Free Throw.,69,73
9:15,2463,Aaron Parks Offensive Rebound.,69,73
9:04,2463,Aaron Parks made Layup.,71,73
8:39,167,Connor MacDougall made Jumper.,71,75
8:27,2463,Rakim Lubin made Layup. Assisted by Aaron Parks.,73,75
8:06,2463,Foul on Darin Johnson.,73,75
8:06,167,Sam Logwood made Free Throw.,73,76
8:06,167,Sam Logwood made Free Throw.,73,77
7:52,167,Foul on Connor MacDougall.,73,77
7:52,167,Official TV Timeout,73,77
7:52,2463,Rakim Lubin made Free Throw.,74,77
7:52,2463,Rakim Lubin made Free Throw.,75,77
7:26,167,Sam Logwood made Jumper.,75,79
7:12,2463,Jerron Wilbut missed Jumper.,75,79
7:12,167,Tim Williams Defensive Rebound.,75,79
7:06,167,Foul on Elijah Brown.,75,79
7:06,167,Elijah Brown Turnover.,75,79
6:45,2463,Jerron Wilbut Turnover.,75,79
6:45,167,Elijah Brown Steal.,75,79
6:39,2463,Foul on Reggie Theus Jr..,75,79
6:39,167,Elijah Brown made Free Throw.,75,80
6:39,167,Elijah Brown missed Free Throw.,75,80
6:39,2463,Rakim Lubin Defensive Rebound.,75,80
6:33,2463,Rakim Lubin Turnover.,75,80
6:33,167,Jordan Hunter Steal.,75,80
6:27,167,Sam Logwood made Dunk. Assisted by Elijah Brown.,75,82
6:18,2463,CSU Northridge  Timeout,75,82
6:11,2463,Kendall Smith Turnover.,75,82
5:45,167,Obij Aget made Jumper. Assisted by Elijah Brown.,75,84
5:45,2463,Foul on Rakim Lubin.,75,84
5:45,167,Obij Aget made Free Throw.,75,85
5:26,167,Foul on Jordan Hunter.,75,85
5:26,2463,Kendall Smith made Free Throw.,76,85
5:26,2463,Kendall Smith made Free Throw.,77,85
5:16,2463,Foul on Micheal Warren.,77,85
5:16,167,Sam Logwood made Free Throw.,77,86
5:16,167,Sam Logwood missed Free Throw.,77,86
5:16,2463,Rakim Lubin Defensive Rebound.,77,86
5:00,2463,Rakim Lubin missed Jumper.,77,86
5:00,167,Elijah Brown Defensive Rebound.,77,86
4:52,167,Obij Aget made Dunk. Assisted by Elijah Brown.,77,88
4:46,2463,Aaron Parks made Three Point Jumper. Assisted by Kendall Smith.,80,88
4:25,167,Jordan Hunter missed Jumper.,80,88
4:25,2463,Tavrion Dawson Defensive Rebound.,80,88
4:22,167,Foul on Tim Williams.,80,88
4:22,2463,Tavrion Dawson made Free Throw.,81,88
4:22,2463,Tavrion Dawson made Free Throw.,82,88
4:09,2463,Foul on Aaron Parks.,82,88
4:09,167,Elijah Brown made Free Throw.,82,89
4:09,167,Elijah Brown made Free Throw.,82,90
3:49,2463,Kendall Smith missed Three Point Jumper.,82,90
3:49,2463,Tavrion Dawson Offensive Rebound.,82,90
3:43,2463,Tavrion Dawson made Layup.,84,90
3:23,167,Elijah Brown made Three Point Jumper. Assisted by Sam Logwood.,84,93
3:09,2463,Tavrion Dawson Turnover.,84,93
3:06,167,Official TV Timeout,84,93
2:43,167,Tim Williams missed Jumper.,84,93
2:43,2463,Rakim Lubin Defensive Rebound.,84,93
2:36,2463,Aaron Parks missed Three Point Jumper.,84,93
2:36,167,Elijah Brown Defensive Rebound.,84,93
2:14,167,Tim Williams made Jumper. Assisted by Jordan Hunter.,84,95
2:02,2463,Tavrion Dawson missed Three Point Jumper.,84,95
2:02,2463,Darin Johnson Offensive Rebound.,84,95
2:02,2463,Darin Johnson missed Two Point Tip Shot.,84,95
2:02,2463,Aaron Parks Offensive Rebound.,84,95
1:56,167,Foul on Sam Logwood.,84,95
1:56,2463,Aaron Parks made Free Throw.,85,95
1:56,2463,Aaron Parks missed Free Throw.,85,95
1:56,167,Tim Williams Defensive Rebound.,85,95
1:40,167,Sam Logwood made Dunk.,85,97
1:27,2463,Kendall Smith missed Layup.,85,97
1:27,167,Obij Aget Defensive Rebound.,85,97
1:13,167,Elijah Brown made Jumper. Assisted by Jordan Hunter.,85,99
1:00,2463,CSU Northridge  Timeout,85,99
0:50,167,Foul on Obij Aget.,85,99
0:50,2463,Rakim Lubin made Free Throw.,86,99
0:50,2463,Rakim Lubin made Free Throw.,87,99
0:44,2463,Foul on Tavrion Dawson.,87,99
0:44,167,Xavier Adams made Free Throw.,87,100
0:44,167,Xavier Adams made Free Throw.,87,101
0:38,167,Foul on Jordan Hunter.,87,101
0:38,2463,Kendall Smith made Free Throw.,88,101
0:38,2463,Kendall Smith made Free Throw.,89,101
0:31,2463,Foul on Rakim Lubin.,89,101
0:31,167,Jordan Hunter made Free Throw.,89,102
0:31,167,Jordan Hunter made Free Throw.,89,103
0:23,2463,Kendall Smith Turnover.,89,103
0:23,167,Jordan Hunter Steal.,89,103
0:16,167,Sam Logwood made Dunk. Assisted by Elijah Brown.,89,105
0:07,2463,Micheal Warren missed Three Point Jumper.,89,105
0:07,2463,Aaron Parks Offensive Rebound.,89,105
0:02,2463,Aaron Parks missed Three Point Jumper.,89,105
0:02,167,Xavier Adams Defensive Rebound.,89,105
0:00,167,End of Game,89,105
