Walla Walla University,Error,Portland,2501
8:23,-1,Walla Walla University Defensive Rebound.,12,18
8:07,-1,Alijiah Robinson missed Jumper.,12,18
8:07,2501,D'Marques Tyson Defensive Rebound.,12,18
7:47,2501,D'Marques Tyson made Three Point Jumper. Assisted by Marcus Shaver Jr.,12,21
7:39,-1,Alijiah Robinson Turnover.,12,21
7:37,2501,Official TV Timeout,12,21
7:23,2501,Marcus Shaver Jr missed Jumper.,12,21
7:23,-1,Alec Calloway Defensive Rebound.,12,21
6:58,-1,Alijiah Robinson made Jumper.,14,21
6:23,2501,D'Marques Tyson missed Three Point Jumper.,14,21
6:23,-1,Alec Calloway Defensive Rebound.,14,21
6:21,-1,Alec Calloway Turnover.,14,21
6:19,2501,Marcus Shaver Jr Steal.,14,21
6:18,2501,Marcus Shaver Jr made Layup.,14,23
6:00,-1,Alec Calloway missed Jumper.,14,23
6:00,2501,D'Marques Tyson Defensive Rebound.,14,23
5:54,2501,Austin Stone missed Jumper.,14,23
5:54,-1,Alec Calloway Defensive Rebound.,14,23
5:28,2501,Foul on Marcus Shaver Jr.,14,23
5:11,-1,Michael Isotalo missed Three Point Jumper.,14,23
5:11,2501,D'Marques Tyson Defensive Rebound.,14,23
5:03,2501,D'Marques Tyson made Three Point Jumper. Assisted by Malcolm Porter.,14,26
4:40,-1,Michael Isotalo missed Three Point Jumper.,14,26
4:40,2501,D'Marques Tyson Defensive Rebound.,14,26
4:21,2501,Malcolm Porter made Three Point Jumper. Assisted by Marcus Shaver Jr.,14,29
3:52,-1,Wesley Burke missed Three Point Jumper.,14,29
3:52,2501,Austin Stone Defensive Rebound.,14,29
3:46,-1,Foul on Alec Calloway.,14,29
3:46,2501,Official TV Timeout,14,29
3:46,2501,Austin Stone made Free Throw.,14,30
3:46,2501,Austin Stone made Free Throw.,14,31
3:28,-1,Roy Zavala Turnover.,14,31
3:11,2501,Josh McSwiggan made Three Point Jumper. Assisted by Franklin Porter.,14,34
2:55,-1,Joey Inman made Three Point Jumper. Assisted by Jacob Vargas.,17,34
2:38,2501,Tahirou Diabate made Layup.,17,36
2:18,-1,Roy Zavala Turnover.,17,36
2:18,2501,JoJo Walker Steal.,17,36
2:03,2501,Philipp Hartwich made Layup. Assisted by Josh McSwiggan.,17,38
1:34,-1,Joey Inman made Three Point Jumper. Assisted by Roy Zavala.,20,38
1:12,2501,Franklin Porter missed Three Point Jumper.,20,38
1:12,2501,Portland Deadball Team Rebound.,20,38
1:09,-1,Foul on Jacob Vargas.,20,38
1:09,2501,Philipp Hartwich missed Free Throw.,20,38
1:09,-1,Walla Walla University Deadball Team Rebound.,20,38
0:54,2501,Foul on JoJo Walker.,20,38
0:41,-1,Alijiah Robinson missed Jumper.,20,38
0:41,2501,Tahirou Diabate Defensive Rebound.,20,38
0:31,-1,Foul on Alijiah Robinson.,20,38
0:31,2501,Franklin Porter missed Free Throw.,20,38
0:31,2501,Portland Deadball Team Rebound.,20,38
0:31,2501,Franklin Porter made Free Throw.,20,39
0:31,-1,Walla Walla University  Timeout,20,39
0:08,2501,Foul on Franklin Porter.,20,39
0:05,-1,Foul on Alijiah Robinson.,20,39
0:05,-1,Alijiah Robinson Turnover.,20,39
0:02,2501,Josh McSwiggan missed Three Point Jumper.,20,39
0:02,-1,Wesley Burke Defensive Rebound.,20,39
0:00,2501,End of 1st half,20,39
19:41,-1,Dylan Browning missed Layup.,20,39
19:41,2501,Josh McSwiggan Defensive Rebound.,20,39
19:15,2501,Philipp Hartwich made Dunk. Assisted by JoJo Walker.,20,41
18:57,-1,Dylan Browning missed Jumper.,20,41
18:57,2501,Philipp Hartwich Defensive Rebound.,20,41
18:40,2501,Franklin Porter made Three Point Jumper. Assisted by Philipp Hartwich.,20,44
18:29,-1,Roy Zavala made Three Point Jumper. Assisted by Alec Calloway.,23,44
18:05,2501,JoJo Walker made Layup.,23,46
17:44,-1,Alec Calloway missed Jumper.,23,46
17:44,2501,Philipp Hartwich Defensive Rebound.,23,46
17:24,2501,Josh McSwiggan missed Three Point Jumper.,23,46
17:24,2501,Tahirou Diabate Offensive Rebound.,23,46
17:23,2501,Tahirou Diabate made Layup.,23,48
17:05,-1,Wesley Burke missed Three Point Jumper.,23,48
17:05,-1,Alec Calloway Offensive Rebound.,23,48
17:01,-1,Roy Zavala missed Three Point Jumper.,23,48
17:01,2501,Philipp Hartwich Defensive Rebound.,23,48
16:55,-1,Foul on Roy Zavala.,23,48
16:55,2501,Josh McSwiggan missed Free Throw.,23,48
16:55,2501,Portland Deadball Team Rebound.,23,48
16:55,2501,Josh McSwiggan made Free Throw.,23,49
16:39,-1,Alijiah Robinson Turnover.,23,49
16:39,2501,Tahirou Diabate Steal.,23,49
16:31,-1,Foul on Josh Hager.,23,49
16:31,2501,Franklin Porter made Free Throw.,23,50
16:31,2501,Franklin Porter made Free Throw.,23,51
16:08,-1,Jacob Vargas made Jumper. Assisted by Michael Isotalo.,25,51
15:56,2501,Philipp Hartwich made Dunk. Assisted by JoJo Walker.,25,53
15:41,2501,Official TV Timeout,25,53
15:24,-1,Josh Hager missed Three Point Jumper.,25,53
15:24,2501,Philipp Hartwich Defensive Rebound.,25,53
15:04,2501,Josh McSwiggan made Jumper.,25,55
14:43,2501,Foul on Tahirou Diabate.,25,55
14:39,-1,Michael Isotalo made Three Point Jumper. Assisted by Joey Inman.,28,55
14:24,2501,Rashad Jackson made Three Point Jumper. Assisted by Josh McSwiggan.,28,58
14:24,-1,Joey Inman Turnover.,28,58
14:03,2501,Philipp Hartwich Turnover.,28,58
14:02,-1,Joey Inman Steal.,28,58
13:26,-1,Jordan Underwood missed Three Point Jumper.,28,58
13:26,2501,Philipp Hartwich Defensive Rebound.,28,58
13:11,2501,Foul on Rashad Jackson.,28,58
13:11,2501,Rashad Jackson Turnover.,28,58
12:50,-1,Alec Calloway missed Three Point Jumper.,28,58
12:50,-1,Jordan Underwood Offensive Rebound.,28,58
12:35,-1,Alec Calloway missed Three Point Jumper.,28,58
12:35,-1,Jordan Underwood Offensive Rebound.,28,58
12:27,-1,Jordan Underwood missed Layup.,28,58
12:27,2501,Philipp Hartwich Block.,28,58
12:26,-1,Walla Walla University Offensive Rebound.,28,58
12:11,-1,Josh Hager missed Three Point Jumper.,28,58
12:11,2501,Rashad Jackson Defensive Rebound.,28,58
11:56,2501,Philipp Hartwich made Dunk. Assisted by Rashad Jackson.,28,60
11:56,-1,Foul on Joey Inman.,28,60
11:56,2501,Official TV Timeout,28,60
11:56,2501,Philipp Hartwich missed Free Throw.,28,60
11:56,2501,Tahirou Diabate Offensive Rebound.,28,60
11:54,2501,Tahirou Diabate missed Jumper.,28,60
11:54,2501,Tahirou Diabate Offensive Rebound.,28,60
11:51,2501,Tahirou Diabate made Layup.,28,62
11:22,-1,Jacob Vargas Turnover.,28,62
11:20,2501,Malcolm Porter Steal.,28,62
11:19,2501,Malcolm Porter made Layup.,28,64
10:54,-1,Jacob Vargas made Three Point Jumper. Assisted by Michael Isotalo.,31,64
10:23,2501,D'Marques Tyson missed Three Point Jumper.,31,64
10:23,-1,Spencer Woodworth Defensive Rebound.,31,64
10:14,-1,Spencer Woodworth missed Three Point Jumper.,31,64
10:14,2501,Malcolm Porter Defensive Rebound.,31,64
10:06,2501,Tahirou Diabate made Layup. Assisted by Malcolm Porter.,31,66
9:40,-1,Michael Isotalo missed Three Point Jumper.,31,66
9:40,2501,Philipp Hartwich Defensive Rebound.,31,66
9:31,2501,D'Marques Tyson made Three Point Jumper. Assisted by Malcolm Porter.,31,69
9:16,2501,Foul on Rashad Jackson.,31,69
8:59,-1,Alec Calloway missed Jumper.,31,69
8:59,2501,Marcus Shaver Jr Defensive Rebound.,31,69
8:49,2501,Rashad Jackson made Layup.,31,71
8:37,-1,Wesley Burke missed Three Point Jumper.,31,71
8:37,2501,Joseph Smoyer Defensive Rebound.,31,71
8:33,-1,Foul on Josh Hager.,31,71
8:20,2501,Marcus Shaver Jr missed Three Point Jumper.,31,71
8:20,-1,Wesley Burke Defensive Rebound.,31,71
8:13,-1,Roy Zavala Turnover.,31,71
7:47,2501,Rashad Jackson made Jumper.,31,73
7:27,-1,Alec Calloway Turnover.,31,73
7:27,2501,Official TV Timeout,31,73
7:09,2501,Malcolm Porter missed Jumper.,31,73
7:09,-1,Alec Calloway Defensive Rebound.,31,73
7:00,-1,Josh Hager made Three Point Jumper. Assisted by Roy Zavala.,34,73
6:38,2501,Rashad Jackson missed Three Point Jumper.,34,73
6:32,-1,Alec Calloway Defensive Rebound.,34,73
6:25,-1,Jacob Vargas missed Jumper.,34,73
6:25,-1,Josh Hager Offensive Rebound.,34,73
6:20,-1,Roy Zavala made Three Point Jumper. Assisted by Alec Calloway.,37,73
6:02,2501,Austin Stone made Jumper. Assisted by Malcolm Porter.,37,75
5:50,-1,Alec Calloway missed Layup.,37,75
5:50,2501,Joseph Smoyer Defensive Rebound.,37,75
5:41,2501,Marcus Shaver Jr made Layup.,37,77
5:40,-1,Foul on Roy Zavala.,37,77
5:40,2501,Marcus Shaver Jr made Free Throw.,37,78
5:35,2501,Foul on Brian Smith.,37,78
5:14,-1,Roy Zavala missed Three Point Jumper.,37,78
5:14,2501,Austin Stone Defensive Rebound.,37,78
5:06,2501,Joseph Smoyer made Layup. Assisted by Brian Smith.,37,80
4:50,-1,Alec Calloway missed Three Point Jumper.,37,80
4:50,2501,Austin Stone Defensive Rebound.,37,80
4:41,2501,Austin Stone missed Three Point Jumper.,37,80
4:41,-1,Roy Zavala Defensive Rebound.,37,80
4:28,-1,Roy Zavala made Layup.,39,80
4:28,2501,Foul on Brian Smith.,39,80
4:28,-1,Roy Zavala made Free Throw.,40,80
4:14,2501,Austin Stone missed Jumper.,40,80
4:14,-1,Wesley Burke Defensive Rebound.,40,80
4:05,-1,Josh Hager made Three Point Jumper. Assisted by Roy Zavala.,43,80
3:46,-1,Foul on Roy Zavala.,43,80
3:46,2501,Official TV Timeout,43,80
3:46,2501,Austin Stone missed Free Throw.,43,80
3:46,2501,Portland Deadball Team Rebound.,43,80
3:46,2501,Austin Stone made Free Throw.,43,81
3:46,-1,Roy Zavala made Jumper.,45,81
3:22,2501,Marcus Shaver Jr missed Three Point Jumper.,45,81
3:22,-1,Roy Zavala Defensive Rebound.,45,81
3:12,-1,Roy Zavala made Three Point Jumper.,48,81
2:46,2501,Austin Stone missed Jumper.,48,81
2:46,2501,Austin Stone Offensive Rebound.,48,81
2:45,2501,Austin Stone missed Jumper.,48,81
2:45,-1,Alijiah Robinson Defensive Rebound.,48,81
2:42,-1,Wesley Burke missed Three Point Jumper.,48,81
2:42,2501,Austin Stone Defensive Rebound.,48,81
2:32,2501,Brian Smith Turnover.,48,81
2:24,-1,Josh Hager made Layup. Assisted by Roy Zavala.,50,81
2:08,2501,Joseph Smoyer made Three Point Jumper. Assisted by Brian Smith.,50,84
1:59,2501,Foul on Brian Smith.,50,84
1:38,-1,Alijiah Robinson missed Three Point Jumper.,50,84
1:38,2501,Marcus Shaver Jr Defensive Rebound.,50,84
1:30,2501,Brian Smith missed Three Point Jumper.,50,84
1:30,-1,Josh Hager Defensive Rebound.,50,84
1:20,-1,Spencer Woodworth missed Three Point Jumper.,50,84
1:20,2501,Brian Smith Defensive Rebound.,50,84
1:07,2501,Rashad Jackson made Three Point Jumper.,50,87
0:53,-1,Roy Zavala missed Layup.,50,87
0:53,2501,Rashad Jackson Defensive Rebound.,50,87
0:49,2501,Rashad Jackson made Layup.,50,89
0:19,-1,Roy Zavala missed Three Point Jumper.,50,89
0:19,-1,Josh Hager Offensive Rebound.,50,89
0:05,-1,Spencer Woodworth missed Jumper.,50,89
0:05,-1,Alijiah Robinson Offensive Rebound.,50,89
0:00,-1,Alijiah Robinson made Jumper.,52,89
0:00,2501,End of Game,52,89
