Green Bay,2459,Northern Illinois,2739
9:58,2459,Eugene German Turnover.,17,15
9:47,2739,Trevian Bell missed Layup.,17,15
9:47,2459,Levi Bradley Block.,17,15
9:45,2459,Rod Henry-Hayes Defensive Rebound.,17,15
9:34,2459,Justin Thomas made Three Point Jumper. Assisted by Rod Henry-Hayes.,17,18
9:18,2739,Hunter Crist Turnover.,17,18
8:59,2459,Levi Bradley missed Jumper.,17,18
8:59,2739,Khalil Small Defensive Rebound.,17,18
8:51,2459,Foul on Rod Henry-Hayes.,17,18
8:45,2739,Sukhjot Bains Turnover.,17,18
8:34,2459,Dante Thorpe made Layup.,17,20
8:34,2739,Foul on Khalil Small.,17,20
8:34,2459,Dante Thorpe missed Free Throw.,17,20
8:34,2739,Sukhjot Bains Defensive Rebound.,17,20
8:31,2459,Foul on Noah McCarty.,17,20
8:20,2739,Khalil Small missed Layup.,17,20
8:20,2459,Anastasios Demogerontas Defensive Rebound.,17,20
8:11,2739,Foul on Sukhjot Bains.,17,20
8:11,2459,Dante Thorpe made Free Throw.,17,21
8:11,2459,Dante Thorpe made Free Throw.,17,22
8:06,2739,Kameron Hankerson Turnover.,17,22
8:05,2459,Dante Thorpe Steal.,17,22
8:03,2459,Dante Thorpe made Layup.,17,24
7:49,2459,Foul on Anastasios Demogerontas.,17,24
7:49,2459,Official TV Timeout,17,24
7:48,2739,David Jesperson made Layup. Assisted by Sukhjot Bains.,19,24
7:48,2459,Foul on Dante Thorpe.,19,24
7:48,2739,David Jesperson made Free Throw.,20,24
7:28,2459,Levi Bradley missed Three Point Jumper.,20,24
7:28,2739,Trevian Bell Defensive Rebound.,20,24
7:10,2739,Trevian Bell missed Three Point Jumper.,20,24
7:10,2459,Anastasios Demogerontas Defensive Rebound.,20,24
7:02,2459,Dante Thorpe Turnover.,20,24
7:02,2459,Foul on Dante Thorpe.,20,24
6:44,2739,David Jesperson missed Three Point Jumper.,20,24
6:44,2459,Eugene German Defensive Rebound.,20,24
6:36,2739,Foul on Hunter Crist.,20,24
6:36,2459,Eugene German made Free Throw.,20,25
6:36,2459,Eugene German made Free Throw.,20,26
6:29,2459,Foul on Gairges Daow.,20,26
6:29,2739,Khalil Small made Free Throw.,21,26
6:29,2739,Khalil Small made Free Throw.,22,26
6:15,2459,Justin Thomas made Layup.,22,28
5:57,2739,Hunter Crist missed Three Point Jumper.,22,28
5:57,2459,Eugene German Defensive Rebound.,22,28
5:36,2459,Lacey James missed Layup.,22,28
5:36,2739,David Jesperson Defensive Rebound.,22,28
5:16,2739,Trevian Bell missed Jumper.,22,28
5:16,2459,Justin Thomas Defensive Rebound.,22,28
5:09,2459,Gairges Daow made Layup. Assisted by Justin Thomas.,22,30
5:06,2739,Green Bay  Timeout,22,30
4:56,2459,Foul on Rod Henry-Hayes.,22,30
4:56,2739,T.J. Parham made Free Throw.,23,30
4:56,2739,T.J. Parham made Free Throw.,24,30
4:44,2739,Foul on T.J. Parham.,24,30
4:44,2459,Eugene German made Free Throw.,24,31
4:44,2459,Eugene German missed Free Throw.,24,31
4:44,2739,David Jesperson Defensive Rebound.,24,31
4:34,2739,T.J. Parham Turnover.,24,31
4:32,2459,Anastasios Demogerontas Steal.,24,31
4:14,2459,Eugene German made Jumper.,24,33
3:59,2739,Khalil Small missed Jumper.,24,33
3:59,2459,Eugene German Defensive Rebound.,24,33
3:49,2739,Foul on David Jesperson.,24,33
3:49,2459,Official TV Timeout,24,33
3:49,2459,Levi Bradley made Free Throw.,24,34
3:49,2739,Foul on PJ Pipes.,24,33
3:49,2459,Official TV Timeout,24,33
3:49,2459,Levi Bradley made Free Throw.,24,35
3:36,2459,Foul on Gairges Daow.,24,35
3:36,2739,T.J. Parham missed Free Throw.,24,35
3:36,2739,Green Bay Deadball Team Rebound.,24,35
3:36,2739,T.J. Parham made Free Throw.,25,35
3:04,2459,Northern Illinois  Turnover.,25,35
2:51,2739,T.J. Parham made Layup.,27,35
2:36,2459,Anastasios Demogerontas Turnover.,27,35
2:17,2739,Khalil Small Turnover.,27,35
2:16,2459,Anastasios Demogerontas Steal.,27,35
2:13,2459,Eugene German made Layup.,27,37
1:57,2739,Will Chevalier missed Three Point Jumper.,27,37
1:57,2459,Justin Thomas Defensive Rebound.,27,37
1:50,2739,Foul on PJ Pipes.,27,37
1:50,2459,Justin Thomas missed Free Throw.,27,37
1:50,2459,Northern Illinois Deadball Team Rebound.,27,37
1:50,2459,Justin Thomas made Free Throw.,27,38
1:31,2739,Khalil Small missed Three Point Jumper.,27,38
1:31,2739,T.J. Parham Offensive Rebound.,27,38
1:26,2739,T.J. Parham missed Layup.,27,38
1:26,2459,Eugene German Defensive Rebound.,27,38
1:20,2459,Eugene German made Layup.,27,40
0:59,2739,Khalil Small missed Layup.,27,40
0:59,2459,Levi Bradley Defensive Rebound.,27,40
0:52,2459,Justin Thomas missed Jumper.,27,40
0:52,2459,Levi Bradley Offensive Rebound.,27,40
0:47,2459,Levi Bradley made Layup.,27,42
0:46,2739,Green Bay  Timeout,27,42
0:20,2739,Khalil Small missed Three Point Jumper.,27,42
0:20,2739,Will Chevalier Offensive Rebound.,27,42
0:15,2459,Foul on Levi Bradley.,27,42
0:15,2739,Will Chevalier made Free Throw.,28,42
0:15,2739,Will Chevalier made Free Throw.,29,42
0:02,2459,Justin Thomas missed Three Point Jumper.,29,42
0:02,2739,Hunter Crist Defensive Rebound.,29,42
0:00,2459,End of 1st half,29,42
19:46,2739,Sukhjot Bains Turnover.,29,42
19:46,2739,Foul on Sukhjot Bains.,29,42
19:21,2459,Lacey James Turnover.,29,42
19:20,2739,Kameron Hankerson Steal.,29,42
19:16,2739,Kameron Hankerson made Layup.,31,42
18:54,2459,Lacey James missed Jumper.,31,42
18:54,2739,Kameron Hankerson Defensive Rebound.,31,42
18:41,2739,Kameron Hankerson made Three Point Jumper. Assisted by Khalil Small.,34,42
18:22,2459,Lacey James missed Layup.,34,42
18:22,2459,Lacey James Offensive Rebound.,34,42
18:20,2459,Lacey James made Layup.,34,44
18:12,2739,Hunter Crist Turnover.,34,44
17:56,2459,Eugene German missed Layup.,34,44
17:56,2739,Khalil Small Defensive Rebound.,34,44
17:49,2739,Khalil Small missed Jumper.,34,44
17:49,2739,Sukhjot Bains Offensive Rebound.,34,44
17:45,2739,Sukhjot Bains Turnover.,34,44
17:44,2459,Justin Thomas Steal.,34,44
17:40,2459,Eugene German missed Layup.,34,44
17:40,2739,Kameron Hankerson Block.,34,44
17:39,2739,Hunter Crist Defensive Rebound.,34,44
17:20,2739,Hunter Crist made Jumper. Assisted by Sukhjot Bains.,36,44
17:03,2459,Levi Bradley made Jumper.,36,46
16:50,2739,Sukhjot Bains made Three Point Jumper. Assisted by David Jesperson.,39,46
16:32,2459,Levi Bradley Turnover.,39,46
16:18,2459,Foul on Noah McCarty.,39,46
16:18,2739,Manny Patterson missed Free Throw.,39,46
16:18,2739,Green Bay Deadball Team Rebound.,39,46
16:18,2739,Manny Patterson made Free Throw.,40,46
16:02,2459,Eugene German missed Layup.,40,46
16:02,2739,Khalil Small Defensive Rebound.,40,46
15:50,2739,Manny Patterson made Layup.,42,46
15:28,2459,Owen Hamilton Turnover.,42,46
15:28,2459,Foul on Owen Hamilton.,42,46
15:28,2459,Official TV Timeout,42,46
15:15,2739,Manny Patterson missed Layup.,42,46
15:15,2459,Eugene German Defensive Rebound.,42,46
15:10,2739,Foul on Hunter Crist.,42,46
14:50,2459,Eugene German missed Jumper.,42,46
14:50,2739,David Jesperson Block.,42,46
14:48,2739,Kameron Hankerson Defensive Rebound.,42,46
14:35,2739,Manny Patterson missed Layup.,42,46
14:35,2739,Green Bay Offensive Rebound.,42,46
14:28,2739,David Jesperson Turnover.,42,46
14:27,2459,Dante Thorpe Steal.,42,46
14:25,2459,Dante Thorpe made Layup.,42,48
14:25,2739,Foul on Kameron Hankerson.,42,48
14:25,2459,Dante Thorpe made Free Throw.,42,49
14:11,2739,David Jesperson missed Layup.,42,49
14:11,2459,Lacey James Defensive Rebound.,42,49
13:49,2459,Eugene German missed Three Point Jumper.,42,49
13:49,2739,Khalil Small Defensive Rebound.,42,49
13:42,2739,Kameron Hankerson missed Three Point Jumper.,42,49
13:42,2459,Lacey James Defensive Rebound.,42,49
13:32,2459,Gairges Daow missed Three Point Jumper.,42,49
13:32,2739,Manny Patterson Defensive Rebound.,42,49
13:14,2739,Kameron Hankerson Turnover.,42,49
13:13,2459,Lacey James Steal.,42,49
13:06,2459,Dante Thorpe missed Three Point Jumper.,42,49
13:06,2739,Manny Patterson Defensive Rebound.,42,49
12:47,2739,T.J. Parham missed Jumper.,42,49
12:47,2459,Eugene German Defensive Rebound.,42,49
12:28,2459,Dante Thorpe made Jumper.,42,51
12:11,2459,Foul on Gairges Daow.,42,51
12:11,2739,Khalil Small made Free Throw.,43,51
12:11,2739,Khalil Small made Free Throw.,44,51
12:06,2459,Justin Thomas Turnover.,44,51
11:59,2739,Khalil Small made Layup.,46,51
11:47,2459,Justin Thomas Turnover.,46,51
11:47,2459,Foul on Justin Thomas.,46,51
11:47,2459,Official TV Timeout,46,51
11:41,2739,T.J. Parham made Layup.,48,51
11:41,2459,Foul on Levi Bradley.,48,51
11:41,2739,T.J. Parham made Free Throw.,49,51
11:28,2459,Lacey James made Layup.,49,53
11:07,2739,Trevian Bell missed Three Point Jumper.,49,53
11:07,2459,Lacey James Defensive Rebound.,49,53
10:59,2459,Rod Henry-Hayes missed Three Point Jumper.,49,53
10:59,2459,Lacey James Offensive Rebound.,49,53
10:55,2739,Foul on Khalil Small.,49,53
10:55,2459,Lacey James Turnover.,49,53
10:55,2459,Foul on Lacey James.,49,53
10:45,2739,Manny Patterson missed Layup.,49,53
10:45,2459,Lacey James Defensive Rebound.,49,53
10:31,2459,Levi Bradley made Jumper.,49,55
10:23,2739,PJ Pipes missed Jumper.,49,55
10:23,2459,Dante Thorpe Defensive Rebound.,49,55
10:13,2459,Rod Henry-Hayes missed Three Point Jumper.,49,55
10:13,2459,Dante Thorpe Offensive Rebound.,49,55
9:58,2739,Foul on Manny Patterson.,49,55
9:51,2739,Foul on T.J. Parham.,49,55
9:51,2459,Lacey James made Free Throw.,49,56
9:51,2459,Lacey James made Free Throw.,49,57
9:27,2739,T.J. Parham Turnover.,49,57
9:26,2459,Levi Bradley Steal.,49,57
9:24,2459,Levi Bradley made Dunk. Assisted by Anastasios Demogerontas.,49,59
9:03,2459,Foul on Dante Thorpe.,49,59
9:03,2739,Trevian Bell made Free Throw.,50,59
9:03,2739,Trevian Bell missed Free Throw.,50,59
9:03,2459,Levi Bradley Defensive Rebound.,50,59
8:45,2459,Levi Bradley made Layup.,50,61
8:36,2739,Khalil Small made Three Point Jumper. Assisted by Kameron Hankerson.,53,61
8:26,2739,Foul on PJ Pipes.,53,61
8:26,2459,Justin Thomas missed Free Throw.,53,61
8:26,2459,Northern Illinois Deadball Team Rebound.,53,61
8:26,2459,Technical Foul on Levi Bradley.,53,61
8:26,2739,Technical Foul on PJ Pipes.,53,61
8:26,2459,Foul on Levi Bradley.,53,61
8:26,2739,Foul on PJ Pipes.,53,61
8:11,2739,Khalil Small missed Three Point Jumper.,53,61
8:11,2459,Levi Bradley Defensive Rebound.,53,61
8:07,2739,Foul on Hunter Crist.,53,61
8:07,2459,Levi Bradley made Free Throw.,53,62
8:07,2459,Levi Bradley made Free Throw.,53,63
7:52,2739,David Jesperson missed Jumper.,53,63
7:52,2739,Trevian Bell Offensive Rebound.,53,63
7:49,2459,Foul on Anastasios Demogerontas.,53,63
7:49,2459,Official TV Timeout,53,63
7:49,2739,Trevian Bell made Free Throw.,54,63
7:49,2739,Trevian Bell missed Free Throw.,54,63
7:49,2459,Lacey James Defensive Rebound.,54,63
7:25,2459,Lacey James Turnover.,54,63
7:17,2739,Trevian Bell Turnover.,54,63
7:02,2739,Foul on Hunter Crist.,54,63
7:02,2459,Levi Bradley made Free Throw.,54,64
7:02,2459,Levi Bradley made Free Throw.,54,65
6:50,2459,Foul on Lacey James.,54,65
6:50,2739,Khalil Small made Free Throw.,55,65
6:50,2739,Khalil Small made Free Throw.,56,65
6:42,2739,Foul on Trevian Bell.,56,65
6:42,2459,Eugene German missed Free Throw.,56,65
6:42,2459,Northern Illinois Deadball Team Rebound.,56,65
6:42,2459,Eugene German missed Free Throw.,56,65
6:42,2739,Khalil Small Defensive Rebound.,56,65
6:37,2459,Foul on Noah McCarty.,56,65
6:37,2739,Trevian Bell made Free Throw.,57,65
6:37,2739,Trevian Bell made Free Throw.,58,65
6:22,2459,Levi Bradley made Jumper.,58,67
6:22,2459,Northern Illinois  Timeout,58,67
6:09,2739,Khalil Small missed Jumper.,58,67
6:09,2459,Justin Thomas Defensive Rebound.,58,67
5:55,2459,Lacey James made Layup.,58,69
5:40,2739,Trevian Bell missed Layup.,58,69
5:40,2459,Lacey James Defensive Rebound.,58,69
5:25,2739,Foul on Sukhjot Bains.,58,69
5:25,2459,Eugene German made Free Throw.,58,70
5:25,2459,Eugene German missed Free Throw.,58,70
5:25,2739,Trevian Bell Defensive Rebound.,58,70
5:18,2739,Trevian Bell missed Jumper.,58,70
5:18,2459,Lacey James Defensive Rebound.,58,70
5:12,2739,Foul on Kameron Hankerson.,58,70
5:12,2459,Lacey James made Free Throw.,58,71
5:12,2459,Lacey James made Free Throw.,58,72
5:04,2739,Khalil Small Turnover.,58,72
5:04,2739,Foul on Khalil Small.,58,72
4:58,2459,Eugene German made Layup.,58,74
4:45,2459,Foul on Lacey James.,58,74
4:45,2739,Manny Patterson made Free Throw.,59,74
4:45,2739,Manny Patterson missed Free Throw.,59,74
4:45,2459,Levi Bradley Defensive Rebound.,59,74
4:21,2739,Foul on Manny Patterson.,59,74
4:21,2459,Eugene German made Free Throw.,59,75
4:21,2459,Eugene German made Free Throw.,59,76
4:01,2739,Kameron Hankerson missed Three Point Jumper.,59,76
4:01,2739,Green Bay Offensive Rebound.,59,76
3:59,2459,Official TV Timeout,59,76
3:42,2739,Khalil Small Turnover.,59,76
3:40,2459,Eugene German Steal.,59,76
3:39,2459,Levi Bradley Turnover.,59,76
3:37,2739,Kameron Hankerson Steal.,59,76
3:27,2739,Kameron Hankerson missed Layup.,59,76
3:27,2739,Green Bay Offensive Rebound.,59,76
3:14,2739,Khalil Small missed Layup.,59,76
3:14,2739,Khalil Small Offensive Rebound.,59,76
3:11,2459,Foul on Owen Hamilton.,59,76
3:11,2739,Khalil Small made Free Throw.,60,76
3:11,2739,Khalil Small made Free Throw.,61,76
2:52,2459,Levi Bradley made Layup. Assisted by Lacey James.,61,78
2:31,2739,Will Chevalier missed Three Point Jumper.,61,78
2:31,2459,Lacey James Defensive Rebound.,61,78
2:09,2739,Foul on Will Chevalier.,61,78
2:09,2459,Justin Thomas missed Free Throw.,61,78
2:09,2459,Northern Illinois Deadball Team Rebound.,61,78
2:09,2459,Justin Thomas made Free Throw.,61,79
1:46,2739,Manny Patterson made Layup. Assisted by Kameron Hankerson.,63,79
1:20,2459,Levi Bradley made Layup.,63,81
1:20,2739,Foul on T.J. Parham.,63,81
1:20,2459,Levi Bradley made Free Throw.,63,82
1:07,2739,T.J. Parham missed Three Point Jumper.,63,82
1:07,2739,Manny Patterson Offensive Rebound.,63,82
1:05,2739,Manny Patterson missed Layup.,63,82
1:05,2459,Owen Hamilton Block.,63,82
1:01,2459,Dante Thorpe Defensive Rebound.,63,82
0:45,2459,Levi Bradley made Three Point Jumper. Assisted by Dante Thorpe.,63,85
0:34,2739,T.J. Parham missed Three Point Jumper.,63,85
0:34,2739,Will Chevalier Offensive Rebound.,63,85
0:30,2739,Will Chevalier missed Two Point Tip Shot.,63,85
0:30,2739,Green Bay Offensive Rebound.,63,85
0:18,2739,Kameron Hankerson missed Jumper.,63,85
0:18,2739,Kameron Hankerson Offensive Rebound.,63,85
0:11,2459,Foul on Owen Hamilton.,63,85
0:11,2739,Manny Patterson made Free Throw.,64,85
0:11,2739,Manny Patterson made Free Throw.,65,85
0:00,2459,End of Game,65,85
