Eastern Washington,24,Stanford,331
2:01,24,Daejon Davis missed Free Throw.,25,20
2:01,331,Jesse Hunt Defensive Rebound.,25,20
1:47,331,Jesse Hunt made Three Point Jumper.,28,20
1:30,24,Isaac White made Three Point Jumper. Assisted by Daejon Davis.,28,23
1:12,331,Luka Vulikic missed Jumper.,28,23
1:12,24,Michael Humphrey Defensive Rebound.,28,23
1:00,331,Foul on Jesse Hunt.,28,23
1:00,24,Oscar da Silva made Free Throw.,28,24
1:00,24,Oscar da Silva made Free Throw.,28,25
0:56,331,Eastern Washington  Timeout,28,25
0:50,331,Ty Gibson made Three Point Jumper. Assisted by Bogdan Bliznyuk.,31,25
0:30,24,Daejon Davis missed Layup.,31,25
0:30,331,Bogdan Bliznyuk Defensive Rebound.,31,25
0:11,331,Bogdan Bliznyuk made Layup.,33,25
0:01,24,Robert Cartwright missed Layup.,33,25
0:01,331,Luka Vulikic Defensive Rebound.,33,25
0:01,331,Foul on Richard Polanco.,33,25
0:01,24,Robert Cartwright made Free Throw.,33,26
0:01,24,Robert Cartwright made Free Throw.,33,27
0:00,24,End of 1st half,33,25
19:46,24,Reid Travis made Layup.,33,29
19:33,331,Benas Griciunas missed Three Point Jumper.,33,29
19:33,24,Daejon Davis Defensive Rebound.,33,29
19:20,24,Michael Humphrey missed Jumper.,33,29
19:20,24,Oscar da Silva Offensive Rebound.,33,29
19:18,24,Oscar da Silva made Layup.,33,31
18:53,331,Benas Griciunas made Three Point Jumper. Assisted by Sir Washington.,36,31
18:33,331,Foul on Mason Peatling.,36,31
18:23,24,Reid Travis missed Jumper.,36,31
18:23,331,Benas Griciunas Defensive Rebound.,36,31
18:09,331,Bogdan Bliznyuk made Layup.,38,31
18:09,24,Foul on Michael Humphrey.,38,31
18:09,331,Bogdan Bliznyuk made Free Throw.,39,31
17:54,24,Isaac White missed Layup.,39,31
17:54,331,Benas Griciunas Defensive Rebound.,39,31
17:35,331,Bogdan Bliznyuk made Layup.,41,31
17:35,24,Foul on Oscar da Silva.,41,31
17:35,331,Bogdan Bliznyuk made Free Throw.,42,31
17:10,331,Foul on Bogdan Bliznyuk.,42,31
17:10,24,Reid Travis made Free Throw.,42,32
17:10,24,Reid Travis made Free Throw.,42,33
16:51,331,Bogdan Bliznyuk missed Three Point Jumper.,42,33
16:51,24,Oscar da Silva Defensive Rebound.,42,33
16:38,24,Michael Humphrey made Layup.,42,35
16:16,331,Luka Vulikic missed Jumper.,42,35
16:16,331,Luka Vulikic Offensive Rebound.,42,35
15:55,331,Benas Griciunas missed Layup.,42,35
15:55,24,Michael Humphrey Block.,42,35
15:54,331,Jesse Hunt Offensive Rebound.,42,35
15:53,331,Jesse Hunt missed Layup.,42,35
15:53,24,Oscar da Silva Defensive Rebound.,42,35
15:51,331,Foul on Sir Washington.,42,35
15:51,24,Official TV Timeout,42,35
15:37,331,Foul on Jesse Hunt.,42,35
15:37,24,Reid Travis made Free Throw.,42,36
15:37,24,Reid Travis missed Free Throw.,42,36
15:37,331,Jesse Hunt Defensive Rebound.,42,36
15:12,331,Foul on Bogdan Bliznyuk.,42,36
15:12,331,Bogdan Bliznyuk Turnover.,42,36
14:51,24,Reid Travis missed Jumper.,42,36
14:51,331,Jesse Hunt Block.,42,36
14:50,24,Daejon Davis Offensive Rebound.,42,36
14:48,24,Daejon Davis missed Layup.,42,36
14:48,24,Daejon Davis Offensive Rebound.,42,36
14:47,331,Foul on Ty Gibson.,42,36
14:47,24,Daejon Davis made Free Throw.,42,37
14:47,24,Daejon Davis made Free Throw.,42,38
14:34,331,Benas Griciunas missed Three Point Jumper.,42,38
14:34,24,Isaac White Defensive Rebound.,42,38
14:26,331,Foul on Benas Griciunas.,42,38
14:26,24,Michael Humphrey missed Free Throw.,42,38
14:21,24,Stanford Offensive Rebound.,42,38
14:20,24,Reid Travis missed Jumper.,42,38
14:19,331,Luka Vulikic Defensive Rebound.,42,38
13:59,331,Jesse Hunt made Layup.,44,38
13:35,24,Oscar da Silva made Dunk. Assisted by Daejon Davis.,44,40
13:19,331,Bogdan Bliznyuk missed Layup.,44,40
13:19,24,Oscar da Silva Defensive Rebound.,44,40
13:01,24,Michael Humphrey missed Three Point Jumper.,44,40
13:01,331,Ty Gibson Defensive Rebound.,44,40
12:29,331,Jesse Hunt made Jumper.,46,40
12:11,24,Michael Humphrey missed Three Point Jumper.,46,40
12:11,331,Ty Gibson Defensive Rebound.,46,40
11:45,331,Mason Peatling missed Jumper.,46,40
11:45,24,Oscar da Silva Defensive Rebound.,46,40
11:39,331,Foul on Ty Gibson.,46,40
11:39,24,Official TV Timeout,46,40
11:39,24,Reid Travis made Free Throw.,46,41
11:39,24,Reid Travis made Free Throw.,46,42
11:10,331,Jack Perry made Three Point Jumper.,49,42
10:40,24,Daejon Davis Turnover.,49,42
10:39,331,Mason Peatling Steal.,49,42
10:21,331,Jack Perry missed Three Point Jumper.,49,42
10:21,24,Oscar da Silva Defensive Rebound.,49,42
10:09,24,Josh Sharma Turnover.,49,42
9:45,331,Jack Perry missed Three Point Jumper.,49,42
9:45,24,Reid Travis Defensive Rebound.,49,42
9:36,24,Michael Humphrey made Dunk. Assisted by Robert Cartwright.,49,44
9:09,331,Jesse Hunt missed Jumper.,49,44
9:09,24,Oscar da Silva Defensive Rebound.,49,44
9:00,24,Isaac White missed Layup.,49,44
9:00,24,Oscar da Silva Offensive Rebound.,49,44
8:57,24,Isaac White missed Three Point Jumper.,49,44
8:57,331,Jesse Hunt Defensive Rebound.,49,44
8:47,331,Bogdan Bliznyuk made Layup.,51,44
8:33,24,Reid Travis missed Jumper.,51,44
8:33,331,Bogdan Bliznyuk Defensive Rebound.,51,44
8:04,331,Jack Perry made Three Point Jumper. Assisted by Ty Gibson.,54,44
7:49,24,Stanford  Timeout,54,44
7:37,24,Isaac White missed Three Point Jumper.,54,44
7:37,331,Benas Griciunas Defensive Rebound.,54,44
7:12,331,Ty Gibson missed Three Point Jumper.,54,44
7:12,24,Michael Humphrey Defensive Rebound.,54,44
7:08,24,Michael Humphrey Turnover.,54,44
7:08,331,Bogdan Bliznyuk Steal.,54,44
6:49,331,Bogdan Bliznyuk missed Layup.,54,44
6:49,24,Michael Humphrey Defensive Rebound.,54,44
6:35,24,Reid Travis made Layup.,54,46
6:35,331,Foul on Bogdan Bliznyuk.,54,46
6:35,24,Official TV Timeout,54,46
6:35,24,Reid Travis made Free Throw.,54,47
6:04,331,Ty Gibson missed Three Point Jumper.,54,47
6:04,24,Daejon Davis Defensive Rebound.,54,47
5:39,24,Foul on Oscar da Silva.,54,47
5:39,24,Oscar da Silva Turnover.,54,47
5:18,331,Sir Washington made Three Point Jumper. Assisted by Bogdan Bliznyuk.,57,47
4:49,24,Robert Cartwright missed Jumper.,57,47
4:49,331,Benas Griciunas Defensive Rebound.,57,47
4:37,331,Ty Gibson Turnover.,57,47
4:36,24,Robert Cartwright Steal.,57,47
4:36,331,Foul on Ty Gibson.,57,47
4:36,24,Robert Cartwright missed Free Throw.,57,47
4:36,24,Stanford Deadball Team Rebound.,57,47
4:36,24,Robert Cartwright missed Free Throw.,57,47
4:36,331,Jesse Hunt Defensive Rebound.,57,47
4:30,24,Foul on Robert Cartwright.,57,47
4:16,331,Jesse Hunt Turnover.,57,47
4:08,331,Foul on Sir Washington.,57,47
4:08,24,Michael Humphrey made Free Throw.,57,48
4:08,24,Michael Humphrey made Free Throw.,57,49
3:52,331,Luka Vulikic made Layup.,59,49
3:37,24,Daejon Davis missed Layup.,59,49
3:37,331,Luka Vulikic Block.,59,49
3:35,331,Luka Vulikic Defensive Rebound.,59,49
3:34,24,Foul on Daejon Davis.,59,49
3:34,24,Official TV Timeout,59,49
3:11,331,Bogdan Bliznyuk Turnover.,59,49
2:59,24,Oscar da Silva missed Layup.,59,49
2:59,24,Oscar da Silva Offensive Rebound.,59,49
2:57,24,Oscar da Silva missed Layup.,59,49
2:57,24,Michael Humphrey Offensive Rebound.,59,49
2:56,24,Michael Humphrey missed Layup.,59,49
2:56,331,Bogdan Bliznyuk Defensive Rebound.,59,49
2:29,331,Sir Washington missed Jumper.,59,49
2:29,24,Daejon Davis Defensive Rebound.,59,49
2:22,24,Isaac White missed Three Point Jumper.,59,49
2:22,331,Benas Griciunas Defensive Rebound.,59,49
2:12,24,Foul on Isaac White.,59,49
2:01,331,Luka Vulikic missed Jumper.,59,49
2:01,24,Michael Humphrey Defensive Rebound.,59,49
1:56,24,Oscar da Silva made Layup. Assisted by Isaac White.,59,51
1:55,24,Stanford  Timeout,59,51
1:29,331,Bogdan Bliznyuk missed Jumper.,59,51
1:29,24,Reid Travis Defensive Rebound.,59,51
1:17,24,Robert Cartwright missed Three Point Jumper.,59,51
1:17,331,Benas Griciunas Defensive Rebound.,59,51
1:12,24,Foul on Robert Cartwright.,59,51
1:12,331,Ty Gibson missed Free Throw.,59,51
1:12,24,Michael Humphrey Defensive Rebound.,59,51
1:06,24,Michael Humphrey missed Three Point Jumper.,59,51
1:06,331,Jesse Hunt Defensive Rebound.,59,51
1:00,24,Foul on Isaac White.,59,51
1:00,331,Bogdan Bliznyuk made Free Throw.,60,51
1:00,331,Bogdan Bliznyuk missed Free Throw.,60,51
1:00,24,Michael Humphrey Defensive Rebound.,60,51
0:53,24,Robert Cartwright made Three Point Jumper.,60,54
0:47,24,Foul on Michael Humphrey.,60,54
0:47,331,Benas Griciunas missed Free Throw.,60,54
0:47,24,Michael Humphrey Defensive Rebound.,60,54
0:37,24,Robert Cartwright made Layup.,60,56
0:32,24,Foul on Oscar da Silva.,60,56
0:32,331,Bogdan Bliznyuk made Free Throw.,61,56
0:32,331,Bogdan Bliznyuk made Free Throw.,62,56
0:25,24,Robert Cartwright made Layup.,62,58
0:21,24,Foul on Oscar da Silva.,62,58
0:21,331,Sir Washington missed Free Throw.,62,58
0:21,331,Eastern Washington Deadball Team Rebound.,62,58
0:21,331,Sir Washington missed Free Throw.,62,58
0:21,331,Mason Peatling Offensive Rebound.,62,58
0:20,24,Foul on Reid Travis.,62,58
0:20,331,Mason Peatling made Free Throw.,63,58
0:20,331,Mason Peatling missed Free Throw.,63,58
0:20,24,Michael Humphrey Defensive Rebound.,63,58
0:12,24,Robert Cartwright missed Free Throw.,63,58
0:12,24,Stanford Deadball Team Rebound.,63,58
0:12,24,Robert Cartwright made Free Throw.,63,59
0:11,331,Foul on Luka Vulikic.,63,58
0:10,24,Foul on Robert Cartwright.,63,59
0:10,331,Bogdan Bliznyuk made Free Throw.,64,59
0:10,331,Bogdan Bliznyuk made Free Throw.,65,59
0:06,24,Robert Cartwright missed Three Point Jumper.,65,59
0:06,331,Bogdan Bliznyuk Defensive Rebound.,65,59
0:04,24,Foul on Michael Humphrey.,65,59
0:04,331,Bogdan Bliznyuk made Free Throw.,66,59
0:04,331,Bogdan Bliznyuk made Free Throw.,67,59
0:02,24,Robert Cartwright made Layup.,67,61
0:00,24,End of Game,67,61
