Denver,38,Colorado,2172
7:44,38,McKinley Wright IV missed Three Point Jumper.,52,66
7:44,38,Tory Miller-Stewart Offensive Rebound.,52,66
7:41,2172,Foul on Donoven Carlisle.,52,66
7:41,38,Official TV Timeout,52,66
7:41,38,Tory Miller-Stewart missed Free Throw.,52,66
7:41,38,Colorado Deadball Team Rebound.,52,66
7:41,38,Tory Miller-Stewart made Free Throw.,52,67
7:23,2172,Joe Rosga missed Jumper.,52,67
7:23,38,D'Shawn Schwartz Defensive Rebound.,52,67
7:14,38,George King made Layup.,52,69
6:50,2172,Jake Krafka missed Layup.,52,69
6:50,38,George King Defensive Rebound.,52,69
6:40,38,D'Shawn Schwartz made Three Point Jumper. Assisted by Tory Miller-Stewart.,52,72
6:28,2172,Joe Rosga made Jumper.,54,72
6:11,38,George King missed Layup.,54,72
6:11,38,George King Offensive Rebound.,54,72
6:10,2172,Foul on Jake Krafka.,54,72
6:10,38,George King missed Free Throw.,54,72
6:10,38,Colorado Deadball Team Rebound.,54,72
6:10,38,George King made Free Throw.,54,73
5:51,2172,Ade Murkey Turnover.,54,73
5:36,38,Deleon Brown missed Three Point Jumper.,54,73
5:36,2172,Ade Murkey Defensive Rebound.,54,73
5:35,38,Foul on George King.,54,73
5:35,2172,Ade Murkey missed Free Throw.,54,73
5:35,38,D'Shawn Schwartz Defensive Rebound.,54,73
5:13,38,George King made Jumper.,54,75
4:57,2172,Daniel Amigo missed Jumper.,54,75
4:57,38,D'Shawn Schwartz Defensive Rebound.,54,75
4:47,38,Dominique Collier Turnover.,54,75
4:46,2172,Ade Murkey Steal.,54,75
4:37,2172,Ade Murkey missed Layup.,54,75
4:37,38,D'Shawn Schwartz Defensive Rebound.,54,75
4:28,38,Deleon Brown made Layup.,54,77
4:23,2172,Denver  Timeout,54,77
4:21,2172,Daniel Amigo made Layup. Assisted by Jake Pemberton.,56,77
4:17,38,Foul on Tory Miller-Stewart.,56,77
4:17,2172,Daniel Amigo missed Free Throw.,56,77
4:17,38,Tory Miller-Stewart Defensive Rebound.,56,77
3:49,38,D'Shawn Schwartz made Layup.,56,79
3:49,2172,Foul on Luke Neff.,56,79
3:49,38,D'Shawn Schwartz missed Free Throw.,56,79
3:49,2172,Jake Pemberton Defensive Rebound.,56,79
3:37,2172,Daniel Amigo missed Jumper.,56,79
3:37,2172,Daniel Amigo Offensive Rebound.,56,79
3:34,2172,Daniel Amigo made Dunk.,58,79
3:16,38,Namon Wright made Jumper.,58,81
3:04,2172,Jake Pemberton missed Three Point Jumper.,58,81
3:04,38,Lucas Siewert Defensive Rebound.,58,81
2:40,38,Namon Wright made Jumper.,58,83
2:15,38,Foul on Lucas Siewert.,58,83
2:15,2172,Abiola Akintola missed Free Throw.,58,83
2:15,2172,Denver Deadball Team Rebound.,58,83
2:15,2172,Abiola Akintola made Free Throw.,59,83
1:54,38,Namon Wright missed Three Point Jumper.,59,83
1:54,2172,Jake Holtzmann Defensive Rebound.,59,83
1:47,38,Foul on Namon Wright.,59,83
1:47,2172,Elvin Rodriguez made Free Throw.,60,83
1:47,2172,Elvin Rodriguez made Free Throw.,61,83
1:26,38,Tyler Bey missed Jumper.,61,83
1:26,38,Dallas Walton Offensive Rebound.,61,83
1:22,2172,Foul on Donoven Carlisle.,61,83
1:22,38,Dallas Walton made Free Throw.,61,84
1:22,38,Dallas Walton made Free Throw.,61,85
1:17,38,Foul on Lazar Nikolic.,61,85
1:17,2172,Elvin Rodriguez missed Free Throw.,61,85
1:17,2172,Denver Deadball Team Rebound.,61,85
1:17,2172,Elvin Rodriguez made Free Throw.,62,85
0:57,38,Alexander Strating made Layup. Assisted by Dallas Walton.,62,87
0:46,2172,Luke Neff missed Three Point Jumper.,62,87
0:46,38,Dallas Walton Defensive Rebound.,62,87
0:25,38,Josh Repine missed Three Point Jumper.,62,87
0:25,38,Alexander Strating Offensive Rebound.,62,87
0:18,38,Alexander Strating made Layup.,62,89
0:11,2172,Elvin Rodriguez missed Jumper.,62,89
0:11,38,Tyler Bey Defensive Rebound.,62,89
0:00,38,End of Game,62,89
