High Point,2633,Tennessee,2272
14:35,2272,Ricky Madison Offensive Rebound.,7,9
14:32,2272,Ricky Madison missed Layup.,7,9
14:32,2633,Grant Williams Defensive Rebound.,7,9
14:28,2633,Lamonte Turner made Three Point Jumper. Assisted by Grant Williams.,7,12
14:04,2272,Jahaad Proctor missed Jumper.,7,12
14:04,2633,Admiral Schofield Defensive Rebound.,7,12
13:59,2633,Chris Darrington Turnover.,7,12
13:58,2272,Austin White Steal.,7,12
13:54,2272,Ricky Madison Turnover.,7,12
13:29,2633,Lamonte Turner made Three Point Jumper. Assisted by James Daniel III.,7,15
13:05,2272,Jamal Wright Turnover.,7,15
12:41,2633,Admiral Schofield made Jumper.,7,17
12:40,2272,High Point  Timeout,7,17
12:24,2633,Foul on Jordan Bone.,7,17
12:19,2272,Jamal Wright Turnover.,7,17
11:54,2633,Jordan Bone made Three Point Jumper. Assisted by James Daniel III.,7,20
11:32,2272,Denny Slay missed Three Point Jumper.,7,20
11:29,2272,High Point Offensive Rebound.,7,20
11:27,2633,Official TV Timeout,7,20
11:12,2272,Justyn Mutts missed Layup.,7,20
11:12,2633,Grant Williams Defensive Rebound.,7,20
11:05,2633,Jordan Bone Turnover.,7,20
11:04,2272,Denny Slay Steal.,7,20
11:00,2272,Denny Slay missed Three Point Jumper.,7,20
11:00,2633,Grant Williams Defensive Rebound.,7,20
10:36,2633,Jordan Bone Turnover.,7,20
10:14,2272,Jordan Whitehead missed Jumper.,7,20
10:14,2633,Admiral Schofield Defensive Rebound.,7,20
10:07,2272,Foul on Justyn Mutts.,7,20
9:51,2633,Admiral Schofield made Three Point Jumper. Assisted by Lamonte Turner.,7,23
9:41,2272,Andre Fox missed Layup.,7,23
9:41,2633,Grant Williams Block.,7,23
9:40,2633,Grant Williams Defensive Rebound.,7,23
9:33,2633,Lamonte Turner missed Three Point Jumper.,7,23
9:33,2633,Grant Williams Offensive Rebound.,7,23
9:28,2633,Grant Williams Turnover.,7,23
9:09,2272,Brandon Kamga missed Layup.,7,23
9:09,2272,Brandon Kamga Offensive Rebound.,7,23
9:08,2633,Foul on Kyle Alexander.,7,23
9:08,2272,Brandon Kamga missed Free Throw.,7,23
9:08,2272,High Point Deadball Team Rebound.,7,23
9:08,2272,Brandon Kamga missed Free Throw.,7,23
9:08,2633,Kyle Alexander Defensive Rebound.,7,23
8:57,2272,Foul on Austin White.,7,23
8:43,2633,Lamonte Turner made Three Point Jumper. Assisted by James Daniel III.,7,26
8:15,2272,Brandon Kamga missed Layup.,7,26
8:15,2633,Jordan Bowden Defensive Rebound.,7,26
7:54,2633,Lamonte Turner missed Three Point Jumper.,7,26
7:54,2633,Grant Williams Offensive Rebound.,7,26
7:49,2633,Official TV Timeout,7,26
7:48,2633,Foul on Lamonte Turner.,7,26
7:48,2633,Lamonte Turner Turnover.,7,26
7:30,2272,Brandon Kamga Turnover.,7,26
7:29,2633,Grant Williams Steal.,7,26
7:14,2272,Foul on Justyn Mutts.,7,26
7:14,2272,Foul on Luke Vargo.,7,26
7:14,2633,Chris Darrington made Free Throw.,7,27
7:14,2633,Chris Darrington made Free Throw.,7,28
7:14,2272,Luke Vargo Turnover.,7,28
7:10,2633,Kyle Alexander made Layup. Assisted by Chris Darrington.,7,30
6:55,2633,Foul on Lamonte Turner.,7,30
6:49,2272,Foul on Ricky Madison.,7,30
6:49,2272,Ricky Madison Turnover.,7,30
6:28,2272,Foul on Luke Vargo.,7,30
6:28,2633,Grant Williams made Free Throw.,7,31
6:28,2633,Grant Williams missed Free Throw.,7,31
6:28,2633,Kyle Alexander Offensive Rebound.,7,31
6:16,2633,Grant Williams missed Jumper.,7,31
6:16,2633,Jordan Bone Offensive Rebound.,7,31
6:13,2633,Jordan Bone made Layup.,7,33
5:56,2272,Jamal Wright missed Three Point Jumper.,7,33
5:56,2633,Kyle Alexander Defensive Rebound.,7,33
5:37,2633,Admiral Schofield made Jumper.,7,35
5:15,2272,Andre Fox missed Three Point Jumper.,7,35
5:15,2633,Admiral Schofield Defensive Rebound.,7,35
4:45,2633,Jordan Bone missed Three Point Jumper.,7,35
4:45,2633,Kyle Alexander Offensive Rebound.,7,35
4:44,2272,Foul on Ricky Madison.,7,35
4:44,2633,Admiral Schofield made Free Throw.,7,36
4:44,2633,Admiral Schofield made Free Throw.,7,37
4:18,2272,Foul on Andre Fox.,7,37
4:18,2633,Jordan Bone made Free Throw.,7,38
4:18,2633,Jordan Bone made Free Throw.,7,39
4:03,2633,Foul on Chris Darrington.,7,39
4:03,2272,Jordan Whitehead missed Free Throw.,7,39
4:03,2272,Andre Fox Offensive Rebound.,7,39
3:58,2272,Andre Fox missed Layup.,7,39
3:58,2272,Andre Fox Offensive Rebound.,7,39
3:54,2272,Andre Fox made Layup.,9,39
3:33,2633,Jordan Bowden made Layup. Assisted by Admiral Schofield.,9,41
3:01,2272,Jamal Wright Turnover.,9,41
3:00,2633,John Fulkerson Steal.,9,41
2:58,2272,Foul on Justyn Mutts.,9,41
2:58,2633,Official TV Timeout,9,41
2:58,2633,Admiral Schofield made Free Throw.,9,42
2:58,2633,Admiral Schofield made Free Throw.,9,43
2:44,2272,Denny Slay Turnover.,9,43
2:43,2633,John Fulkerson Steal.,9,43
2:42,2272,Foul on Jordan Whitehead.,9,43
2:42,2633,John Fulkerson made Free Throw.,9,44
2:42,2633,John Fulkerson made Free Throw.,9,45
2:26,2272,Jahaad Proctor missed Jumper.,9,45
2:26,2272,Jordan Whitehead Offensive Rebound.,9,45
2:22,2272,Jordan Whitehead made Layup.,11,45
2:16,2633,Jordan Bone made Layup.,11,47
1:52,2272,Denny Slay missed Jumper.,11,47
1:52,2633,Admiral Schofield Defensive Rebound.,11,47
1:41,2633,John Fulkerson missed Jumper.,11,47
1:41,2272,Jahaad Proctor Defensive Rebound.,11,47
1:35,2272,Jahaad Proctor made Layup.,13,47
1:26,2633,Tennessee  Timeout,13,47
1:14,2633,Jordan Bone missed Layup.,13,47
1:14,2633,John Fulkerson Offensive Rebound.,13,47
1:11,2633,John Fulkerson made Dunk.,13,49
0:49,2272,Jahaad Proctor missed Layup.,13,49
0:49,2633,Grant Williams Defensive Rebound.,13,49
0:40,2633,James Daniel III missed Three Point Jumper.,13,49
0:40,2272,Denny Slay Defensive Rebound.,13,49
0:31,2272,Brandon Kamga Turnover.,13,49
0:07,2633,Admiral Schofield made Three Point Jumper. Assisted by Jordan Bone.,13,52
0:01,2633,Official TV Timeout,7,20
0:00,2633,End of 1st half,13,52
19:49,2272,Brandon Kamga missed Three Point Jumper.,13,52
19:49,2633,Admiral Schofield Defensive Rebound.,13,52
19:40,2633,Grant Williams missed Layup.,13,52
19:40,2272,Brandon Kamga Defensive Rebound.,13,52
19:31,2272,Brandon Kamga missed Layup.,13,52
19:31,2633,Kyle Alexander Block.,13,52
19:30,2272,High Point Offensive Rebound.,13,52
19:16,2272,Brandon Kamga missed Layup.,13,52
19:16,2633,Jordan Bowden Block.,13,52
19:16,2272,High Point Offensive Rebound.,13,52
19:16,2272,High Point  Turnover.,13,52
18:58,2633,Admiral Schofield missed Jumper.,13,52
18:58,2272,Denny Slay Defensive Rebound.,13,52
18:50,2272,Andre Fox missed Jumper.,13,52
18:50,2633,Grant Williams Defensive Rebound.,13,52
18:38,2272,Foul on Denny Slay.,13,52
18:37,2633,Admiral Schofield missed Three Point Jumper.,13,52
18:37,2633,Kyle Alexander Offensive Rebound.,13,52
18:33,2633,Foul on Admiral Schofield.,13,52
18:33,2633,Admiral Schofield Turnover.,13,52
18:24,2272,Jahaad Proctor made Three Point Jumper.,16,52
18:10,2633,Grant Williams missed Three Point Jumper.,16,52
18:10,2633,Kyle Alexander Offensive Rebound.,16,52
18:07,2633,Kyle Alexander missed Free Throw.,16,52
18:07,2272,Foul on Jordan Whitehead.,16,52
18:07,2633,Tennessee Deadball Team Rebound.,16,52
18:06,2633,Kyle Alexander made Free Throw.,16,53
17:48,2272,Jahaad Proctor made Jumper.,18,53
17:29,2633,Jordan Bowden made Three Point Jumper. Assisted by Grant Williams.,18,56
17:07,2633,Foul on Admiral Schofield.,18,56
16:51,2272,Brandon Kamga missed Layup.,18,56
16:51,2633,Kyle Alexander Block.,18,56
16:51,2633,Tennessee Defensive Rebound.,18,56
16:29,2633,Jordan Bowden missed Three Point Jumper.,18,56
16:29,2272,Denny Slay Defensive Rebound.,18,56
16:12,2272,Andre Fox made Three Point Jumper. Assisted by Denny Slay.,21,56
16:08,2633,Kyle Alexander Turnover.,21,56
16:01,2272,Brandon Kamga Turnover.,21,56
16:01,2633,James Daniel III Steal.,21,56
16:01,2272,Foul on Jamal Wright.,21,56
15:52,2272,Foul on Ricky Madison.,21,56
15:52,2633,Official TV Timeout,21,56
15:52,2633,Grant Williams made Free Throw.,21,57
15:52,2633,Grant Williams made Free Throw.,21,58
15:38,2272,Jahaad Proctor made Jumper.,23,58
15:25,2272,Foul on Brandon Kamga.,23,58
15:23,2633,Lamonte Turner made Jumper. Assisted by James Daniel III.,23,60
15:12,2633,Foul on John Fulkerson.,23,60
14:57,2272,Ricky Madison missed Layup.,23,60
14:57,2633,John Fulkerson Defensive Rebound.,23,60
14:44,2633,Grant Williams made Jumper. Assisted by James Daniel III.,23,62
14:38,2633,Foul on Jordan Bowden.,23,62
14:16,2272,Jamal Wright missed Layup.,23,62
14:16,2633,Grant Williams Defensive Rebound.,23,62
14:13,2633,Grant Williams Turnover.,23,62
14:12,2272,Jahaad Proctor Steal.,23,62
14:10,2272,Jamal Wright missed Three Point Jumper.,23,62
14:10,2272,Ricky Madison Offensive Rebound.,23,62
14:04,2272,Ricky Madison made Layup.,25,62
14:04,2633,Foul on Jordan Bowden.,25,62
14:04,2272,Ricky Madison made Free Throw.,26,62
13:55,2633,Chris Darrington made Three Point Jumper. Assisted by James Daniel III.,26,65
13:46,2272,Jamal Wright Turnover.,26,65
13:45,2633,James Daniel III Steal.,26,65
13:43,2272,Foul on Jamal Wright.,26,65
13:17,2633,John Fulkerson made Layup.,26,67
12:56,2272,Jamal Wright missed Three Point Jumper.,26,67
12:56,2633,James Daniel III Block.,26,67
12:54,2272,Sam Berlin Offensive Rebound.,26,67
12:52,2272,Sam Berlin Turnover.,26,67
12:51,2633,John Fulkerson Steal.,26,67
12:47,2272,Foul on Jamal Wright.,26,67
12:47,2633,James Daniel III made Free Throw.,26,68
12:47,2633,James Daniel III missed Free Throw.,26,68
12:47,2272,Sam Berlin Defensive Rebound.,26,68
12:24,2272,Sam Berlin made Layup. Assisted by Denny Slay.,28,68
12:08,2633,Lamonte Turner made Three Point Jumper. Assisted by James Daniel III.,28,71
11:48,2633,Foul on Admiral Schofield.,28,71
11:48,2633,Official TV Timeout,28,71
11:48,2272,Sam Berlin made Free Throw.,29,71
11:48,2272,Sam Berlin made Free Throw.,30,71
11:29,2633,Lamonte Turner Turnover.,30,71
11:28,2272,Justyn Mutts Steal.,30,71
11:21,2272,Justyn Mutts missed Dunk.,30,71
11:21,2633,Jordan Bone Defensive Rebound.,30,71
11:15,2633,Jordan Bone Turnover.,30,71
11:01,2272,Jordan Whitehead missed Layup.,30,71
11:01,2633,James Daniel III Block.,30,71
11:00,2633,Kyle Alexander Defensive Rebound.,30,71
10:56,2633,Chris Darrington made Layup. Assisted by James Daniel III.,30,73
10:35,2633,Foul on James Daniel III.,30,73
10:35,2272,Denny Slay missed Free Throw.,30,73
10:35,2272,Justyn Mutts Offensive Rebound.,30,73
10:33,2272,Andre Fox missed Three Point Jumper.,30,73
10:33,2272,High Point Offensive Rebound.,30,73
10:14,2633,Foul on James Daniel III.,30,73
10:14,2272,Justyn Mutts missed Free Throw.,30,73
10:14,2272,High Point Deadball Team Rebound.,30,73
10:14,2272,Justyn Mutts missed Free Throw.,30,73
10:14,2633,Jordan Bone Defensive Rebound.,30,73
9:53,2633,Chris Darrington missed Jumper.,30,73
9:53,2633,Derrick Walker Offensive Rebound.,30,73
9:49,2633,Derrick Walker missed Layup.,30,73
9:49,2272,Justyn Mutts Block.,30,73
9:48,2633,Derrick Walker Offensive Rebound.,30,73
9:34,2633,Foul on Jordan Bone.,30,73
9:34,2633,Jordan Bone Turnover.,30,73
9:24,2272,Foul on Denny Slay.,30,73
9:24,2272,Denny Slay Turnover.,30,73
9:15,2272,Foul on Jordan Whitehead.,30,73
9:15,2633,Derrick Walker missed Free Throw.,30,73
9:15,2272,Brandon Kamga Defensive Rebound.,30,73
8:50,2272,Jordan Whitehead made Jumper. Assisted by Denny Slay.,32,73
8:21,2633,Grant Williams missed Jumper.,32,73
8:21,2272,Jordan Whitehead Defensive Rebound.,32,73
8:08,2272,Ricky Madison missed Layup.,32,73
8:08,2633,Derrick Walker Block.,32,73
8:07,2633,Derrick Walker Defensive Rebound.,32,73
7:54,2633,Jordan Bone made Three Point Jumper. Assisted by Chris Darrington.,32,76
7:29,2272,Jordan Whitehead made Layup. Assisted by Jahaad Proctor.,34,76
7:09,2633,Foul on Jordan Bone.,34,76
7:09,2633,Jordan Bone Turnover.,34,76
7:09,2633,Official TV Timeout,34,76
6:56,2633,Foul on Lamonte Turner.,34,76
6:56,2272,Brandon Kamga missed Free Throw.,34,76
6:56,2272,High Point Deadball Team Rebound.,34,76
6:56,2272,Brandon Kamga missed Free Throw.,34,76
6:56,2633,Derrick Walker Defensive Rebound.,34,76
6:43,2633,Derrick Walker Turnover.,34,76
6:41,2272,Jordan Whitehead Steal.,34,76
6:38,2272,Andre Fox made Three Point Jumper. Assisted by Denny Slay.,37,76
6:28,2633,Lamonte Turner made Layup. Assisted by James Daniel III.,37,78
6:10,2272,Denny Slay missed Jumper.,37,78
6:10,2633,Jordan Bowden Defensive Rebound.,37,78
6:04,2633,Grant Williams missed Layup.,37,78
6:04,2633,Grant Williams Offensive Rebound.,37,78
6:02,2272,Foul on Jordan Whitehead.,37,78
6:02,2633,Grant Williams made Free Throw.,37,79
6:02,2633,Grant Williams missed Free Throw.,37,79
6:02,2272,Justyn Mutts Defensive Rebound.,37,79
5:44,2272,Ricky Madison made Layup. Assisted by Brandon Kamga.,39,79
5:36,2633,Lamonte Turner missed Layup.,39,79
5:36,2633,Grant Williams Offensive Rebound.,39,79
5:33,2633,Grant Williams missed Layup.,39,79
5:33,2272,Justyn Mutts Block.,39,79
5:32,2272,Andre Fox Defensive Rebound.,39,79
5:24,2272,Brandon Kamga missed Layup.,39,79
5:24,2633,Jordan Bowden Defensive Rebound.,39,79
5:18,2633,Lamonte Turner missed Layup.,39,79
5:18,2272,Justyn Mutts Block.,39,79
5:18,2633,Tennessee Offensive Rebound.,39,79
5:18,2272,Foul on Andre Fox.,39,79
5:18,2633,John Fulkerson made Free Throw.,39,80
5:18,2633,John Fulkerson made Free Throw.,39,81
5:07,2272,Justyn Mutts missed Layup.,39,81
5:07,2633,Admiral Schofield Defensive Rebound.,39,81
4:50,2633,James Daniel III missed Three Point Jumper.,39,81
4:50,2272,Justyn Mutts Defensive Rebound.,39,81
4:40,2633,Foul on James Daniel III.,39,81
4:40,2272,Jamal Wright made Free Throw.,40,81
4:40,2272,Jamal Wright made Free Throw.,41,81
4:23,2633,Lamonte Turner missed Three Point Jumper.,41,81
4:23,2272,Jamal Wright Defensive Rebound.,41,81
4:13,2633,Foul on James Daniel III.,41,81
4:13,2272,Justyn Mutts made Free Throw.,42,81
4:13,2272,Justyn Mutts missed Free Throw.,42,81
4:13,2633,John Fulkerson Defensive Rebound.,42,81
4:00,2633,James Daniel III made Three Point Jumper. Assisted by Derrick Walker.,42,84
3:51,2272,Andre Fox made Layup.,44,84
3:31,2633,Brad Woodson missed Three Point Jumper.,44,84
3:31,2272,Andre Fox Defensive Rebound.,44,84
3:22,2633,Official TV Timeout,44,84
3:18,2272,Brandon Kamga missed Jumper.,44,84
3:18,2272,Jordan Whitehead Offensive Rebound.,44,84
3:14,2272,Andre Fox made Three Point Jumper. Assisted by Jordan Whitehead.,47,84
2:44,2633,Jalen Johnson missed Jumper.,47,84
2:44,2272,Brandon Kamga Defensive Rebound.,47,84
2:31,2272,Brandon Kamga made Three Point Jumper. Assisted by Andre Fox.,50,84
1:59,2633,Brad Woodson missed Three Point Jumper.,50,84
1:59,2272,Jahaad Proctor Defensive Rebound.,50,84
1:47,2272,Jahaad Proctor made Three Point Jumper.,53,84
1:44,2633,Tennessee  Timeout,53,84
1:18,2633,Derrick Walker missed Layup.,53,84
1:18,2272,Cliff Thomas Jr. Block.,53,84
1:16,2633,Zach Kent Offensive Rebound.,53,84
1:16,2633,Tennessee  Turnover.,53,84
1:00,2272,Denny Slay missed Three Point Jumper.,53,84
1:00,2633,Lucas Campbell Defensive Rebound.,53,84
0:33,2633,Zach Kent missed Jumper.,53,84
0:33,2272,Andre Fox Defensive Rebound.,53,84
0:21,2272,Austin White missed Jumper.,53,84
0:21,2633,Derrick Walker Defensive Rebound.,53,84
0:00,2633,End of Game,53,84
