Willamette,Error,Portland St,2502
16:06,2502,Deante Strickland made Three Point Jumper. Assisted by Holland Woods.,2,18
15:57,-1,Casey Thornton Turnover.,2,18
15:56,2502,Deante Strickland Steal.,2,18
15:54,2502,Official TV Timeout,2,18
15:37,2502,Ryan Edwards missed Jumper.,2,18
15:37,-1,Brendon McCullough Defensive Rebound.,2,18
15:28,-1,Casey Thornton Turnover.,2,18
15:26,2502,Ryan Edwards Steal.,2,18
15:02,2502,Brandon Hollins made Jumper. Assisted by Holland Woods.,2,20
14:51,-1,Jordan Jenkins missed Layup.,2,20
14:51,2502,Brandon Hollins Defensive Rebound.,2,20
14:41,2502,Deante Strickland made Layup.,2,22
14:23,-1,Jordan Jenkins Turnover.,2,22
14:21,2502,Michael Mayhew Steal.,2,22
14:19,2502,Brandon Hollins made Dunk. Assisted by Michael Mayhew.,2,24
13:55,-1,Nathan Sherfey made Three Point Jumper. Assisted by Conin Oishi.,5,24
13:45,2502,Ryan Edwards Turnover.,5,24
13:44,-1,Conin Oishi Steal.,5,24
13:38,-1,Dylan Critchfield missed Jumper.,5,24
13:38,2502,Brandon Hollins Defensive Rebound.,5,24
13:26,2502,Deante Strickland made Three Point Jumper. Assisted by Holland Woods.,5,27
13:10,-1,Nico Troplent missed Three Point Jumper.,5,27
13:10,2502,Brandon Hollins Defensive Rebound.,5,27
13:06,2502,Brandon Hollins Turnover.,5,27
13:05,-1,Nico Troplent Steal.,5,27
13:04,-1,Dylan Critchfield Turnover.,5,27
12:41,2502,Brendan Rumel missed Jumper.,5,27
12:41,-1,Willamette Defensive Rebound.,5,27
12:28,-1,Jameson Willems Turnover.,5,27
12:26,2502,Deontae North Steal.,5,27
12:24,2502,Brandon Hollins made Layup. Assisted by Deontae North.,5,29
12:15,-1,CJ Walker Turnover.,5,29
12:12,2502,Holland Woods Steal.,5,29
12:11,2502,Brandon Hollins missed Jumper.,5,29
12:11,2502,Brandon Hollins Offensive Rebound.,5,29
12:11,2502,Brandon Hollins made Jumper.,5,31
12:11,-1,Willamette  Timeout,5,31
12:11,2502,Official TV Timeout,5,31
11:43,2502,Foul on Brendan Rumel.,5,31
11:30,-1,Trent Callan made Jumper. Assisted by Brendon McCullough.,7,31
11:16,2502,Deontae North missed Three Point Jumper.,7,31
11:16,2502,Holland Woods Offensive Rebound.,7,31
11:12,2502,Holland Woods Turnover.,7,31
10:59,-1,Jordan Jenkins missed Three Point Jumper.,7,31
10:59,-1,Willamette Offensive Rebound.,7,31
10:40,-1,Nico Troplent made Layup.,9,31
10:33,-1,Foul on Jordan Jenkins.,9,31
10:26,2502,Holland Woods made Layup.,9,33
10:14,-1,Caleb Roberts Turnover.,9,33
10:13,2502,Bryce Canda Steal.,9,33
10:10,2502,Devyn Wilson missed Three Point Jumper.,9,33
10:10,-1,Caleb Roberts Defensive Rebound.,9,33
10:06,2502,Foul on Holland Woods.,9,33
10:00,-1,Conin Oishi made Three Point Jumper. Assisted by Caleb Roberts.,12,33
9:35,2502,Ryan Edwards made Jumper. Assisted by Deontae North.,12,35
9:23,2502,Foul on Deante Strickland.,12,35
9:18,-1,Caleb Roberts missed Three Point Jumper.,12,35
9:18,2502,Michael Mayhew Defensive Rebound.,12,35
9:10,2502,Portland State  Timeout,12,35
8:54,-1,Foul on Dylan Critchfield.,12,35
8:54,2502,Deontae North made Free Throw.,12,36
8:54,2502,Deontae North made Free Throw.,12,37
8:34,-1,Dylan Critchfield made Layup. Assisted by Jordan Jenkins.,14,37
8:15,2502,Holland Woods missed Three Point Jumper.,14,37
8:15,-1,Jordan Jenkins Defensive Rebound.,14,37
8:04,-1,Conin Oishi Turnover.,14,37
8:01,2502,Michael Mayhew made Three Point Jumper.,14,40
7:53,-1,Caleb Roberts missed Three Point Jumper.,14,40
7:53,2502,Bryce Canda Defensive Rebound.,14,40
7:42,2502,Ryan Edwards Turnover.,14,40
7:42,2502,Foul on Ryan Edwards.,14,40
7:42,2502,Official TV Timeout,14,40
7:32,-1,Brendon McCullough missed Jumper.,14,40
7:32,2502,Brendan Rumel Defensive Rebound.,14,40
7:20,2502,Brandon Hollins made Layup. Assisted by Holland Woods.,14,42
7:04,-1,Jordan Jenkins missed Layup.,14,42
7:04,2502,Bryce Canda Defensive Rebound.,14,42
6:59,2502,Bryce Canda Turnover.,14,42
6:52,-1,Jordan Jenkins made Dunk.,16,42
6:27,2502,Bryce Canda missed Three Point Jumper.,16,42
6:27,-1,Jordan Jenkins Defensive Rebound.,16,42
6:09,-1,Jameson Willems made Three Point Jumper. Assisted by Jordan Jenkins.,19,42
5:57,2502,Michael Mayhew made Three Point Jumper. Assisted by Bryce Canda.,19,45
5:43,-1,Jameson Willems missed Three Point Jumper.,19,45
5:43,2502,Bryce Canda Defensive Rebound.,19,45
5:35,2502,Bryce Canda Turnover.,19,45
5:33,-1,Brendon McCullough Steal.,19,45
5:31,-1,Conin Oishi made Layup. Assisted by Brendon McCullough.,21,45
5:13,2502,Holland Woods made Three Point Jumper.,21,48
4:58,-1,Nathan Sherfey missed Three Point Jumper.,21,48
4:58,2502,Brandon Hollins Defensive Rebound.,21,48
4:50,2502,Brendan Rumel made Dunk. Assisted by Holland Woods.,21,50
4:29,-1,Conin Oishi missed Three Point Jumper.,21,50
4:29,-1,Jameson Willems Offensive Rebound.,21,50
4:22,-1,Brendon McCullough made Three Point Jumper. Assisted by Jordan Jenkins.,24,50
4:07,2502,Bryce Canda made Jumper.,24,52
3:55,2502,Official TV Timeout,24,52
3:53,-1,Trent Callan Turnover.,24,52
3:38,2502,Bryce Canda missed Three Point Jumper.,24,52
3:38,2502,Deontae North Offensive Rebound.,24,52
3:33,2502,Deontae North made Jumper.,24,54
3:19,-1,Nico Troplent Turnover.,24,54
3:17,2502,Devyn Wilson Steal.,24,54
3:14,2502,Deontae North missed Three Point Jumper.,24,54
3:14,-1,Jameson Willems Defensive Rebound.,24,54
3:11,2502,Foul on Devyn Wilson.,24,54
3:11,-1,Jameson Willems made Free Throw.,25,54
3:11,-1,Jameson Willems missed Free Throw.,25,54
3:11,2502,Portland State Defensive Rebound.,25,54
3:11,-1,Foul on Casey Thornton.,25,54
2:57,2502,Devyn Wilson missed Jumper.,25,54
2:57,-1,Casey Thornton Defensive Rebound.,25,54
2:54,2502,Foul on Brendan Rumel.,25,54
2:54,-1,Casey Thornton made Free Throw.,26,54
2:54,-1,Casey Thornton made Free Throw.,27,54
2:43,2502,Bryce Canda made Jumper. Assisted by Deontae North.,27,56
2:22,2502,Foul on Deante Strickland.,27,56
2:22,-1,CJ Walker missed Free Throw.,27,56
2:22,-1,Willamette Deadball Team Rebound.,27,56
2:22,-1,CJ Walker made Free Throw.,28,56
2:02,2502,Brandon Hollins missed Jumper.,28,56
2:02,2502,Deontae North Offensive Rebound.,28,56
1:54,2502,Deontae North made Jumper.,28,58
1:34,-1,Jordan Jenkins missed Layup.,28,58
1:34,2502,Brandon Hollins Defensive Rebound.,28,58
1:18,2502,Devyn Wilson missed Three Point Jumper.,28,58
1:18,-1,Nico Troplent Defensive Rebound.,28,58
1:11,-1,Casey Thornton made Jumper. Assisted by Nico Troplent.,30,58
1:02,2502,Holland Woods missed Jumper.,30,58
1:02,-1,Trent Callan Defensive Rebound.,30,58
0:43,-1,Jordan Jenkins missed Jumper.,30,58
0:43,-1,Nico Troplent Offensive Rebound.,30,58
0:40,-1,Nico Troplent missed Jumper.,30,58
0:40,2502,Bryce Canda Defensive Rebound.,30,58
0:11,2502,Holland Woods missed Jumper.,30,58
0:11,-1,Casey Thornton Defensive Rebound.,30,58
0:03,-1,Casey Thornton Turnover.,30,58
0:02,2502,Holland Woods Steal.,30,58
0:00,2502,Holland Woods missed Three Point Jumper.,30,58
0:00,2502,Portland State Deadball Team Rebound.,30,58
0:00,2502,End of 1st half,30,58
19:42,-1,Jordan Jenkins made Three Point Jumper. Assisted by CJ Walker.,33,58
19:29,-1,Foul on Jordan Jenkins.,33,58
19:27,2502,Ryan Edwards made Layup. Assisted by Deante Strickland.,33,60
19:15,-1,Trent Callan missed Three Point Jumper.,33,60
19:15,-1,Brendon McCullough Offensive Rebound.,33,60
19:07,-1,Brendon McCullough missed Three Point Jumper.,33,60
19:07,2502,Bryce Canda Defensive Rebound.,33,60
18:57,2502,Deontae North made Jumper.,33,62
18:48,-1,CJ Walker Turnover.,33,62
18:46,2502,Deontae North Steal.,33,62
18:43,2502,Ryan Edwards made Three Point Jumper. Assisted by Deontae North.,33,65
18:24,-1,Brendon McCullough made Three Point Jumper. Assisted by Jordan Jenkins.,36,65
18:12,2502,Deante Strickland Turnover.,36,65
17:53,2502,Foul on Deante Strickland.,36,65
17:47,-1,Jordan Jenkins missed Jumper.,36,65
17:47,2502,Bryce Canda Defensive Rebound.,36,65
17:36,2502,Deontae North Turnover.,36,65
17:36,-1,Nico Troplent Steal.,36,65
17:36,2502,Foul on Deontae North.,36,65
17:23,-1,Trent Callan Turnover.,36,65
17:21,2502,Deante Strickland Steal.,36,65
17:18,2502,Bryce Canda made Dunk. Assisted by Deante Strickland.,36,67
17:02,-1,Trent Callan Turnover.,36,67
16:48,2502,Ryan Edwards made Jumper.,36,69
16:22,-1,CJ Walker Turnover.,36,69
16:20,2502,Bryce Canda Steal.,36,69
16:18,2502,Deante Strickland missed Three Point Jumper.,36,69
16:18,-1,Nico Troplent Defensive Rebound.,36,69
16:11,-1,Brendon McCullough missed Three Point Jumper.,36,69
16:11,2502,Deontae North Defensive Rebound.,36,69
16:02,2502,Deante Strickland made Layup. Assisted by Holland Woods.,36,71
16:02,-1,Foul on Jordan Jenkins.,36,71
16:02,2502,Deante Strickland missed Free Throw.,36,71
16:02,-1,Dylan Critchfield Defensive Rebound.,36,71
15:33,-1,Nico Troplent missed Jumper.,36,71
15:33,-1,Nico Troplent Offensive Rebound.,36,71
15:30,2502,Foul on Ryan Edwards.,36,71
15:30,2502,Official TV Timeout,36,71
15:23,-1,Jameson Willems made Three Point Jumper. Assisted by Conin Oishi.,39,71
14:53,2502,Brendan Rumel Turnover.,39,71
14:53,2502,Foul on Brendan Rumel.,39,71
14:46,-1,Nathan Sherfey missed Layup.,39,71
14:46,2502,Michael Mayhew Defensive Rebound.,39,71
14:39,2502,Brendan Rumel made Layup. Assisted by Deante Strickland.,39,73
14:39,-1,Foul on Dylan Critchfield.,39,73
14:39,2502,Brendan Rumel made Free Throw.,39,74
14:34,-1,Conin Oishi Turnover.,39,74
14:31,2502,Bryce Canda Steal.,39,74
14:29,2502,Brandon Hollins missed Jumper.,39,74
14:29,-1,Jameson Willems Defensive Rebound.,39,74
14:27,2502,Foul on Brendan Rumel.,39,74
14:23,-1,Nico Troplent made Three Point Jumper. Assisted by Nathan Sherfey.,42,74
14:05,2502,Ryan Edwards missed Jumper.,42,74
14:05,-1,Jameson Willems Defensive Rebound.,42,74
13:57,-1,Nathan Sherfey missed Three Point Jumper.,42,74
13:57,2502,Brandon Hollins Defensive Rebound.,42,74
13:50,2502,Holland Woods made Layup. Assisted by Brandon Hollins.,42,76
13:34,-1,Jameson Willems missed Three Point Jumper.,42,76
13:34,2502,Bryce Canda Defensive Rebound.,42,76
13:23,2502,Michael Mayhew missed Three Point Jumper.,42,76
13:23,2502,Ryan Edwards Offensive Rebound.,42,76
13:15,2502,Bryce Canda missed Three Point Jumper.,42,76
13:15,-1,Nico Troplent Defensive Rebound.,42,76
12:59,-1,Nathan Sherfey made Three Point Jumper. Assisted by Casey Thornton.,45,76
12:40,2502,Ryan Edwards made Three Point Jumper. Assisted by Michael Mayhew.,45,79
12:26,-1,Casey Thornton missed Jumper.,45,79
12:26,2502,Bryce Canda Defensive Rebound.,45,79
12:12,2502,Holland Woods made Layup.,45,81
12:11,-1,Foul on Casey Thornton.,45,81
12:11,2502,Holland Woods missed Free Throw.,45,81
12:11,2502,Brandon Hollins Offensive Rebound.,45,81
12:08,2502,Brandon Hollins missed Jumper.,45,81
12:08,-1,Jordan Jenkins Defensive Rebound.,45,81
12:07,2502,Foul on Brandon Hollins.,45,81
11:56,-1,Trent Callan Turnover.,45,81
11:54,2502,Brandon Hollins Steal.,45,81
11:51,2502,Brandon Hollins made Layup.,45,83
11:39,-1,Casey Thornton missed Three Point Jumper.,45,83
11:39,2502,Brandon Hollins Defensive Rebound.,45,83
11:28,-1,Foul on Jordan Jenkins.,45,83
11:28,2502,Official TV Timeout,45,83
11:20,2502,Deante Strickland made Jumper.,45,85
11:07,-1,Brendon McCullough missed Jumper.,45,85
11:07,2502,Ryan Edwards Block.,45,85
11:06,2502,Ryan Edwards Defensive Rebound.,45,85
11:02,2502,Deante Strickland missed Layup.,45,85
11:02,2502,Bryce Canda Offensive Rebound.,45,85
10:55,2502,Bryce Canda made Layup.,45,87
10:38,-1,Brendon McCullough Turnover.,45,87
10:28,2502,Deontae North made Three Point Jumper. Assisted by Bryce Canda.,45,90
10:02,-1,Jordan Jenkins made Jumper.,47,90
10:01,2502,Foul on Ryan Edwards.,47,90
10:01,-1,Jordan Jenkins made Free Throw.,48,90
9:46,2502,Deontae North made Layup.,48,92
9:35,-1,Brendon McCullough missed Jumper.,48,92
9:35,2502,Brandon Hollins Defensive Rebound.,48,92
9:29,2502,Bryce Canda made Dunk. Assisted by Holland Woods.,48,94
9:21,-1,CJ Walker Turnover.,48,94
9:15,2502,Michael Mayhew Turnover.,48,94
8:47,-1,Nico Troplent Turnover.,48,94
8:26,2502,Holland Woods missed Layup.,48,94
8:26,2502,Portland State Offensive Rebound.,48,94
8:25,2502,Official TV Timeout,48,94
8:25,-1,Foul on Nico Troplent.,48,94
8:25,2502,Portland State  Timeout,48,94
8:13,-1,Foul on Brendan Peterson.,48,94
8:13,2502,Vonte Carter missed Free Throw.,48,94
8:13,-1,Dylan Critchfield Defensive Rebound.,48,94
8:05,2502,Foul on Brandon Hollins.,48,94
8:05,-1,Jordan Jenkins missed Free Throw.,48,94
8:05,2502,Brandon Hollins Defensive Rebound.,48,94
7:59,2502,Deontae North made Three Point Jumper.,48,97
7:45,2502,Foul on Michael Mayhew.,48,97
7:45,2502,Official TV Timeout,48,97
7:45,-1,Trent Callan made Free Throw.,49,97
7:45,-1,Trent Callan made Free Throw.,50,97
7:23,2502,Brandon Hollins Turnover.,50,97
6:57,-1,Nico Troplent made Layup.,52,97
6:34,2502,Deontae North missed Three Point Jumper.,52,97
6:34,-1,Willamette Defensive Rebound.,52,97
6:32,2502,Foul on Holland Woods.,52,97
6:32,-1,Conin Oishi made Free Throw.,53,97
6:32,-1,Conin Oishi made Free Throw.,54,97
6:17,2502,Vonte Carter missed Three Point Jumper.,54,97
6:17,2502,Devyn Wilson Offensive Rebound.,54,97
6:13,2502,Devyn Wilson missed Jumper.,54,97
6:13,2502,Brendan Rumel Offensive Rebound.,54,97
6:11,-1,Foul on Brendan Peterson.,54,97
6:11,2502,Brendan Rumel made Free Throw.,54,98
6:11,2502,Brendan Rumel missed Free Throw.,54,98
6:11,-1,Dylan Critchfield Defensive Rebound.,54,98
5:46,-1,Jameson Willems made Three Point Jumper. Assisted by Dylan Critchfield.,57,98
5:38,2502,Devyn Wilson missed Three Point Jumper.,57,98
5:38,2502,Brendan Rumel Offensive Rebound.,57,98
5:33,2502,Brendan Rumel made Jumper.,57,100
5:14,-1,Joshua Stubbs missed Jumper.,57,100
5:14,2502,Holland Woods Block.,57,100
5:13,-1,Jameson Willems Offensive Rebound.,57,100
5:10,-1,Jameson Willems missed Jumper.,57,100
5:10,2502,Brendan Rumel Defensive Rebound.,57,100
5:05,2502,Devyn Wilson made Layup.,57,102
4:49,-1,Willamette  Timeout,57,102
4:43,-1,Joshua Stubbs missed Jumper.,57,102
4:43,-1,Dylan Critchfield Offensive Rebound.,57,102
4:29,-1,Brendan Peterson missed Jumper.,57,102
4:29,2502,Brendan Rumel Block.,57,102
4:27,2502,Vonte Carter Defensive Rebound.,57,102
4:23,2502,Vonte Carter made Layup.,57,104
4:23,-1,Foul on Joshua Stubbs.,57,104
4:23,2502,Vonte Carter made Free Throw.,57,105
4:13,-1,Dylan Critchfield Turnover.,57,105
4:13,-1,Foul on Dylan Critchfield.,57,105
3:58,2502,Vonte Carter Turnover.,57,105
3:57,-1,Conin Oishi Steal.,57,105
3:54,-1,Conin Oishi missed Layup.,57,105
3:54,2502,Vonte Carter Block.,57,105
3:53,-1,Willamette Offensive Rebound.,57,105
3:53,2502,Official TV Timeout,57,105
3:38,-1,Jeff Sutherland missed Jumper.,57,105
3:38,2502,Brendan Rumel Defensive Rebound.,57,105
3:21,2502,Vonte Carter missed Jumper.,57,105
3:21,-1,Joshua Stubbs Defensive Rebound.,57,105
3:08,-1,Conin Oishi missed Jumper.,57,105
3:08,2502,Brendan Rumel Defensive Rebound.,57,105
2:53,2502,Brendan Rumel missed Jumper.,57,105
2:53,2502,Brandon Hollins Offensive Rebound.,57,105
2:49,2502,Brandon Hollins missed Jumper.,57,105
2:49,-1,Joshua Stubbs Defensive Rebound.,57,105
2:39,-1,Caleb Roberts made Layup.,59,105
2:13,2502,Vonte Carter made Layup.,59,107
1:58,-1,Conin Oishi Turnover.,59,107
1:56,2502,Deante Strickland Steal.,59,107
1:53,2502,Vonte Carter made Layup. Assisted by Deante Strickland.,59,109
1:29,-1,Caleb Roberts missed Jumper.,59,109
1:29,-1,CJ Walker Offensive Rebound.,59,109
1:22,-1,CJ Walker Turnover.,59,109
1:20,2502,Devyn Wilson Steal.,59,109
1:17,2502,Devyn Wilson Turnover.,59,109
1:15,-1,Caleb Roberts Steal.,59,109
1:12,2502,Foul on Devyn Wilson.,59,109
1:12,-1,Caleb Roberts missed Free Throw.,59,109
1:12,-1,Willamette Deadball Team Rebound.,59,109
1:12,-1,Caleb Roberts made Free Throw.,60,109
0:59,2502,Devyn Wilson missed Three Point Jumper.,60,109
0:59,-1,Conin Oishi Defensive Rebound.,60,109
0:46,-1,CJ Walker missed Jumper.,60,109
0:46,2502,Brandon Hollins Defensive Rebound.,60,109
0:35,2502,Deante Strickland missed Jumper.,60,109
0:35,2502,Brendan Rumel Offensive Rebound.,60,109
0:32,2502,Brendan Rumel made Jumper.,60,111
0:21,-1,Caleb Roberts missed Three Point Jumper.,60,111
0:21,2502,Brandon Hollins Defensive Rebound.,60,111
0:00,2502,End of Game,60,111
