John Jay College of Criminal Justice,349,Army,212
3:00,-1,MiKing Richardson made Free Throw.,20,48
2:45,349,Jordan Fox missed Layup.,20,48
2:45,349,Jordan Fox Offensive Rebound.,20,48
2:37,349,Jacob Kessler Turnover.,20,48
2:35,-1,Hakeem Animashaun Steal.,20,48
2:32,-1,Hakeem Animashaun missed Layup.,20,48
2:32,349,Jordan Fox Defensive Rebound.,20,48
2:13,349,Luke Morrison made Three Point Jumper. Assisted by John Miller.,20,51
1:42,-1,Luciano Cruz-Fernandez missed Layup.,20,51
1:42,349,John Miller Block.,20,51
1:40,-1,John Jay Offensive Rebound.,20,51
1:34,-1,MiKing Richardson Turnover.,20,51
1:11,349,Luke Morrison missed Jumper.,20,51
1:11,-1,Kyle LaGuardia Defensive Rebound.,20,51
0:54,-1,Essien Epps missed Jumper.,20,51
0:54,349,John Miller Defensive Rebound.,20,51
0:45,349,John Emezie missed Three Point Jumper.,20,51
0:45,-1,Matt Hudzik Defensive Rebound.,20,51
0:41,349,Foul on John Miller.,20,51
0:41,-1,Matt Hudzik missed Free Throw.,20,51
0:41,349,Alex King Defensive Rebound.,20,51
0:37,349,Lonnie Grayson missed Layup.,20,51
0:37,-1,Essien Epps Defensive Rebound.,20,51
0:28,-1,Jerome Petty missed Jumper.,20,51
0:28,349,John Emezie Defensive Rebound.,20,51
0:12,349,Lonnie Grayson missed Three Point Jumper.,20,51
0:12,-1,Essien Epps Defensive Rebound.,20,51
0:00,349,End of 1st half,20,51
19:41,-1,Essien Epps missed Jumper.,20,51
19:41,349,Jacob Kessler Defensive Rebound.,20,51
19:31,349,Matthew Wilson missed Layup.,20,51
19:31,-1,Hakeem Animashaun Defensive Rebound.,20,51
19:13,-1,Doug Levy missed Jumper.,20,51
19:13,349,Jacob Kessler Defensive Rebound.,20,51
19:03,349,Luke Morrison made Three Point Jumper. Assisted by Jacob Kessler.,20,54
18:50,-1,Luciano Cruz-Fernandez made Jumper.,22,54
18:39,349,Luke Morrison made Three Point Jumper. Assisted by Jordan Fox.,22,57
18:09,-1,Hakeem Animashaun missed Jumper.,22,57
18:09,349,Jacob Kessler Defensive Rebound.,22,57
18:02,349,Thomas Funk missed Layup.,22,57
18:02,-1,Luciano Cruz-Fernandez Defensive Rebound.,22,57
17:51,349,Foul on Thomas Funk.,22,57
17:45,-1,Luciano Cruz-Fernandez Turnover.,22,57
17:43,349,Thomas Funk Steal.,22,57
17:30,349,Thomas Funk Turnover.,22,57
17:28,-1,Jerome Petty Steal.,22,57
17:17,-1,Kyle LaGuardia made Three Point Jumper. Assisted by MiKing Richardson.,25,57
17:10,349,Thomas Funk Turnover.,25,57
17:10,349,Foul on Thomas Funk.,25,57
17:01,-1,MiKing Richardson Turnover.,25,57
16:53,-1,Foul on MiKing Richardson.,25,57
16:48,349,Alex King Turnover.,25,57
16:27,-1,Jerome Petty missed Three Point Jumper.,25,57
16:27,349,John Miller Defensive Rebound.,25,57
16:18,349,Jordan Fox missed Jumper.,25,57
16:18,-1,Essien Epps Defensive Rebound.,25,57
16:11,-1,Essien Epps Turnover.,25,57
16:10,349,John Miller Steal.,25,57
16:04,-1,Foul on Jerome Petty.,25,57
16:04,349,Tucker Blackwell made Free Throw.,25,58
16:04,349,Tucker Blackwell made Free Throw.,25,59
15:56,-1,Kyle LaGuardia missed Three Point Jumper.,25,59
15:56,349,Tucker Blackwell Defensive Rebound.,25,59
15:33,349,Alex King missed Layup.,25,59
15:33,-1,Essien Epps Defensive Rebound.,25,59
15:25,-1,Essien Epps made Layup.,27,59
15:25,349,Foul on Tucker Blackwell.,27,59
15:25,349,Official TV Timeout,27,59
15:25,-1,Essien Epps missed Free Throw.,27,59
15:25,349,Babacar Thiombane Defensive Rebound.,27,59
15:13,349,John Emezie Turnover.,27,59
15:12,-1,Jerome Petty Steal.,27,59
15:08,-1,Jerome Petty missed Layup.,27,59
15:08,349,John Emezie Defensive Rebound.,27,59
15:04,349,John Emezie Turnover.,27,59
15:03,-1,Kyle LaGuardia Steal.,27,59
15:02,-1,Essien Epps missed Jumper.,27,59
15:02,-1,Essien Epps Offensive Rebound.,27,59
14:56,-1,Essien Epps missed Jumper.,27,59
14:56,349,Alex King Block.,27,59
14:53,349,John Emezie Defensive Rebound.,27,59
14:46,349,Alex King missed Three Point Jumper.,27,59
14:46,349,Alex King Offensive Rebound.,27,59
14:40,349,Alex King missed Layup.,27,59
14:40,349,Army Offensive Rebound.,27,59
14:23,349,Matthew Wilson made Layup. Assisted by Tucker Blackwell.,27,61
13:59,-1,Kyle LaGuardia missed Layup.,27,61
13:59,349,Army Defensive Rebound.,27,61
13:43,349,Jordan Fox missed Three Point Jumper.,27,61
13:43,-1,Hakeem Animashaun Defensive Rebound.,27,61
13:15,-1,Hakeem Animashaun missed Jumper.,27,61
13:15,349,Jacob Kessler Defensive Rebound.,27,61
13:07,349,Jordan Fox made Jumper.,27,63
12:34,-1,Kyle LaGuardia made Layup.,29,63
12:34,349,Foul on Matthew Wilson.,29,63
12:34,-1,Kyle LaGuardia missed Free Throw.,29,63
12:34,349,Luke Morrison Defensive Rebound.,29,63
12:22,349,Jordan Fox made Layup.,29,65
12:01,-1,Luciano Cruz-Fernandez missed Jumper.,29,65
12:01,349,Matthew Wilson Defensive Rebound.,29,65
11:54,349,Thomas Funk Turnover.,29,65
11:52,-1,Jordan Aiken Steal.,29,65
11:49,349,Foul on Jordan Fox.,29,65
11:49,349,Official TV Timeout,29,65
11:49,-1,Hakeem Animashaun missed Free Throw.,29,65
11:49,-1,John Jay Deadball Team Rebound.,29,65
11:49,-1,Hakeem Animashaun made Free Throw.,30,65
11:29,349,Tucker Blackwell made Jumper.,30,67
11:20,-1,Luciano Cruz-Fernandez Turnover.,30,67
11:10,349,John Emezie missed Jumper.,30,67
11:10,-1,Luciano Cruz-Fernandez Block.,30,67
11:08,-1,Kyle LaGuardia Defensive Rebound.,30,67
10:50,-1,Doug Levy made Jumper.,32,67
10:34,349,Lonnie Grayson missed Three Point Jumper.,32,67
10:34,-1,Essien Epps Defensive Rebound.,32,67
10:05,-1,Doug Levy missed Three Point Jumper.,32,67
10:05,349,Army Defensive Rebound.,32,67
9:49,349,John Emezie missed Three Point Jumper.,32,67
9:49,349,Tucker Blackwell Offensive Rebound.,32,67
9:44,349,Alex King made Three Point Jumper. Assisted by Tucker Blackwell.,32,70
9:21,-1,Kyle LaGuardia Turnover.,32,70
9:20,349,Lonnie Grayson Steal.,32,70
9:18,349,Lonnie Grayson made Layup.,32,72
9:11,-1,John Jay  Timeout,32,72
8:57,-1,Doug Levy missed Layup.,32,72
8:57,349,Babacar Thiombane Block.,32,72
8:53,349,Lonnie Grayson Defensive Rebound.,32,72
8:46,349,Tucker Blackwell made Layup.,32,74
8:37,-1,MiKing Richardson Turnover.,32,74
8:37,-1,Essien Epps missed Three Point Jumper.,32,74
8:37,349,Jacob Kessler Defensive Rebound.,32,74
8:10,349,Jacob Kessler missed Three Point Jumper.,32,74
8:10,-1,Eric Pujols Defensive Rebound.,32,74
7:54,-1,Foul on Doug Levy.,32,74
7:54,349,Official TV Timeout,32,74
7:54,349,Parker Fennema made Free Throw.,32,75
7:54,349,Parker Fennema missed Free Throw.,32,75
7:54,-1,Doug Levy Defensive Rebound.,32,75
7:38,-1,Jerome Petty made Three Point Jumper. Assisted by Essien Epps.,35,75
7:29,-1,Foul on Jerome Petty.,35,75
7:29,349,Mark Madden made Free Throw.,35,76
7:29,349,Mark Madden made Free Throw.,35,77
7:16,-1,Doug Levy Turnover.,35,77
7:15,349,Mark Madden Steal.,35,77
7:12,349,Mark Madden made Layup.,35,79
6:51,349,Foul on Cayne Edwards.,35,79
6:51,-1,MiKing Richardson made Free Throw.,36,79
6:51,-1,MiKing Richardson made Free Throw.,37,79
6:31,-1,Foul on Hakeem Animashaun.,37,79
6:27,349,Mark Madden Turnover.,37,79
6:25,-1,MiKing Richardson Steal.,37,79
6:20,-1,Myles Mills missed Three Point Jumper.,37,79
6:20,349,Parker Fennema Defensive Rebound.,37,79
6:13,349,Parker Fennema Turnover.,37,79
6:12,-1,Myles Mills Steal.,37,79
6:07,-1,MiKing Richardson made Layup.,39,79
5:54,349,Jason Houle missed Three Point Jumper.,39,79
5:54,-1,Essien Epps Defensive Rebound.,39,79
5:34,-1,Matt Hudzik missed Three Point Jumper.,39,79
5:34,349,Mark Madden Defensive Rebound.,39,79
5:27,349,Parker Fennema missed Three Point Jumper.,39,79
5:27,-1,Hakeem Animashaun Defensive Rebound.,39,79
5:14,-1,Essien Epps missed Jumper.,39,79
5:14,-1,John Jay Offensive Rebound.,39,79
5:04,-1,Kyle LaGuardia Turnover.,39,79
5:04,-1,Foul on Kyle LaGuardia.,39,79
4:50,349,Jason Houle Turnover.,39,79
4:48,-1,MiKing Richardson Steal.,39,79
4:43,-1,Essien Epps missed Layup.,39,79
4:43,349,Cayne Edwards Defensive Rebound.,39,79
4:32,349,Lonnie Grayson missed Layup.,39,79
4:32,349,Cayne Edwards Offensive Rebound.,39,79
4:26,349,Cayne Edwards made Layup.,39,81
4:11,-1,Matt Hudzik Turnover.,39,81
4:10,349,Cayne Edwards Steal.,39,81
4:04,349,Mark Pollack missed Layup.,39,81
4:04,-1,Kyle LaGuardia Defensive Rebound.,39,81
3:55,-1,MiKing Richardson missed Jumper.,39,81
3:55,349,Lonnie Grayson Defensive Rebound.,39,81
3:46,349,Official TV Timeout,39,81
3:45,349,Will Culliton made Layup. Assisted by Lance Lawson.,39,83
3:33,-1,Matt Hudzik missed Jumper.,39,83
3:33,349,Mark Pollack Defensive Rebound.,39,83
3:23,349,Mark Pollack missed Three Point Jumper.,39,83
3:23,-1,Essien Epps Defensive Rebound.,39,83
3:15,349,Foul on Mark Pollack.,39,83
3:15,-1,Essien Epps made Free Throw.,40,83
3:15,-1,Essien Epps missed Free Throw.,40,83
3:15,349,Keeston Smith Defensive Rebound.,40,83
2:58,349,Will Culliton missed Three Point Jumper.,40,83
2:58,-1,Essien Epps Defensive Rebound.,40,83
2:50,-1,Jerome Petty missed Three Point Jumper.,40,83
2:50,349,Army Defensive Rebound.,40,83
2:23,349,Will Culliton Turnover.,40,83
2:21,-1,Eric Pujols Steal.,40,83
2:17,-1,Oneil Smith missed Jumper.,40,83
2:17,349,Mark Pollack Block.,40,83
2:15,349,Cayne Edwards Defensive Rebound.,40,83
2:15,-1,Foul on Odis Gause.,40,83
2:15,349,Cayne Edwards made Free Throw.,40,84
2:15,349,Cayne Edwards made Free Throw.,40,85
2:01,-1,Eric Pujols missed Three Point Jumper.,40,85
2:01,349,Cayne Edwards Defensive Rebound.,40,85
1:49,-1,Foul on Oneil Smith.,40,85
1:49,349,Cayne Edwards made Free Throw.,40,86
1:49,349,Cayne Edwards made Free Throw.,40,87
1:29,-1,Jerome Petty missed Three Point Jumper.,40,87
1:29,349,Will Culliton Defensive Rebound.,40,87
1:16,349,Cayne Edwards made Layup. Assisted by Lance Lawson.,40,89
0:59,-1,Eric Pujols made Three Point Jumper. Assisted by Oneil Smith.,43,89
0:51,349,Mark Pollack made Three Point Jumper. Assisted by Lance Lawson.,43,92
0:29,-1,Jordan Aiken missed Jumper.,43,92
0:29,349,Cayne Edwards Defensive Rebound.,43,92
0:01,349,Army  Turnover.,43,92
0:00,349,End of Game,43,92
