San Francisco St.,Error,Long Beach State,299
9:47,-1,Foul on Tyler Jackson.,19,23
9:47,-1,Tyler Jackson Turnover.,19,23
9:40,299,LaRond Williams missed Jumper.,19,23
9:40,-1,San Francisco St Defensive Rebound.,19,23
9:19,-1,Evan Zeller missed Three Point Jumper.,19,23
9:19,299,Jordan Griffin Defensive Rebound.,19,23
9:15,299,Edon Maxhuni missed Three Point Jumper.,19,23
9:15,299,KJ Byers Offensive Rebound.,19,23
9:09,299,Jordan Griffin made Three Point Jumper. Assisted by KJ Byers.,19,26
9:01,-1,Evan Zeller made Layup. Assisted by Warren Jackson.,21,26
8:53,299,Javonntie Jackson Turnover.,21,26
8:41,-1,Evan Zeller Turnover.,21,26
8:40,299,LaRond Williams Steal.,21,26
8:36,299,Jordan Roberts Turnover.,21,26
8:35,-1,Jase Wickliffe Steal.,21,26
8:28,-1,Evan Zeller made Three Point Jumper. Assisted by Jase Wickliffe.,24,26
8:07,299,Jordan Roberts missed Jumper.,24,26
8:07,299,Jordan Griffin Offensive Rebound.,24,26
8:02,299,KJ Byers missed Three Point Jumper.,24,26
8:02,-1,Evan Zeller Defensive Rebound.,24,26
7:36,-1,Brantley Bynum missed Three Point Jumper.,24,26
7:36,299,LaRond Williams Defensive Rebound.,24,26
7:24,299,Jordan Roberts made Jumper. Assisted by Edon Maxhuni.,24,28
7:15,-1,Kenny Macklin made Three Point Jumper.,27,28
6:52,299,Jordan Griffin made Three Point Jumper.,27,31
6:42,-1,Jase Wickliffe Turnover.,27,31
6:41,299,Jordan Roberts Steal.,27,31
6:39,299,Jordan Roberts made Layup.,27,33
6:12,-1,Tyler Jackson made Dunk. Assisted by Jase Wickliffe.,29,33
5:58,299,Edon Maxhuni made Jumper.,29,35
5:54,-1,San Francisco St  Timeout,29,35
5:40,-1,Kenny Macklin missed Three Point Jumper.,29,35
5:40,299,Bryan Alberts Defensive Rebound.,29,35
5:28,299,Mason Riggins Turnover.,29,35
5:27,-1,Warren Jackson Steal.,29,35
5:25,299,Foul on Deishuan Booker.,29,35
5:08,-1,Kenny Macklin Turnover.,29,35
4:40,299,Jordan Roberts missed Layup.,29,35
4:40,-1,Kenny Macklin Defensive Rebound.,29,35
4:25,-1,Warren Jackson missed Layup.,29,35
4:25,299,Gabe Levin Defensive Rebound.,29,35
4:19,299,Bryan Alberts missed Three Point Jumper.,29,35
4:19,-1,Evan Zeller Defensive Rebound.,29,35
3:57,-1,Brantley Bynum Turnover.,29,35
3:57,299,Official TV Timeout,29,35
3:36,299,Bryan Alberts missed Jumper.,29,35
3:36,299,Barry Ogalue Offensive Rebound.,29,35
3:32,299,Deishuan Booker missed Three Point Jumper.,29,35
3:32,299,Gabe Levin Offensive Rebound.,29,35
3:28,-1,Foul on Matt Arrivas.,29,35
3:28,299,Gabe Levin made Free Throw.,29,36
3:28,299,Gabe Levin missed Free Throw.,29,36
3:28,-1,Jash Kahlon Defensive Rebound.,29,36
3:15,-1,Brantley Bynum missed Layup.,29,36
3:15,299,Gabe Levin Defensive Rebound.,29,36
3:11,299,Barry Ogalue Turnover.,29,36
2:49,-1,Jash Kahlon missed Jumper.,29,36
2:49,299,KJ Byers Defensive Rebound.,29,36
2:42,299,Barry Ogalue made Layup. Assisted by Deishuan Booker.,29,38
2:21,-1,Jash Kahlon missed Three Point Jumper.,29,38
2:21,299,Mason Riggins Defensive Rebound.,29,38
2:12,299,Deishuan Booker missed Jumper.,29,38
2:12,-1,Warren Jackson Defensive Rebound.,29,38
2:01,-1,Warren Jackson missed Jumper.,29,38
2:01,299,Deishuan Booker Defensive Rebound.,29,38
1:56,299,Barry Ogalue made Layup. Assisted by Deishuan Booker.,29,40
1:53,299,Long Beach State  Timeout,29,40
1:42,-1,Warren Jackson made Layup. Assisted by Brantley Bynum.,31,40
1:30,299,Edon Maxhuni missed Three Point Jumper.,31,40
1:30,-1,Warren Jackson Defensive Rebound.,31,40
1:14,-1,Warren Jackson missed Layup.,31,40
1:14,299,Barry Ogalue Defensive Rebound.,31,40
1:09,299,Barry Ogalue Turnover.,31,40
1:06,-1,Jash Kahlon Steal.,31,40
1:01,-1,Brantley Bynum missed Jumper.,31,40
1:01,299,KJ Byers Defensive Rebound.,31,40
0:52,299,Jordan Griffin made Three Point Jumper. Assisted by Barry Ogalue.,31,43
0:30,-1,Jase Wickliffe missed Three Point Jumper.,31,43
0:30,299,Barry Ogalue Defensive Rebound.,31,43
0:12,299,Long Beach State  Timeout,31,43
0:06,299,Edon Maxhuni Turnover.,31,43
0:05,-1,Warren Jackson Steal.,31,43
0:03,-1,Warren Jackson made Layup.,33,43
0:00,299,End of 1st half,33,43
19:42,299,Gabe Levin missed Jumper.,33,43
19:42,299,Gabe Levin Offensive Rebound.,33,43
19:29,299,Barry Ogalue made Layup. Assisted by Deishuan Booker.,33,45
19:07,-1,Brantley Bynum made Jumper. Assisted by Evan Zeller.,35,45
18:55,299,Gabe Levin made Jumper. Assisted by Deishuan Booker.,35,47
18:55,-1,Foul on Kenny Macklin.,35,47
18:55,299,Gabe Levin made Free Throw.,35,48
18:42,-1,Evan Zeller made Jumper.,37,48
18:35,-1,Foul on Jash Kahlon.,37,48
18:35,299,Gabe Levin made Free Throw.,37,49
18:35,299,Gabe Levin made Free Throw.,37,50
18:15,-1,Jash Kahlon missed Three Point Jumper.,37,50
18:15,299,Gabe Levin Defensive Rebound.,37,50
18:00,299,Bryan Alberts made Three Point Jumper. Assisted by Deishuan Booker.,37,53
17:55,-1,San Francisco St  Timeout,37,53
17:33,-1,Warren Jackson missed Jumper.,37,53
17:33,299,Barry Ogalue Defensive Rebound.,37,53
17:26,-1,Foul on Warren Jackson.,37,53
17:21,299,Bryan Alberts missed Three Point Jumper.,37,53
17:21,-1,Ryne Williams Defensive Rebound.,37,53
17:04,-1,Matt Arrivas Turnover.,37,53
17:03,299,Bryan Alberts Steal.,37,53
17:00,299,Mason Riggins made Layup. Assisted by Bryan Alberts.,37,55
16:53,-1,Kenny Macklin missed Jumper.,37,55
16:53,299,Barry Ogalue Defensive Rebound.,37,55
16:30,299,Bryan Alberts missed Jumper.,37,55
16:30,299,Barry Ogalue Offensive Rebound.,37,55
16:27,299,Barry Ogalue made Layup.,37,57
16:20,-1,Ryne Williams made Three Point Jumper. Assisted by Kenny Macklin.,40,57
16:02,299,Barry Ogalue missed Jumper.,40,57
16:02,299,Gabe Levin Offensive Rebound.,40,57
15:59,299,Gabe Levin missed Jumper.,40,57
15:59,299,LaRond Williams Offensive Rebound.,40,57
15:53,299,Deishuan Booker Turnover.,40,57
15:53,-1,Matt Arrivas Steal.,40,57
15:51,-1,Warren Jackson Turnover.,40,57
15:51,299,Official TV Timeout,40,57
15:39,299,Bryan Alberts made Three Point Jumper. Assisted by Deishuan Booker.,40,60
15:11,299,Foul on Bryan Alberts.,40,60
14:52,-1,Matt Arrivas made Jumper. Assisted by Evan Zeller.,42,60
14:45,299,Bryan Alberts made Three Point Jumper. Assisted by Deishuan Booker.,42,63
14:25,-1,Jase Wickliffe missed Three Point Jumper.,42,63
14:25,299,Deishuan Booker Defensive Rebound.,42,63
14:17,299,Bryan Alberts missed Three Point Jumper.,42,63
14:17,-1,Tyler Jackson Defensive Rebound.,42,63
14:07,-1,Kenny Macklin missed Three Point Jumper.,42,63
14:07,299,Barry Ogalue Defensive Rebound.,42,63
13:58,-1,Foul on Evan Zeller.,42,63
13:57,299,Bryan Alberts Turnover.,42,63
13:55,-1,Evan Zeller Steal.,42,63
13:46,-1,Tyler Jackson missed Layup.,42,63
13:46,299,KJ Byers Defensive Rebound.,42,63
13:39,-1,Foul on Tyler Jackson.,42,63
13:39,299,KJ Byers made Free Throw.,42,64
13:39,299,KJ Byers missed Free Throw.,42,64
13:39,-1,Tyler Jackson Defensive Rebound.,42,64
13:24,299,Foul on Edon Maxhuni.,42,64
13:24,-1,San Francisco St  Timeout,42,64
13:14,-1,Evan Zeller missed Three Point Jumper.,42,64
13:14,-1,Tyler Jackson Offensive Rebound.,42,64
13:09,-1,Tyler Jackson Turnover.,42,64
13:09,299,LaRond Williams Steal.,42,64
13:09,299,LaRond Williams Turnover.,42,64
13:06,-1,Jash Kahlon Turnover.,42,64
13:04,299,KJ Byers Steal.,42,64
13:00,299,KJ Byers Turnover.,42,64
12:58,-1,Kenny Macklin Steal.,42,64
12:52,-1,Jash Kahlon missed Jumper.,42,64
12:52,-1,Tyler Jackson Offensive Rebound.,42,64
12:50,-1,Tyler Jackson made Dunk.,44,64
12:41,299,Edon Maxhuni Turnover.,44,64
12:39,-1,Jase Wickliffe Steal.,44,64
12:37,-1,Evan Zeller made Layup. Assisted by Jase Wickliffe.,46,64
12:21,299,KJ Byers missed Three Point Jumper.,46,64
12:21,-1,Jash Kahlon Defensive Rebound.,46,64
11:57,-1,Jash Kahlon made Jumper.,48,64
11:41,-1,Foul on Tyler Jackson.,48,64
11:41,299,Official TV Timeout,48,64
11:39,299,Edon Maxhuni made Three Point Jumper. Assisted by KJ Byers.,48,67
11:15,-1,Kenny Macklin missed Three Point Jumper.,48,67
11:15,299,Edon Maxhuni Defensive Rebound.,48,67
11:07,299,Edon Maxhuni made Layup. Assisted by Bryan Alberts.,48,69
10:42,-1,Jash Kahlon missed Jumper.,48,69
10:42,299,KJ Byers Defensive Rebound.,48,69
10:37,299,Bryan Alberts made Three Point Jumper. Assisted by KJ Byers.,48,72
10:14,-1,Warren Jackson missed Three Point Jumper.,48,72
10:14,299,Bryan Alberts Defensive Rebound.,48,72
10:03,299,Edon Maxhuni made Three Point Jumper. Assisted by KJ Byers.,48,75
9:43,-1,Brantley Bynum missed Jumper.,48,75
9:43,-1,Kenny Macklin Offensive Rebound.,48,75
9:39,-1,Jase Wickliffe made Three Point Jumper. Assisted by Warren Jackson.,51,75
9:20,299,Jordan Roberts made Jumper.,51,77
9:08,-1,Matt Arrivas missed Jumper.,51,77
9:08,299,Jordan Roberts Block.,51,77
9:06,299,Jordan Roberts Defensive Rebound.,51,77
9:02,299,Jordan Roberts missed Jumper.,51,77
9:02,-1,Ryne Williams Defensive Rebound.,51,77
8:57,299,Foul on Edon Maxhuni.,51,77
8:57,-1,Warren Jackson made Free Throw.,52,77
8:57,-1,Warren Jackson made Free Throw.,53,77
8:54,-1,Foul on Warren Jackson.,53,77
8:54,299,Javonntie Jackson missed Free Throw.,53,77
8:54,-1,Brantley Bynum Defensive Rebound.,53,77
8:48,-1,Brantley Bynum Turnover.,53,77
8:47,299,KJ Byers Steal.,53,77
8:41,299,Jordan Griffin made Three Point Jumper. Assisted by Javonntie Jackson.,53,80
8:27,-1,Warren Jackson made Layup.,55,80
8:17,299,Jordan Griffin Turnover.,55,80
8:04,-1,Brantley Bynum missed Three Point Jumper.,55,80
8:04,299,KJ Byers Defensive Rebound.,55,80
7:54,299,Edon Maxhuni Turnover.,55,80
7:53,-1,Kenny Macklin Steal.,55,80
7:49,-1,Kenny Macklin missed Layup.,55,80
7:49,-1,Jase Wickliffe Offensive Rebound.,55,80
7:44,-1,Jase Wickliffe made Two Point Tip Shot.,57,80
7:33,299,Javonntie Jackson Turnover.,57,80
7:32,-1,Jase Wickliffe Steal.,57,80
7:15,-1,Jase Wickliffe missed Three Point Jumper.,57,80
7:15,299,Edon Maxhuni Defensive Rebound.,57,80
7:05,299,Jordan Griffin missed Three Point Jumper.,57,80
7:05,-1,Ryne Williams Defensive Rebound.,57,80
6:49,-1,Ryne Williams made Jumper. Assisted by Jase Wickliffe.,59,80
6:41,299,Long Beach State  Timeout,59,80
6:27,299,Jordan Griffin missed Three Point Jumper.,59,80
6:27,299,Quentin Shropshire Offensive Rebound.,59,80
6:22,299,Gabe Levin made Layup. Assisted by Quentin Shropshire.,59,82
6:09,-1,Foul on Tyler Jackson.,59,82
6:09,-1,Tyler Jackson Turnover.,59,82
5:39,299,Long Beach State  Turnover.,59,82
5:27,-1,Kenny Macklin made Three Point Jumper. Assisted by Jash Kahlon.,62,82
5:09,-1,Foul on Tyler Jackson.,62,82
5:09,299,Gabe Levin made Free Throw.,62,83
5:09,299,Gabe Levin missed Free Throw.,62,83
5:09,-1,Jase Wickliffe Defensive Rebound.,62,83
5:04,-1,Jash Kahlon missed Three Point Jumper.,62,83
5:04,299,Gabe Levin Defensive Rebound.,62,83
4:55,299,Foul on Quentin Shropshire.,62,83
4:54,-1,Ryne Williams missed Three Point Jumper.,62,83
4:54,299,Javonntie Jackson Defensive Rebound.,62,83
4:39,299,Gabe Levin missed Three Point Jumper.,62,83
4:39,-1,Jase Wickliffe Defensive Rebound.,62,83
4:15,-1,Jase Wickliffe missed Layup.,62,83
4:15,299,Gabe Levin Defensive Rebound.,62,83
4:10,299,Jordan Griffin missed Three Point Jumper.,62,83
4:10,-1,Ryne Williams Defensive Rebound.,62,83
4:07,299,Foul on Quentin Shropshire.,62,83
3:47,-1,Jase Wickliffe missed Jumper.,62,83
3:47,299,LaRond Williams Block.,62,83
3:46,-1,Kenny Macklin Offensive Rebound.,62,83
3:40,-1,Jash Kahlon made Layup. Assisted by Ryne Williams.,64,83
3:29,299,KJ Byers missed Three Point Jumper.,64,83
3:29,299,Javonntie Jackson Offensive Rebound.,64,83
3:23,299,Javonntie Jackson made Two Point Tip Shot.,64,85
3:09,-1,Brantley Bynum made Layup.,66,85
2:59,299,Javonntie Jackson made Layup. Assisted by Deishuan Booker.,66,87
2:53,-1,San Francisco St  Timeout,66,87
2:49,-1,Ryne Williams missed Jumper.,66,87
2:49,299,LaRond Williams Block.,66,87
2:46,299,Edon Maxhuni Defensive Rebound.,66,87
2:40,299,Deishuan Booker made Layup. Assisted by Edon Maxhuni.,66,89
2:30,-1,Ryne Williams missed Three Point Jumper.,66,89
2:30,-1,Matt Arrivas Offensive Rebound.,66,89
2:26,-1,Matt Arrivas missed Two Point Tip Shot.,66,89
2:26,-1,Jase Wickliffe Offensive Rebound.,66,89
2:18,-1,Jase Wickliffe made Two Point Tip Shot.,68,89
2:09,-1,Foul on Kenny Macklin.,68,89
2:09,299,Edon Maxhuni made Free Throw.,68,90
2:09,299,Edon Maxhuni made Free Throw.,68,91
1:55,-1,Ryne Williams made Layup. Assisted by Jase Wickliffe.,70,91
1:40,299,Jordan Roberts missed Jumper.,70,91
1:40,299,LaRond Williams Offensive Rebound.,70,91
1:32,299,KJ Byers made Dunk. Assisted by Deishuan Booker.,70,93
1:08,299,Foul on Jordan Roberts.,70,93
1:02,-1,Ryne Williams missed Jumper.,70,93
1:02,299,LaRond Williams Defensive Rebound.,70,93
0:54,299,Jordan Roberts made Layup. Assisted by Jordan Griffin.,70,95
0:40,299,Foul on LaRond Williams.,70,95
0:40,-1,Kenny Macklin missed Free Throw.,70,95
0:40,299,KJ Byers Defensive Rebound.,70,95
0:33,299,Jordan Roberts Turnover.,70,95
0:19,-1,Jase Wickliffe Turnover.,70,95
0:00,299,End of Game,70,95
