Notre Dame de Namur,Error,Sacramento State,16
3:36,16,Kevin Hicks made Jumper. Assisted by Jordan Tolbert.,27,34
3:12,-1,Omar Lo Turnover.,27,34
3:04,16,Kevin Hicks Turnover.,27,34
2:38,-1,Ty Peacock missed Jumper.,27,34
2:38,16,Jordan Tolbert Defensive Rebound.,27,34
2:23,16,Justin Strings made Jumper.,27,36
2:06,-1,Mitchell Fulfer made Layup. Assisted by Rolland Pearsall.,29,36
1:36,16,Kevin Hicks made Jumper.,29,38
1:19,-1,Chazz Wade missed Three Point Jumper.,29,38
1:19,-1,Omar Lo Offensive Rebound.,29,38
0:55,-1,Rolland Pearsall missed Jumper.,29,38
0:55,-1,Mitchell Fulfer Offensive Rebound.,29,38
0:52,16,Foul on Calvin Martin.,29,38
0:52,-1,Mitchell Fulfer made Free Throw.,30,38
0:52,-1,Mitchell Fulfer missed Free Throw.,30,38
0:52,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,30,38
0:40,16,Justin Strings made Jumper.,30,40
0:22,-1,Omar Lo Turnover.,30,40
0:21,16,Kevin Hicks Steal.,30,40
0:17,16,Kevin Hicks made Layup.,30,42
0:01,-1,Chazz Wade missed Jumper.,30,42
0:01,16,Jordan Tolbert Defensive Rebound.,30,42
0:00,16,End of 1st half,30,42
19:49,16,Foul on Jeff Wu.,30,42
19:41,-1,Omar Lo missed Layup.,30,42
19:41,16,Justin Strings Defensive Rebound.,30,42
19:25,-1,Foul on Cass Mattheis.,30,42
19:25,16,Joshua Patton made Free Throw.,30,43
19:25,16,Joshua Patton made Free Throw.,30,44
19:07,-1,Omar Lo missed Jumper.,30,44
19:07,16,Justin Strings Defensive Rebound.,30,44
18:54,-1,Foul on Cass Mattheis.,30,44
18:54,16,Joshua Patton made Free Throw.,30,45
18:54,16,Joshua Patton made Free Throw.,30,46
18:41,-1,Chazz Wade made Three Point Jumper. Assisted by Stephen Baity.,33,46
18:24,16,Justin Strings made Layup. Assisted by Kevin Hicks.,33,48
18:24,-1,Foul on Chazz Wade.,33,48
18:24,16,Justin Strings made Free Throw.,33,49
17:54,-1,Chazz Wade missed Jumper.,33,49
17:54,-1,Ty Peacock Offensive Rebound.,33,49
17:27,-1,Chazz Wade missed Three Point Jumper.,33,49
17:27,16,Justin Strings Defensive Rebound.,33,49
17:13,16,Joshua Patton made Layup. Assisted by Kevin Hicks.,33,51
17:05,-1,Notre Dame de Namur  Timeout,33,51
16:42,-1,Ty Peacock missed Three Point Jumper.,33,51
16:42,16,Kevin Hicks Defensive Rebound.,33,51
16:36,-1,Foul on Mitchell Fulfer.,33,51
16:30,16,Bryce Fowler made Jumper. Assisted by Jordan Tolbert.,33,53
16:03,16,Foul on Chibueze Jacobs.,33,53
15:55,16,Foul on Joshua Patton.,33,53
15:55,16,Official TV Timeout,33,53
15:55,-1,Mitchell Fulfer missed Free Throw.,33,53
15:55,-1,Notre Dame de Namur Deadball Team Rebound.,33,53
15:55,-1,Mitchell Fulfer missed Free Throw.,33,53
15:55,16,Kevin Hicks Defensive Rebound.,33,53
15:38,16,Kevin Hicks missed Three Point Jumper.,33,53
15:38,-1,Mitchell Fulfer Defensive Rebound.,33,53
15:29,-1,Mitchell Fulfer made Layup. Assisted by Ty Peacock.,35,53
15:04,-1,Foul on Chazz Wade.,35,53
15:04,16,Joshua Patton missed Free Throw.,35,53
15:04,16,Sacramento State Deadball Team Rebound.,35,53
15:04,16,Joshua Patton made Free Throw.,35,54
14:44,-1,Stephen Baity missed Jumper.,35,54
14:44,16,Joshua Patton Defensive Rebound.,35,54
14:42,-1,Foul on Mitchell Fulfer.,35,54
14:25,-1,Foul on Rolland Pearsall.,35,54
14:25,16,Joshua Patton missed Free Throw.,35,54
14:25,16,Sacramento State Deadball Team Rebound.,35,54
14:25,16,Joshua Patton made Free Throw.,35,55
13:55,-1,Chazz Wade missed Three Point Jumper.,35,55
13:55,-1,Ty Peacock Offensive Rebound.,35,55
13:52,-1,Ty Peacock missed Two Point Tip Shot.,35,55
13:52,16,Chibueze Jacobs Defensive Rebound.,35,55
13:47,16,Izayah Mauriohoohoo-Le'Afa Turnover.,35,55
13:45,-1,Anthony Suber Steal.,35,55
13:42,-1,Chazz Wade Turnover.,35,55
13:41,16,Joshua Patton Steal.,35,55
13:20,16,Joshua Patton made Jumper. Assisted by Jeff Wu.,35,57
12:47,-1,Chazz Wade missed Layup.,35,57
12:47,16,Joshua Patton Block.,35,57
12:45,-1,Chazz Wade Offensive Rebound.,35,57
12:44,-1,Chazz Wade missed Jumper.,35,57
12:44,16,Chibueze Jacobs Defensive Rebound.,35,57
12:38,16,Sacramento State  Timeout,35,57
12:11,16,Izayah Mauriohoohoo-Le'Afa missed Jumper.,35,57
12:11,16,Joshua Patton Offensive Rebound.,35,57
12:09,16,Joshua Patton Turnover.,35,57
11:51,16,Foul on Izayah Mauriohoohoo-Le'Afa.,35,57
11:51,16,Official TV Timeout,35,57
11:46,16,Foul on Jeff Wu.,35,57
11:46,-1,Chazz Wade missed Free Throw.,35,57
11:46,-1,Notre Dame de Namur Deadball Team Rebound.,35,57
11:46,-1,Chazz Wade made Free Throw.,36,57
11:28,16,Justin Strings missed Jumper.,36,57
11:28,-1,Alaka'I Freitas Defensive Rebound.,36,57
11:08,16,Foul on Calvin Martin.,36,57
11:01,-1,Ty Peacock made Jumper.,38,57
10:51,16,Chibueze Jacobs Turnover.,38,57
10:37,-1,Anthony Suber Turnover.,38,57
10:27,16,Calvin Martin Turnover.,38,57
10:25,-1,Omar Lo Steal.,38,57
10:22,-1,Rolland Pearsall Turnover.,38,57
10:02,16,Justin Strings Turnover.,38,57
9:53,-1,Ty Peacock Turnover.,38,57
9:52,16,Jordan Tolbert Steal.,38,57
9:49,16,Kevin Hicks made Layup. Assisted by Justin Strings.,38,59
9:18,16,Foul on Izayah Mauriohoohoo-Le'Afa.,38,59
9:18,-1,Ty Peacock missed Free Throw.,38,59
9:18,16,Sacramento State Defensive Rebound.,38,59
9:00,16,Joshua Patton missed Layup.,38,59
9:00,-1,Ty Peacock Defensive Rebound.,38,59
8:51,-1,Mitchell Fulfer made Layup. Assisted by RJ Louis.,40,59
8:39,16,Kevin Hicks made Layup. Assisted by Jordan Tolbert.,40,61
8:22,-1,Omar Lo missed Jumper.,40,61
8:22,16,Joshua Patton Defensive Rebound.,40,61
8:15,16,Izayah Mauriohoohoo-Le'Afa made Layup. Assisted by Jordan Tolbert.,40,63
7:52,-1,RJ Louis Turnover.,40,63
7:51,16,Justin Strings Steal.,40,63
7:45,16,Joshua Patton made Layup.,40,65
7:35,-1,Notre Dame de Namur  Timeout,40,65
7:20,-1,RJ Louis Turnover.,40,65
7:17,16,Kevin Hicks Steal.,40,65
7:08,16,Kevin Hicks missed Jumper.,40,65
7:08,-1,John Cornett Defensive Rebound.,40,65
6:52,-1,RJ Louis missed Three Point Jumper.,40,65
6:52,16,Joshua Patton Defensive Rebound.,40,65
6:41,16,Chibueze Jacobs Turnover.,40,65
6:26,-1,Stephen Baity made Three Point Jumper. Assisted by Ty Peacock.,43,65
6:06,16,Calvin Martin made Layup. Assisted by Izayah Mauriohoohoo-Le'Afa.,43,67
5:43,16,Foul on Chibueze Jacobs.,43,67
5:43,-1,John Cornett made Free Throw.,44,67
5:43,-1,John Cornett made Free Throw.,45,67
5:22,16,Jamion Wright missed Three Point Jumper.,45,67
5:22,-1,John Cornett Defensive Rebound.,45,67
5:10,16,Foul on Jamion Wright.,45,67
5:10,-1,RJ Louis missed Free Throw.,45,67
5:10,16,Jamion Wright Defensive Rebound.,45,67
4:57,16,Bryce Fowler Turnover.,45,67
4:27,-1,John Cornett made Jumper.,47,67
4:18,16,Chibueze Jacobs made Jumper.,47,69
4:18,-1,Foul on John Cornett.,47,69
4:18,16,Chibueze Jacobs made Free Throw.,47,70
3:57,-1,Chazz Wade missed Jumper.,47,70
3:57,16,James Herrick Defensive Rebound.,47,70
3:54,-1,Foul on Mitchell Fulfer.,47,70
3:54,16,Official TV Timeout,47,70
3:54,16,James Herrick made Free Throw.,47,71
3:54,16,James Herrick missed Free Throw.,47,71
3:54,-1,John Cornett Defensive Rebound.,47,71
3:28,-1,John Cornett missed Jumper.,47,71
3:28,16,Bryce Fowler Defensive Rebound.,47,71
3:13,16,Cristian Perez Turnover.,47,71
3:11,-1,RJ Louis Steal.,47,71
3:08,-1,RJ Louis made Layup.,49,71
2:44,16,Foul on Bryce Fowler.,49,71
2:44,16,Bryce Fowler Turnover.,49,71
2:29,-1,TJ Andersen Turnover.,49,71
2:28,16,Calvin Martin Steal.,49,71
2:10,-1,Foul on TJ Andersen.,49,71
2:10,16,James Herrick missed Free Throw.,49,71
2:10,16,Sacramento State Deadball Team Rebound.,49,71
2:10,16,James Herrick made Free Throw.,49,72
1:46,-1,TJ Andersen missed Jumper.,49,72
1:46,16,Calvin Martin Defensive Rebound.,49,72
1:34,16,Jamion Wright Turnover.,49,72
1:15,-1,John Cornett made Layup.,51,72
0:54,16,Calvin Martin missed Layup.,51,72
0:54,16,Chibueze Jacobs Offensive Rebound.,51,72
0:53,-1,Foul on John Cornett.,51,72
0:53,16,Chibueze Jacobs made Free Throw.,51,73
0:53,16,Chibueze Jacobs made Free Throw.,51,74
0:39,-1,Chazz Wade missed Three Point Jumper.,51,74
0:39,16,James Herrick Defensive Rebound.,51,74
0:15,16,Jamion Wright Turnover.,51,74
0:09,-1,RJ Louis made Layup.,53,74
0:09,16,Foul on James Herrick.,53,74
0:09,-1,RJ Louis missed Free Throw.,53,74
0:09,16,Sacramento State Defensive Rebound.,53,74
0:00,16,End of Game,53,74
