Little Rock,235,Memphis,2031
6:13,2031,Oliver Black Defensive Rebound.,21,12
5:55,2031,Jaizec Lottie made Layup.,23,12
5:41,235,Jeremiah Martin made Layup.,23,14
5:41,2031,Foul on Oliver Black.,23,14
5:41,235,Jeremiah Martin made Free Throw.,23,15
5:15,2031,Andre Jones missed Three Point Jumper.,23,15
5:15,235,Jeremiah Martin Defensive Rebound.,23,15
5:08,235,Jeremiah Martin made Layup.,23,17
5:06,2031,Little Rock  Timeout,23,17
4:56,2031,Andre Jones made Jumper. Assisted by Jaizec Lottie.,25,17
4:41,235,David Nickelberry missed Layup.,25,17
4:41,2031,Wadly Mompremier Block.,25,17
4:41,2031,Andre Jones Defensive Rebound.,25,17
4:33,2031,Camron Reedus made Three Point Jumper. Assisted by Andre Jones.,28,17
4:06,235,Jamal Johnson made Three Point Jumper. Assisted by Jeremiah Martin.,28,20
3:37,2031,Jaizec Lottie missed Three Point Jumper.,28,20
3:37,235,Memphis Deadball Team Rebound.,28,20
3:37,2031,Foul on Wadly Mompremier.,28,20
3:37,235,Official TV Timeout,28,20
3:37,235,Kyvon Davenport made Free Throw.,28,21
3:37,235,Kyvon Davenport made Free Throw.,28,22
3:27,235,Foul on Kyvon Davenport.,28,22
3:27,2031,Ben Marcus made Free Throw.,29,22
3:27,2031,Ben Marcus made Free Throw.,30,22
3:14,235,Jamal Johnson missed Three Point Jumper.,30,22
3:14,2031,Andre Jones Defensive Rebound.,30,22
2:48,2031,Andre Jones missed Jumper.,30,22
2:48,235,Jeremiah Martin Defensive Rebound.,30,22
2:40,235,Jamal Johnson missed Jumper.,30,22
2:40,2031,Andre Jones Defensive Rebound.,30,22
2:07,2031,Andre Jones missed Layup.,30,22
2:07,235,Mike Parks Jr. Defensive Rebound.,30,22
2:01,2031,Foul on K.J. Gilmore.,30,22
2:01,235,Jeremiah Martin missed Free Throw.,30,22
2:01,235,Memphis Deadball Team Rebound.,30,22
2:01,235,Jeremiah Martin missed Free Throw.,30,22
2:01,2031,Damir Hadzic Defensive Rebound.,30,22
1:41,2031,K.J. Gilmore made Jumper.,32,22
1:32,235,David Nickelberry missed Three Point Jumper.,32,22
1:32,235,Kareem Brewton Jr. Offensive Rebound.,32,22
1:28,235,Kareem Brewton Jr. missed Layup.,32,22
1:28,235,David Nickelberry Offensive Rebound.,32,22
1:25,235,David Nickelberry missed Layup.,32,22
1:25,2031,Wadly Mompremier Defensive Rebound.,32,22
1:09,2031,Andre Jones Turnover.,32,22
1:08,235,Jeremiah Martin Steal.,32,22
1:06,235,Malik Rhodes made Layup.,32,24
0:28,2031,K.J. Gilmore missed Jumper.,32,24
0:28,235,Mike Parks Jr. Defensive Rebound.,32,24
0:17,235,Jeremiah Martin made Three Point Jumper. Assisted by Kareem Brewton Jr..,32,27
0:00,2031,Jaizec Lottie missed Three Point Jumper.,32,27
0:00,2031,Little Rock Deadball Team Rebound.,32,27
0:00,235,End of 1st half,32,27
19:56,2031,Foul on Jaizec Lottie.,32,27
19:56,235,Jeremiah Martin made Free Throw.,32,28
19:56,235,Jeremiah Martin made Free Throw.,32,29
19:47,2031,Oliver Black missed Layup.,32,29
19:47,2031,K.J. Gilmore Offensive Rebound.,32,29
19:43,2031,Ben Marcus made Layup. Assisted by K.J. Gilmore.,34,29
19:27,235,Mike Parks Jr. missed Layup.,34,29
19:27,235,Jeremiah Martin Offensive Rebound.,34,29
19:07,235,Jimario Rivers made Dunk.,34,31
18:36,2031,Jaizec Lottie missed Three Point Jumper.,34,31
18:36,235,Memphis Deadball Team Rebound.,34,31
18:15,235,Jeremiah Martin made Jumper.,34,33
17:38,2031,Camron Reedus missed Three Point Jumper.,34,33
17:38,235,Jeremiah Martin Defensive Rebound.,34,33
17:19,235,Jimario Rivers missed Jumper.,34,33
17:19,2031,Oliver Black Defensive Rebound.,34,33
17:17,235,Foul on Kareem Brewton Jr..,34,33
17:04,2031,Andre Jones missed Layup.,34,33
17:04,2031,Oliver Black Offensive Rebound.,34,33
16:40,2031,Anthony Black made Three Point Jumper. Assisted by Oliver Black.,37,33
16:26,235,Jeremiah Martin made Three Point Jumper.,37,36
15:50,2031,Little Rock  Turnover.,37,36
15:50,235,Official TV Timeout,37,36
15:24,235,Jeremiah Martin missed Layup.,37,36
15:24,2031,Oliver Black Defensive Rebound.,37,36
14:55,2031,Anthony Black missed Jumper.,37,36
14:55,2031,Little Rock Deadball Team Rebound.,37,36
14:50,235,Foul on Kareem Brewton Jr..,37,36
14:47,2031,Anthony Black made Layup.,39,36
14:26,2031,Foul on Anthony Black.,39,36
14:23,235,Jimario Rivers missed Jumper.,39,36
14:23,235,Jamal Johnson Offensive Rebound.,39,36
14:20,235,Jamal Johnson made Layup.,39,38
13:57,2031,Camron Reedus made Three Point Jumper. Assisted by Jaizec Lottie.,42,38
13:41,235,Victor Enoh missed Jumper.,42,38
13:41,235,Jimario Rivers Offensive Rebound.,42,38
13:38,235,Jimario Rivers made Dunk.,42,40
13:21,2031,Camron Reedus Turnover.,42,40
13:20,235,Jamal Johnson Steal.,42,40
13:17,235,Jamal Johnson missed Layup.,42,40
13:17,235,Victor Enoh Offensive Rebound.,42,40
13:14,235,Victor Enoh missed Jumper.,42,40
13:14,235,Victor Enoh Offensive Rebound.,42,40
13:09,2031,Foul on Oliver Black.,42,40
13:09,235,Victor Enoh made Free Throw.,42,41
13:09,235,Victor Enoh missed Free Throw.,42,41
13:09,2031,Damir Hadzic Defensive Rebound.,42,41
12:58,2031,Damir Hadzic made Three Point Jumper. Assisted by Wadly Mompremier.,45,41
12:47,235,Victor Enoh missed Jumper.,45,41
12:47,2031,Wadly Mompremier Defensive Rebound.,45,41
12:44,235,Foul on Jimario Rivers.,45,41
12:36,2031,Jaizec Lottie Turnover.,45,41
12:23,2031,Foul on Anthony Black.,45,41
12:23,235,Jeremiah Martin missed Free Throw.,45,41
12:23,235,Memphis Deadball Team Rebound.,45,41
12:23,235,Jeremiah Martin made Free Throw.,45,42
12:11,2031,Foul on Camron Reedus.,45,42
12:11,2031,Camron Reedus Turnover.,45,42
11:59,235,Kareem Brewton Jr. made Jumper.,45,44
11:32,2031,Andre Jones made Layup.,47,44
11:17,235,Kareem Brewton Jr. made Jumper. Assisted by Malik Rhodes.,47,46
11:05,2031,Wadly Mompremier made Dunk. Assisted by Camron Reedus.,49,46
10:48,235,Jeremiah Martin missed Three Point Jumper.,49,46
10:48,2031,Camron Reedus Defensive Rebound.,49,46
10:25,235,Foul on Jeremiah Martin.,49,46
10:25,235,Official TV Timeout,49,46
10:25,2031,Camron Reedus made Free Throw.,50,46
10:25,2031,Camron Reedus made Free Throw.,51,46
10:16,235,Kareem Brewton Jr. Turnover.,51,46
9:57,2031,Camron Reedus missed Three Point Jumper.,51,46
9:57,235,Raynere Thornton Defensive Rebound.,51,46
9:45,235,Kyvon Davenport missed Layup.,51,46
9:45,2031,Damir Hadzic Defensive Rebound.,51,46
9:18,2031,Jaizec Lottie Turnover.,51,46
9:17,235,Malik Rhodes Steal.,51,46
9:14,235,Malik Rhodes made Layup.,51,48
8:45,2031,Damir Hadzic missed Three Point Jumper.,51,48
8:45,235,Raynere Thornton Defensive Rebound.,51,48
8:37,235,Malik Rhodes missed Three Point Jumper.,51,48
8:37,2031,Jaizec Lottie Defensive Rebound.,51,48
8:29,2031,Camron Reedus Turnover.,51,48
8:28,235,Kyvon Davenport Steal.,51,48
8:08,235,Jeremiah Martin missed Layup.,51,48
8:08,2031,Andre Jones Defensive Rebound.,51,48
7:47,2031,Jaizec Lottie Turnover.,51,48
7:47,235,Official TV Timeout,51,48
7:33,235,Kyvon Davenport made Three Point Jumper. Assisted by Malik Rhodes.,51,51
6:58,2031,Anthony Black made Jumper. Assisted by K.J. Gilmore.,53,51
6:39,2031,Foul on Anthony Black.,53,51
6:33,235,Raynere Thornton made Layup.,53,53
6:33,2031,Foul on Ben Marcus.,53,53
6:33,235,Raynere Thornton missed Free Throw.,53,53
6:33,2031,Little Rock Defensive Rebound.,53,53
6:09,2031,Camron Reedus missed Three Point Jumper.,53,53
6:09,235,Kyvon Davenport Defensive Rebound.,53,53
5:59,235,Kyvon Davenport missed Jumper.,53,53
5:59,2031,Little Rock Deadball Team Rebound.,53,53
5:58,235,Foul on Kyvon Davenport.,53,53
5:32,2031,Wadly Mompremier missed Three Point Jumper.,53,53
5:32,235,Kyvon Davenport Defensive Rebound.,53,53
5:22,235,Kyvon Davenport made Jumper. Assisted by Raynere Thornton.,53,55
4:57,2031,Camron Reedus missed Three Point Jumper.,53,55
4:57,235,Jamal Johnson Defensive Rebound.,53,55
4:39,235,Kyvon Davenport made Three Point Jumper. Assisted by Malik Rhodes.,53,58
4:34,2031,Little Rock  Timeout,53,58
4:34,235,Official TV Timeout,53,58
4:16,2031,Jaizec Lottie missed Layup.,53,58
4:16,2031,Anthony Black Offensive Rebound.,53,58
3:50,2031,Camron Reedus Turnover.,53,58
3:49,235,Jeremiah Martin Steal.,53,58
3:20,235,Jeremiah Martin made Three Point Jumper.,53,61
2:51,2031,Anthony Black made Three Point Jumper. Assisted by Jaizec Lottie.,56,61
2:47,2031,Little Rock  Timeout,56,61
2:47,235,Official TV Timeout,56,61
2:39,235,Kyvon Davenport made Layup. Assisted by Jamal Johnson.,56,63
2:22,2031,Oliver Black Turnover.,56,63
2:21,235,Jeremiah Martin Steal.,56,63
2:09,235,Malik Rhodes made Layup.,56,65
2:09,2031,Foul on Jaizec Lottie.,56,65
2:09,235,Malik Rhodes made Free Throw.,56,66
1:47,2031,Jaizec Lottie made Layup.,58,66
1:16,235,Jeremiah Martin missed Jumper.,58,66
1:16,2031,Little Rock Deadball Team Rebound.,58,66
0:48,2031,Jaizec Lottie made Layup.,60,66
0:46,2031,Foul on Anthony Black.,60,66
0:46,235,Malik Rhodes made Free Throw.,60,67
0:46,235,Malik Rhodes made Free Throw.,60,68
0:46,235,Memphis  Timeout,60,68
0:28,2031,Jaizec Lottie missed Three Point Jumper.,60,68
0:28,2031,Oliver Black Offensive Rebound.,60,68
0:24,235,Foul on Jeremiah Martin.,60,68
0:24,2031,Oliver Black made Free Throw.,61,68
0:24,2031,Oliver Black made Free Throw.,62,68
0:20,2031,Foul on Jaizec Lottie.,62,68
0:20,235,Jeremiah Martin made Free Throw.,62,69
0:20,235,Jeremiah Martin made Free Throw.,62,70
0:07,2031,Anthony Black missed Three Point Jumper.,62,70
0:07,235,Jimario Rivers Defensive Rebound.,62,70
0:00,235,End of 2nd half,62,70
0:00,235,End of Game,62,70
