Iona,183,Syracuse,314
7:18,183,Frank Howard Steal.,17,21
7:17,314,Gavin Kensmil Turnover.,17,21
7:14,183,Frank Howard missed Layup.,17,21
7:14,314,Zach Lewis Block.,17,21
7:12,314,Rickey McGill Defensive Rebound.,17,21
7:06,314,Zach Lewis missed Three Point Jumper.,17,21
7:06,183,Bourama Sidibe Defensive Rebound.,17,21
6:58,183,Frank Howard missed Three Point Jumper.,17,21
6:58,314,Gavin Kensmil Defensive Rebound.,17,21
6:49,314,Zach Lewis missed Layup.,17,21
6:49,183,Bourama Sidibe Defensive Rebound.,17,21
6:38,183,Tyus Battle missed Three Point Jumper.,17,21
6:38,314,E.J. Crawford Defensive Rebound.,17,21
6:19,314,Gavin Kensmil Turnover.,17,21
6:19,183,Official TV Timeout,17,21
6:00,314,Foul on TK Edogi.,17,21
6:00,183,Paschal Chukwu missed Free Throw.,17,21
6:00,183,Syracuse Deadball Team Rebound.,17,21
6:00,183,Paschal Chukwu made Free Throw.,17,22
5:29,314,E.J. Crawford missed Layup.,17,22
5:29,183,Paschal Chukwu Defensive Rebound.,17,22
5:19,183,Oshae Brissett made Jumper. Assisted by Frank Howard.,17,24
4:59,314,TK Edogi missed Layup.,17,24
4:59,183,Paschal Chukwu Block.,17,24
4:57,314,TK Edogi Offensive Rebound.,17,24
4:43,314,Deyshonee Much made Three Point Jumper. Assisted by E.J. Crawford.,20,24
4:21,183,Geno Thorpe made Jumper.,20,26
4:14,314,TK Edogi made Layup. Assisted by Rickey McGill.,22,26
3:55,183,Official TV Timeout,22,26
3:41,183,Oshae Brissett made Three Point Jumper. Assisted by Geno Thorpe.,22,29
3:18,314,Rickey McGill missed Layup.,22,29
3:18,314,Rickey McGill Offensive Rebound.,22,29
3:13,314,Zach Lewis missed Three Point Jumper.,22,29
3:13,183,Matthew Moyer Defensive Rebound.,22,29
2:55,183,Geno Thorpe missed Jumper.,22,29
2:55,314,TK Edogi Defensive Rebound.,22,29
2:23,314,Rickey McGill made Three Point Jumper. Assisted by Zach Lewis.,25,29
2:11,183,Frank Howard Turnover.,25,29
2:10,314,Rickey McGill Steal.,25,29
2:08,314,Zach Lewis made Layup.,27,29
2:08,183,Foul on Frank Howard.,27,29
2:08,314,Zach Lewis made Free Throw.,28,29
1:47,183,Geno Thorpe missed Jumper.,28,29
1:43,314,Zach Lewis Block.,28,29
1:42,183,Syracuse Offensive Rebound.,28,29
1:38,183,Tyus Battle missed Three Point Jumper.,28,29
1:38,314,Iona Defensive Rebound.,28,29
1:15,314,Rickey McGill missed Jumper.,28,29
1:15,183,Bourama Sidibe Defensive Rebound.,28,29
0:48,314,Foul on Rickey McGill.,28,29
0:48,183,Bourama Sidibe missed Free Throw.,28,29
0:48,183,Syracuse Deadball Team Rebound.,28,29
0:48,183,Bourama Sidibe made Free Throw.,28,30
0:32,314,Rickey McGill missed Three Point Jumper.,28,30
0:32,183,Bourama Sidibe Defensive Rebound.,28,30
0:21,183,Syracuse  Timeout,28,30
0:07,314,Foul on Deyshonee Much.,28,30
0:03,183,Frank Howard made Layup.,28,32
0:00,183,End of 1st half,28,32
19:39,183,Oshae Brissett Turnover.,28,32
19:38,314,Deyshonee Much Steal.,28,32
19:11,314,TK Edogi missed Layup.,28,32
19:11,183,Paschal Chukwu Block.,28,32
19:08,314,TK Edogi Offensive Rebound.,28,32
19:06,314,TK Edogi missed Layup.,28,32
19:06,183,Paschal Chukwu Defensive Rebound.,28,32
18:50,183,Oshae Brissett made Jumper.,28,34
18:41,314,Zach Lewis missed Three Point Jumper.,28,34
18:41,183,Paschal Chukwu Defensive Rebound.,28,34
18:17,183,Tyus Battle made Layup. Assisted by Matthew Moyer.,28,36
18:00,314,Rickey McGill made Three Point Jumper. Assisted by Roland Griffin.,31,36
17:45,183,Frank Howard Turnover.,31,36
17:29,314,Rickey McGill missed Jumper.,31,36
17:29,314,Roland Griffin Offensive Rebound.,31,36
17:23,314,Rickey McGill made Three Point Jumper. Assisted by Zach Lewis.,34,36
17:02,183,Tyus Battle missed Jumper.,34,36
17:02,183,Paschal Chukwu Offensive Rebound.,34,36
16:42,183,Paschal Chukwu missed Jumper.,34,36
16:42,183,Paschal Chukwu Offensive Rebound.,34,36
16:38,183,Frank Howard missed Jumper.,34,36
16:38,183,Syracuse Offensive Rebound.,34,36
16:36,314,Foul on TK Edogi.,34,36
16:07,183,Tyus Battle made Layup.,34,38
15:46,314,Roland Griffin made Layup. Assisted by Zach Lewis.,36,38
15:37,314,Foul on Zach Lewis.,36,38
15:37,183,Official TV Timeout,36,38
15:15,183,Tyus Battle made Jumper.,36,40
14:59,314,Deyshonee Much made Three Point Jumper. Assisted by Rickey McGill.,39,40
14:48,183,Matthew Moyer Turnover.,39,40
14:45,314,Rickey McGill Steal.,39,40
14:42,314,Zach Lewis missed Three Point Jumper.,39,40
14:42,183,Syracuse Defensive Rebound.,39,40
14:28,183,Frank Howard Turnover.,39,40
14:13,314,TK Edogi Turnover.,39,40
13:46,314,Foul on Deyshonee Much.,39,40
13:46,183,Tyus Battle made Free Throw.,39,41
13:46,183,Tyus Battle missed Free Throw.,39,41
13:46,183,Syracuse Deadball Team Rebound.,39,41
13:46,183,Tyus Battle made Free Throw.,39,42
13:32,314,Zach Lewis Turnover.,39,42
13:23,183,Tyus Battle missed Three Point Jumper.,39,42
13:23,183,Syracuse Offensive Rebound.,39,42
13:22,314,Foul on Roland Griffin.,39,42
13:20,183,Marek Dolezaj Turnover.,39,42
12:59,314,Rickey McGill missed Three Point Jumper.,39,42
12:58,314,TK Edogi Offensive Rebound.,39,42
12:57,314,TK Edogi Turnover.,39,42
12:56,183,Tyus Battle Steal.,39,42
12:44,183,Tyus Battle made Layup.,39,44
12:44,314,Foul on E.J. Crawford.,39,44
12:44,183,Tyus Battle missed Free Throw.,39,44
12:44,314,TK Edogi Defensive Rebound.,39,44
12:44,183,Foul on Oshae Brissett.,39,44
12:21,314,TK Edogi made Dunk. Assisted by Deyshonee Much.,41,44
12:21,183,Foul on Marek Dolezaj.,41,44
12:21,314,TK Edogi missed Free Throw.,41,44
12:21,314,E.J. Crawford Offensive Rebound.,41,44
11:58,314,Deyshonee Much missed Three Point Jumper.,41,44
11:58,183,Syracuse Defensive Rebound.,41,44
11:57,314,Foul on TK Edogi.,41,44
11:57,183,Official TV Timeout,41,44
11:26,183,Tyus Battle missed Jumper.,41,44
11:26,183,Paschal Chukwu Offensive Rebound.,41,44
11:26,183,Paschal Chukwu Turnover.,41,44
11:02,314,Rickey McGill Turnover.,41,44
11:01,183,Paschal Chukwu Steal.,41,44
10:57,183,Marek Dolezaj made Layup. Assisted by Tyus Battle.,41,46
10:44,314,Foul on Zach Lewis.,41,46
10:44,314,Zach Lewis Turnover.,41,46
10:24,314,Foul on E.J. Crawford.,41,46
10:24,183,Frank Howard made Free Throw.,41,47
10:24,183,Frank Howard missed Free Throw.,41,47
10:19,183,Oshae Brissett Offensive Rebound.,41,47
10:18,314,Foul on TK Edogi.,41,47
10:18,183,Tyus Battle made Free Throw.,41,48
10:18,183,Tyus Battle made Free Throw.,41,49
10:02,314,Zach Lewis missed Three Point Jumper.,41,49
10:01,183,Tyus Battle Block.,41,49
9:59,183,Frank Howard Defensive Rebound.,41,49
9:59,183,Frank Howard Turnover.,41,49
9:51,314,Rickey McGill made Layup. Assisted by Deyshonee Much.,43,49
9:25,183,Marek Dolezaj Turnover.,43,49
9:24,314,Zach Lewis Steal.,43,49
9:14,314,Zach Lewis missed Layup.,43,49
9:14,183,Frank Howard Block.,43,49
9:13,183,Tyus Battle Defensive Rebound.,43,49
9:12,183,Frank Howard missed Jumper.,43,49
9:12,314,Deyshonee Much Defensive Rebound.,43,49
9:08,314,Rickey McGill missed Three Point Jumper.,43,49
9:08,183,Oshae Brissett Defensive Rebound.,43,49
9:02,314,Foul on Roland Griffin.,43,49
9:02,183,Oshae Brissett made Free Throw.,43,50
9:02,183,Oshae Brissett made Free Throw.,43,51
8:39,314,Deyshonee Much made Three Point Jumper. Assisted by Rickey McGill.,46,51
8:12,183,Oshae Brissett missed Three Point Jumper.,46,51
8:12,314,Rickey McGill Defensive Rebound.,46,51
8:05,314,Roland Griffin made Layup.,48,51
7:40,183,Tyus Battle made Three Point Jumper. Assisted by Frank Howard.,48,54
7:36,314,Rickey McGill Turnover.,48,54
7:36,183,Marek Dolezaj Steal.,48,54
7:36,183,Official TV Timeout,48,54
7:18,183,Frank Howard made Layup.,48,56
7:10,314,Deyshonee Much missed Three Point Jumper.,48,56
7:10,183,Frank Howard Defensive Rebound.,48,56
7:03,183,Oshae Brissett missed Three Point Jumper.,48,56
7:03,314,Roland Griffin Defensive Rebound.,48,56
6:56,314,Zach Lewis missed Three Point Jumper.,48,56
6:56,314,Iona Offensive Rebound.,48,56
6:54,183,Foul on Oshae Brissett.,48,56
6:38,314,Gavin Kensmil missed Layup.,48,56
6:38,314,Roland Griffin Offensive Rebound.,48,56
6:34,314,Roland Griffin made Layup.,50,56
6:25,183,Oshae Brissett Turnover.,50,56
6:03,314,Deyshonee Much made Layup.,52,56
5:41,314,Foul on Roland Griffin.,52,56
5:41,183,Bourama Sidibe missed Free Throw.,52,56
5:41,183,Syracuse Deadball Team Rebound.,52,56
5:41,183,Bourama Sidibe missed Free Throw.,52,56
5:41,314,Gavin Kensmil Defensive Rebound.,52,56
5:37,314,TK Edogi made Dunk. Assisted by Rickey McGill.,54,56
5:28,183,Tyus Battle made Jumper.,54,58
5:12,183,Foul on Bourama Sidibe.,54,58
5:03,314,Rickey McGill missed Three Point Jumper.,54,58
5:03,183,Marek Dolezaj Defensive Rebound.,54,58
4:42,183,Tyus Battle made Jumper.,54,60
4:14,314,Gavin Kensmil missed Jumper.,54,60
4:14,183,Bourama Sidibe Block.,54,60
4:12,183,Frank Howard Defensive Rebound.,54,60
3:54,314,Foul on TK Edogi.,54,60
3:54,183,Official TV Timeout,54,60
3:54,183,Bourama Sidibe made Free Throw.,54,61
3:54,183,Bourama Sidibe missed Free Throw.,54,61
3:54,314,E.J. Crawford Defensive Rebound.,54,61
3:35,314,Deyshonee Much missed Three Point Jumper.,54,61
3:35,183,Tyus Battle Defensive Rebound.,54,61
3:13,183,Frank Howard missed Layup.,54,61
3:13,183,Marek Dolezaj Offensive Rebound.,54,61
3:10,183,Marek Dolezaj made Layup.,54,63
3:05,183,Foul on Frank Howard.,54,63
3:03,183,Foul on Bourama Sidibe.,54,63
3:03,314,E.J. Crawford missed Free Throw.,54,63
3:03,314,Iona Deadball Team Rebound.,54,63
3:03,314,E.J. Crawford made Free Throw.,55,63
2:35,183,Tyus Battle made Jumper.,55,65
2:05,314,E.J. Crawford missed Three Point Jumper.,55,65
2:05,314,Iona Offensive Rebound.,55,65
2:03,183,Foul on Marek Dolezaj.,55,65
2:03,314,Deyshonee Much made Free Throw.,56,65
2:03,314,Deyshonee Much made Free Throw.,57,65
1:34,183,Tyus Battle missed Three Point Jumper.,57,65
1:34,183,Marek Dolezaj Offensive Rebound.,57,65
1:16,183,Bourama Sidibe missed Layup.,57,65
1:16,183,Marek Dolezaj Offensive Rebound.,57,65
1:12,183,Marek Dolezaj missed Layup.,57,65
1:12,183,Marek Dolezaj Offensive Rebound.,57,65
1:09,183,Marek Dolezaj made Layup.,57,67
1:04,314,Iona  Timeout,57,67
0:53,314,Zach Lewis made Three Point Jumper.,60,67
0:51,183,Syracuse  Timeout,60,67
0:47,183,Tyus Battle made Dunk. Assisted by Oshae Brissett.,60,69
0:37,183,Foul on Marek Dolezaj.,60,69
0:37,314,Rickey McGill made Free Throw.,61,69
0:37,314,Rickey McGill made Free Throw.,62,69
0:34,183,Syracuse  Timeout,62,69
0:32,314,Foul on Jan Svandrlik.,62,69
0:32,183,Frank Howard made Free Throw.,62,70
0:32,183,Frank Howard made Free Throw.,62,71
0:13,314,Deyshonee Much missed Layup.,62,71
