UNC Wilmington,2166,Davidson,350
15:15,350,Devontae Cacok missed Jumper.,43,65
15:15,350,Marcus Bryan Offensive Rebound.,43,65
15:12,350,Marcus Bryan missed Layup.,43,65
15:12,350,Marcus Bryan Offensive Rebound.,43,65
15:07,350,Marcus Bryan made Layup.,45,65
14:56,2166,Dusan Kovacevic missed Layup.,45,65
14:56,350,Marcus Bryan Defensive Rebound.,45,65
14:47,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,47,65
14:37,2166,Jon Axel Gudmundsson made Layup.,47,67
14:37,350,Foul on Jeffrey Gary.,47,67
14:37,2166,Jon Axel Gudmundsson missed Free Throw.,47,67
14:37,350,Devontae Cacok Defensive Rebound.,47,67
14:30,350,Jeffrey Gary missed Three Point Jumper.,47,67
14:30,2166,Jon Axel Gudmundsson Defensive Rebound.,47,67
14:10,2166,Peyton Aldridge missed Three Point Jumper.,47,67
14:10,350,Devontae Cacok Defensive Rebound.,47,67
14:04,2166,Foul on Rusty Reigel.,47,67
13:48,350,Jordon Talley made Three Point Jumper.,50,67
13:29,350,Foul on Devontae Cacok.,50,67
13:29,2166,Kellan Grady made Free Throw.,50,68
13:29,2166,Kellan Grady made Free Throw.,50,69
13:17,350,Jeffrey Gary missed Three Point Jumper.,50,69
13:17,350,Devontae Cacok Offensive Rebound.,50,69
13:15,2166,Foul on Will Magarity.,50,69
13:14,350,Jordon Talley Turnover.,50,69
13:13,2166,KiShawn Pritchett Steal.,50,69
13:11,2166,Peyton Aldridge made Layup. Assisted by KiShawn Pritchett.,50,71
12:50,350,Devontae Cacok made Jumper.,52,71
12:31,2166,KiShawn Pritchett missed Three Point Jumper.,52,71
12:31,350,Jaylen Fornes Defensive Rebound.,52,71
12:25,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,54,71
12:09,2166,Will Magarity made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,54,74
12:00,350,Jordon Talley made Jumper.,56,74
11:38,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Will Magarity.,56,77
11:24,350,Trey Kalina missed Jumper.,56,77
11:24,2166,Will Magarity Defensive Rebound.,56,77
11:00,2166,KiShawn Pritchett missed Three Point Jumper.,56,77
11:00,2166,Carter Collins Offensive Rebound.,56,77
10:55,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Carter Collins.,56,80
10:38,350,Devontae Cacok Turnover.,56,80
10:38,2166,Davidson  Timeout,56,80
10:22,2166,Peyton Aldridge made Jumper. Assisted by Oskar Michelsen.,56,82
10:10,350,Jaylen Fornes made Jumper.,58,82
9:54,2166,Jon Axel Gudmundsson missed Three Point Jumper.,58,82
9:54,350,Marcus Bryan Defensive Rebound.,58,82
9:39,2166,Foul on KiShawn Pritchett.,58,82
9:39,350,Jaylen Fornes made Free Throw.,59,82
9:39,350,Jaylen Fornes missed Free Throw.,59,82
9:39,2166,Carter Collins Defensive Rebound.,59,82
9:26,2166,Peyton Aldridge made Jumper. Assisted by Jon Axel Gudmundsson.,59,84
9:14,350,Ty Taylor II missed Jumper.,59,84
9:14,2166,Carter Collins Defensive Rebound.,59,84
9:06,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Kellan Grady.,59,87
8:47,350,Marcus Bryan missed Jumper.,59,87
8:47,2166,Jon Axel Gudmundsson Defensive Rebound.,59,87
8:29,2166,Kellan Grady made Layup. Assisted by Jon Axel Gudmundsson.,59,89
8:29,350,Foul on Jacque Brown.,59,89
8:29,2166,Kellan Grady made Free Throw.,59,90
8:03,350,Jacque Brown missed Three Point Jumper.,59,90
8:03,2166,Dusan Kovacevic Defensive Rebound.,59,90
7:54,2166,Carter Collins made Layup.,59,92
