Lafayette,2885,NJIT,322
5:05,322,Auston Evans missed Free Throw.,24,37
5:05,2885,Mohamed Bendary Defensive Rebound.,24,37
4:51,2885,Mohamed Bendary made Layup. Assisted by David Kachelries.,24,39
4:51,322,Foul on Dylan Hastings.,24,39
4:51,2885,Mohamed Bendary made Free Throw.,24,40
4:28,322,Eric Stafford missed Jumper.,24,40
4:28,2885,Abdul Lewis Defensive Rebound.,24,40
4:11,2885,Foul on Mohamed Bendary.,24,40
4:11,2885,Foul on Mohamed Bendary.,24,40
4:11,2885,Mohamed Bendary Turnover.,24,40
4:11,322,Kyle Stout Steal.,24,40
4:11,2885,Technical Foul on Mohamed Bendary.,24,40
4:11,322,Kyle Stout missed Free Throw.,24,40
4:11,322,Lafayette Deadball Team Rebound.,24,40
4:11,322,Kyle Stout missed Free Throw.,24,40
4:11,322,Lafayette Deadball Team Rebound.,24,40
4:11,322,Eric Stafford missed Free Throw.,24,40
4:11,322,Lafayette Deadball Team Rebound.,24,40
4:11,322,Eric Stafford made Free Throw.,25,40
3:58,322,Matt Klinewski missed Jumper.,25,40
3:58,2885,Shyquan Gibbs Defensive Rebound.,25,40
3:55,322,Foul on Eric Stafford.,25,40
3:55,2885,Official TV Timeout,25,40
3:43,2885,Abdul Lewis made Layup. Assisted by Anthony Tarke.,25,42
3:43,322,Foul on Kyle Stout.,25,42
3:43,2885,Abdul Lewis missed Free Throw.,25,42
3:43,322,Lukas Jarrett Defensive Rebound.,25,42
3:26,322,Eric Stafford Turnover.,25,42
3:24,2885,Anthony Tarke Steal.,25,42
3:23,2885,Anthony Tarke made Dunk.,25,44
3:16,322,Foul on Matt Klinewski.,25,44
3:16,322,Matt Klinewski Turnover.,25,44
3:01,2885,Anthony Tarke missed Jumper.,25,44
3:01,2885,Shawndale Jones Offensive Rebound.,25,44
2:57,2885,Shawndale Jones made Layup.,25,46
2:38,322,Alex Petrie missed Layup.,25,46
2:38,2885,Shawndale Jones Defensive Rebound.,25,46
2:18,2885,Abdul Lewis missed Jumper.,25,46
2:18,322,Paulius Zalys Defensive Rebound.,25,46
2:12,322,Paulius Zalys Turnover.,25,46
1:58,2885,Anthony Tarke made Three Point Jumper. Assisted by Reilly Walsh.,25,49
1:37,322,Dylan Hastings made Three Point Jumper. Assisted by Eric Stafford.,28,49
1:12,2885,Diandre Wilson Turnover.,28,49
1:02,322,E.J. Stephens made Jumper.,30,49
0:46,2885,Reilly Walsh missed Layup.,30,49
0:46,322,Eric Stafford Defensive Rebound.,30,49
0:38,322,Dylan Hastings missed Layup.,30,49
0:38,2885,Abdul Lewis Block.,30,49
0:35,2885,Abdul Lewis Defensive Rebound.,30,49
0:09,2885,Zach Cooks missed Three Point Jumper.,30,49
0:09,2885,Abdul Lewis Offensive Rebound.,30,49
0:07,2885,Abdul Lewis made Layup.,30,51
0:01,322,Eric Stafford missed Jumper.,30,51
0:01,2885,Abdul Lewis Defensive Rebound.,30,51
0:00,2885,End of 1st half,30,51
19:45,322,Alex Petrie made Jumper.,32,51
19:21,2885,Shyquan Gibbs made Three Point Jumper.,32,54
19:12,322,Dylan Hastings Turnover.,32,54
19:10,2885,Shyquan Gibbs Steal.,32,54
19:07,2885,Shyquan Gibbs made Layup.,32,56
18:49,2885,Foul on Anthony Tarke.,32,56
18:48,322,Eric Stafford missed Three Point Jumper.,32,56
18:48,2885,Anthony Tarke Defensive Rebound.,32,56
18:26,2885,Abdul Lewis made Layup.,32,58
18:12,2885,Foul on Reilly Walsh.,32,58
18:10,2885,Foul on Anthony Tarke.,32,58
18:10,322,Alex Petrie made Free Throw.,33,58
18:10,322,Alex Petrie made Free Throw.,34,58
17:59,2885,Diandre Wilson made Three Point Jumper. Assisted by Taj Price.,34,61
17:29,322,Dylan Hastings made Three Point Jumper. Assisted by Eric Stafford.,37,61
17:03,2885,Taj Price made Jumper.,37,63
16:38,322,Myles Cherry missed Layup.,37,63
16:38,2885,Shawndale Jones Block.,37,63
16:37,2885,Shawndale Jones Defensive Rebound.,37,63
16:28,2885,Diandre Wilson made Layup.,37,65
16:19,322,Lafayette  Timeout,37,65
16:19,2885,Official TV Timeout,37,65
16:09,322,Paulius Zalys missed Jumper.,37,65
16:09,2885,Zach Cooks Defensive Rebound.,37,65
16:01,2885,David Kachelries made Layup.,37,67
15:48,322,Eric Stafford made Layup.,39,67
15:22,2885,Abdul Lewis missed Three Point Jumper.,39,67
15:22,322,Kyle Stout Defensive Rebound.,39,67
15:06,322,Paulius Zalys made Jumper.,41,67
14:44,322,Foul on Matt Klinewski.,41,67
14:44,2885,Official TV Timeout,41,67
14:24,2885,Abdul Lewis missed Jumper.,41,67
14:24,322,Lukas Jarrett Defensive Rebound.,41,67
14:07,322,Foul on Paulius Zalys.,41,67
14:07,322,Paulius Zalys Turnover.,41,67
13:41,2885,Diandre Wilson missed Jumper.,41,67
13:41,322,Myles Cherry Defensive Rebound.,41,67
13:33,2885,Foul on Zach Cooks.,41,67
13:33,322,Lukas Jarrett missed Free Throw.,41,67
13:33,322,Lafayette Deadball Team Rebound.,41,67
13:33,322,Lukas Jarrett made Free Throw.,42,67
13:16,2885,Zach Cooks made Layup.,42,69
13:16,322,Foul on Kyle Stout.,42,69
13:16,2885,Zach Cooks made Free Throw.,42,70
13:01,2885,Foul on Shawndale Jones.,42,70
12:59,322,Paulius Zalys made Layup.,44,70
12:40,2885,Diandre Wilson made Three Point Jumper.,44,73
12:25,322,Kyle Stout made Three Point Jumper. Assisted by Alex Petrie.,47,73
11:52,322,Foul on Kyle Stout.,47,73
11:52,2885,Official TV Timeout,47,73
11:52,2885,Diandre Wilson made Free Throw.,47,74
11:52,2885,Diandre Wilson made Free Throw.,47,75
11:31,322,Lukas Jarrett made Layup.,49,75
11:31,2885,Foul on Reilly Walsh.,49,75
11:31,322,Lukas Jarrett missed Free Throw.,49,75
11:31,322,Matt Klinewski Offensive Rebound.,49,75
11:20,322,Alex Petrie made Three Point Jumper.,52,75
11:03,2885,Zach Cooks missed Layup.,52,75
11:03,322,Matt Klinewski Block.,52,75
11:03,2885,NJIT Offensive Rebound.,52,75
10:46,2885,Zach Cooks missed Three Point Jumper.,52,75
10:46,322,Myles Cherry Defensive Rebound.,52,75
10:44,2885,Foul on Reilly Walsh.,52,75
10:44,322,Myles Cherry made Free Throw.,53,75
10:44,322,Myles Cherry made Free Throw.,54,75
10:19,2885,Shawndale Jones missed Jumper.,54,75
10:19,322,Kyle Stout Defensive Rebound.,54,75
10:08,322,Myles Cherry missed Layup.,54,75
10:08,2885,Abdul Lewis Defensive Rebound.,54,75
10:03,2885,Abdul Lewis Turnover.,54,75
10:02,322,E.J. Stephens Steal.,54,75
10:01,322,E.J. Stephens made Jumper.,56,75
9:59,2885,NJIT  Timeout,56,75
9:43,2885,Chris Jenkins made Three Point Jumper. Assisted by Shyquan Gibbs.,56,78
9:26,2885,Foul on Diandre Wilson.,56,78
9:26,322,Paulius Zalys missed Free Throw.,56,78
9:26,322,Lafayette Deadball Team Rebound.,56,78
9:26,322,Paulius Zalys made Free Throw.,57,78
8:59,2885,Chris Jenkins made Three Point Jumper. Assisted by Shyquan Gibbs.,57,81
8:44,322,Matt Klinewski Turnover.,57,81
8:43,2885,David Kachelries Steal.,57,81
8:40,2885,David Kachelries missed Free Throw.,57,81
8:40,322,Foul on Alex Petrie.,57,81
8:40,2885,David Kachelries missed Free Throw.,57,81
8:40,2885,NJIT Deadball Team Rebound.,57,81
8:40,322,Dylan Hastings Defensive Rebound.,57,81
8:35,322,E.J. Stephens Turnover.,57,81
8:10,2885,Chris Jenkins made Three Point Jumper. Assisted by David Kachelries.,57,84
7:56,322,E.J. Stephens made Jumper.,59,84
7:56,2885,Foul on Shyquan Gibbs.,59,84
7:56,2885,Official TV Timeout,59,84
7:56,322,E.J. Stephens made Free Throw.,60,84
7:32,2885,Shyquan Gibbs made Jumper.,60,86
7:13,322,Paulius Zalys made Jumper.,62,86
6:59,2885,Shawndale Jones missed Layup.,62,86
6:59,322,Paulius Zalys Block.,62,86
6:56,322,Dylan Hastings Defensive Rebound.,62,86
6:41,322,Matt Klinewski made Three Point Jumper. Assisted by Kyle Stout.,65,86
6:23,2885,David Kachelries made Layup.,65,88
6:11,322,Alex Petrie made Three Point Jumper.,68,88
5:52,2885,David Kachelries missed Layup.,68,88
5:52,322,Dylan Hastings Block.,68,88
5:49,2885,Taj Price Offensive Rebound.,68,88
5:43,2885,Shyquan Gibbs missed Layup.,68,88
5:43,322,E.J. Stephens Defensive Rebound.,68,88
5:36,322,E.J. Stephens Turnover.,68,88
5:34,2885,Shyquan Gibbs Steal.,68,88
5:31,2885,Shyquan Gibbs made Layup.,68,90
5:11,322,Alex Petrie missed Three Point Jumper.,68,90
5:11,2885,Abdul Lewis Defensive Rebound.,68,90
4:33,2885,Shyquan Gibbs missed Three Point Jumper.,68,90
4:33,2885,Abdul Lewis Offensive Rebound.,68,90
4:29,2885,Abdul Lewis missed Layup.,68,90
4:29,2885,Abdul Lewis Offensive Rebound.,68,90
4:25,2885,Abdul Lewis made Two Point Tip Shot.,68,92
4:15,322,E.J. Stephens made Layup.,70,92
4:07,2885,Foul on Abdul Lewis.,70,92
4:07,2885,Abdul Lewis Turnover.,70,92
4:07,2885,NJIT  Timeout,70,92
4:07,2885,Official TV Timeout,70,92
3:43,322,E.J. Stephens made Jumper.,72,92
3:19,2885,Anthony Tarke missed Jumper.,72,92
3:19,322,E.J. Stephens Defensive Rebound.,72,92
3:00,322,Alex Petrie made Jumper.,74,92
2:31,2885,Diandre Wilson missed Three Point Jumper.,74,92
2:31,322,E.J. Stephens Defensive Rebound.,74,92
2:24,322,Alex Petrie made Three Point Jumper. Assisted by E.J. Stephens.,77,92
2:02,2885,Diandre Wilson made Layup.,77,94
2:02,322,Foul on Paulius Zalys.,77,94
2:02,2885,Diandre Wilson missed Free Throw.,77,94
2:02,322,Lukas Jarrett Defensive Rebound.,77,94
1:47,322,Dylan Hastings made Three Point Jumper. Assisted by Lukas Jarrett.,80,94
1:13,2885,Shawndale Jones missed Three Point Jumper.,80,94
1:13,322,Lukas Jarrett Defensive Rebound.,80,94
1:02,322,Paulius Zalys Turnover.,80,94
0:32,2885,Anthony Tarke missed Layup.,80,94
0:32,2885,Abdul Lewis Offensive Rebound.,80,94
0:29,2885,Abdul Lewis made Two Point Tip Shot.,80,96
0:18,322,Alex Petrie missed Three Point Jumper.,80,96
0:17,2885,Anthony Tarke Defensive Rebound.,80,96
0:00,2885,End of Game,80,96
