Wright State,193,Miami (OH),2750
12:23,193,Foul on Dalonte Brown.,11,13
12:23,2750,Parker Ernsthausen made Free Throw.,12,13
12:23,2750,Parker Ernsthausen missed Free Throw.,12,13
12:23,2750,Loudon Love Offensive Rebound.,12,13
12:19,2750,Loudon Love made Layup.,14,13
12:02,193,Jake Wright made Three Point Jumper.,14,16
11:48,193,Logan McLane missed Layup.,14,16
11:48,2750,Alan Vest Defensive Rebound.,14,16
11:42,193,Rod Mills Jr. Defensive Rebound.,14,16
11:42,2750,Alan Vest missed Three Point Jumper.,14,16
11:19,193,Rod Mills Jr. missed Jumper.,14,16
11:19,193,Rod Mills Jr. Offensive Rebound.,14,16
10:57,2750,Loudon Love Turnover.,14,16
10:48,193,Nike Sibande missed Three Point Jumper.,14,16
10:48,2750,Loudon Love Defensive Rebound.,14,16
10:43,193,Logan McLane Turnover.,14,16
10:42,2750,Justin Mitchell Steal.,14,16
10:37,2750,Justin Mitchell made Layup. Assisted by Alan Vest.,16,16
10:17,193,Nike Sibande Defensive Rebound.,16,16
10:17,2750,Everett Winchester missed Three Point Jumper.,16,16
10:03,2750,Justin Mitchell made Layup.,18,16
9:46,193,Precious Ayah made Free Throw.,18,17
9:46,193,Precious Ayah missed Free Throw.,18,17
9:46,2750,Foul on Grant Benzinger.,18,16
9:46,2750,Justin Mitchell Defensive Rebound.,18,17
9:34,193,Jake Wright Defensive Rebound.,18,17
9:34,2750,Grant Benzinger missed Three Point Jumper.,18,17
9:23,193,Rod Mills Jr. missed Jumper.,18,17
9:23,2750,Grant Benzinger Defensive Rebound.,18,17
9:14,2750,Mark Hughes made Three Point Jumper. Assisted by Everett Winchester.,21,17
8:58,193,Jake Wright made Three Point Jumper. Assisted by Darrian Ringo.,21,20
8:44,2750,Everett Winchester missed Three Point Jumper.,21,20
8:44,2750,Mark Hughes Offensive Rebound.,21,20
8:35,193,Darrian Ringo Defensive Rebound.,21,20
8:35,2750,Mark Hughes missed Three Point Jumper.,21,20
8:04,193,Rod Mills Jr. missed Jumper.,21,20
8:04,2750,Tye Wilburn Defensive Rebound.,21,20
7:53,2750,Mark Hughes missed Jumper.,21,20
7:53,2750,Wright State Offensive Rebound.,21,20
7:52,193,Official TV Timeout,21,20
7:52,193,Official TV Timeout,21,20
7:29,193,Foul on Precious Ayah.,23,20
7:29,2750,Everett Winchester made Layup.,23,20
7:29,2750,Everett Winchester made Free Throw.,24,20
7:05,193,Jake Wright missed Three Point Jumper.,24,20
7:05,2750,Tye Wilburn Defensive Rebound.,24,20
7:03,193,Foul on Precious Ayah.,24,20
7:03,193,Nike Sibande Defensive Rebound.,25,20
7:03,2750,Tye Wilburn made Free Throw.,25,20
7:03,2750,Tye Wilburn missed Free Throw.,25,20
6:40,193,Darrian Ringo missed Three Point Jumper.,25,20
6:40,193,Rod Mills Jr. Offensive Rebound.,25,20
6:34,193,Nike Sibande made Three Point Jumper. Assisted by Darrian Ringo.,25,23
6:08,2750,Justin Mitchell Turnover.,25,23
6:07,193,Precious Ayah Steal.,25,23
5:59,193,Jake Wright made Three Point Jumper. Assisted by Darrian Ringo.,25,26
5:40,193,Foul on Rod Mills Jr..,25,26
5:40,193,Jalen Adaway Defensive Rebound.,26,26
5:40,2750,Loudon Love made Free Throw.,26,26
5:40,2750,Loudon Love missed Free Throw.,26,26
5:14,193,Jake Wright missed Three Point Jumper.,26,26
5:14,2750,Justin Mitchell Defensive Rebound.,26,26
5:03,2750,Loudon Love made Layup. Assisted by Justin Mitchell.,28,26
4:29,193,Logan McLane made Dunk. Assisted by Darrian Ringo.,28,28
4:04,2750,Parker Ernsthausen made Jumper. Assisted by Everett Winchester.,30,28
3:48,193,Official TV Timeout,30,28
3:48,2750,Foul on Justin Mitchell.,30,28
3:45,193,Jalen Adaway made Jumper.,30,30
3:20,2750,Parker Ernsthausen made Jumper. Assisted by Tye Wilburn.,32,30
2:56,193,Nike Sibande missed Jumper.,32,30
2:56,2750,Tye Wilburn Defensive Rebound.,32,30
2:48,2750,Everett Winchester Turnover.,32,30
2:46,193,Logan McLane Steal.,32,30
2:42,193,Jalen Adaway made Layup. Assisted by Nike Sibande.,32,32
2:41,193,Jalen Adaway missed Free Throw.,32,32
2:41,2750,Foul on Parker Ernsthausen.,32,32
2:41,2750,Everett Winchester Defensive Rebound.,32,32
2:17,193,Rod Mills Jr. Steal.,32,32
2:17,2750,Everett Winchester Turnover.,32,32
2:01,193,Jalen Adaway missed Layup.,32,32
2:01,2750,Parker Ernsthausen Block.,32,32
1:58,2750,Parker Ernsthausen Defensive Rebound.,32,32
1:42,193,Logan McLane Defensive Rebound.,32,32
1:42,2750,Grant Benzinger missed Jumper.,32,32
1:23,193,Nike Sibande made Three Point Jumper. Assisted by Darrian Ringo.,32,35
1:09,193,Foul on Logan McLane.,32,35
1:09,2750,Tye Wilburn missed Free Throw.,32,35
1:09,2750,Wright State Deadball Team Rebound.,32,35
1:09,2750,Tye Wilburn made Free Throw.,33,35
0:58,193,Nike Sibande missed Three Point Jumper.,33,35
0:58,2750,Tye Wilburn Defensive Rebound.,33,35
0:43,2750,Loudon Love Turnover.,33,35
0:16,193,Jalen Adaway missed Three Point Jumper.,33,35
0:16,193,Precious Ayah Offensive Rebound.,33,35
0:13,2750,Foul on Grant Benzinger.,33,35
0:00,193,Jalen Adaway made Dunk. Assisted by Darrian Ringo.,33,37
0:00,193,End of 1st half,33,37
19:31,193,Dalonte Brown Defensive Rebound.,33,37
19:31,2750,Justin Mitchell missed Jumper.,33,37
19:07,193,Nike Sibande missed Jumper.,33,37
19:07,2750,Justin Mitchell Defensive Rebound.,33,37
18:43,2750,Grant Benzinger made Three Point Jumper. Assisted by Justin Mitchell.,36,37
18:25,193,Nike Sibande missed Three Point Jumper.,36,37
18:25,2750,Grant Benzinger Defensive Rebound.,36,37
18:16,2750,Grant Benzinger made Jumper.,38,37
17:53,193,Logan McLane missed Layup.,38,37
17:53,193,Miami (OH) Offensive Rebound.,38,37
17:39,193,Darrian Ringo Turnover.,38,37
17:30,2750,Justin Mitchell Turnover.,38,37
17:14,193,Darrian Ringo missed Three Point Jumper.,38,37
17:14,2750,Wright State Defensive Rebound.,38,37
17:13,193,Foul on Logan McLane.,38,37
17:02,193,Bam Bowman Block.,38,37
17:02,193,Bam Bowman Defensive Rebound.,38,37
17:02,2750,Everett Winchester missed Jumper.,38,37
16:53,193,Bam Bowman made Three Point Jumper. Assisted by Darrian Ringo.,38,40
16:40,2750,Grant Benzinger Turnover.,38,40
16:39,193,Darrian Ringo Steal.,38,40
16:34,193,Jalen Adaway made Jumper. Assisted by Darrian Ringo.,38,42
16:20,2750,Loudon Love missed Jumper.,38,42
16:20,2750,Everett Winchester Offensive Rebound.,38,42
16:18,2750,Everett Winchester made Two Point Tip Shot.,40,42
16:00,193,Darrian Ringo missed Layup.,40,42
16:00,2750,Justin Mitchell Defensive Rebound.,40,42
15:51,193,Dalonte Brown Defensive Rebound.,40,42
15:51,2750,Justin Mitchell missed Jumper.,40,42
15:49,2750,Foul on Everett Winchester.,40,42
15:34,193,Nike Sibande made Three Point Jumper. Assisted by Bam Bowman.,40,45
15:07,193,Bam Bowman Block.,40,45
15:07,2750,Grant Benzinger missed Layup.,40,45
15:07,2750,Wright State Offensive Rebound.,40,45
15:04,193,Nike Sibande Defensive Rebound.,40,45
15:04,2750,Grant Benzinger missed Jumper.,40,45
14:51,193,Dalonte Brown missed Free Throw.,40,45
14:51,193,Miami (OH) Deadball Team Rebound.,40,45
14:51,193,Dalonte Brown made Free Throw.,40,46
14:51,2750,Foul on Everett Winchester.,40,45
14:25,2750,Loudon Love Turnover.,40,46
14:24,193,Dalonte Brown Steal.,40,46
14:23,193,Dalonte Brown Turnover.,40,46
14:23,2750,Grant Benzinger Steal.,40,46
14:11,193,Dalonte Brown Defensive Rebound.,40,46
14:11,2750,Grant Benzinger missed Jumper.,40,46
13:45,193,Bam Bowman Turnover.,40,46
13:44,2750,Tye Wilburn Steal.,40,46
13:42,2750,Tye Wilburn made Layup.,42,46
13:11,193,Bam Bowman missed Three Point Jumper.,42,46
13:11,2750,Grant Benzinger Defensive Rebound.,42,46
13:08,193,Foul on Dalonte Brown.,42,46
12:58,193,Bam Bowman Defensive Rebound.,42,46
12:58,2750,Grant Benzinger missed Three Point Jumper.,42,46
12:46,193,Rod Mills Jr. Turnover.,42,46
12:34,2750,Loudon Love made Layup. Assisted by Parker Ernsthausen.,44,46
12:19,193,Bam Bowman missed Jumper.,44,46
12:19,2750,Loudon Love Block.,44,46
12:17,2750,Loudon Love Defensive Rebound.,44,46
11:53,193,Foul on Isaiah Coleman-Lands.,44,46
11:53,193,Official TV Timeout,44,46
11:53,193,Official TV Timeout,44,46
11:47,2750,Grant Benzinger Turnover.,44,46
11:30,193,Nike Sibande made Layup.,44,48
11:30,193,Nike Sibande made Free Throw.,44,49
11:30,2750,Foul on Tye Wilburn.,44,48
11:05,193,Foul on Isaiah Coleman-Lands.,44,49
10:51,193,Darrian Ringo Defensive Rebound.,44,49
10:51,2750,Mark Hughes missed Three Point Jumper.,44,49
10:26,193,Bam Bowman missed Three Point Jumper.,44,49
10:26,2750,Tye Wilburn Defensive Rebound.,44,49
9:59,2750,Loudon Love missed Layup.,44,49
9:59,2750,Tye Wilburn Offensive Rebound.,44,49
9:57,193,Official TV Timeout,46,49
9:57,2750,Tye Wilburn made Jumper.,46,49
9:57,2750,Wright State  Timeout,46,49
9:45,193,Darrian Ringo missed Layup.,46,49
9:45,2750,Loudon Love Defensive Rebound.,46,49
9:31,2750,Loudon Love missed Dunk.,46,49
9:31,2750,Loudon Love Offensive Rebound.,46,49
9:29,2750,Loudon Love made Jumper.,48,49
9:17,193,Nike Sibande missed Jumper.,48,49
9:17,2750,Everett Winchester Defensive Rebound.,48,49
9:05,193,Foul on Darrian Ringo.,48,49
8:53,193,Miami (OH) Defensive Rebound.,48,49
8:53,2750,Loudon Love missed Jumper.,48,49
8:52,2750,Foul on Parker Ernsthausen.,48,49
8:39,193,Bam Bowman missed Three Point Jumper.,48,49
8:39,2750,Everett Winchester Defensive Rebound.,48,49
8:24,2750,Parker Ernsthausen made Jumper. Assisted by Grant Benzinger.,50,49
8:06,193,Dalonte Brown missed Jumper.,50,49
8:06,2750,Loudon Love Defensive Rebound.,50,49
7:42,193,Foul on Darrian Ringo.,50,49
7:42,193,Official TV Timeout,50,49
7:42,193,Official TV Timeout,50,49
7:42,2750,Mark Hughes missed Free Throw.,50,49
7:42,2750,Wright State Deadball Team Rebound.,50,49
7:42,2750,Mark Hughes made Free Throw.,51,49
7:22,193,Logan McLane missed Jumper.,51,49
7:22,193,Miami (OH) Offensive Rebound.,51,49
7:22,2750,Foul on Parker Ernsthausen.,51,49
7:11,193,Logan McLane missed Three Point Jumper.,51,49
7:11,2750,Tye Wilburn Defensive Rebound.,51,49
7:08,193,Foul on Dalonte Brown.,51,49
7:08,2750,Tye Wilburn made Free Throw.,52,49
7:08,2750,Tye Wilburn made Free Throw.,53,49
6:50,193,Darrian Ringo made Layup.,53,51
6:30,2750,Loudon Love made Layup. Assisted by Tye Wilburn.,55,51
6:17,2750,Foul on Tye Wilburn.,55,51
6:15,193,Foul on Jake Wright.,55,51
6:15,193,Jake Wright Turnover.,55,51
5:46,2750,Mark Hughes made Jumper.,57,51
5:35,193,Logan McLane made Free Throw.,57,52
5:35,193,Logan McLane made Free Throw.,57,53
5:35,2750,Foul on Grant Benzinger.,57,51
5:23,2750,Mark Hughes made Jumper.,59,53
5:06,193,Jake Wright missed Jumper.,59,53
5:06,2750,Tye Wilburn Defensive Rebound.,59,53
4:36,193,Logan McLane Defensive Rebound.,59,53
4:36,2750,Everett Winchester missed Layup.,59,53
4:03,193,Logan McLane Turnover.,59,53
4:03,2750,Everett Winchester Steal.,59,53
3:48,2750,Everett Winchester made Jumper. Assisted by Grant Benzinger.,61,53
3:31,193,Nike Sibande made Three Point Jumper.,61,56
3:11,193,Official TV Timeout,61,56
3:11,2750,Grant Benzinger Turnover.,61,56
2:55,193,Darrian Ringo Turnover.,61,56
2:42,193,Logan McLane Defensive Rebound.,61,56
2:42,2750,Loudon Love missed Jumper.,61,56
2:33,193,Rod Mills Jr. made Three Point Jumper. Assisted by Darrian Ringo.,61,59
2:04,2750,Loudon Love missed Jumper.,61,59
2:04,2750,Loudon Love Offensive Rebound.,61,59
1:34,193,Logan McLane Defensive Rebound.,61,59
1:34,2750,Loudon Love missed Layup.,61,59
1:27,193,Darrian Ringo made Jumper.,61,61
1:03,193,Foul on Rod Mills Jr..,61,61
1:03,2750,Everett Winchester missed Free Throw.,61,61
1:03,2750,Wright State Deadball Team Rebound.,61,61
1:03,2750,Everett Winchester made Free Throw.,62,61
0:45,193,Miami (OH)  Timeout,62,61
0:41,193,Rod Mills Jr. missed Three Point Jumper.,62,61
0:41,2750,Mark Hughes Defensive Rebound.,62,61
0:32,2750,Wright State  Timeout,62,61
0:26,193,Foul on Darrian Ringo.,62,61
0:26,193,Rod Mills Jr. Defensive Rebound.,63,61
0:26,2750,Tye Wilburn made Free Throw.,63,61
0:26,2750,Tye Wilburn missed Free Throw.,63,61
0:19,193,Miami (OH)  Timeout,63,61
0:14,193,Darrian Ringo made Free Throw.,63,62
0:14,193,Darrian Ringo made Free Throw.,63,63
0:14,2750,Foul on Mark Hughes.,63,61
0:03,193,Logan McLane Defensive Rebound.,63,63
0:03,2750,Mark Hughes missed Jumper.,63,63
0:00,193,End of 2nd half,63,63
4:51,2750,Parker Ernsthausen Turnover.,63,63
4:35,193,Rod Mills Jr. made Three Point Jumper. Assisted by Darrian Ringo.,63,66
4:12,2750,Parker Ernsthausen missed Jumper.,63,66
4:12,2750,Loudon Love Offensive Rebound.,63,66
4:04,2750,Grant Benzinger made Three Point Jumper. Assisted by Mark Hughes.,66,66
3:39,193,Rod Mills Jr. made Three Point Jumper. Assisted by Logan McLane.,66,69
3:15,193,Darrian Ringo Steal.,66,69
3:15,2750,Mark Hughes Turnover.,66,69
2:51,193,Nike Sibande missed Jumper.,66,69
2:51,2750,Loudon Love Defensive Rebound.,66,69
2:22,2750,Grant Benzinger missed Three Point Jumper.,66,69
2:22,2750,Loudon Love Offensive Rebound.,66,69
2:18,193,Miami (OH) Defensive Rebound.,66,69
2:18,2750,Loudon Love missed Jumper.,66,69
1:45,193,Nike Sibande made Free Throw.,66,70
1:45,193,Nike Sibande missed Free Throw.,66,70
1:45,2750,Foul on Mark Hughes.,66,69
1:45,2750,Loudon Love Defensive Rebound.,66,70
1:38,193,Foul on Jalen Adaway.,66,70
1:38,193,Jalen Adaway Defensive Rebound.,67,70
1:38,2750,Mark Hughes made Free Throw.,67,70
1:38,2750,Mark Hughes missed Free Throw.,67,70
1:11,193,Darrian Ringo missed Three Point Jumper.,67,70
1:11,2750,Everett Winchester Defensive Rebound.,67,70
0:58,193,Jalen Adaway Block.,67,70
0:58,2750,Mark Hughes missed Layup.,67,70
0:56,193,Miami (OH) Defensive Rebound.,67,70
0:30,193,Darrian Ringo missed Three Point Jumper.,67,70
0:30,2750,Tye Wilburn Defensive Rebound.,67,70
0:21,193,Darrian Ringo Defensive Rebound.,67,70
0:21,2750,Grant Benzinger missed Three Point Jumper.,67,70
0:18,193,Darrian Ringo made Free Throw.,67,71
0:18,193,Darrian Ringo made Free Throw.,67,72
0:18,2750,Foul on Mark Hughes.,67,70
0:18,2750,Wright State  Timeout,67,70
0:11,193,Nike Sibande Defensive Rebound.,67,72
0:11,2750,Grant Benzinger missed Three Point Jumper.,67,72
0:08,193,Nike Sibande missed Free Throw.,67,72
0:08,193,Miami (OH) Deadball Team Rebound.,67,72
0:08,193,Nike Sibande made Free Throw.,67,73
0:08,2750,Foul on Parker Ernsthausen.,67,72
0:06,193,Logan McLane Defensive Rebound.,67,73
0:06,2750,Mark Hughes missed Three Point Jumper.,67,73
0:00,193,End of Game,67,73
