Monmouth,2329,Lehigh,2405
1:57,2405,Foul on Zac Tillman.,28,25
1:57,2329,James Karnik missed Free Throw.,28,25
1:57,2405,Mustapha Traore Defensive Rebound.,28,25
1:49,2405,Ray Salnave missed Jumper.,28,25
1:49,2405,Zac Tillman Offensive Rebound.,28,25
1:46,2405,Deion Hammond made Three Point Jumper. Assisted by Zac Tillman.,31,25
1:28,2405,Foul on Zac Tillman.,31,25
1:28,2329,Kahron Ross missed Free Throw.,31,25
1:28,2329,Lehigh Deadball Team Rebound.,31,25
1:28,2329,Kahron Ross missed Free Throw.,31,25
1:28,2405,Mustapha Traore Defensive Rebound.,31,25
1:20,2405,Deion Hammond missed Three Point Jumper.,31,25
1:20,2405,Mustapha Traore Offensive Rebound.,31,25
1:18,2405,Mustapha Traore made Layup.,33,25
1:16,2329,Lehigh  Timeout,33,25
0:59,2329,Pat Andree missed Jumper.,33,25
0:59,2405,Diago Quinn Defensive Rebound.,33,25
0:51,2405,Ray Salnave missed Jumper.,33,25
0:51,2329,Kahron Ross Defensive Rebound.,33,25
0:46,2329,Caleb Bennett missed Layup.,33,25
0:46,2405,Mustapha Traore Defensive Rebound.,33,25
0:40,2405,Ray Salnave Turnover.,33,25
0:15,2329,Pat Andree made Three Point Jumper. Assisted by Kahron Ross.,33,28
0:00,2405,Ray Salnave missed Three Point Jumper.,33,28
0:00,2329,Kyle Leufroy Defensive Rebound.,33,28
0:00,2329,End of 1st half,33,28
19:47,2405,Diago Quinn Turnover.,33,28
19:26,2329,Kyle Leufroy missed Layup.,33,28
19:26,2405,Diago Quinn Defensive Rebound.,33,28
19:21,2405,Micah Seaborn made Layup. Assisted by Austin Tilghman.,35,28
19:07,2329,James Karnik made Jumper. Assisted by Kahron Ross.,35,30
18:52,2405,Diago Quinn made Layup. Assisted by Austin Tilghman.,37,30
18:44,2329,Kahron Ross missed Three Point Jumper.,37,30
18:44,2405,Pierre Sarr Defensive Rebound.,37,30
18:34,2405,Micah Seaborn Turnover.,37,30
18:22,2329,Kyle Leufroy missed Three Point Jumper.,37,30
18:22,2405,Pierre Sarr Defensive Rebound.,37,30
18:17,2405,Pierre Sarr Turnover.,37,30
18:16,2329,Kahron Ross Steal.,37,30
18:14,2329,Kyle Leufroy made Layup. Assisted by Kahron Ross.,37,32
17:56,2329,Foul on Lance Tejada.,37,32
17:56,2405,Micah Seaborn missed Jumper.,37,32
17:56,2405,Mustapha Traore Offensive Rebound.,37,32
17:53,2405,Mustapha Traore made Jumper.,39,32
17:46,2329,Pat Andree made Three Point Jumper. Assisted by Kahron Ross.,39,35
17:32,2405,Austin Tilghman Turnover.,39,35
17:30,2329,Pat Andree missed Jumper.,39,35
17:30,2405,Louie Pillari Defensive Rebound.,39,35
17:24,2405,Austin Tilghman missed Jumper.,39,35
17:24,2405,Louie Pillari Offensive Rebound.,39,35
17:20,2405,Micah Seaborn made Three Point Jumper.,42,35
17:20,2405,Foul on Micah Seaborn.,42,35
17:20,2329,Pat Andree missed Three Point Jumper.,42,35
17:20,2405,Micah Seaborn Defensive Rebound.,42,35
17:20,2405,Micah Seaborn missed Three Point Jumper.,42,35
17:20,2329,Pat Andree Defensive Rebound.,42,35
17:19,2329,Lance Tejada missed Jumper.,42,35
17:19,2405,Diago Quinn Block.,42,35
17:19,2329,Lehigh Offensive Rebound.,42,35
17:17,2329,Kyle Leufroy made Jumper.,42,37
15:47,2405,Louie Pillari missed Three Point Jumper.,42,37
15:47,2329,Kahron Ross Defensive Rebound.,42,37
15:36,2329,Kahron Ross missed Jumper.,42,37
15:36,2405,Micah Seaborn Defensive Rebound.,42,37
15:31,2405,Austin Tilghman made Layup. Assisted by Micah Seaborn.,44,37
15:31,2329,Foul on Pat Andree.,44,37
15:28,2329,Official TV Timeout,44,37
15:28,2405,Austin Tilghman made Free Throw.,45,37
15:28,2329,Official TV Timeout,45,37
15:12,2329,Caleb Bennett missed Layup.,45,37
15:12,2405,Mustapha Traore Block.,45,37
15:11,2405,Louie Pillari Defensive Rebound.,45,37
15:06,2405,Micah Seaborn made Three Point Jumper. Assisted by Austin Tilghman.,48,37
14:47,2329,Jordan Cohen made Layup.,48,39
14:20,2405,Micah Seaborn missed Three Point Jumper.,48,39
14:20,2329,Kyle Leufroy Defensive Rebound.,48,39
14:09,2329,Caleb Bennett missed Jumper.,48,39
14:09,2405,Monmouth Defensive Rebound.,48,39
13:42,2405,Diago Quinn made Dunk. Assisted by Micah Seaborn.,50,39
13:42,2329,Lehigh  Timeout,50,39
13:42,2329,Official TV Timeout,50,39
13:17,2329,Jordan Cohen made Layup.,50,41
13:17,2405,Foul on Diago Quinn.,50,41
13:17,2329,Jordan Cohen missed Free Throw.,50,41
13:17,2405,Diago Quinn Defensive Rebound.,50,41
13:05,2405,Ray Salnave Turnover.,50,41
13:05,2329,Jordan Cohen Steal.,50,41
13:05,2405,Foul on Ray Salnave.,50,41
12:42,2329,Marques Wilson missed Three Point Jumper.,50,41
12:42,2405,Monmouth Defensive Rebound.,50,41
12:27,2329,Foul on James Karnik.,50,41
12:27,2405,Ray Salnave missed Free Throw.,50,41
12:27,2405,Monmouth Deadball Team Rebound.,50,41
12:27,2405,Ray Salnave made Free Throw.,51,41
12:05,2329,Kyle Leufroy missed Three Point Jumper.,51,41
12:05,2405,Micah Seaborn Defensive Rebound.,51,41
11:55,2405,Micah Seaborn missed Jumper.,51,41
11:55,2329,Caleb Bennett Block.,51,41
11:54,2329,Jordan Cohen Defensive Rebound.,51,41
11:51,2329,Jordan Cohen made Three Point Jumper.,51,44
11:41,2405,Micah Seaborn made Jumper.,53,44
11:30,2329,Marques Wilson missed Three Point Jumper.,53,44
11:30,2405,Ray Salnave Defensive Rebound.,53,44
11:23,2405,Ray Salnave Turnover.,53,44
11:23,2329,Caleb Bennett Steal.,53,44
11:19,2405,Foul on Melik Martin.,53,44
11:19,2329,Official TV Timeout,53,44
11:19,2329,Caleb Bennett missed Free Throw.,53,44
11:19,2329,Lehigh Deadball Team Rebound.,53,44
11:19,2329,Caleb Bennett missed Free Throw.,53,44
11:19,2405,Melik Martin Defensive Rebound.,53,44
11:05,2405,Zac Tillman missed Layup.,53,44
11:05,2405,Zac Tillman Offensive Rebound.,53,44
11:02,2405,Melik Martin made Layup. Assisted by Austin Tilghman.,55,44
10:40,2329,Caleb Bennett made Three Point Jumper. Assisted by Pat Andree.,55,47
10:19,2405,Austin Tilghman made Layup.,57,47
10:06,2329,Kyle Leufroy missed Three Point Jumper.,57,47
10:06,2405,Zac Tillman Defensive Rebound.,57,47
9:59,2405,George Papas missed Three Point Jumper.,57,47
9:59,2329,Pat Andree Defensive Rebound.,57,47
9:50,2329,Kyle Leufroy Turnover.,57,47
9:49,2405,Austin Tilghman Steal.,57,47
9:45,2329,Foul on Kyle Leufroy.,57,47
9:45,2405,George Papas made Free Throw.,58,47
9:45,2405,George Papas made Free Throw.,59,47
9:26,2329,Jordan Cohen made Layup.,59,49
9:07,2329,Foul on Kahron Ross.,59,49
8:54,2405,Deion Hammond missed Jumper.,59,49
8:54,2405,Diago Quinn Offensive Rebound.,59,49
8:52,2405,Diago Quinn made Layup.,61,49
8:43,2329,Jordan Cohen made Layup.,61,51
8:32,2405,Diago Quinn made Layup. Assisted by Mustapha Traore.,63,51
8:08,2329,Kahron Ross made Layup.,63,53
8:00,2405,Austin Tilghman Turnover.,63,53
8:00,2329,Official TV Timeout,63,53
7:51,2329,Lance Tejada made Three Point Jumper. Assisted by Jordan Cohen.,63,56
7:30,2405,Diago Quinn made Layup. Assisted by Austin Tilghman.,65,56
7:08,2329,Lance Tejada missed Jumper.,65,56
7:08,2329,Lehigh Offensive Rebound.,65,56
6:51,2329,Jordan Cohen missed Three Point Jumper.,65,56
6:51,2405,Micah Seaborn Defensive Rebound.,65,56
6:46,2405,Austin Tilghman Turnover.,65,56
6:46,2405,Foul on Austin Tilghman.,65,56
6:29,2329,Pat Andree missed Three Point Jumper.,65,56
6:29,2405,Micah Seaborn Defensive Rebound.,65,56
6:14,2405,Diago Quinn made Layup. Assisted by Mustapha Traore.,67,56
5:45,2329,Lance Tejada missed Jumper.,67,56
5:45,2329,Kahron Ross Offensive Rebound.,67,56
5:37,2329,Jordan Cohen missed Three Point Jumper.,67,56
5:37,2405,Micah Seaborn Defensive Rebound.,67,56
5:29,2329,Foul on James Karnik.,67,56
5:29,2405,Diago Quinn missed Free Throw.,67,56
5:29,2405,Monmouth Deadball Team Rebound.,67,56
5:29,2405,Diago Quinn made Free Throw.,68,56
5:14,2405,Foul on Mustapha Traore.,68,56
5:12,2329,Lehigh  Timeout,68,56
4:58,2329,Caleb Bennett Turnover.,68,56
4:58,2329,Foul on Caleb Bennett.,68,56
4:27,2405,Ray Salnave made Layup.,70,56
3:57,2329,Kahron Ross missed Jumper.,70,56
3:57,2405,Ray Salnave Defensive Rebound.,70,56
3:50,2405,Ray Salnave Turnover.,70,56
3:49,2329,Kahron Ross Steal.,70,56
3:46,2405,Foul on Ray Salnave.,70,56
3:46,2329,Official TV Timeout,70,56
3:46,2329,Kahron Ross made Free Throw.,70,57
3:46,2329,Kahron Ross made Free Throw.,70,58
3:18,2405,Micah Seaborn made Jumper.,72,58
3:07,2329,Kahron Ross made Three Point Jumper.,72,61
2:51,2329,Foul on Kyle Leufroy.,72,61
2:51,2405,Ray Salnave made Free Throw.,73,61
2:51,2405,Ray Salnave made Free Throw.,74,61
2:31,2405,Foul on Melik Martin.,74,61
2:31,2329,Kahron Ross missed Free Throw.,74,61
2:31,2405,Austin Tilghman Defensive Rebound.,74,61
2:04,2405,Melik Martin made Layup. Assisted by Micah Seaborn.,76,61
1:56,2329,Kyle Leufroy missed Jumper.,76,61
1:56,2329,James Karnik Offensive Rebound.,76,61
1:55,2405,Foul on Melik Martin.,76,61
1:55,2329,James Karnik made Free Throw.,76,62
1:55,2329,James Karnik made Free Throw.,76,63
1:46,2329,Foul on Kahron Ross.,76,63
1:46,2405,Melik Martin made Free Throw.,77,63
1:46,2405,Melik Martin made Free Throw.,78,63
1:37,2405,Foul on Micah Seaborn.,78,63
1:37,2329,Jordan Cohen made Free Throw.,78,64
1:37,2329,Jordan Cohen made Free Throw.,78,65
1:23,2405,Deion Hammond Turnover.,78,65
1:11,2329,Kyle Leufroy missed Three Point Jumper.,78,65
1:11,2405,Austin Tilghman Defensive Rebound.,78,65
0:42,2405,Deion Hammond missed Three Point Jumper.,78,65
0:42,2405,Deion Hammond Offensive Rebound.,78,65
0:40,2405,Monmouth  Turnover.,78,65
0:34,2329,James Karnik made Layup. Assisted by Kyle Leufroy.,78,67
0:22,2329,Foul on Marques Wilson.,78,67
0:22,2405,Melik Martin missed Free Throw.,78,67
0:22,2405,Monmouth Deadball Team Rebound.,78,67
0:22,2405,Melik Martin missed Free Throw.,78,67
0:22,2329,Kyle Leufroy Defensive Rebound.,78,67
0:20,2405,Foul on Ray Salnave.,78,67
0:20,2329,Kyle Leufroy made Free Throw.,78,68
0:20,2329,Kyle Leufroy made Free Throw.,78,69
0:16,2329,Foul on Jordan Cohen.,78,69
0:16,2405,Austin Tilghman made Free Throw.,79,69
0:16,2405,Austin Tilghman made Free Throw.,80,69
0:08,2329,Marques Wilson missed Jumper.,80,69
0:08,2329,James Karnik Offensive Rebound.,80,69
0:04,2329,Kyle Leufroy made Three Point Jumper. Assisted by Jordan Cohen.,80,72
0:00,2329,End of Game,80,72
