Oneonta State,Error,Albany,399
6:20,399,Travis Charles missed Layup.,21,31
6:20,-1,Ian Schultz Block.,21,31
6:18,399,Costa Anderson Offensive Rebound.,21,31
6:13,399,Travis Charles missed Layup.,21,31
6:13,-1,Ian Schultz Block.,21,31
6:11,399,Mike Rowley Offensive Rebound.,21,31
6:06,399,Mike Rowley made Layup.,21,33
5:35,-1,Frankie Kelly missed Jumper.,21,33
5:35,399,Dallas Ennema Defensive Rebound.,21,33
5:20,399,Dallas Ennema missed Jumper.,21,33
5:20,-1,Ian Schultz Defensive Rebound.,21,33
5:05,399,Foul on Devonte Campbell.,21,33
5:05,-1,Mikey McElroy made Free Throw.,22,33
5:05,-1,Mikey McElroy made Free Throw.,23,33
4:54,399,Mike Rowley made Layup.,23,35
4:54,-1,Foul on Ian Schultz.,23,35
4:54,399,Mike Rowley made Free Throw.,23,36
4:38,-1,Mikey McElroy Turnover.,23,36
4:37,399,Jaraan Lands Steal.,23,36
4:33,-1,Foul on Ryan SanFilippo.,23,36
4:33,399,Jaraan Lands made Free Throw.,23,37
4:33,399,Jaraan Lands made Free Throw.,23,38
4:21,-1,Carson Jacobs missed Three Point Jumper.,23,38
4:21,399,Dallas Ennema Defensive Rebound.,23,38
3:59,399,Jaraan Lands Turnover.,23,38
3:58,-1,Carson Jacobs Steal.,23,38
3:51,399,Official TV Timeout,23,38
3:40,-1,Carson Jacobs missed Three Point Jumper.,23,38
3:40,399,Costa Anderson Defensive Rebound.,23,38
3:27,-1,Foul on Carson Jacobs.,23,38
3:27,399,Jaraan Lands missed Free Throw.,23,38
3:27,399,Albany Deadball Team Rebound.,23,38
3:27,399,Jaraan Lands made Free Throw.,23,39
3:17,399,Foul on Devonte Campbell.,23,39
3:17,-1,Mikey McElroy made Free Throw.,24,39
3:17,-1,Mikey McElroy missed Free Throw.,24,39
3:17,399,Joe Cremo Defensive Rebound.,24,39
3:03,399,Travis Charles missed Jumper.,24,39
3:02,399,Joe Cremo Offensive Rebound.,24,39
3:01,399,Joe Cremo made Layup.,24,41
2:48,-1,Mikey McElroy missed Three Point Jumper.,24,41
2:48,399,Costa Anderson Defensive Rebound.,24,41
2:41,399,Costa Anderson made Layup.,24,43
2:32,-1,Ian Schultz Turnover.,24,43
2:30,399,Jaraan Lands Steal.,24,43
2:29,399,Jaraan Lands made Layup.,24,45
2:14,-1,Harrison Deegan missed Jumper.,24,45
2:14,399,Devonte Campbell Defensive Rebound.,24,45
2:08,399,Devonte Campbell missed Layup.,24,45
2:08,-1,Harrison Deegan Defensive Rebound.,24,45
2:02,-1,Harrison Deegan made Layup.,26,45
1:44,399,Joe Cremo Turnover.,26,45
1:23,-1,Dwayne Freeman missed Three Point Jumper.,26,45
1:23,399,Devonte Campbell Defensive Rebound.,26,45
1:11,-1,Foul on Dan Devine.,26,45
1:11,399,Travis Charles made Free Throw.,26,46
1:11,399,Travis Charles made Free Throw.,26,47
0:47,-1,Dwayne Freeman missed Jumper.,26,47
0:47,399,Travis Charles Defensive Rebound.,26,47
0:31,399,Costa Anderson made Three Point Jumper. Assisted by Joe Cremo.,26,50
0:22,-1,Suny-Oneonta  Timeout,26,50
0:07,-1,Carson Jacobs missed Three Point Jumper.,26,50
0:07,399,Travis Charles Defensive Rebound.,26,50
0:01,399,Costa Anderson made Three Point Jumper. Assisted by Travis Charles.,26,53
0:00,399,End of 1st half,26,53
19:47,-1,Mikey McElroy made Layup. Assisted by Dwayne Freeman.,28,53
19:32,399,Mike Rowley missed Layup.,28,53
19:32,-1,Lawrence Coleman Defensive Rebound.,28,53
19:27,-1,Dwayne Freeman made Layup. Assisted by Mikey McElroy.,30,53
19:07,399,Marqueese Grayson Turnover.,30,53
18:48,-1,Lawrence Coleman missed Jumper.,30,53
18:48,399,Jamir Andrews Defensive Rebound.,30,53
18:29,399,Travis Charles made Layup. Assisted by Costa Anderson.,30,55
18:10,-1,Lawrence Coleman Turnover.,30,55
18:09,399,Costa Anderson Steal.,30,55
18:04,399,Costa Anderson missed Layup.,30,55
18:04,-1,Lawrence Coleman Block.,30,55
18:03,399,Albany Offensive Rebound.,30,55
17:51,399,Travis Charles made Jumper.,30,57
17:43,-1,Mikey McElroy made Layup.,32,57
17:26,399,Jaraan Lands Turnover.,32,57
17:11,-1,Dwayne Freeman made Layup.,34,57
17:11,399,Foul on Travis Charles.,34,57
17:11,-1,Dwayne Freeman made Free Throw.,35,57
16:58,399,Devonte Campbell missed Jumper.,35,57
16:58,399,Travis Charles Offensive Rebound.,35,57
16:50,399,Travis Charles missed Layup.,35,57
16:50,399,Devonte Campbell Offensive Rebound.,35,57
16:48,399,Devonte Campbell missed Layup.,35,57
16:48,399,Devonte Campbell Offensive Rebound.,35,57
16:48,-1,Foul on Jack Kolosky.,35,57
16:48,399,Devonte Campbell missed Free Throw.,35,57
16:48,399,Albany Deadball Team Rebound.,35,57
16:48,399,Devonte Campbell missed Free Throw.,35,57
16:48,-1,Jack Kolosky Defensive Rebound.,35,57
16:42,-1,Jack Kolosky Turnover.,35,57
16:41,399,David Nichols Steal.,35,57
16:37,399,David Nichols made Jumper.,35,59
16:10,-1,Mikey McElroy missed Three Point Jumper.,35,59
16:10,399,Albany Defensive Rebound.,35,59
15:59,399,Joe Cremo made Jumper.,35,61
15:47,-1,Frankie Kelly missed Three Point Jumper.,35,61
15:47,399,Marqueese Grayson Defensive Rebound.,35,61
15:39,399,Marqueese Grayson missed Layup.,35,61
15:39,399,Greig Stire Offensive Rebound.,35,61
15:36,-1,Foul on Dan Devine.,35,61
15:35,399,Official TV Timeout,35,61
15:35,399,Greig Stire missed Free Throw.,35,61
15:35,399,Albany Deadball Team Rebound.,35,61
15:35,399,Greig Stire made Free Throw.,35,62
15:23,-1,Frankie Kelly missed Three Point Jumper.,35,62
15:23,-1,Dan Devine Offensive Rebound.,35,62
15:19,-1,Dan Devine made Layup.,37,62
14:59,399,Joe Cremo made Layup.,37,64
14:38,-1,Dan Devine made Layup. Assisted by Frankie Kelly.,39,64
14:20,399,Marqueese Grayson missed Jumper.,39,64
14:20,399,Greig Stire Offensive Rebound.,39,64
14:18,399,Greig Stire made Layup.,39,66
13:57,-1,Lawrence Coleman missed Three Point Jumper.,39,66
13:57,399,Greig Stire Defensive Rebound.,39,66
13:46,399,Marqueese Grayson Turnover.,39,66
13:39,-1,Frankie Kelly Turnover.,39,66
13:29,399,Greig Stire made Dunk. Assisted by Marqueese Grayson.,39,68
13:11,-1,Frankie Kelly missed Jumper.,39,68
13:11,399,Marqueese Grayson Defensive Rebound.,39,68
13:00,399,Mike Rowley made Jumper. Assisted by Marqueese Grayson.,39,70
12:50,399,Foul on Mike Rowley.,39,70
12:50,-1,Lawrence Coleman made Free Throw.,40,70
12:50,-1,Lawrence Coleman made Free Throw.,41,70
12:36,399,David Nichols made Three Point Jumper. Assisted by Joe Cremo.,41,73
12:14,-1,Ian Schultz Turnover.,41,73
12:13,399,Joe Cremo Steal.,41,73
12:08,399,David Nichols made Layup. Assisted by Joe Cremo.,41,75
11:57,399,Foul on David Nichols.,41,75
11:57,399,Official TV Timeout,41,75
11:57,-1,Frankie Kelly made Free Throw.,42,75
11:57,-1,Frankie Kelly made Free Throw.,43,75
11:40,-1,Foul on Kevin Mackin.,43,75
11:27,399,Terrel Martin-Garcia made Layup. Assisted by David Nichols.,43,77
11:19,-1,Mikey McElroy Turnover.,43,77
11:08,399,Dallas Ennema Turnover.,43,77
10:50,-1,Mikey McElroy missed Jumper.,43,77
10:50,399,Dallas Ennema Block.,43,77
10:49,-1,Suny-Oneonta Offensive Rebound.,43,77
10:45,-1,Mikey McElroy made Layup. Assisted by Dan Devine.,45,77
10:29,399,Terrel Martin-Garcia missed Three Point Jumper.,45,77
10:29,-1,Frankie Kelly Defensive Rebound.,45,77
10:22,-1,Frankie Kelly missed Layup.,45,77
10:22,399,Terrel Martin-Garcia Defensive Rebound.,45,77
10:16,399,David Nichols missed Layup.,45,77
10:16,-1,Dan Devine Block.,45,77
10:15,399,Jaraan Lands Offensive Rebound.,45,77
10:13,399,Jaraan Lands missed Layup.,45,77
10:13,-1,Mikey McElroy Defensive Rebound.,45,77
10:07,-1,Frankie Kelly missed Layup.,45,77
10:07,399,Dallas Ennema Block.,45,77
10:05,399,David Nichols Defensive Rebound.,45,77
9:53,399,Terrel Martin-Garcia missed Layup.,45,77
9:53,-1,Frankie Kelly Defensive Rebound.,45,77
9:29,-1,Kevin Mackin missed Three Point Jumper.,45,77
9:29,399,David Nichols Defensive Rebound.,45,77
9:16,399,Joe Cremo Turnover.,45,77
9:15,-1,Ian Schultz Steal.,45,77
9:09,-1,Dan Devine missed Layup.,45,77
9:09,-1,Mikey McElroy Offensive Rebound.,45,77
8:52,-1,Frankie Kelly missed Three Point Jumper.,45,77
8:52,399,Terrel Martin-Garcia Defensive Rebound.,45,77
8:46,399,David Nichols made Layup.,45,79
8:38,-1,Mikey McElroy missed Jumper.,45,79
8:38,399,Jaraan Lands Defensive Rebound.,45,79
8:35,-1,Foul on Dan Devine.,45,79
8:17,399,Terrel Martin-Garcia made Three Point Jumper. Assisted by Costa Anderson.,45,82
7:52,-1,Kevin Mackin missed Jumper.,45,82
7:52,-1,Ryan SanFilippo Offensive Rebound.,45,82
7:46,-1,Ryan SanFilippo missed Jumper.,45,82
7:46,399,Devonte Campbell Defensive Rebound.,45,82
7:37,399,Foul on Jaraan Lands.,45,82
7:37,399,Jaraan Lands Turnover.,45,82
7:37,399,Official TV Timeout,45,82
7:25,-1,Kevin Mackin made Jumper.,47,82
7:12,399,Terrel Martin-Garcia made Layup. Assisted by Costa Anderson.,47,84
6:50,-1,Carson Jacobs missed Three Point Jumper.,47,84
6:50,399,Terrel Martin-Garcia Defensive Rebound.,47,84
6:35,399,Costa Anderson missed Three Point Jumper.,47,84
6:35,-1,Kevin Mackin Defensive Rebound.,47,84
6:27,-1,Ryan SanFilippo missed Layup.,47,84
6:27,399,Jaraan Lands Defensive Rebound.,47,84
6:20,399,Dallas Ennema made Three Point Jumper. Assisted by Jaraan Lands.,47,87
5:51,-1,Carson Jacobs missed Jumper.,47,87
5:51,399,Albany Defensive Rebound.,47,87
5:38,399,Jamir Andrews missed Layup.,47,87
5:38,399,Terrel Martin-Garcia Offensive Rebound.,47,87
5:33,399,Terrel Martin-Garcia made Layup.,47,89
5:22,-1,Kevin Mackin Turnover.,47,89
5:21,399,Costa Anderson Steal.,47,89
5:18,399,Costa Anderson made Layup.,47,91
5:15,-1,Suny-Oneonta  Timeout,47,91
4:54,-1,Harrison Deegan missed Jumper.,47,91
4:54,399,Terrel Martin-Garcia Defensive Rebound.,47,91
4:47,399,Travis Charles made Jumper. Assisted by Costa Anderson.,47,93
4:28,-1,Ian Schultz Turnover.,47,93
4:27,399,Costa Anderson Steal.,47,93
4:24,399,Jamir Andrews missed Three Point Jumper.,47,93
4:24,399,Travis Charles Offensive Rebound.,47,93
4:10,399,Travis Charles missed Jumper.,47,93
4:10,-1,Harrison Deegan Defensive Rebound.,47,93
4:03,-1,Harrison Deegan made Dunk. Assisted by Myles Joyce.,49,93
3:47,399,Costa Anderson missed Layup.,49,93
3:47,-1,Ian Schultz Defensive Rebound.,49,93
3:39,-1,Carson Jacobs made Layup. Assisted by Ryan SanFilippo.,51,93
3:15,399,Travis Charles missed Jumper.,51,93
3:15,-1,Harrison Deegan Defensive Rebound.,51,93
2:53,-1,Ryan SanFilippo missed Three Point Jumper.,51,93
2:53,-1,Myles Joyce Offensive Rebound.,51,93
2:45,-1,Myles Joyce missed Three Point Jumper.,51,93
2:45,399,Terrel Martin-Garcia Defensive Rebound.,51,93
2:32,399,Devonte Campbell missed Layup.,51,93
2:32,-1,Harrison Deegan Block.,51,93
2:30,-1,Ian Schultz Defensive Rebound.,51,93
2:25,-1,Harrison Deegan missed Three Point Jumper.,51,93
2:25,399,Terrel Martin-Garcia Defensive Rebound.,51,93
2:08,399,Jamir Andrews missed Three Point Jumper.,51,93
2:08,-1,Myles Joyce Defensive Rebound.,51,93
2:01,-1,Myles Joyce missed Layup.,51,93
2:01,399,Travis Charles Defensive Rebound.,51,93
1:41,399,Terrel Martin-Garcia made Layup. Assisted by Costa Anderson.,51,95
1:34,-1,Suny-Oneonta  Timeout,51,95
1:34,399,Official TV Timeout,51,95
1:29,-1,Carson Jacobs missed Three Point Jumper.,51,95
1:29,399,Jaraan Lands Defensive Rebound.,51,95
1:12,399,Travis Charles Turnover.,51,95
1:11,-1,Harrison Deegan Steal.,51,95
1:07,-1,Harrison Deegan made Layup.,53,95
0:57,-1,Foul on Robert Pocyntyluk.,53,95
0:57,399,Jaraan Lands missed Free Throw.,53,95
0:57,399,Albany Deadball Team Rebound.,53,95
0:57,399,Jaraan Lands made Free Throw.,53,96
0:51,-1,Harrison Deegan made Three Point Jumper.,56,96
0:25,-1,Foul on Robert Pocyntyluk.,56,96
0:25,399,Jaraan Lands missed Free Throw.,56,96
0:25,399,Albany Deadball Team Rebound.,56,96
0:25,399,Jaraan Lands made Free Throw.,56,97
0:08,-1,Gabe Woodley missed Jumper.,56,97
0:08,399,Devonte Campbell Defensive Rebound.,56,97
0:00,399,End of Game,56,97
