UC Irvine,25,California,300
4:36,300,Brandon Smith Block.,56,52
4:34,300,Jonathan Galloway Defensive Rebound.,56,52
4:19,300,Jaron Martin made Jumper.,58,52
4:00,25,Stephen Domingo missed Three Point Jumper.,58,52
4:00,300,Ioannis Dimakopoulos Defensive Rebound.,58,52
3:38,25,Foul on Sam Singer.,58,52
3:38,25,Official TV Timeout,58,52
3:38,300,Jaron Martin made Free Throw.,59,52
3:38,300,Jaron Martin missed Free Throw.,59,52
3:38,25,Kameron Rooks Defensive Rebound.,59,52
3:24,25,Charlie Moore made Three Point Jumper.,59,55
3:07,300,Ioannis Dimakopoulos made Three Point Jumper. Assisted by Jaron Martin.,62,55
2:47,25,Charlie Moore made Layup.,62,57
2:23,300,Jaron Martin Turnover.,62,57
2:23,25,Stephen Domingo Steal.,62,57
2:11,25,Charlie Moore missed Three Point Jumper.,62,57
2:11,25,Roger Moute A Bidias Offensive Rebound.,62,57
1:53,25,Charlie Moore made Layup.,62,59
1:53,300,Foul on Brandon Smith.,62,59
1:53,25,Charlie Moore made Free Throw.,62,60
1:37,300,Jaron Martin missed Three Point Jumper.,62,60
1:37,25,Stephen Domingo Defensive Rebound.,62,60
1:08,25,Charlie Moore missed Jumper.,62,60
1:08,300,Jaron Martin Defensive Rebound.,62,60
1:00,300,UC Irvine  Timeout,62,60
0:46,300,Jaron Martin missed Jumper.,62,60
0:46,25,Roger Moute A Bidias Defensive Rebound.,62,60
0:36,25,California  Timeout,62,60
0:26,25,Charlie Moore missed Layup.,62,60
0:26,25,Kameron Rooks Offensive Rebound.,62,60
0:22,25,Kameron Rooks made Two Point Tip Shot.,62,62
0:01,300,Jaron Martin Turnover.,62,62
0:01,25,Roger Moute A Bidias Steal.,62,62
0:00,25,End of 2nd half,62,62
4:31,25,Sam Singer missed Jumper.,62,62
4:31,25,Kameron Rooks Offensive Rebound.,62,62
4:30,25,Kameron Rooks made Layup. Assisted by Sam Singer.,62,64
4:30,300,Foul on Jonathan Galloway.,62,64
4:30,25,Kameron Rooks missed Free Throw.,62,64
4:30,300,Tommy Rutherford Defensive Rebound.,62,64
4:11,300,Evan Leonard Turnover.,62,64
4:10,25,Kameron Rooks Steal.,62,64
3:54,25,Roger Moute A Bidias Turnover.,62,64
3:51,300,Evan Leonard Steal.,62,64
3:35,25,Foul on Kameron Rooks.,62,64
3:35,300,Jaron Martin made Free Throw.,63,64
3:35,300,Jaron Martin made Free Throw.,64,64
3:17,25,Sam Singer missed Layup.,64,64
3:17,25,California Offensive Rebound.,64,64
3:10,25,Stephen Domingo made Three Point Jumper.,64,67
2:48,300,Evan Leonard missed Three Point Jumper.,64,67
2:48,25,Kameron Rooks Defensive Rebound.,64,67
2:28,300,Foul on Tommy Rutherford.,64,67
2:28,25,Charlie Moore made Free Throw.,64,68
2:28,25,Charlie Moore made Free Throw.,64,69
2:16,300,Brandon Smith Turnover.,64,69
2:15,300,UC Irvine  Timeout,64,69
1:51,25,Sam Singer missed Three Point Jumper.,64,69
1:51,300,Evan Leonard Defensive Rebound.,64,69
1:39,25,Foul on Kameron Rooks.,64,69
1:39,300,Jaron Martin missed Free Throw.,64,69
1:39,300,UC Irvine Deadball Team Rebound.,64,69
1:39,300,Jaron Martin made Free Throw.,65,69
1:19,300,Foul on Jaron Martin.,65,69
1:19,25,Roger Moute A Bidias missed Free Throw.,65,69
1:19,25,California Deadball Team Rebound.,65,69
1:19,25,Roger Moute A Bidias made Free Throw.,65,70
1:01,300,Brandon Smith Turnover.,65,70
0:59,25,Sam Singer Steal.,65,70
0:58,300,Foul on Max Hazzard.,65,70
0:58,25,Charlie Moore made Free Throw.,65,71
0:58,25,Charlie Moore made Free Throw.,65,72
0:49,300,Max Hazzard missed Three Point Jumper.,65,72
0:49,25,Roger Moute A Bidias Defensive Rebound.,65,72
0:39,300,Foul on Max Hazzard.,65,72
0:39,25,Charlie Moore made Free Throw.,65,73
0:39,25,Charlie Moore made Free Throw.,65,74
0:35,300,Jaron Martin missed Three Point Jumper.,65,74
0:35,25,California Defensive Rebound.,65,74
0:28,300,Foul on Max Hazzard.,65,74
0:28,25,Roger Moute A Bidias missed Free Throw.,65,74
0:28,25,California Deadball Team Rebound.,65,74
0:28,25,Roger Moute A Bidias made Free Throw.,65,75
0:21,300,Evan Leonard missed Three Point Jumper.,65,75
0:21,25,Stephen Domingo Defensive Rebound.,65,75
0:00,25,End of Game,65,75
