New Orleans,197,Oklahoma State,2443
8:25,2443,Christavious Gill missed Jumper.,16,43
8:25,197,Leyton Hammonds Defensive Rebound.,16,43
8:11,197,Mitchell Solomon made Jumper.,16,45
7:58,2443,Christavious Gill missed Layup.,16,45
7:58,197,Mitchell Solomon Block.,16,45
7:57,197,Leyton Hammonds Defensive Rebound.,16,45
7:52,197,Phil Forte III made Layup.,16,47
7:35,2443,Erik Thomas missed Jumper.,16,47
7:35,197,Mitchell Solomon Defensive Rebound.,16,47
7:27,197,Brandon Averette missed Layup.,16,47
7:27,2443,Makur Puou Block.,16,47
7:26,197,Mitchell Solomon Offensive Rebound.,16,47
7:25,2443,Foul on Erik Thomas.,16,47
7:25,197,Official TV Timeout,16,47
7:25,197,Mitchell Solomon missed Free Throw.,16,47
7:25,197,Oklahoma St Deadball Team Rebound.,16,47
7:25,197,Mitchell Solomon made Free Throw.,16,48
7:15,197,Foul on Leyton Hammonds.,16,48
7:10,2443,Bryson Robinson missed Three Point Jumper.,16,48
7:10,197,Leyton Hammonds Defensive Rebound.,16,48
6:58,197,Leyton Hammonds missed Three Point Jumper.,16,48
6:58,2443,Bryson Robinson Defensive Rebound.,16,48
6:32,2443,Erik Thomas made Layup.,18,48
6:01,197,Leyton Hammonds missed Three Point Jumper.,18,48
6:01,2443,Travin Thibodeaux Defensive Rebound.,18,48
5:50,197,Foul on Leyton Hammonds.,18,48
5:42,2443,Erik Thomas missed Free Throw.,18,48
5:42,197,Cameron McGriff Defensive Rebound.,18,48
5:35,197,Tavarius Shine made Three Point Jumper. Assisted by Brandon Averette.,18,51
5:29,2443,Cameron Reed made Three Point Jumper. Assisted by Bryson Robinson.,21,51
5:16,2443,Foul on Bryson Robinson.,21,51
5:16,197,Brandon Averette made Free Throw.,21,52
5:16,197,Brandon Averette made Free Throw.,21,53
5:10,2443,Erik Thomas Turnover.,21,53
4:58,197,Lindy Waters III made Three Point Jumper. Assisted by Phil Forte III.,21,56
4:35,2443,Jorge Rosa made Layup. Assisted by Bryson Robinson.,23,56
4:35,197,Foul on Lucas N'Guessan.,23,56
4:35,2443,Jorge Rosa made Free Throw.,24,56
4:27,197,Brandon Averette missed Layup.,24,56
4:27,2443,Makur Puou Block.,24,56
4:26,2443,Makur Puou Defensive Rebound.,24,56
4:17,197,Foul on Lindy Waters III.,24,56
4:17,2443,Erik Thomas made Free Throw.,25,56
4:17,2443,Erik Thomas made Free Throw.,26,56
4:08,2443,Foul on Cameron Reed.,26,56
4:08,197,Lindy Waters III made Free Throw.,26,57
4:08,197,Lindy Waters III missed Free Throw.,26,57
4:08,2443,Makur Puou Defensive Rebound.,26,57
3:55,197,Official TV Timeout,26,57
3:45,197,Foul on Lucas N'Guessan.,26,57
3:45,2443,Erik Thomas missed Free Throw.,26,57
3:45,2443,New Orleans Deadball Team Rebound.,26,57
3:45,2443,Erik Thomas made Free Throw.,27,57
3:35,197,Jeffrey Carroll missed Three Point Jumper.,27,57
3:35,2443,Bryson Robinson Defensive Rebound.,27,57
3:22,2443,Erik Thomas missed Layup.,27,57
3:22,197,Lucas N'Guessan Defensive Rebound.,27,57
3:16,197,Lindy Waters III missed Three Point Jumper.,27,57
3:16,197,Jeffrey Carroll Offensive Rebound.,27,57
3:13,197,Jeffrey Carroll made Layup.,27,59
3:13,2443,Foul on Makur Puou.,27,59
3:13,197,Jeffrey Carroll made Free Throw.,27,60
3:02,2443,Jorge Rosa missed Jumper.,27,60
3:02,197,Jeffrey Carroll Block.,27,60
3:00,2443,Jorge Rosa Offensive Rebound.,27,60
2:59,2443,Jorge Rosa made Layup.,29,60
2:47,197,Jeffrey Carroll made Layup. Assisted by Jawun Evans.,29,62
2:30,2443,A.J. Cheeseman Turnover.,29,62
2:22,197,Jawun Evans made Three Point Jumper.,29,65
2:09,2443,Bryson Robinson missed Layup.,29,65
2:09,197,Lucas N'Guessan Defensive Rebound.,29,65
1:59,197,Jawun Evans missed Layup.,29,65
1:59,2443,Bryson Robinson Defensive Rebound.,29,65
1:53,2443,Foul on Erik Thomas.,29,65
1:53,2443,Erik Thomas Turnover.,29,65
1:44,197,Thomas Dziagwa missed Three Point Jumper.,29,65
1:44,2443,Matthew Jiles Defensive Rebound.,29,65
1:37,2443,Jorge Rosa made Three Point Jumper. Assisted by Matthew Jiles.,32,65
1:18,197,Lucas N'Guessan made Dunk.,32,67
1:13,197,Technical Foul on Lucas N'Guessan.,32,67
1:13,2443,Cameron Reed made Free Throw.,33,67
0:53,197,Foul on Thomas Dziagwa.,33,67
0:53,2443,Cameron Reed made Free Throw.,34,67
0:53,2443,Cameron Reed missed Free Throw.,34,67
0:53,2443,Jorge Rosa Offensive Rebound.,34,67
0:41,2443,Cameron Reed Turnover.,34,67
0:40,197,Jeffrey Carroll Steal.,34,67
0:39,2443,Foul on Jorge Rosa.,34,67
0:39,197,Jeffrey Carroll missed Free Throw.,34,67
0:39,197,Oklahoma St Deadball Team Rebound.,34,67
0:39,197,Jeffrey Carroll made Free Throw.,34,68
0:27,2443,Matthew Jiles Turnover.,34,68
0:26,197,Jeffrey Carroll Steal.,34,68
0:20,197,Foul on Jeffrey Carroll.,34,68
0:20,197,Jeffrey Carroll Turnover.,34,68
0:02,2443,Michael Zeno made Jumper.,36,68
0:00,197,End of 1st half,36,68
19:56,2443,Tevin Broyles Turnover.,36,68
19:42,197,Phil Forte III made Three Point Jumper. Assisted by Jawun Evans.,36,71
19:13,2443,Tevin Broyles missed Layup.,36,71
19:13,2443,New Orleans Offensive Rebound.,36,71
19:05,2443,New Orleans  Turnover.,36,71
18:54,197,Mitchell Solomon made Jumper. Assisted by Leyton Hammonds.,36,73
18:40,197,Foul on Lindy Waters III.,36,73
18:35,2443,Travin Thibodeaux missed Layup.,36,73
18:35,2443,Travin Thibodeaux Offensive Rebound.,36,73
18:32,2443,Travin Thibodeaux made Layup.,38,73
18:23,197,Jawun Evans made Layup.,38,75
18:08,2443,Cameron Reed missed Layup.,38,75
18:08,197,Lindy Waters III Defensive Rebound.,38,75
17:52,197,Phil Forte III made Layup. Assisted by Lindy Waters III.,38,77
17:41,197,Foul on Mitchell Solomon.,38,77
17:13,2443,Cameron Reed missed Three Point Jumper.,38,77
17:13,197,Tavarius Shine Block.,38,77
17:10,197,Jawun Evans Defensive Rebound.,38,77
16:54,197,Phil Forte III missed Three Point Jumper.,38,77
16:54,2443,Erik Thomas Defensive Rebound.,38,77
16:49,2443,Jorge Rosa made Three Point Jumper.,41,77
16:29,197,Tavarius Shine made Layup. Assisted by Jawun Evans.,41,79
16:22,2443,Erik Thomas made Layup. Assisted by Christavious Gill.,43,79
16:22,197,Foul on Cameron McGriff.,43,79
16:22,2443,Erik Thomas missed Free Throw.,43,79
16:22,197,Leyton Hammonds Defensive Rebound.,43,79
16:07,197,Phil Forte III made Three Point Jumper. Assisted by Leyton Hammonds.,43,82
15:50,2443,Christavious Gill made Jumper.,45,82
15:37,197,Cameron McGriff made Three Point Jumper. Assisted by Jawun Evans.,45,85
15:27,197,Foul on Jawun Evans.,45,85
15:20,2443,Erik Thomas Turnover.,45,85
15:18,197,Jeffrey Carroll Steal.,45,85
15:12,197,Tavarius Shine missed Three Point Jumper.,45,85
15:12,2443,Travin Thibodeaux Defensive Rebound.,45,85
15:05,2443,Christavious Gill made Three Point Jumper.,48,85
14:42,2443,Foul on Christavious Gill.,48,85
14:39,197,Cameron McGriff missed Jumper.,48,85
14:39,197,Mitchell Solomon Offensive Rebound.,48,85
14:36,197,Mitchell Solomon made Layup.,48,87
14:13,197,Foul on Mitchell Solomon.,48,87
14:05,2443,Erik Thomas Turnover.,48,87
14:04,197,Tavarius Shine Steal.,48,87
13:57,197,Jeffrey Carroll missed Jumper.,48,87
13:57,2443,Erik Thomas Defensive Rebound.,48,87
13:51,2443,Christavious Gill missed Three Point Jumper.,48,87
13:51,197,Oklahoma St Defensive Rebound.,48,87
13:49,197,Foul on Cameron McGriff.,48,87
13:49,197,Oklahoma St  Timeout,48,87
13:46,2443,Jorge Rosa Turnover.,48,87
13:46,197,Phil Forte III Steal.,48,87
13:29,197,Phil Forte III Turnover.,48,87
13:22,197,Foul on Phil Forte III.,48,87
13:22,2443,Tevin Broyles made Free Throw.,49,87
13:22,2443,Tevin Broyles made Free Throw.,50,87
13:14,197,Jawun Evans missed Jumper.,50,87
13:14,197,Lucas N'Guessan Offensive Rebound.,50,87
13:11,2443,Foul on Michael Zeno.,50,87
13:11,197,Lucas N'Guessan made Free Throw.,50,88
13:11,197,Lucas N'Guessan made Free Throw.,50,89
12:57,2443,Michael Zeno missed Jumper.,50,89
12:57,197,Leyton Hammonds Defensive Rebound.,50,89
12:50,197,Leyton Hammonds made Layup.,50,91
12:44,2443,Tevin Broyles made Jumper.,52,91
12:23,197,Leyton Hammonds missed Three Point Jumper.,52,91
12:23,197,Lucas N'Guessan Offensive Rebound.,52,91
12:19,197,Lucas N'Guessan made Layup.,52,93
12:06,197,Foul on Lucas N'Guessan.,52,93
12:06,2443,Erik Thomas made Free Throw.,53,93
12:06,2443,Erik Thomas made Free Throw.,54,93
11:55,197,Jawun Evans Turnover.,54,93
11:53,2443,Christavious Gill Steal.,54,93
11:51,197,Official TV Timeout,54,93
11:50,2443,Tevin Broyles Turnover.,54,93
11:49,197,Tavarius Shine Steal.,54,93
11:44,197,Thomas Dziagwa Turnover.,54,93
11:44,2443,Tevin Broyles Steal.,54,93
11:36,197,Foul on Leyton Hammonds.,54,93
11:36,2443,Makur Puou missed Free Throw.,54,93
11:36,197,Lucas N'Guessan Defensive Rebound.,54,93
11:11,197,Tavarius Shine missed Three Point Jumper.,54,93
11:11,197,Leyton Hammonds Offensive Rebound.,54,93
11:07,197,Leyton Hammonds missed Layup.,54,93
11:07,2443,Makur Puou Block.,54,93
11:05,197,Leyton Hammonds Offensive Rebound.,54,93
11:04,197,Leyton Hammonds missed Layup.,54,93
11:04,2443,Tevin Broyles Defensive Rebound.,54,93
10:57,2443,Jorge Rosa made Three Point Jumper. Assisted by Christavious Gill.,57,93
10:36,197,Thomas Dziagwa Turnover.,57,93
10:33,2443,Jorge Rosa Steal.,57,93
10:25,2443,Jorge Rosa missed Three Point Jumper.,57,93
10:25,197,Tavarius Shine Defensive Rebound.,57,93
10:00,197,Brandon Averette missed Layup.,57,93
10:00,197,Tavarius Shine Offensive Rebound.,57,93
9:56,2443,Foul on Makur Puou.,57,93
9:56,197,Tavarius Shine missed Free Throw.,57,93
9:56,197,Oklahoma St Deadball Team Rebound.,57,93
9:56,197,Tavarius Shine made Free Throw.,57,94
9:24,2443,New Orleans  Turnover.,57,94
8:58,2443,Foul on Cameron Reed.,57,94
8:58,197,Tyler Underwood missed Free Throw.,57,94
8:58,197,Oklahoma St Deadball Team Rebound.,57,94
8:58,197,Tyler Underwood made Free Throw.,57,95
8:47,197,Foul on Tyler Underwood.,57,95
8:47,2443,Christavious Gill made Free Throw.,58,95
8:47,2443,Christavious Gill missed Free Throw.,58,95
8:47,197,Davon Dillard Defensive Rebound.,58,95
8:40,197,Brandon Averette missed Jumper.,58,95
8:40,197,Mitchell Solomon Offensive Rebound.,58,95
8:36,2443,Foul on Cameron Reed.,58,95
8:36,197,Mitchell Solomon missed Free Throw.,58,95
8:36,197,Oklahoma St Deadball Team Rebound.,58,95
8:36,197,Mitchell Solomon missed Free Throw.,58,95
8:36,197,Davon Dillard Offensive Rebound.,58,95
8:34,197,Davon Dillard missed Layup.,58,95
8:34,197,Jeffrey Carroll Offensive Rebound.,58,95
8:28,197,Davon Dillard made Layup. Assisted by Jeffrey Carroll.,58,97
8:08,2443,Danny Cohen Turnover.,58,97
8:07,197,Tyler Underwood Steal.,58,97
7:56,197,Tyler Underwood made Three Point Jumper.,58,100
7:33,2443,Danny Cohen made Layup. Assisted by Erik Thomas.,60,100
7:19,2443,Foul on Christavious Gill.,60,100
7:19,197,Official TV Timeout,60,100
7:08,2443,Foul on Tevin Broyles.,60,100
7:08,197,Lucas N'Guessan made Free Throw.,60,101
7:08,197,Lucas N'Guessan missed Free Throw.,60,101
7:08,2443,Michael Zeno Defensive Rebound.,60,101
6:54,2443,Erik Thomas missed Layup.,60,101
6:54,2443,Erik Thomas Offensive Rebound.,60,101
6:52,2443,Erik Thomas made Layup.,62,101
6:51,197,Foul on Lucas N'Guessan.,62,101
6:51,2443,Erik Thomas made Free Throw.,63,101
6:42,2443,Foul on Danny Cohen.,63,101
6:42,197,Brandon Averette made Free Throw.,63,102
6:42,197,Brandon Averette made Free Throw.,63,103
6:26,2443,Danny Cohen missed Three Point Jumper.,63,103
6:26,197,Trey Reeves Defensive Rebound.,63,103
6:18,197,Davon Dillard made Dunk. Assisted by Brandon Averette.,63,105
6:08,2443,Tevin Broyles Turnover.,63,105
6:07,197,Davon Dillard Steal.,63,105
6:03,197,Brandon Averette missed Layup.,63,105
6:03,2443,Erik Thomas Block.,63,105
6:01,2443,Tevin Broyles Defensive Rebound.,63,105
5:56,2443,Erik Thomas made Layup. Assisted by Christavious Gill.,65,105
5:48,197,Tyler Underwood missed Three Point Jumper.,65,105
5:48,2443,Erik Thomas Defensive Rebound.,65,105
5:29,2443,Tevin Broyles missed Three Point Jumper.,65,105
5:29,197,Brandon Averette Defensive Rebound.,65,105
5:19,197,Brandon Averette missed Layup.,65,105
5:19,2443,Danny Cohen Defensive Rebound.,65,105
5:01,2443,Danny Cohen made Layup. Assisted by Travin Thibodeaux.,67,105
4:59,2443,New Orleans  Timeout,67,105
4:47,197,Lucas N'Guessan made Layup. Assisted by Brandon Averette.,67,107
4:24,2443,Tevin Broyles Turnover.,67,107
4:21,197,Lucas N'Guessan Steal.,67,107
4:04,197,Davon Dillard made Jumper.,67,109
4:04,2443,Foul on Danny Cohen.,67,109
4:04,197,Davon Dillard made Free Throw.,67,110
3:48,2443,Makur Puou missed Layup.,67,110
3:48,197,Lucas N'Guessan Block.,67,110
3:47,197,Brandon Averette Defensive Rebound.,67,110
3:30,197,Thomas Dziagwa made Three Point Jumper. Assisted by Davon Dillard.,67,113
2:57,2443,Makur Puou missed Jumper.,67,113
2:57,197,Lucas N'Guessan Defensive Rebound.,67,113
2:31,2443,Foul on Coleman Edwards.,67,113
2:31,197,Official TV Timeout,67,113
2:31,197,Lucas N'Guessan made Free Throw.,67,114
2:31,197,Lucas N'Guessan made Free Throw.,67,115
2:17,2443,Michael Zeno Turnover.,67,115
2:06,197,Brandon Averette Turnover.,67,115
1:54,2443,Coleman Edwards made Layup.,69,115
1:38,2443,Foul on Coleman Edwards.,69,115
1:38,197,Brandon Averette made Free Throw.,69,116
1:38,197,Brandon Averette made Free Throw.,69,117
1:28,2443,Michael Zeno missed Layup.,69,117
1:28,197,Will Lienhard Block.,69,117
1:26,197,Will Lienhard Defensive Rebound.,69,117
1:09,197,Brandon Averette missed Layup.,69,117
1:09,2443,A.J. Cheeseman Block.,69,117
1:09,2443,New Orleans Defensive Rebound.,69,117
1:00,2443,Michael Zeno missed Jumper.,69,117
1:00,197,Tyler Underwood Defensive Rebound.,69,117
0:54,197,Tyler Underwood Turnover.,69,117
0:53,2443,Venjie Wallis Steal.,69,117
0:53,197,Foul on Tyler Underwood.,69,117
0:53,2443,Venjie Wallis missed Free Throw.,69,117
0:53,2443,New Orleans Deadball Team Rebound.,69,117
0:53,2443,Venjie Wallis made Free Throw.,70,117
0:36,197,Davon Dillard Turnover.,70,117
0:26,2443,Venjie Wallis missed Jumper.,70,117
0:26,197,Brandon Averette Defensive Rebound.,70,117
0:21,197,Brandon Averette Turnover.,70,117
0:20,2443,A.J. Cheeseman Steal.,70,117
0:14,2443,Michael Zeno missed Layup.,70,117
0:14,2443,A.J. Cheeseman Offensive Rebound.,70,117
0:11,2443,A.J. Cheeseman made Layup.,72,117
0:00,197,End of Game,72,117
