Robert Morris,2083,Bucknell,2523
12:20,2523,Billy Giles made Layup. Assisted by Aaron Tate.,7,11
11:52,2083,D.J. MacLeay made Layup. Assisted by Zach Thomas.,7,13
11:31,2523,Kavon Stewart missed Jumper.,7,13
11:31,2083,D.J. MacLeay Defensive Rebound.,7,13
11:24,2083,John Azzinaro missed Layup.,7,13
11:24,2523,Dachon Burke Block.,7,13
11:20,2083,Zach Thomas Offensive Rebound.,7,13
11:17,2083,Zach Thomas made Layup.,7,15
11:05,2523,Dachon Burke missed Jumper.,7,15
11:05,2083,Zach Thomas Defensive Rebound.,7,15
10:42,2083,Zach Thomas Turnover.,7,15
10:42,2523,Dachon Burke Steal.,7,15
10:42,2083,Official TV Timeout,7,15
10:12,2523,Braden Burke missed Layup.,7,15
10:12,2083,Nana Foulland Block.,7,15
10:11,2083,Bucknell Deadball Team Rebound.,7,15
9:57,2083,Kimbal Mackenzie Turnover.,7,15
9:56,2523,Braden Burke Steal.,7,15
9:45,2523,Aaron Tate missed Jumper.,7,15
9:45,2083,Zach Thomas Defensive Rebound.,7,15
9:32,2083,Nana Foulland missed Jumper.,7,15
9:32,2523,Isaiah Still Defensive Rebound.,7,15
9:24,2523,Isaiah Still missed Layup.,7,15
9:24,2523,Aaron Tate Offensive Rebound.,7,15
9:17,2523,Isaiah Still missed Layup.,7,15
9:17,2083,Zach Thomas Defensive Rebound.,7,15
9:07,2083,Kimbal Mackenzie missed Three Point Jumper.,7,15
9:07,2523,Aaron Tate Defensive Rebound.,7,15
9:06,2083,Foul on Nate Jones.,7,15
8:53,2523,Clive Allen missed Jumper.,7,15
8:53,2523,Dachon Burke Offensive Rebound.,7,15
8:45,2523,Braden Burke made Dunk. Assisted by Dachon Burke.,9,15
8:29,2083,Stephen Brown missed Three Point Jumper.,9,15
8:29,2523,Braden Burke Defensive Rebound.,9,15
8:13,2083,Foul on Stephen Brown.,9,15
7:55,2523,Billy Giles made Jumper. Assisted by Isaiah Still.,11,15
7:42,2523,Foul on Billy Giles.,11,15
7:42,2083,Official TV Timeout,11,15
7:42,2083,Bruce Moore made Free Throw.,11,16
7:42,2083,Bruce Moore made Free Throw.,11,17
7:28,2523,Lorenzen Wright Jr. Turnover.,11,17
7:26,2083,Nana Foulland Steal.,11,17
7:10,2083,Zach Thomas missed Three Point Jumper.,11,17
7:10,2523,Roberto Mantovani Defensive Rebound.,11,17
7:02,2523,Clive Allen missed Layup.,11,17
7:02,2523,Billy Giles Offensive Rebound.,11,17
7:00,2523,Billy Giles made Two Point Tip Shot.,13,17
6:57,2523,Foul on Clive Allen.,13,17
6:43,2083,Nana Foulland Turnover.,13,17
6:25,2523,Dachon Burke missed Jumper.,13,17
6:25,2083,Avi Toomer Block.,13,17
6:23,2083,Nana Foulland Defensive Rebound.,13,17
6:20,2523,Foul on Clive Allen.,13,17
6:20,2083,Zach Thomas made Free Throw.,13,18
6:20,2083,Zach Thomas missed Free Throw.,13,18
6:20,2523,Roberto Mantovani Defensive Rebound.,13,18
6:04,2523,Billy Giles made Jumper.,15,18
5:50,2083,Kimbal Mackenzie Turnover.,15,18
5:28,2523,Kavon Stewart missed Layup.,15,18
5:28,2083,Avi Toomer Defensive Rebound.,15,18
5:20,2083,Foul on Nana Foulland.,15,18
5:20,2083,Nana Foulland Turnover.,15,18
5:08,2523,Kavon Stewart Turnover.,15,18
4:52,2083,Zach Thomas made Three Point Jumper. Assisted by Kimbal Mackenzie.,15,21
4:30,2083,Foul on Zach Thomas.,15,21
4:30,2523,Dachon Burke made Free Throw.,16,21
4:30,2523,Dachon Burke made Free Throw.,17,21
4:10,2083,Nana Foulland Turnover.,17,21
3:51,2083,Official TV Timeout,17,21
3:49,2523,Isaiah Still missed Three Point Jumper.,17,21
3:49,2083,Zach Thomas Defensive Rebound.,17,21
3:23,2083,Avi Toomer missed Three Point Jumper.,17,21
3:23,2083,Avi Toomer Offensive Rebound.,17,21
3:11,2523,Foul on Braden Burke.,17,21
3:11,2083,Nana Foulland made Free Throw.,17,22
3:11,2083,Nana Foulland missed Free Throw.,17,22
3:11,2523,Roberto Mantovani Defensive Rebound.,17,22
2:55,2523,Isaiah Still made Three Point Jumper. Assisted by Matty McConnell.,20,22
2:44,2083,Nana Foulland made Layup. Assisted by Zach Thomas.,20,24
2:44,2523,Foul on Roberto Mantovani.,20,24
2:44,2083,Nana Foulland made Free Throw.,20,25
2:29,2523,Matty McConnell missed Three Point Jumper.,20,25
2:29,2083,Nana Foulland Defensive Rebound.,20,25
2:20,2083,Avi Toomer missed Layup.,20,25
2:20,2083,Kimbal Mackenzie Offensive Rebound.,20,25
2:15,2083,Kimbal Mackenzie made Layup.,20,27
1:54,2523,Matty McConnell Turnover.,20,27
1:53,2083,Nana Foulland Steal.,20,27
1:37,2083,Avi Toomer missed Three Point Jumper.,20,27
1:37,2523,Roberto Mantovani Defensive Rebound.,20,27
1:24,2523,Kavon Stewart missed Layup.,20,27
1:24,2083,Zach Thomas Defensive Rebound.,20,27
1:18,2523,Foul on Matty McConnell.,20,27
1:18,2083,Avi Toomer missed Free Throw.,20,27
1:18,2083,Bucknell Deadball Team Rebound.,20,27
1:18,2083,Avi Toomer missed Free Throw.,20,27
1:18,2523,Billy Giles Defensive Rebound.,20,27
1:07,2523,Kavon Stewart Turnover.,20,27
1:06,2083,Zach Thomas Steal.,20,27
0:47,2083,Nana Foulland made Layup.,20,29
0:20,2523,Matty McConnell made Three Point Jumper. Assisted by Isaiah Still.,23,29
0:12,2083,Bucknell  Timeout,23,29
0:02,2083,Zach Thomas made Layup. Assisted by Nana Foulland.,23,31
0:00,2083,End of 1st half,23,31
19:49,2083,Zach Thomas missed Three Point Jumper.,23,31
19:47,2523,Robert Morris Defensive Rebound.,23,31
19:23,2523,Roberto Mantovani Turnover.,23,31
19:12,2083,Kimbal Mackenzie Turnover.,23,31
19:11,2523,Roberto Mantovani Steal.,23,31
19:05,2523,Kavon Stewart made Layup.,25,31
18:48,2523,Foul on Roberto Mantovani.,25,31
18:48,2083,Zach Thomas made Free Throw.,25,32
18:48,2083,Zach Thomas made Free Throw.,25,33
18:19,2523,Kavon Stewart missed Three Point Jumper.,25,33
18:17,2083,Bucknell Deadball Team Rebound.,25,33
18:03,2083,Zach Thomas made Layup. Assisted by Nana Foulland.,25,35
17:47,2523,Roberto Mantovani missed Layup.,25,35
17:47,2083,Nana Foulland Block.,25,35
17:46,2523,Roberto Mantovani Offensive Rebound.,25,35
17:35,2523,Isaiah Still missed Three Point Jumper.,25,35
17:35,2523,Dachon Burke Offensive Rebound.,25,35
17:31,2523,Dachon Burke missed Layup.,25,35
17:31,2083,Nana Foulland Block.,25,35
17:31,2523,Robert Morris Offensive Rebound.,25,35
17:23,2523,Kavon Stewart made Layup.,27,35
17:18,2083,Nate Jones made Layup. Assisted by Stephen Brown.,27,37
17:03,2083,Foul on Kimbal Mackenzie.,27,37
17:03,2523,Isaiah Still made Free Throw.,28,37
17:03,2523,Isaiah Still made Free Throw.,29,37
16:51,2083,Nana Foulland made Layup. Assisted by Zach Thomas.,29,39
16:34,2523,Kavon Stewart Turnover.,29,39
16:13,2083,Zach Thomas missed Layup.,29,39
16:13,2083,Nana Foulland Offensive Rebound.,29,39
16:10,2083,Nana Foulland made Two Point Tip Shot.,29,41
15:46,2523,Kavon Stewart missed Jumper.,29,41
15:46,2083,Nana Foulland Defensive Rebound.,29,41
15:40,2083,Kimbal Mackenzie missed Three Point Jumper.,29,41
15:40,2523,Braden Burke Defensive Rebound.,29,41
15:29,2523,Isaiah Still missed Layup.,29,41
15:29,2083,Nana Foulland Block.,29,41
15:28,2523,Isaiah Still Offensive Rebound.,29,41
15:26,2523,Isaiah Still made Layup.,31,41
15:16,2083,Official TV Timeout,31,41
15:04,2083,Foul on Nate Sestina.,31,41
15:04,2083,Nate Sestina Turnover.,31,41
14:50,2523,Clive Allen Turnover.,31,41
14:36,2083,Nana Foulland missed Jumper.,31,41
14:35,2523,Robert Morris Defensive Rebound.,31,41
14:22,2523,Billy Giles made Layup.,33,41
14:15,2083,Matt O'Reilly made Three Point Jumper. Assisted by Stephen Brown.,33,44
13:50,2523,Braden Burke missed Layup.,33,44
13:50,2083,Nana Foulland Defensive Rebound.,33,44
13:42,2083,Nate Sestina made Layup. Assisted by Stephen Brown.,33,46
13:19,2523,Braden Burke Turnover.,33,46
13:18,2083,Nana Foulland Steal.,33,46
13:15,2083,Matt O'Reilly missed Three Point Jumper.,33,46
13:15,2083,Nate Sestina Offensive Rebound.,33,46
13:01,2083,Nate Jones missed Three Point Jumper.,33,46
13:01,2083,Nate Sestina Offensive Rebound.,33,46
12:57,2083,Nate Sestina made Layup.,33,48
12:52,2523,Robert Morris  Timeout,33,48
12:30,2523,Matty McConnell made Jumper.,35,48
12:22,2083,Matt O'Reilly missed Layup.,35,48
12:22,2083,Zach Thomas Offensive Rebound.,35,48
12:13,2083,Zach Thomas made Layup.,35,50
11:57,2523,Clive Allen Turnover.,35,50
11:55,2083,Stephen Brown Steal.,35,50
11:52,2083,Stephen Brown missed Layup.,35,50
11:52,2523,Clive Allen Block.,35,50
11:51,2523,Matty McConnell Defensive Rebound.,35,50
11:47,2523,Dachon Burke made Layup.,37,50
11:25,2083,Nate Sestina made Layup. Assisted by Kimbal Mackenzie.,37,52
11:12,2523,Matty McConnell made Jumper.,39,52
11:05,2083,Zach Thomas missed Layup.,39,52
11:05,2523,Aaron Tate Defensive Rebound.,39,52
10:54,2523,Roberto Mantovani missed Layup.,39,52
10:54,2083,Nate Sestina Block.,39,52
10:53,2523,Robert Morris Offensive Rebound.,39,52
10:52,2083,Official TV Timeout,39,52
10:42,2523,Aaron Tate made Jumper. Assisted by Isaiah Still.,41,52
10:20,2083,Nate Jones missed Three Point Jumper.,41,52
10:20,2523,Kavon Stewart Defensive Rebound.,41,52
10:12,2523,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Kavon Stewart.,44,52
9:40,2083,Zach Thomas missed Three Point Jumper.,44,52
9:40,2083,Nana Foulland Offensive Rebound.,44,52
9:24,2083,Stephen Brown made Three Point Jumper. Assisted by Zach Thomas.,44,55
9:10,2083,Foul on Stephen Brown.,44,55
8:45,2523,Lorenzen Wright Jr. missed Three Point Jumper.,44,55
8:45,2083,Zach Thomas Defensive Rebound.,44,55
8:37,2083,Zach Thomas missed Three Point Jumper.,44,55
8:37,2523,Kavon Stewart Defensive Rebound.,44,55
8:32,2083,Foul on Stephen Brown.,44,55
8:29,2523,Lorenzen Wright Jr. Turnover.,44,55
8:18,2523,Foul on Lorenzen Wright Jr..,44,55
8:18,2083,Kimbal Mackenzie made Free Throw.,44,56
8:18,2083,Kimbal Mackenzie made Free Throw.,44,57
8:07,2083,Foul on Matt O'Reilly.,44,57
8:06,2523,Kavon Stewart Turnover.,44,57
8:04,2083,Matt O'Reilly Steal.,44,57
7:54,2083,Nana Foulland made Dunk. Assisted by Zach Thomas.,44,59
7:41,2523,Matty McConnell Turnover.,44,59
7:41,2083,Official TV Timeout,44,59
7:26,2083,Nana Foulland made Jumper. Assisted by Nate Jones.,44,61
7:06,2523,Dachon Burke Turnover.,44,61
6:52,2083,Matt O'Reilly missed Three Point Jumper.,44,61
6:52,2523,Dachon Burke Defensive Rebound.,44,61
6:41,2083,Foul on Kimbal Mackenzie.,44,61
6:41,2523,Kavon Stewart made Free Throw.,45,61
6:41,2523,Kavon Stewart made Free Throw.,46,61
6:25,2083,Zach Thomas Turnover.,46,61
6:05,2523,Matty McConnell made Three Point Jumper. Assisted by Roberto Mantovani.,49,61
5:53,2083,Nana Foulland missed Jumper.,49,61
5:52,2523,Billy Giles Defensive Rebound.,49,61
5:51,2083,Foul on Nana Foulland.,49,61
5:51,2523,Billy Giles made Free Throw.,50,61
5:51,2523,Billy Giles made Free Throw.,51,61
5:28,2083,Kimbal Mackenzie missed Layup.,51,61
5:28,2523,Braden Burke Block.,51,61
5:26,2523,Aaron Tate Defensive Rebound.,51,61
5:22,2523,Matty McConnell missed Three Point Jumper.,51,61
5:22,2083,Nana Foulland Defensive Rebound.,51,61
5:19,2523,Foul on Braden Burke.,51,61
5:11,2083,Stephen Brown missed Layup.,51,61
5:11,2083,Nana Foulland Offensive Rebound.,51,61
5:09,2083,Nana Foulland made Two Point Tip Shot.,51,63
4:55,2523,Braden Burke made Jumper. Assisted by Isaiah Still.,53,63
4:38,2083,Zach Thomas Turnover.,53,63
4:37,2523,Matty McConnell Steal.,53,63
4:21,2523,Kavon Stewart missed Layup.,53,63
4:21,2523,Billy Giles Offensive Rebound.,53,63
4:18,2523,Billy Giles made Layup.,55,63
4:03,2083,Kimbal Mackenzie missed Three Point Jumper.,55,63
4:03,2523,Aaron Tate Defensive Rebound.,55,63
3:58,2083,Foul on Stephen Brown.,55,63
3:58,2083,Official TV Timeout,55,63
3:58,2523,Kavon Stewart missed Free Throw.,55,63
3:58,2083,Zach Thomas Defensive Rebound.,55,63
3:36,2523,Foul on Aaron Tate.,55,63
3:36,2083,Zach Thomas made Free Throw.,55,64
3:36,2083,Zach Thomas made Free Throw.,55,65
3:22,2523,Isaiah Still Turnover.,55,65
3:21,2083,Avi Toomer Steal.,55,65
3:10,2523,Foul on Aaron Tate.,55,65
2:49,2523,Foul on Kavon Stewart.,55,65
2:49,2083,Bucknell  Timeout,55,65
2:37,2083,Nana Foulland made Jumper.,55,67
2:25,2523,Matty McConnell made Three Point Jumper. Assisted by Kavon Stewart.,58,67
2:22,2523,Robert Morris  Timeout,58,67
2:18,2083,Nate Jones Turnover.,58,67
2:05,2523,Billy Giles made Layup. Assisted by Aaron Tate.,60,67
1:52,2083,Nate Jones missed Layup.,60,67
1:52,2083,Nana Foulland Offensive Rebound.,60,67
1:50,2083,Nana Foulland made Two Point Tip Shot.,60,69
1:44,2083,Foul on Avi Toomer.,60,69
1:44,2523,Kavon Stewart missed Free Throw.,60,69
1:44,2083,Nate Sestina Defensive Rebound.,60,69
1:21,2083,Nate Sestina made Dunk. Assisted by Zach Thomas.,60,71
1:10,2523,Kavon Stewart missed Layup.,60,71
1:10,2083,Zach Thomas Defensive Rebound.,60,71
0:45,2083,Kimbal Mackenzie made Layup.,60,73
0:39,2523,Kavon Stewart Turnover.,60,73
0:17,2083,Nate Jones made Layup. Assisted by Zach Thomas.,60,75
0:08,2523,Billy Giles made Dunk. Assisted by Kavon Stewart.,62,75
0:00,2083,End of Game,62,75
