Rocky Mountain,147,Montana State,2826
10:39,-1,Foul on Grant Wallace.,25,20
10:39,-1,Grant Wallace Turnover.,25,20
10:29,147,Zach Green missed Jumper.,25,20
10:29,-1,Rocky Mountain Defensive Rebound.,25,20
10:28,147,Foul on Devin Kirby.,25,20
10:18,-1,Taylor Longo missed Layup.,25,20
10:18,147,Zach Green Defensive Rebound.,25,20
10:06,147,Tyler Hall made Three Point Jumper.,25,23
9:51,-1,Chad Kananen missed Three Point Jumper.,25,23
9:51,-1,Chad Kananen Offensive Rebound.,25,23
9:46,-1,Zach Hinton missed Jumper.,25,23
9:46,147,Montana St Defensive Rebound.,25,23
9:31,-1,Zach Hinton missed Three Point Jumper.,25,23
9:31,147,Quinton Everett Defensive Rebound.,25,23
9:22,-1,Foul on Danny Betcher.,25,23
9:22,147,Devin Kirby made Free Throw.,25,24
9:22,147,Devin Kirby made Free Throw.,25,25
9:04,147,Foul on Devin Kirby.,25,25
8:58,-1,Taylor Longo Turnover.,25,25
8:50,147,Tyler Hall made Dunk. Assisted by Harald Frey.,25,27
8:44,147,Foul on Harald Frey.,25,27
8:30,147,Foul on Devin Kirby.,25,27
8:23,-1,Riley Bradshaw made Layup.,27,27
8:04,147,Harald Frey made Layup.,27,29
7:55,147,Foul on Harald Frey.,27,29
7:55,-1,Rocky Mountain  Timeout,27,29
7:55,-1,Riley Bradshaw missed Free Throw.,27,29
7:55,-1,Zach Hinton Offensive Rebound.,27,29
7:30,-1,Taylor Longo made Three Point Jumper. Assisted by Riley Bradshaw.,30,29
7:17,147,Quinton Everett made Jumper.,30,31
7:04,-1,Riley Bradshaw Turnover.,30,31
6:46,147,Zach Green made Jumper.,30,33
6:22,-1,Taylor Longo missed Three Point Jumper.,30,33
6:22,-1,Bryden Boehning Offensive Rebound.,30,33
6:18,-1,Bryden Boehning made Layup.,32,33
6:10,147,Quinton Everett missed Layup.,32,33
6:10,147,Quinton Everett Offensive Rebound.,32,33
6:06,147,Quinton Everett missed Layup.,32,33
6:06,147,Zach Green Offensive Rebound.,32,33
6:03,147,Zach Green made Layup.,32,35
6:03,-1,Foul on Riley Bradshaw.,32,35
6:03,147,Zach Green made Free Throw.,32,36
5:33,-1,Riley Bradshaw missed Three Point Jumper.,32,36
5:33,147,Montana St Defensive Rebound.,32,36
5:22,147,Tyler Hall missed Three Point Jumper.,32,36
5:22,147,Tyler Hall Offensive Rebound.,32,36
5:15,147,Devonte Klines Turnover.,32,36
5:09,-1,Derek Graves missed Layup.,32,36
5:09,147,Sarp Gobeloglu Defensive Rebound.,32,36
5:02,147,Quinton Everett missed Three Point Jumper.,32,36
5:02,147,Sam Neumann Offensive Rebound.,32,36
4:58,147,Sarp Gobeloglu Turnover.,32,36
4:36,-1,Taylor Longo missed Jumper.,32,36
4:36,-1,Taylor Longo Offensive Rebound.,32,36
4:31,-1,Grant Wallace missed Jumper.,32,36
4:31,147,Sarp Gobeloglu Defensive Rebound.,32,36
4:22,-1,Foul on Taylor Longo.,32,36
4:22,147,Sam Neumann made Free Throw.,32,37
4:22,147,Sam Neumann made Free Throw.,32,38
4:14,-1,Riley Bradshaw Turnover.,32,38
4:14,-1,Rocky Mountain  Timeout,32,38
4:01,147,Devonte Klines made Layup.,32,40
3:43,-1,Chad Kananen missed Three Point Jumper.,32,40
3:43,147,Sam Neumann Defensive Rebound.,32,40
3:31,147,Joe Mvuezolo Jr. made Jumper. Assisted by Mandrell Worthy.,32,42
3:10,-1,Taylor Longo missed Three Point Jumper.,32,42
3:10,147,Devonte Klines Defensive Rebound.,32,42
2:58,-1,Foul on Zach Hinton.,32,42
2:58,147,Mandrell Worthy missed Free Throw.,32,42
2:58,147,Montana St Deadball Team Rebound.,32,42
2:58,147,Mandrell Worthy missed Free Throw.,32,42
2:58,-1,Craig Wilmore Defensive Rebound.,32,42
2:43,-1,Derek Graves missed Jumper.,32,42
2:43,147,Benson Osayande Defensive Rebound.,32,42
2:40,-1,Foul on Craig Wilmore.,32,42
2:40,147,Benson Osayande missed Free Throw.,32,42
2:40,147,Montana St Deadball Team Rebound.,32,42
2:40,147,Benson Osayande missed Free Throw.,32,42
2:40,-1,Craig Wilmore Defensive Rebound.,32,42
2:29,-1,Craig Wilmore missed Three Point Jumper.,32,42
2:29,147,Devonte Klines Defensive Rebound.,32,42
2:17,147,Benson Osayande made Layup.,32,44
1:59,147,Mandrell Worthy Steal.,32,44
1:57,-1,Derek Graves Turnover.,32,44
1:54,147,Joe Mvuezolo Jr. made Layup.,32,46
1:40,-1,Craig Wilmore Turnover.,32,46
1:28,147,Tyler Hall missed Jumper.,32,46
1:28,147,Sarp Gobeloglu Offensive Rebound.,32,46
1:22,147,Sarp Gobeloglu Turnover.,32,46
1:20,-1,Zach Hinton Steal.,32,46
1:18,-1,Zach Hinton made Layup. Assisted by Riley Bradshaw.,34,46
1:18,147,Foul on Joe Mvuezolo Jr..,34,46
1:18,-1,Zach Hinton missed Free Throw.,34,46
1:18,147,Montana St Defensive Rebound.,34,46
0:49,147,Mandrell Worthy missed Jumper.,34,46
0:49,147,Montana St Offensive Rebound.,34,46
0:47,147,Montana St  Turnover.,34,46
0:31,-1,Bryden Boehning made Layup.,36,46
0:00,147,Joe Mvuezolo Jr. made Three Point Jumper. Assisted by Tyler Hall.,36,49
0:00,147,End of 1st half,36,49
19:50,-1,Bryden Boehning missed Jumper.,36,49
19:50,147,Tyler Hall Defensive Rebound.,36,49
19:43,147,Quinton Everett missed Jumper.,36,49
19:43,-1,Taylor Longo Defensive Rebound.,36,49
19:37,-1,Riley Bradshaw made Jumper.,38,49
19:30,147,Tyler Hall Turnover.,38,49
19:28,-1,Taylor Longo Steal.,38,49
19:18,-1,Zach Hinton missed Jumper.,38,49
19:18,147,Zach Green Block.,38,49
19:15,147,Zach Green Defensive Rebound.,38,49
19:07,147,Zach Green missed Three Point Jumper.,38,49
19:07,-1,Derek Graves Defensive Rebound.,38,49
18:47,-1,Foul on Taylor Longo.,38,49
18:47,-1,Taylor Longo Turnover.,38,49
18:27,147,Zach Green Turnover.,38,49
18:25,-1,Riley Bradshaw Steal.,38,49
18:23,-1,Riley Bradshaw Steal.,38,49
18:21,147,Quinton Everett Steal.,38,49
18:18,147,Sam Neumann made Three Point Jumper. Assisted by Harald Frey.,38,52
17:59,-1,Riley Bradshaw missed Three Point Jumper.,38,52
17:59,-1,Derek Graves Offensive Rebound.,38,52
17:54,-1,Taylor Longo made Jumper.,40,52
17:34,-1,Foul on Derek Graves.,40,52
17:26,147,Quinton Everett made Three Point Jumper. Assisted by Harald Frey.,40,55
17:02,-1,Derek Graves made Jumper.,42,55
16:47,147,Tyler Hall made Jumper.,42,57
16:26,-1,Riley Bradshaw missed Jumper.,42,57
16:26,147,Tyler Hall Defensive Rebound.,42,57
16:21,147,Benson Osayande made Dunk. Assisted by Quinton Everett.,42,59
16:01,-1,Grant Wallace missed Three Point Jumper.,42,59
16:01,147,Tyler Hall Defensive Rebound.,42,59
15:49,147,Quinton Everett missed Three Point Jumper.,42,59
15:49,-1,Taylor Longo Defensive Rebound.,42,59
15:37,-1,Grant Wallace missed Jumper.,42,59
15:37,147,Sam Neumann Defensive Rebound.,42,59
15:24,147,Quinton Everett made Layup.,42,61
15:00,-1,Taylor Longo missed Three Point Jumper.,42,61
15:00,-1,Rocky Mountain Offensive Rebound.,42,61
14:56,-1,Rocky Mountain  Timeout,42,61
14:48,-1,Riley Bradshaw made Three Point Jumper. Assisted by Zach Hinton.,45,61
14:40,147,Joe Mvuezolo Jr. Turnover.,45,61
14:25,-1,Bryden Boehning made Layup.,47,61
14:17,147,Joe Mvuezolo Jr. missed Three Point Jumper.,47,61
14:17,147,Benson Osayande Offensive Rebound.,47,61
14:13,147,Benson Osayande made Layup.,47,63
14:03,147,Foul on Devonte Klines.,47,63
14:03,-1,Riley Bradshaw made Three Point Jumper. Assisted by Craig Wilmore.,50,63
14:03,147,Joe Mvuezolo Jr. made Jumper.,50,65
13:24,147,Foul on Sam Neumann.,50,65
13:20,-1,Chad Kananen missed Three Point Jumper.,50,65
13:20,147,Joe Mvuezolo Jr. Defensive Rebound.,50,65
12:53,147,Harald Frey made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,50,68
12:33,-1,Riley Bradshaw made Three Point Jumper. Assisted by Chad Kananen.,53,68
12:30,-1,Rocky Mountain  Timeout,53,68
12:13,147,Joe Mvuezolo Jr. missed Jumper.,53,68
12:13,147,Devin Kirby Offensive Rebound.,53,68
12:08,147,Devin Kirby Turnover.,53,68
12:07,-1,Craig Wilmore Steal.,53,68
12:04,147,Foul on Tyler Hall.,53,68
12:04,-1,Craig Wilmore made Free Throw.,54,68
12:04,-1,Craig Wilmore made Free Throw.,55,68
11:47,147,Zach Green made Jumper.,55,70
11:28,147,Foul on Devin Kirby.,55,70
11:28,-1,Rocky Mountain  Timeout,55,70
11:28,-1,Bryden Boehning made Free Throw.,56,70
11:28,-1,Bryden Boehning made Free Throw.,57,70
11:10,-1,Foul on Riley Bradshaw.,57,70
10:59,147,Zach Green made Jumper. Assisted by Tyler Hall.,57,72
10:50,-1,Foul on Bryden Boehning.,57,72
10:50,-1,Bryden Boehning Turnover.,57,72
10:39,-1,Foul on Zach Hinton.,57,72
10:27,147,Zach Green made Three Point Jumper. Assisted by Quinton Everett.,57,75
10:06,-1,Zach Hinton made Layup.,59,75
9:48,147,Harald Frey missed Layup.,59,75
9:48,-1,Zach Hinton Defensive Rebound.,59,75
9:39,-1,Riley Bradshaw made Layup.,61,75
9:22,147,Tyler Hall made Jumper.,61,77
9:08,147,Foul on Sam Neumann.,61,77
9:04,-1,Taylor Longo missed Three Point Jumper.,61,77
9:04,147,Tyler Hall Defensive Rebound.,61,77
8:55,147,Foul on Quinton Everett.,61,77
8:55,147,Quinton Everett Turnover.,61,77
8:35,-1,Craig Wilmore missed Jumper.,61,77
8:35,147,Benson Osayande Defensive Rebound.,61,77
8:24,-1,Foul on Chad Kananen.,61,77
8:24,147,Quinton Everett made Free Throw.,61,78
8:24,147,Quinton Everett missed Free Throw.,61,78
8:24,-1,Zach Hinton Defensive Rebound.,61,78
8:08,-1,Chad Kananen missed Jumper.,61,78
8:08,147,Benson Osayande Defensive Rebound.,61,78
8:06,-1,Foul on Chad Kananen.,61,78
8:06,147,Benson Osayande made Free Throw.,61,79
8:06,147,Benson Osayande made Free Throw.,61,80
7:52,-1,Zach Hinton made Jumper.,63,80
7:35,147,Benson Osayande missed Jumper.,63,80
7:35,147,Devonte Klines Offensive Rebound.,63,80
7:25,147,Sarp Gobeloglu missed Three Point Jumper.,63,80
7:25,147,Benson Osayande Offensive Rebound.,63,80
7:21,147,Benson Osayande made Layup.,63,82
7:11,147,Foul on Devonte Klines.,63,82
7:11,-1,Rocky Mountain  Timeout,63,82
7:11,-1,Riley Bradshaw made Free Throw.,64,82
7:11,-1,Riley Bradshaw missed Free Throw.,64,82
7:11,147,Quinton Everett Defensive Rebound.,64,82
6:54,147,Sarp Gobeloglu made Jumper.,64,84
6:34,-1,Craig Wilmore missed Jumper.,64,84
6:34,147,Benson Osayande Block.,64,84
6:34,-1,Rocky Mountain Offensive Rebound.,64,84
6:20,-1,Rocky Mountain  Turnover.,64,84
6:07,147,Tyler Hall missed Three Point Jumper.,64,84
6:07,147,Sarp Gobeloglu Offensive Rebound.,64,84
6:01,147,Sarp Gobeloglu missed Jumper.,64,84
6:01,-1,Craig Wilmore Defensive Rebound.,64,84
5:57,147,Foul on Tyler Hall.,64,84
5:57,-1,Taylor Longo made Free Throw.,65,84
5:57,-1,Taylor Longo made Free Throw.,66,84
5:43,147,Foul on Benson Osayande.,66,84
5:43,147,Benson Osayande Turnover.,66,84
5:33,-1,Taylor Longo missed Three Point Jumper.,66,84
5:33,-1,Bryden Boehning Offensive Rebound.,66,84
5:18,-1,Riley Bradshaw Turnover.,66,84
5:03,147,Harald Frey missed Three Point Jumper.,66,84
5:03,147,Quinton Everett Offensive Rebound.,66,84
4:59,147,Quinton Everett made Layup.,66,86
4:37,147,Foul on Benson Osayande.,66,86
4:37,-1,Bryden Boehning made Free Throw.,67,86
4:37,-1,Bryden Boehning made Free Throw.,68,86
4:22,147,Mandrell Worthy Turnover.,68,86
4:09,-1,Bryden Boehning made Layup.,70,86
3:48,147,Joe Mvuezolo Jr. missed Layup.,70,86
3:48,-1,Bryden Boehning Block.,70,86
3:45,-1,Bryden Boehning Defensive Rebound.,70,86
3:38,-1,Riley Bradshaw missed Jumper.,70,86
3:38,147,Benson Osayande Defensive Rebound.,70,86
3:34,-1,Foul on Taylor Longo.,70,86
3:34,147,Montana St  Timeout,70,86
3:34,147,Harald Frey made Free Throw.,70,87
3:34,147,Harald Frey missed Free Throw.,70,87
3:34,-1,Zach Hinton Defensive Rebound.,70,87
3:19,-1,Taylor Longo Turnover.,70,87
2:53,147,Harald Frey Turnover.,70,87
2:51,-1,Zach Hinton Steal.,70,87
2:37,147,Foul on Sarp Gobeloglu.,70,87
2:37,-1,Zach Hinton missed Free Throw.,70,87
2:37,-1,Rocky Mountain Deadball Team Rebound.,70,87
2:37,-1,Zach Hinton missed Free Throw.,70,87
2:37,147,Montana St Defensive Rebound.,70,87
2:26,147,Joe Mvuezolo Jr. missed Jumper.,70,87
2:26,-1,Zach Hinton Defensive Rebound.,70,87
2:23,-1,Zach Hinton Turnover.,70,87
2:20,147,Harald Frey made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,70,90
2:08,-1,Bryden Boehning missed Jumper.,70,90
2:08,147,Harald Frey Defensive Rebound.,70,90
1:56,147,Sarp Gobeloglu made Three Point Jumper. Assisted by Harald Frey.,70,93
1:29,-1,Zach Hinton made Jumper.,72,93
1:27,-1,Rocky Mountain  Timeout,72,93
1:01,147,Sarp Gobeloglu missed Three Point Jumper.,72,93
1:01,-1,Riley Bradshaw Defensive Rebound.,72,93
0:59,147,Foul on Devin Kirby.,72,93
0:59,-1,Riley Bradshaw made Free Throw.,73,93
0:59,-1,Riley Bradshaw made Free Throw.,74,93
0:44,-1,Foul on Brayden Wacker.,74,93
0:44,147,Mandrell Worthy missed Free Throw.,74,93
0:44,-1,Brayden Wacker Defensive Rebound.,74,93
0:36,147,Foul on Dallas Lussier.,74,93
0:36,-1,Chad Kananen made Free Throw.,75,93
0:36,-1,Chad Kananen made Free Throw.,76,93
0:19,-1,Trey Larson Steal.,76,93
0:17,147,Mandrell Worthy Turnover.,76,93
0:14,-1,Isaac Martel missed Jumper.,76,93
0:14,147,Mandrell Worthy Block.,76,93
0:12,147,Cooper Olson Defensive Rebound.,76,93
0:00,147,End of Game,76,93
