Seattle,87,Notre Dame,2547
6:24,87,V.J. Beachem made Free Throw.,18,38
6:07,2547,Scott Ulaneo made Layup. Assisted by Brendan Westendorf.,20,38
5:48,87,Matt Farrell made Three Point Jumper. Assisted by Steve Vasturia.,20,41
5:23,87,Foul on Matt Farrell.,20,41
5:23,2547,Morgan Means missed Free Throw.,20,41
5:23,2547,Seattle Deadball Team Rebound.,20,41
5:23,2547,Morgan Means made Free Throw.,21,41
5:01,87,Matt Farrell made Three Point Jumper. Assisted by V.J. Beachem.,21,44
4:36,2547,William Powell missed Jumper.,21,44
4:36,87,Matt Farrell Defensive Rebound.,21,44
4:15,87,Steve Vasturia Turnover.,21,44
4:15,87,Foul on Steve Vasturia.,21,44
3:47,2547,Brendan Westendorf missed Jumper.,21,44
3:47,87,Bonzie Colson Defensive Rebound.,21,44
3:27,87,V.J. Beachem made Jumper. Assisted by Temple Gibbs.,21,46
3:13,87,Official TV Timeout,21,46
3:00,2547,Zack Moore missed Three Point Jumper.,21,46
3:00,87,Temple Gibbs Defensive Rebound.,21,46
2:41,87,Matt Ryan made Three Point Jumper. Assisted by Temple Gibbs.,21,49
2:24,2547,William Powell missed Jumper.,21,49
2:24,2547,Scott Ulaneo Offensive Rebound.,21,49
2:21,87,Foul on John Mooney.,21,49
2:21,2547,Scott Ulaneo missed Free Throw.,21,49
2:21,2547,Seattle Deadball Team Rebound.,21,49
2:21,2547,Scott Ulaneo missed Free Throw.,21,49
2:21,87,Austin Torres Defensive Rebound.,21,49
2:04,87,Rex Pflueger missed Three Point Jumper.,21,49
2:04,87,Matt Ryan Offensive Rebound.,21,49
2:01,87,Matt Ryan missed Jumper.,21,49
2:01,2547,William Powell Defensive Rebound.,21,49
2:00,87,Foul on Austin Torres.,21,49
2:00,2547,William Powell made Free Throw.,22,49
2:00,2547,William Powell made Free Throw.,23,49
1:50,87,Matt Ryan made Three Point Jumper. Assisted by Rex Pflueger.,23,52
1:40,2547,William Powell Turnover.,23,52
1:39,87,Temple Gibbs Steal.,23,52
1:35,87,Rex Pflueger made Layup. Assisted by Matt Ryan.,23,54
1:06,2547,Scott Ulaneo missed Three Point Jumper.,23,54
1:06,87,John Mooney Defensive Rebound.,23,54
0:55,87,John Mooney missed Three Point Jumper.,23,54
0:55,2547,Zack Moore Defensive Rebound.,23,54
0:54,87,Foul on Temple Gibbs.,23,54
0:54,2547,Zack Moore made Free Throw.,24,54
0:54,2547,Zack Moore made Free Throw.,25,54
0:35,2547,Foul on Zack Moore.,25,54
0:35,87,Temple Gibbs missed Free Throw.,25,54
0:35,87,Notre Dame Deadball Team Rebound.,25,54
0:35,87,Temple Gibbs made Free Throw.,25,55
0:35,87,Temple Gibbs made Free Throw.,25,56
0:26,2547,Brendan Westendorf Turnover.,25,56
0:25,87,Temple Gibbs Steal.,25,56
0:21,87,Temple Gibbs missed Layup.,25,56
0:21,2547,Brendan Westendorf Block.,25,56
0:19,87,Matt Ryan Offensive Rebound.,25,56
0:01,87,Matt Ryan missed Three Point Jumper.,25,56
0:01,2547,Brendan Westendorf Defensive Rebound.,25,56
0:00,87,End of 1st half,25,56
19:45,2547,Aaron Menzies missed Jumper.,25,56
19:45,87,Matt Farrell Defensive Rebound.,25,56
19:31,87,Matt Farrell Turnover.,25,56
19:18,2547,Brendan Westendorf missed Three Point Jumper.,25,56
19:18,87,V.J. Beachem Defensive Rebound.,25,56
19:10,87,V.J. Beachem missed Three Point Jumper.,25,56
19:10,2547,Morgan Means Defensive Rebound.,25,56
19:05,2547,Morgan Means made Three Point Jumper.,28,56
18:53,2547,Foul on Morgan Means.,28,56
18:39,87,Bonzie Colson missed Jumper.,28,56
18:39,2547,Morgan Means Defensive Rebound.,28,56
18:27,2547,Morgan Means missed Jumper.,28,56
18:27,87,Bonzie Colson Defensive Rebound.,28,56
18:19,87,Steve Vasturia missed Three Point Jumper.,28,56
18:19,87,Matt Farrell Offensive Rebound.,28,56
18:05,87,Matt Farrell Turnover.,28,56
17:58,2547,Scott Ulaneo made Layup.,30,56
17:41,87,Steve Vasturia made Three Point Jumper. Assisted by V.J. Beachem.,30,59
17:27,2547,Matej Kavas missed Three Point Jumper.,30,59
17:27,87,Martinas Geben Defensive Rebound.,30,59
17:19,2547,Foul on Scott Ulaneo.,30,59
17:19,87,Steve Vasturia made Free Throw.,30,60
17:19,87,Steve Vasturia made Free Throw.,30,61
16:58,2547,William Powell missed Jumper.,30,61
16:58,87,Martinas Geben Block.,30,61
16:56,2547,Seattle Offensive Rebound.,30,61
16:53,2547,William Powell missed Jumper.,30,61
16:53,87,V.J. Beachem Defensive Rebound.,30,61
16:42,87,Matt Farrell made Three Point Jumper. Assisted by Steve Vasturia.,30,64
16:28,2547,Zack Moore Turnover.,30,64
16:25,87,Matt Farrell Steal.,30,64
16:21,2547,Foul on Scott Ulaneo.,30,64
16:21,87,Bonzie Colson missed Free Throw.,30,64
16:21,87,Notre Dame Deadball Team Rebound.,30,64
16:21,87,Bonzie Colson made Free Throw.,30,65
16:13,87,Foul on Steve Vasturia.,30,65
16:01,2547,Zack Moore missed Three Point Jumper.,30,65
16:01,87,V.J. Beachem Defensive Rebound.,30,65
15:52,87,Matt Farrell missed Jumper.,30,65
15:52,2547,Emmanuel Chibuogwu Defensive Rebound.,30,65
15:44,2547,Matej Kavas Turnover.,30,65
15:44,87,Official TV Timeout,30,65
15:30,2547,Foul on Zack Moore.,30,65
15:30,87,V.J. Beachem made Free Throw.,30,66
15:30,87,V.J. Beachem made Free Throw.,30,67
15:16,2547,Brendan Westendorf missed Three Point Jumper.,30,67
15:16,87,Rex Pflueger Defensive Rebound.,30,67
15:12,2547,Foul on Emmanuel Chibuogwu.,30,67
14:56,87,Matt Farrell missed Three Point Jumper.,30,67
14:56,2547,Aaron Menzies Defensive Rebound.,30,67
14:39,2547,Emmanuel Chibuogwu Turnover.,30,67
14:21,87,Bonzie Colson Turnover.,30,67
14:06,2547,Matej Kavas missed Layup.,30,67
14:06,87,Rex Pflueger Block.,30,67
14:06,2547,Seattle Offensive Rebound.,30,67
14:04,2547,Aaron Menzies made Jumper. Assisted by Jack Shaughnessy.,32,67
13:40,87,Bonzie Colson missed Jumper.,32,67
13:40,2547,Seattle Defensive Rebound.,32,67
13:26,2547,Zack Moore missed Three Point Jumper.,32,67
13:26,87,Austin Torres Defensive Rebound.,32,67
13:17,87,Matt Ryan missed Three Point Jumper.,32,67
13:17,87,Bonzie Colson Offensive Rebound.,32,67
13:13,87,Bonzie Colson made Dunk.,32,69
13:00,2547,Aaron Menzies missed Dunk.,32,69
13:00,2547,Matej Kavas Offensive Rebound.,32,69
12:57,2547,Matej Kavas made Three Point Jumper.,35,69
12:30,87,Temple Gibbs made Layup.,35,71
12:07,2547,Scott Ulaneo Turnover.,35,71
11:52,87,Matt Ryan missed Three Point Jumper.,35,71
11:52,2547,Scott Ulaneo Defensive Rebound.,35,71
11:44,87,Foul on Matt Ryan.,35,71
11:44,87,Official TV Timeout,35,71
11:35,87,Foul on John Mooney.,35,71
11:30,2547,Jack Shaughnessy made Three Point Jumper. Assisted by Matej Kavas.,38,71
11:00,87,Temple Gibbs missed Three Point Jumper.,38,71
11:00,2547,Matej Kavas Defensive Rebound.,38,71
10:34,87,Foul on Matt Ryan.,38,71
10:31,2547,Matej Kavas missed Jumper.,38,71
10:31,87,Matt Farrell Defensive Rebound.,38,71
10:20,87,Temple Gibbs missed Three Point Jumper.,38,71
10:20,87,John Mooney Offensive Rebound.,38,71
10:15,87,V.J. Beachem missed Three Point Jumper.,38,71
10:15,2547,Scott Ulaneo Defensive Rebound.,38,71
10:06,2547,Matej Kavas missed Three Point Jumper.,38,71
10:06,87,John Mooney Defensive Rebound.,38,71
9:56,2547,Foul on Emmanuel Chibuogwu.,38,71
9:48,87,Matt Farrell made Jumper.,38,73
9:23,2547,Scott Ulaneo missed Jumper.,38,73
9:23,87,John Mooney Defensive Rebound.,38,73
9:14,87,Steve Vasturia made Three Point Jumper. Assisted by John Mooney.,38,76
8:54,2547,Emmanuel Chibuogwu made Three Point Jumper. Assisted by Mattia Da Campo.,41,76
8:33,87,V.J. Beachem Turnover.,41,76
8:20,2547,Jack Shaughnessy missed Three Point Jumper.,41,76
8:20,87,Steve Vasturia Defensive Rebound.,41,76
8:00,87,Matt Farrell missed Three Point Jumper.,41,76
8:00,2547,Scott Ulaneo Defensive Rebound.,41,76
8:00,87,Foul on Martinas Geben.,41,76
7:33,2547,Scott Ulaneo Turnover.,41,76
7:32,87,Matt Farrell Steal.,41,76
7:09,87,Bonzie Colson made Jumper. Assisted by V.J. Beachem.,41,78
6:49,2547,Emmanuel Chibuogwu Turnover.,41,78
6:49,87,Bonzie Colson Steal.,41,78
6:48,87,Official TV Timeout,41,78
6:18,87,Bonzie Colson missed Jumper.,41,78
6:18,2547,Matej Kavas Defensive Rebound.,41,78
6:08,2547,Mattia Da Campo Turnover.,41,78
5:54,87,Temple Gibbs made Three Point Jumper. Assisted by Matt Farrell.,41,81
5:35,2547,Matej Kavas missed Three Point Jumper.,41,81
5:35,2547,Jack Shaughnessy Offensive Rebound.,41,81
5:22,2547,Matej Kavas made Jumper.,43,81
5:01,87,Matt Ryan missed Three Point Jumper.,43,81
5:01,2547,Aaron Menzies Defensive Rebound.,43,81
4:48,2547,Matej Kavas Turnover.,43,81
4:21,87,Elijah Burns missed Jumper.,43,81
4:21,2547,Jack Shaughnessy Defensive Rebound.,43,81
3:59,2547,Jack Shaughnessy missed Jumper.,43,81
3:59,87,Notre Dame Defensive Rebound.,43,81
3:58,87,Official TV Timeout,43,81
3:28,87,Temple Gibbs made Jumper.,43,83
3:14,2547,Matej Kavas made Three Point Jumper. Assisted by Scott Ulaneo.,46,83
2:57,87,Rex Pflueger missed Jumper.,46,83
2:57,2547,Matej Kavas Defensive Rebound.,46,83
2:45,2547,Scott Ulaneo missed Jumper.,46,83
2:45,87,John Mooney Defensive Rebound.,46,83
2:37,87,Matt Ryan Turnover.,46,83
2:36,2547,Scott Ulaneo Steal.,46,83
2:24,2547,Jack Shaughnessy Turnover.,46,83
2:23,87,Rex Pflueger Steal.,46,83
2:19,87,Temple Gibbs made Layup. Assisted by Rex Pflueger.,46,85
2:04,2547,Zack Moore missed Three Point Jumper.,46,85
2:04,87,Matt Ryan Defensive Rebound.,46,85
1:59,87,Rex Pflueger made Layup. Assisted by Matt Ryan.,46,87
1:38,2547,Zack Moore missed Three Point Jumper.,46,87
1:38,87,Elijah Burns Defensive Rebound.,46,87
1:31,87,Rex Pflueger made Three Point Jumper. Assisted by Temple Gibbs.,46,90
1:28,87,Notre Dame  Timeout,46,90
1:17,2547,Mattia Da Campo Turnover.,46,90
1:15,87,Rex Pflueger Steal.,46,90
1:13,87,Rex Pflueger made Layup.,46,92
0:59,2547,Matej Kavas made Three Point Jumper. Assisted by Mattia Da Campo.,49,92
0:45,87,Matt Gregory missed Three Point Jumper.,49,92
0:45,2547,Emmanuel Chibuogwu Defensive Rebound.,49,92
0:25,2547,Jack Shaughnessy Turnover.,49,92
0:24,87,Matt Ryan Steal.,49,92
0:00,87,End of Game,49,92
