Illinois,277,West Virginia,356
3:54,356,Illinois  Turnover.,24,33
3:54,277,Official TV Timeout,24,33
3:39,277,Sagaba Konate missed Jumper.,24,33
3:39,277,Maciej Bender Offensive Rebound.,24,33
3:35,277,Daxter Miles Jr. missed Three Point Jumper.,24,33
3:35,277,Sagaba Konate Offensive Rebound.,24,33
3:31,356,Foul on Mike Thorne Jr..,24,33
3:31,277,Sagaba Konate missed Free Throw.,24,33
3:31,277,West Virginia Deadball Team Rebound.,24,33
3:31,277,Sagaba Konate missed Free Throw.,24,33
3:31,356,Malcolm Hill Defensive Rebound.,24,33
3:28,356,Malcolm Hill Turnover.,24,33
3:27,277,Jevon Carter Steal.,24,33
3:25,277,Daxter Miles Jr. made Layup. Assisted by Jevon Carter.,24,35
3:09,356,Jaylon Tate Turnover.,24,35
3:08,277,Jevon Carter Steal.,24,35
3:06,277,Maciej Bender made Layup. Assisted by Jevon Carter.,24,37
3:00,356,Illinois  Timeout,24,37
2:58,356,Michael Finke Turnover.,24,37
2:56,277,Teyvon Myers Steal.,24,37
2:55,277,Teyvon Myers missed Layup.,24,37
2:55,356,Leron Black Defensive Rebound.,24,37
2:40,356,Malcolm Hill missed Three Point Jumper.,24,37
2:40,356,Leron Black Offensive Rebound.,24,37
2:37,356,Leron Black Turnover.,24,37
2:36,277,Jevon Carter Steal.,24,37
2:18,277,Brandon Watkins made Jumper. Assisted by Teyvon Myers.,24,39
1:58,356,Tracy Abrams Turnover.,24,39
1:56,277,Daxter Miles Jr. Steal.,24,39
1:54,356,Foul on Jalen Coleman-Lands.,24,39
1:54,277,Teyvon Myers missed Free Throw.,24,39
1:54,277,West Virginia Deadball Team Rebound.,24,39
1:54,277,Teyvon Myers made Free Throw.,24,40
1:50,277,Foul on Esa Ahmad.,24,40
1:50,356,Jaylon Tate made Free Throw.,25,40
1:50,356,Jaylon Tate missed Free Throw.,25,40
1:50,277,Jevon Carter Defensive Rebound.,25,40
1:43,277,Jevon Carter missed Layup.,25,40
1:43,277,Esa Ahmad Offensive Rebound.,25,40
1:40,277,Esa Ahmad made Layup.,25,42
1:21,277,Foul on Daxter Miles Jr..,25,42
1:21,356,Leron Black made Free Throw.,26,42
1:21,356,Leron Black made Free Throw.,27,42
1:04,277,Teyvon Myers missed Jumper.,27,42
1:04,277,Elijah Macon Offensive Rebound.,27,42
1:01,356,Foul on Michael Finke.,27,42
1:01,277,Elijah Macon made Free Throw.,27,43
1:01,277,Elijah Macon made Free Throw.,27,44
0:50,356,Michael Finke Turnover.,27,44
0:49,277,Jevon Carter Steal.,27,44
0:47,277,Esa Ahmad made Dunk. Assisted by Jevon Carter.,27,46
0:34,356,Malcolm Hill missed Layup.,27,46
0:34,356,Mike Thorne Jr. Offensive Rebound.,27,46
0:31,356,Mike Thorne Jr. made Layup.,29,46
0:20,277,West Virginia  Timeout,29,46
0:05,277,Tarik Phillip missed Jumper.,29,46
0:05,277,Teyvon Myers Offensive Rebound.,29,46
0:02,277,Teyvon Myers missed Jumper.,29,46
0:02,277,Elijah Macon Offensive Rebound.,29,46
0:01,277,Lamont West made Two Point Tip Shot.,29,48
0:00,277,End of 1st half,29,46
19:41,356,Michael Finke missed Three Point Jumper.,29,48
19:41,277,Tarik Phillip Defensive Rebound.,29,48
19:32,356,Foul on Jaylon Tate.,29,48
19:32,277,Tarik Phillip missed Free Throw.,29,48
19:32,277,West Virginia Deadball Team Rebound.,29,48
19:32,277,Tarik Phillip made Free Throw.,29,49
19:19,356,Michael Finke missed Jumper.,29,49
19:19,277,Nathan Adrian Defensive Rebound.,29,49
19:07,277,Nathan Adrian missed Layup.,29,49
19:07,277,Elijah Macon Offensive Rebound.,29,49
19:05,277,Elijah Macon made Dunk.,29,51
18:44,356,Maverick Morgan Turnover.,29,51
18:29,277,Jevon Carter made Three Point Jumper. Assisted by Nathan Adrian.,29,54
18:23,356,Jaylon Tate Turnover.,29,54
18:22,277,Tarik Phillip Steal.,29,54
18:20,277,Tarik Phillip made Layup.,29,56
18:20,356,Illinois  Timeout,29,56
18:07,356,Leron Black Turnover.,29,56
18:07,277,Jevon Carter Steal.,29,56
18:07,277,Jevon Carter Turnover.,29,56
17:38,356,Jaylon Tate missed Jumper.,29,56
17:38,356,Jaylon Tate Offensive Rebound.,29,56
17:31,356,Tracy Abrams missed Three Point Jumper.,29,56
17:31,277,Esa Ahmad Defensive Rebound.,29,56
17:30,356,Foul on Leron Black.,29,56
17:02,277,Tarik Phillip made Jumper.,29,58
16:45,356,Jalen Coleman-Lands Turnover.,29,58
16:43,277,Brandon Watkins Steal.,29,58
16:41,277,Nathan Adrian made Layup. Assisted by Brandon Watkins.,29,60
16:30,356,Jalen Coleman-Lands Turnover.,29,60
16:17,277,Tarik Phillip missed Jumper.,29,60
16:17,356,Leron Black Defensive Rebound.,29,60
16:10,356,Leron Black Turnover.,29,60
16:09,277,Daxter Miles Jr. Steal.,29,60
16:08,277,Teyvon Myers missed Dunk.,29,60
16:08,356,Tracy Abrams Defensive Rebound.,29,60
16:08,277,Foul on Teyvon Myers.,29,60
16:01,356,Leron Black made Layup. Assisted by Tracy Abrams.,31,60
15:40,356,Foul on Malcolm Hill.,31,60
15:40,277,Official TV Timeout,31,60
15:40,277,Nathan Adrian made Free Throw.,31,61
15:40,277,Nathan Adrian made Free Throw.,31,62
15:32,277,Foul on Daxter Miles Jr..,31,62
15:29,356,Malcolm Hill missed Jumper.,31,62
15:29,277,Brandon Watkins Defensive Rebound.,31,62
15:00,277,Teyvon Myers missed Layup.,31,62
15:00,356,Leron Black Defensive Rebound.,31,62
14:40,356,Malcolm Hill missed Three Point Jumper.,31,62
14:40,356,Leron Black Offensive Rebound.,31,62
14:30,356,Foul on Malcolm Hill.,31,62
14:30,356,Malcolm Hill Turnover.,31,62
14:12,277,Tarik Phillip missed Jumper.,31,62
14:12,277,Lamont West Offensive Rebound.,31,62
14:06,277,Lamont West missed Three Point Jumper.,31,62
14:06,356,Leron Black Defensive Rebound.,31,62
14:01,356,Tracy Abrams made Layup.,33,62
13:41,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,33,65
13:22,356,Tracy Abrams missed Layup.,33,65
13:22,356,Michael Finke Offensive Rebound.,33,65
13:19,277,Foul on Lamont West.,33,65
13:19,356,Michael Finke missed Free Throw.,33,65
13:19,356,Illinois Deadball Team Rebound.,33,65
13:19,356,Michael Finke made Free Throw.,34,65
13:09,356,Foul on Tracy Abrams.,34,65
13:09,356,Foul on Leron Black.,34,65
12:57,277,Sagaba Konate Turnover.,34,65
12:48,356,Tracy Abrams missed Layup.,34,65
12:48,277,Sagaba Konate Block.,34,65
12:46,356,Malcolm Hill Offensive Rebound.,34,65
12:41,356,Te'Jon Lucas Turnover.,34,65
12:39,277,Nathan Adrian Steal.,34,65
12:38,356,Foul on Te'Jon Lucas.,34,65
12:38,356,Technical Foul on Tracy Abrams.,34,65
12:38,356,Foul on Tracy Abrams.,34,65
12:38,277,Nathan Adrian missed Free Throw.,34,65
12:38,277,West Virginia Deadball Team Rebound.,34,65
12:38,277,Nathan Adrian made Free Throw.,34,66
12:38,277,Sagaba Konate made Free Throw.,34,67
12:38,277,Sagaba Konate missed Free Throw.,34,67
12:38,356,Maverick Morgan Defensive Rebound.,34,67
12:16,277,Foul on Sagaba Konate.,34,67
12:16,356,Malcolm Hill made Free Throw.,35,67
12:16,356,Malcolm Hill missed Free Throw.,35,67
12:16,277,Nathan Adrian Defensive Rebound.,35,67
11:48,277,Jevon Carter missed Three Point Jumper.,35,67
11:48,356,Te'Jon Lucas Defensive Rebound.,35,67
11:35,356,Te'Jon Lucas Turnover.,35,67
11:34,277,Tarik Phillip Steal.,35,67
11:13,277,Sagaba Konate missed Jumper.,35,67
11:13,277,Nathan Adrian Offensive Rebound.,35,67
11:10,277,Nathan Adrian missed Two Point Tip Shot.,35,67
11:10,277,Teyvon Myers Offensive Rebound.,35,67
11:08,277,Teyvon Myers made Layup.,35,69
10:42,356,Malcolm Hill made Layup.,37,69
10:34,277,West Virginia  Timeout,37,69
10:34,277,Official TV Timeout,37,69
10:11,277,Nathan Adrian missed Jumper.,37,69
10:11,277,Nathan Adrian Offensive Rebound.,37,69
10:09,277,Nathan Adrian made Layup.,37,71
9:48,277,Foul on Daxter Miles Jr..,37,71
9:41,356,Maverick Morgan missed Jumper.,37,71
9:41,277,Jevon Carter Defensive Rebound.,37,71
9:35,277,Elijah Macon made Layup. Assisted by Jevon Carter.,37,73
9:19,356,Jaylon Tate missed Layup.,37,73
9:19,356,Jaylon Tate Offensive Rebound.,37,73
9:17,356,Jaylon Tate missed Two Point Tip Shot.,37,73
9:17,356,Illinois Offensive Rebound.,37,73
9:01,356,Jalen Coleman-Lands made Jumper.,39,73
8:41,356,Foul on Jalen Coleman-Lands.,39,73
8:41,277,Nathan Adrian missed Free Throw.,39,73
8:41,277,West Virginia Deadball Team Rebound.,39,73
8:41,277,Nathan Adrian made Free Throw.,39,74
8:36,356,Jalen Coleman-Lands missed Three Point Jumper.,39,74
8:36,277,Nathan Adrian Defensive Rebound.,39,74
8:25,277,Jevon Carter made Layup.,39,76
8:19,356,Te'Jon Lucas made Layup. Assisted by Jaylon Tate.,41,76
8:00,356,Foul on Jalen Coleman-Lands.,41,76
8:00,277,Esa Ahmad missed Free Throw.,41,76
8:00,277,West Virginia Deadball Team Rebound.,41,76
8:00,277,Esa Ahmad missed Free Throw.,41,76
8:00,277,Sagaba Konate Offensive Rebound.,41,76
7:56,277,Sagaba Konate made Dunk.,41,78
7:47,277,Foul on Tarik Phillip.,41,78
7:47,277,Official TV Timeout,41,78
7:39,356,D.J. Williams missed Three Point Jumper.,41,78
7:39,356,Michael Finke Offensive Rebound.,41,78
7:32,356,Michael Finke missed Layup.,41,78
7:32,356,Michael Finke Offensive Rebound.,41,78
7:28,356,Michael Finke made Jumper.,43,78
7:05,277,Esa Ahmad missed Jumper.,43,78
7:05,356,D.J. Williams Defensive Rebound.,43,78
6:56,356,Mike Thorne Jr. made Layup. Assisted by Jalen Coleman-Lands.,45,78
6:29,356,Foul on Te'Jon Lucas.,45,78
6:29,277,Esa Ahmad missed Free Throw.,45,78
6:29,277,West Virginia Deadball Team Rebound.,45,78
6:29,277,Esa Ahmad made Free Throw.,45,79
6:22,356,D.J. Williams missed Layup.,45,79
6:22,277,Lamont West Block.,45,79
6:19,277,Nathan Adrian Defensive Rebound.,45,79
6:06,277,Chase Harler missed Layup.,45,79
6:06,356,Michael Finke Defensive Rebound.,45,79
5:55,356,Michael Finke missed Jumper.,45,79
5:55,277,Nathan Adrian Defensive Rebound.,45,79
5:52,356,Foul on D.J. Williams.,45,79
5:52,277,Nathan Adrian missed Free Throw.,45,79
5:52,277,West Virginia Deadball Team Rebound.,45,79
5:52,277,Nathan Adrian made Free Throw.,45,80
5:48,356,Te'Jon Lucas Turnover.,45,80
5:46,277,Chase Harler Steal.,45,80
5:45,277,Nathan Adrian made Dunk. Assisted by Lamont West.,45,82
5:37,356,D.J. Williams missed Layup.,45,82
5:37,356,Mike Thorne Jr. Offensive Rebound.,45,82
5:35,356,Mike Thorne Jr. made Dunk.,47,82
5:17,277,Teyvon Myers made Layup.,47,84
5:02,356,Illinois  Turnover.,47,84
4:48,277,Maciej Bender missed Layup.,47,84
4:48,277,Maciej Bender Offensive Rebound.,47,84
4:44,277,Maciej Bender missed Two Point Tip Shot.,47,84
4:44,277,Maciej Bender Offensive Rebound.,47,84
4:42,277,Maciej Bender made Layup.,47,86
4:26,356,Mike Thorne Jr. made Jumper. Assisted by Michael Finke.,49,86
4:11,277,Lamont West missed Three Point Jumper.,49,86
4:11,356,Mike Thorne Jr. Defensive Rebound.,49,86
3:59,356,D.J. Williams missed Jumper.,49,86
3:59,277,Chase Harler Defensive Rebound.,49,86
3:31,277,Chase Harler missed Jumper.,49,86
3:31,356,Mike Thorne Jr. Defensive Rebound.,49,86
3:19,277,Foul on Chase Harler.,49,86
3:19,277,Official TV Timeout,49,86
3:19,356,Te'Jon Lucas made Free Throw.,50,86
3:19,356,Te'Jon Lucas made Free Throw.,51,86
2:52,277,James Bolden missed Three Point Jumper.,51,86
2:52,356,Leron Black Defensive Rebound.,51,86
2:37,356,Aaron Jordan missed Three Point Jumper.,51,86
2:37,356,Mike Thorne Jr. Offensive Rebound.,51,86
2:33,356,Mike Thorne Jr. made Layup.,53,86
2:15,277,Logan Routt Turnover.,53,86
2:14,356,Te'Jon Lucas Steal.,53,86
2:13,277,Foul on Chase Harler.,53,86
2:13,356,Aaron Jordan made Free Throw.,54,86
2:13,356,Aaron Jordan missed Free Throw.,54,86
2:13,277,Maciej Bender Defensive Rebound.,54,86
1:49,277,James Long Turnover.,54,86
1:39,277,Foul on James Bolden.,54,86
1:39,356,Te'Jon Lucas missed Free Throw.,54,86
1:39,277,West Virginia Defensive Rebound.,54,86
1:10,277,James Bolden made Three Point Jumper.,54,89
0:58,356,D.J. Williams missed Jumper.,54,89
0:58,277,James Bolden Defensive Rebound.,54,89
0:27,277,James Bolden missed Three Point Jumper.,54,89
0:27,356,Mike Thorne Jr. Defensive Rebound.,54,89
0:20,356,Aaron Jordan made Three Point Jumper. Assisted by Te'Jon Lucas.,57,89
0:00,277,End of Game,57,89
